displayName,description,suggestedAction,documentationLink,provider,category,service,level,mitre_tactic,mitre_technique,mitre_id,mitre_link
A security group's SQL Server port (1433) is accessible through any source address,"Because it is commonly used for database access, the default SQL Server port is an attractive target for attackers.  We recommend that you restrict access to the SQL Server port (TCP 1433) with a security group.
",You should restrict access to the SQL server port.,https://kb.securestate.vmware.com/ec2-TCP-1433-0.0.0.0-0.html,aws,Security,ec2,Low,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
A security group's SSH port (22) is accessible through any source address,"Because it is commonly used for administrative access, the SSH port is an attractive target for attackers.  CIS 4.1 recommends that you restrict access to the SSH port (TCP 22) with a security group.
",You should configure security groups to prevent SSH access from the Internet.,https://kb.securestate.vmware.com/ec2-TCP-22-0.0.0.0-0.html,aws,Security,ec2,Medium,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
A security group's TCP port 8080 is accessible through any source address,"TCP port 8080 has historically had diverse uses, as an alternate web server port, for development environments, and for HTTP proxies.  Often, these alternative services are not as well secured as the HTTP and HTTPS ports.  We recommend that you restrict access to TCP port 8080 with a security group.
",You should restrict access to TCP port 8080.,https://kb.securestate.vmware.com/ec2-TCP-8080.html,aws,Security,ec2,Low,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
A security group's Telnet port (23) is accessible through any source address,"Because Telnet is a plain text protocol, the Telnet port (TCP 23) is an attractive target for attackers.  At minimum, you should configure the security group to restrict access to the Telnet port, TCP port 23.  We recommend that you disable access to Telnet and use SSH instead.
",You should restrict access to the Telnet port.,https://kb.securestate.vmware.com/ec2-TCP-23.html,aws,Security,ec2,Low,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
A user has logged in to the AWS console from more than one location in a short period of time (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an IAM user logs in successfully to the AWS console from more than one geopgraphic location over a short period of time.  This might indicate that the IAM credentials have been compromised.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-console-login-success.b.html,aws,UnauthorizedAccess,iam,Medium,"Initial Access,Persistence,Defense Evasion,Privlege Escalation",Valid Accounts,T1078,https://attack.mitre.org/techniques/T1078/
A user has logged in to the AWS console in a way that does not fit the established pattern (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an IAM user logs in successfully to the AWS console without a prior history of doing so or from an unusual location.  This might indicate that the IAM credentials have been compromised.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-console-login.html,aws,UnauthorizedAccess,iam,Medium,Not Available,Not Available,Not Available,Not Available
A user has made an API call to read permissions data in a manner inconsistent with prior activity (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when a user has made an API call to read information about users, groups, policies, or permissions and this activity not consistent with the normal activity pattern of that user.  This may indicate that the account has been compromised and an attacker is attempting to gather information.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-user-permissions-recon-iamuser.html,aws,Recon,iam,Medium,Not Available,Not Available,Not Available,Not Available
A user has made API calls to read network configurations in a way that does not fit the established pattern (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an user makes API calls to read the configuration of security groups, routes, or ACLs and that activity is not consistent with their previous API usage.  This may indicate that the user account has been compromised.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-network-permissions-recon-iamuser.html,aws,Recon,iam,Medium,Not Available,Not Available,Not Available,Not Available
"A user has made changes to IAM users, groups, or policies in a manner inconsistent with prior activity (GuardDuty)","Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when a user has made changes to IAM users, groups, or policies and those changes are not consistent with the normal activity pattern of that user.  This may indicate that the account has been compromised and an attacker is attempting to develop additional means of access to the account.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-user-permissions-persistence-iamuser.html,aws,Persistence,iam,Medium,Not Available,Not Available,Not Available,Not Available
A user has made network configuration changes in a way that does not fit the established pattern (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when a user makes changes to security groups, routes, or ACLs that are not consistent with their usual pattern of activity.  This may indicate that the user account has been compromised.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-network-permissions-persistence-iamuser.html,aws,Persistence,iam,Medium,Not Available,Not Available,Not Available,Not Available
A user made logging configuration changes to your AWS account (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when a user makes logging changes to your AWS account that do not fit the established pattern.  This might be evidence that someone is trying to conceal malicious activity.
",Verify that disabled CloudTrail is desired and which credential was used to make the configuration change.,https://kb.securestate.vmware.com/aws-guardduty-logging-configuration-modified.html,aws,Stealth,iam,Medium,Not Available,Not Available,Not Available,Not Available
A user without a history of similar activity has modified IAM user permissions (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when a user modifies permissions for an IAM user and the activity is not consistent with their past account activities.  This might indicate that the user account has been compromised.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-resource-permissions-persistence-iamuser.html,aws,Persistence,iam,Medium,Not Available,Not Available,Not Available,Not Available
A user without a history of similar activity has read the permissions of an IAM user (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when a user reads permissions for an IAM user and the activity is not consistent with their past account activities.  This might indicate that the user account has been compromised.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-resource-permissions-recon-iamuser.html,aws,Recon,iam,Medium,Not Available,Not Available,Not Available,Not Available
Access logging is not enabled for CloudTrail S3 buckets,"AWS CloudTrail records AWS API calls used within an AWS account, including calls made from the AWS Management Console, SDKs, command line tools, and other AWS services.  CloudTrail logs are stored in Amazon S3 buckets.  Because CloudTrail data is potentially sensitive, we recommend that you enable access logging on all CloudTrail buckets.
",You should enable access logging for all CloudTrail S3 buckets to ensure that you have an audit trail.,https://kb.securestate.vmware.com/s3-cloudtrail-no-logging.html,aws,Audit,user,Medium,Collection,Data from Cloud Storage Object,T1530,https://attack.mitre.org/techniques/T1530/
Access to CloudTrail S3 buckets is unrestricted,"AWS CloudTrail records AWS API calls used within an AWS account, including calls made from the AWS Management Console, SDKs, command line tools, and other AWS services.  CloudTrail logs are stored in Amazon S3 buckets.  Because CloudTrail data is potentially sensitive, CIS 2.3 recommends that you restrict access to CloudTrail buckets.
",You should restrict access to CloudTrail S3 buckets to only users who require it.,https://kb.securestate.vmware.com/s3-cloudtrail-public-access.html,aws,Audit,user,High,Collection,Data from Cloud Storage Object,T1530,https://attack.mitre.org/techniques/T1530/
Activity logs are retained for less than 365 days,"Azure allows you to create Activity Logs for configuration events.  By default, activity logs are retained for 90 days, but because it typically takes more than seven months to detect a security breach, CIS 5.2 recommends that you configure Azure to retain logs for one year or longer.
",You should retain activity logs for one year or longer to ensure that you have a sufficient audit trail to detect a breach.,https://kb.securestate.vmware.com/azure-monitoring-activity-log-retention-365-days-or-greater.html,azure,Logging,Microsoft.Insights,Low,Not Available,Not Available,Not Available,Not Available
Adaptive Application Controls are not enabled,"Azure Adaptive Application Controls limit the applications that are allowed to run within virtual machines.  CIS 2.13 recommends that you enable Adaptive Application Controls to help protect against malware.  This feature is enabled by default.
",You should enable Adaptive Application Controls to ensure that virtual machines cannot run proscribed software.,https://kb.securestate.vmware.com/azure-security-adaptive-application-controls-on.html,azure,Security,Microsoft.Security,Medium,Initial Access,Exploit Public-Facing Application,T1190,https://attack.mitre.org/techniques/T1190/
An active IAM key has not been rotated for more than 90 days,"AWS IAM keys present a security risk if they are not managed carefully.  In many cases, it is better to use IAM roles and generate temporary security credentials, rather than to issue user-based credentials of unlimited duration.  When you use IAM keys, CIS 1.4 recommends that you rotate keys every 90 days.  IAM key rotation is not enabled by default; you must enable it.
",You should rotate IAM keys every 90 days or less to reduce the risk of lost or stolen keys.,https://kb.securestate.vmware.com/iam-active-key-no-rotation.html,aws,Access,iam,Medium,"Initial Access,Persistence,Defense Evasion,Privlege Escalation",Valid Accounts,T1078,https://attack.mitre.org/techniques/T1078/
An API call was made from an IP address that Amazon has previously identified as a threat (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an API call originates from an IP address that Amazon has previously classified as a malicious address and included in a threat list.  The API call attempted to read configuration properties of an IAM user.  This may indicate an attempted reconaissance attack.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-malicious-ip-caller-recon-iamuser.html,aws,Recon,iam,Medium,Not Available,Not Available,Not Available,Not Available
An API call was made from an IP address that you previously identified as a threat (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an API call originates from an IP address that you have previously classified as a malicious address and included in a threat list.  This may be evidence of unauthorized access to your account.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-malicious-ip-caller.custom-recon-iamuser.html,aws,Recon,iam,Medium,Not Available,Not Available,Not Available,Not Available
An API call was made from outside EC2 using temporary credentials (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an API call is made from outside EC2 using temporary credentials.  When you create an EC2 instance, AWS generates temporary credentials that can be used to set up the instance.  These credentials can be exported and used to gain access from outside the network.  This is an unusual way to make API calls and may indicate that the credentials have been compromised.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-instance-credential-exfiltration.html,aws,UnauthorizedAccess,iam,High,"Initial Access,Persistence,Defense Evasion,Privlege Escalation",Valid Accounts,T1078,https://attack.mitre.org/techniques/T1078/
An API call was made to your account from a Kali Linux system (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an API call is made to your account from a Kali Linux system.  Kali Linux is a distribution that is used for penetration testing.  If you are not aware of legitimate testing with Kali, it is possible that your API credentials have been compromised.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-kali-linux.html,aws,PenTest,iam,Medium,Discovery,Cloud Service Discovery,T1526,https://attack.mitre.org/techniques/T1526/
An API was invoked from a Parrot Security Linux EC2 instance (GuardDuty),"This finding informs you that a machine running Parrot Security Linux is making API calls using credentials that belong to your AWS account. Your credentials might be compromised. Parrot Security Linux is a popular penetration testing tool that security professionals use to identify weaknesses in EC2 instances that require patching. Attackers also use this tool to find EC2 configuration weaknesses and gain unauthorized access to your AWS environment.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-pentest-iamuser-parrot-linux.html,aws,PenTest,iam,Medium,"Credential Access,Persistence",Account Manipulation,T1098,https://attack.mitre.org/techniques/T1098/
An API was invoked from a Pentoo Linux EC2 instance (GuardDuty),"This finding informs you that a machine running Pentoo Linux is making API calls using credentials that belong to your AWS account. Your credentials might be compromised. Pentoo Linux is a popular penetration testing tool that security professionals use to identify weaknesses in EC2 instances that require patching. Attackers also use this tool to find EC2 configuration weaknesses and gain unauthorized access to your AWS environment.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-pentest-iamuser-pentoo-linux.html,aws,PenTest,iam,Medium,Initial Access,Exploit Public-Facing Application,T1190,https://attack.mitre.org/techniques/T1190/
An API was invoked using root credentials (GuardDuty),"This finding informs you that the root credentials of your AWS account are being used to make requests to AWS services. It is recommended that you do NOT use your account's root credentials to access AWS services. Instead, you can access AWS services using least-privilege temporary credentials from AWS Security Token Service (STS). For situations where STS is not supported, you can use IAM user credentials.
",Avoid using root credentials to make requests to AWS services.,https://kb.securestate.vmware.com/aws-guardduty-policy-iamuser-root-credential-usage.html,aws,Policy,iam,Low,"Initial Access,Persistence,Defense Evasion,Privlege Escalation",Valid Accounts,T1078,https://attack.mitre.org/techniques/T1078/
An EC2 instance appears to have been targeted in a Remote Desktop brute force attack (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance has been targeted in a Remote Desktop (RDP) brute force attack.  If the attacker was successful in determining the password, then the instance may be compromised.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-rdp-brute-force.html,aws,UnauthorizedAccess,ec2,Low,Credential Access,Brute Force,T1110,https://attack.mitre.org/techniques/T1110/
An EC2 instance appears to have been targeted in a Secure Shell brute force attack (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance has been targeted in a Secure Shell (SSH) brute force attack.  If the attacker was successful in determining the password, then the instance may be compromised.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-ssh-brute-force.html,aws,UnauthorizedAccess,ec2,Low,Credential Access,Brute Force,T1110,https://attack.mitre.org/techniques/T1110/
An EC2 instance appears to have performed a port scan (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance opens connections to multiple ports on another host over a short period of time, interpreting this as a port scan.  If you are not aware of this activity, it may be evidence that the instance has been compromised.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-portscan.html,aws,Recon,ec2,Medium,Discovery,Network Service Scanning,T1046,https://attack.mitre.org/techniques/T1046/
An EC2 instance communicated with an IP address that you previously identified as a threat (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when outbound EC2 traffic is destined for an IP address that you previously identified as malicious and included in a threat list.  This may indicate that the instance has been compromised.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-malicious-ip-caller.custom-unauthorized-ec2.html,aws,UnauthorizedAccess,ec2,Medium,Not Available,Not Available,Not Available,Not Available
An EC2 instance has an open port that is being probed by a known malicious host (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance has a open port and that port is probed by an IP address that has been identified as a known threat.  If possible, you should restrict access to this port with a security group, ACL, or software firewall.
",Block access to any unused ports using a combination of security groups network ACS's and host-based firewall rules,https://kb.securestate.vmware.com/aws-guardduty-port-probe-unprotected-port.html,aws,Recon,ec2,Low,Discovery,Network Service Scanning,T1046,https://attack.mitre.org/techniques/T1046/
An EC2 instance has attempted to communicate with a host that is a known malware drop point (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance attempts to communicate with a host that has previously been identified as a malware drop point.  This may indicate that the instance has been infected by malware.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-drop-point.html,aws,Trojan,ec2,Medium,Not Available,Not Available,Not Available,Not Available
An EC2 instance has attempted to query DNS for a host that is a known malware drop point (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance attempts to query DNS for a host that has previously been identified as a malware drop point.  This may indicate that the instance has been infected by malware.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-drop-point-not-dns.html,aws,Trojan,ec2,High,Initial Access,Drive-by Compromise,T1189,https://attack.mitre.org/techniques/T1189/
An EC2 instance has been launched by a user who does not fit the established pattern (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance is launched by a user who has not previously engaged in that activity.  This could be an indication that your account has been compromised.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-compute-resources.html,aws,ResourceConsumption,iam,Medium,Not Available,Not Available,Not Available,Not Available
