NUMBER,call,Station Name,,Latitude,Longitude,Elevation_Meter
11070,ENRS,ROST (NOR-AFB),NO,67.516667,12.1,4
11080,,VEGA-VALLSJO,NO,65.7,11.85,2
11120,ENBN,BRONNOYSUND/BRONNOY,NO,65.466667,12.216667,9
11133,ENDI,DAGALI,NO,60.416667,8.516667,798
11150,,MYKEN ISLAND,NO,66.766667,12.483333,21
11160,ENST,SANDNESSJOEN/STOKKA,NO,65.966667,12.466667,17
11210,,NORD-SOLVAER,NO,66.4,12.616667,10
11220,ENMS,MOSJOEN/KJAERSTAD &,NO,65.8,13.133333,70
11340,,MAJAVATN III,NO,65.183333,13.416667,339
11370,,STOTT,NO,66.933333,13.45,12
11380,,TENNHOLMEN (LGT-H),NO,67.3,13.5,14
11410,ENLK,LEKNES,NO,68.15,13.616667,26
11470,,SUSENDAL-BJORMO,NO,65.516667,14.016667,265
11490,,NERDAL I RANA,NO,66.266667,13.983333,39
11510,ENRA,MOIRANA,NO,66.366667,14.3,70
11520,ENBO,BODO VI (CIV/MIL),NO,67.266667,14.366667,13
11540,,LITLOY FYR,NO,68.583333,14.3,50
11550,,BO I VESTERALEN II,NO,68.633333,14.466667,13
11600,,SKROVA (LGT-H),NO,68.15,14.65,11
11610,ENSH,SVOLVAER/HELLE,NO,68.25,14.666667,9
11620,ENSK,STORKMARKNES/SKAGEN,NO,68.583333,15.016667,3
11670,,SORTLAND,NO,68.7,15.416667,3
11690,,SALTDAL,NO,66.85,15.316667,81
11720,,FINNOY I HAMAROY,NO,68,15.616667,53
11830,ENEV,EVENES (CIV/MIL)  &,NO,68.516667,16.683333,26
11890,,LILAND,NO,68.483333,16.883333,19
11910,,SKJOMEN-SLETTJORD,NO,68.283333,17.316667,6
11940,ENNK,NARVIK III/FRAMNES,NO,68.466667,17.5,23
11960,,TENEVOLL,NO,68.9,17.816667,20
11990,,SICCAJAVRE,NO,68.75,23.533333,382
12030,,KRAKENES (LGT-H),NO,62.033333,4.983333,40
12050,,SVINOY (LGT-H),NO,62.333333,5.266667,41
12090,ENOV,ORSTA-VOLDA/HOVDEN,NO,62.183333,6.066667,74
12100,ENAL,ALESUND/VIGRA,NO,62.566667,6.116667,22
12120,,ONA II,NO,62.866667,6.533333,15
12170,ENML,MOLDE/ARO,NO,62.75,7.266667,3
12180,,TAFJORD,NO,62.233333,7.416667,17
12230,ENKB,KRISTIANSUND/KVERNB,NO,63.116667,7.833333,62
12240,,SKALMEN (LGT-H),NO,63.466667,7.75,13
12270,,TINGVOLL-HANEM,NO,62.85,8.3,69
12280,,SULA,NO,63.85,8.45,28
12310,,LESJASKOG,NO,62.233333,8.366667,621
12320,,VINJEORA II,NO,63.2,9,47
12380,,FOKSTUA II,NO,62.116667,9.283333,974
12400,,HALTEN (LGT-H),NO,64.166667,9.416667,16
12410,ENOL,ORLAND III(NOR-AFB),NO,63.7,9.6,7
12450,,OPPDAL-BJORKE,NO,62.6,9.683333,630
12520,,BERKAK-LYNGHOLT,NO,62.816667,10.016667,475
12590,,BUHOLMRASA (LGT-H),NO,64.4,10.45,21
12620,,NORDOYAN (LGT-H),NO,64.8,10.55,33
12710,ENVA,TRONDHEIM/VAERNES,NO,63.466667,10.933333,17
12740,,SELBU-STUBBE,NO,63.216667,11.116667,242
12780,,VERDAL-STIKLESTAD,NO,63.8,11.566667,52
12800,,NAMDALSEID,NO,64.25,11.2,87
12820,ENRM,RORVIK/RYUM,NO,64.85,11.233333,14
12823,,BECAME STN 012820,NO,64.85,11.233333,14
12880,,ROROS (CITY),NO,62.566667,11.383333,630
12890,ENRO,ROROS AIRPORT,NO,62.583333,11.35,626
12900,ENNM,NAMSOS AIRPORT,NO,64.466667,11.583333,2
12920,,MERAKER-KROGSTAD,NO,63.45,11.7,145
12950,,HARRAN,NO,64.583333,12.533333,118
12980,,NORDLI-HOLAND,NO,64.45,13.716667,438
13040,,YTTEROYANE (LGT-H),NO,61.566667,4.683333,26
13060,,HELLISOY (LGT-H),NO,60.75,4.716667,23
13100,ENFL,FLORO,NO,61.583333,5.033333,9
13110,ENBR,BERGEN/FLESLAND AFB,NO,60.3,5.216667,50
13170,,BERGEN/FLORIDA,NO,60.383333,5.333333,36
13190,,TAKLE,NO,61.033333,5.383333,38
13200,ENSD,SANDANE/ANDA,NO,61.833333,6.116667,60
13220,,FORDE-VIE,NO,61.45,5.9,12
13250,,MODALEN II,NO,60.833333,5.95,114
13280,,KVAMSKOGEN,NO,60.4,5.916667,408
13300,,OMASTRAND,NO,60.216667,5.983333,6
13360,ENBM,VOSS/BOMOEN,NO,60.65,6.5,122
13390,,VANGSNES,NO,61.166667,6.65,54
13410,,EIDFJORD-BU,NO,60.466667,6.866667,119
13440,,REIMEGREND,NO,60.683333,6.75,560
13470,ENSG,SOGNDAL/HAUKASEN,NO,61.15,7.133333,497
13510,,FINSE III,NO,60.6,7.5,1224
13550,,LAERDAL-TONJUM,NO,61.066667,7.516667,36
13570,,FORTUN,NO,61.5,7.7,30
13600,,BRATA,NO,61.9,7.866667,711
13640,,GEILO-GEILOSTOLEN,NO,60.516667,8.216667,810
13650,,TYNKRYSSET,NO,58.266667,7.333333,340
13670,,FAGERNES,NO,60.983333,9.233333,365
13680,ENFG,FAGERNES/LEIRIN   &,NO,61,9.3,822
13700,,SKABU-STORSLAEN,NO,61.516667,9.383333,865
13720,,NESBYEN-SKOGLUND,NO,60.566667,9.133333,167
13740,,VEST-TORPA II,NO,60.933333,10.033333,542
13755,ENGC,GULLFAX (PLATFORM),NO,61.033333,2.033333,10
13780,,LILLEHAMMER-SAETHER,NO,61.1,10.483333,242
13790,,SOR-NESSET,NO,61.883333,10.15,739
13800,,VENABU,NO,61.65,10.116667,940
13830,,EVENSTAD-OVERENGET,NO,61.4,11.15,255
13840,ENGM,OSLO/GARDERMOEN,NO,60.2,11.083333,204
13890,,HAUGEDALSHOGDA,NO,61.166667,11.45,240
13910,,FLISA,NO,60.616667,12.016667,188
13930,,DREVSJO,NO,61.883333,12.05,674
14000,,EKOFISK,NO,56.533333,3.216667,46
14030,,UTSIRA (LGT-H),NO,59.3,4.883333,56
14033,ENEK,EKOFISK OIL PLTFRM,NO,56.55,3.25,3
14060,,SLATTEROY (LGT-H),NO,59.916667,5.066667,16
14080,ENHD,HAUGESUND/KARMOY  &,NO,59.35,5.216667,24
14120,,OBRESTAD (LGT-H),NO,58.65,5.55,26
14150,ENZV,STAVANGER/SOLA(AFB),NO,58.883333,5.633333,9
14170,,NEDRE VATS,NO,59.483333,5.75,65
14230,,FISTER,NO,59.183333,6.066667,1
14240,,SAUDA,NO,59.65,6.366667,5
14250,,UALAND-BJULAND,NO,58.55,6.35,200
14270,,LISTA (LGT-H),NO,58.116667,6.566667,14
14280,ENLI,LISTA/FARSUND (AFB),NO,58.1,6.633333,10
14320,,SIRDAL-TJORHOM,NO,58.883333,6.85,500
14330,,MIDTLAEGER,NO,59.833333,6.983333,1082
14350,,HAUKELISAETER/BROYT,NO,59.816667,7.216667,1019
14360,,LINDESNES (LGT-H),NO,57.983333,7.05,23
14390,,KONSMA HAEGELAND,NO,61.2,8.233333,864
14420,,BYGLANDSFJORD-SOLBA,NO,58.666667,7.8,211
14460,,OYFJELL I TELEMARK,NO,59.633333,8.266667,804
14480,,OKSOY (LGT-H),NO,58.066667,8.05,8
14500,,MOSSTRAND II,NO,59.833333,8.183333,977
14520,ENCN,KRISTIANSAND/KJEVIK,NO,58.2,8.083333,17
14550,,TVEITSUND,NO,59.033333,8.516667,255
14590,,NELAUG,NO,58.65,8.633333,161
14650,,TORUNGEN (LGT-H),NO,58.4,8.8,15
14670,,LYNGOR (LGT-H),NO,58.633333,9.15,7
14700,,GVARV,NO,59.383333,9.183333,25
14703,ENNO,NOTODDEN,NO,59.566667,9.216667,19
14740,,LYNGDAL I NUMEDAL,NO,59.9,9.533333,294
14750,ENSN,SKIEN/GEITERYGGEN,NO,59.183333,9.566667,14
14760,,JOMFRULAND (LGT-H),NO,58.866667,9.6,12
14770,,KONGSBERG IV,NO,59.666667,9.65,169
14820,,FERDER (LGT-H),NO,59.033333,10.533333,8
14830,ENTO,TORP (CIV/NOR-AFB),NO,59.2,10.266667,88
14843,ENOA,OSEBERG           &,NO,59.316667,10.45,15
14880,ENFB,OSLO/FORNEBU,NO,59.9,10.616667,17
14900,,TRYVASSHOGDA II,NO,59.983333,10.683333,529
14940,ENRY,RYGGE (NOR-AFB),NO,59.383333,10.783333,53
14960,,HOLAND-LOKEN,NO,59.8,11.466667,135
14970,,PRESTEBAKKE,NO,59,11.533333,157
14980,,MAGNOR,NO,59.966667,12.216667,153
20120,,RITSEM,SN,67.733333,17.466667,523
20200,,KATTERJAKK,SN,68.416667,18.166667,517
20320,,TORNETRASK LAKE,SN,68.216667,19.716667,393
20430,,ESRANGE,SN,67.933333,21.066667,341
20440,ESNQ,KIRUNA AIRPORT,SN,67.816667,20.333333,452
20450,,KIRUNA GEOFYSISKA,SN,67.833333,20.433333,341
20490,ESNG,GALLIVARE (PRIVATE),SN,67.15,20.833333,310
20600,,NAIMAKKA,SN,68.683333,21.533333,403
20860,,LAINIO,SN,67.766667,22.35,317
20960,,PAJALA,SN,67.216667,23.4,168
21040,,HEMAVAN,SN,65.816667,15.1,475
21080,,KLIMPFJALL,SN,65.066667,14.8,593
21120,,VUOGGATJALME,SN,66.566667,16.35,500
21200,,KVIKKJOKK,SN,66.95,17.75,337
21240,,ARJEPLOG,SN,66.033333,17.866667,430
21280,ESPD,GUNNARN (SWE-AFB),SN,65.016667,17.683333,281
21363,ESKB,BARKARBY (SWE-AFB)&,SN,59.416667,17.883333,17
21420,ESNJ,JOKKMOKK (SWE-AFB),SN,66.633333,19.65,264
21440,,ABRAUR,SN,65.983333,18.933333,374
21540,ESPE,VIDSEL (SWE-AFB),SN,65.866667,20.133333,182
21640,,PALKEM,SN,66.383333,21.633333,263
21850,,LULEA/KALLAX (AFB),SN,65.55,22.133333,34
21860,ESPA,KALLAX/LULEA (AFB),SN,65.55,22.133333,34
21960,,HAPARANDA,SN,65.833333,24.15,6
21980,,STOROHAMN (PORT),SN,65.733333,23.1,8
22000,,EDEVIK,SN,63.983333,12.866667,425
22060,,STORLIEN-VISJOVALEN,SN,63.3,12.116667,644
22220,,GADDEDE,SN,64.5,14.133333,330
22260,ESPC,OSTERSUND/FROSON AB,SN,63.183333,14.5,370
22320,,NORRAKER,SN,64.433333,15.633333,346
22340,,STROMSUND,SN,63.866667,15.583333,373
22480,,KRANGEDE,SN,63.166667,16.166667,223
22520,,IDVATTNET,SN,64.45,17.083333,353
22590,ESNK,KRAMFORS (SWE-AFB),SN,63.05,17.766667,19
22620,,LYCKSELE,SN,64.583333,18.65,234
22670,ESNO,ORNSKOLDSVIK ARPT,SN,63.4,18.966667,103
22780,,SKAGSUDDE (LGT-H),SN,63.183333,19.016667,13
22860,ESNU,UMEA AIRPORT,SN,63.8,20.283333,14
22880,,HOLMOGADD (LGT-H),SN,63.6,20.766667,6
22930,ESNS,SKELLEFTEA AIRPORT,SN,64.633333,21.083333,49
22960,,BJUROKLUBB (LGT-H),SN,64.483333,21.583333,36
23060,,RORBACKSNAS,SN,61.133333,12.816667,465
23100,,STORSJO KAPELL,SN,62.8,13.066667,583
23160,,SARNA,SN,61.7,13.166667,438
23240,,SVEG,SN,62.033333,14.366667,360
23260,,HAMRA,SN,61.65,15,455
23360,,EDSBYN,SN,61.383333,15.833333,163
23420,,FRANSTA,SN,62.516667,16.183333,105
23650,,SUNDSVALL/HARNOSAND,SN,62.533333,17.466667,6
23660,ESNN,SUNDSVALL/HARNOSAND,SN,62.533333,17.45,10
23760,ESCL,SODERHAMN (SWE-AFB),SN,61.266667,17.1,36
24000,,OSTMARK,SN,60.35,12.65,310
24040,ESKV,ARVIKA,SN,59.666667,12.583333,78
24060,,BLOMSKOG,SN,59.283333,12.05,110
24100,,MALUNG,SN,60.683333,13.716667,308
24120,,GUSTAVSFORS,SN,60.15,13.8,190
24180,ESSQ,KARLSTADT AIRPORT,SN,59.366667,13.466667,55
24280,,ATORP,SN,59.1,14.366667,105
24283,ESOE,OREBRO (PRIVATE),SN,59.233333,15.05,57
24284,ESKM,SILJAN/MORA,SN,60.966667,14.516667,193
24350,ESSD,BORLANGE (SWE-AFB),SN,60.433333,15.5,161
24430,ESSK,GAVLE/SANDVIKEN AFB,SN,60.6,16.95,79
24440,,FOLKARNA,SN,60.166667,16.316667,70
24460,ESOW,VASTERAS/HASSLO AFB,SN,59.583333,16.633333,31
24580,ESCM,UPPSALA (SWE-AFB),SN,59.883333,17.6,41
24600,ESSA,STOCKHOLM/ARLANDA,SN,59.65,17.95,61
24640,ESSB,STOCKHOLM/BROMMA,SN,59.35,17.95,11
24740,,SINGO ISLAND,SN,60.166667,18.75,14
24853,ESKN,SKAVASTA/STOCKHOLM,SN,58.783333,16.916667,43
24960,,SVENSKA HOGARNA(LH),SN,59.45,19.5,12
25080,,MASESKAR (LGT-H),SN,58.1,11.35,14
25103,ESGT,TROLLHATTAN (PVT),SN,58.316667,12.35,41
25120,ESGP,GOTEBORG/SAVE (AFB),SN,57.783333,11.883333,53
25180,,NIDINGEN (LGT-H),SN,57.3,11.9,5
25200,ESIB,SATENAS (SWE-AFB),SN,58.433333,12.7,74
25240,,MOLLA,SN,57.933333,13.066667,190
25260,ESGG,GOTEBORG/LANDVETTER,SN,57.666667,12.3,169
25270,,GOTEBORG (UPR-AIR),SN,57.666667,12.316667,155
25300,,NASHUVUD,SN,58.9,13.25,50
25350,ESGR,SKOVDE AIRPORT,SN,58.45,13.966667,105
25500,ESGJ,JONKOPING AIRPORT,SN,57.766667,14.083333,232
25550,,NASSJO,SN,57.65,14.7,305
25560,ESMV,HAGSHULT (SWE-AFB),SN,57.3,14.133333,172
25620,ESCF,LINKOPING/MALMEN,SN,58.4,15.516667,117
25625,ESSL,LINKOPING/SAAB,SN,58.4,15.683333,52
25640,,MALEXANDER,SN,58.066667,15.233333,200
25650,ESSF,HULTSFRED (SWE-AFB),SN,57.516667,15.833333,112
25660,,MALILLA,SN,57.4,15.833333,98
25710,ESSP,NORRKOPING/KUNGSANG,SN,58.583333,16.25,8
25760,,GLADHAMMAR,SN,57.716667,16.466667,35
25820,,LANDSORT (LGT-H),SN,58.75,17.866667,32
25840,,GOTSKA SANDON (LH),SN,58.4,19.2,12
25860,,HARSTENA,SN,58.25,17.016667,7
25880,,FARO ISLAND,SN,57.9,19.166667,8
25900,ESSV,VISBY AIRPORT,SN,57.666667,18.35,47
25910,ESQV,VISBY AERO STATION,SN,57.65,18.35,47
25920,,OLANDS NORRA UDDE,SN,57.366667,17.1,4
26040,ESMT,HALMSTAD (SWE-AFB),SN,56.683333,12.833333,30
26060,,KULLEN (LGT-H),SN,56.3,12.45,72
26070,ESDB,ANGELHOLM (SWE-AFB),SN,56.3,12.85,47
26160,,FALSTERBO (LGT-H),SN,55.383333,12.816667,5
26260,,OSBY,SN,56.366667,13.95,85
26300,ESDA,LJUNGBYHED(SWE-AFB),SN,56.083333,13.233333,52
26360,ESMS,MALMO/STURUP,SN,55.55,13.366667,106
26400,ESFU,VAXJO/URASA (AFB),SN,56.866667,14.8,166
26410,ESMX,VAXJO/KRONOBERG,SN,56.933333,14.733333,186
26500,,HANO ISLAND (LGT-H),SN,56.016667,14.85,55
26510,ESMK,KRISTIANSTAD/EVEROD,SN,55.916667,14.083333,23
26640,ESDF,RONNEBY (SWE-AFB),SN,56.266667,15.283333,74
26660,,UNGSKAR,SN,56.033333,15.8,3
26680,,KUNGSHOLMS FORT,SN,56.066667,15.583333,5
26700,,KALMAR AIRPORT,SN,56.683333,16.3,17
26720,ESMQ,KALMAR,SN,56.733333,16.3,16
26800,,HOBURG (LGT-H),SN,56.916667,18.15,39
28010,,KILPISJARVI,FI,69.05,20.783333,476
28050,,KEVO,FI,69.75,27.033333,101
28070,EFIV,IVALO,FI,68.616667,27.416667,148
28230,,MUONIO,FI,67.966667,23.683333,253
28234,EFKT,KITTILA,FI,67.7,24.85,643
28360,EFSO,SODANKYLA,FI,67.366667,26.65,179
28440,EFPE,PELLO,FI,66.8,24,84
28450,EFRO,ROVANIEMI (CIV/MIL),FI,66.566667,25.833333,201
28480,,SALLA,FI,66.816667,28.666667,223
28630,,KEMI I (AUT),FI,65.416667,24.133333,13
28640,EFKE,KEMI,FI,65.783333,24.583333,15
28670,EFPU,PUDASJARVI,FI,65.366667,27.016667,117
28690,EFKS,KUUSAMO,FI,65.966667,29.183333,263
28740,EFHL,HAILUOTO ISLAND,FI,65.033333,24.8,6
28744,EFYL,YLIVIESKA,FI,64.05,24.733333,77
28750,EFOU,OULU/ULEABORG,FI,64.933333,25.366667,15
28790,EFSU,SUOMUSSALMI,FI,64.9,29.016667,224
28970,EFKI,KAJAANI,FI,64.283333,27.683333,136
29010,,MASSKAR,FI,63.733333,22.583333,13
29030,EFKK,KRUUNUPYY,FI,63.716667,23.15,25
29050,,NIVALA,FI,63.916667,24.966667,81
29070,,ULKOKALLA (AUT),FI,64.333333,23.6,10
29100,,VALASSAARET (LGT-H),FI,63.433333,21.066667,8
29110,EFVA,VAASA,FI,63.05,21.766667,4
29130,EFKA,KAUHAVA (FIN-AFB),FI,63.1,23.033333,44
29150,EFVI,VIITASAARI,FI,63.083333,25.866667,132
29170,EFKU,KUOPIO (MIL/CIV),FI,63.016667,27.8,102
29190,,ILOMANTSI,FI,62.683333,30.95,165
29210,,MOIKIPAA,FI,62.883333,21.1,13
29240,EFHT,AHTARI,FI,62.533333,24.216667,161
29244,EFIL,ILMAJOKI,FI,62.7,22.833333,92
29290,EFJO,JOENSUU,FI,62.666667,29.633333,117
29350,EFJY,JYVASKYLA (MIL/CIV),FI,62.4,25.683333,145
29420,,NIINISALO,FI,61.85,22.466667,136
29440,EFTP,TAMPERE/PIRKKALA,FI,61.416667,23.583333,112
29450,EFHA,HALLI (FIN-AFB),FI,61.85,24.8,145
29470,EFMI,MIKKELI,FI,61.733333,27.3,138
29474,EFVR,VARKAUS,FI,62.166667,27.866667,87
29480,EFSA,SAVONLINNA (AUT),FI,61.95,28.95,95
29520,EFPO,PORI (MIL/CIV),FI,61.466667,21.8,17
29580,EFLP,LAPPEENRANTA,FI,61.083333,28.15,106
29610,,KUUSKAJASKARI,FI,61.133333,21.366667,10
29630,,JOKIOINEN,FI,60.816667,23.5,103
29650,,LAHTI,FI,60.966667,25.633333,84
29660,EFUT,UTTI (FIN-AFB),FI,60.9,26.933333,100
29700,EFMA,MARIEHAMN/ALAND ISL,FI,60.116667,19.9,6
29720,EFTU,TURKU/ABO,FI,60.516667,22.266667,59
29730,,SUOMUSJARVI,FI,60.4,23.766667,86
29740,EFHK,HELSINKI/VANTAA,FI,60.316667,24.966667,56
29750,EFHF,HELSINKI/MALMI    &,FI,60.25,25.05,28
29760,,RANKKI,FI,60.366667,26.966667,12
29800,,NYHAMN,FI,59.966667,19.966667,10
29810,,UTO ISLAND,FI,59.783333,21.383333,7
29820,,RUSSARO,FI,59.766667,22.95,11
29840,,BAGASKAR,FI,59.933333,24.016667,21
29870,,KALLBADAGRUND (AUT),FI,59.983333,25.6,19
29880,,ISOSAARI,FI,60.1,25.066667,5
29900,,KUMLINGE ISLAND,FI,60.3,20.75,5
29930,,MARKET (AUT),FI,60.3,19.133333,11
30010,,MUCKLE FLUGGA (LH),UK,60.85,-0.883333,53
30020,,BALTASOUND (SAWS),UK,60.75,-0.85,15
30030,EGPB,SUMBURGH (CAPE),UK,59.883333,-1.3,5
30040,,COLLAFIRTH HILL,UK,60.533333,-1.383333,228
30050,,LERWICK/SHETLAND IS,UK,60.133333,-1.183333,84
30060,,SELLA NESS (AUT),UK,60.45,-1.266667,8
30064,EGPM,SCATSA/SHETLAND ISL,UK,60.433333,-1.3,22
30065,EGPW,UNST ISLAND,UK,60.733333,-0.816667,285
30070,,MUCKLE HOLM (AUT),UK,60.583333,-1.266667,22
30080,,FAIR ISLE,UK,59.533333,-1.633333,59
30090,,NORTH RONALDSAY ISL,UK,59.366667,-2.416667,11
30100,,SULE SKERRY (AUT),UK,59.083333,-4.4,16
30110,,NORTH RONA ISL AWS,UK,59.116667,-5.816667,98
30130,,FOULA ISLAND (AUX),UK,60.15,-2.066667,22
30140,,FOULA ISLAND (AUT),UK,60.116667,-2.066667,13
30170,EGPA,KIRKWALL AIRPORT,UK,58.95,-2.9,21
30210,,LOCHBOISDALE,UK,57.15,-7.316667,6
30220,EGPL,BENBECULA ISLAND,UK,57.466667,-7.366667,6
30240,,HYSKEIR (LGT-H),UK,56.966667,-6.683333,10
30250,,BUTT OF LEWIS (LH),UK,58.516667,-6.266667,23
30260,EGPO,STORNOWAY,UK,58.216667,-6.316667,13
30270,,WATERSTEIN (AUX),UK,57.433333,-6.766667,92
30310,,LOCH GLASCARNOCH,UK,57.716667,-4.883333,265
30340,,AULTBEA (AUT),UK,57.866667,-5.633333,11
30350,,BARRA ISLAND,UK,57.033333,-7.45,3
30380,,FORT WILLIAM,UK,56.833333,-5.1,20
30400,,KILMORY (AUX),UK,56.766667,-6.05,45
30410,,AONACH MOR.(AMOS),UK,56.816667,-4.966667,1130
30440,,ALTNAHARRA,UK,58.283333,-4.433333,80
30470,,TULLOCH BRIDGE(AUT),UK,56.866667,-4.7,237
30490,,CAPE WRATH (LGT-H),UK,58.633333,-5,112
30540,,STRATHY PT. (LGT-H),UK,58.6,-4.016667,32
30550,,RACKWICK,UK,58.866667,-3.383333,20
30570,,FOYERS,UK,57.266667,-4.483333,21
30580,,INVERGORDON HARBOUR,UK,57.683333,-4.166667,3
30590,EGPE,INVERNESS/DALCROSS,UK,57.533333,-4.05,9
30600,,TUMMEL BRIDGE,UK,56.7,-4.016667,145
30620,EGQA,TAIN RANGE (SAWS),UK,57.816667,-3.966667,4
30630,,AVIEMORE,UK,57.2,-3.833333,220
30650,,CAIRNGORM MTNS(AUT),UK,57.116667,-3.633333,1245
30660,EGQK,KINLOSS RAF,UK,57.65,-3.566667,7
30670,,FEALAR LODGE,UK,56.9,-3.633333,560
30680,EGQS,LOSSIEMOUTH RAF,UK,57.716667,-3.316667,13
30700,,GLENLIVET,UK,57.35,-3.35,215
30710,,GRANTOWN-ON-SPEY,UK,57.333333,-3.633333,335
30740,,SCRABSTER HARBOUR,UK,58.616667,-3.55,10
30750,EGPC,WICK,UK,58.45,-3.083333,39
30760,,TEMP FOR 03075,UK,58.45,-3.1,39
30770,,LYBSTER,UK,58.316667,-3.283333,85
30800,,ABOYNE (SAWS),UK,57.083333,-2.833333,140
30850,,INCHMARLO,UK,57.066667,-2.533333,80
30880,,INVERBERVIE (SAWS),UK,56.85,-2.266667,134
30910,EGPD,ABERDEEN/DYCE,UK,57.2,-2.216667,65
30920,,PETERHEAD HARBOUR,UK,57.5,-1.766667,5
30940,,ROSEHEARTY,UK,57.7,-2.116667,4
31000,EGPU,TIREE ISLAND,UK,56.5,-6.883333,12
31020,,ORSAY (LGT-H),UK,55.666667,-6.5,23
31053,EGPI,ISLAY/PORT ELLEN  &,UK,55.683333,-6.25,18
31110,EGQJ,MACHRIHANISH RAF,UK,55.433333,-5.7,13
31140,,OBAN,UK,56.416667,-5.466667,4
31180,,CORSEWALL PT. (LH),UK,55,-5.15,15
31200,,LOCHRANZA,UK,55.7,-5.3,8
31320,EGOY,WEST FREUGH (AUT),UK,54.85,-4.95,12
31350,EGPK,PRESTWICK(CIV/NAVY),UK,55.5,-4.583333,20
31360,,PRESTWICK(ROYAL),UK,55.516667,-4.583333,28
31370,,WHITHORN,UK,54.7,-4.416667,40
31380,,GREENOCK (AUX),UK,55.966667,-4.8,10
31400,EGPF,GLASGOW AIRPORT,UK,55.866667,-4.433333,8
31440,,STRATHALLAN (AUT),UK,56.316667,-3.733333,35
31520,,SALSBURGH,UK,55.866667,-3.866667,275
31530,,DUNDRENNAN (AUT),UK,54.8,-4,114
31540,,DUMFRIES/DRUNGANS,UK,55.05,-3.65,16
31550,,DRUMALBIN,UK,55.616667,-3.75,237
31573,EGPT,PERTH/SCONE       &,UK,56.45,-3.366667,121
31580,,CHARTERHALL (AUT),UK,55.7,-2.383333,112
31600,EGPH,EDINBURGH AIRPORT &,UK,55.95,-3.35,41
31610,,EDDLESTON,UK,55.7,-3.216667,195
31620,,ESKDALEMUIR,UK,55.316667,-3.2,242
31634,EGPN,DUNDEE/RIVERSIDE,UK,56.45,-3.016667,4
31650,EGOM,SPADEADAM,UK,55.05,-2.55,325
31700,,SHANWELL,UK,56.433333,-2.866667,5
31710,EGQL,LEUCHARS RAF,UK,56.383333,-2.866667,12
31740,,FIFE NESS (CAPE),UK,56.3,-2.583333,6
31760,,CARTERHOUSE,UK,55.366667,-2.516667,308
