user,is_default
sysbin,true
sysckp,true
sysdba,true
sysdump1,true
syserr,true
sysmaint,true
sysman,true
sysop,true
system,true
systest,true
systest_clig,true
syswrm,true
tdisk,true
teacher,true
tech,true
tele,true
telecom,true
teledemo,true
tellabs,true
temp,true
temp1,true
test,true
tool,true
topicalt,true
topicnorm,true
topicres,true
touncptlf,true
tour,true
tpslocalserver,true
tracesrv,true
trouble,true
tsafvm,true
tsdev,true
tsuser,true
tutor,true
uetp,true
umountfs,true
umountsys,true
unix,true
user,true
user0,true
user1,true
user2,true
user3,true
user4,true
user5,true
user6,true
user7,true
user8,true
user9,true
user_template,true
userid,true
userp,true
uucp,true
uucpadm,true
vastest,true
vax,true
vm3812,true
vmarch,true
vmasmon,true
vmassys,true
vmbackup,true
vmbsysad,true
vmmap,true
vms,true
vmtape,true
vmtlibr,true
vmutil,true
vnc,true
volition,true
votpfrem,true
vrr1,true
vseipo,true
vsemaint,true
vseman,true
vt100,true
vtam,true
vtamuser,true
wangtek,true
web,true
webadmin,true
webdb,true
webmaster,true
webshield,true
windows_passthru,true
winsabre,true
wp,true
wpsadmin,true
wradmin,true
write,true
www,true
