control_desc,control_label,control_number,view,splunk_use_case
Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational information systems.,Vulnerability management,3.12.2,cc_app_3_12_02,false
Monitor information system security controls on an ongoing basis to ensure the continued effectiveness of the controls.,Control effectiveness,3.12.3,cc_app_3_12_03,true
Monitor  control  and protect organizational communications (i.e.  information transmitted or received by organizational information systems) at the external boundaries and key internal boundaries of the information systems.,Boundary protection,3.13.1,cc_app_3_13_01,true
Employ architectural designs  software development techniques  and systems engineering principles that promote effective information security within organizational information systems.,Security architecture,3.13.2,cc_app_3_13_02,false
Separate user functionality from information system management functionality (e.g.  privileged user functions).,User and management functionality,3.13.3,cc_app_3_13_03,false
Prevent unauthorized and unintended information transfer via shared system resources.,Information transfer prevention,3.13.4,cc_app_3_13_04,false
Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.,Subnetworks,3.13.5,cc_app_3_13_05,false
Deny network communications traffic by default and allow network communications traffic by exception (i.e.  deny all  permit by exception).,Deny by default,3.13.6,cc_app_3_13_06,false
Prevent remote devices from simultaneously establishing non-remote connections with the information system and communicating via some other connection to resources in external networks.,Dual-homing,3.13.7,cc_app_3_13_07,false
Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.,CUI transmission,3.13.8,cc_app_3_13_08,false
Terminate network connections associated with communications sessions at the end of the sessions or after a defined period of inactivity.,Connection termination,3.13.9,cc_app_3_13_09,false
Establish and manage cryptographic keys for cryptography employed in the information system.,Key management,3.13.10,cc_app_3_13_10,false
Employ FIPS-validated cryptography when used to protect the confidentiality of CUI.,FIPS-validated cryptography,3.13.11,cc_app_3_13_11,false
Prohibit remote activation of collaborative computing devices and provide indication of devices in use to users present at the device.,Remote use of collaborative computing devices,3.13.12,cc_app_3_13_12,false
Control and monitor the use of mobile code,Mobile code,3.13.13,cc_app_3_13_13,true
Control and monitor the use of Voice over Internet Protocol (VoIP) technologies.,VoIP,3.13.14,cc_app_3_13_14,false
Protect the authenticity of communications sessions.,Communications authenticity,3.13.15,cc_app_3_13_15,false
Protect the confidentiality of CUI at rest.,CUI at rest,3.13.16,cc_app_3_13_16,false
Identify  report  and correct information and information system flaws in a timely manner.,Flaw handling,3.14.1,cc_app_3_14_01,true
Provide protection from malicious code at appropriate locations within organizational information systems.,Malicious code protection,3.14.2,cc_app_3_14_02,false
Monitor information system security alerts and advisories and take appropriate actions in response.,Alert monitoring,3.14.3,cc_app_3_14_03,true
Update malicious code protection mechanisms when new releases are available.,Protection updates,3.14.4,cc_app_3_14_04,true
Perform periodic scans of the information system and real-time scans of files from external sources as files are downloaded  opened  or executed.,File and malware scanning,3.14.5,cc_app_3_14_05,true
Monitor the information system  including inbound and outbound communications traffic  to detect attacks and indicators of potential attacks.,Traffic monitoring,3.14.6,cc_app_3_14_06,true
Identify unauthorized use of the information system.,Unauthorized use,3.14.7,cc_app_3_14_07,true
