cim_field,data_model
dest_requires_av,Endpoint
dest_should_timesync,Endpoint
dest_should_update,Endpoint
mem_used,Endpoint
os,Endpoint
parent_process_exec,Endpoint
parent_process_guid,Endpoint
parent_process_hash,Endpoint
parent_process_id,Endpoint
parent_process_path,Endpoint
process_current_directory,Endpoint
process_exec,Endpoint
process_guid,Endpoint
process_hash,Endpoint
process_id,Endpoint
process_integrity_level,Endpoint
process_path,Endpoint
tag,Endpoint
user_bunit,Endpoint
user_category,Endpoint
user_id,Endpoint
user_priority,Endpoint
dest_bunit,Endpoint
dest_category,Endpoint
dest_priority,Endpoint
dest_requires_av,Endpoint
dest_should_timesync,Endpoint
dest_should_update,Endpoint
process_guid,Endpoint
process_id,Endpoint
registry_hive,Endpoint
registry_value_text,Endpoint
status,Endpoint
tag,Endpoint
user_bunit,Endpoint
user_category,Endpoint
user_priority,Endpoint
description,Endpoint
dest_bunit,Endpoint
dest_category,Endpoint
dest_is_expected,Endpoint
dest_priority,Endpoint
dest_requires_av,Endpoint
dest_should_timesync,Endpoint
dest_should_update,Endpoint
process_guid,Endpoint
process_id,Endpoint
service_dll,Endpoint
service_dll_hash,Endpoint
service_dll_path,Endpoint
service_dll_signature_exists,Endpoint
service_dll_signature_verified,Endpoint
service_exec,Endpoint
service_hash,Endpoint
service_path,Endpoint
service_signature_exists,Endpoint
service_signature_verified,Endpoint
tag,Endpoint
user_bunit,Endpoint
user_category,Endpoint
user_priority,Endpoint
dest*,Endpoint
service*,Endpoint
service_id*,Endpoint
service_name*,Endpoint
start_mode*,Endpoint
status*,Endpoint
user*,Endpoint
vendor_product*,Endpoint
action*,Endpoint
dest*,Endpoint
registry_key_name*,Endpoint
registry_path*,Endpoint
registry_value_data*,Endpoint
registry_value_name*,Endpoint
registry_value_type*,Endpoint
user*,Endpoint
vendor_product*,Endpoint
dest*,Endpoint
loaded_file*,Endpoint
original_file_name*,Endpoint
parent_process*,Endpoint
parent_process_name*,Endpoint
process*,Endpoint
process_name*,Endpoint
user*,Endpoint
vendor_product*,Endpoint
dest*,Endpoint
src*,Endpoint
src_port*,Endpoint
user*,Endpoint
vendor_product*,Endpoint
action*,Endpoint
dest*,Endpoint
file_acl*,Endpoint
file_hash*,Endpoint
file_name*,Endpoint
file_path*,Endpoint
file_size*,Endpoint
user*,Endpoint
vendor_product*,Endpoint
dest,Event_Signatures
dest_bunit,Event_Signatures
dest_category,Event_Signatures
dest_priority,Event_Signatures
signature,Event_Signatures
signature_id,Event_Signatures
tag,Event_Signatures
vendor_product*,Event_Signatures
dest_bunit,Interprocess_Messaging
dest_category,Interprocess_Messaging
dest_priority,Interprocess_Messaging
duration,Interprocess_Messaging
