ID,STIX ID,name,description,url,created,last modified,domain,version,tactics,detection,platforms,data sources,is sub-technique,sub-technique of,defenses bypassed,contributors,permissions required,supports remote,system requirements,impact type,effective permissions,relationship citations
T1003.006,attack-pattern--f303a39a-6255-4b89-aecc-18c4d8ca7163,DCSync,"Adversaries may attempt to access credentials and other sensitive information by abusing a Windows Domain Controller's application programming interface (API) to simulate the replication process from a remote domain controller using a technique called DCSync. Members of the Administrators, Domain Admins, and Enterprise Admin groups or computer accounts on the domain controller are able to run DCSync to pull password data from Active Directory, which may include current and historical hashes of potentially useful accounts such as KRBTGT and Administrators. The hashes can then in turn be used to create a [Golden Ticket](https://attack.mitre.org/techniques/T1558/001) for use in [Pass the Ticket](https://attack.mitre.org/techniques/T1550/003) or change an account's password as noted in [Account Manipulation](https://attack.mitre.org/techniques/T1098). DCSync functionality has been included in the ""lsadump"" module in [Mimikatz](https://attack.mitre.org/software/S0002). Lsadump also includes NetSync, which performs DCSync over a legacy replication protocol.",https://attack.mitre.org/techniques/T1003/006,11 February 2020,24 October 2025,enterprise-attack,1.1,Credential Access,"Detects unauthorized invocation of replication operations (DCSync) via Directory Replication Service (DRS), often executed by threat actors using Mimikatz or similar tools from non-DC endpoints.",Windows,"Active Directory Object Access, Active Directory Object Deletion, Network Traffic Content",TRUE,T1003,,"ExtraHop, Vincent Le Toux",,,,,,
T1003.007,attack-pattern--3120b9fa-23b8-4500-ae73-09494f607b7d,Proc Filesystem,"Adversaries may gather credentials from the proc filesystem or `/proc`. The proc filesystem is a pseudo-filesystem used as an interface to kernel data structures for Linux based systems managing virtual memory. For each process, the `/proc/<PID>/maps` file shows how memory is mapped within the process’s virtual address space. And `/proc/<PID>/mem`, exposed for debugging purposes, provides access to the process’s virtual address space. When executing with root privileges, adversaries can search these memory locations for all processes on a system that contain patterns indicative of credentials. Adversaries may use regex patterns, such as <code>grep -E ""^[0-9a-f-]* r"" /proc/""$pid""/maps | cut -d' ' -f 1</code>, to look for fixed strings in memory structures or cached hashes. When running without privileged access, processes can still view their own virtual memory locations. Some services or programs may save credentials in clear text inside the process’s memory. If running as or with the permissions of a web browser, a process can search the `/maps` & `/mem` locations for common website credential patterns (that can also be used to find adjacent memory within the same structure) in which hashes or cleartext credentials may be located.",https://attack.mitre.org/techniques/T1003/007,11 February 2020,24 October 2025,enterprise-attack,1.2,Credential Access,"Monitoring adversary access to sensitive process memory via the /proc filesystem to extract credential material, often involving multi-step access to /proc/[pid]/mem or /proc/[pid]/maps combined with privilege escalation or credential scraping binaries.",Linux,"File Access, File Modification, Process Access, Process Creation",TRUE,T1003,,Tim (Wadhwa-)Brown,,,,,,
T1003.008,attack-pattern--d0b4fcdb-d67d-4ed2-99ce-788b12f8c0f4,/etc/passwd and /etc/shadow,"Adversaries may attempt to dump the contents of <code>/etc/passwd</code> and <code>/etc/shadow</code> to enable offline password cracking. Most modern Linux operating systems use a combination of <code>/etc/passwd</code> and <code>/etc/shadow</code> to store user account information, including password hashes in <code>/etc/shadow</code>. By default, <code>/etc/shadow</code> is only readable by the root user. Linux stores user information such as user ID, group ID, home directory path, and login shell in <code>/etc/passwd</code>. A ""user"" on the system may belong to a person or a service. All password hashes are stored in <code>/etc/shadow</code> - including entries for users with no passwords and users with locked or disabled accounts. Adversaries may attempt to read or dump the <code>/etc/passwd</code> and <code>/etc/shadow</code> files on Linux systems via command line utilities such as the <code>cat</code> command. Additionally, the Linux utility <code>unshadow</code> can be used to combine the two files in a format suited for password cracking utilities such as John the Ripper - for example, via the command <code>/usr/bin/unshadow /etc/passwd /etc/shadow > /tmp/crack.password.db</code>. Since the user information stored in <code>/etc/passwd</code> are linked to the password hashes in <code>/etc/shadow</code>, an adversary would need to have access to both.",https://attack.mitre.org/techniques/T1003/008,11 February 2020,24 October 2025,enterprise-attack,1.2,Credential Access,"Adversaries attempt to read sensitive files such as /etc/passwd and /etc/shadow for credential dumping. This may involve access to the files directly via command-line utilities (e.g., cat, less), creation of backup copies, or parsing through post-exploitation frameworks. Multi-event correlation includes elevated process execution, file access/read on sensitive paths, and anomalous read behaviors tied to non-root or unusual users.",Linux,"File Access, Process Creation",TRUE,T1003,,,,,,,,
T1005,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5,Data from Local System,"Adversaries may search local system sources, such as file systems, configuration files, local databases, virtual machine files, or process memory, to find files of interest and sensitive data prior to Exfiltration. Adversaries may do this using a [Command and Scripting Interpreter](https://attack.mitre.org/techniques/T1059), such as [cmd](https://attack.mitre.org/software/S0106) as well as a [Network Device CLI](https://attack.mitre.org/techniques/T1059/008), which have functionality to interact with the file system to gather information. Adversaries may also use [Automated Collection](https://attack.mitre.org/techniques/T1119) on the local system.",https://attack.mitre.org/techniques/T1005,31 May 2017,24 October 2025,enterprise-attack,1.8,Collection,"Adversaries collecting local files via PowerShell, WMI, or direct file API calls often include recursive file listings, targeted file reads, and temporary file staging.

Adversaries using bash scripts or tools to recursively enumerate user home directories, config files, or SSH keys.

Adversary use of bash/zsh or AppleScript to locate files and exfil targets like user keychains or documents.

Collection of device configuration via CLI commands (e.g., `show running-config`, `copy flash`, `more`), often followed by TFTP/SCP transfers.

Adversaries accessing datastore or configuration files via `vim-cmd`, `esxcli`, or SCP to extract logs, VMs, or host configurations.","ESXi, Linux, macOS, Network Devices, Windows","Process Creation, File Creation, File Access, Command Execution",FALSE,,,"William Cain, Austin Clark, @c2defense, Liran Ravich, CardinalOps",,,,,,
T1006,attack-pattern--0c8ab3eb-df48-4b9c-ace7-beacaac81cc5,Direct Volume Access,"Adversaries may directly access a volume to bypass file access controls and file system monitoring. Windows allows programs to have direct access to logical volumes. Programs with direct access may read and write files directly from the drive by analyzing file system data structures. This technique may bypass Windows file access controls as well as file system monitoring tools. Utilities, such as `NinjaCopy`, exist to perform these actions in PowerShell. Adversaries may also use built-in or third-party utilities (such as `vssadmin`, `wbadmin`, and [esentutl](https://attack.mitre.org/software/S0404)) to create shadow copies or backups of data from system volumes.",https://attack.mitre.org/techniques/T1006,31 May 2017,15 April 2026,enterprise-attack,3.0,Stealth,"Processes accessing raw logical drives (e.g., \.\C:) to bypass file system protections or directly manipulate data structures.

CLI or automated utilities accessing raw device volumes or flash storage directly (e.g., via `copy flash:`, `format`, or `partition` commands).","Network Devices, Windows","Process Access, Process Creation, Command Execution",FALSE,,,"Tom Simpson, CrowdStrike Falcon OverWatch",,,,,,
T1007,attack-pattern--322bad5a-1c49-4d23-ab79-76d641794afa,System Service Discovery,"Adversaries may try to gather information about registered local system services. Adversaries may obtain information about services using tools as well as OS utility commands such as <code>sc query</code>, <code>tasklist /svc</code>, <code>systemctl --type=service</code>, and <code>net start</code>. Adversaries may also gather information about schedule tasks via commands such as `schtasks` on Windows or `crontab -l` on Linux and macOS. Adversaries may use the information from [System Service Discovery](https://attack.mitre.org/techniques/T1007) during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.",https://attack.mitre.org/techniques/T1007,31 May 2017,24 October 2025,enterprise-attack,1.6,Discovery,"Enumeration of services via native CLI tools (e.g., `sc query`, `tasklist /svc`, `net start`) or API calls via PowerShell and WMI.

Execution of service management commands like `systemctl list-units`, `service --status-all`, or direct reading of `/etc/init.d`.

Discovery via launchctl commands, or process enumeration using `ps aux | grep com.apple.` to identify daemons and services.","Linux, macOS, Windows","Process Creation, Command Execution",FALSE,,,"Harshal Tupsamudre, Qualys",,,,,,
T1008,attack-pattern--f24faf46-3b26-4dbb-98f2-63460498e433,Fallback Channels,Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds.,https://attack.mitre.org/techniques/T1008,31 May 2017,24 October 2025,enterprise-attack,1.1,Command and Control,"Establishing network connections on uncommon ports or protocols following C2 disruption or blocking. Often executed by processes that typically exhibit no network activity.

Creation of outbound connections on alternate ports or using covert transport (e.g., ICMP, DNS) from non-network-intensive processes, following known disruption or blocked traffic.

Outbound fallback traffic from low-profile or background launch agents using unusual protocols or destinations after primary channel inactivity.

Outbound traffic from host management services or guest-to-host interactions over unusual interfaces (e.g., backdoor API endpoints or external VPN tunnels).","ESXi, Linux, macOS, Windows","Network Connection Creation, Network Traffic Flow",FALSE,,,,,,,,,
T1010,attack-pattern--4ae4f953-fe58-4cc8-a327-33257e30a830,Application Window Discovery,"Adversaries may attempt to get a listing of open application windows. Window listings could convey information about how the system is used. For example, information about application windows could be used identify potential data to collect as well as identifying security tooling ([Security Software Discovery](https://attack.mitre.org/techniques/T1518/001)) to evade. Adversaries typically abuse system features for this type of enumeration. For example, they may gather information through native system features such as [Command and Scripting Interpreter](https://attack.mitre.org/techniques/T1059) commands and [Native API](https://attack.mitre.org/techniques/T1106) functions.",https://attack.mitre.org/techniques/T1010,31 May 2017,24 October 2025,enterprise-attack,1.3,Discovery,"Processes using Win32 API calls (e.g., EnumWindows, GetForegroundWindow) or scripting tools (e.g., PowerShell, VBScript) to enumerate open windows. These often appear with reconnaissance or data collection TTPs.

Scripted or binary usage of X11 utilities (e.g., xdotool, wmctrl) or direct /proc/*/window mappings to discover open GUI windows and active desktops.

Processes that utilize AppleScript, `CGWindowListCopyWindowInfo`, or `NSRunningApplication` APIs to list active application windows and foreground processes.","Linux, macOS, Windows","Process Access, Command Execution, Process Creation, OS API Execution",FALSE,,,,,,,,,
T1011,attack-pattern--51ea26b1-ff1e-4faa-b1a0-1114cd298c87,Exfiltration Over Other Network Medium,"Adversaries may attempt to exfiltrate data over a different network medium than the command and control channel. If the command and control network is a wired Internet connection, the exfiltration may occur, for example, over a WiFi connection, modem, cellular data connection, Bluetooth, or another radio frequency (RF) channel. Adversaries may choose to do this if they have sufficient access or proximity, and the connection might not be secured or defended as well as the primary Internet-connected channel because it is not routed through the same enterprise network.",https://attack.mitre.org/techniques/T1011,31 May 2017,24 October 2025,enterprise-attack,1.2,Exfiltration,"Execution of file transfer or network access activity through non-primary interfaces (e.g., WiFi, Bluetooth, cellular) by processes not typically associated with such behavior (e.g., rundll32, powershell, regsvr32).

Use of `rfkill`, `nmcli`, or low-level tools (e.g., `iw`, `hcitool`, `pppd`) to enable alternate interfaces followed by data transfer via non-primary NICs.

AppleScript or system calls to activate WiFi/Bluetooth interfaces (`networksetup`, `blueutil`), followed by exfiltration via AirDrop, cloud sync, or network socket.","Linux, macOS, Windows","Network Connection Creation, Network Traffic Content, File Creation, Command Execution, Network Traffic Flow, Process Creation, Host Status",FALSE,,,"Itzik Kotler, SafeBreach",,,,,,
T1011.001,attack-pattern--613d08bc-e8f4-4791-80b0-c8b974340dfd,Exfiltration Over Bluetooth,"Adversaries may attempt to exfiltrate data over Bluetooth rather than the command and control channel. If the command and control network is a wired Internet connection, an adversary may opt to exfiltrate data using a Bluetooth communication channel. Adversaries may choose to do this if they have sufficient access and proximity. Bluetooth connections might not be secured or defended as well as the primary Internet-connected channel because it is not routed through the same enterprise network.",https://attack.mitre.org/techniques/T1011/001,09 March 2020,24 October 2025,enterprise-attack,1.2,Exfiltration,"Detection of non-interactive or suspicious processes accessing Bluetooth interfaces and transmitting outbound traffic following file access or staging activity.

Use of hcitool, bluetoothctl, or rfcomm to initialize Bluetooth connection paired with recent file reads by the same user or session.

Observation of `blueutil`/`networksetup` commands or low-level APIs toggling Bluetooth or initiating transfers, especially if paired with recent large file read activity by non-GUI processes.","Linux, macOS, Windows","Network Connection Creation, File Creation, Process Creation, Command Execution, File Access",TRUE,T1011,,,,,,,,
T1012,attack-pattern--c32f7008-9fea-41f7-8366-5eb9b74bd896,Query Registry,"Adversaries may interact with the Windows Registry to gather information about the system, configuration, and installed software. The Registry contains a significant amount of information about the operating system, configuration, software, and security. Information can easily be queried using the [Reg](https://attack.mitre.org/software/S0075) utility, though other means to access the Registry exist. Some of the information may help adversaries to further their operation within a network. Adversaries may use the information from [Query Registry](https://attack.mitre.org/techniques/T1012) during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.",https://attack.mitre.org/techniques/T1012,31 May 2017,24 October 2025,enterprise-attack,1.3,Discovery,"Registry read access associated with suspicious or non-interactive processes querying system config, installed software, or security settings.",Windows,"Process Creation, Windows Registry Key Modification, Command Execution",FALSE,,,,,,,,,
T1014,attack-pattern--0f20e3cb-245b-4a61-8a91-2d93f7cb0e9b,Rootkit,"Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components. Rootkits are programs that hide the existence of malware by intercepting/hooking and modifying operating system API calls that supply system information. Rootkits or rootkit enabling functionality may reside at the user or kernel level in the operating system or lower, to include a hypervisor or [System Firmware](https://attack.mitre.org/techniques/T1542/001). Rootkits have been seen for Windows, Linux, and Mac OS X systems. Rootkits that reside or modify boot sectors are known as [Bootkit](https://attack.mitre.org/techniques/T1542/003)s and specifically target the boot process of the operating system.",https://attack.mitre.org/techniques/T1014,31 May 2017,15 April 2026,enterprise-attack,2.0,Stealth,"Unauthorized or anomalous loading of kernel-mode drivers or DLLs, concealed services, or abnormal modification of boot components indicative of rootkit activity.

Abnormal loading of kernel modules, direct tampering with /dev, /proc, or LD_PRELOAD behaviors hiding processes or files.

Execution of unsigned kernel extensions (KEXTs), tampering with LaunchDaemons, or userspace hooks into system libraries.","Linux, macOS, Windows","Driver Load, Service Creation, File Creation, Process Creation, File Modification, Module Load",FALSE,,,Menachem Goldstein,,,,,,
