field_names,keyword,monitor,name,priority,regex,status,template
EVENTTIME BUCKET ID TIME,bucket,TRUE, IndexWriter - Creating hot bucket,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+IndexWriter\s+-\s+Creating\s+hot\s+bucket=(?P<BUCKET>[^\s+]+)\s+idx=(?P<ID>[^\s+]+)\s+event\s+timestamp=(?P<TIME>[^\s+]+)\s+reason=\""[^\""]+\""",Active,"EVENTTIME INFO  IndexWriter - Creating hot bucket=BUCKET idx=ID event timestamp=TIME reason=""suitable bucket not found, number of hot buckets=0, max=3"""
EVENTTIME INDEX_NO,whitelist,1,,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+TcpOutputProc\s+-\s+found\s+Whitelist\s+forwardedindex.(?P<INDEX_NO>\d+\.?\d*).whitelist\s+,\s+RE\s+:\s+.\*",Active,"EVENTTIME INFO TcpOutputProc - found Whitelist forwardedindex.INDEX_NO.whitelist , RE : .*"
EVENTTIME BID SOURCES,bid,TRUE,CMSearchFilesSyncer - Successfully received search files,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+CMSearchFilesSyncer\s+-\s+Successfully\s+received\s+search\s+files\s+for\s+bid=(?P<BID>[^\s+]+)\s+from\s+srcs=(?P<SOURCES>[^\s+]+),Active,EVENTTIME INFO  CMSearchFilesSyncer - Successfully received search files for bid=BID from srcs=SOURCES
EVENTTIME SID CSV_FILE,sid,TRUE,SearchOperator-invalid lookuptable,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+SearchOperator:inputcsv\s+-\s+sid:(?P<SID>\S+)\s+The\s+lookup\s+table\s+(?P<CSV_FILE>\S+)\s+is\s+invalid.,Active,EVENTTIME WARN SearchOperator:inputcsv - sid:SID The lookup table CSV_FILE is invalid.
EVENTTIME REASON CURRENT_CONCURRENCY CONCURRENCY_LIMIT,current_concurrency,TRUE,SearchScheduler - reason concurrency limit,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+ERROR\s+SearchScheduler\s+-\s+reason=\""(?P<REASON>.*)"",\s+concurrency_category=\""[^\""]+\"",\s+concurrency_context=\""[^\""]+\"",\s+current_concurrency=(?P<CURRENT_CONCURRENCY>[^\s+]+),\s+concurrency_limit=(?P<CONCURRENCY_LIMIT>[^\s+]+)",Active,"EVENTTIME ERROR SearchScheduler - reason=""REASON"", concurrency_category=""historical"", concurrency_context=""instance-wide"", current_concurrency=CURRENT_CONCURRENCY, concurrency_limit=CONCURRENCY_LIMIT"
EVENTTIME CIPHER_SUITE,using,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+UiHttpListener\s+-\s+Using\s+cipher\s+suite\s+(?P<CIPHER_SUITE>[^\s+]+),Active,EVENTTIME INFO  UiHttpListener - Using cipher suite CIPHER_SUITE
EVENTTIME FILE,file,TRUE,WatchedFile - Checksum for seekptr didn't match,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+WatchedFile\s+-\s+Checksum\s+for\s+seekptr\s+didn't\s+match,\s+will\s+re-read\s+entire\s+file=(?P<FILE>[^\s+]+)",Active,"EVENTTIME INFO  WatchedFile - Checksum for seekptr didn't match, will re-read entire file=FILE"
EVENTTIME MASTER_GUID,masterguid,TRUE,LMTracker - setting masterGuid,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+LMTracker\s+-\s+setting\s+masterGuid=(?P<MASTER_GUID>[^\s+]+),Active,EVENTTIME INFO  LMTracker - setting masterGuid=MASTER_GUID
EVENTTIME,rt,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+IndexProcessor\s+-\s+not\s+starting\s+rt\s+router\s+thread,Active,EVENTTIME INFO IndexProcessor - not starting rt router thread
EVENTTIME PORT LEVEL,port,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+TcpInputConfig\s+-\s+IPv4\s+port\s+(?P<PORT>\d+\.?\d*)\s+will\s+negotiate\s+s2s\s+protocol\s+level\s+(?P<LEVEL>\d+\.?\d*),Active,EVENTTIME INFO  TcpInputConfig - IPvLEVEL port PORT will negotiate s2s protocol level 4
EVENTTIME COUNT,views,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+ScheduledViewsReaper\s+-\s+Scheduled\s+views\s+reaper\s+run\s+complete.\s+Reaped\s+count=(?P<COUNT>[^\s+]+)\s+scheduled\s+views,Active,EVENTTIME INFO ScheduledViewsReaper - Scheduled views reaper run complete. Reaped count=COUNT scheduled views
EVENTTIME NUMBER_OF_THREADS,threads,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+loader\s+-\s+Limiting\s+REST\s+HTTP\s+server\s+to\s+(?P<NUMBER_OF_THREADS>\d+\.?\d*)\s+threads,Active,EVENTTIME INFO  loader - Limiting REST HTTP server to NUMBER_OF_THREADS threads
EVENTTIME STANZA_PATH,parsing,0,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+TailingProcessor\s+-\s+Parsing\s+configuration\s+stanza:\s+batch:(?P<STANZA_PATH>\S+),Active,EVENTTIME INFO TailingProcessor - Parsing configuration stanza: batch:STANZA_PATH
EVENTTIME GROUP OPEN_BUCKETS,open_buckets,TRUE,Metrics - group open_buckets,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+open_buckets=(?P<OPEN_BUCKETS>[^\s+]+),Active,EVENTTIME INFO  Metrics - group=GROUP open_buckets=OPEN_BUCKETS
EVENTTIME THREAD,thread,0,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+TailReader\s+-\s+Starting\s+(?P<THREAD>.*)\s+thread,Active,EVENTTIME INFO  TailReader - Starting THREAD thread
EVENTTIME IPADDRESS PATH REASONFORSHOUTDOWN,processing,TRUE, HttpListener - Exception while processing request from IPADDRESS for PATH,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+ERROR\s+HttpListener\s+-\s+Exception\s+while\s+processing\s+request\s+from\s+(?P<IPADDRESS>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}[\#\:\-]\d+)\s+for\s+(?P<PATH>.*):\s+(?P<REASONFORSHOUTDOWN>.*)",Active,EVENTTIME ERROR HttpListener - Exception while processing request from IPADDRESS for PATH: REASONFORSHOUTDOWN
EVENTTIME BID,replication,TRUE,BucketReplicator - Skipping replication of bucket,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+BucketReplicator\s+-\s+Skipping\s+replication\s+of\s+bucket\s+bid=(?P<BID>[^\s+]+)\s+No\s+replication\s+targets\s+were\s+returned,Active,EVENTTIME WARN  BucketReplicator - Skipping replication of bucket bid=BID No replication targets were returned
EVENTTIME BID ID,sending,TRUE,CMSlave - sending search files for bucket,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+CMSlave\s+-\s+sending\s+search\s+files\s+for\s+bucket\s+bid=(?P<BID>[^\s+]+)\s+to\s+guid=(?P<ID>[^\s+]+),Active,EVENTTIME INFO  CMSlave - sending search files for bucket bid=BID to guid=ID
EVENTTIME EVENT BID SOURCE REMOTE_ERROR,event,TRUE, S2SFileReceiver - event remoteError,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+S2SFileReceiver\s+-\s+event=(?P<EVENT>[^\s+]+)\s+bid=(?P<BID>[^\s+]+)\s+src=(?P<SOURCE>[^\s+]+)\s+remoteError=(?P<REMOTE_ERROR>[^\s+]+),Active,EVENTTIME INFO  S2SFileReceiver - event=EVENT bid=BID src=SOURCE remoteError=REMOTE_ERROR
EVENTTIME KEY USER,kvstorageprovider,TRUE, KVStorageProvider - Insert data failed,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+ERROR\s+KVStorageProvider\s+-\s+Insert\s+data\s+failed,\s+as\s+_key=(?P<KEY>[^\s+]+)\s+&\s+_user=(?P<USER>[^\s+]+)\s+already\s+exists",Active,"EVENTTIME ERROR KVStorageProvider - Insert data failed, as _key=KEY & _user=USER already exists"
EVENTTIME,slaves,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+LMSlaveInfo\s+-\s+all\s+slaves\s+cleared,Active,EVENTTIME INFO LMSlaveInfo - all slaves cleared
EVENTTIME HEXDIGITS,build,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+loader\s+-\s+Splunkd\s+starting\s+\(build\s+(?P<HEXDIGITS>[0-9a-fA-F]+)\).,Active,EVENTTIME INFO loader - Splunkd starting \(build HEXDIGITS\).
EVENTTIME ACTION BID SOURCE TARGET,target,TRUE,CMReplicationRegistry - replication,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+CMReplicationRegistry\s+-\s+(?P<ACTION>.*)\s+replication:\s+bid=(?P<BID>[^\s+]+)\s+src=(?P<SOURCE>[^\s+]+)\s+target=(?P<TARGET>[^\s+]+),Active,EVENTTIME INFO  CMReplicationRegistry - ACTION replication: bid=BID src=SOURCE target=TARGET
EVENTTIME SPLUNK_NUMBER PORTNUMBER,splunk,0,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+TcpInputProc\s+-\s+Closing\s+splunk\s+(?P<SPLUNK_NUMBER>\d+\.?\d*)\s+splunk\s+IPv4\s+port\s+(?P<PORTNUMBER>\d+\.?\d*),Active,EVENTTIME INFO  TcpInputProc - Closing splunk SPLUNK_NUMBER splunk IPv4 port PORTNUMBER
