hostname,"last_seen"
"ads.cnn.com","05/28/2016 13:48:41.000"
"ads.miniclip.com","05/28/2016 13:47:21.000"
"ads.pointroll.com","05/28/2016 17:08:21.000"
"ads.prisacom.com","05/28/2016 13:36:41.000"
"ads.revsci.net","05/28/2016 13:06:41.000"
"ads.specificmedia.com","05/28/2016 13:23:36.000"
"ads.tw.adsonar.com","05/28/2016 13:42:56.000"
"ads.yimg.com","05/28/2016 13:20:06.000"
"ads1.msn.com","05/28/2016 12:52:41.000"
"afe.specificclick.net","05/28/2016 13:43:51.000"
"ak1.abmr.net","05/28/2016 13:48:16.000"
"amch.questionmarket.com","05/28/2016 13:46:51.000"
"an.tacoda.net","05/28/2016 13:10:21.000"
"anrtx.tacoda.net","05/28/2016 13:15:46.000"
"aolturnercnnmoney.122.2o7.net","05/28/2016 13:36:51.000"
"api.bigcharts.net","05/28/2016 13:46:46.000"
"as.casalemedia.com","05/28/2016 13:17:31.000"
"assets.espn.go.com","05/28/2016 12:27:16.000"
"atogama.informe.com","05/28/2016 13:44:51.000"
"avatars.liba.com","05/28/2016 13:41:36.000"
"b.mail.google.com","05/28/2016 13:49:11.000"
"b.scorecardresearch.com","05/28/2016 13:48:46.000"
"b.static.ak.facebook.com","05/28/2016 11:54:51.000"
"b.static.ak.fbcdn.net","05/28/2016 13:44:16.000"
"bannerfarm.ace.advertising.com","05/28/2016 12:32:26.000"
"bbs.sh.liba.com","05/28/2016 13:39:06.000"
"bbscount.liba.com","05/28/2016 13:46:46.000"
"bcalerts.money.cnn.com","05/28/2016 13:24:41.000"
"bcp.crwdcntrl.net","05/28/2016 13:30:56.000"
"beacon.scorecardresearch.com","05/28/2016 13:49:16.000"
"beacon.securestudies.com","05/28/2016 13:34:06.000"
"bh.contextweb.com","05/28/2016 12:05:56.000"
"bpmsupplychain.acmetech.com","05/28/2016 13:48:26.000"
"bpx.a9.com","05/28/2016 13:44:41.000"
"bs.serving-sys.com","05/28/2016 13:48:56.000"
"c.atdmt.com","05/28/2016 12:59:01.000"
"c.msn.com","05/28/2016 13:46:41.000"
"c1.zedo.com","05/28/2016 13:43:16.000"
"c46.statcounter.com","05/28/2016 13:41:56.000"
"cache.specificmedia.com","05/28/2016 13:44:46.000"
"cbs.112.2o7.net","05/28/2016 13:42:01.000"
"cdfreakscom.skimlinks.com","05/28/2016 13:21:56.000"
"cdn-thumbs.viddler.com","05/28/2016 13:04:31.000"
"cdn.at.atwola.com","05/28/2016 13:48:56.000"
"cdn.eyewonder.com","05/28/2016 13:48:26.000"
"cdn1.tvloop.com","05/28/2016 12:00:46.000"
"cdnedge.bbc.co.uk","05/28/2016 13:39:06.000"
"chatenabled.mail.google.com","05/28/2016 13:48:01.000"
"clickserve.cc-dt.com","05/28/2016 13:18:41.000"
"clients1.google.com","05/28/2016 13:44:31.000"
"clk.atdmt.com","05/28/2016 12:21:51.000"
"club.cdfreaks.com","05/28/2016 13:47:41.000"
"clubfiles2.liba.com","05/28/2016 13:10:31.000"
"cms.ad.yieldmanager.net","05/28/2016 13:18:11.000"
"cnnmoney.tags.crwdcntrl.net","05/28/2016 13:06:11.000"
"completion.amazon.com","05/28/2016 13:46:56.000"
"content.dl-rms.com","05/28/2016 12:40:01.000"
"content.yieldmanager.com","05/28/2016 13:22:41.000"
"content.yieldmanager.edgesuite.net","05/28/2016 13:49:16.000"
"cookex.amp.yahoo.com","05/28/2016 13:14:46.000"
"creative.ak.fbcdn.net","05/28/2016 13:43:21.000"
"csi.gstatic.com","05/28/2016 13:29:41.000"
"csvta.target.com","05/28/2016 12:45:41.000"
"d.yimg.com","05/28/2016 13:44:36.000"
"d1.openx.org","05/28/2016 13:36:06.000"
"datafeed.weatherbug.com","05/28/2016 13:46:56.000"
"desktopfw.weather.com","05/28/2016 13:46:51.000"
"ditu.google.cn","05/28/2016 13:06:46.000"
"download.finance.yahoo.com","05/28/2016 13:26:06.000"
"ds.dellfix.com","05/28/2016 13:20:56.000"
"ds.serving-sys.com","05/28/2016 13:40:11.000"
"dw.com.com","05/28/2016 13:20:36.000"
"ec.atdmt.com","05/28/2016 13:49:21.000"
"economictimes.indiatimes.com","05/28/2016 13:17:41.000"
"ecx.images-amazon.com","05/28/2016 13:48:51.000"
"edge.quantserve.com","05/28/2016 12:52:36.000"
"elong.122.2o7.net","05/28/2016 13:16:41.000"
"elong.allyes.com","05/28/2016 13:12:46.000"
"ems.messageone.com","05/28/2016 13:48:46.000"
"en.wikipedia.org","05/28/2016 13:29:06.000"
"espn.csar.go.com","05/28/2016 12:35:06.000"
"ext.tyroo.com","05/28/2016 12:57:31.000"
"external.ak.fbcdn.net","05/28/2016 13:11:51.000"
"failblog.files.wordpress.com","05/28/2016 13:46:31.000"
"fansided.com","05/28/2016 13:35:56.000"
"farm1.static.flickr.com","05/28/2016 12:55:36.000"
"farm2.static.flickr.com","05/28/2016 13:44:26.000"
"farm3.static.flickr.com","05/28/2016 13:37:51.000"
"farm4.static.flickr.com","05/28/2016 13:47:56.000"
"fdca.dateinasia.com","05/28/2016 13:46:36.000"
"feeds.foxsports.com","05/28/2016 13:42:16.000"
"files.hostelworld.com","05/28/2016 12:59:26.000"
"flash.quantserve.com","05/28/2016 13:32:56.000"
"fox-recs.loomia.com","05/28/2016 13:31:06.000"
"g-ecx.images-amazon.com","05/28/2016 13:41:21.000"
"games-ak.espn.go.com","05/28/2016 13:48:16.000"
"gdx.mlb.com","05/28/2016 13:44:36.000"
"geo.yahoo.com","05/28/2016 13:48:51.000"
"gg.google.cn","05/28/2016 13:43:51.000"
"googleads.g.doubleclick.net","05/28/2016 13:48:16.000"
"googletb.skype.com","05/28/2016 13:45:16.000"
"grfx.cstv.com","05/28/2016 13:41:41.000"
"harvest.adgardener.com","05/28/2016 13:11:21.000"
"harvest176.adgardener.com","05/28/2016 13:40:16.000"
"harvest6.adgardener.com","05/28/2016 13:35:46.000"
"harvest7.adgardener.com","05/28/2016 13:30:01.000"
"harvest8.adgardener.com","05/28/2016 12:59:16.000"
"ht.cdn.turner.com","05/28/2016 13:04:41.000"
"ht3.cdn.turner.com","05/28/2016 13:45:31.000"
"i.bigcharts.net","05/28/2016 13:25:56.000"
"i.cdn.turner.com","05/28/2016 13:49:06.000"
"i.mktw.net","05/28/2016 13:37:46.000"
"i.timeinc.net","05/28/2016 13:42:06.000"
"i1.ytimg.com","05/28/2016 13:47:36.000"
"i2.cdn.turner.com","05/28/2016 13:48:46.000"
"i2.ytimg.com","05/28/2016 13:35:56.000"
"i3.ytimg.com","05/28/2016 13:11:01.000"
"i4.ytimg.com","05/28/2016 13:32:51.000"
"ib.adnxs.com","05/28/2016 13:48:41.000"
"ig.gmodules.com","05/28/2016 13:23:56.000"
"imagec16.247realmedia.com","05/28/2016 12:52:31.000"
"images.hostelworld.com","05/28/2016 13:24:36.000"
"images.intellicast.com","05/28/2016 13:46:11.000"
"images.scanalert.com","05/28/2016 13:05:51.000"
"img1.liba.com","05/28/2016 13:48:21.000"
"in.mg50.mail.yahoo.com","05/28/2016 12:56:06.000"
"indium.openx.net","05/28/2016 13:31:16.000"
"intermrkts.vo.llnwd.net","05/28/2016 13:17:56.000"
"isapi60.wxbug.com","05/28/2016 12:57:16.000"
"js.admeld.com","05/28/2016 12:02:51.000"
"js.adsonar.com","05/28/2016 13:49:11.000"
"js.microsoft.com","05/28/2016 13:40:21.000"
"js.revsci.net","05/28/2016 13:47:51.000"
"kona25.kontera.com","05/28/2016 13:42:41.000"
"kona5.kontera.com","05/28/2016 13:41:16.000"
"konax.kontera.com","05/28/2016 13:24:01.000"
"l.yimg.com","05/28/2016 13:42:56.000"
"leadback.advertising.com","05/28/2016 13:37:51.000"
"liveupdate.symantec.com","05/28/2016 13:41:56.000"
"local.mlb.com","05/28/2016 13:48:56.000"
"logging.slide.com","05/28/2016 13:19:41.000"
"m.webtrends.com","05/28/2016 13:46:26.000"
"m1.2mdn.net","05/28/2016 13:41:01.000"
"mail.google.com","05/28/2016 13:49:11.000"
"mail.yimg.com","05/28/2016 13:48:26.000"
"maps.google.com","05/28/2016 13:32:56.000"
"maps.gstatic.com","05/28/2016 13:38:06.000"
"media.adrevolver.com","05/28/2016 13:43:06.000"
"media.baventures.com","05/28/2016 12:41:26.000"
"media.cnbc.com","05/28/2016 13:48:06.000"
"media.contextweb.com","05/28/2016 13:05:51.000"
"media.fastclick.net","05/28/2016 13:44:26.000"
"meritbadge.org","05/28/2016 13:31:31.000"
"miniclip.com","05/28/2016 13:48:36.000"
"mlb.mlb.com","05/28/2016 13:40:31.000"
"money.cnn.com","05/28/2016 13:48:11.000"
"my.symon.com","05/28/2016 13:36:01.000"
"network.yardbarker.com","05/28/2016 13:47:11.000"
"office.microsoft.com","05/28/2016 13:49:01.000"
"olwmkissimmeecom.122.2o7.net","05/28/2016 13:17:31.000"
"pack.google.com","05/28/2016 13:26:31.000"
"pagead2.googlesyndication.com","05/28/2016 13:45:36.000"
"pb.adchemy.com","05/28/2016 13:43:26.000"
"phinphanatic.com","05/28/2016 13:48:36.000"
"photos-a.ak.fbcdn.net","05/28/2016 13:29:56.000"
"photos-b.ak.fbcdn.net","05/28/2016 13:48:21.000"
"photos-c.ak.fbcdn.net","05/28/2016 13:40:31.000"
"photos-d.ak.fbcdn.net","05/28/2016 13:45:56.000"
"photos-e.ak.fbcdn.net","05/28/2016 13:42:51.000"
"photos-f.ak.fbcdn.net","05/28/2016 13:45:06.000"
"photos-g.ak.fbcdn.net","05/28/2016 13:36:31.000"
"photos-h.ak.fbcdn.net","05/28/2016 13:48:11.000"
"pix04.revsci.net","05/28/2016 13:10:06.000"
"pixel.quantserve.com","05/28/2016 13:46:41.000"
"platform.ak.facebook.com","05/28/2016 13:48:16.000"
"player.ooyala.com","05/28/2016 13:14:06.000"
"pubads.g.doubleclick.net","05/28/2016 13:48:46.000"
"quote.cnbc.com","05/28/2016 13:44:06.000"
"r.office.microsoft.com","05/28/2016 13:29:26.000"
"rc10.overture.com","05/28/2016 12:39:41.000"
"rd.apmebf.com","05/28/2016 13:37:01.000"
"rds.yahoo.com","05/28/2016 13:44:16.000"
"remnant.fmpub.net","05/28/2016 13:24:51.000"
"resource.elong.com","05/28/2016 13:35:06.000"
"richmedia.yimg.com","05/28/2016 13:41:41.000"
"rmd.atdmt.com","05/28/2016 12:02:51.000"
"rss.msnbc.msn.com","05/28/2016 13:35:21.000"
"s46.sitemeter.com","05/28/2016 13:19:16.000"
"s7.addthis.com","05/28/2016 12:35:06.000"
"safebrowsing-cache.google.com","05/28/2016 13:42:21.000"
"sales.liveperson.net","05/28/2016 13:41:36.000"
"secure-us.imrworldwide.com","05/28/2016 13:48:51.000"
"secure.smilebox.com","05/28/2016 13:36:11.000"
"servedby.advertising.com","05/28/2016 13:36:51.000"
"server.iad.liveperson.net","05/28/2016 13:48:06.000"
"serviceo.comcast.net","05/28/2016 13:47:56.000"
"sign.liba.com","05/28/2016 13:46:26.000"
"sirocco.accuweather.com","05/28/2016 13:01:11.000"
"smarticon.geotrust.com","05/28/2016 13:35:21.000"
"st.tvloop.com","05/28/2016 13:11:11.000"
"static.ak.facebook.com","05/28/2016 13:47:16.000"
"static.ak.fbcdn.net","05/28/2016 13:47:56.000"
"static.fmpub.net","05/28/2016 13:47:51.000"
"static.myce.com","05/28/2016 13:08:11.000"
"stats.surfaid.ihost.com","05/28/2016 13:48:31.000"
"stats.wordpress.com","05/28/2016 13:20:36.000"
"stork1.getdropbox.com","05/28/2016 13:27:56.000"
"stork14.getdropbox.com","05/28/2016 13:28:31.000"
"stork16.getdropbox.com","05/28/2016 11:32:01.000"
"stork3.getdropbox.com","05/28/2016 11:24:31.000"
"stork4.getdropbox.com","05/28/2016 13:32:16.000"
"stork9.getdropbox.com","05/28/2016 13:43:26.000"
"sunw-cnp-proxy-redirect","05/28/2016 13:48:41.000"
"switch.atdmt.com","05/28/2016 13:27:36.000"
"symbolcomplete.money.cnn.com","05/28/2016 13:42:31.000"
"t.mookie1.com","05/28/2016 12:33:51.000"
"t.pointroll.com","05/28/2016 13:36:46.000"
"tag.admeld.com","05/28/2016 13:40:41.000"
"tag.contextweb.com","05/28/2016 13:46:51.000"
"tags.bluekai.com","05/28/2016 13:48:46.000"
"tags.expo9.exponential.com","05/28/2016 13:36:16.000"
"talkgadget.google.com","05/28/2016 12:51:11.000"
"te.kontera.com","05/28/2016 12:38:51.000"
"tenzing.fmpub.net","05/28/2016 13:13:01.000"
"thumbnails11.imagebam.com","05/28/2016 13:44:16.000"
"thumbp2.mail.vip.gq1.yahoo.com","05/28/2016 13:43:21.000"
"tiara.daum.net","05/28/2016 12:41:36.000"
"timesofindia.indiatimes.com","05/28/2016 12:54:41.000"
"track.cbs.com","05/28/2016 13:46:16.000"
"track.netshelter.net","05/28/2016 13:01:31.000"
"trvlnet.adbureau.net","05/28/2016 17:04:06.000"
"ts.richmedia.yahoo.com","05/28/2016 13:41:56.000"
"turn.api.lookery.com","05/28/2016 13:07:16.000"
"uac.advertising.com","05/28/2016 13:42:46.000"
"update.intervideo.com","05/28/2016 13:47:51.000"
"updates.installshield.com","05/28/2016 13:36:01.000"
"us.bc.yahoo.com","05/28/2016 13:30:11.000"
"us.mc307.mail.yahoo.com","05/28/2016 13:38:21.000"
"us.mg1.mail.yahoo.com","05/28/2016 13:47:16.000"
"us.mg2.mail.yahoo.com","05/28/2016 13:08:06.000"
"us.mg201.mail.yahoo.com","05/28/2016 13:28:26.000"
"us.mg4.mail.yahoo.com","05/28/2016 13:37:56.000"
"us.update2.toolbar.yahoo.com","05/28/2016 12:49:41.000"
"verify.authorize.net","05/28/2016 11:49:01.000"
"viacom.adbureau.net","05/28/2016 12:19:51.000"
"videometa.cnbc.com","05/28/2016 13:25:41.000"
"view.atdmt.com","05/28/2016 13:45:21.000"
"w.sharethis.com","05/28/2016 13:49:21.000"
"wap.mlb.com","05/28/2016 13:43:36.000"
"wd.sharethis.com","05/28/2016 12:22:41.000"
"weather.noaa.gov","05/28/2016 12:41:31.000"
"weyedata.pelmorex.com","05/28/2016 13:31:36.000"
"whatismyipaddress.com","05/28/2016 13:48:01.000"
"widgets.fansection.com","05/28/2016 13:42:21.000"
"widgetserver.com","05/28/2016 13:26:11.000"
"www.acsuperstore.com","05/28/2016 13:48:11.000"
"www.amazon.com","05/28/2016 13:30:46.000"
"www.apache.com","05/28/2016 13:33:51.000"
"www.atpworldtour.com","05/28/2016 12:53:36.000"
"www.bidcactus.com","05/28/2016 13:47:41.000"
"www.bing.com","05/28/2016 13:35:31.000"
"www.blogtalkradio.com","05/28/2016 13:24:16.000"
"www.bonktown.com","05/28/2016 13:46:51.000"
"www.cbs.com","05/28/2016 13:46:56.000"
"www.cbssports.com","05/28/2016 13:00:01.000"
"www.cdfreaks.com","05/28/2016 13:48:11.000"
"www.cogentco.com","05/28/2016 13:33:11.000"
"www.cw.com","05/28/2016 13:16:56.000"
"www.dateinasia.com","05/28/2016 13:29:16.000"
"www.drudgereport.com","05/28/2016 13:38:51.000"
"www.earthlink.net","05/28/2016 12:55:46.000"
"www.ebay.com","05/28/2016 13:48:51.000"
"www.elong.com","05/28/2016 13:39:36.000"
"www.facebook.com","05/28/2016 13:47:21.000"
"www.fedex.com","05/28/2016 13:34:31.000"
"www.foxnews.com","05/28/2016 13:48:11.000"
"www.gamehouse.com","05/28/2016 13:33:01.000"
"www.globalcrossing.com","05/28/2016 13:42:16.000"
"www.gmodules.com","05/28/2016 13:42:56.000"
"www.google-analytics.com","05/28/2016 13:44:51.000"
"www.google.com","05/28/2016 13:46:21.000"
"www.hostelworld.com","05/28/2016 12:35:06.000"
"www.ichotelsgroup.com","05/28/2016 13:46:01.000"
"www.ig.gmodules.com","05/28/2016 13:42:01.000"
"www.intellicast.com","05/28/2016 13:39:41.000"
"www.internap.com","05/28/2016 13:34:11.000"
"www.kaixin001.com","05/28/2016 13:07:31.000"
"www.kissimmee.com","05/28/2016 13:27:26.000"
"www.knottyloop.com","05/28/2016 13:44:56.000"
"www.level3.com","05/28/2016 13:24:26.000"
"www.liba.com","05/28/2016 12:18:01.000"
"www.lijit.com","05/28/2016 12:45:41.000"
"www.marketwatch.com","05/28/2016 13:36:51.000"
"www.myfantasyleague.com","05/28/2016 13:14:36.000"
"www.nbc.com","05/28/2016 11:46:31.000"
"www.orbitz.com","05/28/2016 13:37:56.000"
"www.picsauditing.com","05/28/2016 12:13:06.000"
"www.plumbingwholesaler.com","05/28/2016 13:29:01.000"
"www.popcap.com","05/28/2016 12:20:21.000"
"www.qwest.com","05/28/2016 13:09:26.000"
"www.spill.com","05/28/2016 13:37:46.000"
"www.sprint.com","05/28/2016 12:32:31.000"
"www.starware.com","05/28/2016 13:47:46.000"
"www.steepandcheap.com","05/28/2016 13:33:46.000"
"www.superpages.com","05/28/2016 13:22:06.000"
"www.ups.com","05/28/2016 13:45:11.000"
"www.usopen.org","05/28/2016 13:49:26.000"
"www.utarget.co.uk","05/28/2016 12:53:06.000"
"www.viddler.com","05/28/2016 12:49:26.000"
"www.wallstreetsurvivor.com","05/28/2016 13:40:46.000"
"www.wdrv.com","05/28/2016 13:46:16.000"
"www.whatismyipaddress.com","05/28/2016 13:40:11.000"
"www.yahoo.com","05/28/2016 13:41:26.000"
"www.yardbarker.com","05/28/2016 12:54:46.000"
"www10.myfantasyleague.com","05/28/2016 13:42:26.000"
"www6.myfantasyleague.com","05/28/2016 13:05:36.000"
"x.imwx.com","05/28/2016 13:44:26.000"
"yardbarker.tags.crwdcntrl.net","05/28/2016 13:49:11.000"
"yui.yahooapis.com","05/28/2016 13:47:56.000"
