oid,oid_description,category
"1.3.6.1.4.1.3375.2.1.2.11.1.3.1.12", "sysDot3StatFrameTooLongs",
"1.3.6.1.4.1.3375.2.1.2.11.1.3.1.10", "sysDot3StatIntmacTxErrors",
"1.3.6.1.4.1.3375.2.1.2.11.1.3.1.15", "sysDot3StatDuplexStatus",
"1.3.6.1.4.1.3375.2.1.2.11.1.3.1.16", "sysDot3StatCollisionCount",
"1.3.6.1.4.1.3375.2.1.2.11.1.3.1.13", "sysDot3StatIntmacRxErrors",
"1.3.6.1.4.1.3375.2.1.1.2.9.49", "sysClientsslStatShaDigest",
"1.3.6.1.4.1.3375.2.1.2.11.1.3.1.14", "sysDot3StatSymbolErrors",
"1.3.6.1.4.1.3375.2.1.1.2.9.40", "sysClientsslStatRsaKeyxchg",
"1.3.6.1.4.1.3375.2.1.1.2.9.59", "sysClientsslStatSniRejects",
"1.3.6.1.4.1.3375.2.1.1.2.9.58", "sysClientsslStatInsecureRenegotiationRejects",
"1.3.6.1.4.1.3375.2.3.6.2.3.1.1", "gtmPoolStatName",
"1.3.6.1.4.1.3375.2.1.1.2.9.57", "sysClientsslStatInsecureHandshakeRejects",
"1.3.6.1.4.1.3375.2.3.6.2.3.1.2", "gtmPoolStatPreferred",
"1.3.6.1.4.1.3375.2.1.1.2.9.56", "sysClientsslStatInsecureHandshakeAccepts",
"1.3.6.1.4.1.3375.2.3.6.2.3.1.3", "gtmPoolStatAlternate",
"1.3.6.1.4.1.3375.2.1.1.2.9.55", "sysClientsslStatSecureHandshakes",
"1.3.6.1.4.1.3375.2.3.6.2.3.1.4", "gtmPoolStatFallback",
"1.3.6.1.4.1.3375.2.1.1.2.9.54", "sysClientsslStatTotConns5m",
"1.3.6.1.4.1.3375.2.3.6.2.3.1.5", "gtmPoolStatDropped",
"1.3.6.1.4.1.3375.2.1.1.2.9.53", "sysClientsslStatTotConns1m",
"1.3.6.1.4.1.3375.2.3.6.2.3.1.6", "gtmPoolStatExplicitIp",
"1.3.6.1.4.1.3375.2.1.1.2.9.52", "sysClientsslStatTotConns5s",
"1.3.6.1.4.1.3375.2.3.6.2.3.1.7", "gtmPoolStatReturnToDns",
"1.3.6.1.4.1.3375.2.3.6.2.3.1.8", "gtmPoolStatReturnFromDns",
"1.3.6.1.4.1.3375.2.3.6.2.3.1.9", "gtmPoolStatCnameResolutions",
"1.3.6.1.4.1.3375.2.1.7.3.2", "sysHostDiskTable",
"1.3.6.1.4.1.3375.2.1.7.3.1", "sysHostDiskNumber",
"1.3.6.1.4.1.3375.2.3.6.6.2", "gtmPoolMbrStatNumber",
"1.3.6.1.4.1.3375.2.1.1.2.9.51", "sysClientsslStatEdhRsaKeyxchg",
"1.3.6.1.4.1.3375.2.3.6.6.1", "gtmPoolMbrStatResetStats",
"1.3.6.1.4.1.3375.2.1.1.2.9.50", "sysClientsslStatNotssl",
"1.3.6.1.4.1.3375.2.1.1.2.9.69", "sysClientsslStatDheDssKeyxchg",
"1.3.6.1.4.1.3375.2.2.6.15.6.3", "ltmHttpClassStatTable",
"1.3.6.1.4.1.3375.2.1.1.2.9.68", "sysClientsslStatEcdhEcdsaKeyxchg",
"1.3.6.1.4.1.3375.2.2.6.15.6.2", "ltmHttpClassStatNumber",
"1.3.6.1.4.1.3375.2.1.1.2.9.67", "sysClientsslStatEcdheEcdsaKeyxchg",
"1.3.6.1.4.1.3375.2.2.6.15.6.1", "ltmHttpClassStatResetStats",
"1.3.6.1.4.1.3375.2.1.1.2.9.66", "sysClientsslStatEcdhRsaKeyxchg",
"1.3.6.1.4.1.3375.2.2.6.7.7.2.1.3", "ltmRamUriExclUri",
"1.3.6.1.4.1.3375.2.1.1.2.9.65", "sysClientsslStatCachedCerts",
"1.3.6.1.4.1.3375.2.1.1.2.9.64", "sysClientsslStatConns",
"1.3.6.1.4.1.3375.2.1.1.2.9.63", "sysClientsslStatEcdheRsaKeyxchg",
"1.3.6.1.2.1.16.2.2.1.2", "etherHistorySampleIndex",
"1.3.6.1.2.1.16.2.2.1.3", "etherHistoryIntervalStart",
"1.3.6.1.2.1.16.2.2.1.1", "etherHistoryIndex",
"1.3.6.1.2.1.16.2.2.1.6", "etherHistoryPkts",
"1.3.6.1.4.1.3375.2.2.6.11.1", "ltmUdpProfile",
"1.3.6.1.2.1.16.2.2.1.7", "etherHistoryBroadcastPkts",
"1.3.6.1.2.1.16.2.2.1.4", "etherHistoryDropEvents",
"1.3.6.1.2.1.16.2.2.1.5", "etherHistoryOctets",
"1.3.6.1.4.1.3375.2.1.1.2.9.62", "sysClientsslStatDtlsv1",
"1.3.6.1.4.1.3375.2.1.1.2.9.61", "sysClientsslStatTlsv12",
"1.3.6.1.4.1.3375.2.2.6.7.7.2.1.2", "ltmRamUriExclIndex",
"1.3.6.1.4.1.3375.2.1.1.2.9.60", "sysClientsslStatTlsv11",
"1.3.6.1.4.1.3375.2.2.6.7.7.2.1.1", "ltmRamUriExclName",
"1.3.6.1.4.1.3375.2.2.6.8.1", "ltmPersistProfile",
"1.3.6.1.4.1.3375.2.1.1.2.9.79", "sysClientsslStatOcspStaplingOcspConnHttpErrors",
"1.3.6.1.4.1.3375.2.1.1.2.9.78", "sysClientsslStatOcspStaplingCertStatusErrors",
"1.3.6.1.4.1.3375.2.1.1.2.9.77", "sysClientsslStatOcspStaplingResponseValidationErrors",
"1.3.6.1.4.1.3375.2.2.6.33.1.2.1", "ltmTcpanalyticsProfileEntry",
"1.3.6.1.4.1.3375.2.1.1.2.9.76", "sysClientsslStatOcspStaplingResponseStatusErrors",
"1.3.6.1.4.1.3375.2.1.1.2.9.75", "sysClientsslStatOcspStaplingConns",
"1.3.6.1.4.1.3375.2.1.1.2.9.74", "sysClientsslStatAggregateRenegotiationsRejected",
"1.3.6.1.4.1.3375.2.2.6.11.2", "ltmUdpProfileStat",
"1.3.6.1.2.1.16.2.2.1.8", "etherHistoryMulticastPkts",
"1.3.6.1.2.1.16.2.2.1.9", "etherHistoryCRCAlignErrors",
"1.3.6.1.4.1.3375.2.3.9.4.3", "gtmServerStat2Table",
"1.3.6.1.2.1.77.1.2.2", "ifInvCompliances",
"1.3.6.1.4.1.3375.2.3.9.4.2", "gtmServerStat2Number",
"1.3.6.1.2.1.77.1.2.1", "ifInvGroups",
"1.3.6.1.4.1.3375.2.2.10.3.2.1.2", "ltmVirtualServAuthProfileName",
"1.3.6.1.4.1.3375.2.2.10.3.2.1.1", "ltmVirtualServAuthVsName",
"1.3.6.1.4.1.3375.2.2.6.22.1.1", "ltmHttpCompressionProfileNumber",
"1.3.6.1.4.1.3375.2.1.1.2.9.73", "sysClientsslStatHostnameBypasses",
"1.3.6.1.2.1.11.31", "snmpSilentDrops",
"1.3.6.1.4.1.3375.2.2.6.22.1.2", "ltmHttpCompressionProfileTable",
"1.3.6.1.4.1.3375.2.1.1.2.9.72", "sysClientsslStatSourceIpBypasses",
"1.3.6.1.2.1.11.32", "snmpProxyDrops",
"1.3.6.1.4.1.3375.2.1.1.2.9.71", "sysClientsslStatDestinationIpBypasses",
"1.3.6.1.4.1.3375.2.1.1.2.9.70", "sysClientsslStatAesGcmBulk",
"1.3.6.1.2.1.11.30", "snmpEnableAuthenTraps",
"1.3.6.1.4.1.3375.2.3.9.3.2.1.2", "gtmServerStatusAvailState",
"1.3.6.1.4.1.3375.2.3.9.3.2.1.3", "gtmServerStatusEnabledState",
"1.3.6.1.4.1.3375.2.2.6.10", "ltmTcp",
"1.3.6.1.4.1.3375.2.3.9.3.2.1.1", "gtmServerStatusName",
"1.3.6.1.4.1.3375.2.1.1.2.9.89", "sysClientsslStatConnectionMirrorHaTimeout",
"1.3.6.1.4.1.3375.2.3.1.1.1.61", "gtmAttrTimerSendKeepAlive",
"1.3.6.1.4.1.3375.2.2.6.12", "ltmFastHttp",
"1.3.6.1.4.1.3375.2.1.1.2.9.88", "sysClientsslStatConnectionMirrorHaFailure",
"1.3.6.1.4.1.3375.2.3.1.1.1.60", "gtmAttrQosFactorVsScore",
"1.3.6.1.4.1.3375.2.2.6.11", "ltmUdp",
"1.3.6.1.4.1.3375.2.1.1.2.9.87", "sysClientsslStatConnectionMirrorHaHsSuccess",
"1.3.6.1.4.1.3375.2.3.1.1.1.63", "gtmAttrMaxMemoryUsage",
"1.3.6.1.4.1.3375.2.2.6.14", "ltmDns",
"1.3.6.1.4.1.3375.2.2.16.2.2.1", "ltmFwPolicyRuleStatEntry",
"1.3.6.1.4.1.3375.2.1.1.2.9.86", "sysClientsslStatConnectionMirrorHaCtxRecv",
"1.3.6.1.4.1.3375.2.3.1.1.1.62", "gtmAttrCertificateDepth",
"1.3.6.1.4.1.3375.2.2.6.13", "ltmXml",
"1.3.6.1.4.1.3375.2.1.1.2.9.85", "sysClientsslStatConnectionMirrorHaCtxSent",
"1.3.6.1.4.1.3375.2.1.2.13.6.2", "sysVlanStatTable",
"1.3.6.1.4.1.3375.2.1.2.13.6.1", "sysVlanStatNumber",
"1.3.6.1.2.1.16.8.2.1", "captureBufferEntry",
"1.3.6.1.3.87.2", "ipv6UdpConformance",
"1.3.6.1.4.1.3375.2.3.9.3.2.1.4", "gtmServerStatusParentType",
"1.3.6.1.4.1.3375.2.3.9.3.2.1.5", "gtmServerStatusDetailReason",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.40", "ltmHttpProfileServerAgentName",
"1.3.6.1.2.1.11.28", "snmpOutGetResponses",
"1.3.6.1.2.1.11.29", "snmpOutTraps",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.42", "ltmHttpProfileTruncatedRedirects",
"1.3.6.1.2.1.11.26", "snmpOutGetNexts",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.41", "ltmHttpProfilePassthroughPipeline",
"1.3.6.1.2.1.11.27", "snmpOutSetRequests",
"1.3.6.1.2.1.11.24", "snmpOutGenErrs",
"1.3.6.1.2.1.11.25", "snmpOutGetRequests",
"1.3.6.1.4.1.3375.2.2.12.3.2.1", "ltmDnsSecurityEntry",
"1.3.6.1.2.1.11.22", "snmpOutBadValues",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.48", "ltmHttpProfileHstsMode",
"1.3.6.1.4.1.3375.2.1.1.2.9.84", "sysClientsslStatConnectionMirrorPeerReady",
"1.3.6.1.2.1.11.20", "snmpOutTooBigs",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.47", "ltmHttpProfilePassthroughUnknownMethod",
"1.3.6.1.4.1.3375.2.1.1.2.9.83", "sysClientsslStatSessionMirrorFailure",
"1.3.6.1.2.1.11.21", "snmpOutNoSuchNames",
"1.3.6.1.4.1.3375.2.2.10.9.2.1", "ltmVirtualServVlanEntry",
"1.3.6.1.4.1.3375.2.1.1.2.9.82", "sysClientsslStatSessionMirrorSuccess",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.49", "ltmHttpProfileHstsMaximumAge",
"1.3.6.1.4.1.3375.2.1.1.2.9.81", "sysClientsslStatOcspStaplingOcspConnFailures",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.44", "ltmHttpProfilePassthroughOversizeServerHeaders",
"1.3.6.1.4.1.3375.2.1.1.2.9.80", "sysClientsslStatOcspStaplingOcspConnTimeouts",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.43", "ltmHttpProfilePassthroughOversizeClientHeaders",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.46", "ltmHttpProfilePassthroughExcessServerHeaders",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.45", "ltmHttpProfilePassthroughExcessClientHeaders",
"1.3.6.1.4.1.3375.2.2.6.21", "ltmIsession",
"1.3.6.1.4.1.3375.2.2.6.20", "ltmSip",
"1.3.6.1.4.1.3375.2.3.1.1.1.50", "gtmAttrAutosync",
"1.3.6.1.4.1.3375.2.2.6.23", "ltmWebAcceleration",
"1.3.6.1.4.1.3375.2.1.14.3.1", "sysCmFailoverStatusId",
"1.3.6.1.4.1.3375.2.2.6.22", "ltmHttpCompression",
"1.3.6.1.4.1.3375.2.1.14.3.2", "sysCmFailoverStatusStatus",
"1.3.6.1.4.1.3375.2.3.1.1.1.52", "gtmAttrSyncGroup",
"1.3.6.1.4.1.3375.2.2.6.25", "ltmSpdy",
"1.3.6.1.4.1.3375.2.1.14.3.3", "sysCmFailoverStatusColor",
"1.3.6.1.4.1.3375.2.3.1.1.1.51", "gtmAttrSyncNamedConf",
"1.3.6.1.4.1.3375.2.2.6.24", "ltmDos",
"1.3.6.1.4.1.3375.2.1.14.3.4", "sysCmFailoverStatusSummary",
"1.3.6.1.4.1.3375.2.3.1.1.1.54", "gtmAttrSyncZonesTimeout",
"1.3.6.1.4.1.3375.2.3.1.1.1.53", "gtmAttrSyncTimeout",
"1.3.6.1.4.1.3375.2.3.1.1.1.56", "gtmAttrTopologyLongestMatch",
"1.3.6.1.4.1.3375.2.3.1.1.1.55", "gtmAttrTimeTolerance",
"1.3.6.1.4.1.3375.2.3.1.1.1.58", "gtmAttrStaticPersistCidr",
"1.3.6.1.4.1.8072.1.3.2.2.1.1", "nsExtendToken",
"1.3.6.1.4.1.3375.2.3.1.1.1.57", "gtmAttrTopologyAclThreshold",
"1.3.6.1.4.1.8072.1.3.2.2.1.3", "nsExtendArgs",
"1.3.6.1.2.1.11.19", "snmpInTraps",
"1.3.6.1.4.1.3375.2.3.1.1.1.59", "gtmAttrStaticPersistV6Cidr",
"1.3.6.1.4.1.8072.1.3.2.2.1.2", "nsExtendCommand",
"1.3.6.1.4.1.8072.1.3.2.2.1.5", "nsExtendCacheTime",
"1.3.6.1.2.1.11.17", "snmpInSetRequests",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.50", "ltmHttpProfileHstsIncludeSubdomains",
"1.3.6.1.4.1.8072.1.3.2.2.1.4", "nsExtendInput",
"1.3.6.1.2.1.11.18", "snmpInGetResponses",
"1.3.6.1.4.1.8072.1.3.2.2.1.7", "nsExtendRunType",
"1.3.6.1.2.1.11.15", "snmpInGetRequests",
"1.3.6.1.4.1.8072.1.3.2.2.1.6", "nsExtendExecType",
"1.3.6.1.2.1.11.16", "snmpInGetNexts",
"1.3.6.1.2.1.11.13", "snmpInTotalReqVars",
"1.3.6.1.2.1.11.14", "snmpInTotalSetVars",
"1.3.6.1.2.1.11.11", "snmpInReadOnlys",
"1.3.6.1.2.1.11.12", "snmpInGenErrs",
"1.3.6.1.4.1.3375.2.2.6.16", "ltmIiop",
"1.3.6.1.4.1.3375.2.2.6.15", "ltmHttpClass",
"1.3.6.1.2.1.11.10", "snmpInBadValues",
"1.3.6.1.4.1.3375.2.2.6.18", "ltmSctp",
"1.3.6.1.2.1.31.1.1.1", "ifXEntry",
"1.3.6.1.4.1.3375.2.2.6.17", "ltmRtsp",
"1.3.6.1.4.1.3375.2.1.1.2.9.91", "sysClientsslStatCamelliaBulk",
"1.3.6.1.4.1.3375.2.2.6.19", "ltmUserStat",
"1.3.6.1.4.1.3375.2.1.1.2.9.90", "sysClientsslStatDtlsTxPushbacks",
"1.3.6.1.4.1.3375.2.2.1.4.3.1", "ltmFwIpintGlobalStatEntry",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.29", "ltmHttpProfileCompressCpusaverLow",
"1.3.6.1.4.1.3375.2.3.1.1.1.41", "gtmAttrOverLimitLinkLimitFactor",
"1.3.6.1.4.1.3375.2.2.3.3.2.1.3", "ltmNatVlanVlanName",
"1.3.6.1.4.1.3375.2.3.1.1.1.40", "gtmAttrLinkLimitFactor",
"1.3.6.1.4.1.3375.2.2.3.3.2.1.4", "ltmNatVlanNatName",
"1.3.6.1.4.1.3375.2.3.1.1.1.43", "gtmAttrLinkCompensateInbound",
"1.3.6.1.4.1.3375.2.3.1.1.1.42", "gtmAttrLinkPrepaidFactor",
"1.3.6.1.4.1.3375.2.3.1.1.1.45", "gtmAttrLinkCompensationHistory",
"1.3.6.1.4.1.3375.2.3.1.1.1.44", "gtmAttrLinkCompensateOutbound",
"1.3.6.1.4.1.3375.2.3.1.1.1.47", "gtmAttrLowerBoundPctRow",
"1.3.6.1.4.1.8072.1.5.3", "nsCacheTable",
"1.3.6.1.4.1.3375.2.3.1.1.1.46", "gtmAttrMaxLinkOverLimitCount",
"1.3.6.1.4.1.3375.2.3.1.1.1.49", "gtmAttrAutoconf",
"1.3.6.1.4.1.8072.1.5.1", "nsCacheDefaultTimeout",
"1.3.6.1.4.1.3375.2.3.1.1.1.48", "gtmAttrLowerBoundPctCol",
"1.3.6.1.4.1.8072.1.5.2", "nsCacheEnabled",
"1.3.6.1.4.1.3375.2.3.1.1.1.39", "gtmAttrProbeDisabledObjects",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.20", "ltmHttpProfileLwsMaxColumn",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.26", "ltmHttpProfileMaxRequests",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.25", "ltmHttpProfileInsertXforwardedFor",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.28", "ltmHttpProfileCompressCpusaverHigh",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.27", "ltmHttpProfileCompressCpusaver",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.22", "ltmHttpProfileRedirectRewrite",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.21", "ltmHttpProfileLwsSeparator",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.24", "ltmHttpProfilePipelining",
"1.3.6.1.4.1.3375.2.2.6.7.1.2.1.23", "ltmHttpProfileMaxHeaderSize",
"1.3.6.1.4.1.3375.2.3.1.1.1.30", "gtmAttrTraceTtl",
"1.3.6.1.4.1.3375.2.3.1.1.1.32", "gtmAttrPathDuration",
"1.3.6.1.4.1.3375.2.3.1.1.1.31", "gtmAttrLdnsDuration",
"1.3.6.1.4.1.3375.2.3.1.1.1.34", "gtmAttrRttPacketLength",
"1.3.6.1.4.1.3375.2.3.1.1.1.33", "gtmAttrRttSampleCount",
"1.3.6.1.4.1.3375.2.3.1.1.1.36", "gtmAttrMaxMonReqs",
"1.3.6.1.4.1.3375.2.3.1.1.1.35", "gtmAttrRttTimeout",
"1.3.6.1.4.1.3375.2.3.1.1.1.38", "gtmAttrPathsNeverDie",
