Extension,File_Type
srt,Audio/Video/Ebook/Game Files
swa,Audio/Video/Ebook/Game Files
swf,Audio/Video/Ebook/Game Files
sy_,Audio/Video/Ebook/Game Files
ts,Audio/Video/Ebook/Game Files
tst,Audio/Video/Ebook/Game Files
ttm,Audio/Video/Ebook/Game Files
uax,Audio/Video/Ebook/Game Files
uhtm,Audio/Video/Ebook/Game Files
umx,Audio/Video/Ebook/Game Files
unr,Audio/Video/Ebook/Game Files
utx,Audio/Video/Ebook/Game Files
vef,Audio/Video/Ebook/Game Files
vob,Audio/Video/Ebook/Game Files
wag,Audio/Video/Ebook/Game Files
wav,Audio/Video/Ebook/Game Files
wma,Audio/Video/Ebook/Game Files
wmv,Audio/Video/Ebook/Game Files
xm,Audio/Video/Ebook/Game Files
lrc,Audio/Video/Ebook/Game Files
opus,Audio/Video/Ebook/Game Files
nfo,Audio/Video/Ebook/Game Files
vcmf,Audio/Video/Ebook/Game Files
cci,Audio/Video/Ebook/Game Files
cbr,Audio/Video/Ebook/Game Files
4,Audio/Video/Ebook/Game Files
kar,Audio/Video/Ebook/Game Files
meta,Audio/Video/Ebook/Game Files
1p4,Certificate/Encrypted Files
cer,Certificate/Encrypted Files
cng,Certificate/Encrypted Files
enc,Certificate/Encrypted Files
icd,Certificate/Encrypted Files
key,Certificate/Encrypted Files
keys,Certificate/Encrypted Files
md5,Certificate/Encrypted Files
pem,Certificate/Encrypted Files
pfx,Certificate/Encrypted Files
pgp,Certificate/Encrypted Files
pmp,Certificate/Encrypted Files
prv,Certificate/Encrypted Files
rem,Certificate/Encrypted Files
rsa,Certificate/Encrypted Files
sde,Certificate/Encrypted Files
sha1,Certificate/Encrypted Files
spc,Certificate/Encrypted Files
sth,Certificate/Encrypted Files
svl,Certificate/Encrypted Files
xrm-ms,Certificate/Encrypted Files
ngn,Certificate/Encrypted Files
ngn_bak,Certificate/Encrypted Files
eslock,Certificate/Encrypted Files
2017,Data File
accdr,Data File
afm,Data File
al,Data File
asc,Data File
asd,Data File
bbi,Data File
bbk,Data File
bdf,Data File
box,Data File
clp,Data File
con,Data File
contact,Data File
cpf,Data File
crt,Data File
csst,Data File
csv,Data File
ctf,Data File
dbg,Data File
dbt,Data File
ddf,Data File
dectest,Data File
dfb,Data File
dic,Data File
diff,Data File
doc,Data File
docm,Data File
docx,Data File
dot,Data File
dotm,Data File
dotx,Data File
dsp,Data File
dta,Data File
dtd,Data File
es,Data File
ews,Data File
fdf,Data File
feg,Data File
fez,Data File
fil,Data File
fmp,Data File
fmt,Data File
frm,Data File
fsf,Data File
ftg,Data File
fxh,Data File
gfs,Data File
glox,Data File
gph,Data File
gpl,Data File
gra,Data File
heu,Data File
hex,Data File
ht_,Data File
htm,Data File
html,Data File
id,Data File
in_,Data File
info,Data File
irp,Data File
kfg,Data File
lang,Data File
las,Data File
lck,Data File
ldb,Data File
lex,Data File
library-ms,Data File
lid,Data File
log,Data File
lst,Data File
manifest,Data File
mat,Data File
mhg,Data File
mhtml,Data File
mi,Data File
mig,Data File
mmap,Data File
mo,Data File
mpi,Data File
mpj,Data File
mpp,Data File
mpt,Data File
mso,Data File
ms-one-stub,Data File
mwd,Data File
odc,Data File
ods,Data File
odt,Data File
odttf,Data File
one,Data File
onebin,Data File
onetmp,Data File
onetoc2,Data File
opa,Data File
osi,Data File
otf,Data File
out,Data File
p3,Data File
pdt,Data File
pfm,Data File
pg,Data File
policy,Data File
potx,Data File
pps,Data File
ppsx,Data File
ppt,Data File
pptm,Data File
pptx,Data File
prc,Data File
pre,Data File
prproj,Data File
ps,Data File
pss,Data File
pvg,Data File
qcd,Data File
qdb,Data File
r,Data File
raw,Data File
rels,Data File
rep,Data File
rfg,Data File
rif,Data File
rll,Data File
rpt,Data File
rsd,Data File
rsp,Data File
rtf,Data File
run,Data File
s01,Data File
s02,Data File
s03,Data File
sample,Data File
sapssd,Data File
scc,Data File
scss,Data File
sdd,Data File
sdm,Data File
sdt,Data File
sgf,Data File
sig,Data File
snp,Data File
snt,Data File
soh,Data File
srg,Data File
sty,Data File
sublime-snippet,Data File
sum,Data File
svn-base,Data File
svn-work,Data File
svy,Data File
syg,Data File
t02,Data File
tag,Data File
tbl,Data File
tce,Data File
tdg,Data File
template,Data File
tex,Data File
tmp,Data File
trv,Data File
txt,Data File
uccapilog,Data File
udb,Data File
udl,Data File
ver,Data File
vim,Data File
vp,Data File
vss,Data File
vw,Data File
wbk,Data File
wep,Data File
wpg,Data File
wps,Data File
xer,Data File
xig,Data File
xlb,Data File
xlc,Data File
xlf,Data File
xlk,Data File
xls,Data File
xlsb,Data File
xlsm,Data File
xlsx,Data File
xlt,Data File
xltm,Data File
xltx,Data File
xml,Data File
xpm,Data File
xps,Data File
xsl,Data File
xslt,Data File
xsn,Data File
zdct,Data File
edi,Data File
dxr,Data File
sba,Data File
sie,Data File
pptx [read-only],Data File
pdf - adobe reader,Data File
wcd,Data File
accdb,Database
cat,Database
data,Database
db,Database
dbf,Database
dm,Database
er3,Database
fsl,Database
gdb,Database
ldf,Database
mdb,Database
ndx,Database
nsh,Database
opt,Database
pdb,Database
qsql,Database
rdl,Database
rds,Database
sdf,Database
sql,Database
str,Database
svn,Database
trc,Database
val,Database
lock,Database
cssi,Database
0,Disk Image
bak,Disk Image
cl3,Disk Image
cue,Disk Image
dms,Disk Image
dxp,Disk Image
eds,Disk Image
gi,Disk Image
hdi,Disk Image
img,Disk Image
mdx,Disk Image
mdf,Disk Image
hdd,Disk Image
hhd,Disk Image
rit,Disk Image
1,DLL/Executable/System
3db,DLL/Executable/System
a,DLL/Executable/System
acd,DLL/Executable/System
afg,DLL/Executable/System
ani,DLL/Executable/System
apk,DLL/Executable/System
app,DLL/Executable/System
appicon,DLL/Executable/System
appinfo,DLL/Executable/System
automaticdestinations-ms,DLL/Executable/System
backup,DLL/Executable/System
bat,DLL/Executable/System
bin,DLL/Executable/System
bli,DLL/Executable/System
bundle,DLL/Executable/System
cams,DLL/Executable/System
cfb,DLL/Executable/System
cfg,DLL/Executable/System
cgfx,DLL/Executable/System
ch,DLL/Executable/System
chk,DLL/Executable/System
cmd,DLL/Executable/System
cnf,DLL/Executable/System
cnt,DLL/Executable/System
com,DLL/Executable/System
conf,DLL/Executable/System
config,DLL/Executable/System
cpl,DLL/Executable/System
crl,DLL/Executable/System
csd,DLL/Executable/System
ctz,DLL/Executable/System
cur,DLL/Executable/System
customdestinations-ms,DLL/Executable/System
cvr,DLL/Executable/System
dcf,DLL/Executable/System
def,DLL/Executable/System
directory,DLL/Executable/System
dl_,DLL/Executable/System
dlg,DLL/Executable/System
dlis,DLL/Executable/System
dll,DLL/Executable/System
dmp,DLL/Executable/System
dno,DLL/Executable/System
dnt,DLL/Executable/System
ds_store,DLL/Executable/System
dtl,DLL/Executable/System
efi,DLL/Executable/System
emb,DLL/Executable/System
eng,DLL/Executable/System
err,DLL/Executable/System
etl,DLL/Executable/System
evt,DLL/Executable/System
exe,DLL/Executable/System
file,DLL/Executable/System
fr,DLL/Executable/System
gep,DLL/Executable/System
gid,DLL/Executable/System
gpd,DLL/Executable/System
gwm,DLL/Executable/System
his,DLL/Executable/System
hlp,DLL/Executable/System
hmap,DLL/Executable/System
iam,DLL/Executable/System
icc,DLL/Executable/System
ico,DLL/Executable/System
ilg,DLL/Executable/System
impl,DLL/Executable/System
index,DLL/Executable/System
inf,DLL/Executable/System
ini,DLL/Executable/System
ins,DLL/Executable/System
int,DLL/Executable/System
ise,DLL/Executable/System
isu,DLL/Executable/System
itc2,DLL/Executable/System
kdc,DLL/Executable/System
lfg,DLL/Executable/System
lib,DLL/Executable/System
lic,DLL/Executable/System
lnk,DLL/Executable/System
localstorage-journal,DLL/Executable/System
lsi,DLL/Executable/System
man,DLL/Executable/System
mbn,DLL/Executable/System
mdg,DLL/Executable/System
mod,DLL/Executable/System
mof,DLL/Executable/System
msd,DLL/Executable/System
msi,DLL/Executable/System
msk,DLL/Executable/System
msp,DLL/Executable/System
mst,DLL/Executable/System
msu,DLL/Executable/System
mtw,DLL/Executable/System
mui,DLL/Executable/System
nir,DLL/Executable/System
ocx,DLL/Executable/System
oinfo,DLL/Executable/System
old,DLL/Executable/System
opal,DLL/Executable/System
opax,DLL/Executable/System
ovr,DLL/Executable/System
p4,DLL/Executable/System
pcapng,DLL/Executable/System
pcf,DLL/Executable/System
pct,DLL/Executable/System
pdr,DLL/Executable/System
pf,DLL/Executable/System
pfb,DLL/Executable/System
pfl,DLL/Executable/System
pit,DLL/Executable/System
plist,DLL/Executable/System
plt,DLL/Executable/System
pnf,DLL/Executable/System
pol,DLL/Executable/System
ppd,DLL/Executable/System
prf,DLL/Executable/System
prn,DLL/Executable/System
pro,DLL/Executable/System
profile,DLL/Executable/System
prq,DLL/Executable/System
pxe,DLL/Executable/System
qts,DLL/Executable/System
rdg,DLL/Executable/System
rdlog,DLL/Executable/System
rdp,DLL/Executable/System
rdx,DLL/Executable/System
reg,DLL/Executable/System
resjson,DLL/Executable/System
rpm,DLL/Executable/System
rsc,DLL/Executable/System
rsrc,DLL/Executable/System
rx,DLL/Executable/System
sbs,DLL/Executable/System
searchconnector-ms,DLL/Executable/System
sft,DLL/Executable/System
sfv,DLL/Executable/System
sh,DLL/Executable/System
shs,DLL/Executable/System
sim,DLL/Executable/System
skg,DLL/Executable/System
sle,DLL/Executable/System
sms,DLL/Executable/System
so,DLL/Executable/System
strings,DLL/Executable/System
sym,DLL/Executable/System
sys,DLL/Executable/System
thmx,DLL/Executable/System
thumbnail,DLL/Executable/System
transform,DLL/Executable/System
trm,DLL/Executable/System
ttf,DLL/Executable/System
unx,DLL/Executable/System
vdata,DLL/Executable/System
vmg,DLL/Executable/System
vxd,DLL/Executable/System
wer,DLL/Executable/System
wmf,DLL/Executable/System
workflow,DLL/Executable/System
x,DLL/Executable/System
x32,DLL/Executable/System
xdb,DLL/Executable/System
xib,DLL/Executable/System
xss,DLL/Executable/System
xsslog,DLL/Executable/System
xtu,DLL/Executable/System
z,DLL/Executable/System
zat,DLL/Executable/System
acx,DLL/Executable/System
3db,DLL/Executable/System
dbx,Email File
eml,Email File
idx,Email File
mbg,Email File
mlm,Email File
msb,Email File
msg,Email File
oft,Email File
ost,Email File
pst,Email File
srs,Email File
sug,Email File
vcf,Email File
vcs,Email File
com - outlook,Email File
aae,Image File
aig,Image File
ajg,Image File
apg,Image File
apm,Image File
asr,Image File
asv,Image File
bmp,Image File
bs,Image File
cag,Image File
cr2,Image File
crg,Image File
csf,Image File
csh,Image File
css,Image File
ctg,Image File
cvt,Image File
d00,Image File
dfg,Image File
dg1,Image File
dip,Image File
djvu,Image File
emf,Image File
fon,Image File
gif,Image File
grd,Image File
hdr,Image File
itc,Image File
ithmb,Image File
jgw,Image File
jpeg,Image File
jpg,Image File
jxr,Image File
lm8,Image File
mdi,Image File
modd,Image File
nef,Image File
np2,Image File
pcg,Image File
pcx,Image File
png,Image File
pngx,Image File
ppm,Image File
psd,Image File
pxm,Image File
sel,Image File
snag,Image File
spf,Image File
tbr,Image File
thm,Image File
tif,Image File
tiff,Image File
tvg,Image File
u,Image File
webp,Image File
wig,Image File
xbm,Image File
xmp,Image File
cdg,Image File
apfolder,Image File
apalbum,Image File
apmaster,Image File
apdetected,Image File
apversion,Image File
thumb,Image File
$$$,Programming File
addin,Programming File
an,Programming File
aps,Programming File
arb,Programming File
arcp,Programming File
arcpc,Programming File
asp,Programming File
aspx,Programming File
b,Programming File
baml,Programming File
bas,Programming File
bxml,Programming File
c,Programming File
cache,Programming File
cc,Programming File
cfl,Programming File
class,Programming File
cls,Programming File
coffee,Programming File
cpp,Programming File
cs,Programming File
cshtml,Programming File
csproj,Programming File
ctl,Programming File
dat,Programming File
datasource,Programming File
dcp,Programming File
deploy,Programming File
dl3,Programming File
dsk,Programming File
dsw,Programming File
dvb,Programming File
dynamicreporttemplate,Programming File
eps,Programming File
exp,Programming File
feature,Programming File
fig,Programming File
for,Programming File
fx,Programming File
gdc,Programming File
gitignore,Programming File
gnt,Programming File
h,Programming File
hfm,Programming File
hpp,Programming File
htt,Programming File
i,Programming File
ipb,Programming File
ipynb,Programming File
is,Programming File
j,Programming File
jar,Programming File
java,Programming File
job,Programming File
js,Programming File
jshintrc,Programming File
json,Programming File
jsp,Programming File
kb,Programming File
l5x,Programming File
lava,Programming File
llt,Programming File
lsp,Programming File
lss,Programming File
lua,Programming File
luac,Programming File
m,Programming File
mf,Programming File
msh,Programming File
msl,Programming File
net,Programming File
nib,Programming File
npmignore,Programming File
nupkg,Programming File
nuspec,Programming File
ox,Programming File
p4b,Programming File
pa3,Programming File
pag,Programming File
php,Programming File
phpt,Programming File
pkc,Programming File
pl,Programming File
plg,Programming File
pod,Programming File
proj,Programming File
properties,Programming File
ps1,Programming File
pt,Programming File
py,Programming File
pyc,Programming File
pyd,Programming File
pyo,Programming File
qcl,Programming File
rcc,Programming File
rdata,Programming File
rdlc,Programming File
repositories,Programming File
res,Programming File
resources,Programming File
resx,Programming File
rgs,Programming File
rhistory,Programming File
sbr,Programming File
scd,Programming File
scr,Programming File
settings,Programming File
sld,Programming File
slim,Programming File
sln,Programming File
spr,Programming File
spx,Programming File
src,Programming File
ssx,Programming File
suo,Programming File
targets,Programming File
tcl,Programming File
tk,Programming File
tlb,Programming File
tlog,Programming File
tpl,Programming File
tt_,Programming File
user,Programming File
vb,Programming File
vbe,Programming File
vbp,Programming File
vbs,Programming File
vml,Programming File
vsix,Programming File
vspscc,Programming File
vssx,Programming File
xaml,Programming File
xbel,Programming File
xsd,Programming File
yml,Programming File
zh-chs,Programming File
pdl,Programming File
esqlobj,Programming File
sb,Programming File
xs,Programming File
gradle,Programming File
nse,Programming File
m3g,Programming File
vstemplate,Programming File
matlab,Programming File
pdf,PDF File
