id,error,description
0xffffffc4,ENOSTR,Device not a stream
0xffffffc3,ENODATA,No data available
0xffffffc2,ETIME,Timer expired
0xffffffc1,ENOSR,Out of streams resources
0xffffffc0,ENONET,Machine is not on the network
0xffffffbf,ENOPKG,Package not installed
0xffffffbe,EREMOTE,Object is remote
0xffffffbd,ENOLINK,Link has been severed
0xffffffbc,EADV,Advertise error
0xffffffbb,ESRMNT,Srmount error
0xffffffba,ECOMM,Communication error on send
0xffffffb9,EPROTO,Protocol error
0xffffffb8,EMULTIHOP,Multihop attempted
0xffffffb7,EDOTDOT,RFS specific error
0xffffffb6,EBADMSG,Not a data message
0xffffffb5,EOVERFLOW,Value too large for defined data type
0xffffffb4,ENOTUNIQ,Name not unique on network
0xffffffb3,EBADFD,File descriptor in bad state
0xffffffb2,EREMCHG,Remote address changed
0xffffffb1,ELIBACC,Can not access a needed shared library
0xffffffb0,ELIBBAD,Accessing a corrupted shared library
0xffffffaf,ELIBSCN,.lib section in a.out corrupted
0xffffffae,ELIBMAX,Attempting to link in too many shared libraries
0xffffffad,ELIBEXEC,Cannot exec a shared library directly
0xffffffac,EILSEQ,Illegal byte sequence
0xffffffab,ERESTART,Interrupted system call should be restarted
0xffffffaa,ESTRPIPE,Streams pipe error
0xffffffa9,EUSERS,Too many users
0xffffffa8,ENOTSOCK,Socket operation on non-socket
0xffffffa7,EDESTADDRREQ,Destination address required
0xffffffa6,EMSGSIZE,Message too long
0xffffffa5,EPROTOTYPE,Protocol wrong type for socket
0xffffffa4,ENOPROTOOPT,Protocol not available
0xffffffa3,EPROTONOSUPPORT,Protocol not supported
0xffffffa2,ESOCKTNOSUPPORT,Socket type not supported
0xffffffa1,EOPNOTSUPP,Operation not supported on transport endpoint
0xffffffa0,EPFNOSUPPORT,Protocol family not supported
0xffffff9f,EAFNOSUPPORT,Address family not supported by protocol
0xffffff9e,EADDRINUSE,Address already in use
0xffffff9d,EADDRNOTAVAIL,Cannot assign requested address
0xffffff9c,ENETDOWN,Network is down
0xffffff9b,ENETUNREACH,Network is unreachable
0xffffff9a,ENETRESET,Network dropped connection because of reset
0xffffff99,ECONNABORTED,Software caused connection abort
0xffffff98,ECONNRESET,Connection reset by peer
0xffffff97,ENOBUFS,No buffer space available
0xffffff96,EISCONN,Transport endpoint is already connected
0xffffff95,ENOTCONN,Transport endpoint is not connected
0xffffff94,ESHUTDOWN,Cannot send after transport endpoint shutdown
0xffffff93,ETOOMANYREFS,Too many references: cannot splice
0xffffff92,ETIMEDOUT,Connection timed out
0xffffff91,ECONNREFUSED,Connection refused
0xffffff90,EHOSTDOWN,Host is down
0xffffff8f,EHOSTUNREACH,No route to host
0xffffff8e,EALREADY,Operation already in progress
0xffffff8d,EINPROGRESS,Operation now in progress
0xffffff8c,ESTALE,Stale file handle
0xffffff8b,EUCLEAN,Structure needs cleaning
0xffffff8a,ENOTNAM,Not a XENIX named type file
0xffffff89,ENAVAIL,No XENIX semaphores available
0xffffff88,EISNAM,Is a named type file
0xffffff87,EREMOTEIO,Remote I/O error
0xffffff86,EDQUOT,Quota exceeded
0xffffff85,ENOMEDIUM,No medium found
0xffffff84,EMEDIUMTYPE,Wrong medium type
0xffffff83,ECANCELED,Operation Canceled
0xffffff82,ENOKEY,Required key not available
0xffffff81,EKEYEXPIRED,Key has expired
0xffffff80,EKEYREVOKED,Key has been revoked
0xffffff7f,EKEYREJECTED,Key was rejected by service
0xffffff7e,EOWNERDEAD,Owner died
0xffffff7d,ENOTRECOVERABLE,State not recoverable
0xffffff7c,ERFKILL,Operation not possible due to RF-kill
0xffffff7b,EHWPOISON,Memory page has hardware error
