"_time",OTHER,dockerd,java,kubectl,"kworker/1:0","kworker/1:1","kworker/1:2",mongod,python,"rcu_sched",splunkd
"2018-03-12T15:52:30.000-0400","0.3","1.2","0.4","0.0","0.2","0.6","0.4","1.6","41.0","0.7","61.9"
"2018-03-12T15:52:40.000-0400",,,,,,,,,,,
"2018-03-12T15:52:50.000-0400",,,,,,,,,,,
"2018-03-12T15:53:00.000-0400","0.3","1.2","0.4","0.0","0.2","0.6","0.4","1.6","30.5","0.7","86.0"
"2018-03-12T15:53:10.000-0400",,,,,,,,,,,
"2018-03-12T15:53:20.000-0400",,,,,,,,,,,
"2018-03-12T15:53:30.000-0400","0.2","1.2","0.4","0.0","0.2","0.6","0.4","1.6","10.4","0.7","60.1"
"2018-03-12T15:53:40.000-0400",,,,,,,,,,,
"2018-03-12T15:53:50.000-0400",,,,,,,,,,,
"2018-03-12T15:54:00.000-0400","0.2","1.2","0.4","0.0","0.2","0.6","0.4","1.6","7.0","0.7","60.3"
"2018-03-12T15:54:10.000-0400",,,,,,,,,,,
"2018-03-12T15:54:20.000-0400",,,,,,,,,,,
"2018-03-12T15:54:30.000-0400","0.3","1.2","0.4","0.0","0.2","0.6","0.3","1.6","5.6","0.7","87.8"
"2018-03-12T15:54:40.000-0400",,,,,,,,,,,
"2018-03-12T15:54:50.000-0400",,,,,,,,,,,
"2018-03-12T15:55:00.000-0400","0.3","1.2","0.4","0.0","0.2","0.6","0.3","1.6","39.0","0.7","60.4"
"2018-03-12T15:55:10.000-0400",,,,,,,,,,,
"2018-03-12T15:55:20.000-0400",,,,,,,,,,,
"2018-03-12T15:55:30.000-0400","0.3","1.2","0.4","0.0",,"0.6","0.3","1.6","19.0","0.7","60.5"
"2018-03-12T15:55:40.000-0400",,,,,,,,,,,
"2018-03-12T15:55:50.000-0400",,,,,,,,,,,
"2018-03-12T15:56:00.000-0400","0.3","1.2","0.4","0.0",,"0.6","0.3","1.6","5.5","0.7","60.7"
"2018-03-12T15:56:10.000-0400",,,,,,,,,,,
"2018-03-12T15:56:20.000-0400",,,,,,,,,,,
"2018-03-12T15:56:30.000-0400","0.3","1.2","0.4","0.0","0.8","0.6","0.3","1.6","5.5","0.7","60.8"
"2018-03-12T15:56:40.000-0400",,,,,,,,,,,
"2018-03-12T15:56:50.000-0400",,,,,,,,,,,
"2018-03-12T15:57:00.000-0400","0.3","1.2","0.4","0.0","0.7","0.6","0.3","1.6","43.0","0.7","60.8"
"2018-03-12T15:57:10.000-0400",,,,,,,,,,,
"2018-03-12T15:57:20.000-0400",,,,,,,,,,,
"2018-03-12T15:57:30.000-0400","0.3","1.2","0.4","0.0","0.6","0.5","0.3","1.6","5.5","0.7","60.5"
"2018-03-12T15:57:40.000-0400",,,,,,,,,,,
"2018-03-12T15:57:50.000-0400",,,,,,,,,,,
"2018-03-12T15:58:00.000-0400","0.3","1.2","0.4","0.0","0.6","0.5","0.3","1.6","5.5","0.7","60.6"
"2018-03-12T15:58:10.000-0400",,,,,,,,,,,
"2018-03-12T15:58:20.000-0400",,,,,,,,,,,
"2018-03-12T15:58:30.000-0400","0.3","1.2","0.4","0.0","0.6","0.5","0.3","1.6","25.5","0.7","60.6"
"2018-03-12T15:58:40.000-0400",,,,,,,,,,,
"2018-03-12T15:58:50.000-0400",,,,,,,,,,,
"2018-03-12T15:59:00.000-0400","0.3","1.2","0.4","0.0","0.6","0.4","0.3","1.6","26.5","0.7","58.8"
"2018-03-12T15:59:10.000-0400",,,,,,,,,,,
"2018-03-12T15:59:20.000-0400",,,,,,,,,,,
"2018-03-12T15:59:30.000-0400","0.3","1.2","0.4","0.0","0.6","0.4","0.2","1.6","5.5","0.7","58.4"
"2018-03-12T15:59:40.000-0400",,,,,,,,,,,
"2018-03-12T15:59:50.000-0400",,,,,,,,,,,
"2018-03-12T16:00:00.000-0400","0.3","1.2","0.4","23.0","0.6","0.4","0.2","1.6","33.0","0.7","58.7"
"2018-03-12T16:00:10.000-0400",,,,,,,,,,,
"2018-03-12T16:00:20.000-0400",,,,,,,,,,,
"2018-03-12T16:00:30.000-0400","0.3","1.2","0.4","1.5","0.6","0.4","0.2","1.6","5.5","0.7","59.2"
"2018-03-12T16:00:40.000-0400",,,,,,,,,,,
"2018-03-12T16:00:50.000-0400",,,,,,,,,,,
"2018-03-12T16:01:00.000-0400","0.3","1.2","0.4","0.7","0.6","0.4","0.2","1.6","42.0","0.7","63.8"
"2018-03-12T16:01:10.000-0400",,,,,,,,,,,
"2018-03-12T16:01:20.000-0400",,,,,,,,,,,
"2018-03-12T16:01:30.000-0400","0.3","1.2","0.4","0.5","0.6","0.3","0.2","1.6","5.5","0.7","55.7"
"2018-03-12T16:01:40.000-0400",,,,,,,,,,,
"2018-03-12T16:01:50.000-0400",,,,,,,,,,,
"2018-03-12T16:02:00.000-0400","0.3","1.2","0.4","0.4","0.6","0.3","0.2","1.6","5.5","0.7","58.3"
"2018-03-12T16:02:10.000-0400",,,,,,,,,,,
