CATEGORY,DESCRIPTION,NAME,PRIORITY,"TECHNICAL_NAME",seq
"ABAP Security Parameters","Profile parameter snc/data_protection/min should be set to the value 3","Minimum required data protection for Secure Network Communications",Medium,A0056,56
"ABAP Security Parameters","Profile parameter login/min_password_diff should be set to the value 1 or higher","Number of different characters: Old/new password",Medium,A0057,57
"ABAP Security Parameters","Profile parameter login/fails_to_session_end should be set to a value between 1 and 3","Number of invalid login attempts until session ends",Medium,A0058,58
"ABAP Security Parameters","Profile parameter login/password_compliance_to_current_policy should be set to the value 1","Password must fulfill the current password rules",Medium,A0059,59
"ABAP Security Parameters","Profile parameter snc/permit_insecure_start should be set to the value 0 or 1","Permission to start insecure programs when snc is enabled",Medium,A0060,60
"ABAP Security Parameters","Profile parameter login/create_sso2_ticket_ticket should be set to the value 2 or 3","Permit generation of SSO tickets",Medium,A0061,61
"ABAP Security Parameters","Profile parameter login/accept_sso2_ticket should be set to the value 1","Permit or prevent logon with an SSO ticket",Medium,A0062,62
"ABAP Security Parameters","Profile parameter service/admin_users should be set to the value SDEFAULT","Protected Web service functions requiring user authorization",Medium,A0063,63
"ABAP Security Parameters","Positive whitelists should be configured to control the execution of RFC callbacks in the calling system from called systems. Once configured, whitelists should be enabled using the setting 3 for profile parameter rfc/callback_security_method","RFC callback whitelists",Medium,A0064,64
"ABAP Security Parameters","Profile parameter gw/acl_mode should be set to the value 1","Remote external and registered servers",Medium,A0065,65
"ABAP Security Parameters","Starting of remote CPIC programs on remote hosts should be disabled or restricted to secure remote shell. This can be enabled using the setting DISABLED for profile parameter gw/rem_start","Remote start of CPIC programs",Medium,A0066,66
"ABAP Security Parameters","Profile parameter icm/HTTPS/verify_client should be set to the value 1","Require SSL Client Certificate",Medium,A0067,67
"ABAP Security Parameters","SAP GUI scripting should be disabled using the value setting FALSE for profile parameter sapgui/user_scripting","SAP GUI scripting",Medium,A0068,68
"ABAP Security Parameters","Profile parameter rfc/allowoldticket4tt should be set to the value no.

The setting is recommended to mitigate a critical capture-replay vulnerability in SAP NetWeaver AS ABAP. Refer to SAP Note 3089413 for further details. ","Secure Trusted-Trusting communication",Medium,A0069,69
"ABAP Security Parameters","Profile parameter gw/reg_no_conn_info should be set to the value 255","Security levels for sec_info and reg_info",Medium,A0070,70
"ABAP Security Parameters","Profile parameter gw/sec_info should be set to the following value:

$(DIR_GLOBAL)$(DIR_SEP)secinfo$(FT_DAT)","Security levels for sec_info and reg_info",Medium,A0071,71
"ABAP Security Parameters","Profile parameter icf/set_HTTPonly_flag_on_cookies should be set to the value 0","Set HTTPonly-Flag for Cookies",Medium,A0072,72
"ABAP Security Parameters","Profile parameter login/password_history_size should be set to the value 15 or higher","Size of Password History",Medium,A0073,73
"ABAP Security Parameters","Profile parameter icm/HTTP/logging_client_0 should be set to the following value:

PREFIX=/,LOGFILE=$(DIR_LOGGING)$(DIR_SEP)http-client-$(SAPSYSTEMNAME)-$(SAPLOCALHOST)-%y%m,MAXSIZEKB=10000,SWITCHTF=month, LOGFORMAT=%t %a %u - ""%r"" %s %b %Lms %{Host}i %P %w1 %w2%y1 %y2","Specify HTTP client log",Medium,A0074,74
"ABAP Security Parameters","Profile parameter icm/HTTP/logging_0 should include the option and value LOGFORMAT=%t %a %u - ""%r"" %s %b %Lms %{Host}i %P %w1 %w2%y1 %y2 if you are not using the Cybersecurity Extension for SAP.

If you are using the Cybersecurity Extension for SAP, the option and value should be LOGFORMAT=CLF for the Common Log Format.","Specify HTTP logging in ICM",Medium,A0075,75
"ABAP Security Parameters","System-specific authorization checks should be enforced for database maintenance actions. This can be enforced using the value setting 1 for the profile parameter dbs/dba/ccms_security_level. The attributes DBA_DBHOST, DBA_DBSID, DBA_DBUSER and ACTVT should be maintained for authorization object S_DBCON for each user ","System-specific authorization checks for database maintenance actions",Medium,A0076,76
"ABAP Security Parameters","Profile parameter icm/HTTPS/client_sni_enabled should be set to the value TRUE","TLS extension for client-side Server Name Indication (SNI)",Medium,A0077,77
"ABAP Security Parameters","Profile parameter ssl/client_sni_enabled should be set to the value TRUE","TLS extension for client-side Server Name Indication (SNI)",Medium,A0078,78
"ABAP Security Parameters","Profile parameter login/ticket_only_to_host should be set to the value 1","Ticket is only be sent back to creating host",Medium,A0079,79
"ABAP Security Parameters","Profile parameter login/password_max_idle_initial should be set to a value between 1 and 7","Validity Period of Unused Initial Passwords",Medium,A0080,80
"ABAP Security Parameters","Profile parameter login/password_max_idle_productive should be set to a value between 30 and 90","Validity period for unused productive passwords",Medium,A0081,81
