data.eventName,dataset_name,action,change_type,type
DeactivateUser,change,deleted,AAA,
DeleteBootVolumeBackup,change,deleted,volume,
DeleteCondition,change,deleted,condition,
DeleteInstanceConsoleConnection,change,deleted,instance,
DeletePolicy,change,deleted,policy,
DeleteRule,change,deleted,rule,
DeleteSession,change,deleted,session,
DeleteUser,change,deleted,AAA,
DeleteVnic,change,deleted,vnic,
DeleteVolumeBackup,change,deleted,volume,
DeletewhereTrusteduseragent,change,deleted,user agent,
generateUnifiedAgentConfiguration,change,created,agent,
GetApplication,change,read,app,
GetAuthenticationPolicy,change,read,policy,
GetBootVolume,change,read,volume,
GetBootVolumeBackup,change,read,volume,
GetBucket,change,read,bucket,
GetCloudVmCluster,change,read,vm clusters,
GetCompartment,change,read,compartment,
GetComputeGlobalImageCapabilitySchemaVersion,change,read,image,
GetComputeImageCapabilitySchema,change,read,image,
GetConfig,change,read,configuration,
GetConfiguration,change,read,configuration,
getcontainerimage,change,read,container,
GetDatabase,change,read,database,
GetDbHome,change,read,database,
GetDbHomePatchHistoryEntry,change,read,database,
GetDbNode,change,read,db,
GetDbSystem,change,read,database,
GetDbVersion,change,read,database,
GetDhcpOptions,change,read,dhcp,
GetDomain,change,read,domain,
GetDrg,change,read,drgs,
GetFloatingPrivateIP,change,read,ips,
GetFunction,change,read,function,
GetIdentityProviderGroup,change,read,group,
GetIdpUser,change,read,AAA,
GetImage,change,read,image,
GetInstance,get_instance,,,
GetInstanceAgentPlugin,get_instance,,,
GetInstanceConsoleConnection,get_instance,,,
getintegrationinstance,change,read,instance,
GetIntegrationInstance,change,read,instance,
getintegrationinstance,change,read,instance,
GetLoadBalancer,change,read,load balancer,
GetLocalPeeringGateway,change,read,gateway,
getLog,change,read,log,
getLogGroup,change,read,log,
GetManagedInstance,change,read,instance,
GetMultipleSubscriptionInfo,change,read,subscription,
GetNamespace,change,read,namespace,
GetNatGateway,change,read,gateway,
GetNetworkSecurityGroup,change,read,security group,
GetPolicy,change,read,policy,
GetPrivateIp,change,read,ips,
GetPublicIp,change,read,ips,
GetResourceAvailability,change,read,resource,
GetRouteTable,change,read,route table,
GetSecret,change,read,secret,
GetSecretBundle,change,read,bundle,
GetSecurityList,change,read,security,
GetServiceConnector,change,read,service,
GetServiceGateway,change,read,gateway,
GetSubnet,change,read,subnet,
GetSubscription,change,read,subscription,
GetTenancy,change,read,tenancy,
GetTopic,change,read,topic,
GetUsage,change,read,usage,
GetUserUIPassword,change,read,AAA,
GetVault,change,read,vault,
GetVcn,change,read,vcns,
getVirtualCircuit,change,read,circuit,
GetVnic,change,read,vnic,
GetVnicAttachment,change,read,vnic,
GetVolume,change,read,volume,
GetVolumeBackupPolicy,change,read,volume,
GetVolumeBackupPolicyAssetAssignment,change,read,volume,
LIST_CONSOLE_CONNECTION,change,read,console,
ListAlarms,change,read,alarm,
ListAlarmsStatus,change,read,alarm,
ListAllowedDomainLicenseTypes,change,read,domain,
ListAllowedDomainLicenseTypes,change,read,domain,
ListAnnouncements,change,read,announcement,
ListAnnouncementSubscriptions,change,read,announcement,
ListApiKeys,change,read,api,
ListApplications,change,read,app,
ListAuthTokens,change,read,auth token,
ListAutonomousDatabases,change,read,db,
ListAvailabilityDomains,change,read,domain,
ListBackups,change,read,backups,
ListBlockstorageConsumption,change,read,storage,
ListBootVolumeAttachments,change,read,volume,
ListBootVolumeBackups,change,read,volume,
ListBootVolumes,change,read,volume,
ListBuckets,change,read,bucket,
ListCategories,change,read,categories,
ListCloudExadataInfrastructures,change,read,infrastructure,
ListCloudVmClusters,change,read,vm clusters,
ListClusterPlacementGroups,change,read,cluster,
ListCompartments,change,read,compartment,
ListComputeCapacityReservations,change,read,compute,
ListComputeGlobalImageCapabilitySchemas,change,read,compute,
ListComputeImageCapabilitySchemas,change,read,compute,
ListConsoleConnections,change,read,console,
ListConsoleHistories,change,read,console,
ListCostTrackingTags,change,read,tag,
ListCustomerSecretKeys,change,read,key,
ListCustomTables,change,read,tables,
ListDatabaseInsights,change,read,db,
ListDatabases,change,read,db,
ListDatabaseServiceUsages,change,read,db,
ListDataGuardAssociations,change,read,data guard,
ListDbHomePatches,change,read,db,
ListDbHomePatchHistoryEntries,change,read,db,
ListDbHomes,change,read,db,
ListDbNodes,change,read,db,
ListDbSystemComputePerformances,change,read,db,
ListDbSystemPatches,change,read,db,
ListDbSystemPatchHistoryEntries,change,read,db,
ListDbSystems,change,read,db,
ListDbSystemStoragePerformances,change,read,db,
ListDbVersions,change,read,db,
ListDhcpOptions,change,read,dhcp,
ListDomains,change,read,domain,
ListDrgs,change,read,drgs,
ListEnrollmentStatuses,change,read,enrollment statuses,
ListExadataInfrastructures,change,read,infrastructure,
ListFaultDomains,change,read,domain,
ListFunctions,change,read,function,
listgateways,change,read,gateway,
ListGroups,change,read,group,
ListImages,change,read,image,
ListImageShapeCompatibilityEntries,change,read,image,
ListInstanceagentAvailablePlugins,change,read,instance,
ListInstanceAgentPlugins,change,read,instance,
ListInstanceConfigurations,change,read,instance,
ListInstanceConsoleConnections,change,read,instance,
ListInstanceDevices,change,read,instance,
ListInstanceMaintenanceEvents,change,read,instance,
ListInstances,change,read,instance,
ListInternalDrgs,change,read,drgs,
ListInternalVnics,change,read,vnic,
ListInternetGateways,change,read,gateway,
ListIpv6s,change,read,ipv6s,
ListKeys,change,read,key,
ListKeyVersions,change,read,key,
ListLimitValues,change,read,limit values,
ListListings,change,read,listings,
ListLoadBalancers,change,read,load balancer,
ListLocalPeeringGateways,change,read,gateway,
listLogGroups,change,read,log,
listLogs,change,read,log,
ListNatGateways,change,read,gateway,
ListNetworkSecurityGroups,change,read,network security,
ListNetworkSecurityGroupSecurityRules,change,read,network security,
ListPluggableDatabases,change,read,db,
ListPolicies,change,read,policy,
ListPreferences,change,read,preference,
ListPrivateIps,change,read,ips,
ListProductLicenses,change,read,product licenses,
ListPublishers,change,read,publishers,
ListQueries,change,read,queries,
ListRecommendations,change,read,recommendations,
ListRegion,change,read,region,
ListRegionSubscriptions,change,read,subscription,
ListRouteTables,change,read,route table,
ListRules,change,read,rules,
listSavedSearch,change,read,search,
ListSecurityAttributeNamespaces,change,read,security,
ListSecurityLists,change,read,security,
ListServiceConnectors,change,read,service,
ListServiceEntitlements,change,read,service,
ListServiceGateways,change,read,service,
ListServices,change,read,service,
ListShapes,change,read,shapes,
ListStacks,change,read,stack,
ListSubnets,change,read,subnet,
ListSubscribedServices,change,read,service,
ListSubscriptions,change,read,subscription,
ListTagDefaults,change,read,tag defaults,
ListTagNamespaces,change,read,namespace,
ListTargetDatabases,change,read,db,
ListTenancyCompartmentTree,change,read,compartment,
ListTopics,change,read,topic,
ListUserGroupMemberships,change,read,AAA,
ListUsers,change,read,AAA,
ListVaults,change,read,vault,
ListVcns,change,read,vcns,
ListVnicAttachments,change,read,vnic,
ListVolumeAttachments,change,read,volume,
ListVolumeBackupPolicies,change,read,volume,
ListVolumeBackups,change,read,volume,
ListVolumes,change,read,volume,
ListWorkRequests,change,read,work requests,
listworkrequests,change,read,work requests,
ListWorkRequests,change,read,work requests,
ModifySession,change,modified,session,
ModifySSOSession,change,modified,session,
pulldockerlayer,change,read,docker,
readdockerrepositorymanifest,change,read,docker,
RemoveUserFromGroup,change,modified,AAA,
SuccessCreate,change,created,filesystem,
SuccessDelete,change,deleted,filesystem,
TerminateInstance,change,stopped,instance,
UpdateAccountmgmtinfo,change,updated,AAA,
UpdateDevice,change,updated,device,
UpdateFunction,change,updated,function,
UpdateGroup,change,updated,group,
UpdatePolicy,change,updated,policy,
UpdateSettings,change,updated,setting,
UpdateTrusteduseragent,change,updated,user agent,
UpdateUser,change,updated,AAA,
UpdateUserCapabilities,change,updated,AAA,
UpdateUserState,change,updated,AAA,
UpdateUserUIPassword,change,updated,AAA,
CheckDataSafeEnable,data_access,read,,
filterLogs,data_access,read,,
SearchListings,data_access,read,,
SearchLogs,data_access,read,,
searchLogs,data_access,read,,
uploaddockerimage,data_access,uploaded,docker,
uploaddockerlayer,data_access,uploaded,docker,
