data_family,data_subtype,sourcetype
IDS/IPS,Snort,snort
IDS/IPS,Bro,bro
Web Traffic,Apache,apache_error
Networking,Wireless,aruba_mobileip
Web Traffic,Apache,access_common
Application Monitoring,Peoplesoft,psft_appserv_watchsrv
Networking,Wireless,aruba_authmgr
Application Monitoring,Peoplesoft,psft_webserv_pia
Server Performance,Active Directory,Perfmon:NTDS
Firewall,Shorewall,shorewall
Patch Management,Windows Automatic Updates,windows_update
Application Monitoring,Peoplesoft,psft_prcs_mstrschdlr
Server Performance,Network Interface,Perfmon:Network Interface
Server Performance,Network Interface,Perfmon:LocalNetwork
Server Performance,Exchange Queue Lengths,Perfmon:MSExchange_Queue_Lengths
Application Monitoring,VMWare,vmware:vclog:vpxd
Host Based Firewall,Windows Firewall,win2k3_firewall
Server Performance,Exchange Store Driver,Perfmon:MSExchange_Store_Driver
Server Performance,Processor,Perfmon:Processor
Windows,Application Event Viewer,WinEventLog:Application
Database,Oracle Audit Log,oracle_audit
Database,Oracle Audit Log,oracle_audit_syslog
Tomcat,Rice,rice
Server Performance,CPU Load,Perfmon:CPU Load
Networking,Netstat - Windows,netstat_windows
Database,Oracle 11 Trace & Alert Logs,oracle11_trace
Networking,Wireless,aruba_sapd
Server Performance,ps,ps
Authentication,Kerberos,krb5kdc
Linux,Security,linux_secure
Server Performance,Exchange Throttling,Perfmon:MSExchange_Throttling
Remote Access,SSH,sshd
Server Performance,Network Interface,Perfmon:Network_Interface
Networking,Wireless,aruba_clearpass
Application Monitoring,Peoplesoft,psft_prcs_aesrv
Server Performance,Exchange IMAP4,Perfmon:MSExchangeImap4
Server Performance,Memory Availabilty,Perfmon:Available Memory
Authentication,Shibboleth,shibboleth
Web Traffic,Apache,access_combined_syslog
Windows,System Event Viewer,WinEventLog:System
Firewall,Cisco Meraki,meraki_mx80
Server Performance,Nagios,nagiosserviceperf
Server Performance,Exchange POP3,Perfmon:MSExchangePop3
Test Data,Mark's test data,random_data_2
Server Performance,Network Utilization,Perfmon:Network_Utilization
Networking,Wireless,aruba_wms
Application Monitoring,Peoplesoft,psft_appserv_tuxaccess
Server Performance,ActiveSync,Perfmon:ActiveSync
Linux,,who
Networking,DHCP,DhcpSrvLog
Server Performance,Exchange SmtpRecieve,Perfmon:MSExchange_SmtpReceive
Windows,Application Event Viewer,WinEventLog:application
Firewall,Watchguard,watchguard_xtm
Linux,Cron,cron*
Linux,Cron,cron
Linux,Cron,crond*
Linux,Cron,crond
Server Performance,Memory Availabilty,Perfmon:Available_Memory
Server Performance,CPU Total Processor Time,Perfmon:Total_Processor_Time
Server Performance,Exchange OWA,Perfmon:OWA
Authentication,Shibboleth,shibd.log
Server Performance,CPU,cpu
Server Performance,vmstat,vmstat
Test Data,Mark's test data,random_data
Server Performance,Exchange SmtpSend,Perfmon:MSExchange_SmtpSend
Application Monitoring,Peoplesoft,psft_appserv_tuxlog
Server Performance,Nagios,nagioshostperf
Authentication,Shibboleth,shibd
Firewall,Fortinet,fortigate
Web Traffic,IIS,iis
Application Monitoring,Peoplesoft,psft_prcs_dstagnt
Server Configuration,Open Ports,openPorts
Windows,Windows Automatic Updates,WindowsUpdateLog
Networking,Wireless,aruba_pim
Application Monitoring,VMWare,vmware:vclog:vws
Application Monitoring,Peoplesoft,psft_prcs
Firewall,pfSense,pfSense_Firewall
Application Monitoring,Peoplesoft,psft_appserv_stdout
Active Directory,AD Replication (Splunk),MSAD:NT6:Replication
Linux,Bootlog,linux_bootlog
AntiVirus,Clam,clamd
AntiVirus,Clam,clamav*
Application Monitoring,VMWare,vmware:vclog
Database,Oracle 10 Trace & Alert Logs,oracle10_trace
Networking,Wireless,aruba_cfgm
Authentication,Shibboleth,shibd_warn.log
Authentication,Shibboleth,shibd_warn
Windows,System Event Viewer,WinEventLog:system
Server Configuration,Arp,arp_windows
Server Configuration,Tasklist,tasklist
Networking,Wireless,aruba_airwave
Server Performance,CPU,cpu_windows
Mac,Install,osx_install
Server Performance,lsof,lsof
Application Monitoring,Peoplesoft,psft_appserv_monitorsrv
Windows,Setup Event Viewer,WinEventLog:Setup
Email,Exchange Topology,MSExchange:2010:Topology
Networking,Wireless,aruba
Server Configuration,Netstat - Linux,netstat
Database,Oracle 9 Trace & Alert Logs,oracle9_trace
Email,Exchange Admin Audit,MSExchange:2010:AdminAudit
Linux,df,df
Server Performance,Disk Space,Perfmon:Free Disk Space
Server Performance,iostat,iostat
Server Performance,top,top
Firewall,Cisco NAC,cisco:nac
Active Directory,AD Health (Splunk),MSAD:NT6:Health
AntiVirus,Clam,freshclam
AntiVirus,Clam,freshclam.log
Application Monitoring,Peoplesoft,psft_appserv
Networking,DHCP,dhcp_windows
Networking,Wireless,aruba_snmp
Authentication,Shibboleth,shib_warn
Storage,NAS,synology_nas
Storage,NAS,FreeNAS
Social Media,Twitter,Tweet
Mac,Secure,osx_secure
Firewall,Juniper,juniper:sslvpn
AntiVirus,Clam,clamd.log
Remote Access,IAS,iaslog
Firewall,Juniper,juniper:idp
Server Information,Linux Audit,auditd
Exchange,Connect Log,exchange_connectlog
Application Monitoring,VMWare,asterisk_messages
Authentication,Shibboleth,transaction.log
Application Monitoring,IDM,enterpriselan
Linux,Common UNIX Print Server (CUPS),cups_error
Linux,Common UNIX Print Server (CUPS),cups_access
Web Traffic,Apache SSL,ssl_request_log
Web Traffic,Apache Native,native_warn
Web Traffic,Apache Native,native_warn.log
Web Traffic,Apache Native,native.log
Application Monitoring,IDM,notificationdriver
User Accounts,qwinsta,qwinsta
Application Monitoring,IDM Jboss,server.log
Application Monitoring,IDM,businessrules
Web Traffic,Apache Native,native
Web Traffic,Apache Native,native*
Email,Maillog,sendmail_syslog
Server Configuration,Puppet,masterhttp
Application Monitoring,Peoplesoft,pia_servlets0.log
Active Directory,Fixme (Splunk),activedirectory
Application Monitoring,VMWare,vmware:vclog:sms
Application Monitoring,IDM,businesslogic_idgenerator
Account Information,User Accounts (Splunk script),userswithloginprivs
Linux,dmesg,dmesg
Application Monitoring,IDM,carmen_jdbc
Web Traffic,Apache SSL,ssl_error_log
Web Traffic,Apache SSL,ssl_error
Active Directory,SiteInfo (Splunk),MSAD:NT6:SiteInfo
Linux,Generic System Logs,system
Web Traffic,Apache,access_combined_wcookie
Active Directory,OHR adsync logs,adsynch
Application Monitoring,Tomcat Catalina,tomcat_catalina_*
Application Monitoring,Tomcat Catalina,catalina
Web Traffic,EZproxy,ezproxy
Server Configuration,Network Interface Data,interfaces
Server Applications,Installed Applications (Windows),InstalledApps_Windows
Server Applications,Installed Applications (Linux),package
Server Applications,Installed Applications (Windows),Windows:QFE
AntiVirus,Clam,clam_av
Email,Exchange Distribution Lists,MSExchange:2010:DistributionLists
Application Monitoring,VMWare,vmware:vclog:stats
Account Information,Linux Last Login,lastlog
Server Performance,Nagios,nagios
Firewall,Netgear,netgear:firewall
Server Performance,Linux Uptime,unix:uptime
Patch Management,Yum,yum
Server Configuration,Server Specs,hardware
Server Configuration,Server Specs,Unix:dmidecode
Server Configuration,Service data,Unix:Service
Server Configuration,Linux Version,unix:version
Database,I9 DB,i9db
Server Configuration,Network Interface Info,ipconfig
Windows,Forwarded Event Viewer,WinEventLog:ForwardedEvents
Application Monitoring,VMWare,vmware:vclog:tomcat
Server Configuration,Disk Space,diskspacemonitor
Patch Management,Red Hat Update Agent,up2date
Database,MongoDB,mongod
Remote Access,IAS,WinEventLog:System:IAS
Windows,Directory Service Event Viewer,WinEventLog:Directory Service
Email,Exchange Throttling Policy,MSExchange:2010:ThrottlingPolicy
Email,Exchange Database Info,MSExchange:2010:Database
Email,Exchange Mailbox Audit,MSExchange:2010:MailboxAudit
Email,Exchange Mailbox Usage,MSExchange:2010:Mailbox-Usage
Remote Access,IAS,ias
Application Monitoring,Runtime Acceleration,prelink
Backup,rsnapshot,rsnapshot
Authentication,Standalone LDAP,slapd
Mac,Unknown,osx_daily
Application Monitoring,VMWare,vmware:esxlog:Hostd
Application Monitoring,IDM,chkExpireInEdir.pl
Database,PostgreSQL,postgres*
Database,PostgreSQL,postgres
AntiVirus,Clam,clamd*
Application Monitoring,Peoplesoft,psft_appserv*
Application Monitoring,Peoplesoft,psft_prcs*
IDS/IPS,Bro,bro-*
Email,Postfix,postfix*
