protocol,Protocol_name,Protocol_description
udp/40028,msupdate,Microsoft Windows Updates and Error Checking
tcp/40028,msupdate,Microsoft Windows Updates and Error Checking
udp/40029,msupdate,Microsoft Windows Updates and Error Checking
tcp/40029,msupdate,Microsoft Windows Updates and Error Checking
udp/40030,msupdate,Microsoft Windows Updates and Error Checking
tcp/40030,msupdate,Microsoft Windows Updates and Error Checking
udp/40031,msupdate,Microsoft Windows Updates and Error Checking
tcp/40031,msupdate,Microsoft Windows Updates and Error Checking
udp/40032,msupdate,Microsoft Windows Updates and Error Checking
tcp/40032,msupdate,Microsoft Windows Updates and Error Checking
udp/40033,msupdate,Microsoft Windows Updates and Error Checking
tcp/40033,msupdate,Microsoft Windows Updates and Error Checking
udp/40034,msupdate,Microsoft Windows Updates and Error Checking
tcp/40034,msupdate,Microsoft Windows Updates and Error Checking
udp/40035,msupdate,Microsoft Windows Updates and Error Checking
tcp/40035,msupdate,Microsoft Windows Updates and Error Checking
udp/40036,msupdate,Microsoft Windows Updates and Error Checking
tcp/40036,msupdate,Microsoft Windows Updates and Error Checking
udp/40037,msupdate,Microsoft Windows Updates and Error Checking
tcp/40037,msupdate,Microsoft Windows Updates and Error Checking
udp/40038,msupdate,Microsoft Windows Updates and Error Checking
tcp/40038,msupdate,Microsoft Windows Updates and Error Checking
udp/40039,msupdate,Microsoft Windows Updates and Error Checking
tcp/40039,msupdate,Microsoft Windows Updates and Error Checking
udp/40317,kindle,Used by Kindle devices for communication with Amazon
udp/49317,kindle,Used by Kindle devices for communication with Amazon
