PatternId,PatternName,have_dashboard,Category,Description,,,,,
55827777E1B0FE2BE10000000A4CF109,Brute force attack and successful logon,0,Brute Force Attack,"The number of failed logons from one terminal ID has exceeded a threshold, and there was a successful logon from this terminal ID.",,,,,
55827776E1B0FE2BE10000000A4CF109,Brute force attack,0,Brute Force Attack,The number of failed logons from one terminal ID has exceeded a threshold.,,,,,
52D397F8CF03364A92A2979D25AC492E,Client independent queries via debugger,0,Client independent query via debugger,User tries to read client independently via debugger,,,,,
558292A9E1B0FE2BE10000000A4CF109,Security relevant policy changes,0,Configuration,"A security relevant configuration has been changed successfully or unsuccessfully, such as audit configuration or security session management.",,,,,
0CBE051913C2D04CB4A13ECEB39C3F35,System configuration changes,0,Configuration,A system relevant configuration has been changed successfully or unsuccessfully.,,,,,
6DC07816C16B7E47B622BC2C13A8D313,Critical RFC Callbacks For UserMgmt,0,Critical RFC Calls For User Management,Category: Unauthorized access to user and access management. Purpose: Monitor critical RFC callbacks for user management. Customization Value Lists: 1. Critical actions for user management 2. Exclusion lists (allowlists) for allowed users and network IPs,,,,,
FE7A096FF306344EA22A0B62F5AB339B,Calls between a non-productive and a productive system,1,Cross Communication,A non-productive system has called a productive system.,,,,,
54C9312A31C8394A9F9430C6C68F5EF0,RFC call from non-productive system,0,Cross Communication,?,,,,,
526F410612D1EC46B785FD57FB9B508D,RFC calls from non-productive to productive systems,0,Cross Communication,Raise an alert when a non-productive system calls via remote function call (RFC) protocol to a productive system,,,,,
BD2AC8B5C4F87E45982B1D7DFF95B30D,Call from non-productive system,0,Cross Communication,?,,,,,
5582A3F9E1B0FE2BE10000000A4CF109,Possible CSRF token attack detection,0,CSRF,A request without sufficient security features has reached an ABAP server. This could be due to a  CSRF (Cross-site request forgery) token attack.,,,,,
7211378BDF9719469500A6206F051767,Data Download with Suspicious Filename,0,Data Download with Suspicious Filenames,"Access to sensitive data. Every download not performed by program \""ZSWFL_FREE_CUSTOMER_FROM_SWCENT\"" and containing values from the \""SuspiciousFilenameDownload\"" value list causes an alert.",,,,,
5582CDB2F02EFE2BE10000000A4CF109,Debugging using new ABAP debugger,0,Debugging,A user debugs using the new ABAP debugger in SAP GUI.,,,,,
5582CDB1F02EFE2BE10000000A4CF109,Debugging using ABAP in Eclipse,0,Debugging,A user debugs using ABAP Development Tools for SAP NetWeaver (ABAP in Eclipse).,,,,,
5582CDB4F02EFE2BE10000000A4CF109,Debugging with change of control flow while debugging,0,Debugging,A user changes the control flow while debugging.,,,,,
5582CDB5F02EFE2BE10000000A4CF109,Debugging with change of variable values during debugging,0,Debugging,A user changes variable values while debugging.,,,,,
50B0E54E89291A46B835F3503DA99942,Debugging in critical systems,0,Debugging,Debugging takes place in a critical system ID. Add the IDs for critical systems into value list CriticalSystemIDsDebugging in order to raise this alert.The format for ABAP based system IDs is <Name>/<Client number>.,,,,,
937627F31E37524F837F9374804DE234,Debugging in systems assigned to critical roles,0,Debugging,Debugging takes place in a system assigned to a critical role (e.g Production). Add the names of critical system roles into value list CriticalSystemRolesDebugging in order to raise this alert. Enter role values from the system context,,,,,
DAF6B0B8C56AD7419BB260AA7B71C18D,Debugging by users belonging to a critical user group,0,Debugging,Debugging takes place by a user belonging to a user group which must not debug in a system. Add the names of critical user groups into value list CriticalUserGroupsDebugging in order to raise this alert. For ABAP based systems the user group values can be found in the ABAP system in transaction SU01 in the field 'User Group' in Tab 'Logon Data' using F4-help.,,,,,
5582CDB3F02EFE2BE10000000A4CF109,Debugging using old ABAP debugger,0,Debugging,A user debugs using the old ABAP debugger in SAP GUI.,,,,,
72D98BC074848D42A943C62E14DE374F,DoS attack against different HTTP URLs,0,Denial of Service,The number HTTP URLs called from one terminal ID have exceeded a threshold (default: 300 different HTTP URLs called per 30 minutes).,,,,,
E5F33C615ABB1C40BD67A9C5FA7BB591,DoS attack via RFC_PING/RFCPING to one destination,0,Denial of Service,The number of RFC_PING/RFCPING function calls to a single RFC destination and initiated by one terminal ID has exceeded a threshold (default: 1000 per 30 minutes).,,,,,
DBA8272581484443A28B2A2926E13054,DoS attack against different RFC destinations,0,Denial of Service,The number of RFC destinations that are used from one terminal ID has exceeded a threshold (default: 20 different RFC destinations called within 30 minutes).,,,,,
5128E181D97D7B4B9533F6594BA77C7A,DoS attack on sap/public/icf_info URL path,0,Denial of Service,The HTTP URL sap/public/icf_info* has been called. Such URLs could be used to find out server-specific information e.g. URL prefixes which are handled by the ABAP server.,,,,,
9C766C2B1292944CB67E9450B86C71B6,DoS attack from one terminal to different systems,0,Denial of Service,The number Systems called from one terminal ID have exceeded a threshold (default: 10 different Systems called per 10 minutes).,,,,,
2E27BD500D72384FBB4485EB9796BF89,Directory Traversal,0,Directory Traversal,Directory Traversal is a result of poor input validation and is a common attack.  This pattern looks at the Security Audit Log Event Codes to see if directory traversal activities have been detected.  The event codes are listed below: CUQ,Logical file name &A not configured. Physical file name &B cannot be validated. CUR,Physical file name &B does not meet requirements set by logical file name &A. CUS,Logical file name &B is not a valid alias for logical file name &A. CUT,No validation active for logical file name &A. DU5,"There is no logical file name for path &A\"". During the call of a function for FTP-based file access, no compatible logical file name was found for the check for avoiding directory traversals. The further execution of the function is therefore blocked. Use SAP Notes 1692988 and 1497003 for further information."
D18862C4759A354A9B149AA7410BCF28,Dynamic program execution,0,Dynamic ABAP code execution,Alert dynamic program execution which is suspicious for a code injection attack as indicated by the Security Audit Log event code.,,,,,
74718C6F828D3E49999F15136E9B671C,Execution of critical SQL statements with report RSDBA850,0,Execution of critical SQL statements using SQL console,Monitor critical SQL statements (e. g. DROP TABLE) being executed in the SQL console with report RSDBA850 Prerequisites: Enable read access logging (RAL) for transaction DB12. Customization Value Lists: Critical SQL Executions Exclusion lists (allowlists) for allowed systems and roles,,,,,
5582D941F02EFE2BE10000000A4CF109,Failed logon by RFC/CPIC call,0,Failed Logon,The threshold for unsuccessful logon attempts using RFC/CPIC has been exceeded. The default threshold value is 3.,,,,,
5582D942F02EFE2BE10000000A4CF109,Failed logon with too many attempts,0,Failed Logon,One or more unsuccessful logon attempts have occurred. The default threshold value is 3.,,,,,
5582D945F02EFE2BE10000000A4CF109,Failed logon of same user from different Terminal IDs,0,Failed Logon,The number of unsuccessful logons from the same user from different terminal IDs has exceeded a threshold.,,,,,
5582D946F02EFE2BE10000000A4CF109,Failed Logon with too many password logon attempts,0,Failed Logon,A user account was locked because of too many failed attempts to log on with user ID and password. There are further logon attempts for this user. The number of subsequent logon attempts has exceeded a threshold.,,,,,
5582D947F02EFE2BE10000000A4CF109,Failed Logon with expired user,0,Failed Logon,The number attempts to logon with an expired user account has exceeded a threshold.,,,,,
5582D948F02EFE2BE10000000A4CF109,Failed Logon with locked user,0,Failed Logon,The number attempts to log on to a user account which has been locked by administrator or due to failed logon attempts has exceeded a threshold.,,,,,
606B2FE6B103F8488C3E469A0B836477,CUZ-Generic table access by RFC pattern,0,Generic table access by RFC,Category: Unauthorized logon attempt\\nPurpose:\\nMonitor ABAP Security Audit Log event code CUZ indicating generic table access via RFC using functions like RFC_READ_TABLE (note 1539105). \\n Prerequisites: Enable event CUZ (note 2073809) \\n Customization Value Lists: \\n1. Tables not allowed for generic access by RFC (e. g. USR02)  \\n2. Exclusion lists (white lists) for allowed systems and roles \\n,,,,,
C5205BD0D5BE1F4A884C4829ED4E15CD,HANA Configuration for Force first password change,0,HANA Configuration for Force first password change,Default passwords are required to be changed. This pattern monitors settings which enforce change of password for the first usage of an account.,,,,,
E0E2CADA15665C42A2E15C9A98B3CCEF,Download volume exceeds threshold,0,Information Disclosure,A user has downloaded data from an SAP system exceeding a defined threshold (default: 10.000.000 bytes per download).,,,,,
CBDA7D4915CCF147AB5436685FC79023,Multiple downloads by one user,0,Information Disclosure,A user has downloaded data from an SAP system more times than a defined threshold (default: 10 per day).,,,,,
B33EF41CF431CE45BE1C4A06EACAD02D,Manual Execution of critical Function Module in Trx SE37,0,ManualFunctionModuleExecutionSE37,This pattern looks at the Read Access Logs (should be preconfigured) to see if a user is executing critical function module in transaction SE37. This could indicate manual execution of critical functionality.,,,,,
FAB5EC699599DC4387C40A117C94C6BB,Manual Execution in SE37 with debugging,0,ManualFunctionModuleExecutionSE37,This pattern looks at the Read Access Logs (should be preconfigured) and Business Transaction Log to see if a user is debugging critical function module in transaction SE37 and is manipulating with its execution in debugger. This could indicate manual execution and manipulation with critical functionality.,,,,,
71E56828872A6543A76217E3DB2E3F55,Manual Execution in SE37 and critical debugging functions,0,ManualFunctionModuleExecutionSE37,This pattern looks at the Read Access Logs (should be preconfigured) and Security Audit Log to see if a user is debugging critical function module in transaction SE37 and is manipulating with its execution in debugger. This could indicate manual execution and manipulation with critical functionality.,,,,,
AB96F04406F07C4B88B45FFFBF694CBC,Profile Parameter Dynamic Change,0,Profile Parameter Dynamic Change,Critical change of system configuration Config 0001 Every event with event code Q19 causes an alert.,,,,,
5F56296024B8F345BF7CE0670AAD53C4,RFCGateway Localhost,0,RFC Gateway Localhost,Nonstandard system access,,,,,
F46D7910BF20C9468330221F09F07608,SAL Application Failed to Start,0,SAL Application Failed to Start,This pattern looks at the Security Audit Log Event Code to see if a Transaction failed to start.  This could indicate an unauthorized use of a transaction.,,,,,
BC8A41067556E84E9BD93C9864D0DBEF,SAL Logon dialog forgery,0,SAL logon dialog forgery,"Unauthorized logon attempt. Dialog logon attempt yields message ID \""DU0\"" in Security Audit Log, e. g. message text \""Invalid SAP GUI data\"".",,,,,
098DCC20D8A19E429708EA8AC6106FF4,SAL Server not in allowlist,0,SAL server not in allowlist,"Nonstandard system access, RFC function call Security audit log message ID \""DU3\"": Server is not contained in the allowlist. SAP security notes: 1605054, 1686247, 2312710",,,,,
FCFC7CE4E308D64DA860A9FF7693F9D1,Sensitive Data Download via Blocklisted Reports,0,Sensitive Data Download via Blocklisted Reports,"Access to Sensitive Data Every data download using reports listed in \""ABAPBlocklistedReports\"" causes an alert.",,,,,
5582BF6CE1B0FE2BE10000000A4CF109,SPNego replay attack detection,0,SPNego,An SPNego replay attack has been detected in the system.,,,,,
917D28CB867B7640863A7BD0475BAEB6,Password changed for SAP standard users,0,Standard Users,"The password of an SAP standard user has been modified (for example, DDIC andSAP*, contained in value list SAPStandardUsers delivered by SAP and extensible by customer).",,,,,
553DD5737D84A44882EEBB66889068E3,Password changed for SAP standard users and logon,0,Standard Users,The password of an SAP standard user has been modified and later logged on successfully.,,,,,
5582A31EE1B0FE2BE10000000A4CF109,Logon via forbidden logon method (Password),0,Suspicious Logon,A successful or unsuccessful logon using a password logon method has occurred in a system where the password logon method is not allowed. Prerequisite: The necessary system settings must be applied in the systems. Enter these System IDs of these systems into the value list AllowlistSystemsPasswordLogonForbidden,,,,,
5582A31CE1B0FE2BE10000000A4CF109,Logon with SAP standard users,0,Suspicious Logon,A successful or unsuccessful logon attempt with SAP standard users has occurred.,,,,,
5582A31FE1B0FE2BE10000000A4CF109,Logon of blocklisted users,0,Suspicious Logon,A logon by a blocklisted user has succeeded. Prerequisite: Only non-pseudonymized users can be added to the valuelist LogonBlocklistedUsers. A user is not pseudonymized in case its usertype corresponds to one of the usertypes defined in valuelist NonPseudonymizedUserTypes. Another option to avoid pseudonymization is to add usernames to the valuelist SAPStandardUsers. Then maintain the value list SuspiciousLogonBlocklistedUsers with the respective usernames.,,,,,
5582A320E1B0FE2BE10000000A4CF109,Logon success same user from different Terminal IDs,1,Suspicious Logon,The number of successful logons with the same user from different terminal IDs has exceeded a threshold.,,,,,
5582A31DE1B0FE2BE10000000A4CF109,Logon to client 066,0,Suspicious Logon,"A successful logon to ABAP system client 066 has occurred. For more information about client 066, see http://help.sap.com/saphelp_46c/helpdata/en/2e/d9530294f911d283d40000e829fbbd/content.htm",,,,,
B7C31C42D671114AA1C47B076E0B36F3,Transaction Unlocked,0,Transaction Unlocked,This pattern looks at the Security Audit Log Event Code to see if a Transaction has been unlocked.  This could indicate an unauthorized use of a transaction.,,,,,
4318FF458F4D8449A45BA3D9525D90FD,Password changed multiple times for same user,0,User Maintenance,The password of an SAP user has been modified multiple times. The default threshold is 3 changes to the same user within one day.,,,,,
81E785E91B3CAD4AA00A9AA6E5247162,Password changed by non-admin user,0,User Maintenance,"The password of a user has been modified by a user who is not an administrator. For ABAP systems, this is identified by user group in SAP User Management, attribute \""User group\"" of tab \""Logon Data\"" in transaction SU01.",,,,,
76560A14DBEC9C4A9EA502EFD6EA3BCC,User acts under created user,0,User Maintenance,A user has created another user and then logged into the system with this user from the same terminal ID.,,,,,
44C066A38F2F03498F8901A26E78E358,User Creation under Admin,0,User Maintenance,?,,,,,
259FF9EFEA9B344FB01E932ABF8217F3,User morphing by changing user type,0,User Types,A user type has been changed from a non-dialog to a dialog user.,,,,,
503238ED1C96A4428C221116F2445A04,User morphing by changing user type and logon,1,User Types,A user type has been changed from a non-dialog to a dialog user and this changed user performs a logon within one week.,,,,,
7706AAC55B7D4B4395EE8F047D7087DE,Attempt to invoke servlet on J2EE,0,Web Security,A client attempts to access J2EE server per servlet.,,,,,
0C5A5C627E1F6D4F85C55F22F4F7D583,Successfully invoke servlet on J2EE server,0,Web Security,A client access to J2EE per servlet successfully. The server responded with 20x code.,,,,,
5FFE484537798F46B0B40B386F848738,HTTP unexpected methods,0,Web Security,Server receives an HTTP request with unexpected methods.,,,,,
5582AAEAE1B0FE2BE10000000A4CF109,Table dropped or altered,0,Data Manipulation,A table has been dropped or altered.,,,,,
5582AAEBE1B0FE2BE10000000A4CF109,Too many selects,0,Data Manipulation,The number of selects from one user and from one terminal ID exceeds a threshold (default: 100000 within 30 minutes).,,,,,
DF3F93F156DAAA408C1512168E16F2B0,Generic access to critical database tables,0,Data Manipulation,Client gets access to critical database tables.,,,,,
EFF41E192BB84842B48AD6AD40A9AD1D,ICF usage of /sap/public/info,0,Security Notes and Messages,A call to the service in ICF path /sap/public/info has taken place.,,,,,
4A9B8BBB328C0C4FAA66482349F35A0B,ABAP function modules with removed RFC enablement,0,Security Notes and Messages,A user has tried to execute a function module that should not be executed remotely. The enablement of remote function call was removed by an SAP Security Note.,,,,,
3EE366054C3DC94A87DA697895768393,ABAP deactivated or deleted function modules,0,Security Notes and Messages,A user has tried to execute a function module that should not be executed remotely because the function module was deactivated or deleted by an SAP Security Note.,,,,,
B4E6014B3397654FA969F16B44DD7EC1,ABAP deactivated or deleted reports,0,Security Notes and Messages,A user has tried to execute a report which was deactivated or removed by an SAP Security Note.,,,,,
DB4BF3EDAC4CD34D86DF020C6CCD7CDC,Deletion of ETD Streaming Configuration Files,0,Changes to ETD Streaming Configuration Files,The pattern monitors deletion of ETD Streaming configuration files.,,,,,
E3DF270D754DEA439293CD6A70331160,Failed Changes to ETD Streaming Configuration Files,0,Changes to ETD Streaming Configuration Files,The pattern monitors failures while accessing ETD Streaming configuration files.,,,,,
C69D8B66AAA2094AB017E07C2A639967,Changes to ETD Streaming Configuration Files,0,Changes to ETD Streaming Configuration Files,The pattern monitors changes in ETD Streaming configuration files.,,,,,
991C51D722A5FB41B224AE72754B86D0,Sensitive Data Access by RAL Purpose,0,Activities detected by standard RAL configurations,Monitors access to sensitive data based on Purpose.,,,,,
45833923F1558B4BAE89DB0EE85B9958,Sensitive Data Input Access by RAL Log Domain,0,Activities detected by standard RAL configurations,Monitors input access to sensitive data based on Log Domain.,,,,,
72B654B0CB0ED74E965E4B764F6B00DA,Sensitive Data Output Access by RAL Log Domain,0,Activities detected by standard RAL configurations,Monitors output access to sensitive data based on Log Domain.,,,,,
A8583E39CE65C143A37DB17F58219B1E,Sensitive Data No Authorization Access by RAL Log Domain,0,Activities detected by standard RAL configurations,Monitors appearance of unauthorized access to sensitive data based on Log Domain.,,,,,
392EA437D9CFC14BB333CAEDFEAD0A2C,Sensitive Data Different Channels Access by RAL Log Domain,0,Activities detected by standard RAL configurations,Monitors access to sensitive data by the same user but using different channels.,,,,,
B0B66BA0F13E4F44B20E29C94E38753D,Blocklisted Data Download in Transactions,0,Blocklisted Data Download in Transactions,Check if somebody is downloading data from business transactions but is not allowed to do so,,,,,
0A56307BCFCB964295B7FAE1271EEB0D,Blocklisted Data Download in Recipe Transactions,0,Blocklisted Data Download in Transactions,Check if somebody is downloading data from recipe transactions but is not allowed to do so,,,,,
3A3F0C5E9968E441B1CC3D795E5587FF,Alerting Test 15min,0,ETD Self-Defense,A function test on active alerts is run every 15 minutes. The results can be inspected on a specifically created custom tile named 'Alerting Test' in the ETD launchpad. Please visit the documentation for details on how to create the custom tile.,,,,,
AB1509574ADAA74087F99A5705367CD7,Content Deletion,0,ETD Self-Defense,Detect deletion of ETD content,,,,,
9E6CDE3BE7A3A54AA9D72A069AA2E60F,Changing of ETD Table Access Allowlist,0,ETD Self-Defense,Detect changes to the allowlist containing the ETD Technical Database user,,,,,
F2F3FD6D30B9EB4CBAA6C23226BEC9AC,Select of ETD Pseudonym,0,ETD Table Access,Alert an attempt to bypass user pseudonymization by means of an SQL SELECT statement on tables storing user data from logs.\n\nPrerequisite: \nThis pattern requires the SAP HANA audit trail to be enabled for ETD patterns. Please visit the documentation for details.,,,,,
6E5379DA3F9F854EAB253F0D33A1BE01,Tamper with ETD Record of Action,0,ETD Table Access,Alert when the ETD record of action is modified using database tools (e. g. SQL query editor).\n\nPrerequisite: \nThis pattern requires the SAP HANA audit trail to be enabled for ETD patterns. Please visit the documentation for details.,,,,,
49E6F904A7A9B34E832A468BDA41BB82,Critical change to Gateway file,0,Gateway Config Changes,"Issue an alert if one of the Gateway configuration files reginfo, secinfo, or prxyinfo has been changed.",,,,,
CC4B19E71DA7F241991C256D4A4AEAF0,Generic RAL Pattern,0,Generic RAL Usage,This pattern exemplifies the integration between Read Access Logging and SAP Enterprise Threat Detection. You can use this generic RAL pattern as a blueprint to create your own RAL patterns tailored towards the specific user interactions you want SAP Enterprise Threat Detection to monitor in your ABAP system landscape.,,,,,
F896982AAED31847B8CAE9CE3DF245C8,HANA Audit Policy disabled,0,HANA Audit Logging,The pattern triggers an alert when the audit policy rules in HANA will be disabled,,,,,
C354607F895B5F4BA777469CBFD728DF,HANA Audit Logging disabled,0,HANA Audit Logging,The pattern triggers an alert when the global audit policy in HANA will be disabled,,,,,
9BCE132F255586458AAAB86D49FE1BB0,Clear Audit Log,0,HANA Audit Logging,"Activate this Pattern if the audit trail target is Database Table,\nThen a Clear-Log-SQL statement can delete audit trails.",,,,,
BF2EDFFFDEA46340A4FD412470B34E25,Change Audit Trail Type,0,HANA Audit Logging,This Pattern detects a change of the HANA Audit Trail Type,,,,,
F939B239B27C4C4395A0C226B52E172F,HANA User Create,0,HANA User Manipulation,This Pattern detects when a HANA User was successfully created,,,,,
69159EE0D1F0154CAF716DED3F7D6C78,HANA User Change,0,HANA User Manipulation,This Pattern detects when a HANA User Privilege was changed,,,,,
B81AD91E106EE5439262969E4F204625,HANA User Drop,0,HANA User Manipulation,This Pattern detects when a HANA User was dropped,,,,,
8BB718E87AE3344C9516DBB2C50D3029,Assignment of HR Critical Role to User,0,HR Critical Authorization,Checks if a user was assigned a critical HR role.,,,,,
11B1BDFA185CFD49926C8D95CE33FE96,Change of HR Critical Role,0,HR Critical Authorization,Checks if there was a change in the configuration of critical HR authorization objects.,,,,,
FF8DDFE3EA47384B9E610E544E173836,Change of HR Critical Role Alternative,0,HR Critical Authorization,Checks in an alternative way if there was a configuration activity related to critical HR authorization objects.,,,,,
C554E9CFCD4E974D9B3CAD480FF8F818,Change of HR Critical Role Dynpro,0,HR Critical Authorization,Checks if transaction PFCG was called and configuration settings changed or added for critical HR authorization objects.,,,,,
E71073682D3127459CD002C8F54F4E4E,Unencrypted requests,0,Web Requests to Systems,Issue an alert if the pattern detects unsecure HTTP access with unencrypted data transfer.,,,,,
13245F6ACC5CC445A2E4511709E8F1C6,Deprecated TLS requests,0,Web Requests to Systems,Issue an alert if the pattern detects access with outdated version of TLS.,,,,,
F3174681087DB24592A3350C5BACEBA9,High number of manual POST requests,0,Web Requests to Systems,Issue an alert if the pattern detects high number of POST requests that are likely to be executed by script or automation.,,,,,
9683E8131644D64EB5F42F5A6C31E4A6,Web request by same user from different terminals,0,Web Requests to Systems,Issue an alert if the pattern detects access by same user from different terminals.,,,,,
0AB8BBF19099FD45BD9D6FD18B4D2EF7,Web request by different users from same terminal,0,Web Requests to Systems,Issue an alert if the pattern detects access by different users from same terminal.,,,,,
51B02B6A78270F46BF13E324ADAB51DF,High number of failures on web requests handling,0,High Number of Failed Web Requests to Systems,Issue an alert if there are a lot of failed web requests due to their incorrect state.,,,,,
2A8A1DC14321114EBB0FBED2911BDEE0,High number of security failures on web requests handling,0,High Number of Failed Web Requests to Systems,Issue an alert if there are a lot of failed web requests due to security reasons.,,,,,
5DD1699C59B4454A90A7212CE193C791,Log4J attack attempt via http path,0,Log4J Attack Attempts,Issue an alert if someone tries to call services using an http path containing the Log4J attack recognition string,,,,,
F96DBCA1DFD1874AAD10313773853C1A,Log4J attack attempt via filling of any parameter,0,Log4J Attack Attempts,Issue an alert if someone enters the Log4J attack recognition string into any fillable parameter,,,,,
CFD5A3AD1255D24ABF50BD8A6D903BB8,Log4J attack attempt via execution of SQL statements,0,Log4J Attack Attempts,"Issue an alert if someone enters the Log4J attack recognition string into SQL input, update, deletion, or drop or create statement",,,,,
E5AF4D838E97324D8EF092ABF877900C,Successful logon from same Terminal ID with different users,0,Logon with same Terminal ID with different users,Issue an alert when different users log on successfully from the same terminal ID.,,,,,
07C585AC7B56964F8700B4D65949EE40,Failed logon from the same Terminal ID with different users,0,Logon with same Terminal ID with different users,Issue an alert when the number of unsuccessful logons from the same terminal ID from different users has exceeded a threshold.,,,,,
0A8FB6D66F819A4DA124B75B0643BCFA,Low Log Volume per System Group,0,Low Log Volume Health Checks,"The pattern is designed to check if the connected System Groups are still sending data above the configured threshold, and it also needs to send at least one log in the specified time range in order to raise an alert. The checked System Groups can be adjusted by configuring the contained value list.",,,,,
7300A51F8F9CB944AACB0E1D959F2FE5,Low Log Volume per Log Type and System Group,0,Low Log Volume Health Checks,"The pattern is designed to check for each System Group and Log Type if the amount of logs sent is still above the configured threshold. Also, the System Group and log type needs to send at least one log in the specified time range in order to raise an alert. The checked System Groups and log types can be adjusted by configuring the contained value lists.",,,,,
D47CEADA5A80EF4E9602CF97FE2E6C25,Mandatory HANA Intrusion Detection,0,Mandatory HANA Audit Policies,Issue an alert when many unsuccessful connect attempts or many VALIDATE attempts have happened.,,,,,
1F3FD4F45E298443848804BFAA840128,Mandatory HANA Security Changelog,0,Mandatory HANA Audit Policies,Issue an alert when authentication or authorization changes have happened.,,,,,
1F9C4B75CA582947B9B4D40117319A8A,Mandatory HANA System Changelog,0,Mandatory HANA Audit Policies,Issue an alert when critical system configuration changes have happened.,,,,,
