kl_ip,kl_threat_score,kl_category,kl_first_seen,kl_popularity
18.195.132.128,75,malware,09.01.2018 14:09,4
23.21.202.155,75,malware,24.04.2018 10:22,3
5.189.175.2,75,malware,20.09.2017 00:16,3
5.45.72.68,75,malware,23.12.2017 22:12,3
23.21.193.219,75,malware,22.03.2018 20:01,3
5.149.253.56,75,malware,28.04.2016 00:00,3
5.152.198.50,75,malware,02.10.2015 00:00,2
5.79.109.59,75,malware,27.10.2016 13:06,2
5.45.67.177,75,malware,09.02.2018 13:03,2
5.254.101.171,75,malware,23.12.2017 23:28,2
5.45.84.32,75,malware,23.12.2016 17:17,2
23.103.227.36,74,spam,23.10.2017 18:50,3
14.58.109.154,74,spam,26.12.2017 05:40,3
14.161.0.178,74,spam,31.07.2016 19:01,3
14.177.183.138,74,spam,16.05.2016 12:05,3
14.141.85.230,74,spam,12.07.2016 15:40,3
1.175.135.200,74,spam,09.04.2018 21:50,3
1.175.140.122,74,spam,09.04.2018 21:50,3
14.160.23.225,74,spam,07.08.2016 02:40,3
5.42.246.18,74,spam,26.12.2017 01:40,3
14.23.48.236,74,spam,23.10.2017 10:40,3
2.118.147.178,74,spam,16.05.2016 12:03,3
2.236.34.35,74,spam,26.12.2017 01:40,3
14.170.154.225,74,spam,11.12.2017 01:40,3
23.252.149.3,74,spam,18.12.2017 21:40,3
14.177.66.131,74,spam,16.05.2016 12:02,3
14.102.38.226,74,spam,26.12.2017 05:40,3
14.161.1.101,74,spam,13.03.2018 21:40,3
5.29.124.21,74,spam,22.01.2018 05:40,3
24.41.194.44,74,spam,13.01.2018 21:50,3
14.161.8.88,74,spam,20.11.2017 10:10,3
14.52.216.113,74,spam,20.11.2017 10:10,3
14.139.254.164,74,spam,14.11.2017 13:40,3
12.110.219.66,74,spam,29.10.2017 07:20,3
14.161.31.249,74,spam,18.09.2017 14:40,3
14.177.182.250,74,spam,24.06.2017 22:40,3
14.142.137.122,74,spam,15.01.2017 22:20,3
14.161.32.109,74,spam,04.12.2016 10:40,3
14.161.11.82,74,spam,04.12.2016 10:40,3
14.161.7.233,74,spam,04.12.2016 10:40,3
14.161.34.186,74,spam,04.12.2016 06:40,3
14.160.33.254,74,spam,28.11.2016 06:10,3
1.23.211.18,74,spam,27.11.2016 14:40,3
5.149.74.234,74,spam,09.11.2016 06:40,3
14.160.35.226,74,spam,02.10.2016 19:34,3
14.161.37.211,74,spam,25.09.2016 02:40,3
14.160.2.206,74,spam,25.09.2016 02:40,3
14.177.182.126,74,spam,18.09.2016 14:40,3
14.161.1.184,74,spam,12.08.2016 15:00,3
14.139.85.55,74,spam,11.08.2016 15:10,3
14.160.29.90,74,spam,07.08.2016 02:40,3
14.161.11.234,74,spam,06.08.2016 10:40,3
5.94.232.183,74,spam,01.08.2016 16:00,3
14.177.64.7,74,spam,31.07.2016 19:02,3
14.160.64.170,74,spam,15.06.2016 13:31,3
14.176.232.131,74,spam,22.05.2016 14:20,3
1.230.128.2,74,spam,17.05.2016 14:20,3
14.139.85.2,74,spam,16.05.2016 12:05,3
14.139.231.37,74,spam,16.05.2016 12:02,3
14.139.237.227,74,spam,16.05.2016 12:02,3
2.229.62.12,74,spam,16.05.2016 12:02,3
5.34.156.132,74,spam,16.05.2016 12:02,3
14.160.56.186,74,spam,16.05.2016 12:02,3
14.140.113.202,74,spam,16.05.2016 12:02,3
2.237.112.182,74,spam,16.05.2016 12:02,3
14.140.207.206,74,spam,16.05.2016 12:01,3
14.161.43.145,74,spam,16.05.2016 12:00,3
5.89.78.170,74,spam,16.05.2016 12:00,3
12.101.254.203,74,spam,16.05.2016 12:00,3
5.190.27.25,74,spam,25.09.2016 06:30,3
14.139.186.178,74,spam,16.05.2016 12:05,3
14.140.165.225,74,spam,18.09.2017 14:40,3
14.161.6.160,74,spam,16.05.2016 12:02,3
23.246.125.194,74,spam,16.05.2016 12:02,3
14.139.156.150,74,spam,16.05.2016 14:30,3
14.161.43.49,74,spam,29.03.2018 09:40,3
14.139.190.98,74,spam,16.05.2016 12:02,3
14.161.32.157,74,spam,16.05.2016 12:02,3
5.53.156.110,74,spam,28.10.2016 15:50,3
14.161.37.221,74,spam,25.09.2016 02:40,3
14.161.44.151,74,spam,25.09.2016 02:40,3
14.160.23.221,74,spam,16.05.2016 12:05,3
5.101.204.22,74,spam,02.01.2018 09:40,2
2.187.105.163,74,spam,16.05.2016 12:04,2
5.8.179.65,74,spam,22.03.2018 21:40,2
2.231.252.168,74,spam,22.02.2018 17:50,2
1.180.131.174,74,spam,16.02.2018 13:40,2
1.52.36.161,74,spam,18.09.2017 10:40,2
1.186.36.95,74,spam,22.02.2017 11:30,2
5.185.75.138,74,spam,25.12.2016 10:20,2
2.187.6.244,74,spam,19.12.2016 15:10,2
5.32.4.138,74,spam,26.12.2017 01:40,2
1.198.73.79,74,spam,19.02.2018 13:40,2
5.53.150.104,74,spam,11.12.2017 09:50,2
1.22.234.126,74,spam,16.05.2016 11:58,2
5.135.98.212,74,malware,11.05.2015 00:00,2
5.228.26.168,74,spam,10.03.2018 13:40,2
1.240.80.143,74,spam,02.03.2018 09:40,2
2.114.203.97,74,spam,19.02.2017 15:20,2
1.55.179.137,74,spam,13.11.2016 18:40,2
2.180.25.84,74,spam,18.08.2016 15:10,2
1.22.179.29,74,spam,18.07.2016 10:40,2
5.141.97.3,74,spam,23.05.2016 10:30,2
13.76.246.88,74,spam,12.04.2018 17:50,2
1.55.227.206,74,spam,10.04.2018 13:50,2
5.202.239.89,74,spam,25.12.2017 13:50,2
1.52.33.77,74,spam,15.10.2017 03:20,2
1.55.181.198,74,spam,29.08.2016 13:30,2
5.21.252.117,74,spam,16.11.2017 02:20,2
1.22.152.70,74,spam,10.10.2016 11:42,2
1.52.33.23,74,spam,28.07.2016 14:41,2
2.36.206.133,74,spam,18.09.2017 14:40,2
5.42.195.113,74,spam,21.07.2017 07:00,2
1.232.193.4,74,spam,26.12.2017 01:40,2
1.52.38.194,74,spam,09.01.2017 23:20,2
14.85.88.4,74,spam,26.12.2017 01:40,2
2.179.165.18,74,spam,01.03.2018 05:50,2
5.140.161.4,74,spam,20.07.2017 18:40,2
2.179.254.167,74,spam,15.11.2017 05:40,2
2.186.114.43,74,spam,02.09.2016 02:40,2
5.200.33.52,74,spam,03.04.2018 05:40,2
1.55.183.248,74,spam,06.06.2016 10:40,2
1.180.64.86,74,spam,16.05.2016 12:00,2
5.134.223.6,74,spam,27.02.2018 05:40,2
1.198.73.118,74,spam,18.02.2018 17:40,2
1.194.162.191,74,spam,10.02.2018 09:50,2
1.52.36.109,74,spam,22.01.2018 09:50,2
1.198.73.254,74,spam,21.07.2017 07:00,2
2.189.95.29,74,spam,17.09.2017 07:10,2
1.52.124.11,74,spam,25.06.2017 14:30,2
2.80.178.127,74,spam,16.05.2016 12:04,2
1.195.8.101,74,spam,11.03.2018 09:40,2
5.236.96.1,74,spam,14.11.2017 10:10,2
5.202.232.187,74,spam,18.02.2018 13:40,2
1.52.33.138,74,spam,12.11.2017 13:40,2
1.192.242.189,74,spam,08.03.2018 01:40,2
1.52.34.153,74,spam,29.12.2016 02:40,2
1.52.37.197,74,spam,22.02.2017 19:20,2
5.141.80.36,74,spam,06.03.2018 01:40,2
5.8.193.78,74,spam,08.08.2016 15:00,2
2.180.170.22,74,spam,28.01.2018 17:50,2
1.52.35.250,74,spam,25.10.2017 19:20,2
5.8.97.121,74,spam,21.07.2017 03:00,2
9.0.0.3,74,spam,24.06.2017 15:04,2
5.141.86.95,74,spam,26.12.2017 01:40,2
5.32.50.235,74,spam,09.04.2018 05:50,2
1.52.32.213,74,spam,01.07.2017 15:50,2
1.186.46.58,74,spam,02.10.2016 19:34,2
1.52.33.125,74,spam,22.06.2017 14:20,2
1.55.192.114,74,spam,01.09.2016 02:30,2
5.172.232.159,74,spam,29.06.2016 23:30,2
1.55.182.144,74,spam,31.07.2016 19:01,2
2.185.17.196,74,spam,07.04.2018 17:50,2
14.139.69.5,74,spam,07.03.2018 21:50,2
1.55.196.89,74,spam,23.06.2016 06:40,2
14.121.144.6,74,spam,22.04.2018 09:40,2
1.196.112.33,74,spam,14.03.2018 13:40,2
1.197.203.46,74,spam,14.03.2018 13:40,2
1.194.129.208,74,spam,28.01.2018 01:40,2
1.198.72.232,74,spam,18.11.2017 18:10,2
1.52.36.123,74,spam,23.08.2017 06:40,2
1.52.32.238,74,spam,13.08.2017 06:40,2
1.197.203.120,74,spam,21.07.2017 07:00,2
1.55.176.43,74,spam,19.02.2017 15:20,2
1.52.36.202,74,spam,29.12.2016 11:27,2
5.10.230.214,74,spam,13.12.2016 11:20,2
1.52.37.108,74,spam,14.11.2016 12:21,2
5.172.232.24,74,spam,17.10.2016 06:30,2
1.55.42.221,74,spam,04.08.2016 13:40,2
1.55.177.180,74,spam,26.06.2016 18:50,2
5.200.40.122,74,spam,12.07.2017 18:00,2
1.55.183.14,74,spam,14.01.2017 10:50,2
1.52.39.177,74,spam,17.12.2016 02:50,2
14.85.178.91,74,spam,26.12.2017 01:40,2
1.212.145.194,74,spam,11.04.2018 01:40,2
1.52.36.89,74,spam,26.06.2017 14:40,2
1.209.187.2,74,spam,27.11.2017 17:40,2
14.121.144.216,74,spam,23.04.2018 05:50,2
1.198.72.24,74,spam,08.04.2018 21:40,2
1.199.233.206,74,spam,02.04.2018 17:40,2
1.195.9.191,74,spam,31.03.2018 21:50,2
1.196.222.25,74,spam,29.03.2018 01:40,2
1.198.72.200,74,spam,21.07.2017 15:00,2
14.102.30.142,74,spam,28.06.2017 10:30,2
5.175.69.113,74,spam,11.12.2016 18:40,2
2.185.149.19,74,spam,10.10.2016 10:20,2
1.55.177.72,74,spam,05.08.2016 22:40,2
1.186.63.2,74,spam,16.05.2016 12:01,2
1.52.32.220,74,spam,27.11.2016 10:40,2
1.198.73.245,74,spam,17.03.2018 17:40,2
5.42.252.50,74,spam,14.11.2017 13:40,2
5.44.168.222,74,spam,25.12.2017 05:40,2
1.55.177.101,74,spam,03.08.2016 18:30,2
1.52.33.203,74,spam,30.11.2016 02:40,2
12.189.154.66,74,spam,28.02.2018 13:40,2
14.102.76.146,74,spam,25.06.2017 18:20,2
1.55.43.112,74,spam,16.09.2017 06:40,2
1.202.88.42,74,spam,21.11.2016 06:50,2
5.18.240.34,74,spam,08.08.2017 06:40,2
1.196.112.154,74,spam,05.04.2018 01:40,2
1.197.203.134,74,spam,19.02.2018 09:40,2
1.198.73.162,74,spam,07.02.2018 09:50,2
1.52.33.71,74,spam,28.02.2017 02:50,2
1.52.33.106,74,spam,16.11.2016 10:40,2
2.132.232.182,74,spam,07.07.2016 23:30,2
5.149.78.111,74,spam,11.12.2017 01:40,2
5.153.138.229,74,spam,25.10.2017 03:20,2
5.178.182.233,74,spam,26.12.2017 09:50,2
1.198.72.204,74,spam,01.03.2018 22:03,2
5.53.203.11,74,spam,08.08.2017 06:40,2
1.197.75.47,74,spam,03.01.2018 17:40,2
2.188.26.151,74,spam,18.09.2016 06:50,2
1.194.178.4,74,spam,15.04.2018 09:40,2
1.199.233.45,74,spam,14.04.2018 17:40,2
1.198.72.39,74,spam,17.03.2018 17:40,2
1.194.171.27,74,spam,13.03.2018 13:40,2
1.192.240.131,74,spam,08.03.2018 13:40,2
1.194.148.181,74,spam,18.02.2018 09:40,2
1.52.124.223,74,spam,06.02.2018 05:40,2
1.198.72.125,74,spam,15.08.2017 14:40,2
1.197.72.215,74,spam,20.07.2017 18:40,2
5.44.170.125,74,spam,30.06.2017 13:05,2
1.52.35.71,74,spam,28.11.2016 10:40,2
1.194.145.160,74,spam,18.09.2017 10:40,2
1.197.204.166,74,spam,16.12.2017 05:40,2
1.193.237.172,74,spam,12.03.2018 09:50,2
1.54.213.185,74,spam,23.06.2017 02:40,2
5.228.29.175,74,spam,15.03.2018 01:50,2
1.198.72.229,74,spam,18.09.2017 14:40,2
1.52.36.218,74,spam,28.01.2017 06:40,2
1.52.34.158,74,spam,04.12.2016 06:40,2
1.52.35.6,74,spam,21.01.2017 15:20,2
1.198.72.69,74,spam,16.02.2018 09:40,2
14.35.210.104,74,spam,28.02.2018 05:40,2
1.198.73.250,74,spam,13.11.2017 10:20,2
1.52.34.211,74,spam,27.12.2016 10:50,2
1.186.62.25,74,spam,10.10.2016 13:10,2
1.197.203.12,74,spam,16.03.2018 13:40,2
1.198.72.118,74,spam,18.02.2018 13:40,2
12.178.100.56,74,spam,04.01.2018 09:40,2
2.81.233.209,74,spam,11.12.2017 09:50,2
1.52.33.142,74,spam,25.10.2017 11:10,2
1.52.35.189,74,spam,10.12.2016 03:10,2
1.55.180.75,74,spam,22.08.2016 06:30,2
5.226.103.38,74,spam,02.07.2016 19:00,2
1.186.36.96,74,spam,18.10.2017 11:10,2
1.198.72.104,74,spam,19.02.2018 13:40,2
1.52.35.13,74,spam,25.06.2017 18:20,2
5.153.138.230,74,spam,17.02.2018 05:40,2
1.52.33.60,74,spam,28.02.2017 23:20,2
1.194.171.167,74,spam,24.07.2017 06:40,2
1.52.35.213,74,spam,13.12.2017 09:40,2
2.180.22.81,74,spam,08.04.2018 13:40,2
1.192.245.46,74,spam,08.03.2018 21:40,2
1.197.204.196,74,spam,23.02.2018 17:50,2
1.197.203.57,74,spam,18.02.2018 13:40,2
1.197.203.176,74,spam,22.09.2017 06:40,2
1.197.204.26,74,spam,25.07.2017 10:40,2
1.54.212.177,74,spam,19.12.2016 07:30,2
1.52.39.67,74,spam,21.11.2016 18:40,2
1.55.182.23,74,spam,23.10.2016 06:50,2
1.55.182.149,74,spam,27.06.2016 03:00,2
1.55.193.35,74,spam,18.06.2016 11:00,2
14.139.112.146,74,spam,26.05.2016 11:00,2
14.139.92.81,74,spam,17.05.2016 14:20,2
1.192.241.81,74,spam,08.03.2018 21:40,2
1.31.210.141,74,spam,31.03.2018 21:50,2
1.52.32.162,74,spam,13.11.2016 18:40,2
5.195.192.6,74,spam,26.12.2017 01:40,2
1.54.213.29,74,spam,31.01.2017 03:10,2
1.199.31.119,74,spam,14.03.2018 09:40,2
1.52.3.194,74,spam,26.12.2017 17:40,2
1.197.203.48,74,spam,25.11.2017 18:10,2
1.197.74.198,74,spam,13.11.2017 22:20,2
1.9.210.100,74,spam,15.10.2017 03:20,2
1.198.72.197,74,spam,16.09.2017 19:20,2
1.197.203.197,74,spam,25.07.2017 10:40,2
1.52.38.52,74,spam,05.02.2017 19:00,2
1.197.203.195,74,spam,12.03.2018 05:40,2
5.194.253.130,74,spam,24.06.2017 22:40,2
1.52.126.164,74,spam,07.01.2017 18:50,2
1.52.33.189,74,spam,26.09.2017 14:40,2
1.52.36.76,74,spam,13.02.2017 23:30,2
1.198.72.216,74,spam,10.03.2018 01:40,2
5.224.14.40,74,spam,28.11.2017 05:40,2
1.52.120.62,74,spam,03.07.2017 18:20,2
1.52.33.208,74,spam,04.01.2017 02:20,2
1.52.35.68,74,spam,27.11.2016 22:40,2
1.198.72.193,74,spam,03.12.2017 09:50,2
1.52.36.204,74,spam,09.01.2017 23:20,2
5.18.242.30,74,spam,01.01.2018 21:40,2
1.55.183.100,74,spam,18.08.2016 07:00,2
14.63.81.60,74,spam,16.05.2016 12:00,2
1.55.193.73,74,spam,08.08.2016 19:00,2
1.196.123.251,74,spam,30.03.2018 17:40,2
1.198.73.239,74,spam,19.12.2017 05:40,2
1.194.178.64,74,spam,15.08.2017 18:50,2
1.197.204.225,74,spam,20.07.2017 18:40,2
1.230.126.131,74,spam,24.06.2017 22:40,2
1.52.36.134,74,spam,21.12.2016 20:20,2
5.42.195.16,74,spam,16.05.2016 12:05,2
14.85.41.26,74,spam,26.02.2018 01:40,2
1.197.203.132,74,spam,18.02.2018 01:50,2
5.133.31.61,74,spam,26.12.2017 17:40,2
1.197.74.163,74,spam,08.08.2017 14:40,2
1.55.195.54,74,spam,30.08.2016 18:40,2
5.104.1.1,74,spam,16.05.2016 12:02,2
2.187.101.127,74,spam,16.02.2018 09:40,2
1.254.16.50,74,spam,27.11.2017 17:40,2
1.197.72.88,74,spam,07.08.2017 10:24,2
1.190.175.66,74,spam,16.05.2016 12:03,2
2.226.180.107,74,spam,14.04.2018 17:40,2
1.194.85.232,74,spam,31.03.2018 21:50,2
1.197.203.157,74,spam,06.02.2018 09:50,2
1.197.72.142,74,spam,22.11.2017 14:20,2
1.52.36.118,74,spam,25.06.2017 18:20,2
1.54.213.170,74,spam,05.02.2017 19:00,2
1.52.36.59,74,spam,02.01.2017 17:40,2
1.52.35.19,74,spam,05.12.2016 06:40,2
1.55.178.207,74,spam,06.07.2016 11:11,2
1.55.192.171,74,spam,30.09.2016 22:40,2
1.47.174.185,74,spam,26.04.2018 17:40,2
5.224.220.159,74,spam,18.02.2018 01:50,2
1.52.36.248,74,spam,03.01.2017 22:40,2
1.52.35.73,74,spam,19.07.2017 14:30,2
5.234.184.225,74,spam,23.02.2018 14:20,2
1.55.179.122,74,spam,27.06.2016 11:00,2
1.55.41.57,74,spam,10.07.2016 14:40,2
5.145.6.231,74,spam,28.02.2018 05:40,2
1.52.37.201,74,spam,23.10.2017 18:50,2
1.198.13.201,74,spam,29.04.2018 05:40,2
1.196.123.67,74,spam,14.02.2018 05:50,2
5.21.252.26,74,spam,15.01.2018 13:40,2
1.186.185.111,74,spam,04.01.2018 09:40,2
1.197.74.109,74,spam,10.12.2017 05:50,2
1.198.72.92,74,spam,15.08.2017 14:40,2
1.197.203.97,74,spam,21.07.2017 03:00,2
5.44.173.23,74,spam,30.06.2017 16:40,2
1.52.37.168,74,spam,12.02.2017 11:50,2
1.52.38.111,74,spam,05.12.2016 02:40,2
1.52.38.150,74,spam,27.11.2016 22:40,2
1.55.197.43,74,spam,16.11.2016 06:40,2
1.55.179.242,74,spam,28.10.2016 18:40,2
1.55.182.218,74,spam,01.08.2016 16:00,2
2.132.81.185,74,spam,27.06.2017 14:40,2
1.52.36.56,74,spam,07.08.2017 18:40,2
1.235.107.223,74,spam,12.04.2018 08:32,2
5.63.65.66,74,spam,16.05.2016 11:58,2
5.34.130.144,74,spam,16.05.2016 12:01,2
1.196.249.148,74,spam,30.03.2018 17:40,2
1.192.243.83,74,spam,10.03.2018 13:40,2
1.198.72.154,74,spam,21.01.2018 09:40,2
1.197.74.240,74,spam,18.09.2017 03:20,2
1.197.74.204,74,spam,08.08.2017 06:40,2
1.198.72.134,74,spam,21.07.2017 07:00,2
1.52.38.88,74,spam,04.01.2017 02:20,2
1.52.35.138,74,spam,03.09.2017 22:50,2
1.197.204.171,74,spam,14.12.2017 13:50,2
2.42.255.170,74,spam,25.12.2017 13:50,2
1.52.33.67,74,spam,15.10.2017 19:20,2
1.55.43.198,74,spam,20.06.2016 06:40,2
5.104.21.241,74,spam,16.04.2018 13:50,2
1.194.148.121,74,spam,21.02.2018 13:40,2
1.55.47.197,74,spam,08.06.2016 11:10,2
1.198.72.51,74,spam,18.02.2018 13:40,2
1.196.112.127,74,spam,27.11.2017 01:40,2
1.197.72.42,74,spam,20.11.2017 22:50,2
1.198.72.133,74,spam,21.07.2017 03:00,2
14.102.102.10,74,spam,25.06.2017 10:20,2
5.172.234.118,74,spam,29.05.2016 18:20,2
1.198.73.182,74,spam,18.10.2017 11:10,2
12.230.138.115,74,spam,28.09.2016 14:40,2
1.52.34.102,74,spam,01.12.2016 18:40,2
14.1.225.87,74,spam,05.08.2016 02:40,2
1.186.195.235,74,spam,15.10.2017 03:20,2
1.52.38.50,74,spam,27.11.2017 05:40,2
5.1.50.242,74,spam,17.03.2018 21:40,2
1.197.204.33,74,spam,15.11.2017 22:20,2
1.22.229.163,74,spam,28.07.2016 14:40,2
1.55.195.111,74,spam,28.06.2016 03:10,2
1.55.192.163,74,spam,18.07.2016 02:40,2
1.195.9.146,74,spam,10.03.2018 01:40,2
14.121.144.195,74,spam,16.04.2018 05:40,2
1.197.203.18,74,spam,17.03.2018 01:40,2
1.192.240.13,74,spam,08.03.2018 13:40,2
1.198.72.155,74,spam,27.11.2017 01:40,2
1.197.72.249,74,spam,08.08.2017 06:40,2
1.199.30.234,74,spam,18.03.2018 05:40,2
1.192.241.44,74,spam,05.03.2018 17:40,2
1.52.35.202,74,spam,26.01.2018 17:50,2
5.153.138.226,74,spam,15.10.2017 06:40,2
1.55.46.13,74,spam,24.06.2017 06:30,2
1.52.38.211,74,spam,10.02.2017 03:20,2
1.52.38.160,74,spam,15.11.2016 02:40,2
12.172.236.190,74,spam,26.02.2017 07:20,2
14.102.44.226,74,spam,08.03.2018 21:40,2
1.52.37.36,74,spam,02.08.2017 12:00,2
1.55.47.68,74,spam,12.01.2018 17:40,2
5.178.182.250,74,spam,27.06.2017 18:30,2
1.198.73.85,74,spam,28.02.2018 13:40,2
1.22.230.156,74,spam,04.04.2018 06:20,2
1.6.64.37,74,spam,03.04.2018 17:50,2
1.186.58.10,74,spam,03.04.2018 17:50,2
5.54.37.36,74,spam,03.04.2018 05:40,2
12.218.178.178,74,spam,29.03.2018 09:40,2
1.199.30.34,74,spam,18.03.2018 05:40,2
1.22.91.231,74,spam,13.03.2018 21:40,2
5.2.215.169,74,spam,06.03.2018 13:50,2
1.192.243.81,74,spam,05.03.2018 17:40,2
1.186.110.124,74,spam,04.03.2018 05:40,2
14.139.94.110,74,spam,25.02.2018 17:50,2
14.139.86.23,74,spam,19.02.2018 21:40,2
14.102.33.169,74,spam,19.02.2018 21:40,2
2.190.166.66,74,spam,15.01.2018 09:50,2
2.187.224.121,74,spam,14.01.2018 13:40,2
1.52.38.153,74,spam,02.01.2018 01:50,2
2.32.244.188,74,spam,26.12.2017 21:50,2
2.182.224.136,74,spam,26.12.2017 05:40,2
1.22.230.65,74,spam,26.12.2017 05:40,2
5.202.239.86,74,spam,26.12.2017 01:40,2
5.88.221.151,74,spam,25.12.2017 05:40,2
5.206.239.12,74,spam,10.12.2017 05:50,2
2.116.134.149,74,spam,20.11.2017 18:00,2
5.77.252.5,74,spam,15.11.2017 14:20,2
5.88.163.49,74,spam,14.11.2017 22:20,2
5.56.3.155,74,spam,14.11.2017 13:40,2
2.154.81.4,74,spam,14.11.2017 02:20,2
2.229.126.253,74,spam,14.11.2017 02:20,2
5.249.113.255,74,spam,14.11.2017 02:20,2
14.102.0.149,74,spam,29.10.2017 07:20,2
5.29.248.133,74,spam,23.10.2017 10:40,2
1.197.203.170,74,spam,11.09.2017 02:40,2
1.186.42.122,74,spam,08.08.2017 06:40,2
1.52.160.148,74,spam,01.08.2017 10:40,2
1.52.34.197,74,spam,01.08.2017 02:50,2
14.102.17.14,74,spam,24.07.2017 10:40,2
14.102.65.150,74,spam,24.07.2017 10:40,2
5.2.246.6,74,spam,19.07.2017 22:40,2
5.94.103.48,74,spam,08.07.2017 22:20,2
2.32.97.42,74,spam,08.07.2017 22:20,2
2.38.198.41,74,spam,03.07.2017 18:20,2
2.229.44.26,74,spam,03.07.2017 18:20,2
1.52.39.138,74,spam,03.07.2017 18:20,2
1.23.182.38,74,spam,03.07.2017 14:20,2
2.238.29.106,74,spam,03.07.2017 14:20,2
1.186.37.159,74,spam,03.07.2017 06:20,2
12.71.220.151,74,spam,01.07.2017 04:00,2
2.42.172.251,74,spam,01.07.2017 00:00,2
5.88.173.173,74,spam,29.06.2017 16:20,2
2.38.185.223,74,spam,29.06.2017 15:20,2
14.139.62.137,74,spam,29.06.2017 10:40,2
2.32.78.17,74,spam,28.06.2017 10:30,2
1.22.229.14,74,spam,25.06.2017 10:20,2
1.52.38.196,74,spam,24.06.2017 18:40,2
5.42.246.182,74,spam,23.06.2017 18:40,2
1.55.177.158,74,spam,23.06.2017 14:30,2
1.52.37.177,74,spam,22.06.2017 06:20,2
1.52.39.167,74,spam,01.02.2017 15:20,2
1.52.36.3,74,spam,13.01.2017 10:21,2
1.52.33.21,74,spam,28.12.2016 22:40,2
1.52.36.136,74,spam,26.12.2016 23:20,2
1.55.17.233,74,spam,20.12.2016 03:00,2
1.52.33.117,74,spam,19.12.2016 23:30,2
1.52.34.59,74,spam,19.12.2016 19:30,2
2.44.156.148,74,spam,19.12.2016 15:10,2
14.102.18.228,74,spam,19.12.2016 15:10,2
1.55.196.18,74,spam,19.12.2016 10:40,2
1.52.38.188,74,spam,18.12.2016 23:20,2
1.52.33.100,74,spam,12.12.2016 22:10,2
1.52.39.109,74,spam,10.12.2016 03:10,2
5.145.150.138,74,spam,04.12.2016 15:00,2
1.23.206.250,74,spam,04.12.2016 06:40,2
1.55.47.210,74,spam,27.11.2016 14:40,2
1.52.32.243,74,spam,22.11.2016 02:40,2
1.52.37.68,74,spam,21.11.2016 06:50,2
1.52.36.113,74,spam,19.11.2016 14:40,2
1.54.215.103,74,spam,19.11.2016 14:40,2
1.52.39.105,74,spam,18.11.2016 11:00,2
1.52.125.200,74,spam,17.11.2016 10:40,2
1.52.38.176,74,spam,17.11.2016 02:40,2
1.52.36.42,74,spam,15.11.2016 06:40,2
1.54.209.3,74,spam,14.11.2016 22:30,2
1.52.35.163,74,spam,14.11.2016 02:40,2
5.97.214.202,74,spam,30.10.2016 10:50,2
5.94.184.15,74,spam,25.10.2016 14:50,2
14.102.63.114,74,spam,15.10.2016 22:40,2
2.180.22.178,74,spam,10.10.2016 11:41,2
1.55.145.30,74,spam,10.10.2016 10:42,2
14.139.87.210,74,spam,03.10.2016 03:10,2
2.38.111.112,74,spam,25.09.2016 02:40,2
14.139.95.53,74,spam,07.08.2016 06:30,2
1.55.46.29,74,spam,31.07.2016 19:00,2
1.55.181.158,74,spam,03.07.2016 03:20,2
1.55.47.217,74,spam,27.06.2016 15:00,2
2.234.225.42,74,spam,26.06.2016 18:50,2
1.22.127.96,74,spam,26.06.2016 14:40,2
1.55.180.87,74,spam,05.06.2016 10:40,2
14.139.60.179,74,spam,31.05.2016 03:00,2
