kl_domain,kl_first_seen,kl_popularity,kl_threat
alfachriyah.org,15.12.2016 16:54,2,Trojan-PSW.Win32.Fareit
91haowan.com,08.07.2015 04:20,2,Trojan.AndroidOS.Agent
gapcosd.com,23.05.2017 03:36,2,Trojan-Downloader.Win32.Agent
waterdamagefortlauderdale.info,28.09.2015 05:51,2,Trojan-Ransom.Win32.Cryptodef
vm92.com,03.05.2017 05:04,2,Trojan.AndroidOS.Piom
aimcorp.in,19.02.2017 23:44,2,Trojan-Downloader.Win32.Agent
bursakopekciftligi.com,04.02.2015 06:19,2,Trojan-Spy.Win32.Zbot
eliasgreencondo.com,02.09.2015 17:22,2,Trojan-Ransom.Win32.Cryptodef
xupiheham.biz,25.04.2016 13:28,2,Trojan-SMS.AndroidOS.Podec
jafivipu.biz,25.04.2016 13:28,2,Trojan-SMS.AndroidOS.Podec
afrirent.net,17.03.2017 01:04,2,Trojan-Spy.Win32.Zbot
spmcpk.com,16.04.2017 22:08,2,Trojan.Win32.Inject
acsbaroda.com,01.03.2017 06:38,2,Backdoor.Win32.Androm
instaflicka.com,23.03.2016 10:13,2,Trojan-PSW.Win32.Fareit
downloads3.info,30.05.2014 11:22,2,CnC.Win32.Generic
mapcode.info,18.05.2017 05:42,2,Trojan.Win32.Inject
woosimsystems.com,24.09.2015 03:57,2,Trojan-Spy.Win32.Zbot
sybanindia.com,18.02.2017 18:52,2,Trojan-PSW.Win32.Fareit
amazinghenna.com,26.06.2017 20:30,2,Backdoor.Win32.Androm
konkurs-apelsin.ru,22.06.2015 18:15,2,Trojan.Win32.Neurevt
mineralesdelsur.com,16.09.2015 21:56,2,Trojan-Ransom.Win32.Cryptodef
joxit.ru,17.02.2014 16:19,2,CnC.Win32.Generic
festivalartesano.com,10.06.2015 07:49,2,Trojan-Ransom.Win32.Cryptodef
walawov.com,12.07.2014 16:48,2,CnC.Win32.Generic
missines.com,04.08.2015 14:07,2,Trojan-Spy.Win32.Zbot
cluster07server.com,08.04.2015 04:51,2,Trojan-Spy.Win32.Zbot
dlyceum.ru,18.09.2015 06:44,2,Trojan.Win32.Neurevt
phirelab.com,09.04.2015 19:07,2,Trojan-Spy.Win32.Zbot
prepexams.in,17.05.2017 21:59,2,Trojan-Downloader.Win32.Agent
thomsonindustries.in,17.04.2014 08:25,2,CnC.Win32.Generic
jettsettphotography.com,17.06.2015 19:57,2,Trojan-Ransom.Win32.Cryptodef
m-001.net,15.05.2014 20:31,2,Trojan.AndroidOS.Boogr
tdk63.ru,07.04.2015 12:24,2,Trojan-Spy.Win32.Zbot
houseoflevi.org,15.06.2015 20:35,2,Trojan-Ransom.Win32.Cryptodef
cahitkaraalp.com,06.09.2016 07:02,2,Trojan-PSW.MSIL.Chisburg
pureherbsassist.xyz,08.09.2015 15:26,2,Trojan-Spy.Win32.Zbot
whatsyourhours.com,13.08.2015 06:28,2,Trojan-Spy.Win32.Zbot
foyelektrik.com,08.03.2017 13:01,2,Trojan-PSW.Win32.Fareit
panifaina.ru,21.09.2015 21:39,2,Trojan-Ransom.Win32.Cryptodef
nup.pw,11.03.2017 15:00,2,Trojan.Win32.Neurevt
guidemeall.com,06.02.2017 02:56,2,Trojan-PSW.Win32.Fareit
zunpthedoanin.com,25.06.2017 17:04,2,CnC.Win32.Generic
toldpardowntan.com,22.02.2017 13:44,2,Trojan-Spy.Win32.Zbot
rebillme.net,15.05.2014 20:31,2,Trojan-SMS.AndroidOS.Opfake
ahicexyqa.biz,26.05.2016 20:43,2,Trojan-SMS.AndroidOS.Podec
wavywopufope.com,26.05.2016 20:43,2,Trojan-SMS.AndroidOS.Podec
wyfokypynogipu.biz,26.05.2016 20:43,2,Trojan-SMS.AndroidOS.Podec
nosepudymy.biz,26.05.2016 20:43,2,Trojan-SMS.AndroidOS.Podec
episykuj.com,25.04.2016 13:28,2,Trojan-SMS.AndroidOS.FakeInst
areripydok.com,25.07.2015 00:07,2,Trojan-SMS.AndroidOS.FakeInst
dewekasadito.biz,09.07.2015 12:46,2,Trojan-SMS.AndroidOS.FakeInst
nothesledver.com,19.04.2017 19:53,2,Trojan-Spy.Win32.Zbot
tischlerei-kreiner.at,14.03.2017 01:23,2,CnC.Win32.Generic
pipepetrol.com,21.03.2016 14:51,2,Trojan-PSW.Win32.Fareit
angletsurf.org,25.02.2017 06:20,2,Trojan.Win32.Neurevt
ov-bandenservice.nl,26.11.2016 13:23,2,CnC.Win32.Generic
defeua.com,01.07.2017 08:13,2,Trojan-PSW.Win32.Fareit
ebenezerfm.com,27.02.2015 03:49,2,Trojan-Spy.Win32.Zbot
anna-b.pl,15.12.2015 18:29,2,Trojan-Ransom.Win32.Cryptodef
greenwork.com,21.03.2016 14:52,2,Trojan-PSW.Win32.Fareit
itfms.com,03.07.2017 07:19,2,Trojan-PSW.Win32.Fareit
pkodestek.com,26.05.2015 13:49,2,Trojan-Spy.Win32.Zbot
pm2bitcoin.com,25.06.2017 23:43,2,Worm.VBS.Dinihou
representacionesaustral.cl,10.01.2014 15:57,2,CnC.Win32.Generic
win-lsass.info,16.05.2014 18:21,2,Trojan.Win32.Generic
wnylaser.com,23.05.2017 07:12,2,Trojan-PSW.Win32.Fareit
freepolyclinic.com,02.09.2015 00:04,2,Trojan-Ransom.Win32.Cryptodef
ndff.org,29.07.2014 11:21,2,Backdoor.Win32.Napolar
comerentenerife.com,28.09.2015 21:55,2,Trojan-Ransom.Win32.Cryptodef
karamanemlak.com,01.08.2015 16:07,2,Backdoor.Win32.Drivedos
kmino.cl,07.12.2016 05:00,2,Trojan.Win32.MSILBot
ridetribe.net,03.03.2017 19:39,2,Trojan-PSW.Win32.Fareit
bdwiki.ru,24.04.2017 08:05,2,Trojan-SMS.AndroidOS.Agent
empireacoustical.com,17.03.2017 03:31,2,Trojan-PSW.Win32.Fareit
tayson.vn,08.03.2017 16:42,2,Trojan-PSW.Win32.Fareit
hkequityfund.com,28.07.2015 04:27,2,Trojan-Spy.Win32.Zbot
almazdental.ru,14.07.2015 21:58,2,Trojan-Spy.Win32.Zbot
vietnamcircuits.com,06.04.2015 04:21,2,Trojan-Spy.Win32.Zbot
central.pk,24.01.2017 02:56,2,Trojan-Downloader.Win32.Agent
loong3d.com,11.06.2017 21:06,2,Trojan-Downloader.NSIS.Adload
codethep.com,21.09.2015 21:39,2,Trojan-Ransom.Win32.Cryptodef
waterdamgespokane.us,28.09.2015 19:56,2,Trojan-Ransom.Win32.Cryptodef
sendoutads.net,14.10.2014 16:47,2,Trojan-Spy.Win32.Zbot
opticafullvision.net,08.12.2014 11:28,2,Trojan-Spy.Win32.Zbot
alqash.com,14.03.2017 17:40,2,Trojan-PSW.Win32.Fareit
medicalsupplychain.com,08.09.2015 07:26,2,Trojan-Spy.Win32.Zbot
andalanprimasejahtera.com,16.02.2017 15:06,2,Trojan-Downloader.Win32.Agent
sceneconexion.net,20.02.2017 15:15,2,Trojan.Win32.Neurevt
emoproducts.com,29.03.2017 00:23,2,Trojan-PSW.Win32.Fareit
bertot.com,01.06.2017 10:18,2,Trojan-Spy.Win32.Zbot
ponele.info,22.01.2014 07:50,2,Trojan-SMS.AndroidOS.Opfake
zform.hu,02.05.2017 08:05,2,Trojan-PSW.Win32.Fareit
juwelier-hohenberger.de,23.02.2017 15:55,2,CnC.Win32.Generic
precedeme.com,21.04.2017 02:36,2,Trojan-PSW.Win32.Fareit
newsviewspost.com,24.08.2015 13:36,2,Trojan-Spy.Win32.Zbot
muffolini.it,24.05.2017 15:24,2,Trojan.Win32.Fsysna
addbeton.com,13.02.2017 07:07,2,Trojan-PSW.Win32.Fareit
meltemsatun.com,28.09.2015 11:45,2,Trojan-Ransom.Win32.Cryptodef
skaag.net,21.01.2015 06:43,2,Trojan-Spy.Win32.Zbot
dubailegaleagle.com,22.03.2017 18:30,2,Backdoor.Win32.Napolar
sinwithdelet.com,19.05.2017 20:47,2,Trojan-PSW.Win32.Fareit
premiercollege.org,26.08.2015 06:51,2,Trojan.Win32.Neurevt
drummondhouseco.com,26.11.2016 13:23,2,CnC.Win32.Generic
hotelrinconcito.com,28.06.2017 02:14,2,Trojan-PSW.Win32.Fareit
cselegance.com,28.06.2017 05:54,2,Trojan-PSW.Win32.Fareit
gaga01.net,15.05.2014 20:31,2,Trojan-SMS.AndroidOS.FakeInst
ibmstudies.com,10.04.2017 01:59,2,Trojan-PSW.Win32.Fareit
newbordirplus.com,15.04.2015 18:08,2,Trojan-Spy.Win32.Zbot
condalcopiers.com,25.03.2017 09:48,2,Trojan-Spy.Win32.Zbot
khoahoctienganh.net,31.01.2014 20:09,2,Backdoor.Win32.Skill
3dcarservice.com,27.05.2017 19:58,2,Backdoor.Win32.Mokes
enseda.net,09.02.2015 13:14,2,Trojan-Spy.Win32.Zbot
wovenmagic.com,15.06.2017 07:53,2,Backdoor.Win32.Mokes
mycorecontrol.com,22.03.2017 22:06,2,Backdoor.Win32.Napolar
urbanconnection.us,15.06.2015 18:33,2,Trojan-Ransom.Win32.Cryptodef
leathertabi.net,28.09.2015 23:55,2,Trojan-Ransom.Win32.Cryptodef
zenvirus.com,02.03.2015 07:33,2,Trojan-Spy.Win32.Zbot
ayelgrup.com,02.03.2017 15:31,2,Trojan-Downloader.Win32.Agent
customlabeledbottledwater.com,21.07.2015 05:27,2,Trojan-Downloader.Win32.Andromeda
ig33kstas.com,25.08.2015 12:47,2,Trojan.Win32.Neurevt
bloombergloop.biz,07.11.2014 16:14,2,Backdoor.Win32.Metel
globalelectrictools.com,13.02.2017 07:07,2,Trojan-PSW.Win32.Fareit
servioficina.es,13.10.2015 07:48,2,Trojan-PSW.Win32.Fareit
rackserverpdu.com,24.04.2017 00:43,2,Trojan.Win32.Snojan
nmtchicago.org,17.04.2014 08:25,2,CnC.Win32.Generic
getstarstar.com,30.06.2015 16:48,2,Trojan-Ransom.Win32.Cryptodef
zoopetshop.net,17.04.2014 08:25,2,CnC.Win32.Generic
vedatteknik.com,22.04.2015 03:30,2,Trojan.Win32.Neurevt
devotionrehab.com,13.03.2017 03:28,2,Trojan-Downloader.Win32.Agent
cz-api.xyz,18.05.2017 01:25,2,Backdoor.Win32.DarkKomet
myp0nysite.ru,11.05.2017 14:10,2,Trojan-Spy.Win32.SpyEyes
nutqss123a12a.com,16.03.2015 01:52,2,Backdoor.Win32.Kasidet
unesco-med.eu,27.09.2016 02:54,2,Trojan-PSW.Win32.Fareit
shanhay.com,26.11.2014 12:39,2,Backdoor.Win32.Metel
laptopsinhvien.net,10.09.2015 10:15,2,Trojan-Ransom.Win32.Cryptodef
hanjusrancal.com,06.04.2017 18:48,2,CnC.Win32.Generic
wadidncise.com,09.05.2017 15:52,2,Trojan-Spy.Win32.Zbot
pimplord.ru,08.05.2017 09:31,2,Trojan.Win32.Inject
nathanicaterers.com,20.04.2017 01:12,2,Trojan-Spy.Win32.Zbot
amisostepe.com,01.06.2015 11:51,2,Trojan.Win32.Neurevt
sintoftsparrat.com,24.06.2017 13:37,2,CnC.Win32.Generic
connectao.com,16.08.2015 19:57,2,Trojan-Ransom.Win32.Cryptodef
bodychargenutrition.com,11.07.2015 21:53,2,Trojan-Ransom.Win32.Cryptodef
nova4you.com,20.01.2015 07:10,2,Trojan-Spy.Win32.Zbot
se3f.com,13.07.2015 12:45,2,Trojan-Spy.Win32.Zbot
bramptonqatar.com,07.03.2017 15:23,2,Trojan-PSW.Win32.Fareit
orjinalkutu.com,31.03.2017 14:31,2,Backdoor.Win32.Androm
bahbouh.com,04.05.2017 01:38,2,Trojan-PSW.Win32.Fareit
fundaciondarien.org,18.02.2014 17:44,2,CnC.Win32.Generic
sifakoleji.com,27.04.2015 01:53,2,Trojan-Spy.Win32.Zbot
g6securitysystems.com,08.09.2015 20:45,2,Trojan-Ransom.Win32.Cryptodef
hotelsantantonio.com,22.02.2017 18:06,2,CnC.Win32.Generic
gatepass.tv,26.06.2017 07:57,2,Trojan-PSW.Win32.Fareit
julietterose.com,16.06.2015 23:13,2,Trojan-Ransom.Win32.Cryptodef
3dcopperprinting.com,16.03.2017 05:19,2,Trojan.Win32.Inject
refresandun.com,13.03.2017 16:33,2,Trojan-Spy.Win32.Zbot
thennyronren.ru,07.06.2017 11:45,2,CnC.Win32.Generic
arratritthe.com,16.03.2017 16:14,2,Trojan-Spy.Win32.Zbot
littmautrow.com,15.03.2017 16:38,2,Trojan-Spy.Win32.Zbot
accvietnam.net,18.03.2014 18:33,2,CnC.Win32.Generic
modernyear.com,16.07.2016 12:34,2,Trojan-Dropper.Win32.Agent
antalyareklamajansi.net,02.03.2015 12:29,2,Trojan-Spy.Win32.Zbot
miesdevilla.com,01.04.2017 01:48,2,Trojan.Win32.Snojan
alfacrewing.lt,18.03.2017 00:58,2,Trojan-PSW.Win32.Fareit
bilbroughs.com,20.04.2015 06:13,2,Trojan-Downloader.Win32.Andromeda
ne666an.xyz,24.12.2016 14:01,2,Backdoor.Win32.Androm
ubc188.top,12.04.2017 10:06,2,CnC.Win32.Generic
chonburipalms.com,06.04.2015 18:02,2,Trojan-Ransom.Win32.Cryptodef
ahmedmaher.net,04.08.2014 18:07,2,Trojan.Win32.Generic
sito.su,13.03.2014 01:19,2,CnC.Win32.Generic
prorustia.com,17.05.2017 09:45,2,Trojan-Spy.Win32.Zbot
hjaoopoa.top,02.03.2017 14:50,2,CnC.Win32.Generic
yes-s.net,09.02.2015 14:38,2,Trojan-Banker.AndroidOS.Faketoken
bettermebetterwe.com,18.07.2015 02:48,2,Trojan-Ransom.Win32.Cryptodef
voidimetmoi.com,22.09.2015 05:58,2,Trojan-Ransom.Win32.Cryptodef
crackingcave.com,31.05.2017 11:55,2,Backdoor.Win32.Androm
mitlerbis.com,30.06.2015 14:16,2,Trojan-Banker.Win32.Neverquest
kopirabus.com,12.06.2015 09:34,2,Trojan-Banker.Win32.Neverquest
manulizza.com,12.06.2015 09:34,2,Trojan-Banker.Win32.Neverquest
imuwobulok.biz,26.05.2016 20:43,2,Trojan-SMS.AndroidOS.FakeInst
horodityrowoboni.biz,26.05.2016 20:43,2,Trojan-SMS.AndroidOS.FakeInst
vozicokeboh.biz,26.05.2016 20:43,2,Trojan-SMS.AndroidOS.FakeInst
rodujuhocafy.biz,25.04.2016 13:28,2,Trojan-SMS.AndroidOS.FakeInst
yfaqoqysusyfyfa.biz,25.04.2016 13:28,2,Trojan-SMS.AndroidOS.Podec
trioncpl.com,04.06.2017 18:32,2,Trojan-PSW.Win32.Fareit
deleondeos.com,29.01.2016 12:04,2,CnC.Win32.Generic
montgomeryfoodconsulting.com,01.07.2015 22:04,2,Trojan-Ransom.Win32.Cryptodef
shreebalajidecorators.com,16.06.2015 04:46,2,Trojan-Ransom.Win32.Cryptodef
timeone.info,22.06.2017 02:30,2,Backdoor.Win32.Androm
gwssolicitors.com,01.06.2015 11:51,2,Trojan.Win32.Neurevt
an-squad.net,16.05.2017 15:49,2,Trojan-PSW.Win32.Fareit
dr4greatsmiles.com,01.09.2015 06:42,2,Trojan-Ransom.Win32.Cryptodef
bdcaindia.com,28.09.2015 07:48,2,Trojan-Ransom.Win32.Cryptodef
t61haber.com,24.02.2017 11:26,2,Trojan-Spy.Win32.Zbot
maravillasdemexico.org,06.05.2014 13:58,2,Trojan-Downloader.Win32.Andromeda
mfsecuador.com,19.05.2017 04:52,2,Trojan-PSW.Win32.Fareit
notifyd.com,15.06.2015 12:40,2,Trojan-Ransom.Win32.Cryptodef
firenet.cc,12.01.2015 19:34,2,Backdoor.Win32.Napolar
craidorolt.ro,26.04.2017 07:51,2,Trojan-PSW.Win32.Fareit
pietraistanbul.com,30.04.2015 00:33,2,Trojan-Ransom.Win32.Cryptodef
mattlevalve.com,15.12.2016 10:45,2,Trojan-PSW.Win32.Fareit
dwklfiypyj.org,15.10.2014 10:01,2,CnC.Win32.Generic
flowvapor.com,27.01.2017 04:51,2,Trojan-PSW.Win32.Fareit
blazerworld.net,22.04.2015 06:06,2,Trojan-Spy.Win32.Zbot
bronstaddesign.com,02.10.2015 20:35,2,Trojan-Ransom.Win32.Cryptodef
ehsansurgical.com,19.07.2015 23:39,2,Trojan-Ransom.Win32.Cryptodef
altapratama.com,14.03.2016 05:48,2,Trojan-Spy.Win32.SpyEyes
thewowpownow3.com,16.03.2015 11:26,2,Trojan-Downloader.Win32.Andromeda
thewowpownow2.com,06.03.2015 18:34,2,Trojan-Downloader.Win32.Andromeda
thewowpownow1.com,23.01.2015 23:22,2,Trojan-Downloader.Win32.Andromeda
extrude.pt,04.05.2017 03:51,2,Trojan-PSW.Win32.Fareit
tysport.ru,12.01.2017 13:02,2,CnC.Win32.Generic
forgingfutures.org,25.03.2015 05:47,2,Trojan-Spy.Win32.Zbot
forevergreengrowers.com,21.03.2017 11:11,2,Trojan-PSW.Win32.Tepfer
icloud-analysis.com,18.09.2015 01:06,2,CnC.Win32.Generic
keyf-ipanorama.com,08.06.2015 17:44,2,Trojan-Spy.Win32.Zbot
highstreetsolutions.com,08.06.2015 13:51,2,Trojan-Spy.Win32.Zbot
verdidnhedha.ru,08.02.2017 19:06,2,CnC.Win32.Generic
gjimnazicambridge.com,27.09.2015 13:43,2,Trojan-Ransom.Win32.Cryptodef
smef.ma,27.03.2017 20:43,2,Trojan-PSW.Win32.Fareit
kmaleon.cl,25.06.2014 11:52,2,Trojan-PSW.Win32.Chisburg
cctoday.info,26.05.2017 04:49,2,Backdoor.Win32.Mokes
derickle.com,14.07.2015 21:58,2,Trojan-Spy.Win32.Zbot
cobriza.com,13.04.2015 05:53,2,Trojan-Spy.Win32.Zbot
13xxx13.ru,08.07.2015 23:39,2,Trojan-Ransom.AndroidOS.Soobek
plantatulapiz.cl,06.06.2017 10:19,2,Trojan-PSW.Win32.Fareit
freshoicecream.com,11.05.2017 10:02,2,Trojan-PSW.Win32.Fareit
tuntu.info,17.03.2016 10:36,2,Worm.Win32.Ngrbot
lapinternetdanang.com,10.09.2015 15:35,2,Trojan-Ransom.Win32.Cryptodef
aqualibertas.com,21.06.2017 20:11,2,Trojan-PSW.Win32.Tepfer
falatrade.com,13.03.2017 04:20,2,Trojan-Downloader.Win32.Agent
edle-steine.at,07.03.2017 06:59,2,CnC.Win32.Generic
ccl.su,13.03.2014 01:19,2,CnC.Win32.Generic
ir2100.com,24.05.2017 05:27,2,Trojan-DDoS.Win32.Nesmed
beargrizzler.win,30.11.2016 19:41,2,Trojan-Banker.Win32.Gootkit
vsehblag.info,06.03.2015 21:07,2,Trojan.Win32.Neurevt
soft-planeta.ru,17.09.2014 19:16,2,Backdoor.Win32.Skill
werbekalender-werbenotebooks.de,07.06.2017 10:43,2,CnC.Win32.Generic
lovesled.ru,27.05.2014 09:45,2,Backdoor.Win32.Drivedos
betpeharrep.ru,10.08.2015 05:29,2,Trojan-Banker.Win32.Neverquest
indianshippingservices.com,08.11.2016 02:04,2,Trojan-Spy.Win32.Zbot
influxseo.com,13.03.2015 03:38,2,Trojan-Spy.Win32.Zbot
sse-express.com,16.10.2016 03:42,2,Trojan-PSW.MSIL.Chisburg
tiege.pt,07.06.2017 06:03,2,Trojan-PSW.Win32.Fareit
a2kiaymoster12902.com,11.03.2015 12:43,2,Trojan-Downloader.Win32.Andromeda
againstanabolics.com,20.02.2017 10:52,2,CnC.Win32.Generic
pisosnasos.ru,31.03.2017 10:30,2,CnC.Win32.Generic
navstop.ru,20.02.2017 10:52,2,CnC.Win32.Generic
ayhedgetechbiz.my,09.03.2017 07:26,2,Trojan-Downloader.Win32.Agent
doodkonijn.com,01.09.2015 04:12,2,Trojan-Ransom.Win32.Cryptodef
zgzmsy.com,12.09.2011 17:34,2,CnC.Win32.Generic
smartechco.com,09.09.2015 12:09,2,Trojan-Spy.Win32.Zbot
