"object-group",object,description
ltmNodeAddrGroup,ltmNodeAddrMonitorRule,"The monitor rule used for load balance the specified node address."
ltmNodeAddrGroup,ltmNodeAddrNewSessionEnable,"Deprecated! This field is not interested to user through SNMP interface. The state indicating whether a new session can be enabled or not for the specified node address."
ltmNodeAddrGroup,ltmNodeAddrSessionStatus,"The hierarchical status of the session, including parent status, for the specified node address: enabled - new sessions enabled; addrdisabled - new sessions disabled on node address; servdisabled - new sessions disabled on node server; disabled - new sessions disabled; forceddisabled - new sessions forced to be disabled."
ltmNodeAddrGroup,ltmNodeAddrPoolMemberRefCount,"Deprecated! Node Address tracking method changed. The node address member reference count is no longer used."
ltmNodeAddrGroup,ltmNodeAddrScreenName,"Deprecated! This field is removed. The screen names for the specified node address."
ltmNodeAddrGroup,ltmNodeAddrAvailabilityState,"Deprecated! Replaced by ltmNodeAddrStatusAvailState under ltmNodeAddrStatus. The state of the specified node address availability indicated in color."
ltmNodeAddrGroup,ltmNodeAddrEnabledState,"Deprecated! Replaced by ltmNodeAddrStatusEnabledState under ltmNodeAddrStatus. The state of the specified node address activity status, as specified by the user."
ltmNodeAddrGroup,ltmNodeAddrDisabledParentType,"Deprecated! Replaced by ltmNodeAddrStatusParentType under ltmNodeAddrStatus. The type of parent object which disabled the specified node address."
ltmNodeAddrGroup,ltmNodeAddrStatusReason,"Deprecated! Replaced by ltmNodeAddrStatusDetailReason under ltmNodeAddrStatus. The detail description of the node's status of parent object which disabled the specified node address."
ltmNodeAddrGroup,ltmNodeAddrName,"Node name."
ltmNodeAddrStatGroup,ltmNodeAddrStatResetStats,"The action to reset resettable statistics data in ltmNodeAddrStat. Setting this value to 1 will reset statistics data. Note, some statistics data may not be reset including data that are incremental counters."
ltmNodeAddrStatGroup,ltmNodeAddrStatNumber,"The number of ltmNodeAddrStat entries in the table."
ltmNodeAddrStatGroup,ltmNodeAddrStatAddrType,"Deprecated! use node_name instead, The IP address type of ltmNodeAddrStatAddr."
ltmNodeAddrStatGroup,ltmNodeAddrStatAddr,"Deprecated! use node_name instead, The IP address of a node. It is interpreted within the context of an ltmNodeAddrStatAddrType value."
ltmNodeAddrStatGroup,ltmNodeAddrStatServerPktsIn,"The number of packets received by the specified node address from server-side."
ltmNodeAddrStatGroup,ltmNodeAddrStatServerBytesIn,"The number of bytes received by the specified node address from server-side."
ltmNodeAddrStatGroup,ltmNodeAddrStatServerPktsOut,"The number of packets sent to server-side from the specified node address."
ltmNodeAddrStatGroup,ltmNodeAddrStatServerBytesOut,"The number of bytes sent to server-side from the specified node address."
ltmNodeAddrStatGroup,ltmNodeAddrStatServerMaxConns,"The maximum connections from server-side to the specified node address."
ltmNodeAddrStatGroup,ltmNodeAddrStatServerTotConns,"The total connections from server-side to the specified node address."
ltmNodeAddrStatGroup,ltmNodeAddrStatServerCurConns,"The current connections from server-side to the specified node address."
ltmNodeAddrStatGroup,ltmNodeAddrStatPvaPktsIn,"The total number of hardware accelerated packets received by the specified node address."
ltmNodeAddrStatGroup,ltmNodeAddrStatPvaBytesIn,"The total number of hardware accelerated bytes received by the specified node address."
ltmNodeAddrStatGroup,ltmNodeAddrStatPvaPktsOut,"The total number of hardware accelerated packets sent out from the specified node address."
ltmNodeAddrStatGroup,ltmNodeAddrStatPvaBytesOut,"The number of hardware accelerated bytes sent out from the specified node address."
ltmNodeAddrStatGroup,ltmNodeAddrStatPvaMaxConns,"The maximum hardware accelerated connections to the specified node address."
ltmNodeAddrStatGroup,ltmNodeAddrStatPvaTotConns,"The total hardware accelerated connections to the specified node address."
ltmNodeAddrStatGroup,ltmNodeAddrStatPvaCurConns,"The current hardware accelerated connections to the specified node address."
ltmNodeAddrStatGroup,ltmNodeAddrStatTotRequests,"The total number of requests going through the specified node address."
ltmNodeAddrStatGroup,ltmNodeAddrStatTotPvaAssistConn,"The total number of connections to the specified node address, which are partially hardware accelerated."
ltmNodeAddrStatGroup,ltmNodeAddrStatCurrPvaAssistConn,"The current number of connections to the specified node address, which are partially hardware accelerated."
ltmNodeAddrStatGroup,ltmNodeAddrStatNodeName,"Node name."
ltmNodeAddrStatGroup,ltmNodeAddrStatCurSessions,"The number of current sessions going through the specified node address."
ltmNodeAddrStatGroup,ltmNodeAddrStatCurrentConnsPerSec,"The number of current connections per second to the specified node address."
ltmNodeAddrStatGroup,ltmNodeAddrStatDurationRateExceeded,"Duration of time in seconds the specified node address has exceeded the configured connection rate limit."
ltmPoolGroup,ltmPoolNumber,"The number of ltmPool entries in the table."
ltmPoolGroup,ltmPoolName,"The name of a pool."
ltmPoolGroup,ltmPoolLbMode,"The load balance method for this pool."
ltmPoolGroup,ltmPoolActionOnServiceDown,"The action to be taken if the service for the specified pool is down."
ltmPoolGroup,ltmPoolMinUpMembers,"The minimum number of UP members required for the specified pool before a high availability action to be taken. This is used when ltmPoolMinUpMembersEnable is true."
ltmPoolGroup,ltmPoolMinUpMembersEnable,"The state indicating whether or not an action will be taken when the minimum number of UP members requirement is not met for the specified pool."
ltmPoolGroup,ltmPoolMinUpMemberAction,"The action to be taken if the minimum number of UP members requirement is not met for the specified pool. This is used when ltmPoolMinUpMembersEnable is true."
ltmPoolGroup,ltmPoolMinActiveMembers,"The minimum number of active members required for traffic to be sent to the specified pool. This feature is used for priority pools. The minimum active members take into account both the status of the pool member (up/down) as well as the number of connections present on the pool member. If the number of active members falls below this given threshold, traffic is sent to the next priority pool."
ltmPoolGroup,ltmPoolActiveMemberCnt,"The number of the current active members in the specified pool."
ltmPoolGroup,ltmPoolDisallowSnat,"The state whether SNAT is disallowed or not for the specified pool."
ltmPoolGroup,ltmPoolDisallowNat,"The state whether NAT is disallowed or not for the specified pool."
ltmPoolGroup,ltmPoolSimpleTimeout,"The timeout (in seconds) in simple persistence for the specified pool."
ltmPoolGroup,ltmPoolIpTosToClient,"The IP ToS value for client traffic for the specified pool."
ltmPoolGroup,ltmPoolIpTosToServer,"The IP ToS value for server traffic for the specified pool."
ltmPoolGroup,ltmPoolLinkQosToClient,"The link QoS value for client traffic for the specified pool."
ltmPoolGroup,ltmPoolLinkQosToServer,"The link QoS value for server traffic for the specified pool."
ltmPoolGroup,ltmPoolDynamicRatioSum,"The sum of the dynamic ratio from all the members of the specified pool."
ltmPoolGroup,ltmPoolMonitorRule,"The name of monitor rule used by the specified pool."
ltmPoolGroup,ltmPoolAvailabilityState,"Deprecated! Replaced by ltmPooltatusAvailState under ltmPoolStatus. The state of the specified pool availability indicated in color."
ltmPoolGroup,ltmPoolEnabledState,"Deprecated! Replaced by ltmPoolStatusEnabledState under ltmPoolStatus. The state of the specified pool activity status, as specified by the user."
ltmPoolGroup,ltmPoolDisabledParentType,"Deprecated! Replaced by ltmPoolStatusParentType under ltmPoolStatus. The type of parent object which disabled the specified pool."
ltmPoolGroup,ltmPoolStatusReason,"Deprecated! Replaced by ltmPoolStatusDetailReason under ltmPoolStatus. The detail description of the pool's status of parent object which disabled the specified pool."
ltmPoolGroup,ltmPoolSlowRampTime,"The ramp-up time (in seconds) to gradually ramp up the load on newly added or freshly detected UP pool members."
ltmPoolGroup,ltmPoolMemberCnt,"The total number of members in the specified pool."
ltmPoolGroup,ltmPoolQueueOnConnectionLimit,"Enable or disable queuing based on pool member connection limits."
ltmPoolGroup,ltmPoolQueueDepthLimit,"Maximum number of connections in queue for pool and all members. No limit if unspecified or 0."
ltmPoolGroup,ltmPoolQueueTimeLimit,"Maximum number of milliseconds a connection may stay queued. No limit if unspecified or 0."
ltmPoolStatGroup,ltmPoolStatResetStats,"The action to reset resettable statistics data in ltmPoolStat. Setting this value to 1 will reset statistics data. Note, some statistics data may not be reset including data that are incremental counters."
ltmPoolStatGroup,ltmPoolStatNumber,"The number of ltmPoolStat entries in the table."
ltmPoolStatGroup,ltmPoolStatName,"The name of this pool."
ltmPoolStatGroup,ltmPoolStatServerPktsIn,"The number of packets received by the specified pool from server-side."
ltmPoolStatGroup,ltmPoolStatServerBytesIn,"The number of bytes received by the specified pool from server-side."
ltmPoolStatGroup,ltmPoolStatServerPktsOut,"The number of packets sent to server-side from the specified pool."
ltmPoolStatGroup,ltmPoolStatServerBytesOut,"The number of bytes sent to server-side from the specified pool."
ltmPoolStatGroup,ltmPoolStatServerMaxConns,"The maximum connections from server-side to the specified pool."
ltmPoolStatGroup,ltmPoolStatServerTotConns,"The total connections from server-side to the specified pool."
ltmPoolStatGroup,ltmPoolStatServerCurConns,"The current connections from server-side to the specified pool."
ltmPoolStatGroup,ltmPoolStatPvaPktsIn,"The number of hardware accelerated packets received by the specified pool."
ltmPoolStatGroup,ltmPoolStatPvaBytesIn,"The number of hardware accelerated bytes received by the specified pool."
ltmPoolStatGroup,ltmPoolStatPvaPktsOut,"The number of hardware accelerated packets sent out from the specified pool."
ltmPoolStatGroup,ltmPoolStatPvaBytesOut,"The number of hardware accelerated bytes sent out from the specified pool."
ltmPoolStatGroup,ltmPoolStatPvaMaxConns,"The maximum hardware accelerated connections to the specified pool."
ltmPoolStatGroup,ltmPoolStatPvaTotConns,"The total hardware accelerated connections to the specified pool."
ltmPoolStatGroup,ltmPoolStatPvaCurConns,"The current hardware accelerated connections to the specified pool."
ltmPoolStatGroup,ltmPoolStatTotPvaAssistConn,"The total number of connections to the specified pool, which are partially hardware accelerated."
ltmPoolStatGroup,ltmPoolStatCurrPvaAssistConn,"The current number of connections to the specified pool, which are partially hardware accelerated."
ltmPoolStatGroup,ltmPoolStatConnqDepth,"Number of connections currently in queue, sum."
ltmPoolStatGroup,ltmPoolStatConnqAgeHead,"Age in milliseconds of the oldest queue entry, max."
ltmPoolStatGroup,ltmPoolStatConnqAgeMax,"Maximum queue entry age in milliseconds, max."
ltmPoolStatGroup,ltmPoolStatConnqAgeEma,"Exponential moving average queue entry age in milliseconds, max."
ltmPoolStatGroup,ltmPoolStatConnqAgeEdm,"Exponential decaying maximum queue entry age in milliseconds, max."
ltmPoolStatGroup,ltmPoolStatConnqServiced,"Number of entries that have been removed from the queue, sum."
ltmPoolStatGroup,ltmPoolStatConnqAllDepth,"Number of connections currently in queue of this pool and all its members, sum."
ltmPoolStatGroup,ltmPoolStatConnqAllAgeHead,"Age in milliseconds of the oldest queue entry of this pool and all its members, max."
ltmPoolStatGroup,ltmPoolStatConnqAllAgeMax,"Maximum queue entry age in milliseconds of this pool and all its members, max."
ltmPoolStatGroup,ltmPoolStatConnqAllAgeEma,"Exponential moving average queue entry age in milliseconds of this pool and all its members, max."
ltmPoolStatGroup,ltmPoolStatConnqAllAgeEdm,"Exponential decaying maximum queue entry age in milliseconds of this pool and all its members, max."
ltmPoolStatGroup,ltmPoolStatConnqAllServiced,"Number of entries that have been removed from the queue of this pool and all its members, sum."
ltmPoolStatGroup,ltmPoolStatTotRequests,"The total number of requests to the specified pool."
ltmPoolStatGroup,ltmPoolStatCurSessions,"The current number of sessions to the specified pool."
ltmPoolMemberGroup,ltmPoolMemberNumber,"The number of ltmPoolMember entries in the table."
ltmPoolMemberGroup,ltmPoolMemberPoolName,"The name of a pool."
ltmPoolMemberGroup,ltmPoolMemberAddrType,"The IP address type of ltmPoolMemberAddr."
ltmPoolMemberGroup,ltmPoolMemberAddr,"The IP address of a pool member in the specified pool. It is interpreted within the context of an ltmPoolMemberAddrType value."
ltmPoolMemberGroup,ltmPoolMemberPort,"The port number of the specified pool member."
ltmPoolMemberGroup,ltmPoolMemberConnLimit,"The maximum connections allowed to the specified pool member."
ltmPoolMemberGroup,ltmPoolMemberRatio,"The load balancing ratio of the specified pool member, used in pool member ratio load balancing mode."
ltmPoolMemberGroup,ltmPoolMemberWeight,"The weight of the specified pool member, used in dynamic load balancing mode."
ltmPoolMemberGroup,ltmPoolMemberPriority,"The priority level of the specified pool member, used in priority pool member load balancing mode."
ltmPoolMemberGroup,ltmPoolMemberDynamicRatio,"The dynamic ratio for the specified pool member, used in load balance algorithm."
ltmPoolMemberGroup,ltmPoolMemberMonitorState,"The internal tmm monitor state for the specified node address."
ltmPoolMemberGroup,ltmPoolMemberMonitorStatus,"The hierarchical load balance state for the specified node address, including parent status: unchecked - enabled node that is not monitored; checking - initial state until monitor reports; inband - the tmm has marked the node up; forced-up - forced up manually; up - enabled node when its monitors succeed; addr-down - node address monitor fails or forced down; down - enabled node when its monitors fail; forced-down - node forced down manually; maint - in maintenance mode; irule-down - an iRule has marked the node down; inband-down - the tmm has marked the node down; down-manual-resume - the node is down and must be manually enabled."
ltmPoolMemberGroup,ltmPoolMemberNewSessionEnable,"Deprecated! This field is not interested to user through SNMP interface whether a new session can be enabled or not for the specified pool member."
ltmPoolMemberGroup,ltmPoolMemberSessionStatus,"The hierarchical status of the session, including parent status, for the specified pool member: enabled - new sessions enabled; addrdisabled - new sessions disabled on node address; servdisabled - new sessions disabled on node server; disabled - new sessions disabled; forceddisabled - new sessions forced to be disabled."
ltmPoolMemberGroup,ltmPoolMemberMonitorRule,"The monitor rule used by the specified pool member. If this value is empty, ltmPoolMonitorRule will be used."
ltmPoolMemberGroup,ltmPoolMemberAvailabilityState,"Deprecated! Replaced by ltmPoolMbrStatusAvailState under ltmPoolMemberStatus. The state of the specified pool member availability indicated in color."
ltmPoolMemberGroup,ltmPoolMemberEnabledState,"Deprecated! Replaced by ltmPoolMbrStatusEnabledState under ltmPoolMemberStatus. The state of the specified pool member activity status, as specified by the user."
ltmPoolMemberGroup,ltmPoolMemberDisabledParentType,"Deprecated! Replaced by ltmPoolMbrStatusParentType under ltmPoolMemberStatus. The type of parent object which disabled the specified pool member."
ltmPoolMemberGroup,ltmPoolMemberStatusReason,"Deprecated! Replaced by ltmPoolMbrStatusDetailReason under ltmPoolMemberStatus. The detail description of the pool member's status of parent object which disabled the specified pool member."
ltmPoolMemberGroup,ltmPoolMemberNodeName,"Name of associated name."
ltmPoolMemberStatGroup,ltmPoolMemberStatResetStats,"The action to reset resettable statistics data in ltmPoolMemberStat. Setting this value to 1 will reset statistics data. Note, some statistics data may not be reset including data that are incremental counters."
ltmPoolMemberStatGroup,ltmPoolMemberStatNumber,"The number of ltmPoolMemberStat entries in the table."
ltmPoolMemberStatGroup,ltmPoolMemberStatPoolName,"The name of a pool."
ltmPoolMemberStatGroup,ltmPoolMemberStatAddrType,"Deprecated! use node_name instead, the IP address type of ltmPoolMemberStatAddr."
ltmPoolMemberStatGroup,ltmPoolMemberStatAddr,"Deprecated! use node_name instead, the IP address of a pool member in the specified pool. It is interpreted within the context of an ltmPoolMemberStatAddrType value."
ltmPoolMemberStatGroup,ltmPoolMemberStatPort,"The port number of the specified pool member."
ltmPoolMemberStatGroup,ltmPoolMemberStatServerPktsIn,"The number of packets received by the specified pool member from server-side."
ltmPoolMemberStatGroup,ltmPoolMemberStatServerBytesIn,"The number of bytes received by the specified pool member from server-side."
ltmPoolMemberStatGroup,ltmPoolMemberStatServerPktsOut,"The number of packets sent to server-side from the specified pool member."
ltmPoolMemberStatGroup,ltmPoolMemberStatServerBytesOut,"The number of bytes sent to server-side from the specified pool member."
ltmPoolMemberStatGroup,ltmPoolMemberStatServerMaxConns,"The maximum connections from server-side to the specified pool member."
ltmPoolMemberStatGroup,ltmPoolMemberStatServerTotConns,"The total connections from server-side to the specified pool member."
ltmPoolMemberStatGroup,ltmPoolMemberStatServerCurConns,"The current connections from server-side to the pool member."
ltmPoolMemberStatGroup,ltmPoolMemberStatPvaPktsIn,"The total number of hardware accelerated packets received by the specified pool member."
ltmPoolMemberStatGroup,ltmPoolMemberStatPvaBytesIn,"The total number of hardware accelerated bytes received by the specified pool member."
ltmPoolMemberStatGroup,ltmPoolMemberStatPvaPktsOut,"The total number of hardware accelerated packets sent out from the specified pool member."
ltmPoolMemberStatGroup,ltmPoolMemberStatPvaBytesOut,"The total number of hardware accelerated bytes sent out from the specified pool member."
ltmPoolMemberStatGroup,ltmPoolMemberStatPvaMaxConns,"The maximum hardware accelerated connections to the specified pool member."
ltmPoolMemberStatGroup,ltmPoolMemberStatPvaTotConns,"The total hardware accelerated connections to the specified pool member."
ltmPoolMemberStatGroup,ltmPoolMemberStatPvaCurConns,"The current hardware accelerated connections to the specified pool member."
ltmPoolMemberStatGroup,ltmPoolMemberStatTotRequests,"The total number of requests going through the specified pool member."
ltmPoolMemberStatGroup,ltmPoolMemberStatTotPvaAssistConn,"The total number of connections to the specified pool member, which are partially hardware accelerated."
ltmPoolMemberStatGroup,ltmPoolMemberStatCurrPvaAssistConn,"The current number of connections to the specified pool member, which are partially hardware accelerated."
ltmPoolMemberStatGroup,ltmPoolMemberStatConnqDepth,"Number of connections currently in queue, sum."
ltmPoolMemberStatGroup,ltmPoolMemberStatConnqAgeHead,"Age in milliseconds of the oldest queue entry, max."
ltmPoolMemberStatGroup,ltmPoolMemberStatConnqAgeMax,"Maximum queue entry age in milliseconds, max."
ltmPoolMemberStatGroup,ltmPoolMemberStatConnqAgeEma,"Exponential moving average queue entry age in milliseconds, max."
ltmPoolMemberStatGroup,ltmPoolMemberStatConnqAgeEdm,"Exponential decaying maximum queue entry age in milliseconds, max."
ltmPoolMemberStatGroup,ltmPoolMemberStatConnqServiced,"Number of entries that have been removed from the queue, sum."
ltmPoolMemberStatGroup,ltmPoolMemberStatNodeName,"Node name."
ltmPoolMemberStatGroup,ltmPoolMemberStatCurSessions,"The number of current sessions going through the specified pool member."
ltmPoolMemberStatGroup,ltmPoolMemberStatCurrentConnsPerSec,"The number of current connections per second to the specified pool member."
ltmPoolMemberStatGroup,ltmPoolMemberStatDurationRateExceeded,"Duration of time in seconds the specified pool member has exceeded the configured connection rate limit."
ltmAuthProfileGroup,ltmAuthProfileNumber,"The number of ltmAuthProfile entries in the table."
ltmAuthProfileGroup,ltmAuthProfileName,"The name of an authentication profile."
ltmAuthProfileGroup,ltmAuthProfileConfigSource,"The state that specifies whether this is a base/pre-configured profile or user defined profile."
ltmAuthProfileGroup,ltmAuthProfileDefaultName,"The name of the profile from which the specified profile derives its attribute default values."
ltmAuthProfileGroup,ltmAuthProfileConfigName,"The name of the authentication configuration that the specified profile will be using."
ltmAuthProfileGroup,ltmAuthProfileType,"The authentication type that the specified profile will be using."
ltmAuthProfileGroup,ltmAuthProfileMode,"The mode for the specified auth profile."
ltmAuthProfileGroup,ltmAuthProfileCredentialSource,"The source of the credentials that the specified profile will be using."
ltmAuthProfileGroup,ltmAuthProfileRuleName,"The name of the rule that the specified profile will be using."
ltmAuthProfileGroup,ltmAuthProfileIdleTimeout,"The idle timeout in seconds for the authentication session."
ltmAuthProfileStatGroup,ltmAuthProfileStatResetStats,"The action to reset resettable statistics data in ltmAuthProfileStat. Setting this value to 1 will reset statistics data. Note, some statistics data may not be reset including data that are incremental counters."
ltmAuthProfileStatGroup,ltmAuthProfileStatNumber,"The number of ltmAuthProfileStat entries in the table."
ltmAuthProfileStatGroup,ltmAuthProfileStatName,"The name of an authentication profile."
ltmAuthProfileStatGroup,ltmAuthProfileStatTotSessions,"The total number of concurrent auth sessions for the specified profile."
ltmAuthProfileStatGroup,ltmAuthProfileStatCurSessions,"The current number of concurrent auth sessions for the specified profile."
ltmAuthProfileStatGroup,ltmAuthProfileStatMaxSessions,"The maximum number of concurrent auth sessions for the specified profile."
