"tag","name","url","mitre-tactics","framework","description","detection","platforms","data-sources"
"T1003.006","DCSync","https://attack.mitre.org/techniques/T1003/006","TA0006","att&ck","Adversaries may attempt to access credentials and other sensitive information by abusing a Windows Domain Controller's application programming interface (API)(Citation: Microsoft DRSR Dec 2017) (Citation: Microsoft GetNCCChanges) (Citation: Samba DRSUAPI) (Citation: Wine API samlib.dll) to simulate the replication process from a remote domain controller using a technique called DCSync.","Monitor domain controller logs for replication requests and other unscheduled activity possibly associated with DCSync.(Citation: Microsoft DRSR Dec 2017) (Citation: Microsoft GetNCCChanges) (Citation: Samba DRSUAPI) Also monitor for network protocols(Citation: Microsoft DRSR Dec 2017) (Citation: Microsoft NRPC Dec 2017) and other replication requests(Citation: Microsoft SAMR) from IPs not associated with known domain controllers.(Citation: AdSecurity DCSync Sept 2015)","Windows","Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow|Active Directory: Active Directory Object Access"
"T1003.007","Proc Filesystem","https://attack.mitre.org/techniques/T1003/007","TA0006","att&ck","Adversaries may gather credentials from information stored in the Proc filesystem or `/proc`. The Proc filesystem on Linux contains a great deal of information regarding the state of the running operating system. Processes running with root privileges can use this facility to scrape live memory of other running programs. If any of these programs store passwords in clear text or password hashes in memory, these values can then be harvested for either usage or brute force attacks, respectively.","To obtain the passwords and hashes stored in memory, processes must open a maps file in the /proc filesystem for the process being analyzed. This file is stored under the path `/proc/\*/maps`, where the `\*` directory is the unique pid of the program being interrogated for such authentication data. The AuditD monitoring tool, which ships stock in many Linux distributions, can be used to watch for hostile processes opening this file in the proc file system, alerting on the pid, process name, and arguments of such programs.","Linux","File: File Access|Command: Command Execution"
"T1003.008","/etc/passwd and /etc/shadow","https://attack.mitre.org/techniques/T1003/008","TA0006","att&ck","Adversaries may attempt to dump the contents of `/etc/passwd` and `/etc/shadow` to enable offline password cracking. Most modern Linux operating systems use a combination of `/etc/passwd` and `/etc/shadow` to store user account information including password hashes in `/etc/shadow`. By default, `/etc/shadow` is only readable by the root user.(Citation: Linux Password and Shadow File Formats)","The AuditD monitoring tool, which ships stock in many Linux distributions, can be used to watch for hostile processes attempting to access `/etc/passwd` and `/etc/shadow`, alerting on the pid, process name, and arguments of such programs.","Linux","Command: Command Execution|File: File Access"
"T1005","Data from Local System","https://attack.mitre.org/techniques/T1005","TA0009","att&ck","Adversaries may search local system sources, such as file systems and configuration files or local databases, to find files of interest and sensitive data prior to Exfiltration.","Monitor processes and command-line arguments for actions that could be taken to collect files from a system. Remote access tools with built-in features may interact directly with the Windows API to gather data. Further, [Network Device CLI](T1059.008) commands may also be used to collect files such as configuration files with built-in features native to the network device platform.(Citation: Mandiant APT41 Global Intrusion )(Citation: US-CERT-TA18-106A) Monitor CLI activity for unexpected or unauthorized use commands being run by non-standard users from non-standard locations. Data may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).","Linux|macOS|Windows|Network","Process: OS API Execution|File: File Access|Process: Process Creation|Script: Script Execution|Command: Command Execution"
"T1006","Direct Volume Access","https://attack.mitre.org/techniques/T1006","TA0005","att&ck","Adversaries may directly access a volume to bypass file access controls and file system monitoring. Windows allows programs to have direct access to logical volumes. Programs with direct access may read and write files directly from the drive by analyzing file system data structures. This technique bypasses Windows file access controls as well as file system monitoring tools. (Citation: Hakobyan 2009)","Monitor handle opens on drive volumes that are made by processes to determine when they may directly access logical drives. (Citation: Github PowerSploit Ninjacopy)","Windows","Drive: Drive Access|Command: Command Execution"
"T1007","System Service Discovery","https://attack.mitre.org/techniques/T1007","TA0007","att&ck","Adversaries may try to gather information about registered local system services. Adversaries may obtain information about services using tools as well as OS utility commands such as `sc query`, `tasklist /svc`, `systemctl --type=service`, and `net start`.","System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.","Windows|macOS|Linux","Command: Command Execution|Process: OS API Execution|Process: Process Creation"
"T1008","Fallback Channels","https://attack.mitre.org/techniques/T1008","TA0011","att&ck","Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds.","Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used. (Citation: University of Birmingham C2)","Linux|Windows|macOS","Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Flow"
"T1010","Application Window Discovery","https://attack.mitre.org/techniques/T1010","TA0007","att&ck","Adversaries may attempt to get a listing of open application windows. Window listings could convey information about how the system is used or give context to information collected by a keylogger.(Citation: Prevailion DarkWatchman 2021)","System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities based on the information obtained.","macOS|Windows|Linux","Process: OS API Execution|Process: Process Creation|Command: Command Execution"
"T1011","Exfiltration Over Other Network Medium","https://attack.mitre.org/techniques/T1011","TA0010","att&ck","Adversaries may attempt to exfiltrate data over a different network medium than the command and control channel. If the command and control network is a wired Internet connection, the exfiltration may occur, for example, over a WiFi connection, modem, cellular data connection, Bluetooth, or another radio frequency (RF) channel.","Monitor for processes utilizing the network that do not normally have network communication or have never been seen before. Processes that normally require user-driven events to access the network (for example, a web browser opening with a mouse click or key press) but access the network without such may be malicious.","Linux|macOS|Windows","Network Traffic: Network Connection Creation|File: File Access|Command: Command Execution|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow"
"T1011.001","Exfiltration Over Bluetooth","https://attack.mitre.org/techniques/T1011/001","TA0010","att&ck","Adversaries may attempt to exfiltrate data over Bluetooth rather than the command and control channel. If the command and control network is a wired Internet connection, an adversary may opt to exfiltrate data using a Bluetooth communication channel.","Monitor for processes utilizing the network that do not normally have network communication or have never been seen before. Processes that normally require user-driven events to access the network (for example, a web browser opening with a mouse click or key press) but access the network without such may be malicious.","Linux|macOS|Windows","Network Traffic: Network Traffic Flow|Command: Command Execution|Network Traffic: Network Connection Creation|File: File Access|Network Traffic: Network Traffic Content"
"T1012","Query Registry","https://attack.mitre.org/techniques/T1012","TA0007","att&ck","Adversaries may interact with the Windows Registry to gather information about the system, configuration, and installed software.","System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.","Windows","Process: OS API Execution|Process: Process Creation|Command: Command Execution|Windows Registry: Windows Registry Key Access"
"T1014","Rootkit","https://attack.mitre.org/techniques/T1014","TA0005","att&ck","Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components. Rootkits are programs that hide the existence of malware by intercepting/hooking and modifying operating system API calls that supply system information. (Citation: Symantec Windows Rootkits)","Some rootkit protections may be built into anti-virus or operating system software. There are dedicated rootkit detection tools that look for specific types of rootkit behavior. Monitor for the existence of unrecognized DLLs, devices, services, and changes to the MBR. (Citation: Wikipedia Rootkit)","Linux|macOS|Windows","Drive: Drive Modification|Firmware: Firmware Modification|File: File Modification"
"T1016","System Network Configuration Discovery","https://attack.mitre.org/techniques/T1016","TA0007","att&ck","Adversaries may look for details about the network configuration and settings, such as IP and/or MAC addresses, of systems they access or through information discovery of remote systems. Several operating system administration utilities exist that can be used to gather this information. Examples include [Arp](S0099), [ipconfig](S0100)/[ifconfig](S0101), [nbtstat](S0102), and [route](S0103).","System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.","Linux|macOS|Windows|Network","Command: Command Execution|Script: Script Execution|Process: Process Creation|Process: OS API Execution"
"T1016.001","Internet Connection Discovery","https://attack.mitre.org/techniques/T1016/001","TA0007","att&ck","Adversaries may check for Internet connectivity on compromised systems. This may be performed during automated discovery and can be accomplished in numerous ways such as using [Ping](S0097), `tracert`, and GET requests to websites.","System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Command and Control, based on the information obtained.","Windows|Linux|macOS","Process: Process Creation|Command: Command Execution"
"T1018","Remote System Discovery","https://attack.mitre.org/techniques/T1018","TA0007","att&ck","Adversaries may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network that may be used for Lateral Movement from the current system. Functionality could exist within remote access tools to enable this, but utilities available on the operating system could also be used such as  [Ping](S0097) or `net view` using [Net](S0039).","System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.","Linux|macOS|Windows|Network","Command: Command Execution|File: File Access|Process: Process Creation|Network Traffic: Network Connection Creation"
"T1020","Automated Exfiltration","https://attack.mitre.org/techniques/T1020","TA0010","att&ck","Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.","Monitor process file access patterns and network behavior. Unrecognized processes or scripts that appear to be traversing file systems and sending network traffic may be suspicious.","Linux|macOS|Windows|Network","Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|Script: Script Execution|File: File Access|Command: Command Execution|Network Traffic: Network Traffic Flow"
"T1020.001","Traffic Duplication","https://attack.mitre.org/techniques/T1020/001","TA0010","att&ck","Adversaries may leverage traffic mirroring in order to automate data exfiltration over compromised network infrastructure.  Traffic mirroring is a native feature for some network devices and used for network analysis and may be configured to duplicate traffic and forward to one or more destinations for analysis by a network analyzer or other monitoring device. (Citation: Cisco Traffic Mirroring)(Citation: Juniper Traffic Mirroring)","Monitor network traffic for uncommon data flows (e.g. unusual network communications, suspicious communications that have never been seen before, communications sending fixed size data packets at regular intervals).  Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used.","Network","Network Traffic: Network Traffic Flow|Network Traffic: Network Connection Creation"
"T1021","Remote Services","https://attack.mitre.org/techniques/T1021","TA0008","att&ck","Adversaries may use [Valid Accounts](T1078) to log into a service specifically designed to accept remote connections, such as telnet, SSH, and VNC. The adversary may then perform actions as the logged-on user.","Correlate use of login activity related to remote services with unusual behavior or other malicious or suspicious activity. Adversaries will likely need to learn about an environment and the relationships between systems through Discovery techniques prior to attempting Lateral Movement.","Linux|macOS|Windows","Process: Process Creation|Module: Module Load|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Flow|Command: Command Execution|Logon Session: Logon Session Creation|Network Share: Network Share Access"
"T1021.001","Remote Desktop Protocol","https://attack.mitre.org/techniques/T1021/001","TA0008","att&ck","Adversaries may use [Valid Accounts](T1078) to log into a computer using the Remote Desktop Protocol (RDP). The adversary may then perform actions as the logged-on user.","Use of RDP may be legitimate, depending on the network environment and how it is used. Other factors, such as access patterns and activity that occurs after a remote login, may indicate suspicious or malicious behavior with RDP. Monitor for user accounts logged into systems they would not normally access or access patterns to multiple systems over a relatively short period of time.","Windows","Network Traffic: Network Connection Creation|Logon Session: Logon Session Creation|Process: Process Creation|Network Traffic: Network Traffic Flow"
"T1021.002","SMB/Windows Admin Shares","https://attack.mitre.org/techniques/T1021/002","TA0008","att&ck","Adversaries may use [Valid Accounts](T1078) to interact with a remote network share using Server Message Block (SMB). The adversary may then perform actions as the logged-on user.","Ensure that proper logging of accounts used to log into systems is turned on and centrally collected. Windows logging is able to collect success/failure for accounts that may be used to move laterally and can be collected using tools such as Windows Event Forwarding. (Citation: Lateral Movement Payne)(Citation: Windows Event Forwarding Payne) Monitor remote login events and associated SMB activity for file transfers and remote process execution. Monitor the actions of remote users who connect to administrative shares. Monitor for use of tools and commands to connect to remote shares, such as [Net](S0039), on the command-line interface and Discovery techniques that could be used to find remotely accessible systems.(Citation: Medium Detecting WMI Persistence)","Windows","Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Flow|Logon Session: Logon Session Creation|Command: Command Execution|Network Share: Network Share Access"
"T1021.003","Distributed Component Object Model","https://attack.mitre.org/techniques/T1021/003","TA0008","att&ck","Adversaries may use [Valid Accounts](T1078) to interact with remote machines by taking advantage of Distributed Component Object Model (DCOM). The adversary may then perform actions as the logged-on user.","Monitor for COM objects loading DLLs and other modules not typically associated with the application.(Citation: Enigma Outlook DCOM Lateral Movement Nov 2017) Enumeration of COM objects, via [Query Registry](T1012) or [PowerShell](T1059.001), may also proceed malicious use.(Citation: Fireeye Hunting COM June 2019)(Citation: Enigma MMC20 COM Jan 2017) Monitor for spawning of processes associated with COM objects, especially those invoked by a user different than the one currently logged on.","Windows","Process: Process Creation|Network Traffic: Network Connection Creation|Module: Module Load"
"T1021.004","SSH","https://attack.mitre.org/techniques/T1021/004","TA0008","att&ck","Adversaries may use [Valid Accounts](T1078) to log into remote machines using Secure Shell (SSH). The adversary may then perform actions as the logged-on user.","Use of SSH may be legitimate depending on the environment and how it’s used. Other factors, such as access patterns and activity that occurs after a remote login, may indicate suspicious or malicious behavior with SSH. Monitor for user accounts logged into systems they would not normally access or access patterns to multiple systems over a relatively short period of time.","Linux|macOS","Network Traffic: Network Connection Creation|Logon Session: Logon Session Creation|Process: Process Creation"
"T1021.005","VNC","https://attack.mitre.org/techniques/T1021/005","TA0008","att&ck","Adversaries may use [Valid Accounts](T1078) to remotely control machines using Virtual Network Computing (VNC).  VNC is a platform-independent desktop sharing system that uses the RFB (“remote framebuffer”) protocol to enable users to remotely control another computer’s display by relaying the screen, mouse, and keyboard inputs over the network.(Citation: The Remote Framebuffer Protocol)","Use of VNC may be legitimate depending on the environment and how it’s used. Other factors, such as access patterns and activity that occurs after a remote login, may indicate suspicious or malicious behavior using VNC.","Linux|macOS|Windows","Process: Process Creation|Logon Session: Logon Session Creation|Network Traffic: Network Connection Creation"
"T1021.006","Windows Remote Management","https://attack.mitre.org/techniques/T1021/006","TA0008","att&ck","Adversaries may use [Valid Accounts](T1078) to interact with remote systems using Windows Remote Management (WinRM). The adversary may then perform actions as the logged-on user.","Monitor use of WinRM within an environment by tracking service execution. If it is not normally used or is disabled, then this may be an indicator of suspicious behavior.  Monitor processes created and actions taken by the WinRM process or a WinRM invoked script to correlate it with other related events.(Citation: Medium Detecting Lateral Movement) Also monitor for remote WMI connection attempts (typically over port 5985 when using HTTP and 5986 for HTTPS).","Windows","Logon Session: Logon Session Creation|Service: Service Metadata|Process: Process Creation|Network Traffic: Network Connection Creation|Command: Command Execution"
"T1025","Data from Removable Media","https://attack.mitre.org/techniques/T1025","TA0009","att&ck","Adversaries may search connected removable media on computers they have compromised to find files of interest. Sensitive data can be collected from any removable media (optical disk drive, USB memory, etc.) connected to the compromised system prior to Exfiltration. Interactive command shells may be in use, and common functionality within [cmd](S0106) may be used to gather information.","Monitor processes and command-line arguments for actions that could be taken to collect files from a system's connected removable media. Remote access tools with built-in features may interact directly with the Windows API to gather data. Data may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).","Linux|macOS|Windows","Command: Command Execution|File: File Access"
"T1027","Obfuscated Files or Information","https://attack.mitre.org/techniques/T1027","TA0005","att&ck","Adversaries may attempt to make an executable or file difficult to discover or analyze by encrypting, encoding, or otherwise obfuscating its contents on the system or in transit. This is common behavior that can be used across different platforms and the network to evade defenses.","Detection of file obfuscation is difficult unless artifacts are left behind by the obfuscation process that are uniquely detectable with a signature. If detection of the obfuscation itself is not possible, it may be possible to detect the malicious activity that caused the obfuscated file (for example, the method that was used to write, read, or modify the file on the file system).","Linux|macOS|Windows","Process: OS API Execution|Command: Command Execution|File: File Creation|Module: Module Load|Process: Process Creation|File: File Metadata"
"T1027.001","Binary Padding","https://attack.mitre.org/techniques/T1027/001","TA0005","att&ck","Adversaries may use binary padding to add junk data and change the on-disk representation of malware. This can be done without affecting the functionality or behavior of a binary, but can increase the size of the binary beyond what some security tools are capable of handling due to file size limitations.","Depending on the method used to pad files, a file-based signature may be capable of detecting padding using a scanning or on-access based tool.  When executed, the resulting process from padded files may also exhibit other behavior characteristics of being used to conduct an intrusion such as system and network information Discovery or Lateral Movement, which could be used as event indicators that point to the source file.","Linux|macOS|Windows","File: File Metadata"
"T1027.002","Software Packing","https://attack.mitre.org/techniques/T1027/002","TA0005","att&ck","Adversaries may perform software packing or virtual machine software protection to conceal their code. Software packing is a method of compressing or encrypting an executable. Packing an executable changes the file signature in an attempt to avoid signature-based detection. Most decompression techniques decompress the executable code in memory. Virtual machine software protection translates an executable's original code into a special format that only a special virtual machine can run. A virtual machine is then called to run this code.(Citation: ESET FinFisher Jan 2018)","Use file scanning to look for known software packers or artifacts of packing techniques. Packing is not a definitive indicator of malicious activity, because legitimate software may use packing techniques to reduce binary size or to protect proprietary code.","macOS|Windows|Linux","File: File Metadata"
"T1027.003","Steganography","https://attack.mitre.org/techniques/T1027/003","TA0005","att&ck","Adversaries may use steganography techniques in order to prevent the detection of hidden information. Steganographic techniques can be used to hide data in digital media such as images, audio tracks, video clips, or text files.","Detection of steganography is difficult unless artifacts are left behind by the obfuscation process that are detectable with a known signature. Look for strings or other signatures left in system artifacts related to decoding steganography.","Linux|macOS|Windows","File: File Metadata"
"T1027.004","Compile After Delivery","https://attack.mitre.org/techniques/T1027/004","TA0005","att&ck","Adversaries may attempt to make payloads difficult to discover and analyze by delivering files to victims as uncompiled code. Text-based source code files may subvert analysis and scrutiny from protections targeting executables/binaries. These payloads will need to be compiled before execution; typically via native utilities such as csc.exe or GCC/MinGW.(Citation: ClearSky MuddyWater Nov 2018)","Monitor the execution file paths and command-line arguments for common compilers, such as csc.exe and GCC/MinGW, and correlate with other suspicious behavior to reduce false positives from normal user and administrator behavior. The compilation of payloads may also generate file creation and/or file write events. Look for non-native binary formats and cross-platform compiler and execution frameworks like Mono and determine if they have a legitimate purpose on the system.(Citation: TrendMicro WindowsAppMac) Typically these should only be used in specific and limited cases, like for software development.","Linux|macOS|Windows","Process: Process Creation|File: File Creation|Command: Command Execution|File: File Metadata"
"T1027.005","Indicator Removal from Tools","https://attack.mitre.org/techniques/T1027/005","TA0005","att&ck","Adversaries may remove indicators from tools if they believe their malicious tool was detected, quarantined, or otherwise curtailed. They can modify the tool by removing the indicator and using the updated version that is no longer detected by the target's defensive systems or subsequent targets that may use similar systems.","The first detection of a malicious tool may trigger an anti-virus or other security tool alert. Similar events may also occur at the boundary through network IDS, email scanning appliance, etc. The initial detection should be treated as an indication of a potentially more invasive intrusion. The alerting system should be thoroughly investigated beyond that initial alert for activity that was not detected. Adversaries may continue with an operation, assuming that individual events like an anti-virus detect will not be investigated or that an analyst will not be able to conclusively link that event to other activity occurring on the network.","Linux|macOS|Windows","Application Log: Application Log Content"
"T1027.006","HTML Smuggling","https://attack.mitre.org/techniques/T1027/006","TA0005","att&ck","Adversaries may smuggle data and files past content filters by hiding malicious payloads inside of seemingly benign HTML files. HTML documents can store large binary objects known as JavaScript Blobs (immutable data that represents raw bytes) that can later be constructed into file-like objects. Data may also be stored in Data URLs, which enable embedding media type or MIME files inline of HTML documents. HTML5 also introduced a download attribute that may be used to initiate file downloads.(Citation: HTML Smuggling Menlo Security 2020)(Citation: Outlflank HTML Smuggling 2018)","Detection of HTML Smuggling is difficult as HTML5 and JavaScript attributes are used by legitimate services and applications. HTML Smuggling can be performed in many ways via JavaScript, developing rules for the different variants, with a combination of different encoding and/or encryption schemes, may be very challenging.(Citation: Outlflank HTML Smuggling 2018) Detecting specific JavaScript and/or HTML5 attribute strings such as `Blob`, `msSaveOrOpenBlob`, and/or `download` may be a good indicator of HTML Smuggling. These strings may also be used by legitimate services therefore it is possible to raise false positives.","Windows|Linux|macOS","File: File Creation"
"T1027.007","Dynamic API Resolution","https://attack.mitre.org/techniques/T1027/007","TA0005","att&ck","Adversaries may obfuscate then dynamically resolve API functions called by their malware in order to conceal malicious functionalities and impair defensive analysis. Malware commonly uses various [Native API](T1106) functions provided by the OS to perform various tasks such as those involving processes, files, and other system artifacts.","","Windows","Module: Module Load|File: File Metadata|Process: OS API Execution"
"T1027.008","Stripped Payloads","https://attack.mitre.org/techniques/T1027/008","TA0005","att&ck","Adversaries may attempt to make a payload difficult to analyze by removing symbols, strings, and other human readable information. Scripts and executables may contain variables names and other strings that help developers document code functionality. Symbols are often created by an operating system’s `linker` when executable payloads are compiled. Reverse engineers use these symbols and strings to analyze code and to identify functionality in payloads.(Citation: Mandiant golang stripped binaries explanation)(Citation: intezer stripped binaries elf files 2018)","","macOS|Linux|Windows","File: File Metadata"
"T1027.009","Embedded Payloads","https://attack.mitre.org/techniques/T1027/009","TA0005","att&ck","Adversaries may embed payloads within other files to conceal malicious content from defenses. Otherwise seemingly benign files (such as scripts and executables) may be abused to carry and obfuscate malicious payloads and content. In some cases, embedded payloads may also enable adversaries to [Subvert Trust Controls](T1553) by not impacting execution controls such as digital signatures and notarization tickets.(Citation: Sentinel Labs)","","macOS|Windows|Linux","File: File Metadata|File: File Creation"
"T1029","Scheduled Transfer","https://attack.mitre.org/techniques/T1029","TA0010","att&ck","Adversaries may schedule data exfiltration to be performed only at certain times of day or at certain intervals. This could be done to blend traffic patterns with normal activity or availability.","Monitor process file access patterns and network behavior. Unrecognized processes or scripts that appear to be traversing file systems and sending network traffic may be suspicious. Network connections to the same destination that occur at the same time of day for multiple days are suspicious.","Linux|macOS|Windows","Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Flow"
