"sourcetype_name",vendor,product,category,domain,"data_type",apps,"data_model",description,support,docs,status,"use_cases",notes
"cisco:wsa*",Cisco,"Cisco Web Security Appliance (WSA)","IT Operations|Security Fraud and Compliance","Observability|Security","Network Traffic data",1747,"Network Traffic data",,splunk,"https://docs.splunk.com/Documentation/AddOns/released/CiscoWSA/Datatypes",Validated,,
"cisco:wsa:l4tm",Cisco,"Cisco Web Security Appliance (WSA)","IT Operations|Security Fraud and Compliance","Observability|Security","Network Traffic data",1747,"Network Traffic data","The Layer-4 Traffic Monitor logs for Cisco Web Security Appliance records all Layer-4 Traffic Monitor activity.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CiscoWSA/Datatypes",Validated,,
"cisco:wsa:prox_track",Cisco,,"DevOps|IT Operations",Observability,"Web Proxy data",5524,,,"not_supported","https://splunkbase.splunk.com/app/5524","Skip for now",,
"cisco:wsa:shd",Cisco,,"DevOps|IT Operations",Observability,"Web Proxy data",5524,,,"not_supported","https://splunkbase.splunk.com/app/5524","Skip for now",,"transforms.conf"
"cisco:wsa:squid*",Cisco,,"Investigative|Security Fraud and Compliance",Security,"Data Access data",1747,"Malware data|Web data",,"not_supported","https://splunkbase.splunk.com/app/1747|https://splunkbase.splunk.com/app/525",Validated,,
"cisco:wsa:squid*",Cisco,,"Investigative|Security Fraud and Compliance",Security,"Inventory data",1747,"Malware data|Web data",,"not_supported","https://splunkbase.splunk.com/app/1747|https://splunkbase.splunk.com/app/525",Validated,,
"cisco:wsa:squid*",Cisco,,"Investigative|Security Fraud and Compliance",Security,"Web Proxy data",1747,"Malware data|Web data",,"not_supported","https://splunkbase.splunk.com/app/1747|https://splunkbase.splunk.com/app/525",Validated,,
"cisco:wsa:squid:new",Cisco,"Cisco Web Security Appliance (WSA)","IT Operations|Security Fraud and Compliance","Observability|Security","Malware data",1747,"Web Proxy data","The access logs for Cisco Web Security Appliance in version 11.7, 11.8, and 12.5 record Web Proxy client history in squid.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CiscoWSA/Datatypes",Validated,,
"cisco:wsa:squid:new",Cisco,"Cisco Web Security Appliance (WSA)","IT Operations|Security Fraud and Compliance","Observability|Security","Web Proxy data",1747,"Web Proxy data","The access logs for Cisco Web Security Appliance in version 11.7, 11.8, and 12.5 record Web Proxy client history in squid.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CiscoWSA/Datatypes",Validated,,
"cisco:wsa:systemlogs",Cisco,,"DevOps|IT Operations",Observability,"Web Proxy data",5524,,,"not_supported","https://splunkbase.splunk.com/app/5524","Skip for now",,
"cisco:wsa:w3c",Cisco,,"Investigative|Security Fraud and Compliance",Security,"Data Access data",1747,"Malware data|Web data",,"not_supported","https://splunkbase.splunk.com/app/1747",Validated,,
"cisco:wsa:w3c",Cisco,,"Investigative|Security Fraud and Compliance",Security,"Inventory data",1747,"Malware data|Web data",,"not_supported","https://splunkbase.splunk.com/app/1747",Validated,,
"cisco:wsa:w3c",Cisco,,"Investigative|Security Fraud and Compliance",Security,"Web Proxy data",1747,"Malware data|Web data",,"not_supported","https://splunkbase.splunk.com/app/1747",Validated,,
"cisco:wsa:w3c:recommended",Cisco,"Cisco Web Security Appliance (WSA)","IT Operations|Security Fraud and Compliance","Observability|Security","Malware data",1747,"Web Proxy data","The access logs for Cisco Web Security Appliance record Web Proxy client history in W3C format.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CiscoWSA/Datatypes",Validated,,
"cisco:wsa:w3c:recommended",Cisco,"Cisco Web Security Appliance (WSA)","IT Operations|Security Fraud and Compliance","Observability|Security","Web Proxy data",1747,"Web Proxy data","The access logs for Cisco Web Security Appliance record Web Proxy client history in W3C format.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CiscoWSA/Datatypes",Validated,,
