"check_name",category,component,limitation,"limit_classic","limit_victoria","limit_victoria_core","limit_victoria_premium",info
"indexing_index_counts","Data Ingress","Active indexes",,700,2500,,,"This is the maximum tested limit for the number of active indexes per Splunk Cloud Platform environment. If you exceed this soft service limit, you may experience issues."
"ingest_processor_pipelines","Ingest Processor","Maximum number of pipelines per tenant","50 pipelines for either Essentials tier or Premier tier",50,50,,,"Maximum number of pipelines per tenant for Ingest Processor. For more information on Ingest Processor subscription tiers, see Subscriptions in the Use Ingest Processors manual."
"ingest_processor_queues","Ingest Processor","Persistent queue at destination","3 days Essentials tier / 14 days Premier tier",3,3,,,"Ingest Processor supports persistent queues (PQ) alongside in-memory queues to prevent data loss during system congestion. For more information, see Persistent queues in the Use Ingest Processors manual. For more information on Ingest Processor subscription tiers, see Subscriptions in the Use Ingest Processors"" manual."
"licensing_premium_app_balanced",Search,"Search Concurrency",,20,20,,,"Check if still needed."
"search_bundle_size",Search,"Knowledge Bundle replication size","3 GB",3000,3000,,,"This is the hard limit of the maximum Knowledge Bundle replication size. If the Knowledge Bundle exceeds this service limit, the search tier will not push the bundle to the indexer tier. Searches on the indexer tier will instead use the previously pushed bundle, which will be within the size limit."
"search_core_concurrency_limit",Search,"Maximum search concurrency per Splunk Cloud Platform environment.","400 for entitlement of more than 900 SVC or 7 TB",400,400,,,"This is the standard limit to the number of ad hoc and scheduled searches that Splunk Cloud Platform environment can concurrently admit as tracked in metrics.log. Search concurrency limits apply to searches initiated either from the Cloud search tier or from on-premises hybrid and federated search heads.  If you require search concurrency beyond the standard limit, you may be able to do so through optimizing your existing search workload or by contacting your Splunk sales representative to increase your SVC entitlement. For more information on setting percentages of concurrency for scheduled and summarization searches, see Configure Search Settings in Splunk Cloud Platform."
"search_es_concurrency_limit","Enterprise Security","Maximum ES search concurrency per Splunk Cloud Platform environment","150 for Victoria experience / 78 for Classic experience",78,150,,,"When you add an Enterprise Security subscription to Splunk Cloud Platform, additional search processes are available for it that are in addition to the search concurrency included in the Splunk Cloud Platform subscription. This is the standard limit to the number of searches that Enterprise Security can concurrently admit as tracked in metrics.log. If you require ES search concurrency beyond the standard limit, you may be able to do so through optimizing your existing search workload or by contacting your Splunk sales representative to increase your SVC entitlement."
"search_es_correlation_rules","Enterprise Security","Correlation Searches","600 for Victoria experience / 600 for Classic experience",600,600,,,"This was the limit tested for Enterprise Security on Splunk Cloud Platform. Note that there are different service limits for the Victoria and Classic experiences. A correlation search is a type of scheduled search. Correlation searches are a part of Enterprise Security, and are used to generate notable events or execute other adaptive response actions. If your use case exceeds the tested limit and is deemed to be causing performance issues, the remediation is to change the configured limit to no more than the tested limit. See Correlation search overview for Splunk Enterprise Security."
"search_es_daily_searches","Enterprise Security","Total ES daily searches","840,000 searches/day for entitlement of more than 166 SVC or 1 TB for Victoria Experience",840000,840000,,,"This is the maximum tested limit of Enterprise Security specific searches that can be executed successfully in a well-tuned system.  If you exceed this soft service limit, you may experience issues with scheduled search completion. Note that other factors such as search concurrency limit or the nature of searches may additionally limit the number of successful searches that run."
"search_es_dma_limits","Enterprise Security","Data Models","95 for Victoria experience / 75 for Classic experience",75,95,,,"This was the limit tested for Enterprise Security on Splunk Cloud Platform. Note that there are different service limits for the Victoria and Classic experiences. Data models and data model acceleration are critical components of Enterprise Security. To provide the best experience possible for customers, we suggest a maximum of 9 accelerated models. The most common data models deployed are: Change, Endpoint, Authentication, Intrusion Detection, Network Sessions, Network Resolution, Network Traffic, Web, and Performance. If your use case exceeds the tested limit and is deemed to be causing performance issues, the remediation is to change the configured limit to no more than the tested limit. See Configure data models for Splunk Enterprise Security."
"search_itsi_aggregation_limits","IT Service Intelligence","Event Analytics / Notable Event Aggregation Policies",100,100,100,,,"You can configure up to 100 Notable Event Aggregation Policies with 50/50 division between time-based and non-time-based NEAPs."
"search_itsi_alert_ingest_limits","IT Service Intelligence","Event analytics / Alert Ingestion","100,000 alerts per minute",100000,100000,,,"You can ingest up to 100,000 alerts per minute into Event Analytics with your Correlation Searches."
"search_itsi_concurrency_limit","IT Service Intelligence","Total Search Concurrency",150,150,150,,,"When you add an IT Service Intelligence subscription to Splunk Cloud Platform, additional search processes are available for it. This starting point scales up at higher ingestion rates and also for workload-based subscriptions."
"search_itsi_correlation_search_limits","IT Service Intelligence","Event Analytics / Correlation Searches",100,100,100,,,"You can configure up to 100 Correlation Searches."
"search_itsi_service_limits","IT Service Intelligence","Event analytics / Services",5000,5000,5000,,,"Check if still needed."
"search_itsi_service_template_limits_1","IT Service Intelligence","Service Insights / Service Templates","1000 Services per Service Template (having 5 KPIs and 40 Entities)",1000,1000,,,"You can configure up to 1000 Services per Service Template if the Service Template is configured with the 5 KPIs and 40 Entities."
"search_itsi_service_template_limits_2","IT Service Intelligence","Service Insights / Service Templates","300 Services per Service Template (having 10 KPIs and 150 Entities)",300,300,,,"You can configure up to 300 Services per Service Template if the Service Template is configured with the 10 KPIs and 150 Entities."
"search_itsi_service_template_limits_3","IT Service Intelligence","Service Insights / Service Templates","600 Services per Service Template (having 10 KPIs and 75 Entities)",600,600,,,"You can configure up to 600 Services per Service Template if the Service Template is configured with the 10 KPIs and 75 Entities."
"search_join_command",Search,"join command for subsearch","50,000",50000,50000,,,"The join command combines the results of a subsearch with the results of a main search. This limit is the maximum number of result rows in the output of a subsearch that can be joined against a main search. For more information, see the join command in the Splunk Cloud Platform Search Reference."
"search_scheduled_jobs_1",Search,"Scheduled search","700,000 searches/day for entitlement of less than 166 SVC",700000,700000,,,"This is the maximum tested limit of scheduled searches that can be scheduled successfully. Note the subscription tiers and applicable service limit.  If you exceed this soft service limit, you may experience issues with scheduled search completion. Note that other factors such as search concurrency limit or the nature of searches may additionally limit the number of successful scheduled searches that run."
"search_scheduled_jobs_2",Search,"Scheduled search","1.5 M searches/day entitlement of more than 166 SVC",1500000,1500000,,,"This is the maximum tested limit of scheduled searches that can be scheduled successfully. Note the subscription tiers and applicable service limit.  If you exceed this soft service limit, you may experience issues with scheduled search completion. Note that other factors such as search concurrency limit or the nature of searches may additionally limit the number of successful scheduled searches that run."
"search_search_concurrency",Search,"Search Concurrency",,,,390,78,"Check if still needed."
"search_search_concurrency_premium",,"Search concurrency per Premium Solution listed below: Splunk App for Microsoft Exchange, Splunk App for VMware",38,38,38,,,"When you add these Premium Apps subscriptions to Splunk Cloud Platform, additional search processes are available for each Premium App. These search processes are exclusive to the Premium Solution subscription."
"search_search_concurrency_stats",Search,"Search Concurrency",,,,390,78,"Check if still needed."
"search_wlm_limits","Workload Management","Workload Rules",100,100,100,,,"You can configure up to 100 Workload Rules."
"users_admin_users",Environment,Other,,10,10,,,"Check if still needed."
