"use_case","use_case_type",classification,"sub_classification","lantern_data_type",category,"sub_category",domain,"data_model","data_type",apps,url,"parent_use_case","parent_url",vertical,docs,status,notes,"created_by","last_updated","related_use_cases",description
"ATM withdrawal testing","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/1530","Detecting ATM fraud","https://lantern.splunk.com/@go/page/1532","Financial Services and Insurance",,"Data Required Unclear",,,,,
"Access to unencrypted resources","Analytic Capability","Digital Resilience","Foundational Visibility","Web proxy",Compliance,,Security,,"Network Firewall data",,"https://lantern.splunk.com/@go/page/1229","Running common General Data Protection Regulation (GDPR) compliance searches","https://lantern.splunk.com/@go/page/521","Industry Neutral",,Active,,,,,
"Access to unencrypted resources","Analytic Capability","Digital Resilience","Foundational Visibility","Web proxy",Compliance,,Security,,"Web Proxy data",,"https://lantern.splunk.com/@go/page/1229","Running common General Data Protection Regulation (GDPR) compliance searches","https://lantern.splunk.com/@go/page/521","Industry Neutral",,Active,,,,,
"Activity from expired user identity","Analytic Capability","Digital Resilience","Foundational Visibility",Authentication,Compliance,,Security,,"Authentication data",,"https://lantern.splunk.com/@go/page/546","Running common General Data Protection Regulation (GDPR) compliance searches","https://lantern.splunk.com/@go/page/521","Industry Neutral",,Active,,,,,
"Activity from expired user identity","Analytic Capability","Digital Resilience","Foundational Visibility",Authentication,Compliance,,Security,,"Microsoft:Windows Security Logs data",,"https://lantern.splunk.com/@go/page/546","Running common General Data Protection Regulation (GDPR) compliance searches","https://lantern.splunk.com/@go/page/521","Industry Neutral",,Active,,,,,
"Adding business context to multi-step customer transactions",,,,,,,,,,,"https://lantern.splunk.com/Observability/UCE/Proactive_response/Improve_User_Experiences/Adding_business_context_to_multi-step_customer_transactions",,,,,,,,,,
"Algorithmically generated domain names","Analytic Capability","Digital Resilience","Guided Insights","Network firewall","Threat Hunting",,Security,,"Network Firewall data",,"https://lantern.splunk.com/@go/page/813","Detecting the use of randomization in cyberattacks","https://lantern.splunk.com/@go/page/735","Industry Neutral",,Active,,,,,
"All Windows events on a host","Analytic Capability","Digital Resilience","Foundational Visibility","Event signatures","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/1756","Maintaining Microsoft Windows systems with the Splunk platform","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops/Maintaining_Microsoft_Windows_systems_with_the_Splunk_platform","Industry Neutral",,Active,,,,,
"All Windows events on a host","Analytic Capability","Digital Resilience","Foundational Visibility","Event signatures","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Updates data",,"https://lantern.splunk.com/@go/page/1756","Maintaining Microsoft Windows systems with the Splunk platform","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops/Maintaining_Microsoft_Windows_systems_with_the_Splunk_platform","Industry Neutral",,Active,,,,,
"All logs and events on a *nix host","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Linux and Unix data",,"https://lantern.splunk.com/@go/page/2781","Maintaining *nix systems with the Splunk platform","https://lantern.splunk.com/@go/page/630","Industry Neutral",,Active,,,,,
"Analyzing AWS service action errors","Analytic Capability","Digital Resilience","Foundational Visibility","Cloud services",Compliance,,Security,,"AWS:CloudTrail data",,"https://lantern.splunk.com/@go/page/928",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Analyzing credit limit increase requests","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/@go/page/2753",,,"Financial Services and Insurance",,Active,,,,,
"Analyzing credit limit increase requests","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/2753",,,"Financial Services and Insurance",,Active,,,,,
"Analyzing telecommunications subscriber services","Analytic Capability",Platform,,"Call detail",Industry,"Technology, Communications, and Media",Platform,,"Call Detail Record data",,"https://lantern.splunk.com/@go/page/6346",,,"Technology, Communications, and Media",,Active,,,,,
"Analyzing telecommunications subscriber services","Analytic Capability",Platform,,"Call detail",Industry,"Technology, Communications, and Media",Platform,,"Content Delivery Network data",,"https://lantern.splunk.com/@go/page/6346",,,"Technology, Communications, and Media",,Active,,,,,
"Analyzing wire data from databases","Analytic Use Case","Digital Resilience","Foundational Visibility",Database,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Database data",,"https://lantern.splunk.com/@go/page/633","Troubleshoot Mission Critical Apps and Infrastructure","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops","Industry Neutral",,Active,,,,,
"Anomaly probability calculation with JA3/JA3s hashes","Analytic Capability","Digital Resilience","Guided Insights","Deep packet inspection","Threat Hunting",,Security,,"Deep Packet Inspection data",,"https://lantern.splunk.com/@go/page/2572","Detecting software supply chain attacks","https://lantern.splunk.com/@go/page/2568","Industry Neutral",,Active,,,,,
"Application error tracking",Capability,"Digital Resilience Journey","Foundational Visibility",,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Foundational_Visibility/IT_Ops/Monitoring_web_application_performance/Application_error_tracing",,,,,,,,,,
"Applying Benford's law of distribution to spot fraud","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/@go/page/7542","Financial Fraud",,"Financial Services and Insurance",,Active,,,,,
"Applying Benford's law of distribution to spot fraud","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/7542","Financial Fraud",,"Financial Services and Insurance",,Active,,,,,
"Applying Zipf's law in fraud detection","Analytic Capability",Platform,,Financial,"Financial Services and Insurance","Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/@go/page/7974","Financial Fraud",,"Financial Services and Insurance",,Active,,,,,
"Applying Zipf's law in fraud detection","Analytic Capability",Platform,,Financial,"Financial Services and Insurance","Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/7974","Financial Fraud",,"Financial Services and Insurance",,Active,,,,,
"Assessing and expanding MITRE ATT&CK coverage in Splunk Enterprise Security","Technical Capability","Digital Resilience","Guided Insights","N/A","Leverage Cyber Frameworks",,Security,,"N/A",,"https://lantern.splunk.com/@go/page/5874","Leverage Cyber Security Frameworks","https://lantern.splunk.com/Security/UCE/Guided_Insights/Cyber_frameworks","Industry Neutral",,Active,,,,,
"Assessing the financial impact of eCommerce checkout errors","Analytic Capability","Digital Resilience","Foundational Visibility",Financial,"Optimize Cloud Monitoring",,Observability,,"Application data",,"https://lantern.splunk.com/@go/page/2228","Optimize Cloud Monitoring","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud","Industry Neutral",,Active,,,,,
"Assessing the financial impact of eCommerce checkout errors","Analytic Capability","Digital Resilience","Foundational Visibility",Financial,"Optimize Cloud Monitoring",,Observability,,"Financial data",,"https://lantern.splunk.com/@go/page/2228","Optimize Cloud Monitoring","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud","Industry Neutral",,Active,,,,,
"Auditing with the Splunk App for PCI Compliance","Technical Capability","Digital Resilience","Foundational Visibility",Financial,Compliance,,Security,,"Application data",,"https://lantern.splunk.com/@go/page/6601",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Auditing with the Splunk App for PCI Compliance","Technical Capability","Digital Resilience","Foundational Visibility",Financial,Compliance,,Security,,"Financial data",,"https://lantern.splunk.com/@go/page/6601",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Automating Know Your Customer continuous monitoring requirements","Technical Capability","Digital Resilience","Foundational Visibility",Financial,Compliance,,Security,,"Application data",,"https://lantern.splunk.com/@go/page/7097",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Automating Know Your Customer continuous monitoring requirements","Technical Capability","Digital Resilience","Foundational Visibility",Financial,Compliance,,Security,,"Financial data",,"https://lantern.splunk.com/@go/page/7097",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Automating alert investigations by integrating LLMs with the Splunk platform and Confluence",,,,,,,,,,,"https://lantern.splunk.com/Observability/UCE/Foundational_Visibility/IT_Ops/Automating_alert_investigations_by_integrating_LLMs_with_the_Splunk_platform_and_Confluence",,,,,,,,,,
"Automating the investigation of emails for malicious content","Technical Capability","Digital Resilience","Proactive Response",Email,"Automate Threat Analysis",,Security,,"SOAR data",,"https://lantern.splunk.com/@go/page/7832","Automate Threat Analysis","https://lantern.splunk.com/Security/UCE/Proactive_Response/Automate_threat_analysis","Industry Neutral",,Active,,,,,
"Azure Active Directory audit events","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Active Directory data",,"https://lantern.splunk.com/@go/page/664","Managing Azure cloud infrastructure","https://lantern.splunk.com/@go/page/627","Industry Neutral",,Active,,,,,
"Azure Active Directory users with no access for extended periods","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Active Directory data",,"https://lantern.splunk.com/@go/page/4357","Managing Azure cloud infrastructure","https://lantern.splunk.com/@go/page/627","Industry Neutral",,Active,,,,,
"Azure critical infrastructure health","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Azure Metrics data",,"https://lantern.splunk.com/@go/page/4368","Managing Azure cloud infrastructure","https://lantern.splunk.com/@go/page/627","Industry Neutral",,Active,,,,,
"Azure load balancers with no healthy instances","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Azure data",,"https://lantern.splunk.com/@go/page/4358","Managing Azure cloud infrastructure","https://lantern.splunk.com/@go/page/627","Industry Neutral",,Active,,,,,
"Azure public storage blobs with anonymous access traffic","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Azure Blob Storage data",,"https://lantern.splunk.com/@go/page/4361","Managing Azure cloud infrastructure","https://lantern.splunk.com/@go/page/627","Industry Neutral",,Active,,,,,
"Azure public storage blobs with anonymous access traffic","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Azure Event Hub data",,"https://lantern.splunk.com/@go/page/4361","Managing Azure cloud infrastructure","https://lantern.splunk.com/@go/page/627","Industry Neutral",,Active,,,,,
"Azure resources with no associated tags","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Azure Resource data",,"https://lantern.splunk.com/@go/page/665","Managing Azure cloud infrastructure","https://lantern.splunk.com/@go/page/627","Industry Neutral",,Active,,,,,
"Azure security policy review","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Azure Security Center data",,"https://lantern.splunk.com/@go/page/666","Managing Azure cloud infrastructure","https://lantern.splunk.com/@go/page/627","Industry Neutral",,Active,,,,,
"Azure storage blobs made public and by who","Analytic Capability","Digital Resilience","Foundational Visibility",Change,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Azure Active Directory data",,"https://lantern.splunk.com/@go/page/4360","Managing Azure cloud infrastructure","https://lantern.splunk.com/@go/page/627","Industry Neutral",,Active,,,,,
"Azure storage blobs made public and by who","Analytic Capability","Digital Resilience","Foundational Visibility",Change,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Azure Blob Storage data",,"https://lantern.splunk.com/@go/page/4360","Managing Azure cloud infrastructure","https://lantern.splunk.com/@go/page/627","Industry Neutral",,Active,,,,,
"Badge activity monitoring","Analytic Capability","Digital Resilience","Foundational Visibility","Physical card readers","Security Monitoring",,Security,,"Call Detail Record data",,"https://lantern.splunk.com/@go/page/2446","Monitoring badges for facilities access","https://lantern.splunk.com/@go/page/2448","Industry Neutral",,Active,,,,,
"Badge activity monitoring","Analytic Capability","Digital Resilience","Foundational Visibility","Physical card readers","Security Monitoring",,Security,,"Physical Card Reader data",,"https://lantern.splunk.com/@go/page/2446","Monitoring badges for facilities access","https://lantern.splunk.com/@go/page/2448","Industry Neutral",,Active,,,,,
"Badge activity monitoring","Analytic Capability","Digital Resilience","Foundational Visibility","Physical card readers","Security Monitoring",,Security,,"Physical Security data",,"https://lantern.splunk.com/@go/page/2446","Monitoring badges for facilities access","https://lantern.splunk.com/@go/page/2448","Industry Neutral",,Active,,,,,
"Badge readers with abnormally high read failures","Analytic Capability","Digital Resilience","Foundational Visibility","Physical card readers","Security Monitoring",,Security,,"Call Detail Record data",,"https://lantern.splunk.com/@go/page/2466","Monitoring badges for facilities access","https://lantern.splunk.com/@go/page/2448","Industry Neutral",,Active,,,,,
"Badge readers with abnormally high read failures","Analytic Capability","Digital Resilience","Foundational Visibility","Physical card readers","Security Monitoring",,Security,,"Physical Card Reader data",,"https://lantern.splunk.com/@go/page/2466","Monitoring badges for facilities access","https://lantern.splunk.com/@go/page/2448","Industry Neutral",,Active,,,,,
"Baseline of user logon times","Analytic Capability","Digital Resilience","Foundational Visibility","Event signatures","Incident Management",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/772","Creating a timebound picture of network activity","https://lantern.splunk.com/@go/page/722","Industry Neutral",,Active,,,,,
"Baseline of user logon times","Analytic Capability","Digital Resilience","Foundational Visibility","Event signatures","Incident Management",,Security,,"Microsoft:Windows Security Logs data",,"https://lantern.splunk.com/@go/page/772","Creating a timebound picture of network activity","https://lantern.splunk.com/@go/page/722","Industry Neutral",,Active,,,,,
"Bcdedit boot recovery modifications","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2868","Detecting a ransomware attack","http://lantern.splunk.com/@go/cid/AdoptionBoardRansomware","Industry Neutral",,Active,,,,,
"Blocked traffic from host","Analytic Capability","Digital Resilience","Foundational Visibility","Network firewall","Security Monitoring",,Security,,"Network Firewall data",,"https://lantern.splunk.com/@go/page/820","Managing Firewall Rules","https://lantern.splunk.com/@go/page/736","Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Blocked traffic to host","Analytic Capability","Digital Resilience","Foundational Visibility","Network firewall","Security Monitoring",,Security,,"Network Firewall data",,"https://lantern.splunk.com/@go/page/818","Managing Firewall Rules","https://lantern.splunk.com/@go/page/736","Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Building a data-driven law enforcement strategy",,,,,,,,,,,"https://lantern.splunk.com/Splunk_Platform/UCE/Public_Sector/Building_a_data-driven_law_enforcement_strategy",,,,,,,,,,
"CPU utilization of Elastic Compute Cloud (EC2) instances","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:CloudWatch data",,"https://lantern.splunk.com/@go/page/2829","Managing an Amazon Web Services environment","https://lantern.splunk.com/@go/page/625","Industry Neutral",,Active,,,,,
"Call failure statistics","Analytic Capability",Platform,,"Call detail",Industry,"Technology, Communications, and Media",Platform,,"Call Detail Record data",,"https://lantern.splunk.com/@go/page/2351","Monitoring key telecommunications service metrics","https://lantern.splunk.com/@go/page/2350","Technology, Communications, and Media",,Active,,,,,
"Capacity utilization runway in Dell Isilon NAS","Analytic Capability","Digital Resilience","Foundational Visibility",Storage,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Storage data",,"https://lantern.splunk.com/@go/page/689","Managing Dell Isilion network attached storage","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops/Managing_Dell_Isilon_network_attached_storage","Industry Neutral",,Active,,,,,
"Carrier performance analysis",Capability,Platform,,,Industry,Manufacturing,Platform,,,,"https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing/Optimizing_your_inventory/Carrier_performance_analysis",,,,,,,,,,
"Changes in DNS record type queries","Analytic Capability","Digital Resilience","Guided Insights","Network resolution","Threat Hunting",,Security,,"Network Resolution data",,"https://lantern.splunk.com/@go/page/724","Monitoring a network for DNS exfiltration","http://lantern.splunk.com/@go/cid/AdoptionBoardDNS","Industry Neutral",,Active,,,,,
"Changes made to AWS cloud infrastructure","Analytic Capability","Digital Resilience","Foundational Visibility","Cloud services","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:CloudTrail data",,"https://lantern.splunk.com/@go/page/651","Managing an Amazon Web Services environment","https://lantern.splunk.com/@go/page/625","Industry Neutral",,Active,,,,,
"Checking for files created on a system","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/2432","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Cluster throughput in Dell Isilon NAS","Analytic Capability","Digital Resilience","Foundational Visibility",Storage,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Storage data",,"https://lantern.splunk.com/@go/page/691","Managing Dell Isilion network attached storage","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops/Managing_Dell_Isilon_network_attached_storage","Industry Neutral",,Active,,,,,
"Common AWS resource tags and tag values","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:Description data",,"https://lantern.splunk.com/@go/page/2832","Managing an Amazon Web Services environment","https://lantern.splunk.com/@go/page/625","Industry Neutral",,Active,,,,,
"Complying with the HIPAA Security Rule for ePHI","Analytic Use Case",Platform,,"Medical device",Industry,Healthcare,Platform,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2889","Is Top Level Parent",,Healthcare,,Active,,,,,
"Complying with the HIPAA Security Rule for ePHI","Analytic Use Case",Platform,,"Medical device",Industry,Healthcare,Platform,,"Medical Device data",,"https://lantern.splunk.com/@go/page/2889","Is Top Level Parent",,Healthcare,,Active,,,,,
"Complying with the Markets in Financial Instruments Directive II","Analytic Use Case","Digital Resilience","Foundational Visibility",SNMP,Compliance,,Security,,SNMP,,"https://lantern.splunk.com/@go/page/2272",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Financial Services and Insurance",,Active,,,,,
"Configure ITSI correlation searches for monitoring episodes",Capability,"Digital Resilience Journey","Foundational Visibility",,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Guided_Insights/Reduce_Noise/Managing_the_lifecycle_of_an_alert%3A_from_detection_to_remediation/Configuring_ITSI_correlation_searches_for_monitoring_episodes",,,,,,,,,,
"Configure a Universal Correlation Search to create notable events",Capability,"Digital Resilience Journey","Foundational Visibility",,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Guided_Insights/Reduce_Noise/Managing_the_lifecycle_of_an_alert%3A_from_detection_to_remediation/Configuring_the_Universal_Correlation_Search_to_create_notable_events",,,,,,,,,,
"Configure action rules in the ITSI Notable Event Aggregation Policy for Splunk On-Call Integration.",Capability,"Digital Resilience Journey","Foundational Visibility",,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Guided_Insights/Reduce_Noise/Managing_the_lifecycle_of_an_alert%3A_from_detection_to_remediation/Configuring_action_rules_in_the_ITSI_Notable_Event_Aggregation_Policy_for_Splunk_On-Call_Integration",,,,,,,,,,
"Configure the ITSI Notable Event Aggregation Policy (NEAP)",Capability,"Digital Resilience Journey","Foundational Visibility",,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Guided_Insights/Reduce_Noise/Managing_the_lifecycle_of_an_alert%3A_from_detection_to_remediation/Configuring_the_ITSI_Notable_Event_Aggregation_Policy",,,,,,,,,,
"Configure the Splunk On-Call integration with IT Service Intelligence",Capability,"Digital Resilience Journey","Foundational Visibility",,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Guided_Insights/Reduce_Noise/Managing_the_lifecycle_of_an_alert%3A_from_detection_to_remediation/Configuring_the_Splunk_On-Call_integration_with_IT_Service_Intelligence",,,,,,,,,,
"Confirmation of a failed browser test step","Analytic Capability","Digital Resilience","Foundational Visibility","Synthetic monitoring","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Synthetic Monitoring data",,"https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences/Running_Synthetics_browser_tests/Confirmation_of_a_failed_browser_test_step","Running Synthetics browser tests","https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences/Running_Synthetics_browser_tests","Industry Neutral",,Active,,,,,
"Connections between network devices and an individual machine","Analytic Capability","Digital Resilience","Foundational Visibility",Endpoint,"Incident Management",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/791","Investigating a ransomware attack","https://lantern.splunk.com/@go/page/725","Industry Neutral",,Active,"Removed System Log data",,,,
"Countries with the highest and lowest call volumes","Analytic Capability",Platform,,"Call detail",Industry,"Technology, Communications, and Media",Platform,,"Call Detail Record data",,"https://lantern.splunk.com/@go/page/2370","Monitoring key telecommunications service metrics","https://lantern.splunk.com/@go/page/2350","Technology, Communications, and Media",,Active,,,,,
"Creating SLOs and tracking error budgets with SignalFlow","Technical Capability","Digital Resilience","Guided Insights",Performance,"Debug Problems in Microservices",,,,Performance,,"https://lantern.splunk.com/@go/page/4558",,,"Industry Neutral",,Active,,,,,
"Creating a suspect list with cell tower data","Analytic Capability",Platform,,"Call detail",Industry,"Public Sector",Platform,,"Call Detail Record data",,"https://lantern.splunk.com/@go/page/6479",,,"Public Sector",,Active,,,,,
"Creating a timebound picture of network activity","Analytic Use Case","Digital Resilience","Foundational Visibility","User activity logs","Incident Management",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/722","Is Top Level Parent","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,"Removed System Log data",,,,
"Creating a timebound picture of network activity","Analytic Use Case","Digital Resilience","Foundational Visibility","User activity logs","Incident Management",,Security,,"Microsoft:Windows Security Logs data",,"https://lantern.splunk.com/@go/page/722","Is Top Level Parent","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,"Removed System Log data",,,,
"Creating an incident workflow in Splunk Enterprise Security",Capability,"Digital Resilience Journey","Foundational Visibility",,"Incident Management",,Security,,,,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Incident_management/Creating_an_incident_workflow_in_Splunk_Enterprise_Security",,,,,,,,,,
"Critical AWS Lambda metrics","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:CloudWatch data",,"https://lantern.splunk.com/@go/page/2848","Managing an Amazon Web Services environment","https://lantern.splunk.com/@go/page/625","Industry Neutral",,Active,,,,,
"Current AWS Elastic Compute Cloud (EC2) instances","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:Description data",,"https://lantern.splunk.com/@go/page/653","Managing an Amazon Web Services environment","https://lantern.splunk.com/@go/page/625","Industry Neutral",,Active,,,,,
"Current AWS elastic block store volumes","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:Description data",,"https://lantern.splunk.com/@go/page/652","Managing an Amazon Web Services environment","https://lantern.splunk.com/@go/page/625","Industry Neutral",,Active,,,,,
