dashboard,capability,capability_description,domain,expanded_guidance,ext_link,ext_product,icon,name,level,practice_description,visible
AC_11-1_1_rmf,AC-11(1),Device Lock | Pattern-hiding Displays,Access Control,,,,fas fa-user-lock,AC-11(1).1,,"The information system conceals, via the session lock, information previously visible on the display with a publicly viewable image.",TRUE
AC_11_2_rmf,AC-11,Device Lock,Access Control,,,,fas fa-user-lock,AC-11.2,,The information system provides the capability for users to directly initiate session lock mechanisms.,TRUE
AC_11_3_rmf,AC-11,Device Lock,Access Control,,,,fas fa-user-lock,AC-11.3,,The organization defines the time period of inactivity after which the information system initiates a session lock.,TRUE
AC_11_4_rmf,AC-11,Device Lock,Access Control,,,,fas fa-user-lock,AC-11.4,,The information system retains the session lock until the user reestablishes access using established identification and authentication procedures.,TRUE
AC_12-1_1_rmf,AC-12(1),Session Termination | User-initiated Logouts,Access Control,,,,fas fa-user-lock,AC-12(1).1,,The organization defines the resources requiring information system authentication in order to gain access.,TRUE
AC_12-1_2_rmf,AC-12(1),Session Termination | User-initiated Logouts,Access Control,,,,fas fa-user-lock,AC-12(1).2,,The information system provides a logout capability for user-initiated communications sessions whenever authentication is used to gain access to organization-defined information resources.,TRUE
AC_12-1_3_rmf,AC-12(1),Session Termination | User-initiated Logouts,Access Control,,,,fas fa-user-lock,AC-12(1).3,,The information system displays an explicit logout message to users indicating the reliable termination of authenticated communications sessions.,TRUE
AC_12_1_rmf,AC-12,Session Termination,Access Control,,,,fas fa-user-lock,AC-12.1,,The organization defines the conditions or trigger events requiring session disconnect to be employed by the information system when automatically terminating a user session.,TRUE
AC_12_2_rmf,AC-12,Session Termination,Access Control,,,,fas fa-user-lock,AC-12.2,,The information system automatically terminates a user session after organization-defined conditions or trigger events requiring session disconnect.,TRUE
AC_14_1_rmf,AC-14,Permitted Actions Without Identification or Authentication,Access Control,,,,fas fa-user-lock,AC-14.1,,The organization identifies and defines organization-defined user actions that can be performed on the information system without identification or authentication consistent with organizational missions/business functions.,TRUE
AC_14_2_rmf,AC-14,Permitted Actions Without Identification or Authentication,Access Control,,,,fas fa-user-lock,AC-14.2,,"The organization documents and provides supporting rationale in the security plan for the information system, user actions not requiring identification and authentication.",TRUE
AC_16-1_1_rmf,AC-16(1),Security and Privacy Attributes | Dynamic Attribute Association,Access Control,,,,fas fa-user-lock,AC-16(1).1,,The information system dynamically associates security attributes with organization-defined subjects in accordance with organization-defined security policies as information is created and combined.,TRUE
AC_16-1_2_rmf,AC-16(1),Security and Privacy Attributes | Dynamic Attribute Association,Access Control,,,,fas fa-user-lock,AC-16(1).2,,The information system dynamically associates security attributes with organization-defined objects in accordance with organization-defined security policies as information is created and combined.,TRUE
AC_16-1_3_rmf,AC-16(1),Security and Privacy Attributes | Dynamic Attribute Association,Access Control,,,,fas fa-user-lock,AC-16(1).3,,The organization defines the security policies the information system is to adhere to when dynamically associating security attributes with organization-defined subjects and objects.,TRUE
AC_16-1_4_rmf,AC-16(1),Security and Privacy Attributes | Dynamic Attribute Association,Access Control,,,,fas fa-user-lock,AC-16(1).4,,The organization defines the subjects with which the information system is to dynamically associate security attributes as information is created and combined.,TRUE
AC_16-1_5_rmf,AC-16(1),Security and Privacy Attributes | Dynamic Attribute Association,Access Control,,,,fas fa-user-lock,AC-16(1).5,,The organization defines the objects with which the information system is to dynamically associate security attributes as information is created and combined.,TRUE
AC_16-10_1_rmf,AC-16(10),Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,Access Control,,,,fas fa-user-lock,AC-16(10).1,,The organization identifies individuals authorized to define or change the type and value of security attributes available for association with subjects and objects.,TRUE
AC_16-10_2_rmf,AC-16(10),Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,Access Control,,,,fas fa-user-lock,AC-16(10).2,,The information system provides authorized individuals the capability to define or change the type of security attributes available for association with subjects.,TRUE
AC_16-10_3_rmf,AC-16(10),Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,Access Control,,,,fas fa-user-lock,AC-16(10).3,,The information system provides authorized individuals the capability to define or change the value of security attributes available for association with subjects.,TRUE
AC_16-10_4_rmf,AC-16(10),Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,Access Control,,,,fas fa-user-lock,AC-16(10).4,,The information system provides authorized individuals the capability to define or change the type of security attributes available for association with objects.,TRUE
AC_16-10_5_rmf,AC-16(10),Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,Access Control,,,,fas fa-user-lock,AC-16(10).5,,The information system provides authorized individuals the capability to define or change the value of security attributes available for association with objects.,TRUE
AC_16-2_1_rmf,AC-16(2),Security and Privacy Attributes | Attribute Value Changes by Authorized Individuals,Access Control,,,,fas fa-user-lock,AC-16(2).1,,The information system provides authorized individuals (or processes acting on behalf of individuals) the capability to change the value of associated security attributes.,TRUE
AC_16-2_2_rmf,AC-16(2),Security and Privacy Attributes | Attribute Value Changes by Authorized Individuals,Access Control,,,,fas fa-user-lock,AC-16(2).2,,The organization identifies the individuals authorized to change the value of associated security attributes.,TRUE
AC_16-2_3_rmf,AC-16(2),Security and Privacy Attributes | Attribute Value Changes by Authorized Individuals,Access Control,,,,fas fa-user-lock,AC-16(2).3,,The organization identifies the individuals authorized to define the value of associated security attributes.,TRUE
AC_16-2_4_rmf,AC-16(2),Security and Privacy Attributes | Attribute Value Changes by Authorized Individuals,Access Control,,,,fas fa-user-lock,AC-16(2).4,,The information system provides authorized individuals (or processes acting on behalf of individuals) the capability to define the value of associated security attributes.,TRUE
AC_16-3_1_rmf,AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,Access Control,,,,fas fa-user-lock,AC-16(3).1,,The organization defines security attributes for which the association and integrity to organization-defined subjects and objects is maintained by the information system.,TRUE
AC_16-3_2_rmf,AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,Access Control,,,,fas fa-user-lock,AC-16(3).2,,The organization defines subjects for which the association and integrity of organization-defined security attributes is maintained by the information system.,TRUE
AC_16-3_3_rmf,AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,Access Control,,,,fas fa-user-lock,AC-16(3).3,,The organization defines objects for which the association and integrity of organization-defined security attributes is maintained by the information system.,TRUE
AC_16-3_4_rmf,AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,Access Control,,,,fas fa-user-lock,AC-16(3).4,,The information system maintains the association of organization-defined security attributes to organization-defined subjects.,TRUE
AC_16-3_5_rmf,AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,Access Control,,,,fas fa-user-lock,AC-16(3).5,,The information system maintains the association of organization-defined security attributes to organization-defined objects.,TRUE
AC_16-3_6_rmf,AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,Access Control,,,,fas fa-user-lock,AC-16(3).6,,The information system maintains the integrity of organization-defined security attributes associated with organization-defined subjects.,TRUE
AC_16-3_7_rmf,AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,Access Control,,,,fas fa-user-lock,AC-16(3).7,,The information system maintains the integrity of organization-defined security attributes associated with organization-defined objects.,TRUE
AC_16-4_1_rmf,AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,Access Control,,,,fas fa-user-lock,AC-16(4).1,,The organization identifies individuals (or processes acting on behalf of individuals) authorized to associate organization-defined security attributes with organization-defined objects.,TRUE
AC_16-4_2_rmf,AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,Access Control,,,,fas fa-user-lock,AC-16(4).2,,The organization identifies individuals (or processes acting on behalf of individuals) authorized to associate organization-defined security attributes with organization-defined subjects.,TRUE
AC_16-4_3_rmf,AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,Access Control,,,,fas fa-user-lock,AC-16(4).3,,The organization defines the subjects with which organization-defined security attributes may be associated by authorized individuals (or processes acting on behalf of individuals).,TRUE
AC_16-4_4_rmf,AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,Access Control,,,,fas fa-user-lock,AC-16(4).4,,The organization defines the objects with which organization-defined security attributes may be associated by authorized individuals (or processes acting on behalf of individuals).,TRUE
AC_16-4_5_rmf,AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,Access Control,,,,fas fa-user-lock,AC-16(4).5,,The organization defines the security attributes authorized individuals (or processes acting on behalf of individuals) are permitted to associate with organization-defined subjects and objects.,TRUE
AC_16-4_6_rmf,AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,Access Control,,,,fas fa-user-lock,AC-16(4).6,,The information system supports the association of organization-defined security attributes with organization-defined subjects by authorized individuals (or processes acting on behalf of individuals).,TRUE
AC_16-4_7_rmf,AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,Access Control,,,,fas fa-user-lock,AC-16(4).7,,The information system supports the association of organization-defined security attributes with organization-defined objects by authorized individuals (or processes acting on behalf of individuals).,TRUE
AC_16-5_1_rmf,AC-16(5),Security and Privacy Attributes | Attribute Displays on Objects to Be Output,Access Control,,,,fas fa-user-lock,AC-16(5).1,,"The information system displays security attributes in human-readable form on each object that the system transmits to output devices to identify organization-identified special dissemination, handling, or distribution instructions using organization-identified human-readable, standard naming conventions.",TRUE
AC_16-5_2_rmf,AC-16(5),Security and Privacy Attributes | Attribute Displays on Objects to Be Output,Access Control,,,,fas fa-user-lock,AC-16(5).2,,"The organization identifies special dissemination, handling, or distribution instructions for identifying security attributes on output.",TRUE
AC_16-5_3_rmf,AC-16(5),Security and Privacy Attributes | Attribute Displays on Objects to Be Output,Access Control,,,,fas fa-user-lock,AC-16(5).3,,"The organization identifies human-readable, standard naming conventions for identifying security attributes on output.",TRUE
AC_16-6_1_rmf,AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,Access Control,,,,fas fa-user-lock,AC-16(6).1,,The organization defines the security policies to be followed by personnel when associating organization-defined security attributes with organization-defined subjects and objects.,TRUE
AC_16-6_2_rmf,AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,Access Control,,,,fas fa-user-lock,AC-16(6).2,,The organization defines the security attributes which are to be associated with organization-defined subjects and objects.,TRUE
AC_16-6_3_rmf,AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,Access Control,,,,fas fa-user-lock,AC-16(6).3,,"The organization defines the subjects to be associated, and that association maintained, with organization-defined security attributes in accordance with organization-defined security policies.",TRUE
AC_16-6_4_rmf,AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,Access Control,,,,fas fa-user-lock,AC-16(6).4,,"The organization defines the objects to be associated, and that association maintained, with organization-defined security attributes in accordance with organization-defined security policies.",TRUE
AC_16-6_5_rmf,AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,Access Control,,,,fas fa-user-lock,AC-16(6).5,,The organization allows personnel to associate organization-defined security attributes with organization-defined subjects in accordance with organization-defined security policies.,TRUE
AC_16-6_6_rmf,AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,Access Control,,,,fas fa-user-lock,AC-16(6).6,,The organization allows personnel to associate organization-defined security attributes with organization-defined objects in accordance with organization-defined security policies.,TRUE
AC_16-6_7_rmf,AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,Access Control,,,,fas fa-user-lock,AC-16(6).7,,The organization allows personnel to maintain the association of organization-defined security attributes with organization-defined subjects in accordance with organization-defined security policies.,TRUE
AC_16-6_8_rmf,AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,Access Control,,,,fas fa-user-lock,AC-16(6).8,,The organization allows personnel to maintain the association of organization-defined security attributes with organization-defined objects in accordance with organization-defined security policies.,TRUE
AC_16-7_1_rmf,AC-16(7),Security and Privacy Attributes | Consistent Attribute Interpretation,Access Control,,,,fas fa-user-lock,AC-16(7).1,,The organization provides a consistent interpretation of security attributes transmitted between distributed information system components.,TRUE
AC_16-8_1_rmf,AC-16(8),Security and Privacy Attributes | Association Techniques and Technologies,Access Control,,,,fas fa-user-lock,AC-16(8).1,,The organization defines the techniques or technologies to be implemented when associating security attributes with information.,TRUE
AC_16-8_2_rmf,AC-16(8),Security and Privacy Attributes | Association Techniques and Technologies,Access Control,,,,fas fa-user-lock,AC-16(8).2,,The organization defines the level of assurance to be provided when implementing organization-defined techniques or technologies in associating security attributes to information.,TRUE
AC_16-8_3_rmf,AC-16(8),Security and Privacy Attributes | Association Techniques and Technologies,Access Control,,,,fas fa-user-lock,AC-16(8).3,,The information system implements organization-defined techniques or technologies with an organization-defined level of assurance in associating security attributes to information.,TRUE
AC_16-9_1_rmf,AC-16(9),Security and Privacy Attributes | Attribute Reassignment ? Regrading Mechanisms,Access Control,,,,fas fa-user-lock,AC-16(9).1,,The organization defines the techniques or procedures to be employed to validate re-grading mechanisms.,TRUE
AC_16-9_2_rmf,AC-16(9),Security and Privacy Attributes | Attribute Reassignment ? Regrading Mechanisms,Access Control,,,,fas fa-user-lock,AC-16(9).2,,The organization ensures security attributes associated with information are reassigned only via re-grading mechanisms validated using organization-defined techniques or procedures.,TRUE
AC_16_1_rmf,AC-16,Security and Privacy Attributes,Access Control,,,,fas fa-user-lock,AC-16.1,,The organization defines security attributes having organization-defined types of security attribute values which are associated with information in storage.,TRUE
AC_16_10_rmf,AC-16,Security and Privacy Attributes,Access Control,,,,fas fa-user-lock,AC-16.10,,The organization ensures that the security attribute associations are made with the information.,TRUE
AC_16_11_rmf,AC-16,Security and Privacy Attributes,Access Control,,,,fas fa-user-lock,AC-16.11,,The organization ensures that the security attribute associations are retained with the information.,TRUE
AC_16_12_rmf,AC-16,Security and Privacy Attributes,Access Control,,,,fas fa-user-lock,AC-16.12,,The organization defines the security attributes that are permitted for organization-defined information systems.,TRUE
AC_16_13_rmf,AC-16,Security and Privacy Attributes,Access Control,,,,fas fa-user-lock,AC-16.13,,The organization defines the information systems for which permitted organization-defined attributes are to be established.,TRUE
AC_16_14_rmf,AC-16,Security and Privacy Attributes,Access Control,,,,fas fa-user-lock,AC-16.14,,The organization establishes the permitted organization-defined security attributes for organization-defined information systems.,TRUE
AC_16_15_rmf,AC-16,Security and Privacy Attributes,Access Control,,,,fas fa-user-lock,AC-16.15,,The organization defines the values or ranges permitted for each of the established security attributes.,TRUE
AC_16_16_rmf,AC-16,Security and Privacy Attributes,Access Control,,,,fas fa-user-lock,AC-16.16,,The organization determines the permitted organization-defined values or ranges for each of the established security attributes.,TRUE
AC_16_2_rmf,AC-16,Security and Privacy Attributes,Access Control,,,,fas fa-user-lock,AC-16.2,,The organization defines security attributes having organization-defined types of security attribute values which are associated with information in process.,TRUE
AC_16_3_rmf,AC-16,Security and Privacy Attributes,Access Control,,,,fas fa-user-lock,AC-16.3,,"The organization defines security attributes, having organization-defined types of security attribute values, which are associated with information in transmission.",TRUE
AC_16_4_rmf,AC-16,Security and Privacy Attributes,Access Control,,,,fas fa-user-lock,AC-16.4,,The organization defines security attribute values associated with organization-defined types of security attributes for information in storage.,TRUE
AC_16_5_rmf,AC-16,Security and Privacy Attributes,Access Control,,,,fas fa-user-lock,AC-16.5,,The organization defines security attribute values associated with organization-defined types of security attributes for information in process.,TRUE
AC_16_6_rmf,AC-16,Security and Privacy Attributes,Access Control,,,,fas fa-user-lock,AC-16.6,,The organization defines security attribute values associated with organization-defined types of security attributes for information in transmission.,TRUE
AC_16_7_rmf,AC-16,Security and Privacy Attributes,Access Control,,,,fas fa-user-lock,AC-16.7,,The organization provides the means to associate organization-defined types of security attributes having organization-defined security attribute values with information in storage.,TRUE
AC_16_8_rmf,AC-16,Security and Privacy Attributes,Access Control,,,,fas fa-user-lock,AC-16.8,,The organization provides the means to associate organization-defined types of security attributes having organization-defined security attribute values with information in process.,TRUE
AC_16_9_rmf,AC-16,Security and Privacy Attributes,Access Control,,,,fas fa-user-lock,AC-16.9,,The organization provides the means to associate organization-defined types of security attributes having organization-defined security attribute values with information in transmission.,TRUE
AC_17-1_1_rmf,AC-17(1),Remote Access | Monitoring and Control,Access Control,,,,fas fa-user-lock,AC-17(1).1,,The information system monitors remote access methods.,TRUE
AC_17-1_2_rmf,AC-17(1),Remote Access | Monitoring and Control,Access Control,,,,fas fa-user-lock,AC-17(1).2,,The information system controls remote access methods.,TRUE
AC_17-2_1_rmf,AC-17(2),Remote Access | Protection of Confidentiality and Integrity Using Encryption,Access Control,,,,fas fa-user-lock,AC-17(2).1,,The information system implements cryptographic mechanisms to protect the confidentiality of remote access sessions.,TRUE
AC_17-2_2_rmf,AC-17(2),Remote Access | Protection of Confidentiality and Integrity Using Encryption,Access Control,,,,fas fa-user-lock,AC-17(2).2,,The information system implements cryptographic mechanisms to protect the integrity of remote access sessions.,TRUE
AC_17-3_1_rmf,AC-17(3),Remote Access | Managed Access Control Points,Access Control,,,,fas fa-user-lock,AC-17(3).1,,The information system routes all remote accesses through an organization-defined number of managed network access control points.,TRUE
AC_17-3_2_rmf,AC-17(3),Remote Access | Managed Access Control Points,Access Control,,,,fas fa-user-lock,AC-17(3).2,,The organization defines managed access control points for remote access to the information system.,TRUE
AC_17-3_3_rmf,AC-17(3),Remote Access | Managed Access Control Points,Access Control,,,,fas fa-user-lock,AC-17(3).3,,The organization defines the number of managed network access control points through which the information system routes all remote access.,TRUE
AC_17-4_1_rmf,AC-17(4),Remote Access | Privileged Commands and Access,Access Control,,,,fas fa-user-lock,AC-17(4).1,,The organization authorizes the execution of privileged commands via remote access only for organization-defined needs.,TRUE
AC_17-4_2_rmf,AC-17(4),Remote Access | Privileged Commands and Access,Access Control,,,,fas fa-user-lock,AC-17(4).2,,The organization authorizes access to security-relevant information via remote access only for organization-defined needs.,TRUE
AC_17-4_3_rmf,AC-17(4),Remote Access | Privileged Commands and Access,Access Control,,,,fas fa-user-lock,AC-17(4).3,,The organization defines the operational needs for when the execution of privileged commands via remote access is to be authorized.,TRUE
AC_17-4_4_rmf,AC-17(4),Remote Access | Privileged Commands and Access,Access Control,,,,fas fa-user-lock,AC-17(4).4,,The organization defines the operational needs for when access to security-relevant information via remote access is to be authorized.,TRUE
AC_17-4_5_rmf,AC-17(4),Remote Access | Privileged Commands and Access,Access Control,,,,fas fa-user-lock,AC-17(4).5,,The organization documents in the security plan for the information system the rationale for authorization of the execution of privilege commands via remote access.,TRUE
AC_17-4_6_rmf,AC-17(4),Remote Access | Privileged Commands and Access,Access Control,,,,fas fa-user-lock,AC-17(4).6,,The organization documents in the security plan for the information system the rationale for authorization of access to security-relevant information via remote access.,TRUE
AC_17-6_1_rmf,AC-17(6),Remote Access | Protection of Mechanism Information,Access Control,,,,fas fa-user-lock,AC-17(6).1,,The organization ensures that users protect information about remote access mechanisms from unauthorized use and disclosure.,TRUE
AC_17-9_1_rmf,AC-17(9),Remote Access | Disconnect or Disable Access,Access Control,,,,fas fa-user-lock,AC-17(9).1,,The organization defines the time period within which it disconnects or disables remote access to the information system.,TRUE
AC_17-9_2_rmf,AC-17(9),Remote Access | Disconnect or Disable Access,Access Control,,,,fas fa-user-lock,AC-17(9).2,,The organization provides the capability to expeditiously disconnect or disable remote access to the information system within the organization-defined time period.,TRUE
AC_17_1_rmf,AC-17,Remote Access,Access Control,,,,fas fa-user-lock,AC-17.1,,The organization defines allowed methods of remote access to the information system.,TRUE
AC_17_2_rmf,AC-17,Remote Access,Access Control,,,,fas fa-user-lock,AC-17.2,,The organization establishes and documents usage restrictions for each type of remote access allowed.,TRUE
AC_17_3_rmf,AC-17,Remote Access,Access Control,,,,fas fa-user-lock,AC-17.3,,The organization establishes and documents configuration/connection requirements for each type of remote access allowed.,TRUE
AC_17_4_rmf,AC-17,Remote Access,Access Control,,,,fas fa-user-lock,AC-17.4,,The organization establishes and documents implementation guidance for each type of remote access allowed.,TRUE
AC_17_5_rmf,AC-17,Remote Access,Access Control,,,,fas fa-user-lock,AC-17.5,,The organization authorizes remote access to the information system prior to allowing such connections.,TRUE
AC_18-1_1_rmf,AC-18(1),Wireless Access | Authentication and Encryption,Access Control,,,,fas fa-user-lock,AC-18(1).1,,The information system protects wireless access to the system using authentication of users and/or devices.,TRUE
AC_18-1_2_rmf,AC-18(1),Wireless Access | Authentication and Encryption,Access Control,,,,fas fa-user-lock,AC-18(1).2,,The information system protects wireless access to the system using encryption.,TRUE
AC_18-3_1_rmf,AC-18(3),Wireless Access | Disable Wireless Networking,Access Control,,,,fas fa-user-lock,AC-18(3).1,,"The organization disables, when not intended for use, wireless networking capabilities internally embedded within information system components prior to issuance and deployment.",TRUE
AC_18-4_1_rmf,AC-18(4),Wireless Access | Restrict Configurations by Users,Access Control,,,,fas fa-user-lock,AC-18(4).1,,The organization identifies and explicitly authorizes users allowed to independently configure wireless networking capabilities.,TRUE
AC_18-5_1_rmf,AC-18(5),Wireless Access | Antennas and Transmission Power Levels,Access Control,,,,fas fa-user-lock,AC-18(5).1,,The organization selects radio antennas and calibrates transmission power levels to reduce the probability that usable signals can be received outside of organization-controlled boundaries.,TRUE
AC_18_1_rmf,AC-18,Wireless Access,Access Control,,,,fas fa-user-lock,AC-18.1,,The organization establishes usage restrictions for wireless access.,TRUE
AC_18_2_rmf,AC-18,Wireless Access,Access Control,,,,fas fa-user-lock,AC-18.2,,The organization establishes implementation guidance for wireless access.,TRUE
AC_18_3_rmf,AC-18,Wireless Access,Access Control,,,,fas fa-user-lock,AC-18.3,,The organization establishes configuration/connection requirements for wireless access.,TRUE
AC_18_4_rmf,AC-18,Wireless Access,Access Control,,,,fas fa-user-lock,AC-18.4,,The organization authorizes wireless access to the information system prior to allowing such connections.,TRUE
AC_19-4_1_rmf,AC-19(4),Access Control for Mobile Devices | Restrictions for Classified Information,Access Control,,,,fas fa-user-lock,AC-19(4).1,,"The organization prohibits the use of unclassified mobile devices in facilities containing information systems processing, storing, or transmitting classified information unless specifically permitted by the authorizing official.",TRUE
AC_19-4_2_rmf,AC-19(4),Access Control for Mobile Devices | Restrictions for Classified Information,Access Control,,,,fas fa-user-lock,AC-19(4).2,,The organization prohibits connection of unclassified mobile devices to classified information systems.,TRUE
AC_19-4_3_rmf,AC-19(4),Access Control for Mobile Devices | Restrictions for Classified Information,Access Control,,,,fas fa-user-lock,AC-19(4).3,,The organization requires approval from the authorizing official for the connection of unclassified mobile devices to unclassified information systems.,TRUE
AC_19-4_4_rmf,AC-19(4),Access Control for Mobile Devices | Restrictions for Classified Information,Access Control,,,,fas fa-user-lock,AC-19(4).4,,"The organization prohibits use of internal or external modems or wireless interfaces within unclassified mobile devices in facilities containing information systems processing, storing, or transmitting classified information.",TRUE
AC_19-4_5_rmf,AC-19(4),Access Control for Mobile Devices | Restrictions for Classified Information,Access Control,,,,fas fa-user-lock,AC-19(4).5,,"The organization requires that unclassified mobile devices used in facilities containing information systems processing, storing, or transmitting classified information and the information stored on those devices be subject to random reviews and inspections by organization-defined security officials.",TRUE
AC_19-4_6_rmf,AC-19(4),Access Control for Mobile Devices | Restrictions for Classified Information,Access Control,,,,fas fa-user-lock,AC-19(4).6,,"The organization defines security officials to perform reviews and inspections of unclassified mobile devices in facilities containing information systems processing, storing, or transmitting classified information.",TRUE
AC_19-4_7_rmf,AC-19(4),Access Control for Mobile Devices | Restrictions for Classified Information,Access Control,,,,fas fa-user-lock,AC-19(4).7,,"The organization requires that if classified information is found on mobile devices, the incident handling policy be followed.",TRUE
AC_19-4_8_rmf,AC-19(4),Access Control for Mobile Devices | Restrictions for Classified Information,Access Control,,,,fas fa-user-lock,AC-19(4).8,,The organization defines the security policies which restrict the connection of classified mobile devices to classified information systems.,TRUE
AC_19-4_9_rmf,AC-19(4),Access Control for Mobile Devices | Restrictions for Classified Information,Access Control,,,,fas fa-user-lock,AC-19(4).9,,The organization restricts the connection of classified mobile devices to classified information systems in accordance with organization-defined security policies.,TRUE
AC_19-5_1_rmf,AC-19(5),Access Control for Mobile Devices | Full Device or Container-based Encryption,Access Control,,,,fas fa-user-lock,AC-19(5).1,,"The organization reassigns or removes privileges, if necessary, to correctly reflect organizational mission/business needs.",TRUE
AC_19-5_2_rmf,AC-19(5),Access Control for Mobile Devices | Full Device or Container-based Encryption,Access Control,,,,fas fa-user-lock,AC-19(5).2,,The organization defines the mobile devices that are to employ full-device or container encryption to protect the confidentiality and integrity of the information on the device.,TRUE
AC_19-5_3_rmf,AC-19(5),Access Control for Mobile Devices | Full Device or Container-based Encryption,Access Control,,,,fas fa-user-lock,AC-19(5).3,,The organization employs full-device encryption or container encryption to protect the confidentiality of information on organization-defined mobile devices.,TRUE
AC_19_1_rmf,AC-19,Access Control for Mobile Devices,Access Control,,,,fas fa-user-lock,AC-19.1,,The organization establishes usage restrictions for organization-controlled mobile devices.,TRUE
AC_19_2_rmf,AC-19,Access Control for Mobile Devices,Access Control,,,,fas fa-user-lock,AC-19.2,,The organization establishes implementation guidance for organization-controlled mobile devices.,TRUE
AC_19_3_rmf,AC-19,Access Control for Mobile Devices,Access Control,,,,fas fa-user-lock,AC-19.3,,The organization establishes configuration requirements for organization-controlled mobile devices.,TRUE
AC_19_4_rmf,AC-19,Access Control for Mobile Devices,Access Control,,,,fas fa-user-lock,AC-19.4,,The organization establishes connection requirements for organization-controlled mobile devices.,TRUE
AC_19_5_rmf,AC-19,Access Control for Mobile Devices,Access Control,,,,fas fa-user-lock,AC-19.5,,The organization authorizes connection of mobile devices to organizational information systems.,TRUE
AC_2-1_1_rmf,AC-2(1),Account Management | Automated System Account Management,Access Control,,,,fas fa-user-lock,AC-2(1).1,,The organization employs automated mechanisms to support the information system account management functions.,TRUE
