dashboard,domain,"ext_link","ext_product",icon,name,"practice_description",visible
"AU_3_3_3_dfars","Audit and Accountability",,None,"fas fa-user-circle","3.3.3","Review and update logged events.",TRUE
"AU_3_3_4_dfars","Audit and Accountability",,None,"fas fa-user-circle","3.3.4","Alert in the event of an audit logging process failure",TRUE
"AU_3_3_5_dfars","Audit and Accountability",,None,"fas fa-user-circle","3.3.5","Correlate audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity.",TRUE
"AU_3_3_6_dfars","Audit and Accountability",,None,"fas fa-user-circle","3.3.6","Provide audit record reduction and report generation to support ondemand analysis and reporting.",TRUE
"AU_3_3_7_dfars","Audit and Accountability",,None,"fas fa-user-circle","3.3.7","Provide a system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records.",TRUE
"AU_3_3_8_dfars","Audit and Accountability",,None,"fas fa-user-circle","3.3.8","Protect audit information and audit logging tools from unauthorized access, modification, and deletion",TRUE
"AU_3_3_9_dfars","Audit and Accountability",,None,"fas fa-user-circle","3.3.9","Limit management of audit logging functionality to a subset of privileged users",TRUE
"AT_3_2_1_dfars","Awareness and Training",,None,"fas fa-graduation-cap","3.2.1","Ensure that managers, systems administrators, and users of organizational systems are made aware of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of those systems",TRUE
"AT_3_2_2_dfars","Awareness and Training",,None,"fas fa-graduation-cap","3.2.2","Ensure that personnel are trained to carry out their assigned information security-related duties and responsibilities",TRUE
"AT_3_2_3_dfars","Awareness and Training",,None,"fas fa-graduation-cap","3.2.3","Provide security awareness training on recognizing and reporting potential indicators of insider threat.",TRUE
"CM_3_4_1_dfars","Configuration Management",,None,"fas fa-database","3.4.1","Establish and maintain baseline configurations and inventories of organizational systems (including hardware, software, firmware, and documentation) throughout the respective system development life cycles",TRUE
"CM_3_4_2_dfars","Configuration Management",,None,"fas fa-database","3.4.2","Establish and enforce security configuration settings for information technology products employed in organizational systems.",TRUE
"CM_3_4_3_dfars","Configuration Management",,None,"fas fa-database","3.4.3","Track, review, approve or disapprove, and log changes to organizational systems.",TRUE
"CM_3_4_4_dfars","Configuration Management",,None,"fas fa-database","3.4.4","Analyze the security impact of changes prior to implementation.",TRUE
"CM_3_4_5_dfars","Configuration Management",,None,"fas fa-database","3.4.5","Define, document, approve, and enforce physical and logical access restrictions associated with changes to organizational systems.",TRUE
"CM_3_4_6_dfars","Configuration Management",,None,"fas fa-database","3.4.6","Employ the principle of least functionality by configuring organizational systems to provide only essential capabilities",TRUE
"CM_3_4_7_dfars","Configuration Management",,None,"fas fa-database","3.4.7","Restrict, disable, or prevent the use of nonessential programs, functions, ports, protocols, and services",TRUE
"CM_3_4_8_dfars","Configuration Management",,None,"fas fa-database","3.4.8","Apply deny-by-exception (blacklisting) policy to prevent the use of unauthorized software or deny-all, permit-byexception (whitelisting) policy to allow the execution of authorized software",TRUE
"CM_3_4_9_dfars","Configuration Management",,None,"fas fa-database","3.4.9","Control and monitor userinstalled software.",TRUE
"IA_3_5_1_dfars","Identification and Authentication",,None,"fas fa-id-badge","3.5.1","Identify system users, processes acting on behalf of users, and devices.",TRUE
"IA_3_5_2_dfars","Identification and Authentication",,None,"fas fa-id-badge","3.5.2","Authenticate (or verify) the identities of users, processes, or devices, as a prerequisite to allowing access to organizational systems",TRUE
"IA_3_5_3_dfars","Identification and Authentication",,None,"fas fa-id-badge","3.5.3","Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts",TRUE
"IA_3_5_4_dfars","Identification and Authentication",,None,"fas fa-id-badge","3.5.4","Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.",TRUE
"IA_3_5_5_dfars","Identification and Authentication",,None,"fas fa-id-badge","3.5.5","Prevent reuse of identifiers for a defined period.",TRUE
"IA_3_5_6_dfars","Identification and Authentication",,None,"fas fa-id-badge","3.5.6","Disable identifiers after a defined period of inactivity",TRUE
"IA_3_5_7_dfars","Identification and Authentication",,None,"fas fa-id-badge","3.5.7","Enforce a minimum password complexity and change of characters when new passwords are created",TRUE
"IA_3_5_8_dfars","Identification and Authentication",,None,"fas fa-id-badge","3.5.8","Prohibit password reuse for a specified number of generations.",TRUE
"IA_3_5_9_dfars","Identification and Authentication",,None,"fas fa-id-badge","3.5.9","Allow temporary password use for system logons with an immediate change to a permanent password.",TRUE
"IA_3_5_10_dfars","Identification and Authentication",,None,"fas fa-id-badge","3.5.10","Store and transmit only cryptographically-protected passwords",TRUE
"IA_3_5_11_dfars","Identification and Authentication",,None,"fas fa-id-badge","3.5.11","Obscure feedback of authentication information.",TRUE
"IR_3_6_1_dfars","Incident Response","../splunk_app_phantom/phantom_cases_performance?",Phantom,"fas fa-diagnoses","3.6.1","Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities",TRUE
"IR_3_6_2_dfars","Incident Response",,"Enterprise Security","fas fa-diagnoses","3.6.2","Track, document, and report incidents to designated officials and/or authorities both internal and external to the organization.",TRUE
"IR_3_6_3_dfars","Incident Response",,None,"fas fa-diagnoses","3.6.3","Test the organizational incident response capability",TRUE
"MA_3_7_1_dfars",Maintenance,,None,"fas fa-tools","3.7.1","Perform maintenance on organizational systems.",TRUE
"MA_3_7_2_dfars",Maintenance,,None,"fas fa-tools","3.7.2","Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance.",TRUE
"MA_3_7_3_dfars",Maintenance,,None,"fas fa-tools","3.7.3","Ensure equipment removed for off-site maintenance is sanitized of any CUI.",TRUE
"MA_3_7_4_dfars",Maintenance,,None,"fas fa-tools","3.7.4","Check media containing diagnostic and test programs for malicious code before the media are used in organizational systems",TRUE
"MA_3_7_5_dfars",Maintenance,,None,"fas fa-tools","3.7.5","Require multifactor authentication to establish nonlocal maintenance sessions via external network connections and terminate such connections when nonlocal maintenance is complete.",TRUE
"MA_3_7_6_dfars",Maintenance,,None,"fas fa-tools","3.7.6","Supervise the maintenance activities of maintenance personnel without required access authorization",TRUE
"MP_3_8_1_dfars","Media Protection",,None,"fas fa-save","3.8.1","Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital.",TRUE
"MP_3_8_2_dfars","Media Protection",,None,"fas fa-save","3.8.2","Limit access to CUI on system media to authorized users",TRUE
"MP_3_8_3_dfars","Media Protection",,None,"fas fa-save","3.8.3","Sanitize or destroy system media containing CUI before disposal or release for reuse",TRUE
"MP_3_8_4_dfars","Media Protection",,None,"fas fa-save","3.8.4","Mark media with necessary CUI markings and distribution limitations.",TRUE
"MP_3_8_5_dfars","Media Protection",,None,"fas fa-save","3.8.5","Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas. ",TRUE
"MP_3_8_6_dfars","Media Protection",,None,"fas fa-save","3.8.6","Implement cryptographic mechanisms to protect the confidentiality of CUI stored on digital media during transport unless otherwise protected by alternative physical safeguards.",TRUE
"MP_3_8_7_dfars","Media Protection",,None,"fas fa-save","3.8.7","Control the use of removable media on system components.",TRUE
"MP_3_8_8_dfars","Media Protection",,None,"fas fa-save","3.8.8","Prohibit the use of portable storage devices when such devices have no identifiable owner",TRUE
"MP_3_8_9_dfars","Media Protection",,None,"fas fa-save","3.8.9","Protect the confidentiality of backup CUI at storage locations.",TRUE
"PS_3_9_1_dfars","Personnel Security",,None,"fas fa-shield-alt","3.9.1","Screen individuals prior to authorizing access to organizational systems containing CUI.",TRUE
"PS_3_9_2_dfars","Personnel Security",,None,"fas fa-shield-alt","3.9.2","Ensure that organizational systems containing CUI are protected during and after personnel actions such as terminations and transfers. ",TRUE
"PP_3_10_1_dfars","Physical Protection",,None,"fas fa-hard-hat","3.10.1","Limit physical access to organizational systems, equipment, and the respective operating environments to authorized individuals.",TRUE
"PP_3_10_2_dfars","Physical Protection",,None,"fas fa-hard-hat","3.10.2","Protect and monitor the physical facility and support infrastructure for organizational systems",TRUE
"PP_3_10_3_dfars","Physical Protection",,None,"fas fa-hard-hat","3.10.3","Escort visitors and monitor visitor activity.",TRUE
"PP_3_10_4_dfars","Physical Protection",,None,"fas fa-hard-hat","3.10.4","Maintain audit logs of physical access.",TRUE
"PP_3_10_5_dfars","Physical Protection",,None,"fas fa-hard-hat","3.10.5","Control and manage physical access devices",TRUE
"PP_3_10_6_dfars","Physical Protection",,None,"fas fa-hard-hat","3.10.6","Enforce safeguarding measures for CUI at alternate work sites.",TRUE
"RA_3_11_1_dfars","Risk Assessment",,None,"fas fa-chart-bar","3.11.1","Periodically assess the risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals, resulting from the operation of organizational systems and the associated processing, storage, or transmission of CUI.",TRUE
"RA_3_11_2_dfars","Risk Assessment",,None,"fas fa-chart-bar","3.11.2","Scan for vulnerabilities in organizational systems and applications periodically and when new vulnerabilities affecting those systems and applications are identified. ",TRUE
"RA_3_11_3_dfars","Risk Assessment",,"Enterprise Security","fas fa-chart-bar","3.11.3","Remediate vulnerabilities in accordance with risk assessments.",TRUE
"SA_3_12_1_dfars","Security Assessment",,None,"fas fa-lock","3.12.1","Periodically assess the security controls in organizational systems to determine if the controls are effective in their application.",TRUE
"SA_3_12_2_dfars","Security Assessment",,None,"fas fa-lock","3.12.2","Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational systems",TRUE
"SA_3_12_3_dfars","Security Assessment",,None,"fas fa-lock","3.12.3","Monitor security controls on an ongoing basis to ensure the continued effectiveness of the controls",TRUE
"SA_3_12_4_dfars","Security Assessment",,None,"fas fa-lock","3.12.4","Develop, document, and periodically update system security plans that describe system boundaries, system environments of operation, how security requirements are implemented, and the relationships with or connections to other systems.",TRUE
"SC_3_13_1_dfars","System and Communications Protection",,None,"fas fa-satellite-dish","3.13.1","Monitor, control, and protect communications (i.e., information transmitted or received by organizational systems) at the external boundaries and key internal boundaries of organizational systems.",TRUE
"SC_3_13_2_dfars","System and Communications Protection",,None,"fas fa-satellite-dish","3.13.2","Employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within organizational systems.",TRUE
"SC_3_13_3_dfars","System and Communications Protection",,None,"fas fa-satellite-dish","3.13.3","Separate user functionality from system management functionality.",TRUE
"SC_3_13_4_dfars","System and Communications Protection",,None,"fas fa-satellite-dish","3.13.4","Prevent unauthorized and unintended information transfer via shared system resources",TRUE
"SC_3_13_5_dfars","System and Communications Protection",,None,"fas fa-satellite-dish","3.13.5","Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.",TRUE
"SC_3_13_6_dfars","System and Communications Protection",,None,"fas fa-satellite-dish","3.13.6","Deny network communications traffic by default and allow network communications traffic by exception (i.e., deny all, permit by exception).",TRUE
"SC_3_13_7_dfars","System and Communications Protection",,None,"fas fa-satellite-dish","3.13.7","Prevent remote devices from simultaneously establishing non-remote connections with organizational systems and communicating via some other connection to resources in external networks (i.e., split tunneling).",TRUE
"SC_3_13_8_dfars","System and Communications Protection",,None,"fas fa-satellite-dish","3.13.8","Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.",TRUE
"SC_3_13_9_dfars","System and Communications Protection",,None,"fas fa-satellite-dish","3.13.9","Terminate network connections associated with communications sessions at the end of the sessions or after a defined period of inactivity",TRUE
"SC_3_13_10_dfars","System and Communications Protection",,None,"fas fa-satellite-dish","3.13.10","Establish and manage cryptographic keys for cryptography employed in organizational systems",TRUE
"SC_3_13_11_dfars","System and Communications Protection",,None,"fas fa-satellite-dish","3.13.11","Employ FIPS-validated cryptography when used to protect the confidentiality of CUI",TRUE
"SC_3_13_12_dfars","System and Communications Protection",,None,"fas fa-satellite-dish","3.13.12","Prohibit remote activation of collaborative computing devices and provide indication of devices in use to users present at the device.",TRUE
"SC_3_13_13_dfars","System and Communications Protection",,None,"fas fa-satellite-dish","3.13.13","Control and monitor the use of mobile code.",TRUE
"SC_3_13_14_dfars","System and Communications Protection",,None,"fas fa-satellite-dish","3.13.14","Control and monitor the use of Voice over Internet Protocol (VoIP) technologies",TRUE
"SC_3_13_15_dfars","System and Communications Protection",,None,"fas fa-satellite-dish","3.13.15","Protect the authenticity of communications sessions",TRUE
"SC_3_13_16_dfars","System and Communications Protection",,None,"fas fa-satellite-dish","3.13.16","Protect the confidentiality of CUI at rest.",TRUE
"SI_3_14_1_dfars","System and Informational Integrity",,None,"fas fa-certificate","3.14.1","Identify, report, and correct system flaws in a timely manner.",TRUE
"SI_3_14_2_dfars","System and Informational Integrity",,"Enterprise Security","fas fa-certificate","3.14.2","Provide protection from malicious code at designated locations within organizational systems.",TRUE
"SI_3_14_3_dfars","System and Informational Integrity",,"Enterprise Security","fas fa-certificate","3.14.3","Monitor system security alerts and advisories and take action in response.",TRUE
"SI_3_14_4_dfars","System and Informational Integrity",,None,"fas fa-certificate","3.14.4","Update malicious code protection mechanisms when new releases are available.",TRUE
"SI_3_14_5_dfars","System and Informational Integrity",,None,"fas fa-certificate","3.14.5","Perform periodic scans of organizational systems and real-time scans of files from external sources as files are downloaded, opened, or executed",TRUE
"SI_3_14_6_dfars","System and Informational Integrity",,None,"fas fa-certificate","3.14.6","Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks.",TRUE
"SI_3_14_7_dfars","System and Informational Integrity",,None,"fas fa-certificate","3.14.7","Identify unauthorized use of organizational systems.",TRUE
