dashboard,name,domain,capability_description,icon,practice_description,expanded_guidance,level,ext_product,ext_link,visible
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)","Network Device Infrastructure (Access, Authorization, and Accounting)",,fas fa-user-lock,General Information |  Operating System (OS) Events | OS Audit Records | Application Account Information | Application Operations,,0,None,,TRUE
15_omb,"Operating Systems - Windows Infrastructure and Operating Systems","Operating Systems - Windows Infrastructure and Operating Systems",,fas fa-user-lock,"User and Administrator Access to OS Components and Applications | System Performance and Operational Characteristics | System Configuration | File Access | Host Network Communications | Powershell Execution Commands | WMI Events | Registry Access | Command-Line Interface (CLI) | Basic Input Output System (BIOS), Unified Extensible Firmware Interface (UEFI), and Other Firmware",,0,None,,TRUE
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),,fas fa-user-lock,"User and Administrator Access to OS Components and Applications | System Performance and Operational Characteristics | System Configuration | File Access | Host Network Communications | Command-Line Interface (CLI) | Basic Input Output System (BIOS), Unified Extensible Firmware Interface (UEFI), and Other Firmware",,0,None,,TRUE
17_omb,Operating Systems - BSD (Linux),Operating Systems - BSD (Linux),,fas fa-user-lock,"User and Administrator Access to OS Components and Applications | System Performance and Operational Characteristics | System Configuration | File Access | Host Network Communications | Command-Line Interface (CLI) | System | Access And Authentication | Applications | Package Install/Uninstall | Basic Input Output System (BIOS), Unified Extensible Firmware Interface (UEFI), and Other Firmware",,0,None,,TRUE
18_omb,Cloud Environments (General Events),Cloud Environments (General Events),,fas fa-user-lock,"Activity on Breakglass Account(s) | Conditional Access Policy Changes | Changes to Environment Policies | Privileged Role Changes | Virtual Network (VNet) Changes | Deletions of Delete Locks | Changes to Logging Policies | Privileged Identity Management (PIM) and Identity Protection Changes | Changes to Alert Rules (Audit the Auditor) | Key Vault/Key Management Changes | Storage File Access Logs, File, File Hashes | Baseline Deviations for Prod App Tiers | Baseline Deviations for Prod Data Tiers",,0,None,,TRUE
19_omb,Cloud Environments (General Logging),Cloud Environments (General Logging),,fas fa-user-lock,IDS / IPS / NTA / NDR / SIEM Logs | API Activity Logs | Authentication Logs | Firewall Logs | Web Proxy/WAF Logs | Service Metrics | Billing Data | Flow Logs | Remote Access/VPN Logs | System/OS Logs | DLP Logs | DNS Query/Response Logs,,0,None,,TRUE
20_omb,Cloud AWS,Cloud AWS,,fas fa-user-lock,AWS Cloudtrail | Amazon Cloudwatch Logs | AWS Config | Amazon S3 Access Logs | Amazon VPC Flow Logs | AWS WAF Logs | AWS Shield | AWS Guardduty | AWS Security Hub,,0,None,,TRUE
21_omb,Cloud Azure,Cloud Azure,,fas fa-user-lock,Azure Active Directory Logs | Activity Logs | Unified Audit Logs (w/ Advanced Audit Features),,0,None,,TRUE
22_omb,Cloud GCP,Cloud GCP,,fas fa-user-lock,Access Transparency Audit Log | Admin Audit Log | Data Studio Audit Log | Drive Audit Log | Email Audit Log | Groups Audit Log | LDAP Audit Log | Login Audit Log | Devices Audit Log | Sail Audit Log  |  Token Audit Log | User Accounts Audit Log | OAuth Token Audit Log | Security Report | Usage Logs | Storage Log | Data Access Logs,,0,None,,TRUE
23_omb,Configuration,System Configuration and Performance,,fas fa-user-lock,"Configuration - Scripts or Database Changes Used to Configure Systems, Services on a System, or Applications",,1,None,,TRUE
