name,dashboard,domain,capability,icon,practice_description,level,expanded_guidance,visible
ACM-3B: Manage Changes to Assets,ACM_3B_aescsf,"Asset, Change, and Configuration Management",Manage Changes to Assets,,"Changes to inventoried assets are logged, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
ACM-3C: Manage Changes to Assets,ACM_3C_aescsf,"Asset, Change, and Configuration Management",Manage Changes to Assets,,"Changes to assets are tested prior to being deployed, whenever possible",MIL-2 SP-1,,TRUE
ACM-3D: Manage Changes to Assets,ACM_3D_aescsf,"Asset, Change, and Configuration Management",Manage Changes to Assets,,"Change management practices address the full life cycle of assets (i.e., acquisition, deployment, operation, retirement)",MIL-2 SP-2,,TRUE
ACM-3E: Manage Changes to Assets,ACM_3E_aescsf,"Asset, Change, and Configuration Management",Manage Changes to Assets,,Changes to assets are tested for Cyber Security impact prior to being deployed,MIL-3 SP-2,,TRUE
ACM-3F: Manage Changes to Assets,ACM_3F_aescsf,"Asset, Change, and Configuration Management",Manage Changes to Assets,,"Change logs include information about modifications that impact the Cyber Security requirements of assets (availability, integrity, confidentiality)",MIL-3 SP-3,,TRUE
ACM-AP1: ACM Anti-Patterns,ACM_AP1_aescsf,"Asset, Change, and Configuration Management",ACM Anti-Patterns,,"Changes to Internet-facing assets are not assessed or tested to identify potential cyber security vulnerabilities arising from the change itself, prior to implementation",MIL-2 SP-2,,TRUE
ACM-AP2: ACM Anti-Patterns,ACM_AP2_aescsf,"Asset, Change, and Configuration Management",ACM Anti-Patterns,,The management of asset inventories is not linked to data governance or business impact assessment activities,MIL-2 SP-2,,TRUE
ACM-AP3: ACM Anti-Patterns,ACM_AP3_aescsf,"Asset, Change, and Configuration Management",ACM Anti-Patterns,,Asset inventories have not been updated in the past 24 months,MIL-3 SP-3,,TRUE
APM-1A: Manage personal information and privacy,APM_1A_aescsf,Australian Privacy Management,Manage personal information and privacy,,"Privacy requirements applicable to the organisation have been identified, even in an ad-hoc manner.",MIL-1 SP-1,,TRUE
APM-1B: Manage personal information and privacy,APM_1B_aescsf,Australian Privacy Management,Manage personal information and privacy,,"The organisation has defined what it considers personal information in the context of its business activities, even in an ad-hoc manner.",MIL-1 SP-1,,TRUE
APM-1C: Manage personal information and privacy,APM_1C_aescsf,Australian Privacy Management,Manage personal information and privacy,,"There is a point of contact (person or role) to whom privacy issues could be reported, even in an ad-hoc manner.",MIL-1 SP-1,,TRUE
APM-1D: Manage personal information and privacy,APM_1D_aescsf,Australian Privacy Management,Manage personal information and privacy,,"Business activities which involve the collection, processing, storage or transmission of personal information have been identified",MIL-2 SP-1,,TRUE
APM-1E: Manage personal information and privacy,APM_1E_aescsf,Australian Privacy Management,Manage personal information and privacy,,The organisation's personal information holdings are documented,MIL-2 SP-2,,TRUE
APM-1F: Manage personal information and privacy,APM_1F_aescsf,Australian Privacy Management,Manage personal information and privacy,,A privacy policy has been documented and communicated within the organisation and the general public,MIL-2 SP-2,,TRUE
APM-1G: Manage personal information and privacy,APM_1G_aescsf,Australian Privacy Management,Manage personal information and privacy,,The organisation's requirements for handling of personal information have been defined within the privacy policy,MIL-2 SP-2,,TRUE
APM-1H: Manage personal information and privacy,APM_1H_aescsf,Australian Privacy Management,Manage personal information and privacy,,Specific roles and accountabilities have been assigned for privacy management within the organisation,MIL-2 SP-2,,TRUE
APM-1I: Manage personal information and privacy,APM_1I_aescsf,Australian Privacy Management,Manage personal information and privacy,,A privacy management plan has been implemented to govern the organisation's ongoing compliance with applicable privacy requirements,MIL-2 SP-2,,TRUE
APM-1J: Manage personal information and privacy,APM_1J_aescsf,Australian Privacy Management,Manage personal information and privacy,,"Privacy related risks have been identified, assessed and documented in a risk register",MIL-2 SP-2,,TRUE
APM-1K: Manage personal information and privacy,APM_1K_aescsf,Australian Privacy Management,Manage personal information and privacy,,"A documented process exists for responding to privacy enquiries and complaints, including customer correction of their personal information",MIL-3 SP-3,,TRUE
APM-1L: Manage personal information and privacy,APM_1L_aescsf,Australian Privacy Management,Manage personal information and privacy,,The organisation provides privacy training to staff responsible for handling personal information,MIL-3 SP-2,,TRUE
APM-1M: Manage personal information and privacy,APM_1M_aescsf,Australian Privacy Management,Manage personal information and privacy,,Existing incident response plan specifically consider data breach scenarios involving personal information,MIL-3 SP-3,,TRUE
APM-1N: Manage personal information and privacy,APM_1N_aescsf,Australian Privacy Management,Manage personal information and privacy,,Incident response plans for data breach scenarios are tested periodically and updated based on improvement opportunities identified,MIL-3 SP-3,,TRUE
APM-1O: Manage personal information and privacy,APM_1O_aescsf,Australian Privacy Management,Manage personal information and privacy,,The organisation's compliance with applicable privacy requirements is periodically assessed and reported to senior management,MIL-3 SP-3,,TRUE
APM-1P: Manage personal information and privacy,APM_1P_aescsf,Australian Privacy Management,Manage personal information and privacy,,The privacy management plan is periodically updated to reflect the changing threat and regulatory environment,MIL-3 SP-3,,TRUE
APM-AP1: APM Anti-Patterns,APM_AP1_aescsf,Australian Privacy Management,APM Anti-Patterns,,The function is unaware whether personal information is collected,MIL-2 SP-1,,TRUE
CPM-1A: Establish Cyber Security Program Strategy,CPM_1A_aescsf,Cybersecurity Program Management,Establish Cyber Security Program Strategy,,"The organisation has a Cyber Security program strategy, which may be developed and managed in an ad hoc manner",MIL-1 SP-1,,TRUE
CPM-1B: Establish Cyber Security Program Strategy,CPM_1B_aescsf,Cybersecurity Program Management,Establish Cyber Security Program Strategy,,The Cyber Security program strategy defines objectives for the organisation's Cyber Security activities,MIL-2 SP-2,,TRUE
CPM-1C: Establish Cyber Security Program Strategy,CPM_1C_aescsf,Cybersecurity Program Management,Establish Cyber Security Program Strategy,,The Cyber Security program strategy and priorities are documented and aligned with the organisation's strategic objectives and risk to critical infrastructure,MIL-2 SP-2,,TRUE
CPM-1D: Establish Cyber Security Program Strategy,CPM_1D_aescsf,Cybersecurity Program Management,Establish Cyber Security Program Strategy,,The Cyber Security program strategy defines the organisation's approach to provide program oversight and governance for Cyber Security activities,MIL-2 SP-2,,TRUE
CPM-1E: Establish Cyber Security Program Strategy,CPM_1E_aescsf,Cybersecurity Program Management,Establish Cyber Security Program Strategy,,The Cyber Security program strategy defines the structure and organisation of the Cyber Security program,MIL-2 SP-2,,TRUE
CPM-1F: Establish Cyber Security Program Strategy,CPM_1F_aescsf,Cybersecurity Program Management,Establish Cyber Security Program Strategy,,The Cyber Security program strategy is approved by senior management,MIL-2 SP-2,,TRUE
CPM-1G: Establish Cyber Security Program Strategy,CPM_1G_aescsf,Cybersecurity Program Management,Establish Cyber Security Program Strategy,,"The Cyber Security program strategy is updated to reflect business changes, changes in the operating environment, and changes in the threat profile (TVM-1d)",MIL-3 SP-3,,TRUE
CPM-2A: Sponsor Cyber Security Program,CPM_2A_aescsf,Cybersecurity Program Management,Sponsor Cyber Security Program,,"Resources (people, tools, and funding) are provided, at least in an ad hoc manner, to support the Cyber Security program",MIL-1 SP-1,,TRUE
CPM-2B: Sponsor Cyber Security Program,CPM_2B_aescsf,Cybersecurity Program Management,Sponsor Cyber Security Program,,"Senior management provides sponsorship for the Cyber Security program, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
CPM-2C: Sponsor Cyber Security Program,CPM_2C_aescsf,Cybersecurity Program Management,Sponsor Cyber Security Program,,The Cyber Security program is established according to the Cyber Security program strategy,MIL-2 SP-2,,TRUE
CPM-2D: Sponsor Cyber Security Program,CPM_2D_aescsf,Cybersecurity Program Management,Sponsor Cyber Security Program,,"Adequate funding and other resources (i.e., people and tools) are provided to establish and operate a Cyber Security program aligned with the program strategy",MIL-2 SP-2,,TRUE
CPM-2E: Sponsor Cyber Security Program,CPM_2E_aescsf,Cybersecurity Program Management,Sponsor Cyber Security Program,,"Senior management sponsorship for the Cyber Security program is visible and active (e.g., the importance and value of Cyber Security activities is regularly communicated by senior management)",MIL-2 SP-2,,TRUE
CPM-2F: Sponsor Cyber Security Program,CPM_2F_aescsf,Cybersecurity Program Management,Sponsor Cyber Security Program,,"If the organisation develops or procures software, secure software development practices are sponsored as an element of the Cyber Security program",MIL-2 SP-2,,TRUE
CPM-2G: Sponsor Cyber Security Program,CPM_2G_aescsf,Cybersecurity Program Management,Sponsor Cyber Security Program,,The development and maintenance of Cyber Security policies is sponsored,MIL-2 SP-2,,TRUE
CPM-2H: Sponsor Cyber Security Program,CPM_2H_aescsf,Cybersecurity Program Management,Sponsor Cyber Security Program,,Responsibility for the Cyber Security program is assigned to a role with requisite authority,MIL-2 SP-2,,TRUE
CPM-2I: Sponsor Cyber Security Program,CPM_2I_aescsf,Cybersecurity Program Management,Sponsor Cyber Security Program,,The performance of the Cyber Security program is monitored to ensure it aligns with the Cyber Security program strategy,MIL-3 SP-3,,TRUE
CPM-2J: Sponsor Cyber Security Program,CPM_2J_aescsf,Cybersecurity Program Management,Sponsor Cyber Security Program,,"The Cyber Security program is independently reviewed (i.e., by reviewers who are not in the program) for achievement of Cyber Security program objectives",MIL-3 SP-3,,TRUE
CPM-2K: Sponsor Cyber Security Program,CPM_2K_aescsf,Cybersecurity Program Management,Sponsor Cyber Security Program,,The Cyber Security program addresses and enables the achievement of regulatory compliance as appropriate,MIL-3 SP-3,,TRUE
CPM-2L: Sponsor Cyber Security Program,CPM_2L_aescsf,Cybersecurity Program Management,Sponsor Cyber Security Program,,The Cyber Security program monitors and/or participates in selected industry Cyber Security standards or initiatives,MIL-3 SP-3,,TRUE
CPM-3A: Establish and Maintain Cyber Security Architecture,CPM_3A_aescsf,Cybersecurity Program Management,Establish and Maintain Cyber Security Architecture,,"A strategy to architecturally isolate the organisation's IT systems from OT systems is implemented, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
CPM-3B: Establish and Maintain Cyber Security Architecture,CPM_3B_aescsf,Cybersecurity Program Management,Establish and Maintain Cyber Security Architecture,,"A Cyber Security architecture is in place to enable segmentation, isolation, and other requirements that support the Cyber Security strategy",MIL-2 SP-2,,TRUE
CPM-3C: Establish and Maintain Cyber Security Architecture,CPM_3C_aescsf,Cybersecurity Program Management,Establish and Maintain Cyber Security Architecture,,Architectural segmentation and isolation is maintained according to a documented plan,MIL-2 SP-2,,TRUE
CPM-3D: Establish and Maintain Cyber Security Architecture,CPM_3D_aescsf,Cybersecurity Program Management,Establish and Maintain Cyber Security Architecture,,Cyber Security architecture is updated at an organisation-defined frequency to keep it current,MIL-3 SP-3,,TRUE
CPM-4A: Perform Secure Software Development,CPM_4A_aescsf,Cybersecurity Program Management,Perform Secure Software Development,,Software to be deployed on assets that are important to the delivery of the function is developed using secure software development practices,MIL-2 SP-2,,TRUE
CPM-4B: Perform Secure Software Development,CPM_4B_aescsf,Cybersecurity Program Management,Perform Secure Software Development,,Policies require that software that is to be deployed on assets that are important to the delivery of the function be developed using secure software development practices,MIL-3 SP-3,,TRUE
CPM-AP1: CPM Anti-Patterns,CPM_AP1_aescsf,Cybersecurity Program Management,CPM Anti-Patterns,,Operational assets can route traffic directly to the Internet,MIL-2 SP-1,,TRUE
CPM-AP2: CPM Anti-Patterns,CPM_AP2_aescsf,Cybersecurity Program Management,CPM Anti-Patterns,,Remote or third-party access to assets circumvents network security controls,MIL-2 SP-1,,TRUE
CPM-AP3: CPM Anti-Patterns,CPM_AP3_aescsf,Cybersecurity Program Management,CPM Anti-Patterns,,Critical assets cannot be isolated from non-critical assets in response to a cyber security threat or incident,MIL-2 SP-2,,TRUE
EDM-1A: Identify Dependencies,EDM_1A_aescsf,Supply Chain and External Dependencies Management,Identify Dependencies,,"Important IT and OT supplier dependencies are identified (i.e., external parties on which the delivery of the function depend, including operating partners), at least in an ad hoc manner",MIL-1 SP-1,,TRUE
EDM-1B: Identify Dependencies,EDM_1B_aescsf,Supply Chain and External Dependencies Management,Identify Dependencies,,"Important customer dependencies are identified (i.e., external parties that are dependent on the delivery of the function including operating partners), at least in an ad hoc manner",MIL-1 SP-1,,TRUE
EDM-1C: Identify Dependencies,EDM_1C_aescsf,Supply Chain and External Dependencies Management,Identify Dependencies,,Supplier dependencies are identified according to established criteria,MIL-2 SP-2,,TRUE
EDM-1D: Identify Dependencies,EDM_1D_aescsf,Supply Chain and External Dependencies Management,Identify Dependencies,,Customer dependencies are identified according to established criteria,MIL-2 SP-2,,TRUE
EDM-1E: Identify Dependencies,EDM_1E_aescsf,Supply Chain and External Dependencies Management,Identify Dependencies,,Single-source and other essential dependencies are identified,MIL-2 SP-2,,TRUE
EDM-1F: Identify Dependencies,EDM_1F_aescsf,Supply Chain and External Dependencies Management,Identify Dependencies,,Dependencies are prioritised,MIL-2 SP-2,,TRUE
EDM-1G: Identify Dependencies,EDM_1G_aescsf,Supply Chain and External Dependencies Management,Identify Dependencies,,Dependency prioritisation and identification are based on the function's or organisation's risk criteria (RM-1c),MIL-3 SP-3,,TRUE
EDM-2A: Manage Dependency Risk,EDM_2A_aescsf,Supply Chain and External Dependencies Management,Manage Dependency Risk,,"Significant Cyber Security risks due to suppliers and other dependencies are identified and addressed, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
EDM-2B: Manage Dependency Risk,EDM_2B_aescsf,Supply Chain and External Dependencies Management,Manage Dependency Risk,,"Cyber Security requirements are considered, at least in an ad hoc manner, when establishing relationships with suppliers and other third parties",MIL-1 SP-1,,TRUE
EDM-2C: Manage Dependency Risk,EDM_2C_aescsf,Supply Chain and External Dependencies Management,Manage Dependency Risk,,Identified Cyber Security dependency risks are entered into the risk register (RM-2j),MIL-2 SP-2,,TRUE
EDM-2D: Manage Dependency Risk,EDM_2D_aescsf,Supply Chain and External Dependencies Management,Manage Dependency Risk,,Contracts and agreements with third parties incorporate sharing of Cyber Security threat information,MIL-2 SP-2,,TRUE
EDM-2E: Manage Dependency Risk,EDM_2E_aescsf,Supply Chain and External Dependencies Management,Manage Dependency Risk,,"Cyber Security requirements are established for suppliers according to a defined practice, including requirements for secure software development practices where appropriate",MIL-2 SP-2,,TRUE
EDM-2F: Manage Dependency Risk,EDM_2F_aescsf,Supply Chain and External Dependencies Management,Manage Dependency Risk,,Agreements with suppliers and other external entities include Cyber Security requirements,MIL-2 SP-2,,TRUE
EDM-2G: Manage Dependency Risk,EDM_2G_aescsf,Supply Chain and External Dependencies Management,Manage Dependency Risk,,Evaluation and selection of suppliers and other external entities includes consideration of their ability to meet Cyber Security requirements,MIL-2 SP-2,,TRUE
EDM-2H: Manage Dependency Risk,EDM_2H_aescsf,Supply Chain and External Dependencies Management,Manage Dependency Risk,,Agreements with suppliers require notification of Cyber Security incidents related to the delivery of the product or service,MIL-2 SP-2,,TRUE
EDM-2I: Manage Dependency Risk,EDM_2I_aescsf,Supply Chain and External Dependencies Management,Manage Dependency Risk,,Suppliers and other external entities are periodically reviewed for their ability to continually meet the Cyber Security requirements,MIL-2 SP-2,,TRUE
EDM-2J: Manage Dependency Risk,EDM_2J_aescsf,Supply Chain and External Dependencies Management,Manage Dependency Risk,,Cyber Security risks due to external dependencies are managed according to the organisation's risk management criteria and process,MIL-3 SP-3,,TRUE
EDM-2K: Manage Dependency Risk,EDM_2K_aescsf,Supply Chain and External Dependencies Management,Manage Dependency Risk,,Cyber Security requirements are established for supplier dependencies based on the organisation's risk criteria (RM-1c),MIL-3 SP-3,,TRUE
EDM-2L: Manage Dependency Risk,EDM_2L_aescsf,Supply Chain and External Dependencies Management,Manage Dependency Risk,,Agreements with suppliers require notification of vulnerability-inducing product defects throughout the intended life cycle of delivered products,MIL-3 SP-2,,TRUE
EDM-2M: Manage Dependency Risk,EDM_2M_aescsf,Supply Chain and External Dependencies Management,Manage Dependency Risk,,Acceptance testing of procured assets includes testing for Cyber Security requirements,MIL-3 SP-2,,TRUE
EDM-2N: Manage Dependency Risk,EDM_2N_aescsf,Supply Chain and External Dependencies Management,Manage Dependency Risk,,"Information sources are monitored to identify and avoid supply chain threats (e.g., counterfeit parts, software, and services)",MIL-3 SP-3,,TRUE
IAM-1A: Establish and Maintain Identities,IAM_1A_aescsf,Identify and Access Management,Establish and Maintain Identities,,"Identities are provisioned, at least in an ad hoc manner, for personnel and other entities (e.g., services, devices) who require access to assets (note that this does not preclude shared identities)",MIL-1 SP-1,,TRUE
IAM-1B: Establish and Maintain Identities,IAM_1B_aescsf,Identify and Access Management,Establish and Maintain Identities,,"Credentials are issued, at least in an ad hoc manner, for personnel and other entities that require access to assets (e.g., passwords, smart cards, certificates, keys)",MIL-1 SP-1,,TRUE
IAM-1C: Establish and Maintain Identities,IAM_1C_aescsf,Identify and Access Management,Establish and Maintain Identities,,"Identities are deprovisioned, at least in an ad hoc manner, when no longer required",MIL-1 SP-1,,TRUE
IAM-1D: Establish and Maintain Identities,IAM_1D_aescsf,Identify and Access Management,Establish and Maintain Identities,,"Identity repositories are periodically reviewed and updated to ensure validity (i.e., to ensure that the identities still need access)",MIL-2 SP-2,,TRUE
IAM-1E: Establish and Maintain Identities,IAM_1E_aescsf,Identify and Access Management,Establish and Maintain Identities,,Credentials are periodically reviewed to ensure that they are associated with the correct person or entity,MIL-2 SP-2,,TRUE
IAM-1F: Establish and Maintain Identities,IAM_1F_aescsf,Identify and Access Management,Establish and Maintain Identities,,Identities are deprovisioned within organisationally defined time thresholds when no longer required,MIL-2 SP-1,,TRUE
IAM-1G: Establish and Maintain Identities,IAM_1G_aescsf,Identify and Access Management,Establish and Maintain Identities,,"Requirements for credentials are informed by the organisation's risk criteria (e.g., multifactor credentials for higher risk access) (RM-1c)",MIL-3 SP-1,,TRUE
IAM-2A: Control Access,IAM_2A_aescsf,Identify and Access Management,Control Access,,"Access requirements, including those for remote access, are determined",MIL-1 SP-1,,TRUE
IAM-2B: Control Access,IAM_2B_aescsf,Identify and Access Management,Control Access,,"Access is granted to identities, at least in an ad hoc manner, based on requirements",MIL-1 SP-1,,TRUE
IAM-2C: Control Access,IAM_2C_aescsf,Identify and Access Management,Control Access,,"Access is revoked, at least in an ad hoc manner, when no longer required",MIL-1 SP-1,,TRUE
IAM-2D: Control Access,IAM_2D_aescsf,Identify and Access Management,Control Access,,Access requirements incorporate least privilege and separation of duties principles,MIL-2 SP-2,,TRUE
IAM-2E: Control Access,IAM_2E_aescsf,Identify and Access Management,Control Access,,Access requests are reviewed and approved by the asset owner,MIL-2 SP-2,,TRUE
IAM-2F: Control Access,IAM_2F_aescsf,Identify and Access Management,Control Access,,"Root privileges, administrative access, emergency access, and shared accounts receive additional scrutiny and monitoring",MIL-2 SP-1,,TRUE
IAM-2G: Control Access,IAM_2G_aescsf,Identify and Access Management,Control Access,,"Access privileges are reviewed and updated to ensure validity, at an organisationally defined frequency",MIL-3 SP-2,,TRUE
IAM-2H: Control Access,IAM_2H_aescsf,Identify and Access Management,Control Access,,Access to assets is granted by the asset owner based on risk to the function,MIL-3 SP-3,,TRUE
IAM-2I: Control Access,IAM_2I_aescsf,Identify and Access Management,Control Access,,Anomalous access attempts are monitored as indicators of Cyber Security events,MIL-3 SP-2,,TRUE
IAM-AP1: IAM Anti-Patterns,IAM_AP1_aescsf,Identify and Access Management,IAM Anti-Patterns,,"Identities (users) are created, and access to assets is provisioned, before confirming if the identity (user) has a genuine need for access",MIL-1 SP-1,,TRUE
IAM-AP2: IAM Anti-Patterns,IAM_AP2_aescsf,Identify and Access Management,IAM Anti-Patterns,,A complete and current register of identities (users) with privileged access is not maintained,MIL-2 SP-2,,TRUE
IAM-AP3: IAM Anti-Patterns,IAM_AP3_aescsf,Identify and Access Management,IAM Anti-Patterns,,Identity (user) deprovisioning is not informed and supported by organisational risk criteria (RM-1C),MIL-2 SP-2,,TRUE
IAM-AP4: IAM Anti-Patterns,IAM_AP4_aescsf,Identify and Access Management,IAM Anti-Patterns,,"Non-public, Internet-facing assets can be accessed using single-factor authentication",MIL-2 SP-1,,TRUE
IAM-AP5: IAM Anti-Patterns,IAM_AP5_aescsf,Identify and Access Management,IAM Anti-Patterns,,Privileged access to one or more assets is provisioned by default,MIL-2 SP-1,,TRUE
IAM-AP6: IAM Anti-Patterns,IAM_AP6_aescsf,Identify and Access Management,IAM Anti-Patterns,,Identities (users) have been provisioned with access to assets which breaches a segregation of duties requirement,MIL-2 SP-2,,TRUE
IAM-AP7: IAM Anti-Patterns,IAM_AP7_aescsf,Identify and Access Management,IAM Anti-Patterns,,Identities (users) cannot be individually identified and attributed to a person,MIL-2 SP-2,,TRUE
IAM-AP8: IAM Anti-Patterns,IAM_AP8_aescsf,Identify and Access Management,IAM Anti-Patterns,,Unusual or suspicious access to assets is not monitored by security monitoring solutions,MIL-3 SP-2,,TRUE
IAM-AP9: IAM Anti-Patterns,IAM_AP9_aescsf,Identify and Access Management,IAM Anti-Patterns,,Unknown or unauthorised identities (users) and assets can connect to known assets,MIL-3 SP-1,,TRUE
IAM-AP10: IAM Anti-Patterns,IAM_AP10_aescsf,Identify and Access Management,IAM Anti-Patterns,,The continued need for an identity (user) to have access to an asset is not validated when identity (user) repositories are reviewed,MIL-3 SP-3,,TRUE
IAM-AP11: IAM Anti-Patterns,IAM_AP11_aescsf,Identify and Access Management,IAM Anti-Patterns,,Identities (users) are not prohibited (by organisational policy) from connecting to critical assets using unknown or unauthorised assets,MIL-3 SP-2,,TRUE
IR-1A: Detect Cyber Security Events,IR_1A_aescsf,"Event and Incident Response, Continuity of Operations",Detect Cyber Security Events,,There is a point of contact (person or role) to whom Cyber Security events could be reported,MIL-1 SP-1,,TRUE
IR-1B: Detect Cyber Security Events,IR_1B_aescsf,"Event and Incident Response, Continuity of Operations",Detect Cyber Security Events,,"Detected Cyber Security events are reported, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
IR-1C: Detect Cyber Security Events,IR_1C_aescsf,"Event and Incident Response, Continuity of Operations",Detect Cyber Security Events,,"Cyber Security events are logged and tracked, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
IR-1D: Detect Cyber Security Events,IR_1D_aescsf,"Event and Incident Response, Continuity of Operations",Detect Cyber Security Events,,"Criteria are established for Cyber Security event detection (e.g., what constitutes an event, where to look for events)",MIL-2 SP-1,,TRUE
IR-1E: Detect Cyber Security Events,IR_1E_aescsf,"Event and Incident Response, Continuity of Operations",Detect Cyber Security Events,,There is a repository where Cyber Security events are logged based on the established criteria,MIL-2 SP-1,,TRUE
IR-1F: Detect Cyber Security Events,IR_1F_aescsf,"Event and Incident Response, Continuity of Operations",Detect Cyber Security Events,,"Event information is correlated to support incident analysis by identifying patterns, trends, and other common features",MIL-3 SP-3,,TRUE
IR-1G: Detect Cyber Security Events,IR_1G_aescsf,"Event and Incident Response, Continuity of Operations",Detect Cyber Security Events,,Cyber Security event detection activities are adjusted based on information from the organisation's risk register (RM-2j) and threat profile (TVM-1d) to help detect known threats and monitor for identified risks,MIL-3 SP-3,,TRUE
IR-1H: Detect Cyber Security Events,IR_1H_aescsf,"Event and Incident Response, Continuity of Operations",Detect Cyber Security Events,,The common operating picture for the function is monitored to support the identification of Cyber Security events (SA-3a),MIL-3 SP-3,,TRUE
IR-2A: Escalate Cyber Security Events and Declare Incidents,IR_2A_aescsf,"Event and Incident Response, Continuity of Operations",Escalate Cyber Security Events and Declare Incidents,,"Criteria for Cyber Security event escalation are established, including Cyber Security incident declaration criteria, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
IR-2B: Escalate Cyber Security Events and Declare Incidents,IR_2B_aescsf,"Event and Incident Response, Continuity of Operations",Escalate Cyber Security Events and Declare Incidents,,"Cyber Security events are analysed, at least in an ad hoc manner, to support escalation and the declaration of Cyber Security incidents",MIL-1 SP-1,,TRUE
IR-2C: Escalate Cyber Security Events and Declare Incidents,IR_2C_aescsf,"Event and Incident Response, Continuity of Operations",Escalate Cyber Security Events and Declare Incidents,,"Escalated Cyber Security events and incidents are logged and tracked, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
IR-2D: Escalate Cyber Security Events and Declare Incidents,IR_2D_aescsf,"Event and Incident Response, Continuity of Operations",Escalate Cyber Security Events and Declare Incidents,,"Criteria for Cyber Security event escalation, including Cyber Security incident criteria, are established based on the potential impact to the function",MIL-2 SP-2,,TRUE
IR-2E: Escalate Cyber Security Events and Declare Incidents,IR_2E_aescsf,"Event and Incident Response, Continuity of Operations",Escalate Cyber Security Events and Declare Incidents,,"Criteria for Cyber Security event escalation, including Cyber Security incident declaration criteria, are updated at an organisation-defined frequency",MIL-2 SP-2,,TRUE
IR-2F: Escalate Cyber Security Events and Declare Incidents,IR_2F_aescsf,"Event and Incident Response, Continuity of Operations",Escalate Cyber Security Events and Declare Incidents,,There is a repository where escalated Cyber Security events and Cyber Security incidents are logged and tracked to closure,MIL-2 SP-2,,TRUE
IR-2G: Escalate Cyber Security Events and Declare Incidents,IR_2G_aescsf,"Event and Incident Response, Continuity of Operations",Escalate Cyber Security Events and Declare Incidents,,"Criteria for Cyber Security event escalation, including Cyber Security incident declaration criteria, are adjusted according to information from the organisation's risk register (RM-2j) and threat profile (TVM-1d)",MIL-3 SP-3,,TRUE
