dashboard,requirement
B2_A_caf,"IGP4: You use additional authentication mechanisms, such as multi-factor (MFA), for privileged access to all systems that operate or support your essential function."
B2_A_caf,"IGP5: You use additional authentication mechanisms, such as multi-factor (MFA), when you individually authenticate and authorise all remote user access to all your networks and information systems that support your essential function."
B2_A_caf,"IGP6: The list of users with access to networks and systems supporting and delivering the essential function is reviewed on a regular basis, at least every six months."
B2_B_caf,"IGP1: Dedicated devices are used for privileged actions (such as administration or accessing the essential function's network and information systems). These devices are not used for directly browsing the web or accessing email."
B2_B_caf,"IGP2: You either obtain independent and professional assurance of the security of third-party devices or networks before they connect to your systems, or you only allow third-party devices or networks dedicated to supporting your systems to connect."
B2_B_caf,"IGP3: You perform certificate-based device identity management and only allow known devices to access systems necessary for the operation of your essential function."
B2_B_caf,"IGP4: You perform regular scans to detect unknown devices and investigate any findings."
B2_C_caf,"IGP1: Privileged user access to your essential function systems is carried out from dedicated separate accounts that are closely monitored and managed."
B2_C_caf,"IGP2: The issuing of temporary, time-bound rights for privileged user access and external third-party support access is in place."
B2_C_caf,"IGP3: Privileged user access rights are regularly reviewed and always updated as part of your joiners, movers and leavers process."
B2_C_caf,"IGP4: All privileged user access to your networks and information systems requires strong authentication, such as multi-factor (MFA) or additional real-time security monitoring."
B2_C_caf,"IGP5: All privileged user activity is routinely reviewed, validated and recorded for offline analysis and investigation."
B2_D_caf,"IGP1: You follow a robust procedure to verify each user and issue the minimum required access rights, and the application of the procedure is regularly audited."
B2_D_caf,"IGP2: User permissions are reviewed both when people change roles via your joiners, leavers and movers process and at regular intervals - at least annually."
B2_D_caf,"IGP3: All user, device and systems access to the systems supporting the essential function is logged and monitored."
B2_D_caf,"IGP4: You regularly review access logs and correlate this data with other access records and expected activity."
B2_D_caf,"IGP5: Attempts by unauthorised users, devices or systems to connect to the systems supporting the essential function are alerted, promptly assessed and investigated."
B3_A_caf,"IGP1: You have identified and catalogued all the data important to the operation of the essential function, or that would assist an attacker."
B3_A_caf,"IGP2: You have identified and catalogued who has access to the data important to the operation of the essential function."
B3_A_caf,"IGP3: You maintain a current understanding of the location, quantity and quality of data important to the operation of the essential function."
B3_A_caf,"IGP4: You take steps to remove or minimise unnecessary copies or unneeded historic data."
B3_A_caf,"IGP5: You have identified all mobile devices and media that may hold data important to the operation of the essential function."
B3_A_caf,"IGP6: You maintain a current understanding of the data links used to transmit data that is important to your essential function."
B3_A_caf,"IGP7: You understand the context, limitations and dependencies of your important data."
B3_A_caf,"IGP8: You understand and document the impact on your essential function of all relevant scenarios, including unauthorised data access, modification or deletion, or when authorised users are unable to appropriately access this data."
B3_A_caf,"IGP9: You validate these documented impact statements regularly, at least annually."
B3_B_caf,"IGP1: You have identified and protected (effectively and proportionately) all the data links that carry data important to the operation of your essential function."
B3_B_caf,"IGP2: You apply appropriate physical and / or technical means to protect data that travels over non-trusted or openly accessible carriers, with justified confidence in the robustness of the protection applied."
B3_B_caf,"IGP3: Suitable alternative transmission paths are available where there is a significant risk of impact on the operation of the essential function due to resource limitation (e.g. transmission equipment or function failure, or important data being blocked or jammed)."
B3_C_caf,"IGP1: You have only necessary copies of this data. Where data is transferred to less secure systems, the data is provided with limited detail and / or as a read-only copy."
B3_C_caf,"IGP2: You have applied suitable physical or technical means to protect this important stored data from unauthorised access, modification or deletion."
B3_C_caf,"IGP3: If cryptographic protections are used you apply suitable technical and procedural means, and you have justified confidence in the robustness of the protection applied."
B3_C_caf,"IGP4: You have suitable, secured backups of data to allow the operation of the essential function to continue should the original data not be available. This may include off-line or segregated backups, or appropriate alternative forms such as paper copies."
B3_C_caf,"IGP5: Necessary historic or archive data is suitably secured in storage."
B3_D_caf,"IGP1: Mobile devices that hold data that is important to the operation of the essential function are catalogued, are under your organisation's control and configured according to best practice for the platform, with appropriate technical and procedural policies in place."
B3_D_caf,"IGP2: Your organisation can remotely wipe all mobile devices holding data important to the operation of essential function."
B3_D_caf,"IGP3: You have minimised this data on these mobile devices. Some data may be automatically deleted off mobile devices after a certain period."
B3_E_caf,"IGP1: You catalogue and track all devices that contain data important to the operation of the essential function (whether a specific storage device or one with integral storage)."
B3_E_caf,"IGP2: All data important to the operation of the essential function is sanitised from all devices, equipment or removable media before reuse and / or disposal using an assured product or service."
B4_A_caf,"IGP1: You employ appropriate expertise to design network and information systems."
B4_A_caf,"IGP2: Your networks and information systems are segregated into appropriate security zones, e.g. operational systems for the essential function are segregated in a highly trusted, more secure zone."
B4_A_caf,"IGP3: The networks and information systems supporting your essential function are designed to have simple data flows between components to support effective security monitoring."
B4_A_caf,"IGP4: The networks and information systems supporting your essential function are designed to be easy to recover."
B4_A_caf,"IGP5: Content-based attacks are mitigated for all inputs to operational systems that affect the essential function (e.g. via transformation and inspection)."
B4_B_caf,"IGP1: You have identified, documented and actively manage (e.g. maintain security configurations, patching, updating according to good practice) the assets that need to be carefully configured to maintain the security of the essential function."
B4_B_caf,"IGP2: All platforms conform to your secure, defined baseline build, or the latest known good configuration version for that environment."
B4_B_caf,"IGP3: You closely and effectively manage changes in your environment, ensuring that network and system configurations are secure and documented."
B4_B_caf,"IGP4: You regularly review and validate that your network and information systems have the expected, secured settings and configuration."
B4_B_caf,"IGP5: Only permitted software can be installed."
B4_B_caf,"IGP6: Standard users are not able to change settings that would impact security or the business operation."
B4_B_caf,"IGP7: If automated decision-making technologies are in use, their operation is well understood, and decisions can be replicated."
B4_C_caf,"IGP1: Your systems and devices supporting the operation of the essential function are only administered or maintained by authorised privileged users from dedicated devices that are technically segregated and secured to the same level as the networks and systems being maintained."
B4_C_caf,"IGP2: You regularly review and update technical knowledge about networks and information systems, such as documentation and network diagrams, and ensure they are securely stored."
B4_C_caf,"IGP3: You prevent, detect and remove malware or unauthorised software. You use technical, procedural and physical measures as necessary."
B4_D_caf,"IGP1: You maintain a current understanding of the exposure of your essential function to publicly-known vulnerabilities."
B4_D_caf,"IGP2: Announced vulnerabilities for all software packages, network equipment and operating systems used to support the operation of your essential function are tracked, prioritised and mitigated (e.g. by patching) promptly."
B4_D_caf,"IGP3: You regularly test to fully understand the vulnerabilities of the networks and information systems that support the operation of your essential function and verify this understanding with third-party testing."
B4_D_caf,"IGP4: You maximise the use of supported software, firmware and hardware in your networks and information systems supporting your essential function."
B5_A_caf,"IGP1: You have business continuity and disaster recovery plans that have been tested for practicality, effectiveness and completeness. Appropriate use is made of different test methods, e.g. manual fail-over, table-top exercises, or red-teaming."
B5_A_caf,"IGP2: You use your security awareness and threat intelligence sources, to make immediate and potentially temporary security changes in response to new threats, e.g. a widespread outbreak of very damaging malware."
B5_B_caf,"IGP1: Operational systems that support the operation of the essential function are segregated from other business and external systems by appropriate technical and physical means, e.g. separate network and system infrastructure with independent user administration. Internet services are not accessible from operational systems."
B5_B_caf,"IGP2: You have identified and mitigated all resource limitations, e.g. bandwidth limitations and single network paths."
B5_B_caf,"IGP3: You have identified and mitigated any geographical constraints or weaknesses. (e.g. systems that your essential function depends upon are replicated in another location, important network connectivity has alternative physical paths and service providers)."
B5_B_caf,"IGP4: You review and update assessments of dependencies, resource and geographical limitations and mitigation's when necessary."
B5_C_caf,"IGP1: Your comprehensive, automatic and tested technical and procedural backups are secured at centrally accessible or secondary sites to recover from an extreme event."
B5_C_caf,"IGP2: Backups of all important data and information needed to recover the essential function ;are made, tested, documented and routinely reviewed."
B6_A_caf,"IGP1: Your executive management clearly and effectively communicates the organisation's cyber security priorities and objectives to all staff. Your organisation displays positive cyber security attitudes, behaviours and expectations."
B6_A_caf,"IGP2: People in your organisation raising potential cyber security incidents and issues are treated positively."
B6_A_caf,"IGP3: Individuals at all levels in your organisation routinely report concerns or issues about cyber security and are recognised for their contribution to keeping the organisation secure."
B6_A_caf,"IGP4: Your management is seen to be committed to and actively involved in cyber security."
B6_A_caf,"IGP5: Your organisation communicates openly about cyber security, with any concern being taken seriously."
B6_A_caf,"IGP6: People across your organisation participate in cyber security activities and improvements, building joint ownership and bringing knowledge of their area of expertise."
B6_B_caf,"IGP1: All people in your organisation, from the most senior to the most junior, follow appropriate cyber security training paths."
B6_B_caf,"IGP2: Each individual's cyber security training is tracked and refreshed at suitable intervals."
B6_B_caf,"IGP3: You routinely evaluate your cyber security training and awareness activities to ensure they reach the widest audience and are effective."
B6_B_caf,"IGP4: You make cyber security information and good practice guidance easily accessible, widely available and you know it is referenced and used within your organisation."
C1_A_caf,"IGP1: Monitoring is based on an understanding of your networks, common cyber attack methods and what you need awareness of in order to detect potential security incidents that could affect the operation of your essential function (e.g. presence of malware, malicious emails, user policy violations)."
C1_A_caf,"IGP2: Your monitoring data provides enough detail to reliably detect security incidents that could affect the operation of your essential function."
C1_A_caf,"IGP3: You easily detect the presence or absence of IoCs on your essential functions, such as known malicious command and control signatures."
C1_A_caf,"IGP4: Extensive monitoring of user activity in relation to the operation of essential functions enables you to detect policy violations and an agreed list of suspicious or undesirable behaviour."
C1_A_caf,"IGP5: You have extensive monitoring coverage that includes host-based monitoring and network gateways."
C1_A_caf,"IGP6: All new systems are considered as potential monitoring data sources to maintain a comprehensive monitoring capability."
C1_B_caf,"IGP1: The integrity of logging data is protected, or any modification is detected and attributed."
C1_B_caf,"IGP2: The logging architecture has mechanisms, processes and procedures to ensure that it can protect itself from threats comparable to those it is trying to identify. This includes protecting the function itself, and the data within it."
C1_B_caf,"IGP3: Log data analysis and normalisation is only performed on copies of the data keeping the master copy unaltered."
C1_B_caf,"IGP4: Logging datasets are synchronised, using an accurate common time source, so separate datasets can be correlated in different ways."
C1_B_caf,"IGP5: Access to logging data is limited to those with business need and no others."
C1_B_caf,"IGP6: All actions involving all logging data (e.g. copying, deleting or modification, or even viewing) can be traced back to a unique user."
C1_B_caf,"IGP7: Legitimate reasons for accessing logging data are given in use policies."
C1_C_caf,"IGP1: Logging data is enriched with other network knowledge and data when investigating certain suspicious activity or alerts."
C1_C_caf,"IGP2: A wide range of signatures and indicators of compromise is used for investigations of suspicious activity and alerts."
C1_C_caf,"IGP3: Alerts can be easily resolved to network assets using knowledge of networks and systems. The resolution of these alerts is performed in almost real time."
C1_C_caf,"IGP4: Security alerts relating to all essential functions are prioritised and this information is used to support incident management."
C1_C_caf,"IGP5: Logs are reviewed almost continuously, in real time."
C1_C_caf,"IGP6: Alerts are tested to ensure that they are generated reliably and that it is possible to distinguish genuine security incidents from false alarms."
C1_D_caf,"IGP1: You have selected threat intelligence feeds using risk-based and threat-informed decisions based on your business needs and sector (e.g. vendor reporting and patching, strong anti-virus providers, sector and community-based infoshare, special interest groups)."
C1_D_caf,"IGP2: You apply all new signatures and IoCs within a reasonable (risk-based) time of receiving them."
C1_D_caf,"IGP3: You receive signature updates for all your protective technologies (e.g. AV, IDS)."
C1_D_caf,"IGP4: You track the effectiveness of your intelligence feeds and actively share feedback on the usefulness of IoCs and any other indicators with the threat community (e.g. sector partners, threat intelligence providers, government agencies)."
C1_E_caf,"IGP1: You have monitoring staff, who are responsible for the analysis, investigation and reporting of monitoring alerts covering both security and performance."
C1_E_caf,"IGP2: Monitoring staff have defined roles and skills that cover all parts of the monitoring and investigation process."
C1_E_caf,"IGP3: Monitoring staff follow process and procedures that address all governance reporting requirements, internal and external."
C1_E_caf,"IGP4: Monitoring staff are empowered to look beyond the fixed process to investigate and understand non-standard threats, by developing their own investigative techniques and making new use of data."
C1_E_caf,"IGP5: Your monitoring tools make use of all logging data collected to pinpoint activity within an incident."
C1_E_caf,"IGP6: Monitoring staff and tools drive and shape new log data collection and can make wide use of it."
C1_E_caf,"IGP7: Monitoring staff are aware of the operation of essential functions and related assets and can identify and prioritise alerts or investigations that relate to them."
C2_A_caf,"IGP1: Normal system behaviour is fully understood to such an extent that searching for system abnormalities is a potentially effective way of detecting malicious activity (e.g. you fully understand which systems should and should not communicate and when)."
C2_A_caf,"IGP2: System abnormality descriptions from past attacks and threat intelligence, on yours and other networks, are used to signify malicious activity."
C2_A_caf,"IGP3: The system abnormalities you search for consider the nature of attacks likely to impact on the networks and information systems supporting the operation of essential functions."
C2_A_caf,"IGP4: The system abnormality descriptions you use are updated to reflect changes in your networks and information systems and current threat intelligence."
C2_B_caf,"IGP1: You routinely search for system abnormalities indicative of malicious activity on the networks and information systems supporting the operation of your essential function, generating alerts based on the results of such searches."
C2_B_caf,"IGP2: You have justified confidence in the effectiveness of your searches for system abnormalities indicative of malicious activity."
D1_A_caf,"IGP1: Your incident response plan is based on a clear understanding of the security risks to the networks and information systems supporting your essential function."
D1_A_caf,"IGP2: Your incident response plan is comprehensive (i.e. covers the complete lifecycle of an incident, roles and responsibilities, and reporting) and covers likely impacts of both known attack patterns and of possible attacks, previously unseen."
D1_A_caf,"IGP3: Your incident response plan is documented and integrated with wider organisational business and supply chain response plans."
D1_A_caf,"IGP4: Your incident response plan is communicated and understood by the business areas involved with the operation of your essential functions."
D1_B_caf,"IGP1: You understand the resources that will likely be needed to carry out any required response activities, and arrangements are in place to make these resources available."
D1_B_caf,"IGP2: You understand the types of information that will likely be needed to inform response decisions and arrangements are in place to make this information available."
D1_B_caf,"IGP3: Your response team members have the skills and knowledge required to decide on the response actions necessary to limit harm, and the authority to carry them out."
D1_B_caf,"IGP4: Key roles are duplicated, and operational delivery knowledge is shared with all individuals involved in the operations and recovery of the essential function."
D1_B_caf,"IGP5: Back-up mechanisms are available that can be readily activated to allow continued operation of your essential function (although possibly at a reduced level) if primary networks and information systems fail or are unavailable."
D1_B_caf,"IGP6: Arrangements exist to augment your organisation's incident response capabilities with external support if necessary (e.g. specialist cyber incident responders)."
D1_C_caf,"IGP1: Exercise scenarios are based on incidents experienced by your and other organisations or are composed using experience or threat intelligence."
D1_C_caf,"IGP2: Exercise scenarios are documented, regularly reviewed, and validated."
D1_C_caf,"IGP3: Exercises are routinely run, with the findings documented and used to refine incident response plans and protective security, in line with the lessons learned."
D1_C_caf,"IGP4: Exercises test all parts of your response cycle relating to your essential functions (e.g. restoration of normal function levels)."
D2_A_caf,"IGP1: Root cause analysis is conducted routinely as a key part of your lessons learned activities following an incident."
D2_A_caf,"IGP2: Your root cause analysis is comprehensive, covering organisational process issues, as well as vulnerabilities in your networks, systems or software."
D2_A_caf,"IGP3: All relevant incident data is made available to the analysis team to perform root cause analysis."
D2_B_caf,"IGP1: You have a documented incident review process/policy which ensures that lessons learned from each incident are identified, captured, and acted upon."
D2_B_caf,"IGP2: Lessons learned cover issues with reporting, roles, governance, skills and organisational processes as well as technical aspects of networks and information systems."
D2_B_caf,"IGP3: You use lessons learned to improve security measures, including updating and retesting response plans when necessary."
D2_B_caf,"IGP4: Security improvements identified as a result of lessons learned are prioritised, with the highest priority improvements completed quickly."
D2_B_caf,"IGP5: Analysis is fed to senior management and incorporated into risk management and continuous improvement."
