name,dashboard,domain,capability,capability_description,icon,practice_description,expanded_guidance,level,ext_product,ext_link,visible
B2.C: Privileged User Management,B2_C_caf,B2. Identity and Access Control,,,,You closely manage privileged user access to networks and information systems supporting the essential function.,,,,,True
B2.D: Identity and Access Management (IdAM),B2_D_caf,B2. Identity and Access Control,,,,"You closely manage and maintain identity and access control for users, devices and systems accessing the networks and information systems supporting the essential function.",,,,,True
B3.A: Understanding Data,B3_A_caf,B3. Data Security,,,,"You have a good understanding of data important to the operation of the essential function, where it is stored, where it travels and how unavailability or unauthorised access, modification or deletion would adversely impact the essential function. This also applies to third parties storing or accessing data important to the operation of essential functions.",,,,,True
B3.B: Data in Transit,B3_B_caf,B3. Data Security,,,,You have protected the transit of data important to the operation of the essential function. This includes the transfer of data to third parties.,,,,,True
B3.C: Stored Data,B3_C_caf,B3. Data Security,,,,You have protected stored data important to the operation of the essential function.,,,,,True
B3.D: Mobile Data,B3_D_caf,B3. Data Security,,,,You have protected data important to the operation of the essential function on mobile devices.,,,,,True
B3.E: Media / Equipment Sanitisation,B3_E_caf,B3. Data Security,,,,You appropriately sanitise media and equipment holding data important to the operation of the essential function.,,,,,True
B4.A: Secure by Design,B4_A_caf,B4. System Security,,,,You design security into the network and information systems that support the operation of essential functions. You minimise their attack surface and ensure that the operation of the essential function should not be impacted by the exploitation of any single vulnerability.,,,,,True
B4.B: Secure Configuration,B4_B_caf,B4. System Security,,,,You securely configure the network and information systems that support the operation of essential functions.,,,,,True
B4.C: Secure Management,B4_C_caf,B4. System Security,,,,You manage your organisation's network and information systems that support the operation of essential functions to enable and maintain security.,,,,,True
B4.D: Vulnerability Management,B4_D_caf,B4. System Security,,,,You manage known vulnerabilities in your network and information systems to prevent adverse impact on the essential function.,,,,,True
B5.A: Resilience Preparation,B5_A_caf,B5. Resilient Networks and Systems,,,,You are prepared to restore the operation of your essential function following adverse impact.,,,,,True
B5.B: Design for Resilience,B5_B_caf,B5. Resilient Networks and Systems,,,,You design the network and information systems supporting your essential function to be resilient to cyber security incidents. Systems are appropriately segregated and resource limitations are mitigated.,,,,,True
B5.C: Backups,B5_C_caf,B5. Resilient Networks and Systems,,,,You hold accessible and secured current backups of data and information needed to recover operation of your essential function.,,,,,True
B6.A: Cyber Security Culture,B6_A_caf,B6. Staff Awareness and Training,,,,You develop and pursue a positive cyber security culture.,,,,,True
B6.B: Cyber Security Training,B6_B_caf,B6. Staff Awareness and Training,,,,"The people who support the operation of your essential function are appropriately trained in cyber security. A range of approaches to cyber security training, awareness and communications are employed.",,,,,True
C1.A: Monitoring Coverage,C1_A_caf,C1. Security Monitoring,,,,The data sources that you include in your monitoring allow for timely identification of security events which might affect the operation of your essential function.,,,,,True
C1.B: Securing Logs,C1_B_caf,C1. Security Monitoring,,,,"You hold logging data securely and grant read access only to accounts with business need. No employee should ever need to modify or delete logging data within an agreed retention period, after which it should be deleted.",,,,,True
C1.C: Generating Alerts,C1_C_caf,C1. Security Monitoring,,,,Evidence of potential security incidents contained in your monitoring data is reliably identified and triggers alerts.,,,,,True
C1.D: Identifying Security Incidents,C1_D_caf,C1. Security Monitoring,,,,"You contextualise alerts with knowledge of the threat and your systems, to identify those security incidents that require some form of response.",,,,,True
C1.E: Monitoring Tools and Skills,C1_E_caf,C1. Security Monitoring,,,,"Monitoring staff skills, tools and roles, including any that are out sourced, should reflect governance and reporting requirements, expected threats and the complexities of the network or system data they need to use. Monitoring staff have knowledge of the essential functions they need to protect.",,,,,True
C2.A: System Abnormalities for Attack Detection,C2_A_caf,C2. Proactive Security Event Discovery,,,,You define examples of abnormalities in system behaviour that provide practical ways of detecting malicious activity that is otherwise hard to identify.,,,,,True
C2.B: Proactive Attack Discovery,C2_B_caf,C2. Proactive Security Event Discovery,,,,You use an informed understanding of more sophisticated attack methods and of normal system behaviour to monitor proactively for malicious activity.,,,,,True
D1.A: Response Plan,D1_A_caf,D1. Response and Recovery Planning,,,,You have an up-to-date incident response plan that is grounded in a thorough risk assessment that takes account of your essential function and covers a range of incident scenarios.,,,,,True
D1.B: Response and Recovery Capability,D1_B_caf,D1. Response and Recovery Planning,,,,"You have the capability to enact your incident response plan, including effective limitation of impact on the operation of your essential function. During an incident, you have access to timely information on which to base your response decisions.",,,,,True
D1.C: Testing and Exercising,D1_C_caf,D1. Response and Recovery Planning,,,,"Your organisation carries out exercises to test response plans, using past incidents that affected your (and other) organisation, and scenarios that draw on threat intelligence and your risk assessment.",,,,,True
D2.A: Incident Root Cause Analysis,D2_A_caf,D2. Lessons Learned,,,,"When an incident occurs, steps must be taken to understand its root causes and ensure appropriate remediating action is taken.",,,,,True
D2.B: Using Incidents to Drive Improvements,D2_B_caf,D2. Lessons Learned,,,,Your organisation uses lessons learned from incidents to improve your security measures.,,,,,True
