capability,"capability_description",dashboard,domain,icon,level,name,"practice_description",visible
"AC-11","Device Lock | Pattern-hiding Displays","AC_11-1_fisma","Access Control","fas fa-user-lock","Medium-High","AC-11(1)","The information system conceals, via the session lock, information previously visible on the display with a publicly viewable image.",TRUE
"AC-11","Device Lock","AC_11_fisma","Access Control","fas fa-user-lock","Medium-High","AC-11","The information system provides the capability for users to directly initiate session lock mechanisms.",TRUE
"AC-12","Session Termination","AC_12_fisma","Access Control","fas fa-user-lock","Medium-High","AC-12","The organization defines the conditions or trigger events requiring session disconnect to be employed by the information system when automatically terminating a user session.",TRUE
"AC-14","Permitted Actions Without Identification or Authentication","AC_14_fisma","Access Control","fas fa-user-lock","Low-Medium-High","AC-14","The organization identifies and defines organization-defined user actions that can be performed on the information system without identification or authentication consistent with organizational missions/business functions.",TRUE
"AC-17","Remote Access | Monitoring and Control","AC_17-1_fisma","Access Control","fas fa-user-lock","Medium-High","AC-17(1)","Employ automated mechanisms to monitor and control remote access methods.",TRUE
"AC-17","Remote Access | Protection of Confidentiality and Integrity Using Encryption","AC_17-2_fisma","Access Control","fas fa-user-lock","Medium-High","AC-17(2)","Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.",TRUE
"AC-17","Remote Access | Managed Access Control Points","AC_17-3_fisma","Access Control","fas fa-user-lock","Medium-High","AC-17(3)","Route remote accesses through authorized and managed network access control points.",TRUE
"AC-17","Remote Access | Privileged Commands and Access","AC_17-4_fisma","Access Control","fas fa-user-lock","Medium-High","AC-17(4)","Authorize the execution of privileged commands and access to security-relevant information via remote access only in a format that provides assessable evidence and for the following needs: [Assignment: organization-defined needs]; and Document the rationale for remote access in the security plan for the system.",TRUE
"AC-17","Remote Access","AC_17_fisma","Access Control","fas fa-user-lock","Medium-High","AC-17","Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and
Authorize each type of remote access to the system prior to allowing such connections.",TRUE
"AC-18","Wireless Access | Authentication and Encryption","AC_18-1_fisma","Access Control","fas fa-user-lock","Medium-High","AC-18(1)","Protect wireless access to the system using authentication of [Assignment (one or more): users, devices] and encryption.",TRUE
"AC-18","Wireless Access | Disable Wireless Networking","AC_18-3_fisma","Access Control","fas fa-user-lock","Medium-High","AC-18(3)","Disable, when not intended for use, wireless networking capabilities embedded within system components prior to issuance and deployment.",TRUE
"AC-18","Wireless Access | Restrict Configurations by Users","AC_18-4_fisma","Access Control","fas fa-user-lock",High,"AC-18(4)","Identify and explicitly authorize users allowed to independently configure wireless networking capabilities.",TRUE
"AC-18","Wireless Access | Antennas and Transmission Power Levels","AC_18-5_fisma","Access Control","fas fa-user-lock",High,"AC-18(5)","Select radio antennas and calibrate transmission power levels to reduce the probability that signals from wireless access points can be received outside of organization-controlled boundaries.",TRUE
"AC-18","Wireless Access","AC_18_fisma","Access Control","fas fa-user-lock","Low-Medium-High","AC-18","Establish configuration requirements, connection requirements, and implementation guidance for each type of wireless access; and
Authorize each type of wireless access to the system prior to allowing such connections.",TRUE
"AC-19","Access Control for Mobile Devices | Full Device or Container-based Encryption","AC_19-5_fisma","Access Control","fas fa-user-lock","Medium-High","AC-19(5)","Employ [Assignment: full-device encryption, container-based encryption] to protect the confidentiality and integrity of information on [Assignment: organization-defined mobile devices].",TRUE
"AC-19","Access Control for Mobile Devices","AC_19_fisma","Access Control","fas fa-user-lock","Low-Medium-High","AC-19","Establish configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas; and
Authorize the connection of mobile devices to organizational systems.",TRUE
"AC-20","Use of External Systems | Limits on Authorized Use","AC_20-1_fisma","Access Control","fas fa-user-lock","Medium-High","AC-20(1)","The organization permits authorized individuals to use an external information system to access the information system only when the organization verifies the implementation of required security controls on the external system as specified in the organization^s information security policy and security plan.",TRUE
"AC-20","Use of External Systems | Portable Storage Devices - Restricted Use","AC_20-2_fisma","Access Control","fas fa-user-lock","Medium-High","AC-20(2)","Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems using [Assignment: organization-defined restrictions]",TRUE
"AC-20","Use of External Systems","AC_20_fisma","Access Control","fas fa-user-lock","Low-Medium-High","AC-20","The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to access the information system from the external information systems.",TRUE
"AC-21","Information Sharing","AC_21_fisma","Access Control","fas fa-user-lock","Medium-High","AC-21","The organization facilitates information sharing by enabling authorized users to determine whether access authorizations assigned to the sharing partner match the access restrictions on the information for organization-defined information circumstances where user discretion is required.",TRUE
"AC-22","Publicly Accessible Content","AC_22_fisma","Access Control","fas fa-user-lock","Low-Medium-High","AC-22","The organization designates individuals authorized to post information onto a publicly accessible information system.",TRUE
"CA-1","Policy and Procedures","CA_1_fisma","Assessment, Authorization, And Monitoring","fas fa-user-lock","Low-Medium-High","CA-1","The organization defines the personnel or roles to whom security assessment and authorization policy is to be disseminated.",TRUE
"CA-2","Control Assessments","CA_2_fisma","Assessment, Authorization, And Monitoring","fas fa-user-lock","Low-Medium-High","CA-2","The organization develops a security assessment plan for the information system and its environment of operation.",TRUE
"CA-2","Control Assessments | Independent Assessors","CA_2-1_fisma","Assessment, Authorization, And Monitoring","fas fa-user-lock","Medium-High","CA-2(1)","The organization employs assessors or assessment teams with an organization-defined level of independence to conduct security control assessments of organizational information systems.",TRUE
"CA-2","Control Assessments | Specialized Assessments","CA_2-2_fisma","Assessment, Authorization, And Monitoring","fas fa-user-lock",High,"CA-2(2)","The organization includes, as part of security control assessments announced or unannounced, one or more of the following: in-depth monitoring; vulnerability scanning; malicious user testing; insider threat assessment; performance/load testing; and organization-defined other forms of security assessment on an organization-defined frequency.",TRUE
"CA-3","Information Exchange","CA_3_fisma","Assessment, Authorization, And Monitoring","fas fa-user-lock","Low-Medium-High","CA-3","The organization authorizes connections from the information system to other information systems through the use of Interconnection Security Agreements.",TRUE
"CA-3","Information Exchange | Transfer Authorizations","CA_3-6_fisma","Assessment, Authorization, And Monitoring","fas fa-user-lock",High,"CA-3(6)","Verify that individuals or systems transferring data between interconnecting systems have the requisite authorizations (i.e., write permissions or privileges) prior to accepting such data.",TRUE
"CA-5","Plan of Action and Milestones","CA_5_fisma","Assessment, Authorization, And Monitoring","fas fa-user-lock","Low-Medium-High","CA-5","The organization develops a plan of action and milestones for the information system to document the organization^s planned remedial actions to correct weaknesses or deficiencies noted during the assessment of the security controls and to reduce or eliminate known vulnerabilities in the system.",TRUE
"CA-6",Authorization,"CA_6_fisma","Assessment, Authorization, And Monitoring","fas fa-user-lock","Low-Medium-High","CA-6","The organization assigns a senior-level executive or manager as the authorizing official for the information system.",TRUE
"CA-7","Continuous Monitoring","CA_7_fisma","Assessment, Authorization, And Monitoring","fas fa-user-lock","Low-Medium-High","CA-7","The organization develops a continuous monitoring strategy.",TRUE
"CA-7","Continuous Monitoring | Independent Assessment","CA_7-1_fisma","Assessment, Authorization, And Monitoring","fas fa-user-lock","Medium-High","CA-7(1)","The organization employs assessors or assessment teams with an organization-defined level of independence to monitor the security controls in the information system on an ongoing basis.",TRUE
"CA-7","Continuous Monitoring | Risk Monitoring","CA_7-4_fisma","Assessment, Authorization, And Monitoring","fas fa-user-lock","Low-Medium-High","CA-7(4)","Ensure risk monitoring is an integral part of the continuous monitoring strategy that includes the following: Effectiveness monitoring; Compliance monitoring; and Change monitoring.",TRUE
"CA-8","Penetration Testing","CA_8_fisma","Assessment, Authorization, And Monitoring","fas fa-user-lock",High,"CA-8","The organization conducts penetration testing in accordance with organization-defined frequency on organization-defined information systems or system components.",TRUE
"CA-8","Penetration Testing | Independent Penetration Testing Agent or Team","CA_8-1_fisma","Assessment, Authorization, And Monitoring","fas fa-user-lock",High,"CA-8(1)","The organization employs an independent penetration agent or penetration team to perform penetration testing on the information system or system components.",TRUE
"CA-9","Internal System Connections","CA_9_fisma","Assessment, Authorization, And Monitoring","fas fa-user-lock","Low-Medium-High","CA-9","The organization authorizes internal connections of organization-defined information system components or classes of components to the information system.",TRUE
"AU-1","Policy and Procedures","AU_1_fisma","Audit and Accountability","fas fa-user-lock","Low-Medium-High","AU-1","The organization defines the organizational personnel or roles to whom the audit and accountability policy is to be disseminated.",TRUE
"AU-2","Event Logging","AU_2_fisma","Audit and Accountability","fas fa-user-lock","Low-Medium-High","AU-2","The organization defines the information system auditable events.",TRUE
"AU-3","Content of Audit Records","AU_3_fisma","Audit and Accountability","fas fa-user-lock","Low-Medium-High","AU-3","The information system generates audit records containing information that establishes what type of event occurred.",TRUE
"AU-3","Content of Audit Records | Additional Audit Information","AU_3-1_fisma","Audit and Accountability","fas fa-user-lock","Medium-High","AU-3(1)","The information system generates audit records containing the organization-defined additional, more detailed information that is to be included in the audit records.",TRUE
"AU-4","Audit Log Storage Capacity","AU_4_fisma","Audit and Accountability","fas fa-user-lock","Low-Medium-High","AU-4","The organization allocates audit record storage capacity in accordance with organization-defined audit record storage requirements.",TRUE
"AU-5","Response to Audit Logging Process Failures","AU_5_fisma","Audit and Accountability","fas fa-user-lock","Low-Medium-High","AU-5","The organization defines actions to be taken by the information system upon audit failure (e.g., shut down information system, overwrite oldest audit records, stop generating audit records).",TRUE
"AU-5","Response to Audit Logging Process Failures | Storage Capacity Warning","AU_5-1_fisma","Audit and Accountability","fas fa-user-lock",High,"AU-5(1)","The organization defines the personnel, roles and/or locations to receive a warning when allocated audit record storage volume reaches a defined percentage of maximum audit records storage capacity.",TRUE
"AU-5","Response to Audit Logging Process Failures | Real-time Alerts","AU_5-2_fisma","Audit and Accountability","fas fa-user-lock",High,"AU-5(2)","The organization defines the real-time period within which the information system is to provide an alert when organization-defined audit failure events occur.",TRUE
"AU-6","Audit Record Review, Analysis, and Reporting","AU_6_fisma","Audit and Accountability","fas fa-user-lock","Low-Medium-High","AU-6","The organization defines the personnel or roles to receive the reports of organization-defined inappropriate or unusual activity.",TRUE
"AU-6","Audit Record Review, Analysis, and Reporting | Automated Process Integration","AU_6-1_fisma","Audit and Accountability","fas fa-user-lock",Medium,"AU-6(1)","The organization employs automated mechanisms to integrate audit review and analysis to support organizational processes for investigation of and response to suspicious activities.",TRUE
"AU-6","Audit Record Review, Analysis, and Reporting | Correlate Audit Record Repositories","AU_6-3_fisma","Audit and Accountability","fas fa-user-lock",High,"AU-6(3)","The organization analyzes and correlates audit records across different repositories to gain organization-wide situational awareness.",TRUE
"AU-6","Audit Record Review, Analysis, and Reporting | Integrated Analysis of Audit Records","AU_6-5_fisma","Audit and Accountability","fas fa-user-lock",High,"AU-6(5)","The organization defines the data/information to be collected from other sources to enhance its ability to identify inappropriate or unusual activity.",TRUE
"AU-6","Audit Record Review, Analysis, and Reporting | Correlation with Physical Monitoring","AU_6-6_fisma","Audit and Accountability","fas fa-user-lock",High,"AU-6(6)","The organization correlates information from audit records with information obtained from monitoring physical access to further enhance the ability to identify suspicious, inappropriate, unusual, or malevolent activity.",TRUE
"AU-7","Audit Record Reduction and Report Generation","AU_7_fisma","Audit and Accountability","fas fa-user-lock","Medium-High","AU-7","The information system provides a report generation capability that does not alter original content or time ordering of audit records.",TRUE
"AU-7","Audit Record Reduction and Report Generation | Automatic Processing","AU_7-1_fisma","Audit and Accountability","fas fa-user-lock","Medium-High","AU-7(1)","The information system provides the capability to process audit records for events of interest based on organization-defined audit fields within audit records.",TRUE
"AU-8","Time Stamps","AU_8_fisma","Audit and Accountability","fas fa-user-lock","Low-Medium-High","AU-8","The information system records time stamps for audit records that can be mapped to Coordinated Universal Time (UTC) or Greenwich Mean Time (GMT).",TRUE
"AU-9","Protection of Audit Information","AU_9_fisma","Audit and Accountability","fas fa-user-lock","Low-Medium-High","AU-9","The information system protects audit tools from unauthorized deletion.",TRUE
"AU-9","Protection of Audit Information | Store on Separate Physical Systems or Components","AU_9-2_fisma","Audit and Accountability","fas fa-user-lock",High,"AU-9(2)","The information system backs up audit records on an organization-defined frequency onto a different system or system component than the system or component being audited.",TRUE
"AU-9","Protection of Audit Information | Cryptographic Protection","AU_9-3_fisma","Audit and Accountability","fas fa-user-lock",High,"AU-9(3)","The information system implements cryptographic mechanisms to protect the integrity of audit information.",TRUE
"AU-9","Protection of Audit Information | Access by Subset of Privileged Users","AU_9-4_fisma","Audit and Accountability","fas fa-user-lock","Medium-High","AU-9(4)","The organization defines the subset of privileged users who will be authorized access to the management of audit functionality.",TRUE
"AU-10","Non-repudiation","AU_10_fisma","Audit and Accountability","fas fa-user-lock",High,"AU-10","The organization defines the actions to be covered by non-repudiation.",TRUE
"AU-11","Audit Record Retention","AU_11_fisma","Audit and Accountability","fas fa-user-lock","Low-Medium-High","AU-11","The organization defines the time period for retention of audit records, which is consistent with its records retention policy, to provide support for after-the-fact investigations of security incidents and meet regulatory and organizational information retention requirements.",TRUE
"AU-12","Audit Record Generation | System-wide and Time-correlated Audit Trail","AU_12-1_fisma","Audit and Accountability","fas fa-user-lock",High,"AU-12(1)","The organization defines the level of tolerance for relationship between time stamps of individual records in the audit trail that will be used for correlation.",TRUE
"AU-12","Audit Record Generation | Changes by Authorized Individuals","AU_12-3_fisma","Audit and Accountability","fas fa-user-lock",High,"AU-12(3)","The organization defines the selectable event criteria to be used as the basis for changes to the auditing to be performed on organization-defined information system components, by organization-defined individuals or roles, within organization-defined time thresholds.",TRUE
"AU-12","Audit Record Generation","AU_12_fisma","Audit and Accountability","fas fa-user-lock","Low-Medium-High","AU-12","The information system provides audit record generation capability for the auditable events defined in AU-2 a. at organization-defined information system components.",TRUE
"AT-1","Policy and Procedures","AT_1_fisma","Awareness and Training","fas fa-user-lock","Low-Medium-High","AT-1","The organization defines the personnel or roles to whom the security awareness and training policy is disseminated.",TRUE
"AT-2","Literacy Training and Awareness","AT_2_fisma","Awareness and Training","fas fa-user-lock","Low-Medium-High","AT-2","The organization provides basic security awareness training to information system users (including managers, senior executives, and contractors) as part of initial training for new users.",TRUE
"AT-2","Literacy Training and Awareness | Insider Threat","AT_2-2_fisma","Awareness and Training","fas fa-user-lock","Low-Medium-High","AT-2(2)","The organization includes security awareness training on recognizing and reporting potential indicators of insider threat.",TRUE
"AT-2","Literacy Training and Awareness | Social Engineering and Mining","AT_2-3_fisma","Awareness and Training","fas fa-user-lock","Medium-High","AT-2(3)","Provide literacy training on recognizing and reporting potential and actual instances of social engineering and social mining.",TRUE
"AT-3","Role-based Training","AT_3_fisma","Awareness and Training","fas fa-user-lock","Low-Medium-High","AT-3","The organization provides role-based security training to personnel with assigned security roles and responsibilities before authorizing access to the information system or performing assigned duties.",TRUE
"AT-4","Training Records","AT_4_fisma","Awareness and Training","fas fa-user-lock","Low-Medium-High","AT-4","The organization documents individual information system security training activities, including basic security awareness training and specific information system security training.",TRUE
"CM-1","Policy and Procedures","CM_1_fisma","Configuration Management","fas fa-user-lock","Low-Medium-High","CM-1","The organization defines the organizational personnel or roles to whom the configuration management policy is to be disseminated.",TRUE
"CM-2","Baseline Configuration","CM_2_fisma","Configuration Management","fas fa-user-lock","Low-Medium-High","CM-2","The organization maintains, under configuration control, a current baseline configuration of the information system.",TRUE
"CM-2","Baseline Configuration | Automation Support for Accuracy and Currency","CM_2-2_fisma","Configuration Management","fas fa-user-lock","Medium-High","CM-2(2)","The organization employs automated mechanisms to maintain a readily available baseline configuration of the information system.",TRUE
"CM-2","Baseline Configuration | Retention of Previous Configurations","CM_2-3_fisma","Configuration Management","fas fa-user-lock","Medium-High","CM-2(3)","The organization retains organization-defined previous versions of baseline configurations of the information system to support rollback.",TRUE
"CM-2","Baseline Configuration | Configure Systems and Components for High-risk Areas","CM_2-7_fisma","Configuration Management","fas fa-user-lock","Medium-High","CM-2(7)","The organization defines the information systems, system components, or devices that are to have organization-defined configurations applied when located in areas of significant risk.",TRUE
"CM-3","Configuration Change Control","CM_3_fisma","Configuration Management","fas fa-user-lock","Medium-High","CM-3","The organization coordinates and provides oversight for configuration change control activities through an organization-defined configuration change control element (e.g., committee, board) that convenes at the organization-defined frequency and/or for any organization-defined configuration change conditions.",TRUE
"CM-3","Configuration Change Control | Automated Documentation, Notification, and Prohibition of Changes","CM_3-1_fisma","Configuration Management","fas fa-user-lock",High,"CM-3(1)","The organization employs automated mechanisms to notify organization-defined personnel when approved changes to the information system are completed.",TRUE
"CM-3","Configuration Change Control | Testing, Validation, and Documentation of Changes","CM_3-2_fisma","Configuration Management","fas fa-user-lock",Medium,"CM-3(2)","The organization tests changes to the information system before implementing the changes on the operational system.",TRUE
"CM-3","Configuration Change Control | Security and Privacy Representatives","CM_3-4_fisma","Configuration Management","fas fa-user-lock","Medium-High","CM-3(4)","The organization requires an information security representative to be a member of the organization-defined configuration change control element.",TRUE
"CM-3","Configuration Change Control | Cryptography Management","CM_3-6_fisma","Configuration Management","fas fa-user-lock",High,"CM-3(6)","The organization defines the security safeguards that are to be provided by the cryptographic mechanisms which are employed by the organization.",TRUE
"CM-4","Impact Analyses","CM_4_fisma","Configuration Management","fas fa-user-lock","Low-Medium-High","CM-4","The organization analyzes changes to the information system to determine potential security impacts prior to change implementation.",TRUE
"CM-4","Impact Analyses | Separate Test Environments","CM_4-1_fisma","Configuration Management","fas fa-user-lock",High,"CM-4(1)","The organization, when analyzing changes to the information system, looks for security impacts due to flaws, weaknesses, incompatibility, or intentional malice.",TRUE
"CM-4","Impact Analyses | Verification of Controls","CM_4-2_fisma","Configuration Management","fas fa-user-lock","Medium-High","CM-4(2)","The organization, after the information system is changed, checks the security functions to verify the functions are producing the desired outcome with regard to meeting the security requirements for the system.",TRUE
"CM-5","Access Restrictions for Change","CM_5_fisma","Configuration Management","fas fa-user-lock","Low-Medium-High","CM-5","The organization enforces logical access restrictions associated with changes to the information system.",TRUE
"CM-5","Access Restrictions for Change | Automated Access Enforcement and Audit Records","CM_5-1_fisma","Configuration Management","fas fa-user-lock",High,"CM-5(1)","The information system enforces access restrictions.",TRUE
"CM-6","Configuration Settings","CM_6_fisma","Configuration Management","fas fa-user-lock","Low-Medium-High","CM-6","The organization defines security configuration checklists to be used to establish and document configuration settings for the information system technology products employed.",TRUE
"CM-6","Configuration Settings | Automated Management, Application, and Verification","CM_6-1_fisma","Configuration Management","fas fa-user-lock",High,"CM-6(1)","The organization employs automated mechanisms to centrally manage configuration settings for organization-defined information system components.",TRUE
"CM-6","Configuration Settings | Respond to Unauthorized Changes","CM_6-2_fisma","Configuration Management","fas fa-user-lock",High,"CM-6(2)","The organization employs organization-defined security safeguards to respond to unauthorized changes to organization-defined configuration settings.",TRUE
"CM-7","Least Functionality","CM_7_fisma","Configuration Management","fas fa-user-lock","Low-Medium-High","CM-7","The organization configures the information system to provide only essential capabilities.",TRUE
"CM-7","Least Functionality | Periodic Review","CM_7-1_fisma","Configuration Management","fas fa-user-lock","Medium-High","CM-7(1)","The organization reviews the information system per organization-defined frequency to identify unnecessary and nonsecure functions, ports, protocols, and services.",TRUE
"CM-7","Least Functionality | Prevent Program Execution","CM_7-2_fisma","Configuration Management","fas fa-user-lock","Medium-High","CM-7(2)","The information system prevents program execution in accordance with organization-defined policies regarding software program usage and restrictions, and/or rules authorizing the terms and conditions of software program usage.",TRUE
"CM-7","Least Functionality | Authorized Software ? Allow-by-exception","CM_7-5_fisma","Configuration Management","fas fa-user-lock","Medium-High","CM-7(5)","The organization reviews and updates the list of authorized software programs per organization-defined frequency.",TRUE
"CM-8","System Component Inventory","CM_8_fisma","Configuration Management","fas fa-user-lock","Low-Medium-High","CM-8","The organization reviews and updates the information system component inventory per organization-defined frequency.",TRUE
"CM-8","System Component Inventory | Updates During Installation and Removal","CM_8-1_fisma","Configuration Management","fas fa-user-lock","Medium-High","CM-8(1)","The organization updates the inventory of information system components as an integral part of component installations.",TRUE
"CM-8","System Component Inventory | Automated Maintenance","CM_8-2_fisma","Configuration Management","fas fa-user-lock",High,"CM-8(2)","The organization employs automated mechanisms to help maintain a readily available inventory of information system components.",TRUE
"CM-8","System Component Inventory | Automated Unauthorized Component Detection","CM_8-3_fisma","Configuration Management","fas fa-user-lock","Medium-High","CM-8(3)","When unauthorized hardware, software, and firmware components are detected within the information system, the organization takes action to disable network access by such components, isolates the components, and/or notifies organization-defined personnel or roles.",TRUE
"CM-8","System Component Inventory | Accountability Information","CM_8-4_fisma","Configuration Management","fas fa-user-lock",High,"CM-8(4)","The organization includes, in the information system component inventory information, a means for identifying by name, position, and/or role, individuals responsible/accountable for administering those components.",TRUE
"CM-9","Configuration Management Plan","CM_9_fisma","Configuration Management","fas fa-user-lock","Medium-High","CM-9","The organization develops a configuration management plan for the information system that places the configuration items under configuration management.",TRUE
"CM-10","Software Usage Restrictions","CM_10_fisma","Configuration Management","fas fa-user-lock","Low-Medium-High","CM-10","The organization documents the use of peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work.",TRUE
"CM-11","User-installed Software","CM_11_fisma","Configuration Management","fas fa-user-lock","Low-Medium-High","CM-11","The organization monitors software installation policy compliance per an organization-defined frequency.",TRUE
"CP-1","Policy and Procedures","CP_1_fisma","Contingency Planning","fas fa-user-lock","Low-Medium-High","CP-1","The organization develops and documents a contingency planning policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",TRUE
"CP-2","Contingency Plan","CP_2_fisma","Contingency Planning","fas fa-user-lock","Low-Medium-High","CP-2","The organization develops a contingency plan for the information system that addresses maintaining essential business functions despite an information system disruption.",TRUE
"CP-2","Contingency Plan | Coordinate with Related Plans","CP_2-1_fisma","Contingency Planning","fas fa-user-lock","Medium-High","CP-2(1)","The organization coordinates contingency plan development with organizational elements responsible for related plans.",TRUE
"CP-2","Contingency Plan | Capacity Planning","CP_2-2_fisma","Contingency Planning","fas fa-user-lock",High,"CP-2(2)","The organization conducts capacity planning so that necessary capacity for environmental support exists during contingency operations.",TRUE
"CP-2","Contingency Plan | Resume Mission and Business Functions","CP_2-3_fisma","Contingency Planning","fas fa-user-lock","Medium-High","CP-2(3)","The organization defines the time period for planning the resumption of essential missions as a result of contingency plan activation.",TRUE
"CP-2","Contingency Plan | Continue Mission and Business Functions","CP_2-5_fisma","Contingency Planning","fas fa-user-lock",High,"CP-2(5)","The organization sustains operational continuity of essential business functions until full information system restoration at primary processing and/or storage sites.",TRUE
