id,Log_Category,Required_Data_Category,Required_Data,Required_SubData
07_omb,Network Device Infrastructure,"DNS, DHCP, and Wi-Fi",Roaming Logs,
07_omb,Network Device Infrastructure,"DNS, DHCP, and Wi-Fi",Timestamps,
08_omb,Network Device Infrastructure,"DNS, DHCP, and Wi-Fi",Static Network Address Translation Table Mapping as Well as Port Forwards,Date and Time
08_omb,Network Device Infrastructure,"DNS, DHCP, and Wi-Fi",Static Network Address Translation Table Mapping as Well as Port Forwards,Protocol
08_omb,Network Device Infrastructure,"DNS, DHCP, and Wi-Fi",Static Network Address Translation Table Mapping as Well as Port Forwards,Port
08_omb,Network Device Infrastructure,"DNS, DHCP, and Wi-Fi",Static Network Address Translation Table Mapping as Well as Port Forwards,Inside Local and Global IP and Port
08_omb,Network Device Infrastructure,"DNS, DHCP, and Wi-Fi",Static Network Address Translation Table Mapping as Well as Port Forwards,Outside Local and Global IP and Port
09_omb,Network Device Infrastructure (General Logging),Network Device Infrastructure (General Logging),IDS / IPS / NTA / NDR / SIEM Logs,
09_omb,Network Device Infrastructure (General Logging),Network Device Infrastructure (General Logging),API Activity Logs,
09_omb,Network Device Infrastructure (General Logging),Network Device Infrastructure (General Logging),Authentication Logs,
09_omb,Network Device Infrastructure (General Logging),Network Device Infrastructure (General Logging),Firewall Logs,
09_omb,Network Device Infrastructure (General Logging),Network Device Infrastructure (General Logging),Web Proxy/WAF Logs,
09_omb,Network Device Infrastructure (General Logging),Network Device Infrastructure (General Logging),Service Metrics,
09_omb,Network Device Infrastructure (General Logging),Network Device Infrastructure (General Logging),Network Flow Logs,
09_omb,Network Device Infrastructure (General Logging),Network Device Infrastructure (General Logging),Remote Access/VPN Logs,
09_omb,Network Device Infrastructure (General Logging),Network Device Infrastructure (General Logging),System/OS Logs,
09_omb,Network Device Infrastructure (General Logging),Network Device Infrastructure (General Logging),DLP Logs,
09_omb,Network Device Infrastructure (General Logging),Network Device Infrastructure (General Logging),DNS Query/Response Logs,
10_omb,Network Device Infrastructure,Routers and Switches,Routing Tables,
10_omb,Network Device Infrastructure,Routers and Switches,"Routing Changes (Logging All CLI Commands, BGP)",
10_omb,Network Device Infrastructure,Routers and Switches,IP Addressing Schema and Implementation,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Connection Type,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Date and Time,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Resource ID of the Load Balancer,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Client IP:Port,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Target IP:Port,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Request Processing Time,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Target Processing Time,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Response Processing Time,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Status Code from Load Balancer,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Target Status Code,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Received Bytes,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Bytes Sent,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Request,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,User Agent,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,SSL Cipher,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,SSL Protocol,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,SNI Domain,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Matched Rule Priority,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Actions Executed,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Redirect URL,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Error Reason,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Target IP:Port List,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Target Status Code List,
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Classification Reason Request (Does Not Comply with RFC 7230),
11_omb,Network Device Infrastructure,Load Balancer / Reverse Proxy Access Logs,Other Implementation Specific Fields,
12_omb,Network Device Infrastructure,Proxies and Web Content Filters,"NAT, User, and Gateway IP Address to Provide Enhanced Reporting of Malicious Domains and IP Addresses. In the Case of Web, W3c Format",
12_omb,Network Device Infrastructure,Proxies and Web Content Filters,Date and Time,
12_omb,Network Device Infrastructure,Proxies and Web Content Filters,Source,Hostname
12_omb,Network Device Infrastructure,Proxies and Web Content Filters,Source,IP Address and Port
12_omb,Network Device Infrastructure,Proxies and Web Content Filters,Source,MAC
12_omb,Network Device Infrastructure,Proxies and Web Content Filters,Destination,Hostname
12_omb,Network Device Infrastructure,Proxies and Web Content Filters,Destination,IP Address and Port
12_omb,Network Device Infrastructure,Proxies and Web Content Filters,Destination,MAC
12_omb,Network Device Infrastructure,Proxies and Web Content Filters,Web URL Methods / User Agent / Decoded Headers,
12_omb,Network Device Infrastructure,Proxies and Web Content Filters,URL Categories,
12_omb,Network Device Infrastructure,Proxies and Web Content Filters,URL,
12_omb,Network Device Infrastructure,Proxies and Web Content Filters,"Permitted, Restricted, Denied",
13_omb,Network Device Infrastructure,Proxies and Web Content Filters,Policy Updates,
13_omb,Network Device Infrastructure,Proxies and Web Content Filters,Software Updates,
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",General Information,Date and Time,
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",General Information,"Event, Status, or Error Codes",
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",General Information,Service/Command/Application Name,
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",General Information,User or System Account Associated with an Event,
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",General Information,"Device Used (e.g., Source and Destination IPs, Terminal Session ID, Web Browser, etc.)",
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",Operating System (OS) Events,Start-Up and Shutdown of the System,
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",Operating System (OS) Events,Start-Up and Shutdown of a Service,
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",Operating System (OS) Events,Network Connection Changes or Failures,
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",Operating System (OS) Events,"Changes to, or Attempts to Change, System Security Settings and Controls",
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",OS Audit Records,Log-On Attempts (Success/Failure),
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",OS Audit Records,"The Function(s) Performed after Logging On (e.g., Reading or Updating a Critical File, Software Installation)",
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",OS Audit Records,"Account Changes (e.g., Account Creation and Deletion, Account Privilege Assignment)",
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",OS Audit Records,Successful/Failed Use of Privileged Accounts,
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",Application Account Information,Application Authentication Attempts (Success/Failure),
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",Application Account Information,"Application Account Changes (e.g., Account Creation and Deletion, Account Privilege Assignment)",
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",Application Account Information,Use of Application Privileges,
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",Application Operations,Application Startup and Shutdown,
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",Application Operations,Application Failures,
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",Application Operations,Major Application Configuration Changes,
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",Application Operations,Application Transactions,"Example: Email Servers Recording the Sender,Recipients, Subject Name, and Attachment Names for Each Email"
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",Application Operations,Application Transactions,Example: Web Servers Recording Each URL Requested and the Type of Response Provided by the Server
14_omb,"Network Device Infrastructure (Access, Authorization, and Accounting)",Application Operations,Application Transactions,Example: Business Applications Recording Which Financial Records Were Accessed by Each User
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,User and Administrator Access to OS Components and Applications,File and Object Access,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,User and Administrator Access to OS Components and Applications,Audit Log Access (Success/Failure),
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,User and Administrator Access to OS Components and Applications,System Access and Log Off (Success/Failure),
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,User and Administrator Access to OS Components and Applications,Privilege Access and Log Off(Success/Failure),
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,User and Administrator Access to OS Components and Applications,RDP Access and Log Off (Success/Failure),
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,User and Administrator Access to OS Components and Applications,SMB Access,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,User and Administrator Access to OS Components and Applications,Installation or Removal of Storage Volumes or Removeable Media,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,System Performance and Operational Characteristics,"Resource Utilization, Process Status",
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,System Performance and Operational Characteristics,System Events,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,System Performance and Operational Characteristics,"Service Status Changes (Start, Stop, Fail, Restart, etc.)",
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,System Performance and Operational Characteristics,Service Failures and Restarts,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,System Performance and Operational Characteristics,Process Creation and Termination,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,System Configuration,Changes to Security Configuration (Success/Failure),
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,System Configuration,Audit Log Cleared,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,System Configuration,Changes to Accounts,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,System Configuration,User or Group Management Changes,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,System Configuration,Scheduled Task Changes,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,File Access,Transfer of Data to External Media or Remote Hosts,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,Host Network Communications,Listening Network Port and IP Address,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,Host Network Communications,Active Network Communication with Other Hosts,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,Powershell Execution Commands,Powershell Execution Commands,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,WMI Events,WMI Events,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,Registry Access,Registry Access,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,Command-Line Interface (CLI),Command-Line Interface (CLI),
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,"Basic Input Output System (BIOS), Unified Extensible Firmware Interface (UEFI), and Other Firmware",Version,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,"Basic Input Output System (BIOS), Unified Extensible Firmware Interface (UEFI), and Other Firmware",Created Date,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,"Basic Input Output System (BIOS), Unified Extensible Firmware Interface (UEFI), and Other Firmware",Installed Date,
15_omb,Operating Systems - Windows Infrastructure and Operating Systems,"Basic Input Output System (BIOS), Unified Extensible Firmware Interface (UEFI), and Other Firmware",Manufacturer,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),User and Administrator Access to OS Components and Applications,File and Object Access,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),User and Administrator Access to OS Components and Applications,Audit Log Access (Success/Failure),
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),User and Administrator Access to OS Components and Applications,System Access and Log Off (Success/Failure),
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),User and Administrator Access to OS Components and Applications,Privilege Access and Log Off (Success/Failure),
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),User and Administrator Access to OS Components and Applications,Remote Terminal or Equivalent Access and Log Off(Success/Failure),
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),User and Administrator Access to OS Components and Applications,Samba/NFS/(S)FTP or Equivalent Access,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),User and Administrator Access to OS Components and Applications,Installation or Removal of Applications,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),User and Administrator Access to OS Components and Applications,Installation or Removal of Storage Volumes or Removeable Media,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),System Performance and Operational Characteristics,"Resource Utilization, Process Status",
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),System Performance and Operational Characteristics,System Events,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),System Performance and Operational Characteristics,"Service Status Changes (Start, Stop, Fail, Restart, etc.)",
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),System Performance and Operational Characteristics,Service Failures and Restarts,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),System Performance and Operational Characteristics,Process Creation and Termination,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),System Configuration,Changes to Security Configuration (Success/Failure),
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),System Configuration,Audit Log Cleared,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),System Configuration,Changes to Accounts,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),System Configuration,User or Group Management Changes,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),System Configuration,Scheduled Task Changes,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),File Access,Transfer of Data to External Media or Remote Hosts,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),Host Network Communications,Listening Network Port and IP Address,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),Host Network Communications,Active Network Communication with Other Hosts,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),Command-Line Interface (CLI),System Log Folder: /Var/Log/*,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),Command-Line Interface (CLI),System Log: /Var/Log/System.Log,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),Command-Line Interface (CLI),Mac Analytics Data: /Var/Log/Diagnosticmessages/*,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),Command-Line Interface (CLI),Wi-Fi Log: /Var/Log/Wifi.Log,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),Command-Line Interface (CLI),System Application Logs: /Library/Logs/* and /Private/Var/Log/*,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),Command-Line Interface (CLI),System Reports:/Library/Logs/Diagnosticreports/*,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),Command-Line Interface (CLI),User Application Logs:/Users/Name/Library/Logs/*,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),Command-Line Interface (CLI),User Reports:/Users/Name/Library/Logs/Diagnosticreports/*,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),Command-Line Interface (CLI),Audit Log: /Var/Audit/*,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),"Basic Input Output System (BIOS), Unified Extensible Firmware Interface (UEFI), and Other Firmware",Version,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),"Basic Input Output System (BIOS), Unified Extensible Firmware Interface (UEFI), and Other Firmware",Created Date,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),"Basic Input Output System (BIOS), Unified Extensible Firmware Interface (UEFI), and Other Firmware",Installed Date,
16_omb,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),"Basic Input Output System (BIOS), Unified Extensible Firmware Interface (UEFI), and Other Firmware",Manufacturer,
17_omb,Operating Systems - BSD (Linux),User and Administrator Access to OS Components and Applications,File and Object Access,
17_omb,Operating Systems - BSD (Linux),User and Administrator Access to OS Components and Applications,Audit Log Access (Success/Failure),
17_omb,Operating Systems - BSD (Linux),User and Administrator Access to OS Components and Applications,System Access and Log Off (Success/Failure),
17_omb,Operating Systems - BSD (Linux),User and Administrator Access to OS Components and Applications,Privilege Access and Log Off (Success/Failure),
17_omb,Operating Systems - BSD (Linux),User and Administrator Access to OS Components and Applications,Remote Terminal or Equivalent Access and Log Off(Success/Failure),
17_omb,Operating Systems - BSD (Linux),User and Administrator Access to OS Components and Applications,Samba/NFS/(S)FTP or Equivalent Access,
17_omb,Operating Systems - BSD (Linux),User and Administrator Access to OS Components and Applications,Installation or Removal of Storage Volumes or Removeable Media,
17_omb,Operating Systems - BSD (Linux),System Performance and Operational Characteristics,"Resource Utilization, Process Status",
17_omb,Operating Systems - BSD (Linux),System Performance and Operational Characteristics,System Events,
17_omb,Operating Systems - BSD (Linux),System Performance and Operational Characteristics,"Service Status Changes (Start, Stop, Fail, Restart, etc.)",
17_omb,Operating Systems - BSD (Linux),System Performance and Operational Characteristics,Service Failures and Restarts,
17_omb,Operating Systems - BSD (Linux),System Performance and Operational Characteristics,Process Creation and Termination,
17_omb,Operating Systems - BSD (Linux),System Configuration,Changes to Security Configuration (Success/Failure),
17_omb,Operating Systems - BSD (Linux),System Configuration,Audit Log Cleared,
17_omb,Operating Systems - BSD (Linux),System Configuration,Changes to Accounts,
17_omb,Operating Systems - BSD (Linux),System Configuration,User or Group Management Changes,
17_omb,Operating Systems - BSD (Linux),System Configuration,Scheduled Task Changes,
17_omb,Operating Systems - BSD (Linux),File Access,Transfer of Data to External Media or Remote Hosts,
17_omb,Operating Systems - BSD (Linux),Host Network Communications,Listening Network Port and IP Address,
17_omb,Operating Systems - BSD (Linux),Host Network Communications,Active Network Communication with Other Hosts,
17_omb,Operating Systems - BSD (Linux),Command-Line Interface (CLI),Command-Line Interface (CLI),
17_omb,Operating Systems - BSD (Linux),Security Enhanced Linux (SELinux) AppArmor or Equivalent,Warning Logs,
17_omb,Operating Systems - BSD (Linux),Security Enhanced Linux (SELinux) AppArmor or Equivalent,Violation Logs,
17_omb,Operating Systems - BSD (Linux),System,/Var/Log/Messages,
17_omb,Operating Systems - BSD (Linux),System,/Var/Log/Dmesg,
17_omb,Operating Systems - BSD (Linux),System,/Var/Log/Syslog,
17_omb,Operating Systems - BSD (Linux),System,/Var/Log/Daemon.Log,
17_omb,Operating Systems - BSD (Linux),System,/Var/Log/Cron,
17_omb,Operating Systems - BSD (Linux),System,/Var/Log/Kern.Log,
17_omb,Operating Systems - BSD (Linux),System,/Var/Log/Boot.Log,
17_omb,Operating Systems - BSD (Linux),Access And Authentication,/Var/Log/Auth.Log,
17_omb,Operating Systems - BSD (Linux),Access And Authentication,/Var/Log/Secure,
17_omb,Operating Systems - BSD (Linux),Access And Authentication,/Var/Log/Faillog,
17_omb,Operating Systems - BSD (Linux),Access And Authentication,/Var/Log/Btmp,
17_omb,Operating Systems - BSD (Linux),Access And Authentication,/Var/Log/Wtmp or /Var/Log/Utmp,
17_omb,Operating Systems - BSD (Linux),Applications,/Var/Log/Mail.Log or /Var/Log/Maillog,
17_omb,Operating Systems - BSD (Linux),Applications,/Var/Log/Xorg.X.Log,
17_omb,Operating Systems - BSD (Linux),Package Install/Uninstall,/Var/Log/Dpkg.Log,
17_omb,Operating Systems - BSD (Linux),Package Install/Uninstall,/Var/Log/Yum.Log,
17_omb,Operating Systems - BSD (Linux),"Basic Input Output System (BIOS), Unified Extensible Firmware Interface (UEFI), and Other Firmware",Version,
17_omb,Operating Systems - BSD (Linux),"Basic Input Output System (BIOS), Unified Extensible Firmware Interface (UEFI), and Other Firmware",Created Date,
17_omb,Operating Systems - BSD (Linux),"Basic Input Output System (BIOS), Unified Extensible Firmware Interface (UEFI), and Other Firmware",Installed Date,
17_omb,Operating Systems - BSD (Linux),"Basic Input Output System (BIOS), Unified Extensible Firmware Interface (UEFI), and Other Firmware",Manufacturer,
18_omb,Cloud Environments (General Events),Cloud Environments (General Events),Any Activity on Breakglass Account(s) (which should never have to be used),
18_omb,Cloud Environments (General Events),Cloud Environments (General Events),Conditional Access Policy Changes,
18_omb,Cloud Environments (General Events),Cloud Environments (General Events),"Changes to Environment Policies (e.g., Azure Subscription, AWS Services, Google Solutions, etc.) in Management Logs",
18_omb,Cloud Environments (General Events),Cloud Environments (General Events),Privileged Role Changes,
18_omb,Cloud Environments (General Events),Cloud Environments (General Events),Virtual Network (VNet) Changes,
18_omb,Cloud Environments (General Events),Cloud Environments (General Events),Deletions of Delete Locks,
18_omb,Cloud Environments (General Events),Cloud Environments (General Events),Changes to Logging Policies,
18_omb,Cloud Environments (General Events),Cloud Environments (General Events),Privileged Identity Management (PIM) and Identity Protection Changes,
18_omb,Cloud Environments (General Events),Cloud Environments (General Events),Changes to Alert Rules (Audit the Auditor),
18_omb,Cloud Environments (General Events),Cloud Environments (General Events),Key Vault/Key Management Changes,
18_omb,Cloud Environments (General Events),Cloud Environments (General Events),"Storage File Access Logs, File, File Hashes",
18_omb,Cloud Environments (General Events),Cloud Environments (General Events),Baseline Deviations for Prod App Tiers,
18_omb,Cloud Environments (General Events),Cloud Environments (General Events),Baseline Deviations for Prod Data Tiers,
19_omb,Cloud Environments (General Logging),IDS / IPS / NTA / NDR / SIEM Logs,API Activity Logs,
19_omb,Cloud Environments (General Logging),IDS / IPS / NTA / NDR / SIEM Logs,Authentication Logs,
19_omb,Cloud Environments (General Logging),IDS / IPS / NTA / NDR / SIEM Logs,Firewall Logs,
19_omb,Cloud Environments (General Logging),IDS / IPS / NTA / NDR / SIEM Logs,Web Proxy/WAF Logs,
19_omb,Cloud Environments (General Logging),IDS / IPS / NTA / NDR / SIEM Logs,Service Metrics,
19_omb,Cloud Environments (General Logging),IDS / IPS / NTA / NDR / SIEM Logs,Billing Data,
19_omb,Cloud Environments (General Logging),IDS / IPS / NTA / NDR / SIEM Logs,Flow Logs,
19_omb,Cloud Environments (General Logging),IDS / IPS / NTA / NDR / SIEM Logs,Remote Access/VPN Logs,
