fisma,rmf,cmmc,dfars,omb,cis,caf,ism,e8,aescsf
CA-2,CA-2.3,CA.2.157,3.12.4,,,,,,
CA-2,CA-2.4,CA.2.157,3.12.4,,,,,,
CA-2,CA-2.5,CA.2.157,3.12.4,,,,,,
CA-2,CA-2.6,CA.2.157,3.12.4,,,,,,
CA-2,CA-2.7,CA.2.157,3.12.4,,,,,,
CA-2,CA-2.8,CA.2.157,3.12.4,,,,,,
CA-2,CA-2.9,CA.2.157,3.12.4,,,,,,
CA-3,,,,,,,ISM-1213,,
CA-3,CA-3.1,,,,,,,,
CA-3,CA-3.2,,,,,,,,
CA-3,CA-3.3,,,,,,,,
CA-3,CA-3.4,,,,,,,,
CA-3,CA-3.5,,,,,,,,
CA-3,CA-3.6,,,,,,,,
CA-5,,,,,CIS Safeguard 16.2,,,,
CA-5,CA-5.1,CA.2.158,3.12.1,,,,,,
CA-5,CA-5.2,CA.2.158,3.12.1,,,,,,
CA-5,CA-5.3,CA.2.158,3.12.1,,,,,,
CA-6,CA-6.1,,,,,,,,
CA-6,CA-6.2,,,,,,,,
CA-6,CA-6.3,,,,,,,,
CA-6,CA-6.4,,,,,,,,
CA-7(1),CA-7(1).1,,,,,,,,
CA-7(1),CA-7(1).2,,,,,,,,
CA-7,,,,,,,ISM-0520,,
CA-7,,,,,,,ISM-1714,,
CA-7,,,,,,,ISM-1509,Restrict Administrative Privileges - ISM-1509,
CA-7,,,,,,,ISM-1650,Restrict Administrative Privileges - ISM-1650,
CA-7,,,,,,,ISM-1613,,
CA-7,,,,,,,ISM-1537,,
CA-7,,,,,,,ISM-0261,,
CA-7,,,,,,,ISM-0109,Application Control - ISM-0109,
CA-7,,,,,,,ISM-1228,Application Control - ISM-1228,
CA-7,,,,,,,ISM-1563,,
CA-7,,,,,,,ISM-0634,,
CA-7,,,,,CIS Safeguard 3.13,,,,
CA-7,CA-7.1,CA.2.159,3.12.2,,,,,,
CA-7,CA-7.10,CA.2.159,3.12.2,,,,,,
CA-7,CA-7.11,CA.2.159,3.12.2,,,,,,
CA-7,CA-7.2,CA.2.159,3.12.2,,,,,,
CA-7,CA-7.3,CA.2.159,3.12.2,,,,,,
CA-7,CA-7.4,CA.2.159,3.12.2,,,,,,
CA-7,CA-7.5,CA.2.159,3.12.2,,,,,,
CA-7,CA-7.6,CA.2.159,3.12.2,,,,,,
