fisma,rmf,cmmc,dfars,omb,cis,caf,ism,e8,aescsf
"SC-37",,,,,,,,,"CPM-3C: Establish and Maintain Cyber Security Architecture"
"SC-38",,,,,,,,,"CPM-3C: Establish and Maintain Cyber Security Architecture"
"SC-47",,,,,,,,,"CPM-3C: Establish and Maintain Cyber Security Architecture"
"SC-5",,,,,,,,,"CPM-3C: Establish and Maintain Cyber Security Architecture"
"SC-7",,,,,,,,,"CPM-3C: Establish and Maintain Cyber Security Architecture"
"AC-10",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"AC-12",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"AC-17",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"AC-18",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"AC-4",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"CP-8",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"SC-10",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"SC-11",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"SC-20",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"SC-21",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"SC-22",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"SC-23",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"SC-31",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"SC-37",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"SC-38",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"SC-47",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"SC-5",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"SC-7",,,,,,,,,"CPM-3D: Establish and Maintain Cyber Security Architecture"
"SC-44",,,,,,,,,"CPM-4A: Perform Secure Software Development"
"SI-3",,,,,,,,,"CPM-4A: Perform Secure Software Development"
"SI-4",,,,,,,,,"CPM-4A: Perform Secure Software Development"
"SI-8",,,,,,,,,"CPM-4A: Perform Secure Software Development"
"SA-10",,,,,,,,,"CPM-4B: Perform Secure Software Development"
"SA-11",,,,,,,,,"CPM-4B: Perform Secure Software Development"
"SA-3",,,,,,,,,"CPM-4B: Perform Secure Software Development"
"SA-4",,,,,,,,,"CPM-4B: Perform Secure Software Development"
"SA-8",,,,,,,,,"CPM-4B: Perform Secure Software Development"
"AC-20",,,,,,,,,"EDM-1A: Identify Dependencies"
"CP-2",,,,,,,,,"EDM-1A: Identify Dependencies"
"CP-8",,,,,,,,,"EDM-1A: Identify Dependencies"
"PE-11",,,,,,,,,"EDM-1A: Identify Dependencies"
"PE-9",,,,,,,,,"EDM-1A: Identify Dependencies"
"PM-5",,,,,,,,,"EDM-1A: Identify Dependencies"
"PM-8",,,,,,,,,"EDM-1A: Identify Dependencies"
"RA-9",,,,,,,,,"EDM-1A: Identify Dependencies"
"SA-20",,,,,,,,,"EDM-1A: Identify Dependencies"
"SA-9",,,,,,,,,"EDM-1A: Identify Dependencies"
"SR-2",,,,,,,,,"EDM-1A: Identify Dependencies"
"PM-8",,,,,,,,,"EDM-1B: Identify Dependencies"
"SR-1",,,,,,,,,"EDM-1B: Identify Dependencies"
"SR-3",,,,,,,,,"EDM-1B: Identify Dependencies"
"AC-20",,,,,,,,,"EDM-1C: Identify Dependencies"
"CP-2",,,,,,,,,"EDM-1C: Identify Dependencies"
"CP-8",,,,,,,,,"EDM-1C: Identify Dependencies"
"PE-11",,,,,,,,,"EDM-1C: Identify Dependencies"
"PE-9",,,,,,,,,"EDM-1C: Identify Dependencies"
"PM-5",,,,,,,,,"EDM-1C: Identify Dependencies"
"PM-8",,,,,,,,,"EDM-1C: Identify Dependencies"
"RA-9",,,,,,,,,"EDM-1C: Identify Dependencies"
"SA-20",,,,,,,,,"EDM-1C: Identify Dependencies"
"SA-9",,,,,,,,,"EDM-1C: Identify Dependencies"
"SR-2",,,,,,,,,"EDM-1C: Identify Dependencies"
"PM-8",,,,,,,,,"EDM-1D: Identify Dependencies"
"SR-1",,,,,,,,,"EDM-1D: Identify Dependencies"
"SR-3",,,,,,,,,"EDM-1D: Identify Dependencies"
"PM-8",,,,,,,,,"EDM-1F: Identify Dependencies"
"SR-1",,,,,,,,,"EDM-1F: Identify Dependencies"
"SR-3",,,,,,,,,"EDM-1F: Identify Dependencies"
"AC-20",,,,,,,,,"EDM-1G: Identify Dependencies"
"CP-2",,,,,,,,,"EDM-1G: Identify Dependencies"
"CP-8",,,,,,,,,"EDM-1G: Identify Dependencies"
"PE-11",,,,,,,,,"EDM-1G: Identify Dependencies"
"PE-9",,,,,,,,,"EDM-1G: Identify Dependencies"
"PM-5",,,,,,,,,"EDM-1G: Identify Dependencies"
"PM-8",,,,,,,,,"EDM-1G: Identify Dependencies"
"RA-9",,,,,,,,,"EDM-1G: Identify Dependencies"
"SA-20",,,,,,,,,"EDM-1G: Identify Dependencies"
"SA-9",,,,,,,,,"EDM-1G: Identify Dependencies"
"SR-1",,,,,,,,,"EDM-1G: Identify Dependencies"
"SR-2",,,,,,,,,"EDM-1G: Identify Dependencies"
"SR-3",,,,,,,,,"EDM-1G: Identify Dependencies"
"CA-7",,,,,,,,,"EDM-2A: Manage Dependency Risk"
"PS-7",,,,,,,,,"EDM-2A: Manage Dependency Risk"
"SA-4",,,,,,,,,"EDM-2A: Manage Dependency Risk"
"SA-9",,,,,,,,,"EDM-2A: Manage Dependency Risk"
"SI-4",,,,,,,,,"EDM-2A: Manage Dependency Risk"
"PM-30",,,,,,,,,"EDM-2B: Manage Dependency Risk"
"PM-9",,,,,,,,,"EDM-2B: Manage Dependency Risk"
"RA-3",,,,,,,,,"EDM-2B: Manage Dependency Risk"
"SA-15",,,,,,,,,"EDM-2B: Manage Dependency Risk"
"SA-4",,,,,,,,,"EDM-2B: Manage Dependency Risk"
"SA-9",,,,,,,,,"EDM-2B: Manage Dependency Risk"
"SR-1",,,,,,,,,"EDM-2B: Manage Dependency Risk"
"SR-2",,,,,,,,,"EDM-2B: Manage Dependency Risk"
"SR-3",,,,,,,,,"EDM-2B: Manage Dependency Risk"
"SR-5",,,,,,,,,"EDM-2B: Manage Dependency Risk"
"SR-6",,,,,,,,,"EDM-2B: Manage Dependency Risk"
"PM-11",,,,,,,,,"EDM-2C: Manage Dependency Risk"
"PM-30",,,,,,,,,"EDM-2C: Manage Dependency Risk"
"PM-8",,,,,,,,,"EDM-2C: Manage Dependency Risk"
"PM-9",,,,,,,,,"EDM-2C: Manage Dependency Risk"
"RA-3",,,,,,,,,"EDM-2C: Manage Dependency Risk"
"RA-9",,,,,,,,,"EDM-2C: Manage Dependency Risk"
"SA-15",,,,,,,,,"EDM-2C: Manage Dependency Risk"
"SA-9",,,,,,,,,"EDM-2C: Manage Dependency Risk"
"SR-1",,,,,,,,,"EDM-2C: Manage Dependency Risk"
"SR-2",,,,,,,,,"EDM-2C: Manage Dependency Risk"
"SR-3",,,,,,,,,"EDM-2C: Manage Dependency Risk"
"SR-5",,,,,,,,,"EDM-2C: Manage Dependency Risk"
"SR-6",,,,,,,,,"EDM-2C: Manage Dependency Risk"
"SA-4",,,,,,,,,"EDM-2D: Manage Dependency Risk"
"SA-9",,,,,,,,,"EDM-2D: Manage Dependency Risk"
"SR-2",,,,,,,,,"EDM-2D: Manage Dependency Risk"
"SR-3",,,,,,,,,"EDM-2D: Manage Dependency Risk"
"SR-5",,,,,,,,,"EDM-2D: Manage Dependency Risk"
"SA-4",,,,,,,,,"EDM-2E: Manage Dependency Risk"
"SA-9",,,,,,,,,"EDM-2E: Manage Dependency Risk"
"SR-2",,,,,,,,,"EDM-2E: Manage Dependency Risk"
"SR-3",,,,,,,,,"EDM-2E: Manage Dependency Risk"
"SR-5",,,,,,,,,"EDM-2E: Manage Dependency Risk"
"SA-4",,,,,,,,,"EDM-2F: Manage Dependency Risk"
"SA-9",,,,,,,,,"EDM-2F: Manage Dependency Risk"
"SR-2",,,,,,,,,"EDM-2F: Manage Dependency Risk"
"SR-3",,,,,,,,,"EDM-2F: Manage Dependency Risk"
"SR-5",,,,,,,,,"EDM-2F: Manage Dependency Risk"
"AU-6",,,,,,,,,"EDM-2G: Manage Dependency Risk"
"CA-2",,,,,,,,,"EDM-2G: Manage Dependency Risk"
"CA-7",,,,,,,,,"EDM-2G: Manage Dependency Risk"
"PM-30",,,,,,,,,"EDM-2G: Manage Dependency Risk"
"PM-9",,,,,,,,,"EDM-2G: Manage Dependency Risk"
"PS-7",,,,,,,,,"EDM-2G: Manage Dependency Risk"
"RA-3",,,,,,,,,"EDM-2G: Manage Dependency Risk"
"SA-11",,,,,,,,,"EDM-2G: Manage Dependency Risk"
"SA-15",,,,,,,,,"EDM-2G: Manage Dependency Risk"
"SA-9",,,,,,,,,"EDM-2G: Manage Dependency Risk"
"SR-1",,,,,,,,,"EDM-2G: Manage Dependency Risk"
"SR-2",,,,,,,,,"EDM-2G: Manage Dependency Risk"
"SR-3",,,,,,,,,"EDM-2G: Manage Dependency Risk"
"SR-5",,,,,,,,,"EDM-2G: Manage Dependency Risk"
"SR-6",,,,,,,,,"EDM-2G: Manage Dependency Risk"
"SA-4",,,,,,,,,"EDM-2H: Manage Dependency Risk"
"SA-9",,,,,,,,,"EDM-2H: Manage Dependency Risk"
"SR-2",,,,,,,,,"EDM-2H: Manage Dependency Risk"
"SR-3",,,,,,,,,"EDM-2H: Manage Dependency Risk"
"SR-5",,,,,,,,,"EDM-2H: Manage Dependency Risk"
"AU-6",,,,,,,,,"EDM-2I: Manage Dependency Risk"
"CA-2",,,,,,,,,"EDM-2I: Manage Dependency Risk"
"CA-7",,,,,,,,,"EDM-2I: Manage Dependency Risk"
"PS-7",,,,,,,,,"EDM-2I: Manage Dependency Risk"
"SA-11",,,,,,,,,"EDM-2I: Manage Dependency Risk"
"SA-9",,,,,,,,,"EDM-2I: Manage Dependency Risk"
"CA-7",,,,,,,,,"EDM-2J: Manage Dependency Risk"
"PS-7",,,,,,,,,"EDM-2J: Manage Dependency Risk"
"SA-4",,,,,,,,,"EDM-2J: Manage Dependency Risk"
"SA-9",,,,,,,,,"EDM-2J: Manage Dependency Risk"
"SI-4",,,,,,,,,"EDM-2J: Manage Dependency Risk"
"SA-4",,,,,,,,,"EDM-2L: Manage Dependency Risk"
"SA-9",,,,,,,,,"EDM-2L: Manage Dependency Risk"
"SR-2",,,,,,,,,"EDM-2L: Manage Dependency Risk"
"SR-3",,,,,,,,,"EDM-2L: Manage Dependency Risk"
"SR-5",,,,,,,,,"EDM-2L: Manage Dependency Risk"
"SA-10",,,,,,,,,"EDM-2M: Manage Dependency Risk"
"SA-11",,,,,,,,,"EDM-2M: Manage Dependency Risk"
"SA-3",,,,,,,,,"EDM-2M: Manage Dependency Risk"
"SA-4",,,,,,,,,"EDM-2M: Manage Dependency Risk"
"SA-8",,,,,,,,,"EDM-2M: Manage Dependency Risk"
"CA-7",,,,,,,,,"EDM-2N: Manage Dependency Risk"
"PS-7",,,,,,,,,"EDM-2N: Manage Dependency Risk"
"SA-4",,,,,,,,,"EDM-2N: Manage Dependency Risk"
"SA-9",,,,,,,,,"EDM-2N: Manage Dependency Risk"
"SI-4",,,,,,,,,"EDM-2N: Manage Dependency Risk"
"IA-1",,,,,,,,,"IAM-1A: Establish and Maintain Identities"
"IA-10",,,,,,,,,"IAM-1A: Establish and Maintain Identities"
"IA-11",,,,,,,,,"IAM-1A: Establish and Maintain Identities"
"IA-12",,,,,,,,,"IAM-1A: Establish and Maintain Identities"
"IA-2",,,,,,,,,"IAM-1A: Establish and Maintain Identities"
"IA-3",,,,,,,,,"IAM-1A: Establish and Maintain Identities"
"IA-4",,,,,,,,,"IAM-1A: Establish and Maintain Identities"
"IA-5",,,,,,,,,"IAM-1A: Establish and Maintain Identities"
"IA-7",,,,,,,,,"IAM-1A: Establish and Maintain Identities"
"IA-8",,,,,,,,,"IAM-1A: Establish and Maintain Identities"
"IA-9",,,,,,,,,"IAM-1A: Establish and Maintain Identities"
"IA-1",,,,,,,,,"IAM-1B: Establish and Maintain Identities"
"IA-10",,,,,,,,,"IAM-1B: Establish and Maintain Identities"
"IA-11",,,,,,,,,"IAM-1B: Establish and Maintain Identities"
"IA-12",,,,,,,,,"IAM-1B: Establish and Maintain Identities"
"IA-2",,,,,,,,,"IAM-1B: Establish and Maintain Identities"
"IA-3",,,,,,,,,"IAM-1B: Establish and Maintain Identities"
"IA-4",,,,,,,,,"IAM-1B: Establish and Maintain Identities"
"IA-5",,,,,,,,,"IAM-1B: Establish and Maintain Identities"
"IA-7",,,,,,,,,"IAM-1B: Establish and Maintain Identities"
"IA-8",,,,,,,,,"IAM-1B: Establish and Maintain Identities"
"IA-9",,,,,,,,,"IAM-1B: Establish and Maintain Identities"
"IA-1",,,,,,,,,"IAM-1C: Establish and Maintain Identities"
"IA-10",,,,,,,,,"IAM-1C: Establish and Maintain Identities"
"IA-11",,,,,,,,,"IAM-1C: Establish and Maintain Identities"
"IA-12",,,,,,,,,"IAM-1C: Establish and Maintain Identities"
"IA-2",,,,,,,,,"IAM-1C: Establish and Maintain Identities"
"IA-3",,,,,,,,,"IAM-1C: Establish and Maintain Identities"
"IA-4",,,,,,,,,"IAM-1C: Establish and Maintain Identities"
"IA-5",,,,,,,,,"IAM-1C: Establish and Maintain Identities"
"IA-7",,,,,,,,,"IAM-1C: Establish and Maintain Identities"
"IA-8",,,,,,,,,"IAM-1C: Establish and Maintain Identities"
"IA-9",,,,,,,,,"IAM-1C: Establish and Maintain Identities"
"IA-1",,,,,,,,,"IAM-1D: Establish and Maintain Identities"
"IA-10",,,,,,,,,"IAM-1D: Establish and Maintain Identities"
"IA-11",,,,,,,,,"IAM-1D: Establish and Maintain Identities"
"IA-12",,,,,,,,,"IAM-1D: Establish and Maintain Identities"
"IA-2",,,,,,,,,"IAM-1D: Establish and Maintain Identities"
"IA-3",,,,,,,,,"IAM-1D: Establish and Maintain Identities"
"IA-4",,,,,,,,,"IAM-1D: Establish and Maintain Identities"
"IA-5",,,,,,,,,"IAM-1D: Establish and Maintain Identities"
"IA-7",,,,,,,,,"IAM-1D: Establish and Maintain Identities"
"IA-8",,,,,,,,,"IAM-1D: Establish and Maintain Identities"
"IA-9",,,,,,,,,"IAM-1D: Establish and Maintain Identities"
"IA-1",,,,,,,,,"IAM-1E: Establish and Maintain Identities"
"IA-10",,,,,,,,,"IAM-1E: Establish and Maintain Identities"
"IA-11",,,,,,,,,"IAM-1E: Establish and Maintain Identities"
"IA-12",,,,,,,,,"IAM-1E: Establish and Maintain Identities"
"IA-2",,,,,,,,,"IAM-1E: Establish and Maintain Identities"
"IA-3",,,,,,,,,"IAM-1E: Establish and Maintain Identities"
"IA-4",,,,,,,,,"IAM-1E: Establish and Maintain Identities"
"IA-5",,,,,,,,,"IAM-1E: Establish and Maintain Identities"
"IA-7",,,,,,,,,"IAM-1E: Establish and Maintain Identities"
"IA-8",,,,,,,,,"IAM-1E: Establish and Maintain Identities"
"IA-9",,,,,,,,,"IAM-1E: Establish and Maintain Identities"
"IA-1",,,,,,,,,"IAM-1F: Establish and Maintain Identities"
"IA-10",,,,,,,,,"IAM-1F: Establish and Maintain Identities"
"IA-11",,,,,,,,,"IAM-1F: Establish and Maintain Identities"
"IA-12",,,,,,,,,"IAM-1F: Establish and Maintain Identities"
"IA-2",,,,,,,,,"IAM-1F: Establish and Maintain Identities"
"IA-3",,,,,,,,,"IAM-1F: Establish and Maintain Identities"
"IA-4",,,,,,,,,"IAM-1F: Establish and Maintain Identities"
"IA-5",,,,,,,,,"IAM-1F: Establish and Maintain Identities"
"IA-7",,,,,,,,,"IAM-1F: Establish and Maintain Identities"
"IA-8",,,,,,,,,"IAM-1F: Establish and Maintain Identities"
"IA-9",,,,,,,,,"IAM-1F: Establish and Maintain Identities"
"IA-1",,,,,,,,,"IAM-1G: Establish and Maintain Identities"
"IA-10",,,,,,,,,"IAM-1G: Establish and Maintain Identities"
"IA-11",,,,,,,,,"IAM-1G: Establish and Maintain Identities"
"IA-12",,,,,,,,,"IAM-1G: Establish and Maintain Identities"
"IA-2",,,,,,,,,"IAM-1G: Establish and Maintain Identities"
"IA-3",,,,,,,,,"IAM-1G: Establish and Maintain Identities"
"IA-4",,,,,,,,,"IAM-1G: Establish and Maintain Identities"
"IA-5",,,,,,,,,"IAM-1G: Establish and Maintain Identities"
"IA-7",,,,,,,,,"IAM-1G: Establish and Maintain Identities"
"IA-8",,,,,,,,,"IAM-1G: Establish and Maintain Identities"
"IA-9",,,,,,,,,"IAM-1G: Establish and Maintain Identities"
"AC-1",,,,,,,,,"IAM-2A: Control Access"
"AC-17",,,,,,,,,"IAM-2A: Control Access"
"AC-19",,,,,,,,,"IAM-2A: Control Access"
"AC-20",,,,,,,,,"IAM-2A: Control Access"
"AC-3",,,,,,,,,"IAM-2A: Control Access"
"CM-7",,,,,,,,,"IAM-2A: Control Access"
"MA-4",,,,,,,,,"IAM-2A: Control Access"
"MP-1",,,,,,,,,"IAM-2A: Control Access"
"MP-2",,,,,,,,,"IAM-2A: Control Access"
"MP-3",,,,,,,,,"IAM-2A: Control Access"
"MP-4",,,,,,,,,"IAM-2A: Control Access"
"MP-5",,,,,,,,,"IAM-2A: Control Access"
"MP-7",,,,,,,,,"IAM-2A: Control Access"
"MP-8",,,,,,,,,"IAM-2A: Control Access"
"PE-1",,,,,,,,,"IAM-2A: Control Access"
"PE-2",,,,,,,,,"IAM-2A: Control Access"
"PE-3",,,,,,,,,"IAM-2A: Control Access"
"PE-4",,,,,,,,,"IAM-2A: Control Access"
"PE-5",,,,,,,,,"IAM-2A: Control Access"
"PE-6",,,,,,,,,"IAM-2A: Control Access"
"PE-8",,,,,,,,,"IAM-2A: Control Access"
"PE-9",,,,,,,,,"IAM-2A: Control Access"
"SC-15",,,,,,,,,"IAM-2A: Control Access"
"AC-1",,,,,,,,,"IAM-2B: Control Access"
"AC-17",,,,,,,,,"IAM-2B: Control Access"
"AC-19",,,,,,,,,"IAM-2B: Control Access"
"AC-20",,,,,,,,,"IAM-2B: Control Access"
"AC-3",,,,,,,,,"IAM-2B: Control Access"
"CM-7",,,,,,,,,"IAM-2B: Control Access"
"MA-4",,,,,,,,,"IAM-2B: Control Access"
"MP-1",,,,,,,,,"IAM-2B: Control Access"
"MP-2",,,,,,,,,"IAM-2B: Control Access"
"MP-3",,,,,,,,,"IAM-2B: Control Access"
"MP-4",,,,,,,,,"IAM-2B: Control Access"
"MP-5",,,,,,,,,"IAM-2B: Control Access"
"MP-7",,,,,,,,,"IAM-2B: Control Access"
"MP-8",,,,,,,,,"IAM-2B: Control Access"
"PE-1",,,,,,,,,"IAM-2B: Control Access"
"PE-2",,,,,,,,,"IAM-2B: Control Access"
"PE-3",,,,,,,,,"IAM-2B: Control Access"
"PE-4",,,,,,,,,"IAM-2B: Control Access"
"PE-5",,,,,,,,,"IAM-2B: Control Access"
"PE-6",,,,,,,,,"IAM-2B: Control Access"
"PE-8",,,,,,,,,"IAM-2B: Control Access"
"PE-9",,,,,,,,,"IAM-2B: Control Access"
"SC-15",,,,,,,,,"IAM-2B: Control Access"
"AC-1",,,,,,,,,"IAM-2C: Control Access"
"AC-17",,,,,,,,,"IAM-2C: Control Access"
"AC-19",,,,,,,,,"IAM-2C: Control Access"
"AC-20",,,,,,,,,"IAM-2C: Control Access"
"AC-3",,,,,,,,,"IAM-2C: Control Access"
"CM-7",,,,,,,,,"IAM-2C: Control Access"
"MA-4",,,,,,,,,"IAM-2C: Control Access"
"MP-1",,,,,,,,,"IAM-2C: Control Access"
"MP-2",,,,,,,,,"IAM-2C: Control Access"
"MP-3",,,,,,,,,"IAM-2C: Control Access"
"MP-4",,,,,,,,,"IAM-2C: Control Access"
"MP-5",,,,,,,,,"IAM-2C: Control Access"
"MP-7",,,,,,,,,"IAM-2C: Control Access"
"MP-8",,,,,,,,,"IAM-2C: Control Access"
"PE-1",,,,,,,,,"IAM-2C: Control Access"
"PE-2",,,,,,,,,"IAM-2C: Control Access"
"PE-3",,,,,,,,,"IAM-2C: Control Access"
"PE-4",,,,,,,,,"IAM-2C: Control Access"
"PE-5",,,,,,,,,"IAM-2C: Control Access"
"PE-6",,,,,,,,,"IAM-2C: Control Access"
"PE-8",,,,,,,,,"IAM-2C: Control Access"
"PE-9",,,,,,,,,"IAM-2C: Control Access"
"SC-15",,,,,,,,,"IAM-2C: Control Access"
"AC-1",,,,,,,,,"IAM-2D: Control Access"
"AC-14",,,,,,,,,"IAM-2D: Control Access"
"AC-16",,,,,,,,,"IAM-2D: Control Access"
"AC-17",,,,,,,,,"IAM-2D: Control Access"
"AC-19",,,,,,,,,"IAM-2D: Control Access"
"AC-2",,,,,,,,,"IAM-2D: Control Access"
"AC-20",,,,,,,,,"IAM-2D: Control Access"
"AC-24",,,,,,,,,"IAM-2D: Control Access"
"AC-3",,,,,,,,,"IAM-2D: Control Access"
"AC-5",,,,,,,,,"IAM-2D: Control Access"
"AC-6",,,,,,,,,"IAM-2D: Control Access"
"CM-7",,,,,,,,,"IAM-2D: Control Access"
"MA-4",,,,,,,,,"IAM-2D: Control Access"
"PE-1",,,,,,,,,"IAM-2D: Control Access"
"PE-2",,,,,,,,,"IAM-2D: Control Access"
"PE-3",,,,,,,,,"IAM-2D: Control Access"
"PE-4",,,,,,,,,"IAM-2D: Control Access"
"PE-5",,,,,,,,,"IAM-2D: Control Access"
"PE-6",,,,,,,,,"IAM-2D: Control Access"
"PE-8",,,,,,,,,"IAM-2D: Control Access"
"PE-9",,,,,,,,,"IAM-2D: Control Access"
"SC-15",,,,,,,,,"IAM-2D: Control Access"
"AC-1",,,,,,,,,"IAM-2E: Control Access"
"AC-17",,,,,,,,,"IAM-2E: Control Access"
"AC-19",,,,,,,,,"IAM-2E: Control Access"
"AC-20",,,,,,,,,"IAM-2E: Control Access"
"AC-3",,,,,,,,,"IAM-2E: Control Access"
"CM-7",,,,,,,,,"IAM-2E: Control Access"
"MA-4",,,,,,,,,"IAM-2E: Control Access"
"PE-1",,,,,,,,,"IAM-2E: Control Access"
"PE-2",,,,,,,,,"IAM-2E: Control Access"
"PE-3",,,,,,,,,"IAM-2E: Control Access"
"PE-4",,,,,,,,,"IAM-2E: Control Access"
"PE-5",,,,,,,,,"IAM-2E: Control Access"
"PE-6",,,,,,,,,"IAM-2E: Control Access"
"PE-8",,,,,,,,,"IAM-2E: Control Access"
"PE-9",,,,,,,,,"IAM-2E: Control Access"
"SC-15",,,,,,,,,"IAM-2E: Control Access"
"AC-1",,,,,,,,,"IAM-2F: Control Access"
"AC-17",,,,,,,,,"IAM-2F: Control Access"
"AC-19",,,,,,,,,"IAM-2F: Control Access"
"AC-20",,,,,,,,,"IAM-2F: Control Access"
"AC-3",,,,,,,,,"IAM-2F: Control Access"
"CM-7",,,,,,,,,"IAM-2F: Control Access"
"MA-4",,,,,,,,,"IAM-2F: Control Access"
"PE-1",,,,,,,,,"IAM-2F: Control Access"
"PE-2",,,,,,,,,"IAM-2F: Control Access"
"PE-3",,,,,,,,,"IAM-2F: Control Access"
"PE-4",,,,,,,,,"IAM-2F: Control Access"
"PE-5",,,,,,,,,"IAM-2F: Control Access"
"PE-6",,,,,,,,,"IAM-2F: Control Access"
"PE-8",,,,,,,,,"IAM-2F: Control Access"
"PE-9",,,,,,,,,"IAM-2F: Control Access"
"SC-15",,,,,,,,,"IAM-2F: Control Access"
"AC-1",,,,,,,,,"IAM-2G: Control Access"
"AC-17",,,,,,,,,"IAM-2G: Control Access"
"AC-19",,,,,,,,,"IAM-2G: Control Access"
"AC-20",,,,,,,,,"IAM-2G: Control Access"
"AC-3",,,,,,,,,"IAM-2G: Control Access"
"CM-7",,,,,,,,,"IAM-2G: Control Access"
"MA-4",,,,,,,,,"IAM-2G: Control Access"
"PE-1",,,,,,,,,"IAM-2G: Control Access"
"PE-2",,,,,,,,,"IAM-2G: Control Access"
"PE-3",,,,,,,,,"IAM-2G: Control Access"
"PE-4",,,,,,,,,"IAM-2G: Control Access"
"PE-5",,,,,,,,,"IAM-2G: Control Access"
"PE-6",,,,,,,,,"IAM-2G: Control Access"
"PE-8",,,,,,,,,"IAM-2G: Control Access"
"PE-9",,,,,,,,,"IAM-2G: Control Access"
"SC-15",,,,,,,,,"IAM-2G: Control Access"
"AC-3",,,,,,,,,"IAM-2H: Control Access"
"CM-7",,,,,,,,,"IAM-2H: Control Access"
"MA-4",,,,,,,,,"IAM-2H: Control Access"
"AC-3",,,,,,,,,"IAM-2I: Control Access"
"CM-7",,,,,,,,,"IAM-2I: Control Access"
"AU-6",,,,,,,,,"IR-1A: Detect Cyber Security Events"
"IR-6",,,,,,,,,"IR-1A: Detect Cyber Security Events"
"IR-8",,,,,,,,,"IR-1A: Detect Cyber Security Events"
"AU-6",,,,,,,,,"IR-1B: Detect Cyber Security Events"
"CA-2",,,,,,,,,"IR-1B: Detect Cyber Security Events"
"CA-7",,,,,,,,,"IR-1B: Detect Cyber Security Events"
"IR-6",,,,,,,,,"IR-1B: Detect Cyber Security Events"
"IR-8",,,,,,,,,"IR-1B: Detect Cyber Security Events"
"RA-5",,,,,,,,,"IR-1B: Detect Cyber Security Events"
"SI-4",,,,,,,,,"IR-1B: Detect Cyber Security Events"
"MA-4",,,,,,,,,"IR-1C: Detect Cyber Security Events"
"CA-1",,,,,,,,,"IR-1D: Detect Cyber Security Events"
"CA-2",,,,,,,,,"IR-1D: Detect Cyber Security Events"
"CA-7",,,,,,,,,"IR-1D: Detect Cyber Security Events"
"CP-2",,,,,,,,,"IR-1D: Detect Cyber Security Events"
"IR-4",,,,,,,,,"IR-1D: Detect Cyber Security Events"
"IR-5",,,,,,,,,"IR-1D: Detect Cyber Security Events"
"IR-8",,,,,,,,,"IR-1D: Detect Cyber Security Events"
"PM-14",,,,,,,,,"IR-1D: Detect Cyber Security Events"
"RA-3",,,,,,,,,"IR-1D: Detect Cyber Security Events"
"SI-1",,,,,,,,,"IR-1D: Detect Cyber Security Events"
"SI-4",,,,,,,,,"IR-1D: Detect Cyber Security Events"
"SR-1",,,,,,,,,"IR-1D: Detect Cyber Security Events"
"SR-10",,,,,,,,,"IR-1D: Detect Cyber Security Events"
"SR-9",,,,,,,,,"IR-1D: Detect Cyber Security Events"
"AU-6",,,,,,,,,"IR-1E: Detect Cyber Security Events"
"CA-7",,,,,,,,,"IR-1E: Detect Cyber Security Events"
"CP-2",,,,,,,,,"IR-1E: Detect Cyber Security Events"
"IR-4",,,,,,,,,"IR-1E: Detect Cyber Security Events"
"IR-5",,,,,,,,,"IR-1E: Detect Cyber Security Events"
"IR-8",,,,,,,,,"IR-1E: Detect Cyber Security Events"
"PE-6",,,,,,,,,"IR-1E: Detect Cyber Security Events"
"RA-3",,,,,,,,,"IR-1E: Detect Cyber Security Events"
"RA-5",,,,,,,,,"IR-1E: Detect Cyber Security Events"
"SI-4",,,,,,,,,"IR-1E: Detect Cyber Security Events"
"AU-6",,,,,,,,,"IR-1F: Detect Cyber Security Events"
"CA-7",,,,,,,,,"IR-1F: Detect Cyber Security Events"
"CP-2",,,,,,,,,"IR-1F: Detect Cyber Security Events"
"IR-4",,,,,,,,,"IR-1F: Detect Cyber Security Events"
"IR-5",,,,,,,,,"IR-1F: Detect Cyber Security Events"
"IR-8",,,,,,,,,"IR-1F: Detect Cyber Security Events"
"PE-6",,,,,,,,,"IR-1F: Detect Cyber Security Events"
"RA-5",,,,,,,,,"IR-1F: Detect Cyber Security Events"
"SI-4",,,,,,,,,"IR-1F: Detect Cyber Security Events"
