SML.deviceexploitchainmodel::notIngestedStaticDeviceTopic,Events dropped from Kafka on DeviceTopic,"Percentage of events dropped from Kafka on  DeviceTopic"
SML.deviceexploitchainmodel::eventLagStaticDeviceTopic,Event Lag on DeviceTopic,"Events waiting to be ingested on DeviceTopic"
indicatorId,name,description
SML.malwarecommunication::notIngestedDomainTopic,Events dropped from Kafka on DomainTopic,"Percentage of events dropped from Kafka on  DomainTopic"
SML.malwarecommunication::DomainTopictimeLagStatic, Time Lag on DomainTopic,"Time lag of  on DomainTopic"
SML.malwarecommunication::DomainTopicTimeLag,Time Lag on DomainTopic,"Time lag of the instance on DomainTopic"
SML.malwarecommunication::epsDomainTopic,EPS on DomainTopic,"Events processed per second by the service on DomainTopic"
SML.malwarecommunication::eventLagStaticDomainTopic,Event Lag on DomainTopic,"Events waiting to be ingested on DomainTopic"
SML.malwarecommunication::epsStaticDomainTopic,EPS on DomainTopic,"Events processed per second by the service on DomainTopic"
SML.malwarecommunication::notIngestedStaticDomainTopic,Events dropped from Kafka on DomainTopic,"Percentage of events dropped from Kafka on  DomainTopic"
indicatorId,name,description
indicatorId,name,description
ETL.etl::RawDataTopicTimeLag,Time Lag on RawDataTopic,"Time lag of the instance on RawDataTopic"
ETL.etl::eventLagStaticRawDataTopic,Event Lag on RawDataTopic,"Events waiting to be ingested on RawDataTopic"
ETL.etl::RawDataTopictimeLagStatic, Time Lag on RawDataTopic,"Time lag of  on RawDataTopic"
ETL.etl::epsRawDataTopic,EPS on RawDataTopic,"Events processed per second by the service on RawDataTopic"
ETL.etl::epsStaticRawDataTopic,EPS on RawDataTopic,"Events processed per second by the service on RawDataTopic"
ETL.etl::notIngestedRawDataTopic,Events dropped from Kafka on RawDataTopic,"Percentage of events dropped from Kafka on  RawDataTopic"
ETL.etl::notIngestedStaticRawDataTopic,Events dropped from Kafka on RawDataTopic,"Percentage of events dropped from Kafka on  RawDataTopic"
indicatorId,name,description
ETL.etl::latestEventTsStaticRawDataTopic,Time Difference on RawDataTopic,"Maximum time difference among the latest processed events of all UBA ETL services"
ETL.etl::latestEventTsRawDataTopic,Latest Event Time on RawDataTopic,"Time of the latest event processed by the service on RawDataTopic"
SML.adpstiocgenerationmodel::notIngestedStaticEventTopic,Events dropped from Kafka on EventTopic,"Percentage of events dropped from Kafka on  EventTopic"
SML.adpstiocgenerationmodel::epsStaticEventTopic,EPS on EventTopic,"Events processed per second by the service on EventTopic"
SML.adpstiocgenerationmodel::EventTopicTimeLag,Time Lag on EventTopic,"Time lag of the instance on EventTopic"
SML.adpstiocgenerationmodel::notIngestedEventTopic,Events dropped from Kafka on EventTopic,"Percentage of events dropped from Kafka on  EventTopic"
SML.adpstiocgenerationmodel::eventLagStaticEventTopic,Event Lag on EventTopic,"Events waiting to be ingested on EventTopic"
SML.adpstiocgenerationmodel::epsEventTopic,EPS on EventTopic,"Events processed per second by the service on EventTopic"
SML.adpstiocgenerationmodel::EventTopictimeLagStatic, Time Lag on EventTopic,"Time lag of  on EventTopic"
indicatorId,name,description
SML.authenticationviewfixedlogic::notIngestedStaticEventTopic,Events dropped from Kafka on EventTopic,"Percentage of events dropped from Kafka on  EventTopic"
SML.authenticationviewfixedlogic::epsStaticEventTopic,EPS on EventTopic,"Events processed per second by the service on EventTopic"
SML.authenticationviewfixedlogic::EventTopicTimeLag,Time Lag on EventTopic,"Time lag of the instance on EventTopic"
SML.authenticationviewfixedlogic::notIngestedEventTopic,Events dropped from Kafka on EventTopic,"Percentage of events dropped from Kafka on  EventTopic"
SML.authenticationviewfixedlogic::eventLagStaticEventTopic,Event Lag on EventTopic,"Events waiting to be ingested on EventTopic"
SML.authenticationviewfixedlogic::epsEventTopic,EPS on EventTopic,"Events processed per second by the service on EventTopic"
SML.authenticationviewfixedlogic::EventTopictimeLagStatic, Time Lag on EventTopic,"Time lag of  on EventTopic"
indicatorId,name,description
SML.batchaggregatesmodel::notIngestedStaticEventTopic,Events dropped from Kafka on EventTopic,"Percentage of events dropped from Kafka on  EventTopic"
SML.batchaggregatesmodel::epsStaticEventTopic,EPS on EventTopic,"Events processed per second by the service on EventTopic"
SML.batchaggregatesmodel::EventTopicTimeLag,Time Lag on EventTopic,"Time lag of the instance on EventTopic"
SML.batchaggregatesmodel::notIngestedEventTopic,Events dropped from Kafka on EventTopic,"Percentage of events dropped from Kafka on  EventTopic"
SML.batchaggregatesmodel::eventLagStaticEventTopic,Event Lag on EventTopic,"Events waiting to be ingested on EventTopic"
SML.batchaggregatesmodel::epsEventTopic,EPS on EventTopic,"Events processed per second by the service on EventTopic"
SML.batchaggregatesmodel::EventTopictimeLagStatic, Time Lag on EventTopic,"Time lag of  on EventTopic"
indicatorId,name,description
IR.identityresolver::IRTopicTimeLag,Time Lag on IRTopic,"Time lag of the instance on IRTopic"
IR.identityresolver::epsIRTopic,EPS on IRTopic,"Events processed per second by the service on IRTopic"
IR.identityresolver::notIngestedIRTopic,Events dropped from Kafka on IRTopic,"Percentage of events dropped from Kafka on  IRTopic"
IR.identityresolver::IRTopictimeLagStatic, Time Lag on IRTopic,"Time lag of  on IRTopic"
IR.identityresolver::epsPreIREventTopic,EPS on PreIREventTopic,"Events processed per second by the service on PreIREventTopic"
IR.identityresolver::notIngestedPreIREventTopic,Events dropped from Kafka on PreIREventTopic,"Percentage of events dropped from Kafka on  PreIREventTopic"
IR.identityresolver::PreIREventTopicTimeLag,Time Lag on PreIREventTopic,"Time lag of the instance on PreIREventTopic"
IR.identityresolver::eventLagStaticPreIREventTopic,Event Lag on PreIREventTopic,"Events waiting to be ingested on PreIREventTopic"
IR.identityresolver::delay,IR's Delay,"IR's Delay on the pipeline"
IR.identityresolver::notIngestedStaticPreIREventTopic,Events dropped from Kafka on PreIREventTopic,"Percentage of events dropped from Kafka on  PreIREventTopic"
IR.identityresolver::epsStaticIRTopic,EPS on IRTopic,"Events processed per second by the service on IRTopic"
IR.identityresolver::epsStaticPreIREventTopic,EPS on PreIREventTopic,"Events processed per second by the service on PreIREventTopic"
IR.identityresolver::notIngestedStaticIRTopic,Events dropped from Kafka on IRTopic,"Percentage of events dropped from Kafka on  IRTopic"
IR.identityresolver::PreIREventTopictimeLagStatic, Time Lag on PreIREventTopic,"Time lag of  on PreIREventTopic"
IR.identityresolver::eventLagIRTopic,Event Lag on IRTopic,"Events waiting to be ingested on IRTopic"
indicatorId,name,description
SML.uthourperusermodel::notIngestedStaticEventTopic,Events dropped from Kafka on EventTopic,"Percentage of events dropped from Kafka on  EventTopic"
SML.uthourperusermodel::epsStaticEventTopic,EPS on EventTopic,"Events processed per second by the service on EventTopic"
SML.uthourperusermodel::EventTopicTimeLag,Time Lag on EventTopic,"Time lag of the instance on EventTopic"
SML.uthourperusermodel::notIngestedEventTopic,Events dropped from Kafka on EventTopic,"Percentage of events dropped from Kafka on  EventTopic"
SML.uthourperusermodel::eventLagStaticEventTopic,Event Lag on EventTopic,"Events waiting to be ingested on EventTopic"
SML.uthourperusermodel::epsEventTopic,EPS on EventTopic,"Events processed per second by the service on EventTopic"
SML.uthourperusermodel::EventTopictimeLagStatic, Time Lag on EventTopic,"Time lag of  on EventTopic"
indicatorId,name,description
ORE::rulesFailures,Number of Execution Failures per Rule,"The number of times each rule has failed to execute consecutively, or 0 if no failures have occurred"
ORE::ruleStartTime,Last Execution Start Time per Rule,"The start time of the latest execution per rule"
ORE::ruleEndTime,Last Execution End Time per Rule,"The last time each rule completed"
ORE::ruleFailTime,Last Execution Failure per Rule,"The last time each rule failed to execute"
ORE::rulesExecutions,Number of Executions per Rule,"The total number of execution attempts, both successful and failed, for each rule"
ORE::ruleDuration,Average Execution Time per Rule,"The average execution time of each rule"
ORE::threatReval,Threat Revalidation,"Checks whether the average time to revalidate threats since the last system reboot is staying in the normal range."
indicatorId,name,description
pipeline::NewAnomalyTopic,NewAnomalyTopic,"NewAnomalyTopic status"
pipeline::NewAnomalyTopicLag,NewAnomalyTopic offset,"NewAnomalyTopicOffset of"
pipeline::NewAnomalyTopicOffset,NewAnomalyTopic offset,"Offset of NewAnomalyTopic"
indicatorId,name,description
RRE::duplNewAnomalies,Duplicate New Anomalies,"Total number of duplicate anomalies"
RRE::movingAvgNewAnomEPS,Rate of Anomaly Generation,"Checks whether the average number of anomalies processed per second over the last 10 minutes is staying in the normal range."
RRE::acceptedNewAnomalies,Number of Active Anomalies,"Total number of new anomalies activated"
RRE::newAnomaliesReceived,New Anomalies Received,"Total number of new anomalies created by the system"
RRE::droppedNewAnomalies,Dropped New Anomalies,"Total number of dropped non-duplicate anomalies"
RRE::eps,Average New Anomalies Completed,"The average number of anomalies processed per second since the last system reboot"
RRE::newAnomaliesUnderProcess,New Anomalies in Process,"Number of new anomalies currently being processed"
RRE::timeLag,Time Lag,"Time Lag"
RRE::eventsMissed,Anomalies dropped from Kafka,"Percentage of anomalies that were dropped from Kafka."
RRE::processedNewAnomalies,New Anomalies Completed,"Total number of new anomalies processed by anomaly action rules"
indicatorId,name,description
postgres::notActiveAnom,Number of Inactive Anomalies,"The total number of anomalies in the system which were not completely processed"
postgres::supprAnom,Number of Suppressed Anomalies,"The total number of anomalies in the system which have been suppressed either manually or via anomaly action rules"
indicatorId,name,description
DS::enumMonitor,Splunk Direct Data Source Enum Check,"Monitors the Splunk Direct input enum field data quality. This indicator tracks the mismatch rate (percentage) in each data source"
DS::datasourceSplunkEPS,Data Source EPS on Splunk,"Events processed per second(avg) by each data source on Splunk in the last hour."
DS::noViewEventsCount,Percentage of Events with no Relevant Data,"Percentage of events that had no relevant data"
DS::filteredEvents,Percentage of Events dropped by EventFilters,"Percentage of events dropped by EventFilters on UI"
DS::datasourceEPS,Data Source Processing,"EPS of data sources in "Processing" state"
DS::skippedEvents,Percentage of Events Skipped,"Percentage of events skipped due to filters like, EventHasNoEntities, IpAddressOutOfRange, EventBlacklisted, DuplicateEvent, AllUsersUnknown, etc."
DS::dataSourceSearchStatusMonitor,Splunk Data Source Search Status Check,"Monitors the Splunk data source search status. This indicator tracks errors in the searches issued by Kafka Ingestion data source. "
DS::dsOverallEPS,Overall EPS of all Datasources,"Aggregated EPS of all data sources in "Processing" state"
DS::dataSourceLagMonitor,Splunk Data Source Lag,"Monitors the Splunk data source search lag when micro-batching is enabled. The lag is defined as the difference between search submission time and the search's latest time. If lag exceeds threshold, warning message is displayed. Threshold is set at 3600 seconds by default, and is configurable."
DS::eventsPerFormat,Events Count by Data Format,"Number of events processed by data format"
DS::noEntityEvents,Percentage of Events with no entity,"Percentage of events that have no entity "
indicatorId,name,description
kafka::diskSize,Total size on disk,"The total size of all the Kafka topics"
kafka::topicSize,Topic size on disk,"The size each topic occupies on disk"
kafka::reqHandlerIdle,Request handler idle ratio,"Percentage of time the brokers' request handlers are idle"
kafka::allBytesIn,All topics bytes in,"The rate, expressed in bytes per second, of the message traffic the brokers are receiving from producing clients"
kafka::reqTimeAvg,Request process time - Average,"The average time in millis for the brokers to fully process requests per request type"
kafka::reqTime99,Request process time - 99th Percentile,"The time in millis it took for the brokers to fully process 99% of requests per request type"
kafka::topicPartitions,Topic partition count,"The number of partitions per topic"
kafka::allBytesOut,All topics bytes out,"The rate, expressed in the bytes per second, at which consumers are reading messages out across all topics"
kafka::bytesIn,Topic bytes in,"The rate, expressed in bytes per second, of the message traffic each topic is receiving from producing clients"
kafka::bytesOut,Topic bytes out,"The rate, expressed in bytes per second, of the message traffic consumed by clients of each topic"
indicatorId,name,description
OML::execDurations,Execution Duration,"Latest execution duration"
OML::skippedTasks,Skipped Tasks,"Skipped tasks in latest execution"
OML::shuffleReadRecords,Shuffle Read Records,"Shuffle read records in latest execution"
OML::totalJobs,Total Jobs,"Number of jobs in the application"
OML::shuffleReadBytes,Shuffle Read Bytes,"Shuffle read bytes in latest execution"
OML::shuffleWriteBytes,Shuffle Write Bytes,"Shuffle write bytes in latest execution"
OML::diskBytesSpilled,Disk Bytes Spilled,"Disk bytes spilled in latest execution"
OML::executionTime,Last Execution Time per Model,"Last time each offline model executed"
OML::shuffleWriteRecords,Shuffle Write Records,"Shuffle write records in latest execution"
OML::completedTasks,Completed Tasks,"Completed tasks in latest execution"
OML::failedStages,Failed Stages,"Failed stages in latest execution"
OML::completedStages,Completed Stages,"Completed stages in latest execution"
OML::skippedStages,Skipped Stages,"Skipped stages in latest execution"
OML::totalStages,Total Stages,"Total stages in latest execution"
OML::failedTasks,Failed Tasks,"Failed tasks in latest execution"
OML::totalTasks,Total Tasks,"Total tasks in latest execution"
OML::longestStageDur,Longest Stage Duration,"Longest stage duration in latest execution"
indicatorId,name,description
OCS::eventsTimeLag,Events Time Lag,"Time lag of the Output Connector Server on the events input queue"
OCS::threatsReceived,Number of Threats Sent to Output Connector,"The total number of threats sent to the output connector for forwarding to Splunk ES or other external destinations, since the last time UBA was restarted"
OCS::anomaliesMissed,Anomalies dropped from Kafka,"Percentage of anomalies dropped from Kafka"
OCS::emailFailures,Email Failure Percentage,"Percentage of email attempts that failed"
OCS::anomaliesReceived,Total New Anomalies,"Number of new anomalies received by the output connector server"
OCS::anomaliesTimeLag,Anomalies Time Lag,"Time lag of the Output Connector Server on the anomaly input queue"
OCS::eventsMissed,Audit and control events dropped from Kafka,"Percentage of audit and control events dropped from Kafka"
indicatorId,name,description
MSTORE::deserDuration,Average Deserialization Delay,"Average Deserialization Delay (in last 5-10 mins)"
MSTORE::storedModel,Number of Models Stored,"Number of models in Model Store"
MSTORE::avgSizes,Average Size of Stored Models,"Average size of stored models"
MSTORE::maxSizes,Maximum Size of Stored Models,"Maximum size of stored models"
indicatorId,name,description
threatComputation::duration,Threat Computation Duration,"Calculates if threat computation is completing in the expected amount of time."
threatComputation::success,Threat Computation,"Whether or not overall threat computation is completing successfully."
threatComputation::start,Threat Computation Start Time,"The last time the threat computation task was started"
threatComputation::graphDuration,Graph-based Threat Computation,"Calculates whether graph-based threat computation is running in a timely fashion."
DS::datasourceHRDataPoll,HR data retrieval time,"The time of the latest retrieval of HR data"
DS::datasourceAssetsPoll,Assets data retrieval time,"The time of the latest retrieval of Assets data"
OCS::threatsStuck,Sending Threats to SplunkES is halted,"Checks whether the sending of threats to Splunk ES has been halted"
pipeline::reToOCSNewAnomalyLag,Anomaly Output Connector,"Anomaly to output connector workflow status"
SML.landspeedviolationmodel::notIngestedStaticEventTopic,Events dropped from Kafka on EventTopic,"Percentage of events dropped from Kafka on  EventTopic"
SML.landspeedviolationmodel::epsStaticEventTopic,EPS on EventTopic,"Events processed per second by the service on EventTopic"
SML.landspeedviolationmodel::EventTopicTimeLag,Time Lag on EventTopic,"Time lag of the instance on EventTopic"
SML.landspeedviolationmodel::notIngestedEventTopic,Events dropped from Kafka on EventTopic,"Percentage of events dropped from Kafka on  EventTopic"
SML.landspeedviolationmodel::eventLagStaticEventTopic,Event Lag on EventTopic,"Events waiting to be ingested on EventTopic"
SML.landspeedviolationmodel::epsEventTopic,EPS on EventTopic,"Events processed per second by the service on EventTopic"
SML.landspeedviolationmodel::EventTopictimeLagStatic, Time Lag on EventTopic,"Time lag of  on EventTopic"
indicatorId,name,description
