vendor_action,vendor_action_description
CLEANUP_EXPIRED_AUTHENTICATORS_JOB_FAILURE,An unexpected exception occurred while attempting to delete an On-Demand authenticator for a user.
FEATURE_LICENSE_CHECK,An unexpected exception occurred while performing an On-Demand authentication license check.
SMS_FEATURE_ID,The license check had an unexpected exception or was found to be in violation for On-Demand authentication.
SMS_AUTHENTICATOR_COUNT_FEATURE_ID,The license check had an unexpected exception or there were too many users enabled for On-Demand authentication.
DISPATCH_MESSAGE,An unexpected exception occurred while sending an On-Demand authentication message.
MESSAGE_HANDLER_HANDLE_MESSAGE,An unexpected exception occurred while sending an On-Demand authentication message.
MESSAGE_PROCESSOR_START,The On-Demand message processor failed to start.
MESSAGE_PROCESSOR_STOP,The On-Demand message processor failed to stop.
MESSAGE_PROCESSOR_DROP_MESSAGE,An On-Demand authentication message was dropped because the queue was full.
TRANSMIT_TXT_MSG_SMS,Unable to send the On-Demand authentication message to Clickatell.
SMS_CLICKATELL_SSL_INITIALIZATION_FAILURE,An unexpected exception occurred while loading the Clickatell root certificate.
REFRESH_TRANSMISSION_PLUGINS,An unexpected exception occurred while refreshing the list of On-Demand authenticator droppable plugins.
TRANSMIT_TXT_MSG_SMTP,An unexpected exception occurred while sending the On-Demand authentication message over SMTP.
