advice,"bp_name","bp_value",judgement,link,points
"Do not eval risk_object in the SPL if the search is raising multiple risks",risk,BAD,Red,,0
"Risk object type must be one of user/system/other",risk,BadType,Red,,0
,risk,EXEMPT,"Light Green",,"0.95"
,risk,good,Green,,1
"All detections should raise a risk, with very few exceptions",risk,NONE,Red,,0
"Should eval risk_score and call `tweak_risk_score_based_on_priority`",risk,NoTweak,Yellow,,"0.8"
"Alerts raising a notable should eval risk_object explicitly to benefit from the risk overview dashboard workflow",risk,Workflow,Yellow,,"0.8"
"Alerts raising a notable and raising multiple risks should eval risk_object1 and risk_object2 explicitly to benefit from the risk overview dashboard workflow",risk,"Workflow+",Yellow,,"0.8"
"High concurrency of searches scheduled at the same minute. Change cron_schedule to the suggested one below",schedule,Busy,Yellow,"/app/SA-ES-Choreographer/business_of_correlation_search_schedules","0.8"
,schedule,"Cont.",Green,"/app/SA-ES-Choreographer/business_of_correlation_search_schedules",1
"Real time schedule. Switch 'Scheduling' to Continuous",schedule,RT,Yellow,"/app/SA-ES-Choreographer/business_of_correlation_search_schedules","0.8"
"Real time search! Remove ""rt"" from earliest and latest",schedule,"RT!",Red,"/app/SA-ES-Choreographer/business_of_correlation_search_schedules",0
,suppression,EXEMPT,"Light Green",,"0.95"
,suppression,good,Green,,1
"Implement suppressions in the SPL via is_suppressed, not in an ES notable suppression",suppression,some,Amber,,"0.25"
,threat,EXEMPT,"Light Green",,"0.95"
"Consider adding one or more threat objects",threat,no,Yellow,,"0.8"
"All detections should raise a risk, with very few exceptions",threat,NONE,Red,,0
,threat,yes,Green,,1
"Throttle duration is smaller than search duration",throttle,BAD,Red,,0
,throttle,EXEMPT,"Light Green",,"0.95"
,throttle,good,Green,,1
"No overlap between runs, so throttling is irrelevant",throttle,"N/A",Green,,1
"Please add some throttling",throttle,NONE,Red,,0
"Exception for internal logs",tstats,admin,Green,,1
"Add summariesonly=t",tstats,"bad tstats",Red,,0
,tstats,EXEMPT,"Light Green",,"0.95"
"Avoid using heavy commands such as union, join, append or transaction",tstats,heavy,Red,,0
"Exception for Ironport",tstats,ironport,Green,,1
Joy,tstats,lookup,Green,,1
"Exception for powershell",tstats,powershell,Green,,1
"Use an accelerated data model or another fast search method",tstats,raw,Red,,0
,tstats,azure,Light Green,,0.95
,tstats,tstats,Green,,1
,tstats,"tstats DM",Green,,1
"The name of the workflow field for the investigation dashboard must satisfy the naming convention",workflow,BadName,Red,"/app/ConfManager/cm__workflow_actions",0
,workflow,EXEMPT,"Light Green",,"0.95"
"Irrelevant as not raising risks or notables",workflow,"N/A",Green,"/app/ConfManager/cm__workflow_actions",1
"Add at least one workflow to an investigation dashboard",workflow,NO,Red,"/app/ConfManager/cm__workflow_actions",0
"Add workflow to an analyst guide",workflow,NoGuide,Amber,"/app/ConfManager/cm__workflow_actions","0.25"
"SPL is referring a csv file but there is no workflow to edit it",workflow,NoLookup,Yellow,"/app/ConfManager/cm__workflow_actions","0.8"
,workflow,yes,Green,"/app/ConfManager/cm__workflow_actions",1
