field,type,table,description
DialedNumberType,categorical,,TBD
DialedNumberCountryCode,categorical,,the country code of the Dialed Number. 
DialedNumberAreaCode,categorical,,Area code of the Dialed number. Present only for DialedNumber values in the US.
DialedNumberExchange,categorical,,the exchange of the Dialed number. Present only for DialedNumber values in the US.
DialedNumberCity,categorical,,The city most closely matching the area code and exchange. Present only for DialedNumber values in the US.
DialedNumberAreaDescription,categorical,,the AreaDescription field (ask us for details)
DialedNumberCountryName,categorical,,the country name of the DialedNumber
DialedNumberLat,categorical,,the latitude of the DialedNumber
DialedNumberLong,categorical,,the longitude of the DialedNumber
DialedNumberGroup,categorical,call,the group of the person associated with the number in DialedNumber (IF you have entered that number in the extensions lookup)
DialedNumberName,categorical,call,the name of the person associated with the number in DialedNumber (IF you have entered that number in the extensions lookup)
DialedNumberSubgroup,categorical,call,the subgroup of the person associated with the number in DialedNumber (IF you have entered that number in the extensions lookup)
Direction,categorical,,Indicates inbound vs. outbound.
DisconnectDescription,categorical,,Full description of the DisconnectReason code.  See also DisconnectName.
DisconnectName,categorical,,Short description for DisconnectReason code.
DisconnectReason,categorical,connect,Numerical Disconnect Reason code. See DisconnectName and DisconnectDescription for more information.
DisconnectTime,time,connect,Time when the party disconnected from the call.
EncodingType,categorical,mediastream,Encoding type used for media stream.
EndTime,time,call,Time when the call terminates (either by the near end hanging up or when the end external to the system hangs up) and the ShoreTel switch receives the notification of the disconnect.
eventtype,categorical,call,"This is a somewhat advanced but very useful piece of splunk functionality. Defined as a simple SPL search expression, this will paint any call legs that match the expression with a value for the 'eventtype' field that is the name of the given eventtype."
Extension,categorical,call,"For an outbound or extension-to-extension call, the extension has the dialed number of the originator of the call. 
This field is blank for an outbound call from an anonymous phone with no currently assigned DN.
For an inbound call, the extension field contains the DN of the last party involved in the call (excluding voice mail or auto-attendant). For example, an incoming call to an extension that transferred the call to extension 300 has '300' in the extension field (the complete history of parties connecting to the call is in the Connect table).
All calls to an extension that are forwarded to voice mail have the extension of the called party and not the voice mail number"
ExtensionGroup,categorical,call,the group of the person associated with the number in Extension (IF you have entered that number in the extensions lookup)
ExtensionName,categorical,call,the name of the person associated with the number in Extension (IF you have entered that numberin the extensions lookup)
ExtensionSubgroup,categorical,call,the subgroup of the person associated with the number in Extension (IF you have entered that numberin the extensions lookup)
FailureCode,categorical,mediastream,Error code for this mediastream.
FriendlyBillingCode,categorical,call,Friendly name of the account code assigned to the call.
GroupID,categorical,connect,Unique ID assigned by configuration database. The value is a TrunkGroupID if PartyType is Trunk.  The value is UserGroupID if PartyType is Station.  The value is 0 if it is not applicable.
GroupName,categorical,connect,"Name of group as assigned by Director in use.  If the PartyType is Station, the value is the name of the User-Group. If the PartyType is Trunk, the value is the Trunk-Group."
HoldTime,numeric,connect,Time on hold. Includes date on calls with more than 24 hours hold time. Date not included on calls with less than one hour hold time.
ID,categorical,"call,mediastream",Unique Identifier.
IP_Address,categorical,mediastream,Local IP Address for this party.
InterSite,categorical,mediastream,Indicates this call is between sites.  
LineID,categorical,connect,TAPI permanent line ID for this party.
LongDistance,categorical,call,"Indicates trunk connected long distance for outbound calls of PartyType 'Trunk'.   The first connect record of the call is used to determine whether a call is long distance. If the first leg is an extension call, the value is always No.
A trunk call can be transferred or conferenced, so the total long distance time can only be determined by examining all Connect records. "
LostPackets,numeric,mediastream,"This is the sum of A_LostPackets and B_LostPackets, as recorded in the mediastream table for the given call."
MSExtension,categorical,mediastream,The extension associated with this mediastream record.
MSLineID,categorical,mediastream,The line  ID associated with this mediastream record.
MSPartyType,categorical,mediastream,The party type associated with this mediastream record.
MSSiteName,categorical,mediastream,The site name associated with this mediastream record.
MSStartTime,categorical,mediastream,The start time of this leg's participation in the call.
MailboxID,categorical,connect,"Mailbox ID if PartyType is VMForward or VMLogin.  If the PartyType is VMForward, it specifies mailbox receiving forwarded message. If the PartyType is  VMLogin if specifies original target mailbox."
MaxJitter,numeric,mediastream,"Max jitter in milliseconds. This is the larger of A_MaxJitter and B_MaxJitter, as recorded in the mediastream table for the given call."
Name,categorical,mediastream,Call type name.
Overruns,numeric,mediastream,"This is the sum of A_Overruns and B_Overruns, as recorded in the mediastream table for the given call."
PartyID,categorical,connect,Number of party.
PartyIDFlags,categorical,connect,Caller ID flags that specifies the data available in ID and Name fields.
PartyIDFlagsDescription,categorical,,Full description of Party ID Flags.
PartyIDFlagsName,categorical,,Short description of Party ID Flags.
PartyIDLastName,categorical,connect,Last name of party.
PartyIDName,categorical,connect,Name of party.
PartyType,categorical,connect,Party that initiated the call.  See PartyTypeName and PartyTypeDescription fields for more information.
PartyTypeDescription,categorical,,Full description of PartyType field.
PartyTypeName,categorical,,Short description of PartyType field.
PayloadSecurity,categorical,mediastream,Flag indicating if security was enabled on the mediastream.
PayloadSize,numeric,mediastream,Media payload size in bytes.
PortID,categorical,connect,"Party's port ID, if any.  Unique ID assigned to ShoreTel switch port by the configuration database. A value of 0 indicates the party is a workgroup, voicemail, or an unassigned user."
PortName,categorical,connect,Name of the port (Trunk or Extension) as defined in Director.
PortNumber,categorical,connect,"Party's port number corresponding to the physical port or channel number on the ShoreTel switch.  A value of 0 indicates the party is a workgroup, voicemail, or an unassigned user."
RelatedCallTableID,categorical,connect,Reserved
RingTime,numeric,connect,For inbound calls it is the time spent offering. For outbound calls it is the ringback time.
SIPCallId,categorical,"call,mediastream",SIP Global ID number.
ServerName,categorical,connect,Reserved
SiteID,categorical,mediastream,The party's side ID.
SiteName,categorical,connect,Reserved
StartTime,categorical,call," For an inbound call, this is when the trunk has been seized. For an outbound call, this is when the user has completed dialing."
SwitchID,categorical,connect,Party's switch ID.
TalkTime,categorical,connect,Total connect time.  
TotalPackets,numeric,mediastream,"The sum of A_TotalPackets and B_TotalPackets, as recorded in the mediastream table for the given call."
TrunkDirection,categorical,connect,Indicates inbound vs. outbound direction.
Underruns,numeric,mediastream,"This is the sum of A_Underruns and B_Underruns, as recorded in the mediastream table for the given call."
User_char16,categorical,call,"While available in the raw data, this field is not documented by Shoretel."
User_i32,categorical,call,"While available in the raw data, this field is not documented by Shoretel."
User_i64,categorical,call,"While available in the raw data, this field is not documented by Shoretel."
User_string,categorical,call,"While available in the raw data, this field is not documented by Shoretel."
User_timestamp,categorical,call,"While available in the raw data, this field is not documented by Shoretel."
WorkgroupCall,categorical,call,A '1' in this field indicates the workgroup server was involved in the processing of the call.
day_of_week,categorical,,A field created by Splunk's timestamp recognition - this represents the day of the week in the local system's timezone.
from,categorical,,"A field constructed by the app by parsing country code area code and extension that will represent, for the originator of the call, the nearest city and state for US DN's and geographical area for international calls. "
hour_of_day,categorical,,A field created from the timestamp - this represents the hour of the day in the local system's timezone.
to,categorical,,"A field constructed by the app by parsing country code area code and extension that will represent, for the recipient of the call, the nearest city and state for US DN's and geographical area for international calls. "
call_records,numeric,,(created by the app) integer representing the number of call records (which are actually call+connect rows joined together) that we have for this call. 
mediastream_records,numeric,,(created by the app) integer representing the number of mediastream records we have for this call. 
quality,categorical,quality,"(created by the app) Only present in particular views. This field is created by the app in certain views and represents a concise summary of the given call's packet loss percentage, jitter, and network underruns and overruns."
