type,tier,max_size,region,location,rate,currency
P40,Premium_LRS,2048,ZA West,N/A,294.896412,GBP
P70,Premium_LRS,16384,UK West,N/A,1625.06429,GBP
P70,Premium_LRS,16384,US Gov,N/A,1343.091536,GBP
P70,Premium_LRS,N/A,BR Southeast,N/A,0.70681,GBP
P70,StandardSSD_LRS,N/A,IN West Jio,N/A,1.909481,GBP
S15,Standard_LRS,256,US South Central,N/A,8.44286,GBP
E30,StandardSSD_LRS,1024,AE North,N/A,68.687677,GBP
S80,Standard_LRS,32767,DE West Central,N/A,852.827276,GBP
S80,StandardSSD_LRS,N/A,US Central,N/A,0.335389,GBP
E40,StandardSSD_LRS,2048,US West,N/A,114.479462,GBP
P60,Premium_LRS,8192,KR Central,N/A,705.121938,GBP
E6,StandardSSD_LRS,64,IN South,N/A,3.577483,GBP
E50,StandardSSD_LRS,4096,SE Central,N/A,228.958924,GBP
P80,Premium_LRS,32767,CH North,N/A,3250.124109,GBP
P80,Premium_LRS,N/A,DE West Central,N/A,0.251914,GBP
P30,Premium_LRS,1024,US West,N/A,100.743417,GBP
P60,Premium_LRS,8192,US South Central,N/A,641.084989,GBP
P60,Premium_LRS,N/A,ZA West,N/A,9.294003,GBP
P60,Premium_LRS,N/A,NO West,N/A,0.083474,GBP
S70,Standard_LRS,16384,IN West,N/A,617.890973,GBP
P10,Premium_LRS,128,US Gov TX,N/A,14.69004,GBP
S50,Standard_LRS,4096,JA West,N/A,122.111426,GBP
S4,Standard_LRS,32,US North Central,N/A,1.144794,GBP
S4,StandardSSD_LRS,N/A,UK West,N/A,0.983807,GBP
S4,StandardSSD_LRS,N/A,FR Central,N/A,1.475711,GBP
S4,StandardSSD_LRS,N/A,DE North,N/A,0.151297,GBP
S4,StandardSSD_LRS,N/A,BR South,N/A,0.38756,GBP
S50,Standard_LRS,4096,EU North,N/A,122.111426,GBP
S50,StandardSSD_LRS,N/A,KR South,N/A,12.2417,GBP
S50,Premium_LRS,N/A,FR Central,N/A,1279.732818,GBP
P6,Premium_LRS,64,SE Central,N/A,8.367733,GBP
E40,StandardSSD_LRS,2048,SE Central,N/A,114.479462,GBP
P70,Premium_LRS,16384,AP Southeast,N/A,1343.091536,GBP
E6,StandardSSD_LRS,64,CA East,N/A,3.935231,GBP
E6,Premium_LRS,N/A,FR Central,N/A,3.060238,GBP
E6,Premium_LRS,N/A,AP East,N/A,252.99514,GBP
E6,Premium_LRS,N/A,ZA North,N/A,119.152549,GBP
P60,Premium_LRS,8192,FR Central,N/A,853.155212,GBP
P60,StandardSSD_LRS,N/A,NO East,N/A,0.063947,GBP
S30,Standard_LRS,1024,FR South,N/A,43.654834,GBP
S30,Premium_LRS,N/A,AP Southeast,N/A,0.004844,GBP
P80,Premium_LRS,32767,AU Central,N/A,2686.175619,GBP
P80,StandardSSD_LRS,N/A,NO East,N/A,1.950473,GBP
P80,Premium_LRS,N/A,JA East,N/A,118.340163,GBP
P80,StandardSSD_LRS,N/A,AE North,N/A,0.462091,GBP
P80,StandardSSD_LRS,N/A,US North Central,N/A,195.867205,GBP
P80,StandardSSD_LRS,N/A,EU West,westeurope,6.365684,GBP
E50,StandardSSD_LRS,4096,US Gov AZ,N/A,251.854816,GBP
S80,Standard_LRS,32767,CA Central,N/A,1074.579063,GBP
S70,Standard_LRS,16384,JA East,N/A,488.445706,GBP
S70,Standard_LRS,16384,IN Central Jio,N/A,537.293258,GBP
S40,Standard_LRS,2048,NO West,N/A,87.312949,GBP
S6,Standard_LRS,64,US East,N/A,2.241889,GBP
E60,StandardSSD_LRS,8192,AU Central,N/A,622.765294,GBP
P70,Premium_LRS,16384,KR Central,N/A,1343.091536,GBP
E60,StandardSSD_LRS,8192,FR Central,N/A,503.709634,GBP
P15,Premium_LRS,256,AE North,N/A,30.909454,GBP
P15,Premium_LRS,N/A,NO West,N/A,1.261062,GBP
E60,StandardSSD_LRS,8192,IN West Jio,N/A,503.709634,GBP
E60,StandardSSD_LRS,N/A,AU Southeast,N/A,1.216344,GBP
E60,Premium_LRS,N/A,US West,N/A,12.731368,GBP
E50,StandardSSD_LRS,4096,UK South,uksouth,377.782225,GBP
P70,Premium_LRS,16384,NO West,N/A,2112.57836,GBP
P70,Premium_LRS,N/A,US Gov AZ,N/A,0.027949,GBP
P70,StandardSSD_LRS,N/A,IN South,N/A,28.754021,GBP
P70,StandardSSD_LRS,N/A,IN Central Jio,N/A,114.255869,GBP
P50,Premium_LRS,4096,JA West,N/A,386.214875,GBP
E6,StandardSSD_LRS,64,UK South,uksouth,5.902847,GBP
E6,Standard_LRS,N/A,US Gov TX,N/A,0.000465,GBP
E30,StandardSSD_LRS,1024,CA Central,N/A,62.963704,GBP
S20,Standard_LRS,512,CH North,N/A,17.839716,GBP
S20,StandardSSD_LRS,N/A,FR Central,N/A,0.00149,GBP
S20,StandardSSD_LRS,N/A,BR South,N/A,0.089437,GBP
S20,Premium_LRS,N/A,SE Central,N/A,23.811877,GBP
S20,Premium_LRS,N/A,US East 2,N/A,0.19378,GBP
S30,Standard_LRS,1024,CA East,N/A,33.580642,GBP
S30,Premium_LRS,N/A,US West Central,N/A,2.938008,GBP
S30,StandardSSD_LRS,N/A,US West Central,N/A,1.636698,GBP
S30,Premium_LRS,N/A,DE West Central,N/A,0.581341,GBP
S30,Premium_LRS,N/A,US Gov TX,N/A,22.895892,GBP
S30,Premium_LRS,N/A,JA West,N/A,0.300359,GBP
S30,StandardSSD_LRS,N/A,BR South,N/A,38.085289,GBP
S30,StandardSSD_LRS,N/A,IN Central,N/A,114.255869,GBP
P15,Premium_LRS,256,IN Central,N/A,28.330791,GBP
S10,Standard_LRS,128,AP Southeast,N/A,4.388379,GBP
S10,StandardSSD_LRS,N/A,IN West Jio,N/A,0.983807,GBP
E4,StandardSSD_LRS,32,AE North,N/A,2.146489,GBP
E4,Premium_LRS,N/A,AU Southeast,N/A,0.949523,GBP
S4,Standard_LRS,32,BR South,N/A,2.747507,GBP
E60,StandardSSD_LRS,8192,CH West,N/A,654.822524,GBP
E60,Premium_LRS,N/A,UK South,uksouth,0.558981,GBP
E60,Premium_LRS,N/A,AU Central,N/A,0.005403,GBP
E60,Premium_LRS,N/A,US Gov AZ,N/A,1.700049,GBP
P15,Premium_LRS,256,IN West,N/A,32.58041,GBP
P15,StandardSSD_LRS,N/A,AE Central,N/A,16.844728,GBP
E40,StandardSSD_LRS,2048,BR South,N/A,213.694996,GBP
P10,Premium_LRS,128,IN West,N/A,14.69004,GBP
P10,StandardSSD_LRS,N/A,KR South,N/A,0.242225,GBP
E20,StandardSSD_LRS,512,IN West,N/A,31.481852,GBP
P15,Premium_LRS,256,US West 2,N/A,25.757879,GBP
P15,Premium_LRS,N/A,US Gov AZ,N/A,204.028338,GBP
P15,StandardSSD_LRS,N/A,KR South,N/A,0.89437,GBP
P15,Premium_LRS,N/A,KR South,N/A,0.558981,GBP
P6,Premium_LRS,64,ZA North,N/A,9.267917,GBP
P6,StandardSSD_LRS,N/A,NO West,N/A,2270.054699,GBP
E50,StandardSSD_LRS,4096,IN South,N/A,228.958924,GBP
E50,Premium_LRS,N/A,KR Central,N/A,25.707198,GBP
P20,Premium_LRS,512,US Gov,N/A,54.571524,GBP
E60,StandardSSD_LRS,8192,IN West,N/A,503.709634,GBP
E60,Premium_LRS,N/A,US West Central,N/A,22.851173,GBP
S80,Standard_LRS,32767,CH West,N/A,1385.844324,GBP
P70,Premium_LRS,16384,IN Central,N/A,1343.091536,GBP
P10,Premium_LRS,128,JA West,N/A,15.360818,GBP
P10,StandardSSD_LRS,N/A,US Central,N/A,0.670778,GBP
P10,Premium_LRS,N/A,FR Central,N/A,1.700049,GBP
P10,Premium_LRS,N/A,CH West,N/A,3.06948,GBP
E15,StandardSSD_LRS,256,US North Central,N/A,14.309932,GBP
S50,Standard_LRS,4096,US East,N/A,106.847498,GBP
S15,Standard_LRS,256,UK West,N/A,9.285998,GBP
P4,Premium_LRS,32,IN West,N/A,3.934858,GBP
S30,Standard_LRS,1024,US Gov TX,N/A,33.580642,GBP
S30,Premium_LRS,N/A,IN South,N/A,3.696732,GBP
S30,StandardSSD_LRS,N/A,US West Central,N/A,0.232536,GBP
E15,StandardSSD_LRS,256,AE Central,N/A,18.602912,GBP
P50,Premium_LRS,4096,ZA West,N/A,564.154194,GBP
P60,Premium_LRS,8192,ZA North,N/A,859.050606,GBP
P60,StandardSSD_LRS,N/A,US East 2,N/A,0.335389,GBP
P60,StandardSSD_LRS,N/A,US Gov AZ,N/A,0.983807,GBP
P60,Premium_LRS,N/A,ZA North,N/A,2.611562,GBP
P60,Premium_LRS,N/A,DE West Central,N/A,12.731368,GBP
P60,Premium_LRS,N/A,US Central,N/A,0.027501,GBP
P60,StandardSSD_LRS,N/A,CH West,N/A,318.284208,GBP
P60,Premium_LRS,N/A,,N/A,0.0,GBP
S15,Standard_LRS,256,IN Central,N/A,9.287146,GBP
S15,StandardSSD_LRS,N/A,ZA West,N/A,18.588006,GBP
E30,StandardSSD_LRS,1024,EU North,N/A,57.239731,GBP
E30,StandardSSD_LRS,N/A,JA West,N/A,29.515727,GBP
E30,StandardSSD_LRS,1024,US Central,N/A,85.859596,GBP
E30,Premium_LRS,N/A,AU Central,N/A,26.559086,GBP
S70,Standard_LRS,16384,AU Southeast,N/A,781.516111,GBP
S70,StandardSSD_LRS,N/A,US Gov,N/A,0.245951,GBP
S70,StandardSSD_LRS,N/A,AU East,N/A,236.672872,GBP
S70,StandardSSD_LRS,N/A,FR Central,N/A,23.803678,GBP
S70,Premium_LRS,N/A,CH West,N/A,9.103283,GBP
P15,Premium_LRS,256,AP Southeast,N/A,28.330791,GBP
P15,Premium_LRS,N/A,AE Central,N/A,8.402613,GBP
S30,Standard_LRS,1024,NO West,N/A,43.654984,GBP
S30,StandardSSD_LRS,N/A,KR Central,N/A,0.06037,GBP
E70,StandardSSD_LRS,16384,AU Southeast,N/A,1245.538041,GBP
E70,Premium_LRS,N/A,EU West,westeurope,24.755438,GBP
E70,StandardSSD_LRS,N/A,AU Central,N/A,14.200372,GBP
E70,StandardSSD_LRS,N/A,AP East,N/A,126.493843,GBP
P15,Premium_LRS,256,AP East,N/A,31.162433,GBP
P15,Premium_LRS,N/A,JA East,N/A,3.549906,GBP
P15,StandardSSD_LRS,N/A,BR South,N/A,0.044718,GBP
P6,Premium_LRS,64,US West 2,N/A,6.916542,GBP
E10,StandardSSD_LRS,128,US West 2,N/A,7.154966,GBP
S20,Standard_LRS,512,US South Central,N/A,16.217923,GBP
S20,Standard_LRS,512,SE South,N/A,21.0833,GBP
S20,StandardSSD_LRS,N/A,US South Central,N/A,0.335389,GBP
S20,StandardSSD_LRS,N/A,CA Central,N/A,0.536622,GBP
S20,Premium_LRS,N/A,US South Central,N/A,5.876016,GBP
S20,Premium_LRS,N/A,KR Central,N/A,220.350605,GBP
S20,Premium_LRS,N/A,AU Southeast,N/A,1.252119,GBP
P10,Premium_LRS,128,,N/A,0.0,GBP
P10,StandardSSD_LRS,N/A,US Gov AZ,N/A,0.438241,GBP
P10,StandardSSD_LRS,N/A,ZA West,N/A,0.042408,GBP
P10,Premium_LRS,N/A,NO West,N/A,4.551602,GBP
S60,Standard_LRS,8192,CA East,N/A,268.646629,GBP
S6,Standard_LRS,64,IN Central Jio,N/A,2.466078,GBP
P40,Premium_LRS,2048,JA East,N/A,222.063773,GBP
E60,StandardSSD_LRS,8192,ZA North,N/A,613.612899,GBP
E60,Premium_LRS,N/A,BR Southeast,N/A,170.148827,GBP
E60,StandardSSD_LRS,8192,UK West,N/A,503.709634,GBP
E60,Premium_LRS,N/A,UK South,uksouth,6.120477,GBP
E60,StandardSSD_LRS,N/A,AP Southeast,N/A,0.116268,GBP
E60,StandardSSD_LRS,N/A,NO West,N/A,70.800628,GBP
E60,Premium_LRS,N/A,US West 2,N/A,2.683112,GBP
E60,Premium_LRS,N/A,IN West,N/A,1.876688,GBP
E60,StandardSSD_LRS,N/A,SE Central,N/A,0.116268,GBP
P10,Premium_LRS,128,US East,N/A,14.69004,GBP
S10,Standard_LRS,128,CA East,N/A,4.827366,GBP
S10,Premium_LRS,N/A,SE South,N/A,275.846313,GBP
S60,Standard_LRS,8192,US Central,N/A,244.222853,GBP
E40,StandardSSD_LRS,2048,US East,N/A,114.479462,GBP
E40,Premium_LRS,N/A,JA East,N/A,0.5083,GBP
E40,Premium_LRS,N/A,US West Central,N/A,21.979907,GBP
E40,StandardSSD_LRS,N/A,UK South,uksouth,0.027949,GBP
P50,Premium_LRS,4096,FR South,N/A,580.960144,GBP
P50,Premium_LRS,4096,DE West Central,N/A,406.267935,GBP
P50,Premium_LRS,N/A,CA Central,N/A,22.851173,GBP
P50,Premium_LRS,N/A,UK South,uksouth,47.606612,GBP
P50,Premium_LRS,N/A,CA Central,N/A,0.026831,GBP
P10,Premium_LRS,128,IN South,N/A,13.221036,GBP
P50,Premium_LRS,4096,US West Central,N/A,335.806423,GBP
E20,StandardSSD_LRS,512,US West 2,N/A,28.619865,GBP
E20,StandardSSD_LRS,N/A,US North Central,N/A,22.851173,GBP
E20,StandardSSD_LRS,N/A,CH West,N/A,1.322178,GBP
E10,StandardSSD_LRS,128,FR South,N/A,10.231601,GBP
E10,StandardSSD_LRS,N/A,UK South,uksouth,0.245951,GBP
E20,StandardSSD_LRS,512,IN Central Jio,N/A,31.481852,GBP
P40,Premium_LRS,2048,US West Central,N/A,175.535175,GBP
S20,Standard_LRS,512,FR South,N/A,23.191631,GBP
E70,StandardSSD_LRS,16384,US Central,N/A,915.835699,GBP
E70,Premium_LRS,N/A,AE North,N/A,1.180569,GBP
E70,Premium_LRS,N/A,US West 2,N/A,0.447185,GBP
P10,Premium_LRS,128,ZA North,N/A,17.897105,GBP
P10,StandardSSD_LRS,N/A,SE South,N/A,4.143918,GBP
P10,StandardSSD_LRS,N/A,AU Central 2,N/A,7.099813,GBP
E80,StandardSSD_LRS,32767,AU Central,N/A,2491.076083,GBP
E80,StandardSSD_LRS,N/A,AE North,N/A,0.895116,GBP
E80,Premium_LRS,N/A,ZA West,N/A,0.804933,GBP
S70,Standard_LRS,16384,AU Central 2,N/A,781.516111,GBP
S70,Premium_LRS,N/A,US West 3,N/A,0.350295,GBP
P4,Premium_LRS,32,,N/A,0.0,GBP
S15,Standard_LRS,256,US West,N/A,8.44286,GBP
P60,Premium_LRS,8192,UK West,N/A,853.155212,GBP
P60,StandardSSD_LRS,N/A,IN West Jio,N/A,0.062605,GBP
S50,Standard_LRS,4096,KR South,N/A,122.111426,GBP
E10,StandardSSD_LRS,128,CH West,N/A,10.231601,GBP
E20,StandardSSD_LRS,512,BR Southeast,N/A,80.364582,GBP
E20,Premium_LRS,N/A,CA East,N/A,5.876016,GBP
P50,Premium_LRS,4096,BR South,N/A,638.069692,GBP
P50,StandardSSD_LRS,N/A,AU East,N/A,118.340163,GBP
S4,Standard_LRS,32,AP Southeast,N/A,1.144794,GBP
S4,StandardSSD_LRS,N/A,BR Southeast,N/A,2.556409,GBP
S4,Premium_LRS,N/A,KR Central,N/A,3.305445,GBP
S4,StandardSSD_LRS,N/A,UK West,N/A,106.907122,GBP
P20,Premium_LRS,512,US South Central,N/A,49.607767,GBP
P20,Premium_LRS,N/A,AE North,N/A,6.463319,GBP
P10,Premium_LRS,128,BR South,N/A,25.377771,GBP
P50,Premium_LRS,4096,AU Central 2,N/A,369.349576,GBP
P6,Premium_LRS,64,AE Central,N/A,10.789805,GBP
S10,Standard_LRS,128,US East,N/A,4.388379,GBP
E70,StandardSSD_LRS,16384,AE Central,N/A,1190.586408,GBP
E70,Premium_LRS,N/A,US North Central,N/A,0.813877,GBP
E20,StandardSSD_LRS,512,US East,N/A,28.619865,GBP
P30,Premium_LRS,1024,US East,N/A,100.743417,GBP
E50,StandardSSD_LRS,4096,US North Central,N/A,228.958924,GBP
E80,StandardSSD_LRS,32767,AE North,N/A,2198.005678,GBP
S30,Standard_LRS,1024,CH North,N/A,33.580642,GBP
S30,Premium_LRS,N/A,KR South,N/A,0.438241,GBP
E60,StandardSSD_LRS,8192,FR Central,N/A,755.564451,GBP
E60,StandardSSD_LRS,N/A,AU Southeast,N/A,0.949523,GBP
E60,StandardSSD_LRS,N/A,CA Central,N/A,0.232536,GBP
E60,Premium_LRS,N/A,AE North,N/A,0.462091,GBP
E60,Premium_LRS,N/A,UK West,N/A,0.058581,GBP
E80,StandardSSD_LRS,32767,KR Central,N/A,1831.671398,GBP
E80,StandardSSD_LRS,N/A,CH North,N/A,0.29067,GBP
S60,Standard_LRS,8192,IN Central,N/A,268.646629,GBP
S60,Premium_LRS,N/A,EU North,N/A,21.979907,GBP
S60,StandardSSD_LRS,N/A,ZA North,N/A,14.298007,GBP
S60,Premium_LRS,N/A,AU Southeast,N/A,25.643101,GBP
S60,StandardSSD_LRS,N/A,FR South,N/A,3.984421,GBP
S40,Standard_LRS,2048,AP Southeast,N/A,61.055713,GBP
S4,Standard_LRS,32,CH West,N/A,1.637124,GBP
S4,Premium_LRS,N/A,IN South,N/A,0.1349,GBP
S80,Standard_LRS,32767,SE South,N/A,1269.958836,GBP
S80,StandardSSD_LRS,N/A,AE North,N/A,0.059028,GBP
E6,StandardSSD_LRS,64,US South Central,N/A,5.366224,GBP
S80,Standard_LRS,32767,AU East,N/A,1563.024769,GBP
S80,StandardSSD_LRS,N/A,AU Southeast,N/A,0.125211,GBP
P60,Premium_LRS,8192,SE Central,N/A,775.598357,GBP
P60,Premium_LRS,N/A,NO West,N/A,0.831019,GBP
P60,Premium_LRS,N/A,US West Central,N/A,1.632226,GBP
P60,Premium_LRS,N/A,US West 3,N/A,0.022359,GBP
S20,Standard_LRS,512,IN West Jio,N/A,17.839716,GBP
S20,Premium_LRS,N/A,US South Central,N/A,0.232536,GBP
S20,StandardSSD_LRS,N/A,IN West Jio,N/A,26.659702,GBP
S20,Premium_LRS,N/A,FR Central,N/A,0.111796,GBP
S20,StandardSSD_LRS,N/A,US East 2,N/A,1.363915,GBP
S20,Premium_LRS,N/A,AU Central,N/A,0.648418,GBP
S40,Standard_LRS,2048,US West 2,N/A,58.002927,GBP
S40,Premium_LRS,N/A,KR South,N/A,3.060238,GBP
S50,Standard_LRS,4096,AU Central,N/A,195.375301,GBP
P60,Premium_LRS,8192,CH West,N/A,1109.105651,GBP
E80,StandardSSD_LRS,32767,FR Central,N/A,3022.257807,GBP
E80,StandardSSD_LRS,N/A,ZA North,N/A,0.990515,GBP
S70,Standard_LRS,16384,AP Southeast,N/A,488.445706,GBP
S70,StandardSSD_LRS,N/A,SE Central,N/A,3.187686,GBP
E50,StandardSSD_LRS,4096,US Central,N/A,343.438387,GBP
E50,StandardSSD_LRS,N/A,AE Central,N/A,8.421991,GBP
P80,Premium_LRS,32767,JA East,N/A,3089.581569,GBP
S60,Standard_LRS,8192,AU Central 2,N/A,390.758055,GBP
S60,StandardSSD_LRS,N/A,AU Central,N/A,0.760215,GBP
S60,Premium_LRS,N/A,AE Central,N/A,0.153533,GBP
S60,StandardSSD_LRS,N/A,AU Central 2,N/A,0.983807,GBP
E20,StandardSSD_LRS,512,IN South,N/A,28.619865,GBP
E40,StandardSSD_LRS,2048,US North Central,N/A,114.479462,GBP
E40,Premium_LRS,N/A,BR South,N/A,4.89668,GBP
E15,StandardSSD_LRS,256,EU West,westeurope,21.464899,GBP
S6,Standard_LRS,64,US West 2,N/A,2.241889,GBP
S6,Premium_LRS,N/A,NO West,N/A,35.399941,GBP
S6,Premium_LRS,N/A,IN Central,N/A,3.427676,GBP
E15,StandardSSD_LRS,256,US Gov AZ,N/A,15.740925,GBP
E15,StandardSSD_LRS,N/A,EU West,westeurope,3.187686,GBP
E15,Premium_LRS,N/A,CH North,N/A,27.230982,GBP
E15,Premium_LRS,N/A,US East 2,N/A,163.222671,GBP
E15,StandardSSD_LRS,N/A,AU East,N/A,7.099813,GBP
E15,StandardSSD_LRS,N/A,US West,N/A,0.447185,GBP
P60,Premium_LRS,8192,BR Southeast,N/A,1583.572938,GBP
P60,StandardSSD_LRS,N/A,AE Central,N/A,2.346232,GBP
S10,Standard_LRS,128,SE Central,N/A,4.388379,GBP
S10,Premium_LRS,N/A,EU North,N/A,5.902101,GBP
S10,StandardSSD_LRS,N/A,AU East,N/A,1.97805,GBP
E15,StandardSSD_LRS,256,IN Central,N/A,15.740926,GBP
E40,StandardSSD_LRS,2048,AU East,N/A,155.692068,GBP
E40,Premium_LRS,N/A,EU West,westeurope,0.872011,GBP
E40,Premium_LRS,N/A,FR Central,N/A,1.117963,GBP
E40,StandardSSD_LRS,N/A,US Gov AZ,N/A,1.705266,GBP
E50,StandardSSD_LRS,4096,CA Central,N/A,251.854817,GBP
S40,Standard_LRS,2048,US East 2,N/A,61.055713,GBP
P4,Premium_LRS,32,SE South,N/A,5.626605,GBP
P4,StandardSSD_LRS,N/A,US West 2,N/A,0.223592,GBP
S30,Standard_LRS,1024,IN South,N/A,30.527856,GBP
S30,StandardSSD_LRS,N/A,US West 2,N/A,0.19378,GBP
S30,StandardSSD_LRS,N/A,AP East,N/A,0.89437,GBP
S30,Premium_LRS,N/A,IN West,N/A,112.623642,GBP
E4,StandardSSD_LRS,32,BR Southeast,N/A,5.022786,GBP
E60,StandardSSD_LRS,8192,CA East,N/A,503.709634,GBP
E60,StandardSSD_LRS,N/A,US Gov TX,N/A,0.111796,GBP
E10,StandardSSD_LRS,128,BR South,N/A,13.355937,GBP
E80,StandardSSD_LRS,32767,US West Central,N/A,1831.671398,GBP
P50,Premium_LRS,4096,KR Central,N/A,369.349586,GBP
P50,StandardSSD_LRS,N/A,ZA West,N/A,154.897569,GBP
P50,StandardSSD_LRS,N/A,AU Southeast,N/A,26.659702,GBP
E30,StandardSSD_LRS,1024,DE West Central,N/A,57.239731,GBP
S60,Standard_LRS,8192,US West 3,N/A,195.375301,GBP
S60,Premium_LRS,N/A,CA East,N/A,1.632226,GBP
P10,Premium_LRS,128,DE North,N/A,21.005788,GBP
P30,Premium_LRS,1024,BR Southeast,N/A,226.209479,GBP
S15,Standard_LRS,256,US East 2,N/A,8.44286,GBP
S15,StandardSSD_LRS,N/A,IN West,N/A,0.061711,GBP
S15,Premium_LRS,N/A,US East 2,N/A,81.611335,GBP
S15,Premium_LRS,N/A,DE North,N/A,137.926883,GBP
E4,StandardSSD_LRS,32,US East 2,N/A,2.683112,GBP
E4,Premium_LRS,N/A,US West,N/A,3.182469,GBP
E10,StandardSSD_LRS,128,EU North,N/A,10.732449,GBP
E80,StandardSSD_LRS,32767,ZA West,N/A,3077.209439,GBP
P30,Premium_LRS,1024,AU Southeast,N/A,100.743417,GBP
P70,Premium_LRS,16384,IN Central Jio,N/A,1343.091536,GBP
E15,StandardSSD_LRS,256,AU Central,N/A,19.461508,GBP
S70,Standard_LRS,16384,AP East,N/A,488.445706,GBP
S70,Premium_LRS,N/A,SE South,N/A,0.089437,GBP
P15,Premium_LRS,256,BR Southeast,N/A,63.625538,GBP
P15,StandardSSD_LRS,N/A,US West 2,N/A,0.89437,GBP
E30,StandardSSD_LRS,1024,IN Central,N/A,62.963704,GBP
S10,Standard_LRS,128,ZA North,N/A,5.880488,GBP
S10,Premium_LRS,N/A,US East 2,N/A,1.788741,GBP
S10,StandardSSD_LRS,N/A,US West 3,N/A,0.223592,GBP
P70,Premium_LRS,16384,UK South,uksouth,1625.06429,GBP
P50,Premium_LRS,4096,AU Central,N/A,369.349576,GBP
E10,StandardSSD_LRS,128,IN West,N/A,7.870463,GBP
E30,StandardSSD_LRS,1024,AU East,N/A,77.846034,GBP
E30,Premium_LRS,N/A,KR South,N/A,1.700049,GBP
E4,StandardSSD_LRS,32,US West,N/A,1.788741,GBP
E6,StandardSSD_LRS,64,NO East,N/A,3.935231,GBP
P20,Premium_LRS,512,AU Central,N/A,54.571524,GBP
S60,Standard_LRS,8192,EU West,westeurope,244.222853,GBP
S60,StandardSSD_LRS,N/A,AE Central,N/A,4.217703,GBP
S10,Standard_LRS,128,KR Central,N/A,4.388379,GBP
S10,Premium_LRS,N/A,IN South,N/A,2.054071,GBP
S10,StandardSSD_LRS,N/A,NO East,N/A,1746.191909,GBP
S10,Premium_LRS,N/A,US South Central,N/A,195.867205,GBP
S10,StandardSSD_LRS,N/A,US North Central,N/A,0.813877,GBP
S4,Standard_LRS,32,CH North,N/A,1.259274,GBP
P80,Premium_LRS,32767,KR South,N/A,2686.175619,GBP
P80,StandardSSD_LRS,N/A,UK South,uksouth,0.111796,GBP
E6,StandardSSD_LRS,64,NO West,N/A,5.1158,GBP
E20,StandardSSD_LRS,512,CH North,N/A,34.343838,GBP
E20,Premium_LRS,N/A,US Gov TX,N/A,0.242225,GBP
E20,StandardSSD_LRS,N/A,US Central,N/A,46.844906,GBP
E60,StandardSSD_LRS,8192,US Gov TX,N/A,503.709634,GBP
E60,StandardSSD_LRS,N/A,AP East,N/A,0.034656,GBP
E30,StandardSSD_LRS,1024,US South Central,N/A,85.859596,GBP
S60,Standard_LRS,8192,US West Central,N/A,244.222853,GBP
P20,Premium_LRS,512,IN South,N/A,49.114372,GBP
S15,Standard_LRS,256,ZA North,N/A,11.31379,GBP
S15,Premium_LRS,N/A,US East 2,N/A,9.79336,GBP
E20,StandardSSD_LRS,512,UK West,N/A,31.481852,GBP
E20,Premium_LRS,N/A,US Gov AZ,N/A,102.017895,GBP
E20,StandardSSD_LRS,N/A,ZA North,N/A,0.130429,GBP
E20,StandardSSD_LRS,512,EU West,westeurope,28.619865,GBP
E20,StandardSSD_LRS,N/A,KR South,N/A,1.705266,GBP
