display_name,id,description,risk_level,recommendation,resource_type,service_type,detector,detector_labels,candidate_responder_rules,managed_list_types,lifecycle_details,lifecycle_state,time_created,time_update
IAM Auth token deleted,IAM_AUTH_TOKEN_DELETED,Auth tokens can be used to authenticate with third-party APIs. This detector creates a problem whenever an Auth token is deleted for a user.,MINOR,Ensure these keys or credentials are being deleted by and for authorized users.,User,IAM,IAAS_ACTIVITY_DETECTOR,"['IAM_Credentials', 'CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'IAM']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
IAM Customer keys created,IAM_CUSTOMER_KEY_CREATED,Customer secret keys are created for Amazon S3 Compatibility API with Object Storage. This detector creates a problem whenever a Customer secret key is created for a user. They can be created by users themselves or by an admin with the right privileges.,LOW,Ensure these keys or credentials are being created by and for authorized users.,User,IAM,IAAS_ACTIVITY_DETECTOR,"['IAM_Credentials', 'CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'IAM']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
IAM Customer keys deleted,IAM_CUSTOMER_KEY_DELETED,Customer secret keys are created for Amazon S3 Compatibility API with Object Storage. This detector creates a problem whenever a Customer secret key is deleted for a user.,MINOR,Ensure these keys or credentials are being deleted by and for authorized users.,User,IAM,IAAS_ACTIVITY_DETECTOR,"['IAM_Credentials', 'CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'IAM']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
IAM Group created,IAM_GROUP_CREATED,Groups may control access to resources and privileges. This detector rule triggers a problem when a new IAM group is created.,MINOR,"Groups may control access to resources and privileges, hence any group creation should be monitored.",Group,IAM,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'IAM']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
IAM Group deleted,IAM_GROUP_DELETED,Groups may control access to resources and privileges. This detector rule triggers a problem when an IAM group is deleted.,MINOR,"Groups may control access to resources and privileges, hence any group deletion should be monitored.",Group,IAM,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'IAM']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
IAM OAuth 2.0 credentials created,IAM_OAUTH_CREDENTIAL_CREATED,IAM OAuth 2.0 credentials are for interacting with the APIs of those services that use OAuth 2.0 authorization. This detector creates a problem whenever an OAuth 2.0 credential is created for a user. They can be created by users themselves or by an admin with the right privileges.,LOW,Ensure these keys or credentials are being created by and for authorized users.,User,IAM,IAAS_ACTIVITY_DETECTOR,"['IAM_Credentials', 'CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'IAM']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
IAM OAuth 2.0 credentials deleted,IAM_OAUTH_CREDENTIAL_DELETED,IAM OAuth 2.0 credentials are for interacting with the APIs of those services that use OAuth 2.0 authorization. This detector creates a problem whenever an OAuth 2.0 credential is deleted for a user.,MINOR,Ensure these keys or credentials are being deleted by and for authorized users.,User,IAM,IAAS_ACTIVITY_DETECTOR,"['IAM_Credentials', 'CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'IAM']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
IAM User capabilities modified,IAM_USER_CAPABILITIES_MODIFIED,"To access Oracle Cloud Infrastructure, a user must have the required credentials like API keys, auth tokens and other credentials. An IAM administrator can enable/disable these capabilities for individual users. This detector rule triggers a problem when such capabilities are modified.",LOW,"Ensure that the ""User capabilities"" are allowed to be enabled/disabled for these users.",User,IAM,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'IAM']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
IAM User created,IAM_USER_CREATED,An IAM user can be an individual employee or system that needs to manage or use your company's Oracle Cloud Infrastructure resources.This detector triggers a problem when a local or federated user is created in OCI IAM.,MINOR,Ensure that the creation of a new user is permitted and expected to be created by the user who did this operation.,User,IAM,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'IAM']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
IAM User UI password created or reset,IAM_USER_UI_PASSWORD_CREATED_OR_RESET,Triggers a problem when a user creates or resets their Console password. Any user with the corresponding IAM manage privileges can also reset other user's password.,LOW,Resetting a password too many times of resetting other's credentials could be a possible security alert hence ensure this action is permitted by the correct user.,User,IAM,IAAS_ACTIVITY_DETECTOR,"['IAM', 'IAM_Credentials', 'CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Import Image,IMPORT_IMAGE,Compute images are the foundations for compute instances. A new image impacts every future compute instance launched from that image and imported images should come from known and trusted sources.,MINOR,Ensure that the compute image being imported is from a trusted sources like Oracle or trusted compute administrator and that it was imported by a person expected to bring new images into your environment.,Instance,Compute,IAAS_ACTIVITY_DETECTOR,['Compute'],"[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Instance terminated,INSTANCE_TERMINATED,Compute instances may deliver critical functions. ,HIGH,Ensure that the termination of the compute instance is sanctioned and performed by a permitted administrator.,Instance,Compute,IAAS_ACTIVITY_DETECTOR,['Compute'],"[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN Internet Gateway created,INTERNET_GATEWAY_CREATED,Internet gateways are virtual routers you can add to your VCN to enable direct connectivity (inbound from or outbound) to the internet. ,MEDIUM,Ensure that the creation of an internet gateway is permitted for this VCN and its related resources. ,InternetGateway,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN Internet Gateway terminated,INTERNET_GATEWAY_TERMINATED,Internet gateways are virtual routers you can add to your VCN to enable direct connectivity (inbound from or outbound) to the internet. ,LOW,Ensure that the deletion of an internet gateway is permitted for this VCN and its related resources. ,InternetGateway,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN Network Security Group Deleted,NSG_DELETE,Network security groups (NSGs) act as a virtual firewall for compute instances and other kinds of resources. NSGs have a set of inbound (ingress) and outbound (egress) security rules applied to a set of virtual NICs in a VCN. Deleting NSGs can remove protections between resources in the VCN.,HIGH,Ensure that the removal of the NSG is permitted for this VCN and its related resources. ,NSG,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN Network Security Group egress rule changed,NSG_EGRESS_RULE_CHANGED,Network security groups (NSGs) act as a virtual firewall for compute instances and other kinds of resources. NSGs have a set of inbound (ingress) and outbound (egress) security rules applied to a set of virtual NICs in a VCN. Changes to NSGs egress rules may allow connections and traffic to new resources and VNICs in the VCN.,MEDIUM,Ensure that the new egress rules are permitted for this NSG and its related resources. ,NSG,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN Network Security Group ingress rule changed,NSG_INGRESS_RULE_CHANGED,Network security groups (NSGs) act as a virtual firewall for compute instances and other kinds of resources. NSGs have a set of inbound (ingress) and outbound (egress) security rules applied to a set of virtual NICs in a VCN. Changes to NSGs ingress rules may allow connections and traffic to new resources and VNICs in the VCN.,MEDIUM,Ensure that the new ingress rules are permitted for this NSG and its related resources. ,NSG,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN Route Table changed,ROUTE_TABLE_CHANGED,Virtual route tables have rules that look and act like traditional network route rules. Misconfigured route tables may send network traffic to be dropped (blackholed) or sent to an unintended target.,MEDIUM,Ensure that the change to the route table is permitted and expected in this compartment.,RouteTable,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Security policy modified,SECURITY_POLICY_MODIFIED,Changes to policies apply to all members within the scope of the policy and may be granted to users who do not require them.,LOW,Ensure that the policy is restricted to allow only specific users to access the resources required to accomplish their job functions and the modification was sanctioned.,Policy,IAM,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.1_MONITORING', 'IAM']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Subnet Changed,SUBNET_CHANGED,"Subnets are subnet a subdivision of a VCN. Subnets may connect Compute instances in a given subnet use the same route table, security lists, and DHCP options.",LOW,Ensure that the change to the VCN is permitted and expected in this compartment.,Subnet,Networking,IAAS_ACTIVITY_DETECTOR,['Network'],"[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Subnet deleted,SUBNET_DELETED,"Subnets are subnet a subdivision of a VCN. Subnets may connect Compute instances in a given subnet use the same route table, security lists, and DHCP options. Removing a subnet is equivalent to removing a network segment.",LOW,Ensure that the removal of the VCN subnet is permitted and expected in this compartment.,Subnet,Networking,IAAS_ACTIVITY_DETECTOR,['Network'],"[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Suspicious Ip Activity,SUSPICIOUS_IP_ACTIVITY,User logged in from a known list of malicious IP blocks which can be a potential threat.,CRITICAL,Ensure that the user is a genuinely logged in user and the credentials are not compromised. This can be done by enabling Multi Factor Authentication (MFA).,Security,CloudGuard,IAAS_ACTIVITY_DETECTOR,['Network'],"[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Update Image,UPDATE_IMAGE,Compute images are the foundations for compute instances. A modifications to images impacts every future compute instance launched from that image. Images and any changes related to them should come from known and trusted sources.,LOW,Ensure that the compute image change was expected and performed by a trusted administrator permitted to make the change in your environment.,Instance,Compute,IAAS_ACTIVITY_DETECTOR,['Compute'],"[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
User added to group,USER_ADDED_TO_GROUP,Groups may control access to resources and privileges. Sensitive groups should be closely monitored for membership changes,MINOR,Ensure that the user is entitled to be a member of the group.,Group,IAM,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'IAM']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
User removed from group,USER_REMOVED_FROM_GROUP,Removing a user from a group need to be an authorized action and should be done by a user or admin with the right privileges. This detector creates a problem when the operation is done by a user.,MINOR,Ensure that the group memberships modifications are done by the authorized users.,Group,IAM,IAAS_ACTIVITY_DETECTOR,"['IAM', 'CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN created,VCN_CREATE,"A VCN (virtual cloud network) is a virtual, private network that you set up in Oracle data centers. Like a traditional network, it may contain firewall rules and specific types of communication gateways.",LOW,Ensure that the creation of a new VCN is permitted and expected in this compartment.,VCN,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN deleted,VCN_DELETED,"A VCN (virtual cloud network) is a virtual, private network that you set up in Oracle data centers. Like a traditional network, it may contain firewall rules and specific types of communication gateways.",MEDIUM,Ensure that the deletion of a VCN is permitted and expected in this compartment.,VCN,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN DHCP Option changed,VCN_DHCP_OPTION_CHANGED,"DHCP options control certain types of configuration on the instances in a VCN. These include the specification of search domains and DNS resolvers, which can direct communications within VCNs across to Internet resources.",MEDIUM,Ensure that the change to DHCP and DNS information is permitted for this VCN and related resources.,DHCP,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN Local Peering Gateway changed,VCN_LOCAL_PEERING_GATEWAY_CHANGED,VCN local peering gateways (LPG) connect 2 VCNs in the same region without routing traffic over the internet. This allows resources in the VCNs to communicate directly with private IP addresses. Changes to LPGs can impact resource access and cross-VCN communications.,MEDIUM,Ensure that the changes to the LPGs are permitted for this VCN and its related resources. ,LocalPeeringGateway,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN Security List created,VCN_SECURITY_LIST_CREATED,Security lists act as virtual firewalls for compute instances and other resources and consists of sets of ingress and egress rules that apply to all the VNICs in any subnet associated with that security list. Multiple security lists may apply to resources and give access to ports and IP addresses for those resources.,LOW,Ensure that the creation of this security list is permitted for this VCN and its related resources. ,SecurityList,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN Security List deleted,VCN_SECURITY_LIST_DELETED,Security lists act as virtual firewalls for compute instances and other resources and consists of sets of ingress and egress rules that apply to all the VNICs in any subnet associated with that security list. Multiple security lists may apply to resources and give access to ports and IP addresses for those resources.,MEDIUM,Ensure that the removal of this security list is permitted for this VCN and its related resources. ,SecurityList,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN Security List egress rules changed,VCN_SECURITY_LIST_EGRESS_RULES_CHANGED,Security lists act as virtual firewalls for compute instances and other resources and consists of sets of ingress and egress rules that apply to all the VNICs in any subnet associated with that security list. Multiple security lists may apply to resources and give access to ports and IP addresses for those resources.,MEDIUM,Ensure that the changes to the egress rules are permitted for this security list and its related resources.,SecurityList,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN Security List ingress rules changed,VCN_SECURITY_LIST_INGRESS_RULES_CHANGED,Security lists act as virtual firewalls for compute instances and other resources and consists of sets of ingress and egress rules that apply to all the VNICs in any subnet associated with that security list. Multiple security lists may apply to resources and give access to ports and IP addresses for those resources.,MEDIUM,Ensure that the changes to the ingress rules are permitted for this security list and its related resources. ,SecurityList,Networking,IAAS_ACTIVITY_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'Network']","[{  ""display_name"": null,  ""id"": ""DISABLE_IAM_USER"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
API key is too old,API_KEY_TOO_OLD,"Changing IAM API keys at least every 90 days is a security best practice. The longer that IAM credentials remain unchanged, the greater the risk that they can become compromised.",MEDIUM,"Rotate API keys regularly, at least every 90 days.",IAMKey,IAM,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.0_IAM', 'CIS_OCI_V1.1_IAM', 'IAM']",[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
