"varonis_eventtype","type"
"DS object renamed","event"
"DS object moved","event"
"DS object modified","event"
"DS object set security","event"
"DS object membership added","event"
"DS object membership removed","event"
"User password reset","event"
"User locked out","event"
"User unlocked","event"
"Account enabled","event"
"Account disabled","event"
"DS object permission added","event"
"DS object permission removed","event"
"Owner changed","event"
"GPO link created","event"
"GPO link deleted","event"
"GPO link modified","event"
"GPO settings modified","event"
"Account authentication","event"
"Access request","event"
"Folder permissions added","event"
"File permissions added","event"
"Folder permissions removed","event"
"File permissions removed","event"
"Folder protection added","event"
"File protection added","event"
"Folder protection removed","event"
"File protection removed","event"
"Folder owner changed","event"
"File owner changed","event"
"DatAdvantage opened","event"
"DatAdvantage closed","event"
"Permissions viewed","event"
"Statistics viewed","event"
"Log viewed","event"
"Advanced log viewed","event"
"Alerts viewed","event"
"Expand performed","event"
"Print performed","event"
"Export performed","event"
"Object properties window opened","event"
"Object opened","event"
"Flag attached","event"
"Flag detached","event"
"Permissions edited","event"
"Commit performed","event"
"Rollback performed","event"
"Ownership assigned","event"
"Ownership revoked","event"
"Object monitored","event"
"Object unmonitored","event"
"System synchronized","event"
"Discard admin changes performed (deprecated)","event"
"Latest events synchronized","event"
"Report viewed","event"
"Report scheduling added","event"
"Note attached","event"
"Note detached","event"
"Tag attached","event"
"Tag detached","event"
"Commit history viewed (deprecated)","event"
"Classification file analysis viewed","event"
"Classification summary viewed","event"
"Entity included for IDU Analytics","event"
"Ownership viewed","event"
"Commit with Auto Rollback performed (deprecated)","event"
"Flag added","event"
"Flag edited","event"
"Flag removed","event"
"Tag added","event"
"Tag edited","event"
"Note edited","event"
"Report template added","event"
"Report template edited","event"
"Report template removed","event"
"Report scheduling edited","event"
"Report scheduling removed","event"
"Entity excluded from IDU Analytics","event"
"Group created in DatAdvantage","event"
"Group deleted in DatAdvantage","event"
"Group members edited","event"
"Data Transport Engine rules created","event"
"Data Transport Engine rules edited","event"
"Data Transport Engine rules deleted","event"
"Data Transport Engine rules paused","event"
"Data Transport Engine rules resumed","event"
"Data Transport Engine rules started","event"
"Data Transport Engine rules stopped","event"
"Data Transport Engine rules enabled","event"
"Data Transport Engine rules disabled","event"
"Data Transport Engine rules viewed","event"
"Account created","event"
"Account deleted","event"
"Account edited","event"
"Account moved","event"
"Account unlocked","event"
"Account disabled","event"
"Account enabled","event"
"Account password reset","event"
"Datalert all rules viewed","event"
"Datalert rule viewed","event"
"Datalert rule created","event"
"Datalert rule edited","event"
"Datalert rule deleted","event"
"Datalert rule disabled","event"
"Datalert rule enabled","event"
"Datalert template created","event"
"Datalert template edited","event"
"Datalert template deleted","event"
"Predefined directory scope created","event"
"Predefined directory scope edited","event"
"Predefined directory scope deleted","event"
"Datalert rule cloned","event"
"DatAlert Global Exclusion Scope created","event"
"DatAlert Global Exclusion Scope deleted","event"
"DatAlert Global Exclusion Scope edited","event"
"Change mgmt. and commit screen viewed","event"
"Commit performed","event"
"Change discarded","event"
"Terminate performed","event"
"Terminate and rollback performed","event"
"Rollback performed","event"
"Commit scheduled","event"
"Scheduled process modified","event"
"Scheduled process cancelled","event"
"Commit credentials reset","event"
"Process Data Exported","event"
"Pending Changes Data Exported","event"
"Privileged account type added","event"
"Privileged account type removed","event"
"Restore automation","event"
"Privileged account deleted","event"
"Privileged account changed","event"
"Alert status changed","event"
"Alert close reason changed","event"
"Privileged account approved","event"
"Alert note added","event"
"File modified","event"
"Broken Inheritance Repair tab viewed","event"
"Broken Inheritance Repair rule details viewed","event"
"Broken Inheritance Repair rules created","event"
"Broken Inheritance Repair rules edited","event"
"Broken Inheritance Repair rules deleted","event"
"Broken Inheritance Repair rules paused","event"
"Broken Inheritance Repair rules resumed","event"
"Broken Inheritance Repair rule execution started","event"
"Broken Inheritance Repair rules stopped","event"
"Broken Inheritance Repair rules disabled","event"
"Broken Inheritance Repair rules enabled","event"
"Global Access Groups Remediation rules tab viewed","event"
"Global Access Groups Remediation rule details viewed","event"
"Global Access Groups Remediation rules created","event"
"Global Access Groups Remediation rules edited","event"
"Global Access Groups Remediation rules deleted","event"
"Global Access Groups Remediation rules paused","event"
"Global Access Groups Remediation rules resumed","event"
"Global Access Groups Remediation rules execution started","event"
"Global Access Groups Remediation rules stopped","event"
"Global Access Groups Remediation rules disabled","event"
"Global Access Groups Remediation rules enabled","event"
"Global Access Groups Remediation rules calculation started","event"
"Global Access Groups Remediation rules rollback started","event"
"DatAlert Web Review Opened","event"
"Global Access Groups Remediation new groups tab viewed","event"
"Global Access Groups Remediation notifications tab viewed","event"
"Global Access Groups Remediation new groups tab edited","event"
"Global Access Groups Remediation notifications tab edited","event"
"Folder opened (access denied only)","event"
"File accessed (access denied only)","event"
"Folder accessed (access denied only)","event"
"Message sent","event"
"Message received","event"
"Message received as CC","event"
"Message received as BCC","event"
"Message sent on behalf","event"
"Message sent as","event"
"Abnormal admin behavior: accumulative increase in the number of authentications to devices by admin account","event"
"Abnormal admin behavior: accumulative increase in the number of authentications to personal devices by admin account","event"
"Abnormal admin behavior: activity from new geolocation","event"
"Abnormal admin behavior: unusual number of authentications to devices by admin account","event"
"Abnormal admin behavior: unusual number of authentications to personal devices by admin account","event"
"Abnormal behavior: accumulative increase in amount of devices accessed","event"
"Abnormal behavior: accumulative increase in the number of account authentications to personal devices by end-user account","event"
"Abnormal behavior: accumulative increase in the number of authentications to devices by end-user account","event"
"Abnormal behavior: accumulative increase of lockouts for individual end-user accounts","event"
"Abnormal behavior: an unusual amount of data was uploaded to an external website after accessing GDPR data","event"
"Abnormal behavior: an unusual amount of data was uploaded to an external website after accessing sensitive data","event"
"Abnormal behavior: an unusual amount of data was uploaded to email websites","event"
"Abnormal behavior: an unusual amount of data was uploaded to email websites after accessing GDPR data","event"
"Abnormal behavior: an unusual amount of data was uploaded to email websites after accessing sensitive data","event"
"Abnormal behavior: an unusual amount of data was uploaded to external websites","event"
"Abnormal behavior: unreasonable GEO hopping","event"
"Abnormal behavior: unusual amount of devices accessed","event"
"Abnormal behavior: unusual amount of failed DNS Queries","event"
"Abnormal behavior: unusual number of authentications to devices by end-user account","event"
"Abnormal behavior: unusual number of authentications to personal devices by end-user account","event"
"Abnormal behavior: unusual number of emails sent to an individual recipient outside the company","event"
"Abnormal behavior: Unusual number of file deletions","event"
"Abnormal computer behavior: accumulative increase in amount of devices accessed","event"
"Abnormal computer behavior: unusual amount of devices accessed","event"
"Abnormal Domain Controller password change: potential Zerologon vulnerability breach","event"
"Abnormal service behavior: access to atypical mailboxes","event"
"Abnormal service behavior: accumulative increase in amount of devices accessed","event"
"Abnormal service behavior: atypical access to platform from geolocation","event"
"Abnormal service behavior: Atypical actions performed on mailbox owned by other users","event"
"Abnormal service behavior: First-time access to the internet","event"
"Abnormal service behavior: Service account attempted to access a personal device for the first time","event"
"Abnormal service behavior: Service account logged on to a personal device for the first time","event"
"Abnormal service behavior: unusual amount of devices accessed","event"
"Abnormal service behavior: unusual amount of logons to personal devices","event"
"Abnormal user behavior: password reset by an administrator followed by an initial access to a computer other than the user’s personal computer","event"
"Abnormal user behavior: password reset by an administrator followed by an initial access to a computer to which the user does not normally access","event"
"Access to a suspicious URL using an atypical user agent","event"
"Account enumeration attack from a single source (using KERBEROS)","event"
"Account enumeration attack from a single source (using NTLM)","event"
"Activity performed by Admin user from a non-corporate IP address","event"
"Administrative account was enabled","event"
"Administrative or Service Account Disabled or Deleted","event"
"Administrative or Service Account Reset","event"
"An operation on a tool commonly used by system administrators failed","event"
"An RDP connection was made via VPN to an atypical device","event"
"Atypical account connecting directly to a DC","event"
"Creation: automatic forwarding of incoming messages on mailbox","event"
"Data Exfiltration via DNS tunneling","event"
"DNS cache poisoning (Birthday attack)","event"
"DNS Cache Snooping attack","event"
"Domain Generation Algorithm (DGA) identified","event"
"GDPR data was shared publicly","event"
"GDPR data was shared with everyone in the organization","event"
"Health check #1: Any Event On Single Day","event"
"Health check #2: Periodic Aggregations Preservation","event"
"Health check #3: Any Event Over Period","event"
"Kerberos delegation to a user was identified","event"
"Lockout: Multiple account lock-out events","event"
"Logon from Blacklisted IP","event"
"Modification: Permissions added or changed on an executive account mailbox","event"
"Non-admin account was granted elevated privileges via AdminSDHolder","event"
"Old ransomware note was found in the system","event"
"Password-spraying attack from a single source","event"
"Password-spraying attack to several admin accounts from a single device","event"
"Permissions granted directly to user in a file system","event"
"Permissions granted to Global Access Groups","event"
"Potential Brute Force attack targeting a specific account","event"
"Potential DCShadow attack","event"
"Potential malicious file download was detected","event"
"Potential malware infection: dropper identified","event"
"Potential Pass-the-Ticket attack","event"
"Potential phishing attack: Access to a risky site where the domain name includes unusual characters","event"
"Potential privilege escalation was detected via vulnerability in Kerberos","event"
"Potential ticket harvesting attack","event"
"Privilege escalation to domain admin by user with Exchange mailbox","event"
"Privileged escalation using SID-History modification","event"
"SQL code injection identified","event"
"Successful authentication using a penetration tool","event"
"Successful Brute Force attack targeting a specific account","event"
"Successful logins by a specific account from multiple IPs","event"
"Suspicious access activity: Service account access to file containing credentials","event"
"Suspicious email: an email was received with a suspected malicious attachment","event"
"Unusual amount of files was shared publicly","event"
"Unusual number of files shared with external users","event"
"Unusual number of sensitive files shared with external users","event"
"Unusual volume of data shared with external users","event"
"Unusual volume of data was shared publicly","event"
"Unusual volume of sensitive data shared with external users","event"
"Vulnerability created: SPN created for an admin account","event"
"XSS code injection identified","event"
