repository_full_name,pusher_id,pull_request_id,action,ref,release_id,issue_state,forkee_id,repository_watchers_count,commits_0_id,commits_0_author_username,commits_0_added,commits_0_modified,commits_0_removed,commits_0_message,before,after,commits_0_url,commits_1_url,commits_2_url,commits_3_url,commits_4_url,commits_0_timestamp,_time,pusher_login,sender_username,issue_created_at,issue_id,issue_title,issue_body,comment_id,comment_body,issue_updated_at,comment_html_url,pull_request_user_username,pull_request_state,pull_request_base_repo_updated_at,pull_request_number,pull_request_title,pull_request_merged_at,forkee_name,forkee_description,forkee_owner_username,release_created_at,release_name,release_author_username,release_body,repository_updated_at,repository_size,repository_created_at
splunk/DS,,,created,,,open,,2,,,,,,,,,,,,,,,1592924020,,vikram,2020-06-23T20:23:05+05:30,207,UF issue,Working on it.,235,Working on it.,2020-06-23T20:23:05+05:30,http://repo.avotrix.com:3000/splunk/DS/issues/46#issuecomment-235,,,,,,,,,,,,,,2020-06-23T20:19:01+05:30,52984832,2019-11-14T01:30:08+05:30
splunk/DS,23,,,refs/heads/master,,,,2,c8dc67f7796e51989d95fc40a0b7a59f3a982187,vikram,files.conf,,,"Added files.conf
Added new config",ae02fd8ef770f3cd481736383649fda6a97bbb53,c8dc67f7796e51989d95fc40a0b7a59f3a982187,http://repo.avotrix.com:3000/splunk/DS/commit/c8dc67f7796e51989d95fc40a0b7a59f3a982187,,,,,2020-06-23T20:19:01+05:30,1592923757,vikram,vikram,,,,,,,,,,,,,,,,,,,,,,2020-06-23T20:17:41+05:30,52984832,2019-11-14T01:30:08+05:30
Avotrix/Splunk-Deployment,,174,opened,,,,,14,,,,,,,,,,,,,,,1591643428,,ashvin,,,,,,,,,ashvin,open,2020-06-09T00:38:46+05:30,128,Added new metric index instead of iot and added new app for telegraf logs,None,,,,,,,,2020-06-09T00:38:46+05:30,76118016,2019-12-19T02:18:29+05:30
,,,,,,,,,,,,,,,,,,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/f2d396e2d7eba3a3b45a3dd4157f9b4d0e9a746f,,,,,1591627348,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/e293f7fdad0335aaaed97818743a6d1b942ad815,,,,,2020-06-08T23:38:25+05:30,1591639705,,,,,,,,,,,,,,,,,,,,,,,,,,
Avotrix/Splunk-Deployment,25,,,refs/heads/master,,,,16,e293f7fdad0335aaaed97818743a6d1b942ad815,vignesh,,,,"""Merge",3a7c211e871accde3f44df44174f44ad956323cc,e293f7fdad0335aaaed97818743a6d1b942ad815,,,,,,,1591639707,Avotrix,vignesh,,,,,,,,,,,,,,,,,,,,,,2020-06-08T20:12:50+05:30,76110848,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,,173,closed,,,,,16,,,,,,,,,,,,,,,1591639707,,vignesh,,,,,,,,,ajith,closed,2020-06-08T20:12:50+05:30,127,Avo_login_monitoring conf and csv changes to remove orphaned user,2020-06-08T23:38:26.6629928+05:30,,,,,,,,2020-06-08T20:12:50+05:30,76110848,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,25,,,refs/heads/master,,,,14,d462e538dd59ca40e057e0d777e00548e2cb02b4,vinayak,,,,"Merge branch \'ashvin\' of Avotrix/Splunk-Deployment into master
Verified.",f3e38083e72ada6502aa65c9308653caa95baf45,d462e538dd59ca40e057e0d777e00548e2cb02b4,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/d462e538dd59ca40e057e0d777e00548e2cb02b4,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/136c07392969d6934c6f9b530e6bce7409e754df,,,,2020-06-09T00:42:11+05:30,1591643532,Avotrix,vinayak,,,,,,,,,,,,,,,,,,,,,,2020-06-09T00:38:46+05:30,76118016,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,,174,closed,,,,,14,,,,,,,,,,,,,,,1591643532,,vinayak,,,,,,,,,ashvin,closed,2020-06-09T00:38:46+05:30,128,Added new metric index instead of iot and added new app for telegraf logs,2020-06-09T00:42:12.1635803+05:30,,,,,,,,2020-06-09T00:38:46+05:30,76118016,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,,,,,,,,14,a4083aa37d1434afef993d9fe1168d0c21ee3557,ajith,,deployment-apps/Splunk_TA_windows/default/inputs.conf,deployment-apps/Splunk_TA_windows/local/inputs.conf,,209517dd9fbfdc9aed7c5f13490ae63e138cf537,,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/a4083aa37d1434afef993d9fe1168d0c21ee3557,,,,,2020-06-19T23:38:20+05:30,1592590100,,ajith,,,,,,,,,,,,,,,,,,,,,,2020-06-18T20:25:39+05:30,80467968,2019-12-19T02:18:29+05:30
