iRet_code,iRet_label,iRet_desc
"-2034",RS_RET_INVALID_TRAILER,"invalid trailer"
"-2035",RS_RET_VALUE_TOO_LOW,"a provided value is too low"
"-2036",RS_RET_FILE_PREFIX_MISSING,"a required file prefix (parameter?) is missing"
"-2037",RS_RET_INVALID_HEADER_RECTYPE,"invalid record type in header or invalid header"
"-2038",RS_RET_QTYPE_MISMATCH,"different qType when reading back a property type"
"-2039",RS_RET_NO_FILE_ACCESS,"covers EACCES error on file open()"
"-2040",RS_RET_FILE_NOT_FOUND,"file not found"
"-2041",RS_RET_TIMED_OUT,"timeout occurred (not necessarily an error)"
"-2042",RS_RET_QSIZE_ZERO,"queue size is zero where this is not supported"
"-2043",RS_RET_ALREADY_STARTING,"something (a thread?) is already starting - not necessarily an error"
"-2044",RS_RET_NO_MORE_THREADS,"no more threads available, not necessarily an error"
"-2045",RS_RET_NO_FILEPREFIX,"file prefix is not specified where one is needed"
"-2046",RS_RET_CONFIG_ERROR,"there is a problem with the user-provided config settigs"
"-2047",RS_RET_OUT_OF_DESRIPTORS,"a descriptor table's space has been exhausted"
"-2048",RS_RET_NO_DRIVERS,"a required drivers missing"
"-2049",RS_RET_NO_DRIVERNAME,"driver name missing where one was required"
"-2050",RS_RET_EOS,"end of stream (of whatever)"
"-2051",RS_RET_SYNTAX_ERROR,"syntax error, eg. during parsing"
"-2052",RS_RET_INVALID_OCTAL_DIGIT,"invalid octal digit during parsing"
"-2053",RS_RET_INVALID_HEX_DIGIT,"invalid hex digit during parsing"
"-2054",RS_RET_INTERFACE_NOT_SUPPORTED,"interface not supported"
"-2055",RS_RET_OUT_OF_STACKSPACE,"a stack data structure is exhausted and can not be grown"
"-2056",RS_RET_STACK_EMPTY,"a pop was requested on a stack, but the stack was already empty"
"-2057",RS_RET_INVALID_VMOP,"invalid virtual machine instruction"
"-2058",RS_RET_INVALID_VAR,"a var or its content is unsuitable, eg. VARTYPE_NONE"
"-2059",RS_RET_INVALID_NUMBER,"number invalid during parsing"
"-2060",RS_RET_NOT_A_NUMBER,"e.g. conversion impossible because the string is not a number"
"-2061",RS_RET_OBJ_ALREADY_REGISTERED,"object (name) is already registered"
"-2062",RS_RET_OBJ_REGISTRY_OUT_OF_SPACE,"the object registry has run out of space"
"-2063",RS_RET_HOST_NOT_PERMITTED,"a host is not permitted to perform an action it requested"
"-2064",RS_RET_MODULE_LOAD_ERR,"module could not be loaded"
"-2065",RS_RET_MODULE_LOAD_ERR_PATHLEN,"module could not be loaded - path to long"
"-2066",RS_RET_MODULE_LOAD_ERR_DLOPEN,"module could not be loaded - problem in dlopen()"
"-2067",RS_RET_MODULE_LOAD_ERR_NO_INIT,"module could not be loaded - init() missing"
"-2068",RS_RET_MODULE_LOAD_ERR_INIT_FAILED,"module could not be loaded - init() failed"
"-2069",RS_RET_NO_SOCKET,"socket could not be obtained or was not provided"
"-2070",RS_RET_SMTP_ERROR,"error during SMTP transation"
"-2071",RS_RET_MAIL_NO_TO,"recipient for mail destination is missing"
"-2072",RS_RET_MAIL_NO_FROM,"sender for mail destination is missing"
"-2073",RS_RET_INVALID_PRI,"PRI value is invalid"
"-2074",RS_RET_MALICIOUS_HNAME,"remote peer is trying malicious things with its hostname"
"-2075",RS_RET_INVALID_HNAME,"remote peer's hostname invalid or unobtainable"
"-2076",RS_RET_INVALID_PORT,"invalid port value"
"-2077",RS_RET_COULD_NOT_BIND,"could not bind socket, defunct"
"-2078",RS_RET_GNUTLS_ERR,"(unexpected) error in GnuTLS call"
"-2079",RS_RET_MAX_SESS_REACHED,"max nbr of sessions reached, can not create more"
"-2080",RS_RET_MAX_LSTN_REACHED,"max nbr of listeners reached, can not create more"
"-2081",RS_RET_INVALID_DRVR_MODE,"tried to set mode not supported by driver"
"-2082",RS_RET_DRVRNAME_TOO_LONG,"driver name too long - should never happen"
"-2083",RS_RET_TLS_HANDSHAKE_ERR,"TLS handshake failed"
"-2084",RS_RET_TLS_CERT_ERR,"generic TLS certificate error"
"-2085",RS_RET_TLS_NO_CERT,"no TLS certificate available where one was expected"
"-2086",RS_RET_VALUE_NOT_SUPPORTED,"a provided value is not supported"
"-2087",RS_RET_VALUE_NOT_IN_THIS_MODE,"a provided value is invalid for the curret mode"
"-2088",RS_RET_INVALID_FINGERPRINT,"a fingerprint is not valid for this use case"
"-2089",RS_RET_CONNECTION_ABORTREQ,"connection was abort requested due to previous error"
"-2090",RS_RET_CERT_INVALID,"a x509 certificate failed validation"
"-2091",RS_RET_CERT_INVALID_DN,"distinguised name in x509 certificate is invalid (e.g. wrong escaping)"
"-2092",RS_RET_CERT_EXPIRED,"we are past a x.509 cert's expiration time"
"-2094",RS_RET_CERT_NOT_YET_ACTIVE,"x.509 cert's activation time not yet reached"
"-2095",RS_RET_SYS_ERR,"system error occurred (e.g. time() returned -1, quite unexpected)"
"-2096",RS_RET_FILE_NO_STAT,"can not stat() a file"
"-2097",RS_RET_FILE_TOO_LARGE,"a file is larger than permitted"
"-2098",RS_RET_INVALID_WILDCARD,"a wildcard entry is invalid"
"-2099",RS_RET_CLOSED,"connection was closed"
"-2100",RS_RET_RETRY,"call should be retried (e.g. EGAIN on recv)"
"-2101",RS_RET_GSS_ERR,"generic error occurred in GSSAPI subsystem"
"-2102",RS_RET_CERTLESS,"state: we run without machine cert (this may be OK)"
"-2103",RS_RET_NO_ACTIONS,"no active actions are configured (no output will be created)"
"-2104",RS_RET_CONF_FILE_NOT_FOUND,"config file or directory not found"
"-2105",RS_RET_QUEUE_FULL,"queue is full, operation could not be completed"
"-2106",RS_RET_ACCEPT_ERR,"error during accept() system call"
"-2107",RS_RET_INVLD_TIME,"invalid timestamp (e.g. could not be parsed)"
"-2108",RS_RET_NO_ZIP,"ZIP functionality is not present"
"-2109",RS_RET_CODE_ERR,"program code (internal) error"
"-2110",RS_RET_FUNC_NO_LPAREN,"left parenthesis missing after function call (rainerscript)"
"-2111",RS_RET_FUNC_MISSING_EXPR,"no expression after comma in function call (rainerscript)"
"-2112",RS_RET_INVLD_NBR_ARGUMENTS,"invalid number of arguments for function call (rainerscript)"
"-2113",RS_RET_INVLD_FUNC,"invalid function name for function call (rainerscript)"
"-2114",RS_RET_DUP_FUNC_NAME,"duplicate function name (rainerscript)"
"-2115",RS_RET_UNKNW_FUNC,"unkown function name (rainerscript)"
"-2116",RS_RET_ERR_RLIM_NOFILE,"error setting max. nbr open files process limit"
"-2117",RS_RET_ERR_CREAT_PIPE,"error during pipe creation"
"-2118",RS_RET_ERR_FORK,"error during fork()"
"-2119",RS_RET_ERR_WRITE_PIPE,"error writing to pipe"
"-2120",RS_RET_RSCORE_TOO_OLD,"rsyslog core is too old for ... (eg this plugin)"
"-2121",RS_RET_DEFER_COMMIT,"output plugin status: not yet committed (an OK state!)"
"-2122",RS_RET_PREVIOUS_COMMITTED,"output plugin status: previous record was committed (an OK state!)"
"-2123",RS_RET_ACTION_FAILED,"action failed and is now suspended"
"-2125",RS_RET_NON_SIZELIMITCMD,"size limit for file defined, but no size limit command given"
"-2126",RS_RET_SIZELIMITCMD_DIDNT_RESOLVE,"size limit command did not resolve situation"
"-2127",RS_RET_STREAM_DISABLED,"a file has been disabled (e.g. by size limit restriction)"
"-2140",RS_RET_FILENAME_INVALID,"filename invalid, not found, no access, ..."
"-2141",RS_RET_ZLIB_ERR,"error during zlib call"
"-2142",RS_RET_VAR_NOT_FOUND,"variable not found"
"-2143",RS_RET_EMPTY_MSG,"provided (raw) MSG is empty"
"-2144",RS_RET_PEER_CLOSED_CONN,"remote peer closed connection (information, no error)"
"-2145",RS_RET_ERR_OPEN_KLOG,"error opening or reading the kernel log socket"
"-2146",RS_RET_ERR_AQ_CONLOG,"error aquiring console log (on solaris)"
"-2147",RS_RET_ERR_DOOR,"some problems with handling the Solaris door functionality"
"-2150",RS_RET_NO_SRCNAME_TPL,"sourcename template was not specified where one was needed (omudpspoof spoof addr)"
"-2151",RS_RET_HOST_NOT_SPECIFIED,"(target) host was not specified where it was needed"
"-2152",RS_RET_ERR_LIBNET_INIT,"error initializing libnet, e.g. because not running as root"
"-2153",RS_RET_FORCE_TERM,"thread was forced to terminate by bShallShutdown, a state, not an error"
"-2154",RS_RET_RULES_QUEUE_EXISTS,"we were instructed to create a new ruleset queue, but one already exists"
"-2155",RS_RET_NO_CURR_RULESET,"no current ruleset exists (but one is required)"
"-2156",RS_RET_NO_MSG_PASSING,"output module interface parameter passing mode "MSG" is not available but required"
"-2157",RS_RET_RULESET_NOT_FOUND,"a required ruleset could not be found"
"-2158",RS_RET_NO_RULESET,"no ruleset name as specified where one was needed"
"-2159",RS_RET_PARSER_NOT_FOUND,"parser with the specified name was not found"
"-2160",RS_RET_COULD_NOT_PARSE,"(this) parser could not parse the message (no error, means try next one)"
"-2161",RS_RET_EINTR,"EINTR occurred during a system call (not necessarily an error)"
"-2162",RS_RET_ERR_EPOLL,"epoll() returned with an unexpected error code"
"-2163",RS_RET_ERR_EPOLL_CTL,"epol_ctll() returned with an unexpected error code"
"-2164",RS_RET_TIMEOUT,"timeout occurred during operation"
"-2165",RS_RET_RCV_ERR,"error occurred during socket rcv operation"
"-2166",RS_RET_NO_SOCK_CONFIGURED,"no socket (name) was configured where one is required"
"-2167",RS_RET_CONF_NOT_GLBL,"$Begin not in global scope"
"-2168",RS_RET_CONF_IN_GLBL,"$End when in global scope"
"-2169",RS_RET_CONF_INVLD_END,"$End for wrong conf object (probably nesting error)"
"-2170",RS_RET_CONF_INVLD_SCOPE,"config statement not valid in current scope (e.g. global stmt in action block)"
"-2171",RS_RET_CONF_END_NO_ACT,"end of action block, but no actual action specified"
"-2172",RS_RET_NO_LSTN_DEFINED,"no listener defined (e.g. inside an input module)"
"-2173",RS_RET_EPOLL_CR_FAILED,"epoll_create() failed"
"-2174",RS_RET_EPOLL_CTL_FAILED,"epoll_ctl() failed"
"-2175",RS_RET_INTERNAL_ERROR,"rsyslogd internal error, unexpected code path reached"
"-2176",RS_RET_ERR_CRE_AFUX,"error creating AF_UNIX socket (and binding it)"
"-2177",RS_RET_RATE_LIMITED,"some messages discarded due to exceeding a rate limit"
"-2178",RS_RET_ERR_HDFS_WRITE,"error writing to HDFS"
"-2179",RS_RET_ERR_HDFS_OPEN,"error during hdfsOpen (e.g. file does not exist)"
"-2180",RS_RET_FILE_NOT_SPECIFIED,"file name not configured where this was required"
"-2181",RS_RET_ERR_WRKDIR,"problems with the rsyslog working directory"
"-2182",RS_RET_WRN_WRKDIR,"correctable problems with the rsyslog working directory"
"-2183",RS_RET_ERR_QUEUE_EMERGENCY,"some fatal error caused queue to switch to emergency mode"
"-2184",RS_RET_OUTDATED_STMT,"some outdated statement/functionality is being used in conf file"
"-2185",RS_RET_MISSING_WHITESPACE,"whitespace is missing in some config construct"
"-2186",RS_RET_OK_WARN,"config part: everything was OK, but a warning message was emitted"
"-2200",RS_RET_INVLD_CONF_OBJ,"invalid config object (e.g. $Begin conf statement)"
"-2202",RS_RET_ERR_LIBLOGNORM_INIT,"cannot obtain liblognorm ctx"
"-2203",RS_RET_ERR_LIBLOGNORM_SAMPDB_LOAD,"liblognorm sampledb load failed"
"-2204",RS_RET_CMD_GONE_AWAY,"config directive existed, but no longer supported"
"-2205",RS_RET_ERR_SCHED_PARAMS,"there is a problem with configured thread scheduling params"
"-2206",RS_RET_SOCKNAME_MISSING,"no socket name configured where one is required"
"-2207",RS_RET_CONF_PARSE_ERROR,"(fatal) error parsing config file"
"-2208",RS_RET_CONF_RQRD_PARAM_MISSING,"required parameter in config object is missing"
"-2209",RS_RET_MOD_UNKNOWN,"module (config name) is unknown"
"-2210",RS_RET_CONFOBJ_UNSUPPORTED,"config objects (v6 conf) are not supported here"
"-2211",RS_RET_MISSING_CNFPARAMS,"missing configuration parameters"
"-2212",RS_RET_NO_LISTNERS,"module loaded, but no listeners are defined"
"-2213",RS_RET_INVLD_PROTOCOL,"invalid protocol specified in config file"
"-2214",RS_RET_CNF_INVLD_FRAMING,"invalid framing specified in config file"
"-2215",RS_RET_LEGA_ACT_NOT_SUPPORTED,"the module (no longer) supports legacy action syntax"
"-2216",RS_RET_MAX_OMSR_REACHED,"max nbr of string requests reached, not supported by core"
"-2217",RS_RET_UID_MISSING,"a user id is missing (but e.g. a password provided)"
"-2218",RS_RET_DATAFAIL,"data passed to action caused failure"
"-2220",RS_RET_DUP_PARAM,"config parameter is given more than once"
"-2221",RS_RET_MODULE_ALREADY_IN_CONF,"module already in current configuration"
"-2222",RS_RET_PARAM_NOT_PERMITTED,"legacy parameter no longer permitted (usally already set by v2)"
"-2223",RS_RET_NO_JSON_PASSING,"rsyslog core does not support JSON-passing plugin API"
"-2224",RS_RET_MOD_NO_INPUT_STMT,"(input) module does not support input() statement"
"-2225",RS_RET_NO_CEE_MSG,"the message being processed is NOT CEE-enhanced"
"-2291",RS_RET_RELP_ERR,"< error in RELP processing"
"-2301",RS_RET_JNAME_NO_ROOT,"root element is missing in JSON path"
"-2302",RS_RET_JNAME_INVALID,"JSON path is invalid"
"-2303",RS_RET_JSON_PARSE_ERR,"we had a problem parsing JSON (or extra data)"
"-2304",RS_RET_BSD_BLOCKS_UNSUPPORTED,"BSD-style config blocks are no longer supported"
"-2305",RS_RET_JNAME_NOTFOUND,"JSON name not found (does not exist)"
"-2305",RS_RET_INVLD_SETOP,"invalid variable set operation, incompatible type"
"-2306",RS_RET_RULESET_EXISTS,"ruleset already exists"
"-2307",RS_RET_DEPRECATED,"deprecated functionality is used"
"-2308",RS_RET_DS_PROP_SEQ_ERR,"property sequence error deserializing object"
"-2309",RS_RET_INVLD_PROP,"property name error (unknown name)"
"-2310",RS_RET_NO_RULEBASE,"mmnormalize: rulebase can not be found or otherwise invalid"
"-2311",RS_RET_INVLD_MODE,"invalid mode specified in configuration"
"-2312",RS_RET_INVLD_ANON_BITS,"mmanon: invalid number of bits to anonymize specified"
"-2313",RS_RET_REPLCHAR_IGNORED,"mmanon: replacementChar parameter is ignored"
"-2320",RS_RET_SIGPROV_ERR,"error in signature provider"
"-2321",RS_RET_CRYPROV_ERR,"error in cryptography encryption provider"
"-2322",RS_RET_EI_OPN_ERR,"error opening an .encinfo file"
"-2323",RS_RET_EI_NO_EXISTS,".encinfo file does not exist (status, not necessarily error!)"
"-2324",RS_RET_EI_WR_ERR,"error writing an .encinfo file"
"-2325",RS_RET_EI_INVLD_FILE,"header indicates the file is no .encinfo file"
"-2326",RS_RET_CRY_INVLD_ALGO,"user specified invalid (unkonwn) crypto algorithm"
"-2327",RS_RET_CRY_INVLD_MODE,"user specified invalid (unkonwn) crypto mode"
"-2328",RS_RET_QUEUE_DISK_NO_FN,"disk queue configured, but filename not set"
"-2329",RS_RET_CA_CERT_MISSING,"a CA cert is missing where one is required (e.g. TLS)"
"-2330",RS_RET_CERT_MISSING,"a cert is missing where one is required (e.g. TLS)"
"-2331",RS_RET_CERTKEY_MISSING,"a cert (private) key is missing where one is required (e.g. TLS)"
"-2349",RS_RET_STRUC_DATA_INVLD,"structured data is malformed"
"-2351",RS_RET_QUEUE_CRY_DISK_ONLY,"crypto provider only supported for disk-associated queues"
"-2352",RS_RET_NO_DATA,"file has no data; more a state than a real error"
"-2353",RS_RET_RELP_AUTH_FAIL,"RELP peer authentication failed"
"-2354",RS_RET_ERR_UDPSEND,"sending msg via UDP failed"
"-2355",RS_RET_LAST_ERRREPORT,"module does not emit more error messages as limit is reached"
"-2356",RS_RET_READ_ERR,"read error occurred (file i/o)"
"-2357",RS_RET_CONF_PARSE_WARNING,"warning parsing config file"
"-2358",RS_RET_CONF_WRN_FULLDLY_BELOW_HIGHWTR,"warning queue full delay mark below high wtr mark"
"-2359",RS_RET_RESUMED,"status: action was resumed (used for reporting)"
"-2360",RS_RET_RELP_NO_TLS,"librel does not support TLS (but TLS requested)"
"-2361",RS_RET_STATEFILE_WRONG_FNAME,"state file is for wrong file"
"-2362",RS_RET_NAME_INVALID,"invalid name (in RainerScript)"
"-2400",RS_RET_INVLD_OMOD,"invalid output module, does not provide proper interfaces"
"-2401",RS_RET_INVLD_INTERFACE_INPUT,"invalid value for "interface.input" parameter (ext progs)"
"-2402",RS_RET_PARSER_NAME_EXISTS,"parser name already exists"
"-2403",RS_RET_MOD_NO_PARSER_STMT,"(parser) module does not support parser() statement"
"-2420",RS_RET_IMFILE_WILDCARD,"imfile file name contains wildcard, which may be problematic"
"-2421",RS_RET_RELP_NO_TLS_AUTH,"librel does not support TLS authentication (but was requested)"
"-2422",RS_RET_KAFKA_ERROR,"error reported by Apache Kafka subsystem. See message for details."
"-2423",RS_RET_KAFKA_NO_VALID_BROKERS,"no valid Kafka brokers configured/available"
"-2424",RS_RET_KAFKA_PRODUCE_ERR,"error during Kafka produce function"
"-2425",RS_RET_CONF_PARAM_INVLD,"config parameter is invalid"
"-2426",RS_RET_KSI_ERR,"error in KSI subsystem"
"-2427",RS_RET_ERR_LIBLOGNORM,"cannot obtain liblognorm ctx"
"-2428",RS_RET_CONC_CTRL_ERR,"error in lock/unlock/condition/concurrent-modification operation"
"-2429",RS_RET_SENDER_GONE_AWAY,"warning: sender not seen for configured amount of time"
"-2430",RS_RET_SENDER_APPEARED,"info: new sender appeared"
"-2431",RS_RET_FILE_ALREADY_IN_TABLE,"in imfile: table already contains to be added file"
"-2432",RS_RET_ERR_DROP_PRIV,"error droping privileges"
"-2433",RS_RET_FILE_OPEN_ERROR,"error other than "not found" occurred during open()"
"-2435",RS_RET_RENAME_TMP_QI_ERROR,"renaming temporary .qi file failed"
"-2436",RS_RET_ERR_SETENV,"error setting an environment variable"
"-2437",RS_RET_DIR_CHOWN_ERROR,"error during chown()"
"-2438",RS_RET_JSON_UNUSABLE,"JSON object is NULL or otherwise unusable"
"-2439",RS_RET_OPERATION_STATUS,"operational status (info) message, no error"
"-2440",RS_RET_UDP_MSGSIZE_TOO_LARGE,"a message is too large to be sent via UDP"
"-2441",RS_RET_NON_JSON_PROP,"a non-json property id is provided where a json one is requried"
"-2442",RS_RET_NO_TZ_SET,"system env var TZ is not set (status msg)"
"-2443",RS_RET_FS_ERR,"file-system error"
"-2444",RS_RET_POLL_ERR,"error in poll() system call"
"-2445",RS_RET_OVERSIZE_MSG,"message is too long (above configured max)"
"-2446",RS_RET_TLS_KEY_ERR,"TLS KEY has problems"
"-2447",RS_RET_RABBITMQ_CONN_ERR,"RabbitMQ Connection error"
"-2448",RS_RET_RABBITMQ_LOGIN_ERR,"RabbitMQ Login error"
"-2449",RS_RET_RABBITMQ_CHANNEL_ERR,"RabbitMQ Connection error"
"-2450",RS_RET_NO_WRKDIR_SET,"working directory not set, but desired by functionality"
"-2451",RS_RET_ERR_QUEUE_FN_DUP,"duplicate queue file name"
"-2452",RS_RET_REDIS_ERROR,"redis-specific error. See message foe details."
"-2453",RS_RET_REDIS_AUTH_FAILED,"redis authentication failure"
"-2454",RS_RET_FAUP_INIT_OPTIONS_FAILED,"could not initialize faup options"
"1001",RS_RET_SYSVAR_NOT_FOUND,"system variable could not be found (maybe misspelled)"
"1002",RS_RET_FIELD_NOT_FOUND,"field() function did not find requested field"
"0",RS_RET_OK,"operation successful"
"1",RS_RET_OK_DELETE_LISTENTRY,"operation successful, but callee requested the deletion of an entry (special state)"
"2",RS_RET_TERMINATE_NOW,"operation successful, function is requested to terminate (mostly used with threads)"
"3",RS_RET_NO_RUN,"operation successful, but function does not like to be executed"
"4",RS_RET_IDLE,"operation successful, but callee is idle (e.g. because queue is empty)"
