GigamonMdata_ssl_cipher_suite_id,Cipher,Protocol
49165,TLS_ECDH_RSA_WITH_3DES_EDE_CBC_SHA,ECDH-RSA-DES-CBC3-SHA
49166,TLS_ECDH_RSA_WITH_AES_128_CBC_SHA,ECDH-RSA-AES128-SHA
49167,TLS_ECDH_RSA_WITH_AES_256_CBC_SHA,ECDH-RSA-AES256-SHA
49168,TLS_ECDHE_RSA_WITH_NULL_SHA,ECDHE-RSA-NULL-SHA
49169,TLS_ECDHE_RSA_WITH_RC4_128_SHA,ECDHE-RSA-RC4-SHA
49170,TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA,ECDHE-RSA-DES-CBC3-SHA
49171,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,ECDHE-RSA-AES128-SHA
49172,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,ECDHE-RSA-AES256-SHA
49173,TLS_ECDH_anon_WITH_NULL_SHA,AECDH-NULL-SHA
49174,TLS_ECDH_anon_WITH_RC4_128_SHA,AECDH-RC4-SHA
49175,TLS_ECDH_anon_WITH_3DES_EDE_CBC_SHA,AECDH-DES-CBC3-SHA
49176,TLS_ECDH_anon_WITH_AES_128_CBC_SHA,AECDH-AES128-SHA
49177,TLS_ECDH_anon_WITH_AES_256_CBC_SHA,AECDH-AES256-SHA
49178,TLS_SRP_SHA_WITH_3DES_EDE_CBC_SHA,SRP-3DES-EDE-CBC-SHA
49179,TLS_SRP_SHA_RSA_WITH_3DES_EDE_CBC_SHA,SRP-RSA-3DES-EDE-CBC-SHA
49180,TLS_SRP_SHA_DSS_WITH_3DES_EDE_CBC_SHA,SRP-DSS-3DES-EDE-CBC-SHA
49181,TLS_SRP_SHA_WITH_AES_128_CBC_SHA,SRP-AES-128-CBC-SHA
49182,TLS_SRP_SHA_RSA_WITH_AES_128_CBC_SHA,SRP-RSA-AES-128-CBC-SHA
49183,TLS_SRP_SHA_DSS_WITH_AES_128_CBC_SHA,SRP-DSS-AES-128-CBC-SHA
49184,TLS_SRP_SHA_WITH_AES_256_CBC_SHA,SRP-AES-256-CBC-SHA
49185,TLS_SRP_SHA_RSA_WITH_AES_256_CBC_SHA,SRP-RSA-AES-256-CBC-SHA
49186,TLS_SRP_SHA_DSS_WITH_AES_256_CBC_SHA,SRP-DSS-AES-256-CBC-SHA
