title,check_eol_apps,check_compatible_app_version,check_fips_incompatible_app,check_fips_compatible_app_version
splunk_incident_intelligence_app,TRUE,,,
Splunk_JDBC_db2,,1.1.0,,1.1.0
Splunk_JDBC_influxDB,,1.0.0,,1.0.0
Splunk_JDBC_mongodb,,1.2.1,,1.2.1
Splunk_JDBC_mssql,,1.3.0,,1.3.0
Splunk_JDBC_mysql,,1.1.1,,1.1.0
Splunk_JDBC_oracle,,2.2.1,,2.2.1
Splunk_JDBC_postgress,,1.2.1,,1.2.1
Splunk_JDBC_redshift,,1.2.0,,1.2.0
Splunk_JDBC_snowflake,,1.2.2,,1.2.2
Splunk_ML_Toolkit,,5.5.0,,5.5.0
Splunk_SA_CIM,,6.1.0,,
Splunk_SA_Scientific_Python_darwin_arm64,,4.2.2,,4.2.2
Splunk_SA_Scientific_Python_darwin_x86_64,,4.2.2,,4.2.2
Splunk_SA_Scientific_Python_linux_x86,TRUE,,,
Splunk_SA_Scientific_Python_linux_x86_64,,4.2.2,,4.2.2
Splunk_SA_Scientific_Python_windows_x86_64,,4.2.2,,4.2.2
Splunk_Security_Essentials,,3.8.2,,
Splunk_TA_apache,,1.0.0,,
Splunk_TA_ari_linux,,1.1.1,TRUE,
Splunk_TA_ari_mac,,,TRUE,
Splunk_TA_ari_win,,1.1.2,TRUE,
Splunk_TA_aws,,7.8.0,,
Splunk_TA_aws-kinesis-firehose,,1.2.0,,
Splunk_TA_bit9-carbonblack,,1.0.0,,
Splunk_TA_bluecoat-proxysg,,1.0.0,,
Splunk_TA_box,,3.11.0,,3.11.0
Splunk_TA_checkpoint_log_exporter,,1.0.0,,
Splunk_TA_cisco_meraki,,,,
Splunk_TA_cisco-asa,,1.0.0,,
Splunk_TA_cisco-esa,,1.0.0,,
Splunk_TA_cisco-ise,,1.0.0,,
Splunk_TA_cisco-ucs,,4.2.0,,4.2.0
Splunk_TA_cisco-wsa,,1.0.0,,
Splunk_TA_citrix-netscaler,,8.2.3,,8.2.3
Splunk_TA_CrowdStrike_FDR,,2.0.4,,2.0.4
Splunk_TA_cyberark,,1.0.0,,
Splunk_TA_cyberark_epm,,2.1.0,,2.1.0
Splunk_TA_emc-vnx,TRUE,,,
Splunk_TA_esxilogs,,4.2.1,,
Splunk_TA_f5-bigip,,6.3.0,,6.3.0
Splunk_TA_github,,3.1.0,,3.1.0
Splunk_TA_Google_Workspace,,2.6.2,,2.6.2
Splunk_TA_google-cloudplatform,,4.7.2,,
Splunk_TA_haproxy,,1.0.0,,
Splunk_TA_ibm-was,,5.2.0,,5.2.0
Splunk_TA_imperva-waf,,1.0.0,,
Splunk_TA_infoblox,,1.0.0,,
Splunk_TA_Infrastructure,TRUE,,,
Splunk_TA_isc-bind,,1.0.0,,
Splunk_TA_isc-dhcp,,1.0.0,,
Splunk_TA_jboss,,3.1.0,,3.1.0
Splunk_TA_Jira_Cloud,,2.1.2,,2.1.2
Splunk_TA_Jira_Data_Center,,1.0.0,,1.0.0
Splunk_TA_jmx,,5.5.0,,5.5.0
Splunk_TA_juniper,,1.0.0,,
Splunk_TA_kafka,,1.2.0,,
Splunk_TA_linux,,1.0.0,,
Splunk_TA_mcafee_epo_syslog,,1.0.0,,
Splunk_TA_mcafee_nsp,,1.0.0,,
Splunk_TA_mcafee-wg,,1.0.0,,
Splunk_TA_microsoft_dns,TRUE,,,
splunk_TA_microsoft_exchange,,4.0.5,,4.0.5
Splunk_TA_microsoft_sysmon,,1.0.0,,1.0.0
Splunk_TA_microsoft-cloudservices,,5.4.0,,
Splunk_TA_microsoft-hyperv,,1.0.0,,
Splunk_TA_microsoft-iis,,1.0.0,,
Splunk_TA_microsoft-scom,,4.5.0,,
Splunk_TA_microsoft-sqlserver,,1.0.0,,
Splunk_TA_mint,TRUE,,,
Splunk_TA_MS_Security,,2.2.0,,2.2.0
Splunk_TA_mysql,,1.0.0,,
Splunk_TA_nagios-core,,1.0.0,,
Splunk_TA_nginx,,3.3.0,,3.3.0
Splunk_TA_nix,,9.1.0,,9.1.0
splunk_ta_o365,,4.7.0,,
Splunk_TA_okta_identity_cloud,,2.2.1,,2.2.1
Splunk_TA_opc,TRUE,,,
Splunk_TA_oracle,,1.0.0,,
Splunk_TA_ossec,,1.0.0,,
Splunk_TA_otel,,1.4.2,,1.4.2
Splunk_TA_paloalto_networks,,1.0.0,,1.0.0
Splunk_TA_Phantom,TRUE,,,
Splunk_TA_remedy,,5.6.0,,5.6.0
Splunk_TA_rsa_securid_cas,,1.2.2,,1.2.2
Splunk_TA_rsa-dlp,,1.0.0,,
Splunk_TA_rsa-securid,,1.0.0,,
Splunk_TA_SAA,,1.2.1,,1.2.1
Splunk_TA_salesforce,,5.1.0,,5.0.0
splunk_ta_sap_etd_alerts,TRUE,,,
splunk_ta_sim,,1.2.7,,1.2.7
Splunk_TA_snow,,7.8.1,,7.8.1
Splunk_TA_sophos,,1.0.0,,
Splunk_TA_squid,,1.0.0,,
Splunk_TA_symantec-dlp,,1.0.0,,
Splunk_TA_symantec-ep,,1.0.0,,
Splunk_TA_Talos_Intelligence,,1.0.0,TRUE,
Splunk_TA_tomcat,,3.2.0,,3.2.0
Splunk_TA_vcenter,,4.2.1,,
splunk_TA_vmware,,4.1.1,,4.1.1
Splunk_TA_websense-cg,,1.0.0,,
Splunk_TA_websense-dlp,,1.0.0,,
Splunk_TA_windows,,8.8.0,,8.8.0
splunk-app-ar,,4.11,,
splunk-business-flow,TRUE,,,
splunk-connect-for-mission-control,TRUE,,,
splunk-filelink,,0.0.0,,
Splunk-UBA-SA-Kafka,,1.4.6,,1.4.6
SplunkAssetRiskIntelligence,,1.1.3,TRUE,
SplunkAssetRiskIntelligenceEcho,,1.1.3,TRUE,
SplunkEnterpriseSecurityInstaller,,8.1.1,,8.1.1
SplunkPCIComplianceSuiteInstaller,,6.1.0,,6.1.0
status_indicator_app,TRUE,,,
TA_ari_instrumentation,TRUE,,TRUE,
TA-db-monitor,,1.0.4,,
TA-ONTAP-FieldExtractions,,3.0.2,,
TA-splunk-add-on-for-victorops,,1.0.14,,
TA-splunk-observability-events,,1.2.5,,
TA-VMW-FieldExtractions,,4.0.3,,
timeline_app,TRUE,,,
treemap_app,TRUE,,,
trustar_unified,,2.0.8,,2.0.8
upgrade_readiness_app,TRUE,,,
victorops_app,,1.0.40,,
splunk_app_stream,,8.1.5,,
Splunk_TA_stream_wire_data,,8.1.5,,
Splunk_TA_stream,,8.1.5,,
it_essentials_learn,,1.1.8,,1.1.8
DA_ESS_SOC,TRUE,,,
