"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Bolivia","BOL","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3330","5740","8723","12973","17589","33977","79314","96134","95937","65869","110600","141756","",
"Brazil","BRA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1000","7000","100000","331000","731000","966252","3157466","3233800","4767007","7609452","9679974","11295531","13266310","16855116","18186476","20190871","",
"Barbados","BRB","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","27319","29630","31942","38800","47133","49216","57305","56190","60643","66884","67798","",
"Brunei Darussalam","BRN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1896","2757","3838","6262","8126","8964","11617","16891","20029","21699","23185","19849","23841","",
"Bhutan","BTN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","2060","3378","8675","13233","16766","20481","",
"Botswana","BWA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","1600","1800","3540","8900","10000","11978","15707","18838","21590","",
"Central African Republic","CAF","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Canada","CAN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140000","582000","1410932","2836000","3515000","4513000","5416000","7004000","8044000","9075322","9842303","9980000","10477886","10931877","11314190","11709900","",
"Central Europe and the Baltics","CEB","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84220","401560","951335","2170796","3816909","8258932","11366040","12792345","14845397","15919706","17478181","18448911","19117853","",
"Switzerland","CHE","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","56416","140000","455220","783874","1227397","1669217","2050184","2380500","2556210","2739149","2911504","3076384","3210631","3474200","",
"Channel Islands","CHI","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","7879","66722","188454","352234","478883","708525","1019520","1287785","1427178","1644029","1779113","1998065","2154162","2158586","",
"China","CHN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","22660","336280","3298490","11219010","24939630","37350000","50853000","66414000","82879000","103978000","126337000","156487000","175183000","188909000","",
"Cote d'Ivoire","CIV","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","413","826","1239","10000","10000","10000","10000","","","46167","56281","",
"Cameroon","CMR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","202","421","640","860","900","5954","10713","13846","16900","",
"Congo, Rep.","COG","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","125","250","300","362","438","",
"Colombia","COL","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","8872","13830","34888","64436","127113","318683","628077","1207090","1759493","2086250","2596558","3297189","3893674","4486752","",
"Comoros","COM","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","1","4","0","82","110","66","329","400","1233","1300","",
"Cabo Verde","CPV","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","283","937","1814","3833","7380","10972","16071","21332","19853","21212","",
"Costa Rica","CRI","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","8989","14878","27931","44914","83206","95000","107410","179781","396262","413662","448066","473629","",
"Caribbean small states","CSS","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7630","21197","56497","90395","133812","187127","253455","333306","419532","455316","478423","522147","581048","",
"Cuba","CUB","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","1946","2246","2883","3706","4421","5013","5360","",
"Curacao","CUW","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31800","35230","39000","",
"Cayman Islands","CYM","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","17530","18295","18852","18816","19325","20335","",
"Cyprus","CYP","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","5879","10033","17070","31856","63084","97613","147276","175828","193463","209938","217072","227245","",
"Czech Republic","CZE","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","2500","6200","15300","34690","235996","709063","1112500","976720","1139586","1354986","1530000","1668800","1748090","1823000","",
"Germany","DEU","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","265000","2100000","3205000","4470000","7000000","10786800","14977200","19687000","22643636","24891800","26089800","27185816","27906896","28603463","",
"Djibouti","DJI","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","6","","","42","152","1092","2451","5285","8058","11302","14907","17707","",
"Dominica","DMA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","80","175","2238","2651","3253","3400","4300","5000","7000","7300","8311","8307","8500","10667","",
"Denmark","DNK","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","67000","238000","451297","718299","1017594","1343855","1735317","1882000","1984869","1997135","2064614","2094834","2171998","2257395","",
"Dominican Republic","DOM","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","15000","37257","60674","102880","153551","225997","294513","369937","403732","446681","484897","",
"Algeria","DZA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","18000","36000","135000","170000","287039","485000","818000","900000","980752","1154748","1280000","",
"East Asia & Pacific (developing only)","EAP","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","26660","366942","3378319","11467799","25585996","38842035","53495465","71339400","90428275","115058270","139269059","170984964","191806831","207562888","",
"East Asia & Pacific (all income levels)","EAS","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82000","","5502154","14162035","26906380","42920992","64140075","83421107","105570771","122910135","150206685","178733482","205851188","239542372","262410087","279636936","",
"Europe & Central Asia (developing only)","ECA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49042","151078","667285","1122092","3013659","6271826","10605612","14466576","17415285","21403135","24442232","27221313","29834422","",
"Europe & Central Asia (all income levels)","ECS","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99888","","1765800","6535457","13727835","24979185.33","43256734","66095091","91501209","115593640","135070765","151074066","165812190","177523032","188714588","199140233","",
"Ecuador","ECU","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2623","6499","6916","11620","26786","46000","100000","155998","241233","197890","618920","818718","997596","",
"Egypt, Arab Rep.","EGY","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","50937","54850","79217","140999","258526","477432","769744","1045792","1449904","1843624","2287249","2674846","",
"Euro area","EMU","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99888","","1309768","5077308","10086274","17527051","29697685","42993573","57058949","69876109","78790527","86105521","91956297","96318522","99600199","102882763","",
"Eritrea","ERI","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","44","70","118","141","125","146","",
"Spain","ESP","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","76358","466600","1247496","2121930","3401411","5035203","6739110","7990449","9054204","9706688","10532988","11045653","11396347","11999564","",
"Estonia","EST","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17474","46500","90300","138677","179200","246800","252441","281479","301092","311961","317302","328726","341605","",
"Ethiopia","ETH","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","57","35","61","261","1036","1496","3498","4107","4592","6772","238067","",
"European Union","EUU","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99888","","1684558","6291279","13018294","23215101.33","40038325","59956832","81614295","100115980","112118435","121933814","130162212","137460078","142799477","147722202","",
"Fragile and conflict affected situations","FCS","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","839","3060","9314","19781","41013","109295","244847","370461","469563","623082","","1367216","1734161","",
"Finland","FIN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","35000","134000","273500","491100","800000","1174200","1429000","1617000","1591900","1533800","1532700","1588700","1642800","1676500","",
"Fiji","FJI","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","7000","8500","11500","13031","12830","23250","23250","13516","10535","",
"France","FRA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13464","55000","196601","601500","1655000","3569381","6561035","9471000","12711000","15750000","17830000","19852000","21337000","22749000","23975000","24940000","",
"Faeroe Islands","FRO","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","114","394","3134","5868","13128","14463","14878","15882","15734","15942","16324","16700","",
"Micronesia, Fed. Sts.","FSM","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","6","26","46","95","116","","","998","","","2063","",
"Gabon","GAB","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","170","650","1530","1763","1983","2200","3697","4082","4500","5000","8900","",
"United Kingdom","GBR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52890","330960","1356481","3113702.33","6123907","9898653","13013000","15606000","17274023","17858923","19133508","20552901","21618675","22559353","",
"Georgia","GEO","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","430","920","1410","1900","2390","27000","46735","112131","150000","230901","324633","392436","444595","",
"Ghana","GHA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","900","1904","12749","16197","22980","27399","50082","62646","65332","68795","",
"Guinea","GIN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","","500","600","700","800","",
"Gambia, The","GMB","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","36","71","","269","300","300","350","437","500","438","",
"Guinea-Bissau","GNB","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","","","0","0","0","",
"Equatorial Guinea","GNQ","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","180","180","180","180","180","1186","1346","1480","3518","",
"Greece","GRC","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","10476","51455","160113","488180","1017475","1506614","1915006","2250410","2462661","2685354","2910074","",
"Grenada","GRD","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","563","","609","3222","5544","7600","8954","12371","14437","14674","16000","18000","",
"Greenland","GRL","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","119","3320","7128","9216","10480","11946","12473","12328","11829","11309","10800","",
"Guatemala","GTM","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","27106","39000","57000","94500","156000","259000","","273742","278805","",
"Guam","GUM","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1750","","","","","","2700","2700","3000","3000","","","3000","",
"Guyana","GUY","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","2000","","2362","5084","6823","11193","20000","29200","36900","",
"High income","HIC","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027788","4107398","15730181","36065180","61037330","89229558.33","125298067","168356942","209041388","240451296","271905321","292575062","311737982","327221796","342829251","354146569","",
"Hong Kong SAR, China","HKG","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","11000","86467","444450","716435","1038995","1267966","1517741","1659098","1796240","1898934","1935485","2022760","2111109","2248918","2228147","2215475","",
"Honduras","HND","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","","1000","57290","61277","68120","",
"Heavily indebted poor countries (HIPC)","HPC","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1635","6968","14322","27478","55140","109205","212466","312174","359260","420083","581480","790656","1177841","",
"Croatia","HRV","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3400","26200","116200","251800","387050","524683","684960","803823","861276","890324","923885","",
"Haiti","HTI","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","","","","","","",
"Hungary","HUN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","3400","31384","111458","264311","411111","651689","1199190","1381824","1681121","1880046","2057818","2208092","2281089","2401145","",
"Indonesia","IDN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","4000","15000","38300","61600","84900","108200","194367","778770","981562","1863821","2280316","2736379","2983000","3251800","",
"Isle of Man","IMN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","50000","82409","140362","235000","1348000","2300000","3130000","5280000","7745710","10990000","13350000","14980000","14540000","",
"Not classified","INX","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","10600","41800","152100","322500","561700","636236","769667","870562","941405","993667","1039624","1121551","",
"Iran, Islamic Rep.","IRN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176","661","16171","18700","","","100000","200000","300000","400000","962250","1772867","3076154","4351202","",
"Iraq","IRQ","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","26","98","54","121","77","","","","",
"Iceland","ISL","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","81","2358","10424","24270","41571","55764","78017","87738","97937","103697","104770","107011","110010","111644","115826","",
"Israel","ISR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","43865","231663","633100","980000","1229626","1421000","1528500","1684000","1723000","1762000","1879029","1937000","1985000","",
"Italy","ITA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","115000","390000","850000","2250000","4724500","6822210","8497422","10122126","11276262","12082148","13061438","13431643","13483000","13600396","",
"Jamaica","JAM","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3235","9000","9000","27000","45000","68243","92768","97323","112201","116685","118269","123046","132537","",
"Jordan","JOR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","409","3177","4996","10424","23551","48622","88818","137148","203472","195784","199888","197095","205532","",
"Japan","JPN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","32000","216000","854655","3835000","9397426","14917165","19557146","23301105","26438867","28303003","30117679","32851570","34091401","34863792","36108452","36664511","",
"Kazakhstan","KAZ","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","998","1997","2996","30500","270370","337300","577200","869600","1193400","1592100","1907300","",
"Kenya","KEN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","5399","17723","17737","3282","8349","4155","42436","42931","57033","",
"Kyrgyz Republic","KGZ","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","139","1907","2292","2762","3115","18927","15298","20931","36960","48114","53346","",
"Cambodia","KHM","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","50","419","780","1000","2900","8450","16594","30000","35666","22000","29734","32648","",
