BugcheckCode,BugcheckCodeDisplayName
281,VIDEO_SCHEDULER_INTERNAL_ERROR
282,EM_INITIALIZATION_FAILURE
283,DRIVER_RETURNED_HOLDING_CANCEL_LOCK
284,ATTEMPTED_WRITE_TO_CM_PROTECTED_STORAGE
285,EVENT_TRACING_FATAL_ERROR
286,TOO_MANY_RECURSIVE_FAULTS
287,INVALID_DRIVER_HANDLE
288,BITLOCKER_FATAL_ERROR
289,DRIVER_VIOLATION
290,WHEA_INTERNAL_ERROR
291,CRYPTO_SELF_TEST_FAILURE
292,WHEA_UNCORRECTABLE_ERROR
293,NMR_INVALID_STATE
294,NETIO_INVALID_POOL_CALLER
295,PAGE_NOT_ZERO
296,WORKER_THREAD_RETURNED_WITH_BAD_IO_PRIORITY
297,WORKER_THREAD_RETURNED_WITH_BAD_PAGING_IO_PRIORITY
298,MUI_NO_VALID_SYSTEM_LANGUAGE
299,FAULTY_HARDWARE_CORRUPTED_PAGE
300,EXFAT_FILE_SYSTEM
301,VOLSNAP_OVERLAPPED_TABLE_ACCESS
302,INVALID_MDL_RANGE
303,VHD_BOOT_INITIALIZATION_FAILED
304,DYNAMIC_ADD_PROCESSOR_MISMATCH
305,INVALID_EXTENDED_PROCESSOR_STATE
306,RESOURCE_OWNER_POINTER_INVALID
307,DPC_WATCHDOG_VIOLATION
308,DRIVE_EXTENDER
309,REGISTRY_FILTER_DRIVER_EXCEPTION
310,VHD_BOOT_HOST_VOLUME_NOT_ENOUGH_SPACE
311,WIN32K_HANDLE_MANAGER
312,GPIO_CONTROLLER_DRIVER_ERROR
313,KERNEL_SECURITY_CHECK_FAILURE
314,KERNEL_MODE_HEAP_CORRUPTION
315,PASSIVE_INTERRUPT_ERROR
316,INVALID_IO_BOOST_STATE
317,CRITICAL_INITIALIZATION_FAILURE
320,STORAGE_DEVICE_ABNORMALITY_DETECTED
321,VIDEO_ENGINE_TIMEOUT_DETECTED
322,VIDEO_TDR_APPLICATION_BLOCKED
323,PROCESSOR_DRIVER_INTERNAL
324,BUGCODE_USB3_DRIVER
325,SECURE_BOOT_VIOLATION
327,ABNORMAL_RESET_DETECTED
329,REFS_FILE_SYSTEM
330,KERNEL_WMI_INTERNAL
331,SOC_SUBSYSTEM_FAILURE
