"_time",MACdm,Source,Destination,"_timediff",killchain
"08/22/2019 08:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 08:00:00","01:00:5e:00:00:fb","224.0.0.251","192.168.110.107",,CommandAndControl
"08/22/2019 08:00:00","33:33:00:00:00:fb","ff02::fb","fe80::647b:6c44:2e89:53bf",,CommandAndControl
"08/22/2019 08:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 09:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 09:30:00","00:0c:29:12:54:4a","192.168.110.115","1.1.1.1",,CommandAndControl
"08/22/2019 09:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 10:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 10:00:00","01:00:5e:00:00:fb","224.0.0.251","192.168.110.107",,CommandAndControl
"08/22/2019 10:00:00","33:33:00:00:00:fb","ff02::fb","fe80::647b:6c44:2e89:53bf",,CommandAndControl
"08/22/2019 10:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 11:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 11:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 12:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 12:00:00","01:00:5e:00:00:fb","224.0.0.251","192.168.110.107",,CommandAndControl
"08/22/2019 12:00:00","33:33:00:00:00:fb","ff02::fb","fe80::647b:6c44:2e89:53bf",,CommandAndControl
"08/22/2019 12:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 13:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 13:30:00","00:0c:29:12:54:4a","192.168.110.115","1.1.1.1",,CommandAndControl
"08/22/2019 13:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 14:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 14:30:00","00:0c:29:12:54:4a","192.168.110.115","1.1.1.1",,CommandAndControl
"08/22/2019 14:30:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/22/2019 15:00:00","00:50:56:ac:76:a5","192.168.110.114","192.168.110.107",,CommandAndControl
"08/27/2019 12:45:00","00:50:56:ac:5b:eb","fe80::3c45:c532:6c1f:f934","ff02::1:3",,CommandAndControl
"08/27/2019 12:45:00","00:50:56:ac:5b:eb","fe80::3c45:c532:6c1f:f934","ff02::fb",,CommandAndControl
"08/27/2019 00:50:56","00:50:56:ac:23:ef","fe80::9c04:8792:7f51:c53","ff02::1:3",,CommandAndControl
"08/27/2019 00:50:56","00:50:56:ac:23:ef","fe80::9c04:8792:7f51:c53","ff02::fb",,CommandAndControl
"08/28/2019 17:00:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::1:3",,CommandAndControl
"08/28/2019 17:00:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::fb",,CommandAndControl
"08/28/2019 17:00:00","00:0c:29:a8:75:98","fe80::9ded:1e13:1b20:b316","ff02::fb",,CommandAndControl
"08/28/2019 17:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::1:3",,CommandAndControl
"08/28/2019 17:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::fb",,CommandAndControl
"08/28/2019 17:30:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::1:3",,CommandAndControl
"08/28/2019 17:30:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::fb",,CommandAndControl
"08/28/2019 17:30:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::1:3",,CommandAndControl
"08/28/2019 17:30:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::fb",,CommandAndControl
"08/28/2019 17:30:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::1:3",,CommandAndControl
"08/28/2019 17:30:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::fb",,CommandAndControl
"08/28/2019 18:30:00","00:0c:29:05:00:e7","fe80::1567:6ebc:260b:92da","ff02::1:3",,CommandAndControl
"08/28/2019 19:00:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::1:3",,CommandAndControl
"08/28/2019 19:00:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::fb",,CommandAndControl
"08/28/2019 19:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::1:3",,CommandAndControl
"08/28/2019 19:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::fb",,CommandAndControl
"08/28/2019 20:00:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::1:3",,CommandAndControl
"08/28/2019 20:00:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::fb",,CommandAndControl
"08/28/2019 20:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::1:3",,CommandAndControl
"08/28/2019 20:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::fb",,CommandAndControl
"08/28/2019 20:30:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::1:3",,CommandAndControl
"08/28/2019 20:30:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::fb",,CommandAndControl
"08/28/2019 20:30:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::1:3",,CommandAndControl
"08/28/2019 20:30:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::fb",,CommandAndControl
"08/28/2019 20:30:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::1:3",,CommandAndControl
"08/28/2019 20:30:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::fb",,CommandAndControl
"08/28/2019 21:30:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::1:3",,CommandAndControl
"08/28/2019 21:30:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::fb",,CommandAndControl
"08/28/2019 21:30:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::1:3",,CommandAndControl
"08/28/2019 21:30:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::fb",,CommandAndControl
"08/28/2019 22:00:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::1:3",,CommandAndControl
"08/28/2019 22:00:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::fb",,CommandAndControl
"08/28/2019 22:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::1:3",,CommandAndControl
"08/28/2019 22:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::fb",,CommandAndControl
"08/28/2019 23:00:00","00:0c:29:05:00:e7","fe80::1567:6ebc:260b:92da","ff02::1:3",,CommandAndControl
"08/28/2019 23:00:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::1:3",,CommandAndControl
"08/28/2019 23:00:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::fb",,CommandAndControl
"08/28/2019 23:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::1:3",,CommandAndControl
"08/28/2019 23:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::fb",,CommandAndControl
"08/29/2019 00:00:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::1:3",,CommandAndControl
"08/29/2019 00:00:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::fb",,CommandAndControl
"08/29/2019 00:00:00","00:0c:29:a8:75:98","fe80::9ded:1e13:1b20:b316","ff02::fb",,CommandAndControl
"08/29/2019 00:00:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::1:3",,CommandAndControl
"08/29/2019 00:00:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::fb",,CommandAndControl
"08/29/2019 00:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::1:3",,CommandAndControl
"08/29/2019 00:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::fb",,CommandAndControl
"08/29/2019 00:30:00","00:0c:29:a8:75:98","fe80::9ded:1e13:1b20:b316","ff02::fb",,CommandAndControl
"08/29/2019 00:30:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::1:3",,CommandAndControl
"08/29/2019 00:30:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::fb",,CommandAndControl
"08/29/2019 00:30:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::1:3",,CommandAndControl
"08/29/2019 00:30:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::fb",,CommandAndControl
"08/29/2019 01:30:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::1:3",,CommandAndControl
"08/29/2019 01:30:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::fb",,CommandAndControl
"08/29/2019 02:00:00","00:0c:29:a8:75:98","fe80::9ded:1e13:1b20:b316","ff02::fb",,CommandAndControl
"08/29/2019 03:00:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::1:3",,CommandAndControl
"08/29/2019 03:00:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::fb",,CommandAndControl
"08/29/2019 03:00:00","00:0c:29:a8:75:98","fe80::9ded:1e13:1b20:b316","ff02::fb",,CommandAndControl
"08/29/2019 03:00:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::1:3",,CommandAndControl
"08/29/2019 03:00:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::fb",,CommandAndControl
"08/29/2019 03:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::1:3",,CommandAndControl
"08/29/2019 03:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::fb",,CommandAndControl
"08/29/2019 03:30:00","00:0c:29:05:00:e7","fe80::1567:6ebc:260b:92da","ff02::1:3",,CommandAndControl
"08/29/2019 04:00:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::1:3",,CommandAndControl
"08/29/2019 04:00:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::fb",,CommandAndControl
"08/29/2019 04:00:00","00:0c:29:a8:75:98","fe80::9ded:1e13:1b20:b316","ff02::fb",,CommandAndControl
"08/29/2019 05:00:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::1:3",,CommandAndControl
"08/29/2019 05:00:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::fb",,CommandAndControl
"08/29/2019 05:00:00","00:0c:29:a8:75:98","fe80::9ded:1e13:1b20:b316","ff02::fb",,CommandAndControl
"08/29/2019 05:30:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::1:3",,CommandAndControl
"08/29/2019 05:30:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::fb",,CommandAndControl
"08/29/2019 05:30:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::1:3",,CommandAndControl
"08/29/2019 05:30:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::fb",,CommandAndControl
"08/29/2019 07:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::1:3",,CommandAndControl
"08/29/2019 07:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::fb",,CommandAndControl
"08/29/2019 08:00:00","00:0c:29:05:00:e7","fe80::1567:6ebc:260b:92da","ff02::1:3",,CommandAndControl
"08/29/2019 08:00:00","00:0c:29:a8:75:98","fe80::9ded:1e13:1b20:b316","ff02::fb",,CommandAndControl
"08/29/2019 08:00:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::1:3",,CommandAndControl
"08/29/2019 08:00:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::fb",,CommandAndControl
"08/29/2019 08:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::1:3",,CommandAndControl
"08/29/2019 08:00:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::fb",,CommandAndControl
"08/29/2019 09:00:00","00:0c:29:a8:75:98","fe80::9ded:1e13:1b20:b316","ff02::fb",,CommandAndControl
"08/29/2019 11:30:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::1:3",,CommandAndControl
"08/29/2019 11:30:00","00:50:56:ac:4d:ce","fe80::1d0c:5285:8d19:7b7c","ff02::fb",,CommandAndControl
"08/29/2019 11:30:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::1:3",,CommandAndControl
"08/29/2019 11:30:00","00:50:56:ac:8a:6b","fe80::31a9:7d4f:19f3:3f4c","ff02::fb",,CommandAndControl
"08/29/2019 12:00:00","00:0c:29:a8:75:98","fe80::9ded:1e13:1b20:b316","ff02::fb",,CommandAndControl
"08/29/2019 12:30:00","00:0c:29:05:00:e7","fe80::1567:6ebc:260b:92da","ff02::1:3",,CommandAndControl
"08/29/2019 13:00:00","00:0c:29:05:00:e7","fe80::1567:6ebc:260b:92da","ff02::1:3",,CommandAndControl
"08/29/2019 13:00:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::1:3",,CommandAndControl
"08/29/2019 13:00:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::fb",,CommandAndControl
"08/29/2019 13:00:00","00:0c:29:a8:75:98","fe80::9ded:1e13:1b20:b316","ff02::fb",,CommandAndControl
"08/29/2019 13:30:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::1:3",,CommandAndControl
"08/29/2019 13:30:00","00:0c:29:37:92:b7","fe80::ac72:aca1:b50f:e53e","ff02::fb",,CommandAndControl
"09/17/2019 03:00:00",null,null,null,,CommandAndControl
"09/30/2019 13:00:00","00:0c:29:f3:54:2f","fe80::7c4d:f8d7:91b8:fb8f","ff02::fb",,CommandAndControl
"09/30/2019 13:00:00","00:50:56:ac:25:6d","fe80::cd6d:e825:3a65:9d5f","ff02::fb",,CommandAndControl
"09/30/2019 13:30:00","00:0c:29:f3:54:2f","fe80::7c4d:f8d7:91b8:fb8f","ff02::fb",,CommandAndControl
"09/30/2019 14:00:00","00:0c:29:f3:54:2f","fe80::7c4d:f8d7:91b8:fb8f","ff02::fb",,CommandAndControl
"09/30/2019 14:00:00","00:50:56:ac:25:6d","fe80::cd6d:e825:3a65:9d5f","ff02::fb",,CommandAndControl
"09/30/2019 14:30:00","00:0c:29:f3:54:2f","fe80::7c4d:f8d7:91b8:fb8f","ff02::fb",,CommandAndControl
"09/30/2019 15:00:00","00:0c:29:f3:54:2f","fe80::7c4d:f8d7:91b8:fb8f","ff02::fb",,CommandAndControl
"09/30/2019 15:00:00","00:50:56:ac:25:6d","fe80::cd6d:e825:3a65:9d5f","ff02::fb",,CommandAndControl
"09/30/2019 15:30:00","00:0c:29:a8:75:84","fe80::7b9:86e1:4ef5:283b","ff02::fb",,CommandAndControl
"09/30/2019 15:30:00","00:0c:29:f3:54:2f","fe80::7c4d:f8d7:91b8:fb8f","ff02::fb",,CommandAndControl
"09/30/2019 16:00:00","00:0c:29:20:42:21","fe80::133c:3d13:4562:495c","ff02::fb",,CommandAndControl
"09/30/2019 16:00:00","00:0c:29:a8:75:84","fe80::7b9:86e1:4ef5:283b","ff02::fb",,CommandAndControl
"09/30/2019 16:00:00","00:0c:29:f3:54:2f","fe80::7c4d:f8d7:91b8:fb8f","ff02::fb",,CommandAndControl
"09/30/2019 16:00:00","00:50:56:ac:25:6d","fe80::cd6d:e825:3a65:9d5f","ff02::fb",,CommandAndControl
"09/30/2019 17:00:00","00:0c:29:20:42:21","fe80::133c:3d13:4562:495c","ff02::fb",,CommandAndControl
"09/30/2019 17:00:00","00:50:56:ac:25:6d","fe80::cd6d:e825:3a65:9d5f","ff02::fb",,CommandAndControl
"09/30/2019 17:30:00","40:16:7e:f4:82:50","74.63.28.242","192.168.1.138",,CommandAndControl
"09/30/2019 17:30:00","40:16:7e:f4:82:50","74.63.28.242","192.168.109.55",,CommandAndControl
"09/30/2019 17:30:00","40:16:7e:f4:82:50","74.63.28.243","192.168.1.138",,CommandAndControl
"09/30/2019 17:30:00","40:16:7e:f4:82:50","74.63.28.243","192.168.109.55",,CommandAndControl
"09/30/2019 17:30:00","40:16:7e:f4:82:50","74.63.28.244","192.168.1.138",,CommandAndControl
"09/30/2019 17:30:00","40:16:7e:f4:82:50","74.63.28.244","192.168.109.55",,CommandAndControl
"09/30/2019 17:30:00","40:16:7e:f4:82:50","74.63.28.246","192.168.1.138",,CommandAndControl
"09/30/2019 17:30:00","40:16:7e:f4:82:50","74.63.28.246","192.168.109.55",,CommandAndControl
"09/30/2019 17:30:00","40:16:7e:f4:82:50","74.63.28.247","192.168.1.138",,CommandAndControl
"09/30/2019 17:30:00","40:16:7e:f4:82:50","74.63.28.247","192.168.109.55",,CommandAndControl
"09/30/2019 17:30:00","40:16:7e:f4:82:50","74.63.28.248","192.168.1.138",,CommandAndControl
"09/30/2019 17:30:00","40:16:7e:f4:82:50","74.63.28.250","192.168.1.138",,CommandAndControl
"09/30/2019 17:30:00","40:16:7e:f4:82:50","74.63.28.250","192.168.109.55",,CommandAndControl
"09/30/2019 18:00:00","00:0c:29:20:42:21","fe80::133c:3d13:4562:495c","ff02::fb",,CommandAndControl
"09/30/2019 18:00:00","40:16:7e:f4:82:50","74.63.28.242","192.168.1.138",,CommandAndControl
"09/30/2019 18:00:00","40:16:7e:f4:82:50","74.63.28.242","192.168.109.55",,CommandAndControl
"09/30/2019 18:00:00","40:16:7e:f4:82:50","74.63.28.243","192.168.1.138",,CommandAndControl
"09/30/2019 18:00:00","40:16:7e:f4:82:50","74.63.28.243","192.168.109.55",,CommandAndControl
"09/30/2019 18:00:00","40:16:7e:f4:82:50","74.63.28.244","192.168.1.138",,CommandAndControl
"09/30/2019 18:00:00","40:16:7e:f4:82:50","74.63.28.244","192.168.109.55",,CommandAndControl
"09/30/2019 18:00:00","40:16:7e:f4:82:50","74.63.28.246","192.168.1.138",,CommandAndControl
"09/30/2019 18:00:00","40:16:7e:f4:82:50","74.63.28.246","192.168.109.55",,CommandAndControl
"09/30/2019 18:00:00","40:16:7e:f4:82:50","74.63.28.247","192.168.1.138",,CommandAndControl
"09/30/2019 18:00:00","40:16:7e:f4:82:50","74.63.28.247","192.168.109.55",,CommandAndControl
"09/30/2019 18:00:00","40:16:7e:f4:82:50","74.63.28.248","192.168.1.138",,CommandAndControl
"09/30/2019 18:00:00","40:16:7e:f4:82:50","74.63.28.250","192.168.1.138",,CommandAndControl
"09/30/2019 18:00:00","40:16:7e:f4:82:50","74.63.28.250","192.168.109.55",,CommandAndControl
"09/30/2019 18:30:00","00:0c:29:f3:54:2f","fe80::7c4d:f8d7:91b8:fb8f","ff02::fb",,CommandAndControl
"09/30/2019 18:30:00","40:16:7e:f4:82:50","74.63.28.242","192.168.1.138",,CommandAndControl
