assessment_objective,assessment_objective_id,assessment_objective_letter,control,control_ace,control_ccm,control_cmmc_level,control_dod_weight,control_evidence_found,control_family,control_group,control_operator,control_owner,control_prereq_met,control_review_due,control_review_message,control_review_overdue,control_review_status,control_review_time,control_status,control_supercedes_until,control_update_message,control_update_time,cui_system_id,cui_system_name,cui_system_splunk_id,status_type
nonsecurity functions are identified.,3.1.6[a],a,AC.L2-3.1.6,FALSE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
users are required to use non-privileged accounts or roles when accessing nonsecurity functions.,3.1.6[b],b,AC.L2-3.1.6,TRUE,TRUE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
privileged functions are defined.,3.1.7[a],a,AC.L2-3.1.7,FALSE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
non-privileged users are defined.,3.1.7[b],b,AC.L2-3.1.7,FALSE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
non-privileged users are prevented from executing privileged functions.,3.1.7[c],c,AC.L2-3.1.7,TRUE,TRUE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the execution of privileged functions is captured in audit logs.,3.1.7[d],d,AC.L2-3.1.7,TRUE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the means of limiting unsuccessful logon attempts is defined.,3.1.8[a],a,AC.L2-3.1.8,FALSE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the defined means of limiting unsuccessful logon attempts is implemented.,3.1.8[b],b,AC.L2-3.1.8,TRUE,TRUE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
privacy and security notices required by CUI-specified rules are identified,3.1.9[a],a,AC.L2-3.1.9,FALSE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
privacy and security notices are displayed.,3.1.9[b],b,AC.L2-3.1.9,TRUE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the period of inactivity after which the system initiates a session lock is defined.,3.1.10[a],a,AC.L2-3.1.10,TRUE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
access to the system and viewing of data is prevented by initiating a session lock after the defined period of inactivity.,3.1.10[b],b,AC.L2-3.1.10,TRUE,TRUE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
previously visible information is concealed via a pattern-hiding display after the defined period of inactivity.,3.1.10[c],c,AC.L2-3.1.10,FALSE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
conditions requiring a user session to terminate are defined.,3.1.11[a],a,AC.L2-3.1.11,TRUE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
a user session is automatically terminated after any of the defined conditions occur.,3.1.11[b],b,AC.L2-3.1.11,TRUE,TRUE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
remote access sessions are permitted.,3.1.12[a],a,AC.L2-3.1.12,TRUE,TRUE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the types of permitted remote access are identified.,3.1.12[b],b,AC.L2-3.1.12,TRUE,FALSE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
remote access sessions are controlled.,3.1.12[c],c,AC.L2-3.1.12,TRUE,FALSE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
remote access sessions are monitored.,3.1.12[d],d,AC.L2-3.1.12,TRUE,FALSE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
cryptographic mechanisms to protect the confidentiality of remote access sessions are identified.,3.1.13[a],a,AC.L2-3.1.13,FALSE,FALSE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
cryptographic mechanisms to protect the confidentiality of remote access sessions are implemented.,3.1.13[b],b,AC.L2-3.1.13,TRUE,TRUE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
managed access control points are identified and implemented.,3.1.14[a],a,AC.L2-3.1.14,TRUE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
remote access is routed through managed network access control points.,3.1.14[b],b,AC.L2-3.1.14,TRUE,TRUE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
privileged commands authorized for remote execution are identified.,3.1.15[a],a,AC.L2-3.1.15,TRUE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
security-relevant information authorized to be accessed remotely is identified.,3.1.15[b],b,AC.L2-3.1.15,FALSE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the execution of the identified privileged commands via remote access is authorized.,3.1.15[c],c,AC.L2-3.1.15,TRUE,TRUE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
access to the identified security-relevant information via remote access is authorized.,3.1.15[d],d,AC.L2-3.1.15,TRUE,TRUE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
wireless access points are identified.,3.1.16[a],a,AC.L2-3.1.16,TRUE,FALSE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
wireless access is authorized prior to allowing such connections.,3.1.16[b],b,AC.L2-3.1.16,TRUE,TRUE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
wireless access to the system is protected using authentication.,3.1.17[a],a,AC.L2-3.1.17,TRUE,TRUE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
wireless access to the system is protected using encryption.,3.1.17[b],b,AC.L2-3.1.17,TRUE,TRUE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
mobile devices that process,3.1.18[a],a,AC.L2-3.1.18,TRUE,FALSE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
mobile device connections are authorized.,3.1.18[b],b,AC.L2-3.1.18,TRUE,TRUE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
mobile device connections are monitored and logged.,3.1.18[c],c,AC.L2-3.1.18,FALSE,FALSE,2,5,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
mobile devices and mobile computing platforms that process,3.1.19[a],a,AC.L2-3.1.19,TRUE,FALSE,2,3,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
encryption is employed to protect CUI on identified mobile devices and mobile computing platforms.,3.1.19[b],b,AC.L2-3.1.19,TRUE,FALSE,2,3,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
connections to external systems are identified.,3.1.20[a],a,AC.L1-3.1.20,FALSE,FALSE,1,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
the use of external systems is identified.,3.1.20[b],b,AC.L1-3.1.20,FALSE,FALSE,1,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
connections to external systems are verified.,3.1.20[c],c,AC.L1-3.1.20,TRUE,TRUE,1,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
the use of external systems is verified.,3.1.20[d],d,AC.L1-3.1.20,TRUE,TRUE,1,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
connections to external systems are controlled/limited.,3.1.20[e],e,AC.L1-3.1.20,TRUE,TRUE,1,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
the use of external systems is controlled/limited.,3.1.20[f],f,AC.L1-3.1.20,TRUE,TRUE,1,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
the use of portable storage devices containing CUI on external systems is identified and documented.,3.1.21[a],a,AC.L2-3.1.21,FALSE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
limits on the use of portable storage devices containing CUI on external systems are defined.,3.1.21[b],b,AC.L2-3.1.21,FALSE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the use of portable storage devices containing CUI on external systems is limited as defined.,3.1.21[c],c,AC.L2-3.1.21,FALSE,FALSE,2,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
individuals authorized to post or process information on publicly accessible systems are identified.,3.1.22[a],a,AC.L1-3.1.22,FALSE,FALSE,1,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
procedures to ensure CUI is not posted or processed on publicly accessible systems are identified.,3.1.22[b],b,AC.L1-3.1.22,FALSE,FALSE,1,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
a review process is in place prior to posting of any content to publicly accessible systems.,3.1.22[c],c,AC.L1-3.1.22,FALSE,FALSE,1,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
content on publicly accessible systems is reviewed to ensure that it does not include CUI.,3.1.22[d],d,AC.L1-3.1.22,FALSE,FALSE,1,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
mechanisms are in place to remove and address improper posting of CUI.,3.1.22[e],e,AC.L1-3.1.22,FALSE,FALSE,1,1,0,CMMC ML 1,Access Control (AC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
security risks associated with organizational activities involving CUI are identified.,3.2.1[a],a,AT.L2-3.2.1,FALSE,FALSE,2,5,0,CMMC ML 1,Awareness and Training (AT),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
policies,3.2.1[b],b,AT.L2-3.2.1,FALSE,FALSE,2,5,0,CMMC ML 1,Awareness and Training (AT),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
managers,3.2.1[c],c,AT.L2-3.2.1,TRUE,FALSE,2,5,0,CMMC ML 1,Awareness and Training (AT),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
managers,3.2.1[d],d,AT.L2-3.2.1,TRUE,FALSE,2,5,0,CMMC ML 1,Awareness and Training (AT),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
information security-related duties,3.2.2[a],a,AT.L2-3.2.2,FALSE,FALSE,2,5,0,CMMC ML 1,Awareness and Training (AT),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
information security-related duties,3.2.2[b],b,AT.L2-3.2.2,FALSE,FALSE,2,5,0,CMMC ML 1,Awareness and Training (AT),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
personnel are adequately trained to carry out their assigned information security-related duties,3.2.2[c],c,AT.L2-3.2.2,TRUE,FALSE,2,5,0,CMMC ML 1,Awareness and Training (AT),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
potential indicators associated with insider threats are identified.,3.2.3[a],a,AT.L2-3.2.3,FALSE,FALSE,2,1,0,CMMC ML 1,Awareness and Training (AT),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
security awareness training on recognizing and reporting potential indicators of insider threat is provided to managers and employees.,3.2.3[b],b,AT.L2-3.2.3,TRUE,TRUE,2,1,0,CMMC ML 1,Awareness and Training (AT),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
audit logs needed (i.e.,3.3.1[a],a,AU.L2-3.3.1,FALSE,FALSE,2,5,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
the content of audit records needed to support monitoring,3.3.1[b],b,AU.L2-3.3.1,FALSE,FALSE,2,5,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
audit records are created (generated).,3.3.1[c],c,AU.L2-3.3.1,FALSE,FALSE,2,5,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
audit records,3.3.1[d],d,AU.L2-3.3.1,FALSE,FALSE,2,5,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
retention requirements for audit records are defined.,3.3.1[e],e,AU.L2-3.3.1,FALSE,FALSE,2,5,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
audit records are retained as defined.,3.3.1[f],f,AU.L2-3.3.1,TRUE,TRUE,2,5,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
the content of the audit records needed to support the ability to uniquely trace users to their actions is defined.,3.3.2[a],a,AU.L2-3.3.2,FALSE,FALSE,2,3,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
audit records,3.3.2[b],b,AU.L2-3.3.2,TRUE,FALSE,2,3,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
a process for determining when to review logged events is defined.,3.3.3[a],a,AU.L2-3.3.3,FALSE,FALSE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
event types being logged are reviewed in accordance with the defined review process.,3.3.3[b],b,AU.L2-3.3.3,FALSE,FALSE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
event types being logged are updated based on the review.,3.3.3[c],c,AU.L2-3.3.3,FALSE,FALSE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
personnel or roles to be alerted in the event of an audit logging process failure are identified.,3.3.4[a],a,AU.L2-3.3.4,FALSE,FALSE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
types of audit logging process failures for which alert will be generated are defined.,3.3.4[b],b,AU.L2-3.3.4,FALSE,FALSE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
identified personnel or roles are alerted in the event of an audit logging process failure.,3.3.4[c],c,AU.L2-3.3.4,TRUE,TRUE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
audit record review,3.3.5[a],a,AU.L2-3.3.5,FALSE,FALSE,2,5,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
defined audit record review,3.3.5[b],b,AU.L2-3.3.5,TRUE,FALSE,2,5,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
an audit record reduction capability that supports on-demand analysis is provided.,3.3.6[a],a,AU.L2-3.3.6,FALSE,FALSE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
a report generation capability that supports on-demand reporting is provided.,3.3.6[b],b,AU.L2-3.3.6,FALSE,FALSE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
internal system clocks are used to generate time stamps for audit records.,3.3.7[a],a,AU.L2-3.3.7,FALSE,FALSE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
an authoritative source with which to compare and synchronize internal system clocks is specified.,3.3.7[b],b,AU.L2-3.3.7,FALSE,FALSE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
internal system clocks used to generate time stamps for audit records are compared to and synchronized with the specified authoritative time source.,3.3.7[c],c,AU.L2-3.3.7,TRUE,TRUE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
audit information is protected from unauthorized access.,3.3.8[a],a,AU.L2-3.3.8,FALSE,FALSE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
audit information is protected from unauthorized modification.,3.3.8[b],b,AU.L2-3.3.8,FALSE,FALSE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
audit information is protected from unauthorized deletion.,3.3.8[c],c,AU.L2-3.3.8,FALSE,FALSE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
audit logging tools are protected from unauthorized access.,3.3.8[d],d,AU.L2-3.3.8,TRUE,TRUE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
audit logging tools are protected from unauthorized modification.,3.3.8[e],e,AU.L2-3.3.8,TRUE,TRUE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
