note,process_name,prohibited_process
,Lnl.OG.EventContextProviderService.exe,FALSE
,Lnl.OG.LsOpenAccess.exe,FALSE
,Lnl.OG.WebEventBridgeService.exe,FALSE
,Lnlcomsrvr.exe,FALSE
,LnsMtsSvc.exe,FALSE
,Loader.exe,FALSE
,LocationService.exe,FALSE
,LogCollectorService.exe,FALSE
,LogSenderAgent.exe,FALSE
,LogViewer.exe,FALSE
,LoggerService.exe,FALSE
,LoggingServices.exe,FALSE
,LoggingWindowsService.exe,FALSE
,LoginDotNet.exe,FALSE
,LogonUI.exe,FALSE
,LomondMessaging.exe,FALSE
,LpsSearchSvc.exe,FALSE
,Lua.exe,FALSE
,MAGIC.EXE,FALSE
,MAGICSERVICE.EXE,FALSE
,MAGICTCPIP.EXE,FALSE
,MASvcMgr_64.EXE,FALSE
,MBF64.exe,FALSE
,MCCost.exe,FALSE
,MCDataColl.exe,FALSE
,MCMonitor.exe,FALSE
,MDMM.exe,FALSE
,MFAppPlatform.exe,FALSE
,MFClient.exe,FALSE
,MFDataExport.exe,FALSE
,MFIndexer.exe,FALSE
,MFIndexingManager.exe,FALSE
,MFServer.exe,FALSE
,MFServerAux.exe,FALSE
,MFSetup.exe,FALSE
,MFWOPIService_win_x64.exe,FALSE
,MIDMZHelper.exe,FALSE
,MIDMZSSHSrv.exe,FALSE
,MIFTPSrv.exe,FALSE
,MIMadmin64.exe,FALSE
,MIMpacsServer64.exe,FALSE
,MISInterface.exe,FALSE
,MJMulPrc_32.EXE,FALSE
,MJMulPrc_64.EXE,FALSE
,MJRefSvr_64.EXE,FALSE
