ID,Event Name,Type,Event Group,Severity,Default Severity
36024,Backup Task for Application Backup Policy Finished,Veeam Backup & Replication,Monitoring,none,none
36026,Log Backup Job for Application Backup Policy Finished,Veeam Backup & Replication,Monitoring,none,none
40201,Multi-Factor Authentication Disabled,Veeam Backup & Replication,Security,critical,critical
40202,Multi-Factor Authentication Token Revoked,Veeam Backup & Replication,Security,medium,medium
40204,Multi-Factor Authentication for User Disabled,Veeam Backup & Replication,Security,critical,critical
40205,Invalid Code for Multi-Factor Authentication Entered,Veeam Backup & Replication,Security,high,high
40206,Allowed Attempts for Multi-Factor Authentication Exceeded,Veeam Backup & Replication,Security,critical,critical
40290,Restore Session Finished,Veeam Backup & Replication,Monitoring,none,none
40400,Global VM Exclusions Added,Veeam Backup & Replication,Security,high,high
40500,Global VM Exclusions Deleted,Veeam Backup & Replication,Security,medium,medium
40600,Global VM Exclusions Changed,Veeam Backup & Replication,Security,high,high
40700,Configuration Backup Job Finished,Veeam Backup & Replication,Monitoring,none,none
40800,Configuration Restore Session Finished,Veeam Backup & Replication,Monitoring,none,none
41200,Detaching Backups Started,Veeam Backup & Replication,Security,information,information
41401,Storage Settings Updated,Veeam Backup & Replication,Security,information,information
41402,Storage Deleted,Veeam Backup & Replication,Security,critical,critical
41600,Malware Activity Detected,Veeam Backup & Replication,Security,critical,critical
41610,Object Marked as Clean,Veeam Backup & Replication,Security,information,information
41800,Attempt to Delete Backup Failed,Veeam Backup & Replication,Security,critical,critical
41810,Attempt to Update Security Object Failed,Veeam Backup & Replication,Security,critical,critical
42210,Malware Detection Session Finished,Veeam Backup & Replication,Security,information,information
42220,Restore Point Marked as Infected,Veeam Backup & Replication,Security,critical,critical
42230,Restore Point Marked as Clean,Veeam Backup & Replication,Security,information,information
42260,Objects Added to Malware Detection Exclusions,Veeam Backup & Replication,Security,high,high
42270,Objects Deleted from Malware Detection Exclusions,Veeam Backup & Replication,Security,information,information
42280,Malware Detection Exclusions List Updated,Veeam Backup & Replication,Security,high,high
42290,Malware Detection Settings Updated,Veeam Backup & Replication,Security,high,high
42301,KMS Server Deleted,Veeam Backup & Replication,Security,critical,critical
42302,KMS Server Settings Updated,Veeam Backup & Replication,Security,high,high
42401,Four-Eyes Authorization Disabled,Veeam Backup & Replication,Security,critical,critical
42402,Four-Eyes Authorization Request Created,Veeam Backup & Replication,Security,critical,critical
42403,Four-Eyes Authorization Request Approved,Veeam Backup & Replication,Monitoring,none,none
42404,Four-Eyes Authorization Request Rejected,Veeam Backup & Replication,Security,information,information
42405,Four-Eyes Authorization Request Expired,Veeam Backup & Replication,Security,high,high
42500,KMS Key Rotation Job Finished,Veeam Backup & Replication,Security,information,information
