id,title,enabled,type,definition,solution
CHKOVR0017,Detection has Default Values Set,1,overview,"count(eval((isnotnull('action.notable.param.default_disposition') AND NOT 'action.notable.param.default_disposition' IN ("""", ""[]"")) OR (isnotnull('action.notable.param.default_owner') AND NOT 'action.notable.param.default_owner' IN ("""", ""[]"")) OR (isnotnull('action.notable.param.default_status') AND NOT 'action.notable.param.default_status' IN ("""", ""[]"")))) as ""Detection has Default Values Set""","This check simply reports detections with a default value set for either Disposition, Owner or Status."
CHKOVR0018,"Detection has Filter Values (ESCU, macro-based)",1,overview,"count(eval(isnotnull(filter_macro) AND NOT match(""(?i)search \*"", filter_macro_definition))) as ""Detection has Filter Values (ESCU, macro-based)""","This check simply reports detections with a default value set for either Disposition, Owner or Status."
CHKOVR0019,"Detection has a Data Source Defined",1,overview,"count(eval(isnotnull(data_source))) as ""Detection has a Data Source Defined""","This check is based on mapping the associated Data Source in an unmanaged annotation named """"data_source""""."
CHKSCH0001,Does not permit use of allow_skew,1,scheduling,"if(allow_skew = ""0"", ""Does not permit use of allow_skew"", """")",Consider setting a non-zero allow_skew value for your rule.  See https://www.splunk.com/en_us/blog/platform/schedule-windows-vs-skewing.html for details.
CHKSCH0002,Enabled but not Scheduled,1,scheduling,"if(disabled=0 AND is_scheduled = 0, ""Enabled but not Scheduled"", """")",This does not typically happen from the UI.  Fix the rule configuration and investigate how this happened (REST via a script? Configuration file changed incorrectly?).
CHKSCH0003,Part of overused CRON Schedule,1,scheduling,"if(percent > `max_search_grouping_percentage`, ""Part of a CRON schedule that has a high percentage of total searches ("" + percent + ""%)"", """")",Reconfigure your rules to spread them out more evenly across time.  Use the Scheduling Tab in this app to help.
CHKSCH0004,Real-time Scheduling,1,scheduling,"if(search_type = ""real-time"", ""Real-time Scheduling"", """")",This is a performance-intensive scheduling mode. Consider using historical search to improve performance.
CHKSCH0005,Scheduled Window not Auto,1,scheduling,"if(schedule_window = ""0"", ""Scheduled Window not Auto"", """")","Consider setting the rule schedule_window value to ""auto"" to improve scheduling performance.  See https://www.splunk.com/en_us/blog/platform/schedule-windows-vs-skewing.html for details."
CHKSCH0006,High Skip Ratio,1,scheduling,"if((skipped/invocations * 100) > `skipped_alert_threshold`,""High Skip Ratio"","""")","This detection has a higher skip ratio than defined in macro ""skipped_alert_threshold"" (30% by default).  See https://lantern.splunk.com/Splunk_Platform/Product_Tips/Searching_and_Reporting/Reducing_skipped_searches."
CHKDET0001,Data Model with Errors,1,detection,"if(isnotnull(datamodel) AND last_error!="""", ""Uses a data model with recent acceleration errors ("" + datamodel + "")"", """")","Look at the ""Settings > Data models"" page or the ""Audit > Data Model Audit"" Enterprise Security Dashboard to figure out what the error is and how it can be corrected."
CHKDET0002,Deprecated Data Model,1,detection,"if(isnotnull(datamodel) AND (datamodel == ""Application_State"" OR datamodel == ""Change_Analysis""), ""Uses a deprecated data model ("" + datamodel + "")"", """")",Look for guidance on using what replaced the deprecated Data Model in the documentation located at: https://docs.splunk.com/Documentation/CIM/latest/User/Howtousethesereferencetables. Modify your rule logic to stop using the deprecated model and look into moving any data to the preferred model.
CHKDET0003,Description Missing,1,detection,"if(description=="""", ""Detection should have a description"", """")",Set a description for your rule as part of its configuration in ES.
CHKDET0004,Empty Data Model,1,detection,"if(isnotnull(datamodel) AND size==0, ""Uses an empty data model ("" + datamodel + "")"", """")",Make sure to ingest the relevant data into the referenced Data Model.
CHKDET0005,RBA - Generates Zero Risk,1,detection,"if(match(actions, ""risk"") AND risk_score == 0, ""RBA - Generates Zero Risk"", """")","A Risk Rule should likely have a non-zero Risk Score, unless you're relying on Risk Factors to adapt the score dynamically or want to simply be notified of actions taken without impacting risk.  Change the Risk Score in the rule's Risk Analysis Adaptive Response configuration."
CHKDET0006,Missing ML Model,1,detection,"if(isnotnull(model_name) AND model_exists == 0, ""Uses missing machine-learning model ("" + model_name + "")"", """")","This rule is configured to use a Machine Learning Model that has not been trained or configured properly.  Have a look at the ""Audit > Machine Learning Audit"" dashboard in Enterprise Security and/or refer to the documentation to fix the issue: https://docs.splunk.com/Documentation/ES/latest/Admin/MLTKoverview "
CHKDET0007,No Actions Defined,1,detection,"if(actions==""<none>"", ""Has no actions defined"", """")",Define at least one Adaptive Response Action for your rule (typically Risk Analysis or Create Notable).  See https://docs.splunk.com/Documentation/ES/latest/Admin/Setupadaptiveresponse or details.
CHKDET0008,No Security Domain,1,detection,"if(Domain == ""<none>"", ""Not mapped to a Security Domain"", """")",Configure your rule to have a Security Domain.
CHKDET0009,Non-accelerated Data Model,1,detection,"if(isnotnull(datamodel) AND accelerated==""false"", ""Uses a non-accelerated data model ("" + datamodel + "")"", """")",Accelerate the Data Model used by the rule as relevant.
CHKDET0010,Not as per Naming Convention,0,detection,"if(not match('action.correlationsearch.label', ""^ESCU\s-\s.*""), ""Not as per Naming Convention"", """")",Change your rule name to match the defined naming convention.
CHKDET0011,Not Mapped to MITRE,1,detection,"if(isnull(Technique) OR Technique == """", ""Not mapped to MITRE ATT&CK"", """")",Configure one or more MITRE Technique(s) for your rule.  See https://docs.splunk.com/Documentation/ES/latest/Admin/Configurecorrelationsearches#Use_security_framework_annotations_in_correlation_searches for details.
CHKDET0012,Owner no longer a User,1,detection,"if(orphan == 1, ""Correlation Search Owner no longer a Splunk user"", """")",Reassign the orphaned rule to an existing user.  See https://docs.splunk.com/Documentation/SplunkCloud/latest/Knowledge/Resolveorphanedsearches for details.
CHKDET0013,RBA - Significant Risk Score Deviation,1,detection,"if(risk_score > 0 AND (risk_score_dev >= 10 OR risk_score_dev <= 0.1), ""RBA - Significant Risk Score Deviation"", """")",Make sure the assigned Risk Score is correct.
CHKDET0014,Application Context is not as expected,1,detection,"if('Provided By'==""Other"", ""App context should be corrected"", """")",Move and/or reconfigure the rule to be in the proper Application Context. Adapt the get_provided_by macro to list your organization app for detections.
CHKDET0015,Trigger alert when not set to: Number of Results,1,detection,"if(not (alert_type==""number of events"" AND triggered_alert_count>=0), ""Trigger alert when should be set to: Number of Results"", """")",Rule typically should be set to alert when the number of results is greater than 0.  Review the rule trigger configuration to ensure it's correct.
CHKDET0016,Trigger is not set to: For Each Result,1,detection,"if(not (isnotnull('alert.digest_mode') AND 'alert.digest_mode'=0), ""Trigger is not set to: For Each Result"", """")",Rule typically should be set to alert once for every matching event.  Review the rule trigger configuration to ensure it's correct.
CHKDET0017,Throttling Window should be 4h or more,1,detection,"if(tonumber(mvindex(split('alert.suppress.period', ""s""), 0))<14400, ""Throttling Window should be 4h or more"", """")","Throttling under 4h is typically too short, review your rule configuration to ensure it is correct."
CHKDET0018,Fields to group by should be set,1,detection,"if(isnull('alert.suppress.fields'), ""Fields to group by should be set"","""") ",Throttling requires at least one field to ensure proper grouping/uniqueness.   Review your rule configuration to ensure it is correct.
CHKDET0019,RBA - Risk Message should be set,1,detection,"if(match('actions',""risk"") AND (isnull('action.risk.param._risk_message') OR match('action.risk.param._risk_message', ""tbd"")), ""RBA - Risk Message should be set"", """")",This rule uses the Risk Analysis Adaptive Action (part of RBA) but does not have a Risk Message set.  Review your rule configuration to ensure it is correct.
CHKDET0020,RBA - Risk Score should be set,1,detection,"if(isnull(risk_score) OR risk_score == 0, ""RBA - Risk Score should be set"", """") ",This rule uses the Risk Analysis Adaptive Action (part of RBA) but does not have a Risk Score set.   Review your rule configuration to ensure it is correct.
CHKDET0021,Search has non-ASCII characters,1,detection,"if(match(search, ""[^\x00-\x7F]""), ""Search has non-ASCII characters"", """")",This rule's SPL search contains non-ASCII characters.  Review your rule search and make sure it is correct.
CHKDET0022,Search is not properly formatted,1,detection,"if(not match(search, ""\n"") AND not match(search, ""^\s*\|(?!.*\|)""), ""Search is not properly formatted"", """")",Format the search so it's easier to read.  Users can use the following keyboard shortcut to do this more easily from the Correlation Search configuration page: - On Linux or Windows use Ctrl + \ - On Mac OSX use Command + \
CHKDET0023,Detection uses CIM fields directly,1,detection,"if(command_type!=""from"" AND command_type!=""tstats"" AND command_type!=""datamodel"" AND match(expanded_search, ""category\s*=|dvc\s*=|signature\s*=|signature_id\s=|pid\s*=|app\s*=|action\s*=|process\s*=|process_name\s*=|dest_ip\s*=|src_ip\s*=|src_user\s*=|user\s*=|src\s*=|dest\s*=|url=\s*|file_hash\s*=""), ""Detection uses CIM fields directly"", """")","Identify searches which reference key value pairs in an inefficient way. Ideally the raw searches should be written to use tstats, or term searches when an accelerated datamodel is not available. Raw searches which look for key/value pairs on fields like dest_ip can take hours to complete, where adding a term search can drop the search time down to seconds. When the searches are looking for particular IOCs, they should be converted to use the threat intel framework instead."
CHKDET0024,Detection uses an incorrect Private Network CIDR Range,1,detection,"if(match(expanded_search, ""10\.0\.0\.0\/(?!8)"") OR match(expanded_search, ""172\.16\.0\.0\/(?!12)"") OR match(expanded_search, ""192\.168\.0\.0\/(?!16)"") OR match(expanded_search, ""100\.64\.0\.0\/(?!10)"") OR match(expanded_search, ""169\.254\.0\.0\/(?!16)""), ""Detection uses an incorrect Private Network CIDR Range"", """")",Fix the incorrect Private Network CIDR range(s).  Refer to https://en.wikipedia.org/wiki/Private_network for details.
CHKDET0025,Uses SPL commands with known limits,1,detection,"if(match(expanded_search, ""(?i)\|\s*union|\|\s*join|\|\s*transaction|\|\s*append|\|\s*appendcols|\|\s*diff|\|\s*set|\|\s*multisearch""), ""Uses SPL commands with known limits"","""")",Look into refactoring your search if possible to refrain from using those SPL commands which have a poor performance or known limits.
CHKDET0026,Use of ESCU detection marked Deprecated,1,detection,"if(match('action.correlationsearch.label', "" Deprecated "") OR match(description, ""\*\*DEPRECATED\*\*""), """", """")","Look at the Splunk security_content project for details (https://github.com/splunk/security_content) and decide if you want to potentially clone and keep your own copy of this detection if if a better one replaced it."
CHKDET0027,tstats command without summariesonly macro,1,detection,"if(command_type=""tstats"" AND match(expanded_search, ""(?i)\s+from\s+datamodel\s*\="") AND NOT match(expanded_search, ""(?i)(`summariesonly`|`security_content_summariesonly`|summariesonly=(1|t|true))""), ""tstats command without summariesonly macro"","""")","Detections should use the ES macros summariesonly or security_content_summariesonly since the default value for this is false, potentially impacting performance. Refer to https://docs.splunk.com/Documentation/Splunk/latest/SearchReference/Tstats for details."
CHKDET0028,Contributing Events Search Missing,1,detection,"if(isnull('action.notable.param.drilldown_search') AND isnull('action.notable.param.drilldown_searches'),""Contributing Events Search Missing"","""")",Correlation Rules typically provide better context to analysts when they are configured with drilldown searches.  See the Investigate notables using drilldown searches and dashboards in Splunk Enteprise Security topic of the Administer Splunk Enterprise Security manual at https://docs.splunk.com/Documentation/ES/latest/Admin/Usedrilldownsearches for details.
CHKDET0029,No Next Steps Defined,1,detection,"if(match('actions',""notable"") AND isnull('action.notable.param.next_steps'), ""No Next Steps Defined"", """")","Detections that generate Notable Events can be configured with steps an analyst should take while investigating the reported security event.  See ""Create a notable event"" in the ""Administer Splunk Enterprise Security"" manual here: https://docs.splunk.com/Documentation/ES/latest/Admin/Configureadaptiveresponse#Create_a_notable_event"
CHKDET0030,RBA - No Risk Object Defined,1,detection,"if(match('actions',""risk"") AND (NOT match('action.risk.param._risk',""risk_object_field"") AND isnull('action.risk.param._risk_object')), ""RBA - No Risk Object Defined"", """")",Detections using the Risk Analysis Adaptive Response action should have a Risk Object defined. See https://docs.splunk.com/Documentation/ES/latest/Admin/Configureadaptiveresponse#Modify_a_risk_score_with_a_risk_modifier for details.
CHKDET0031,RBA - No Threat Object Defined,1,detection,"if(match('actions',""risk"") AND NOT match('action.risk.param._risk',""threat_object_field""), ""RBA - No Threat Object Defined"", """")",Detections using the Risk Analysis Adaptive Response action should have a Threat Object defined. See https://docs.splunk.com/Documentation/ES/latest/Admin/Configureadaptiveresponse#Modify_a_risk_score_with_a_risk_modifier for details.
CHKDET0032,High False Positive Ratio,1,detection,"if(fp_ratio >= `high_false_positive_ratio_cutoff`, ""High False Positive Ratio"", """")",This detection has a high reported ratio of False Positives.  Consider tuning the detection to improve it.
CHKDET0033,Possibly incompatible command for Index time search,1,detection,"if(NOT command_type IN (""raw data search"",""macro"") AND 'dispatch.index_earliest'!="""" AND 'dispatch.index_latest'!="""", ""Possibly incompatible command for Index time search"", """")","Configuring a Correlation Search to use Index time in conjunction with an Accelerated Data Model or the tstats command can cause issues/errors.  See ""Limitations using Index time"" here: https://docs.splunk.com/Documentation/ES/latest/Admin/Configurecorrelationsearches#Set_a_timestamp_for_correlation_searches"
CHKDET0034,Search could use TERM() for improved performance,1,detection,"if(isnotnull(term_candidates) AND NOT command_type IN(""datamodel"",""tstats"",""from"",""lookup"",""mstats""), ""Search could use TERM() for improved performance"", """")","The TERM directive is useful for more efficiently searching for a term that: Contains minor breakers, such as periods or underscores, is bound by major breakers, such as spaces or commas and does not contain major breakers.  See https://docs.splunk.com/Documentation/Splunk/latest/Search/UseCASEandTERMtomatchphrases"
CHKDET0035,Possible Incorrect Token Syntax in Risk Message,1,detection,"if(isnotnull('action.risk.param._risk_message') AND trim('action.risk.param._risk_message') != """" AND match('action.risk.param._risk_message', ""\$"") AND NOT match('action.risk.param._risk_message', ""\$[A-Za-z0-9\_\.]+\$""), ""Possible Incorrect Token Syntax in Risk Message"", """")","See https://docs.splunk.com/Documentation/Splunk/latest/Viz/tokens#Using_tokens_in_a_search for details."
CHKDET0036,Detection is missing SPL comments,0,detection,"if(NOT match(search,""```""), ""Detection is missing SPL comments"", """")","SPL Detection Logic would benefit from comments explaining what is being done.  See https://docs.splunk.com/Documentation/Splunk/latest/Search/Comments for details."
CHKDET0037,Raw Data Detection without Index,1,detection,"if(NOT match(expanded_search, ""^\s*(\`|\|\s*\`)"") AND NOT match(expanded_search,""(?i)^[\|\s]+tstats|metadata|makeresults|rest|datamodel|from\s+datamodel|inputlookup"") AND NOT match(expanded_search,""(?i)index\s*(?:=\s*\""?([a-zA-Z0-9_-]+)\""?|\s+IN\s*\(\s*(?:(?:\""?[a-zA-Z0-9_-]+\""?)\s*,?\s*)+\))""), ""Raw Data Detection without Index"", """")","Add an index to the detection SPL search."
CHKDET0038,Run Time is longer than Time Window,1,detection,"if(command_type!=""lookup"" AND avg_run_time > search_time_window, ""Run Time is longer than Time Window"", """")","Your detection takes longer to run than its configured time window, which can cause it to miss event entirely.  Optimize the search or increase the time window it runs against.  For example, your search looks at the last 5 minutes but takes 7 minutes to run, leaving a 2 minutes gap it will always miss."
CHKDET0039,Detection throttled for shorter than search window,1,detection,"if(isnotnull('alert.suppress.period') AND tonumber(replace('alert.suppress.period', ""s"", """")) < search_time_window, ""Detection throttled for shorter than search window"", """")","You detection is throttled for a period which is shorter than its search time window, which can cause extra/unexpected alerts to be generated.  E.g. Detection looks back 4 hours every 2 hours, and it's throttled for only 2 hours."
CHKDET0040,Detection uses a subsearch,1,detection,"if(match(expanded_search, ""(?i)\[\s*search""), ""Detection uses a subsearch"", """")","The detection SPL uses at least on subsearch which has performance implications and can fail silently under certain conditions.  Make sure to implement proper monitoring or optimize/refactor the search if possible.  See https://docs.splunk.com/Documentation/Splunk/latest/Search/Aboutsubsearches#Subsearch_performance_considerations for more details."
CHKDET0041,Missing aggregation/summarization of fields,1,detection,"if(not match(expanded_search, ""(?i)\s*\|\s*(tstats|stats|chart|dedup)""), ""Missing aggregation/summarization of fields"", """")","All but the some very edge cases should have a proper summarization or aggregation of fields (group by)."
