_key,nLocType,nLocAutoExecType,nLocIsMalwarePercent,nLocMalwareUsesPercent,strLocDisplayName,strLocFullPath
"1618ac28-8a1b-4810-a20d-8835080cfc04","0","0","65","3","Local Directory-Shellex-PropertySheetHandlers","HKEY_LOCAL_MACHINE\software\classes\directory\shellex\propertysheethandlers"
"16713a51-46c7-4dd2-964a-bd8b2d31314f","0","0","95","3","Local Machine RnkFile Disconnect Command (Default) (32)","HKEY_LOCAL_MACHINE\software\classes\rnkfile\shell\disconnect\command"
"1697e613-64db-4287-830f-41a08a83bef8","1","2","5","5","Current User Home Page Search Page","HKEY_CURRENT_USER\software\microsoft\internet explorer\main"
"169bfb4d-07f8-4ffd-9265-caac9d2e2666","0","0","65","3","Local Machine Name-SpaceHandler (32)","HKEY_LOCAL_MACHINE\software\classes\protocols\name-space handler"
"16af41bc-f86c-4ee4-813c-e256d2a5759c","1","0","90","15","Current User Winlogon Shell","HKEY_CURRENT_USER\software\microsoft\windows nt\currentversion\winlogon"
"16c4f8ec-aa80-4ddc-8b4f-eababdd21efc","0","0","90","15","Local Machine WinLogon Userinit","HKEY_LOCAL_MACHINE\software\microsoft\windows nt\currentversion\winlogon"
"16dc019c-de3f-42e9-862b-36e3ac81516c","2","1","5","85","%systemroot%","%systemroot%"
"1ab86168-1644-4d77-b729-89d4e5d90833","0","2","75","10","Local Machine Force Active Desktop (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\policies\explorer"
"1ae69e0e-d4f7-4ddc-b497-4e51c599ae18","1","2","75","5","Current User ActiveDesktop ForceActiveDesktop","HKEY_CURRENT_USER\software\microsoft\windows\currentversion\policies\explorer"
"1b429d32-4614-4369-959f-940422cb1b32","0","0","65","3","Local Machine Drive-Shellex-PropertySheetHandlers","HKEY_LOCAL_MACHINE\software\classes\drive\shellex\propertysheethandlers"
"1b98d9e5-635f-4717-a944-ca7277935760","0","0","10","90","Local Machine Run (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\run"
"1bae770c-4394-4417-9662-ba6cc5e36cac","0","0","80","3","Local Machine Command Processor AutoRun (32)","HKEY_LOCAL_MACHINE\software\microsoft\command processor"
"1c73f975-e644-4675-bd31-478a02624ba3","0","0","5","3","Keyboard Upper Filters (32)","HKEY_LOCAL_MACHINE\system\currentcontrolset\control\class\{4d36e96b-e325-11ce-bfc1-08002be10318}"
"1c7f5d05-0a17-45a4-b5c9-540cfea42131","0","0","65","3","Local Directory-Shellex-ContextMenuHandlers","HKEY_LOCAL_MACHINE\software\classes\directory\shellex\contextmenuhandlers"
"1cf69b61-4bf1-4854-b0f8-c2da4fdfeb6c","0","0","95","3","Local Machine URL-Prefixes www","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\url\prefixes"
"1d63f154-a2e8-4c4d-b179-b897caa4b061","1","0","90","15","Current User Winlogon Shell (32)","HKEY_CURRENT_USER\software\microsoft\windows nt\currentversion\winlogon"
"1d9c51e9-5873-4f6c-ba72-49e488d1d5b0","0","0","10","50","Local Machine IE ExplorerBars (32)","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\explorer bars"
"1f239d36-7a9f-4ddd-b3e8-3b63073cceb5","1","2","5","3","Current User Startup Hijack","HKEY_CURRENT_USER\software\microsoft\windows\currentversion\explorer\user shell folders"
"1f7e4987-c0f4-410f-96f5-b6ea2e995c49","0","0","65","3","Local Machine DragDropHandlers","HKEY_LOCAL_MACHINE\software\classes\*\shellex\dragdrophandlers"
"1fb30e59-10c5-4e9a-81b1-9a7d02178a90","2","1","5","85","%systemroot%\system32\dllcache","%systemroot%\system32\dllcache"
"204d1538-2917-4273-999b-192b6c88c385","1","2","75","5","Current User ActiveDesktop ForceActiveDesktop (32)","HKEY_CURRENT_USER\software\microsoft\windows\currentversion\policies\explorer"
"208faf96-0472-4b3a-8449-0fd839a4e867","0","2","40","20","Local Machine Policies (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\policies"
"20a68564-d389-414f-8ede-3f781ec76b16","0","0","95","25","Local Machine ExeFile Command (Default)","HKEY_LOCAL_MACHINE\software\classes\exefile\shell\open\command"
"2215ffaf-3697-4529-9b53-47d96c367211","1","0","10","35","Current User IE Extensions","HKEY_CURRENT_USER\software\microsoft\internet explorer\extensions"
"23ffa368-cf0e-44b3-9432-f874f52c6b2e","0","0","90","15","Local Machine WinLogon Userinit (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows nt\currentversion\winlogon"
"246cc3ed-3e23-4a49-bd80-fe5ea5039727","0","0","5","0","Local Machine AcroFile Command (Default) (32)","HKEY_LOCAL_MACHINE\software\classes\acroexch.document\shell\open\command"
"24d5db41-4b74-4467-9885-25363168a69c","1","2","5","3","Current User InternetExplorer StyleSheet","HKEY_CURRENT_USER\software\microsoft\internet explorer\styles"
"2553a4fa-3871-477c-8de7-ff38aba0442a","0","0","90","3","Local Machine BatFile Command (Default)","HKEY_LOCAL_MACHINE\software\classes\batfile\shell\open\command"
"2556f937-3ad7-4500-9a7a-e74af37d35d9","0","3","5","10","Local Machine Shell Extensions Approved (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\shell extensions\approved"
"2693ac75-64f9-4739-b945-a527d6266ccb","0","0","5","1","Local Machine Print Providers","HKEY_LOCAL_MACHINE\system\currentcontrolset\control\print\providers"
"26cf309a-81c5-46b6-be90-112542181884","1","0","10","35","Current User IE Extensions (32)","HKEY_CURRENT_USER\software\microsoft\internet explorer\extensions"
"2832c1fe-62a3-4b6b-a537-632b925a40ed","0","0","10","75","Local Machine Browser Helper Objects (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\explorer\browser helper objects"
"289c731f-fc7c-46b1-8ddc-c5b77d25224b","0","0","10","90","Local Machine Run","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\run"
"28ca6749-6a71-4d0f-b347-b6d57b0a6ad3","0","0","90","5","LSA Authentication Packages (32)","HKEY_LOCAL_MACHINE\system\currentcontrolset\control\lsa"
"2961aa72-9d2c-4334-bd39-a07d8452cf3f","0","0","75","75","Local Machine Explorer-ShellExecuteHooks","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\explorer\shellexecutehooks"
"296c0293-75e5-44e0-afa3-c9b71035fbef","0","0","65","3","Local Folder-Shellex-ContextMenuHandlers (32)","HKEY_LOCAL_MACHINE\software\classes\folder\shellex\contextmenuhandlers"
"29ee8c92-2349-458d-a7aa-999d15bb9e5d","0","0","95","3","Local Machine URL-Prefixes gopher (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\url\prefixes"
"2a197632-0077-42da-9c33-69329f369df5","0","3","5","3","Local Machine CCS-Control Class","HKEY_LOCAL_MACHINE\system\currentcontrolset\control\class"
"2a4ff629-31bb-48a9-b9a0-79249142b5c1","0","0","10","85","Local Machine CCS-Services","HKEY_LOCAL_MACHINE\system\currentcontrolset\services"
"2a6431c1-12e1-4a27-81a7-34d35195ac59","0","2","95","3","Local Machine URL-DefaultPrefix (Default) (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\url\defaultprefix"
"2ae25b1e-49c0-4c6e-a91d-e5c13ff97221","0","0","65","5","Local Machine NT-WOW-Boot","HKEY_LOCAL_MACHINE\software\microsoft\windows nt\currentversion\wow\boot"
"2b6fbf94-6dc3-4775-9ca5-bc994fafce8c","0","2","5","5","IE Main Settings Search Page (32)","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\main"
"2d3a3925-39fa-443f-af7f-4cb380782391","0","0","95","3","Local Machine RnkFile Disconnect Command (Default)","HKEY_LOCAL_MACHINE\software\classes\rnkfile\shell\disconnect\command"
"2d62c313-e2a1-4b9e-9256-e273cca12ef4","0","0","95","5","Image File Execution Options Debugger","HKEY_LOCAL_MACHINE\software\microsoft\windows nt\currentversion\image file execution options\%dynamicvalue%"
"2d67763a-bc1b-4c4c-8b56-60cb5182076b","0","0","80","0","Local Machine Common Startup (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\explorer\user shell folders"
"2ee032b9-27d6-44ad-8ee0-c3e07f873347","0","0","5","3","Keyboard Upper Filters","HKEY_LOCAL_MACHINE\system\currentcontrolset\control\class\{4d36e96b-e325-11ce-bfc1-08002be10318}"
"2fada8f0-7782-4c36-8bf8-a25e906339e1","1","0","15","80","Current User IE Toolbar Explorer","HKEY_CURRENT_USER\software\microsoft\internet explorer\toolbar\explorer"
"2fb56c5c-d030-475b-92f7-3d565904c138","0","0","95","15","Local Machine ExeFile RunAs IsolatedCommand (32)","HKEY_LOCAL_MACHINE\software\classes\exefile\shell\runas\command"
"30b6a55c-f49d-426f-9262-c9a18848f702","0","0","95","50","Local Machine Prevent New ExeFile Command","HKEY_LOCAL_MACHINE\software\classes\exefile\shell"
"30d4cd64-1564-4c4b-851b-76bf8cbc119f","1","2","35","3","Current User SearchUrl","HKEY_CURRENT_USER\software\microsoft\internet explorer\searchurl"
"30f137e0-1981-4dfd-a668-65651e547cc7","0","0","65","3","Local Background-Shellex-ContextMenuHandlers (32)","HKEY_LOCAL_MACHINE\software\classes\directory\background\shellex\contextmenuhandlers"
"3226795d-e49d-4934-8489-338a82e534db","0","0","90","3","Local Machine Java VM Classpath","HKEY_LOCAL_MACHINE\software\microsoft\java vm"
"3247784e-b05a-4d8e-9324-b2a1e38e123b","0","0","50","3","Local Machine Prevent New TxtFile Command","HKEY_LOCAL_MACHINE\software\classes\txtfile\shell"
"32a24a2b-4ec3-4f48-a1c7-5ee372228ebf","0","2","25","3","Local Machine Active Setup Installed Components (32)","HKEY_LOCAL_MACHINE\software\microsoft\active setup\installed components"
"32a9bb9c-f6b8-47f7-b72b-ac649aa7a9a5","1","0","65","0","Current User RunOnceEx","HKEY_CURRENT_USER\software\microsoft\windows\currentversion\runonceex"
"32cf50a9-8f05-435e-936d-7c2b366b897b","0","0","90","3","TCPIP ImagePath (32)","HKEY_LOCAL_MACHINE\system\currentcontrolset\services\tcpip"
"33d3b3b7-507a-4723-b80c-bf3ff4cdc94a","0","0","95","3","Windows Auto Update (Default) (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows nt\currentversion\windowsupdate\auto update"
"390118e8-ad9e-4030-9ff0-12ab97fabae4","0","0","80","0","Local Machine HtaFile Command (Default) (32)","HKEY_LOCAL_MACHINE\software\classes\htafile\shell\open\command"
"39428cff-3a72-4a80-b9bb-4a36f3f23d44","0","2","5","5","Local Machine AboutURLs Home (32)","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\abouturls"
"39599941-0297-45a0-a3ca-5dbc5e4cf4ab","0","0","85","5","Local Machine Scrfile Command (Default)","HKEY_LOCAL_MACHINE\software\classes\scrfile\shell\open\command"
"3b621e84-13dc-4f4b-b8df-24eaef5251f7","20","1","95","50","%profilesdirectory%\%au%\application data","%profilesdirectory%\%au%\application data"
"3bea8c66-d728-4124-a1a6-61c18291f136","0","0","80","0","Local Machine Common Startup","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\explorer\user shell folders"
"3c2ccd23-0e56-4c8b-b0b4-dc1f8fbb339e","0","0","65","3","Local Machine ContextMenuHandlers","HKEY_LOCAL_MACHINE\software\classes\*\shellex\contextmenuhandlers"
"3c68f6a4-4d95-41cd-9e39-1ece4d761a4e","0","0","85","1","Local Machine IE Extension-Cmd Mapping","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\extensions\cmdmapping"
"3e27bd2c-6f41-4fb4-9e70-daf3aaf8945d","0","0","65","3","Local Machine Drive-Shellex-PropertySheetHandlers (32)","HKEY_LOCAL_MACHINE\software\classes\drive\shellex\propertysheethandlers"
"3f587203-a3c9-4d14-8754-37139c40e4d6","2","1","10","85","%programfiles(x86)%","%programfiles(x86)%"
"3fcdc6c7-9700-4430-a3de-4d67fe1e9961","0","0","65","0","Local Machine RunOnceSetup","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\runonce\setup"
"40294185-e1eb-4c99-aea6-875b85f8128f","0","2","10","3","Local Machine AboutURLs Blank","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\abouturls"
"406068d1-bdb9-4f31-9c38-7118b005719b","0","0","10","85","Local Machine NT-Notify (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows nt\currentversion\winlogon\notify"
"414646bd-d875-46ab-b302-e437fbe1773e","0","0","95","25","Local Machine ExeFile Command (Default) (32)","HKEY_LOCAL_MACHINE\software\classes\exefile\shell\open\command"
"4239bfee-ef5f-4116-b32f-84af1cd2eaa0","0","3","1","3","Local Machine App Paths (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\app paths"
"42ba8a6b-ef8c-491e-821b-21cecc411c71","1","3","5","3","Current User Domains","HKEY_CURRENT_USER\software\microsoft\windows\currentversion\internet settings\zonemap\domains"
"42c022c1-d143-45e1-8b25-700b70a6c026","0","3","5","85","Local Machine CLSID (32)","HKEY_LOCAL_MACHINE\software\classes\clsid"
"4334f1e5-621f-43e0-bf7f-5db746161667","0","2","5","5","IE Main Settings Local Page (32)","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\main"
"434890c7-fd98-42dc-bcfa-eac2c058c9de","0","2","10","3","Local Machine AboutURLs NavigationFailure (32)","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\abouturls"
"43c9b09f-8ac2-4304-b0ec-b928dcbd3a50","1","0","80","3","Current User Command Processor AutoRun","HKEY_CURRENT_USER\software\microsoft\command processor"
"43d420db-209a-413b-b204-4e69a9967b92","0","0","65","3","Local Directory-Shellex-ContextMenuHandlers (32)","HKEY_LOCAL_MACHINE\software\classes\directory\shellex\contextmenuhandlers"
"43db2bf0-34be-4d3c-86fe-8a5cbe1dcfda","0","0","95","5","AppInit DLLs (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows nt\currentversion\windows"
"45677bcd-2c4b-4a81-ae1d-f2499a47153a","0","0","10","15","Local Machine MediaPlayer-UIPlugins","HKEY_LOCAL_MACHINE\software\microsoft\mediaplayer\uiplugins"
"46f3f879-83f2-47fc-91fb-274875d26b2e","1","2","5","5","Current User Home Page Start Page (32)","HKEY_CURRENT_USER\software\microsoft\internet explorer\main"
"47500df6-bae7-4279-86c3-a0300e869a0f","0","0","65","3","Local Directory-Shellex-CopyHookHandlers (32)","HKEY_LOCAL_MACHINE\software\classes\directory\shellex\copyhookhandlers"
"48e196aa-63ee-4182-8acc-aceff930d8bb","0","2","5","5","IE Main Settings Search Page","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\main"
"4915f3e1-c117-4420-b990-98316a949cf3","2","1","5","85","%programfiles%","%programfiles%"
"49735feb-ed0d-4137-9a43-75d2c066847a","0","0","10","75","Local Machine IE Toolbar","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\toolbar"
"499e5934-a7e4-4867-8f29-73df57229ad1","0","0","85","1","Local Machine IE Extension-Cmd Mapping (32)","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\extensions\cmdmapping"
"49a1095b-8bf3-4cdd-a3d5-cf5a9d065d0c","0","0","90","3","TCPIP Params DataBasePath (32)","HKEY_LOCAL_MACHINE\system\currentcontrolset\services\tcpip\parameters"
"49bbb50c-939f-401b-aa03-f20eac6954b3","0","0","35","3","Local Machine Shell Service ObjectDelay Load","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\shellserviceobjectdelayload"
"4a2c9aab-7de6-46cf-8307-5aecf6d7302c","0","0","65","3","Local Machine Drive-Shellex-DragDropHandlers","HKEY_LOCAL_MACHINE\software\classes\drive\shellex\dragdrophandlers"
"4c4c4bf2-e2d2-4985-894a-b03d4a535377","2","1","20","15","%systemroot%\system","%systemroot%\system"
"4d0eb6cf-3efb-4323-980f-2a2ff79ae471","0","3","5","15","Local Machine SharedDLLs (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\shareddlls"
"4ea0617f-3e41-473d-a925-d7af2d7ea30b","0","0","95","3","Local Machine RnkFile Connect Command (Default) (32)","HKEY_LOCAL_MACHINE\software\classes\rnkfile\shell\connect\command"
"4fb2bae8-c221-4c3c-add3-1bc88e7cf4c3","1","0","10","5","Current User IE URLSearchHooks (32)","HKEY_CURRENT_USER\software\microsoft\internet explorer\urlsearchhooks"
"507c5b8d-f1ec-4bb5-a34a-0ed1e6a24023","2","0","10","15","%systemroot%\system32\tasks","%systemroot%\system32\tasks"
"526c3db4-a598-41eb-94dc-6de390ddc9b0","2","1","10","35","%programfiles%\internet explorer\plugins","%programfiles%\internet explorer\plugins"
"53847bed-277b-4725-b8b3-2cbdfe47e3c7","0","0","10","75","Local Machine IE Active X","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\activex compatibility"
"53a8436f-06d3-42ca-ae01-ecd1948b236b","1","2","5","5","Current User Home Page Start Page","HKEY_CURRENT_USER\software\microsoft\internet explorer\main"
"5581f71a-6d06-4870-ba16-1d8ea0781df1","0","3","5","15","Local Machine CCS-KnownDLLs (32)","HKEY_LOCAL_MACHINE\system\currentcontrolset\control\session manager\knowndlls"
"55bb1d02-4cfb-434e-846d-b36b302a5b56","0","0","65","10","Local AllFilesystemObjects PropertySheetHandlers (32)","HKEY_LOCAL_MACHINE\software\classes\allfilesystemobjects\shellex\propertysheethandlers"
"58c5aa8c-93cd-4924-95b7-8894c06f602b","0","0","95","3","Local Machine PifFile Command (Default)","HKEY_LOCAL_MACHINE\software\classes\piffile\shell\open\command"
"59289e78-b402-4c32-b4ae-72dee711b654","0","0","5","0","Session Manager SetupExecute","HKEY_LOCAL_MACHINE\system\currentcontrolset\control\session manager"
"59ef52b0-440d-4496-83a4-f75ce998b810","0","0","65","3","Local Machine Drive-Shellex-DragDropHandlers (32)","HKEY_LOCAL_MACHINE\software\classes\drive\shellex\dragdrophandlers"
"5a656cad-e06e-49f3-8b50-b1058e06730f","2","1","5","10","%systemroot%\downloaded program files","%systemroot%\downloaded program files"
"5b6cf877-126c-4b7c-a3a1-f11606b16bc8","0","0","10","75","Local Machine IE Toolbar (32)","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\toolbar"
"5c212269-2863-46fe-ac1e-d1046dc67b3e","0","2","80","3","AD Policies DisableGPO (32)","HKEY_LOCAL_MACHINE\software\policies\microsoft\windows\system"
"5d7312df-af06-4f43-8f55-bb08e504705b","0","0","90","10","Local Machine WinLogon TaskMan (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows nt\currentversion\winlogon"
"5e171d97-c2bd-412e-8bba-f1e0a75d213f","1","0","80","5","Current User Block Load and Run Run (32)","HKEY_CURRENT_USER\software\microsoft\windows nt\currentversion\windows"
"5ea973c2-282b-4b6d-aca2-fa5fe5cf06a1","0","3","5","15","Local Machine SharedDLLs","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\shareddlls"
"5ec3297c-da35-412b-b467-e7ca90de32e3","0","2","5","5","IE Main Settings Start Page (32)","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\main"
"5f52cff8-4269-4141-8c57-c145859ea6f3","1","0","10","50","Current User IE Toolbar-WebBrowser (32)","HKEY_CURRENT_USER\software\microsoft\internet explorer\toolbar\webbrowser"
"6054b07b-4ab3-488e-abef-71b06cf482df","1","2","5","5","Current User Home Page Search Page (32)","HKEY_CURRENT_USER\software\microsoft\internet explorer\main"
"625c4289-475e-4da1-8f8d-7e49efdf4458","0","0","65","10","Local Machine RunServices","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\runservices"
"627eb5b2-5b9d-4629-b21b-740537d1406b","0","2","5","5","IE Main Settings Default Page URL (32)","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\main"
"628c48c1-6719-47e4-ae9e-61d3484c0158","1","0","65","5","Current User Policies Explorer Run (32)","HKEY_CURRENT_USER\software\microsoft\windows\currentversion\policies\explorer\run"
"6328bd65-c214-42d4-a271-d48c8f8a7c5a","0","0","80","3","Local Machine CmdFile Command (Default)","HKEY_LOCAL_MACHINE\software\classes\cmdfile\shell\open\command"
"640263b1-614f-4bf8-b440-5462e3b4ea24","0","0","35","3","Local Machine Shell Service ObjectDelay Load (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\shellserviceobjectdelayload"
"64260706-093c-44f9-b959-0eab493c9144","0","0","95","3","Windows Auto Update (Default)","HKEY_LOCAL_MACHINE\software\microsoft\windows nt\currentversion\windowsupdate\auto update"
"64bdf4d4-ca2b-4b31-9617-0c0edfee8745","0","0","90","10","Local Machine WinLogon Shell","HKEY_LOCAL_MACHINE\software\microsoft\windows nt\currentversion\winlogon"
"659a4958-e837-418d-8dc9-315e76c03579","1","0","85","1","Current User IE MenuExt (32)","HKEY_CURRENT_USER\software\microsoft\internet explorer\menuext"
"65e89759-3200-4ce1-a844-f32ddf8ad6d2","0","3","5","5","Local Machine Classes AppID","HKEY_LOCAL_MACHINE\software\classes\appid"
"664d56a7-dd90-4b4a-b5b9-03924ef6967f","0","0","65","10","Local Machine IE URLSearchHooks (32)","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\urlsearchhooks"
"66577822-f95c-48bd-a92b-77282cded707","0","0","95","3","Local Machine WOW-BootShell Shell","HKEY_LOCAL_MACHINE\software\microsoft\windows nt\currentversion\wow\boot"
"676d4b32-b07f-45a7-bdc9-4a4521fd1844","0","2","5","5","IE Main Settings Start Page","HKEY_LOCAL_MACHINE\software\microsoft\internet explorer\main"
"6854f910-23b6-4bc1-889d-14de96a5ff8e","0","0","65","3","Local Folder-Shellex-DragDropHandlers","HKEY_LOCAL_MACHINE\software\classes\folder\shellex\dragdrophandlers"
"68fb889f-99f3-40c0-bec3-dfaf28817142","2","1","10","35","%programfiles%\internet explorer\plugins","%programfiles%\internet explorer\plugins"
"69a7a254-59b3-43d5-b900-afce97b02d74","0","0","55","3","Local Machine Reg File Command (Default)","HKEY_LOCAL_MACHINE\software\classes\regfile\shell\open\command"
"6aba249c-5228-43bf-837a-0c8ce6b99690","0","0","95","3","Local Machine URL-Prefixes ftp (32)","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\url\prefixes"
"6adcafbe-9e54-479c-ac67-a3c0f70d4d56","0","0","90","5","LSA Notification Packages (32)","HKEY_LOCAL_MACHINE\system\currentcontrolset\control\lsa"
"6be21904-4b0e-431b-a64e-501675bb89f8","0","0","35","0","Local Machine Explorer Shared Task Scheduler","HKEY_LOCAL_MACHINE\software\microsoft\windows\currentversion\explorer\sharedtaskscheduler"
"6c4b900c-686c-4f69-b103-2e96f94f4943","0","0","65","3","Local Folder-Shellex-PropertySheetHandlers","HKEY_LOCAL_MACHINE\software\classes\folder\shellex\propertysheethandlers"
"6d23953b-341c-47cb-a1ca-fdee661a9a1c","0","0","95","3","Local Machine RnkFile Connect Command (Default)","HKEY_LOCAL_MACHINE\software\classes\rnkfile\shell\connect\command"
"6d686314-d649-4124-8961-295c3cf5b940","2","1","10","5","c:\","c:\"
