"id","name","description","default","savedsearches","stanza"
"cbf93e5d-ca6c-4722-8bea-e9119007c248","CurrentVersion NT Autorun Keys Modification","Detects modification of autostart extensibility point (ASEP) in registry.","TargetObject=""*\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion*"" TargetObject IN (""*\\Winlogon\\VmApplet*"", ""*\\Winlogon\\Userinit*"", ""*\\Winlogon\\Taskman*"", ""*\\Winlogon\\Shell*"", ""*\\Winlogon\\GpExtensions*"", ""*\\Winlogon\\AppSetup*"", ""*\\Winlogon\\AlternateShells\\AvailableShells*"", ""*\\Windows\\IconServiceLib*"", ""*\\Windows\\Appinit_Dlls*"", ""*\\Image File Execution Options*"", ""*\\Font Drivers*"", ""*\\Drivers32*"", ""*\\Windows\\Run*"", ""*\\Windows\\Load*"") NOT (Details=""(Empty)"" OR (TargetObject=""*\\Image File Execution Options\\*"" TargetObject IN (""*\\DisableExceptionChainValidation"", ""*\\MitigationOptions"")) OR (Image=""C:\\Program Files (x86)\\Microsoft\\Temp\\*"" Image=""*\\MicrosoftEdgeUpdate.exe"") OR TargetObject IN (""*\\ClickToRunStore\\HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\*"", ""*\\ClickToRun\\REGISTRY\\MACHINE\\Software\\Microsoft\\Windows NT\\CurrentVersion\\*"") OR Image IN (""C:\\Program Files\\Microsoft Office\\root\\integration\\integrator.exe"", ""C:\\Program Files (x86)\\Microsoft Office\\root\\integration\\integrator.exe"") OR (Image IN (""C:\\Program Files\\Common Files\\Microsoft Shared\\ClickToRun\\*"", ""C:\\Program Files\\Common Files\\Microsoft Shared\\ClickToRun\\Updates\\*"") Image=""*\\OfficeClickToRun.exe"") OR (Image=""C:\\Windows\\system32\\svchost.exe"" TargetObject IN (""*\\Winlogon\\GPExtensions\\{827D319E-6EAC-11D2-A4EA-00C04F79F83A}\\PreviousPolicyAreas*"", ""*\\Winlogon\\GPExtensions\\{827D319E-6EAC-11D2-A4EA-00C04F79F83A}\\MaxNoGPOListChangesInterval*"") Details IN (""DWORD (0x00000009)"", ""DWORD (0x000003c0)"")) OR (Image=""C:\\Windows\\Microsoft.NET\\Framework*"" Image=""*\\ngen.exe"") OR (Image=""*\\AppData\\Local\\Microsoft\\OneDrive\\StandaloneUpdater\\OneDriveSetup.exe"" TargetObject=""*\\Microsoft\\Windows\\CurrentVersion\\RunOnce\\Delete Cached Update Binary"" Details=""C:\\Windows\\system32\\cmd.exe /q /c del /q \""C:\\Users\\*"" Details=""*\\AppData\\Local\\Microsoft\\OneDrive\\Update\\OneDriveSetup.exe\"""")) | table SecurityID,ObjectName,OldValueType,NewValueType","",""
"19b08b1c-861d-4e75-a1ef-ea0c1baf202b","Suspicious Download Via Certutil.EXE","Detects the execution of certutil with certain flags that allow the utility to download files.","Image=""*\\certutil.exe"" OR OriginalFileName=""CertUtil.exe"" CommandLine IN (""*urlcache *"", ""*verifyctl *"") CommandLine=""*http*""","",""
"a0ff33d8-79e4-4cef-b4f3-9dc4133ccd12","Potential Persistence Via COM Search Order Hijacking","Detects potential COM object hijacking leveraging the COM Search Order","TargetObject IN (""HKCR\\CLSID\\*"", ""HKCU\\Software\\Classes\\CLSID\\*"") TargetObject=""*\\InprocServer32\\(Default)"" NOT (Details IN (""*%%systemroot%%\\system32\\*"", ""*%%systemroot%%\\SysWow64\\*"") OR Details IN (""*\\AppData\\Local\\Microsoft\\OneDrive\\*"", ""*\\FileCoAuthLib64.dll*"", ""*\\FileSyncShell64.dll*"", ""*\\FileSyncApi64.dll*"") OR Image=""C:\\WINDOWS\\system32\\SecurityHealthService.exe"" OR (Details=""*\\AppData\\Local\\Microsoft\\TeamsMeetingAddin\\*"" Details=""*\\Microsoft.Teams.AddinLoader.dll*"") OR (Details=""*\\AppData\\Roaming\\Dropbox\\*"" Details=""*\\DropboxExt64.*.dll*"") OR Details=""*TmopIEPlg.dll"" OR Image IN (""C:\\WINDOWS\\system32\\wuauclt.exe"", ""C:\\WINDOWS\\system32\\svchost.exe"") OR (Image IN (""C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\*"", ""C:\\Program Files\\Windows Defender\\*"") Image=""*\\MsMpEng.exe"") OR Details=""*\\FileRepository\\nvmdi.inf*"" OR Image=""*\\MicrosoftEdgeUpdateComRegisterShell64.exe"" OR Image=""C:\\WINDOWS\\SYSTEM32\\dxdiag.exe"" OR Details IN (""C:\\Windows\\pyshellext.amd64.dll"", ""C:\\Windows\\pyshellext.dll"") OR Details IN (""C:\\Windows\\system32\\dnssdX.dll"", ""C:\\Windows\\SysWOW64\\dnssdX.dll"") OR Details=""C:\\Windows\\system32\\spool\\drivers\\x64\\3\\PrintConfig.dll"" OR Details IN (""C:\\Program Files\\*"", ""C:\\Program Files (x86)\\*"") OR Details=""C:\\ProgramData\\Microsoft\\*"" OR Details=""*C:\\WINDOWS\\system32\\GamingServicesProxy.dll*"" OR (Image=""C:\\Windows\\System32\\poqexec.exe"" Details=""*C:\\Windows\\System32\\Autopilot.dll*"") OR (Image=""C:\\Windows\\system32\\SecurityHealthService.exe"" Details=""*C:\\Windows\\System32\\SecurityHealth*"") OR (Image IN (""C:\\Windows\\System32\\poqexec.exe"", ""C:\\Windows\\System32\\regsvr32.exe"") TargetObject=""*\\InProcServer32\\(Default)""))","",""
"1139d2e2-84b1-4226-b445-354492eba8ba","Usage Of Web Request Commands And Cmdlets - ScriptBlock","Detects the use of various web request commands with commandline tools and Windows PowerShell cmdlets (including aliases) via PowerShell scriptblock logs","ScriptBlockText IN (""*[System.Net.WebRequest]::create*"", ""*curl *"", ""*Invoke-RestMethod*"", ""*Invoke-WebRequest*"", ""*iwr *"", ""*Net.WebClient*"", ""*Resume-BitsTransfer*"", ""*Start-BitsTransfer*"", ""*wget *"", ""*WinHttp.WinHttpRequest*"") NOT Path=""C:\\Packages\\Plugins\\Microsoft.GuestConfiguration.ConfigurationforWindows\\*""","",""
"4809c683-059b-4935-879d-36835986f8cf","System Information Discovery Using System_Profiler","Detects the execution of ""system_profiler"" with specific ""Data Types"" that have been seen being used by threat actors and malware. It provides system hardware and software configuration information.
This process is primarily used for system information discovery. However, ""system_profiler"" can also be used to determine if virtualization software is being run for defense evasion purposes.
","Image=""*/system_profiler"" OR CommandLine=""*system_profiler*"" CommandLine IN (""*SPApplicationsDataType*"", ""*SPHardwareDataType*"", ""*SPNetworkDataType*"", ""*SPUSBDataType*"")","",""
"c15e99a3-c474-48ab-b9a7-84549a7a9d16","Remote Thread Creation Ttdinject.exe Proxy","Detects a remote thread creation of Ttdinject.exe used as proxy","SourceImage=""*\\ttdinject.exe""","",""
"01aeb693-138d-49d2-9403-c4f52d7d3d62","RDP Connection Allowed Via Netsh.EXE","Detects usage of the netsh command to open and allow connections to port 3389 (RDP). As seen used by Sarwent Malware","Image=""*\\netsh.exe"" OR OriginalFileName=""netsh.exe"" CommandLine=""*firewall *"" CommandLine=""*add *"" CommandLine=""*tcp *"" CommandLine=""*3389*"" CommandLine=""*portopening*"" OR (CommandLine=""*advfirewall*"" CommandLine=""*rule*"" CommandLine=""*allow*"")","",""
"50919691-7302-437f-8e10-1fe088afa145","Regsvr32 DLL Execution With Uncommon Extension","Detects a ""regsvr32"" execution where the DLL doesn't contain a common file extension.","Image=""*\\regsvr32.exe"" OR OriginalFileName=""REGSVR32.EXE"" NOT (CommandLine IN (""*.ax*"", ""*.cpl*"", ""*.dll*"", ""*.ocx*"") OR CommandLine!=* OR CommandLine="""") NOT (CommandLine IN (""*.ppl*"", ""*.bav*""))","",""
"1c67a717-32ba-409b-a45d-0fb704a73a81","System Network Connections Discovery Via Net.EXE","Adversaries may attempt to get a listing of network connections to or from the compromised system they are currently accessing or from remote systems by querying for information over the network.","Image IN (""*\\net.exe"", ""*\\net1.exe"") OR OriginalFileName IN (""net.exe"", ""net1.exe"") CommandLine IN (""* use"", ""* sessions"") OR CommandLine IN (""* use *"", ""* sessions *"")","",""
"c6fb44c6-71f5-49e6-9462-1425d328aee3","Powershell Base64 Encoded MpPreference Cmdlet","Detects base64 encoded ""MpPreference"" PowerShell cmdlet code that tries to modifies or tamper with Windows Defender AV","CommandLine=""*QWRkLU1wUHJlZmVyZW5jZS*"" OR CommandLine=""*FkZC1NcFByZWZlcmVuY2Ug*"" OR CommandLine=""*BZGQtTXBQcmVmZXJlbmNlI*"" OR CommandLine=""*U2V0LU1wUHJlZmVyZW5jZS*"" OR CommandLine=""*NldC1NcFByZWZlcmVuY2Ug*"" OR CommandLine=""*TZXQtTXBQcmVmZXJlbmNlI*"" OR CommandLine=""*YWRkLW1wcHJlZmVyZW5jZS*"" OR CommandLine=""*FkZC1tcHByZWZlcmVuY2Ug*"" OR CommandLine=""*hZGQtbXBwcmVmZXJlbmNlI*"" OR CommandLine=""*c2V0LW1wcHJlZmVyZW5jZS*"" OR CommandLine=""*NldC1tcHByZWZlcmVuY2Ug*"" OR CommandLine=""*zZXQtbXBwcmVmZXJlbmNlI*"" OR CommandLine IN (""*QQBkAGQALQBNAHAAUAByAGUAZgBlAHIAZQBuAGMAZQAgA*"", ""*EAZABkAC0ATQBwAFAAcgBlAGYAZQByAGUAbgBjAGUAIA*"", ""*BAGQAZAAtAE0AcABQAHIAZQBmAGUAcgBlAG4AYwBlACAA*"", ""*UwBlAHQALQBNAHAAUAByAGUAZgBlAHIAZQBuAGMAZQAgA*"", ""*MAZQB0AC0ATQBwAFAAcgBlAGYAZQByAGUAbgBjAGUAIA*"", ""*TAGUAdAAtAE0AcABQAHIAZQBmAGUAcgBlAG4AYwBlACAA*"", ""*YQBkAGQALQBtAHAAcAByAGUAZgBlAHIAZQBuAGMAZQAgA*"", ""*EAZABkAC0AbQBwAHAAcgBlAGYAZQByAGUAbgBjAGUAIA*"", ""*hAGQAZAAtAG0AcABwAHIAZQBmAGUAcgBlAG4AYwBlACAA*"", ""*cwBlAHQALQBtAHAAcAByAGUAZgBlAHIAZQBuAGMAZQAgA*"", ""*MAZQB0AC0AbQBwAHAAcgBlAGYAZQByAGUAbgBjAGUAIA*"", ""*zAGUAdAAtAG0AcABwAHIAZQBmAGUAcgBlAG4AYwBlACAA*"")","",""
"eeb30123-9fbd-4ee8-aaa0-2e545bbed6dc","Security Support Provider (SSP) Added to LSA Configuration","Detects the addition of a SSP to the registry. Upon a reboot or API call, SSP DLLs gain access to encrypted and plaintext passwords stored in Windows.","TargetObject IN (""HKLM\\System\\CurrentControlSet\\Control\\Lsa\\Security Packages"", ""HKLM\\System\\CurrentControlSet\\Control\\Lsa\\OSConfig\\Security Packages"") NOT (Image IN (""C:\\Windows\\system32\\msiexec.exe"", ""C:\\Windows\\syswow64\\MsiExec.exe""))","",""
"d7662ff6-9e97-4596-a61d-9839e32dee8d","Add SafeBoot Keys Via Reg Utility","Detects execution of ""reg.exe"" commands with the ""add"" or ""copy"" flags on safe boot registry keys. Often used by attacker to allow the ransomware to work in safe mode as some security products do not","Image=""*reg.exe"" OR OriginalFileName=""reg.exe"" CommandLine=""*\\SYSTEM\\CurrentControlSet\\Control\\SafeBoot*"" CommandLine IN (""* copy *"", ""* add *"")","",""
"cd219ff3-fa99-45d4-8380-a7d15116c6dc","New User Created Via Net.EXE","Identifies the creation of local users via the net.exe command.","Image IN (""*\\net.exe"", ""*\\net1.exe"") OR OriginalFileName IN (""net.exe"", ""net1.exe"") CommandLine=""*user*"" CommandLine=""*add*"" | table ComputerName,User,CommandLine","",""
"52ff7941-8211-46f9-84f8-9903efb7077d","HackTool - PPID Spoofing SelectMyParent Tool Execution","Detects the use of parent process ID spoofing tools like Didier Stevens tool SelectMyParent","Image=""*\\SelectMyParent.exe"" OR CommandLine IN (""*PPID-spoof*"", ""*ppid_spoof*"", ""*spoof-ppid*"", ""*spoof_ppid*"", ""*ppidspoof*"", ""*spoofppid*"", ""*spoofedppid*"", ""* -spawnto *"") OR OriginalFileName IN (""*PPID-spoof*"", ""*ppid_spoof*"", ""*spoof-ppid*"", ""*spoof_ppid*"", ""*ppidspoof*"", ""*spoofppid*"", ""*spoofedppid*"") OR Description=""SelectMyParent"" OR Imphash IN (""04d974875bd225f00902b4cad9af3fbc"", ""a782af154c9e743ddf3f3eb2b8f3d16e"", ""89059503d7fbf470e68f7e63313da3ad"", ""ca28337632625c8281ab8a130b3d6bad"") OR Hashes IN (""*IMPHASH=04D974875BD225F00902B4CAD9AF3FBC*"", ""*IMPHASH=A782AF154C9E743DDF3F3EB2B8F3D16E*"", ""*IMPHASH=89059503D7FBF470E68F7E63313DA3AD*"", ""*IMPHASH=CA28337632625C8281AB8A130B3D6BAD*"")","",""
"d7eb979b-c2b5-4a6f-a3a7-c87ce6763819","Suspicious Control Panel DLL Load","Detects suspicious Rundll32 execution from control.exe as used by Equation Group and Exploit Kits","ParentImage=""*\\System32\\control.exe"" Image=""*\\rundll32.exe"" OR OriginalFileName=""RUNDLL32.EXE"" NOT CommandLine=""*Shell32.dll*"" | table CommandLine,ParentCommandLine","",""
"bd8b828d-0dca-48e1-8a63-8a58ecf2644f","Group Membership Reconnaissance Via Whoami.EXE","Detects the execution of whoami.exe with the /group command line flag to show group membership for the current user, account type, security identifiers (SID), and attributes.","Image=""*\\whoami.exe"" OR OriginalFileName=""whoami.exe"" CommandLine IN (""* /groups*"", ""* -groups*"")","",""
"1a5fefe6-734f-452e-a07d-fc1c35bce4b2","Firewall Rule Deleted Via Netsh.EXE","Detects the removal of a port or application rule in the Windows Firewall configuration using netsh","Image=""*\\netsh.exe"" OR OriginalFileName=""netsh.exe"" CommandLine=""*firewall*"" CommandLine=""*delete *"" NOT (ParentImage=""*\\Dropbox.exe"" CommandLine=""*name=Dropbox*"")","",""
"05c36dd6-79d6-4a9a-97da-3db20298ab2d","XSL Script Execution Via WMIC.EXE","Detects the execution of WMIC with the ""format"" flag to potentially load XSL files.
Adversaries abuse this functionality to execute arbitrary files while potentially bypassing application whitelisting defenses.
Extensible Stylesheet Language (XSL) files are commonly used to describe the processing and rendering of data within XML files.
","Image=""*\\wmic.exe"" CommandLine IN (""*/format*"", ""*-format*"") NOT (CommandLine IN (""*Format:List*"", ""*Format:htable*"", ""*Format:hform*"", ""*Format:table*"", ""*Format:mof*"", ""*Format:value*"", ""*Format:rawxml*"", ""*Format:xml*"", ""*Format:csv*""))","",""
"6f0947a4-1c5e-4e0d-8ac7-53159b8f23ca","Potentially Suspicious Child Process Of Regsvr32","Detects potentially suspicious child processes of ""regsvr32.exe"".","ParentImage=""*\\regsvr32.exe"" Image IN (""*\\calc.exe"", ""*\\cscript.exe"", ""*\\explorer.exe"", ""*\\mshta.exe"", ""*\\net.exe"", ""*\\net1.exe"", ""*\\nltest.exe"", ""*\\notepad.exe"", ""*\\powershell.exe"", ""*\\pwsh.exe"", ""*\\reg.exe"", ""*\\schtasks.exe"", ""*\\werfault.exe"", ""*\\wscript.exe"") NOT (Image=""*\\werfault.exe"" CommandLine=""* -u -p *"")","",""
"91edcfb1-2529-4ac2-9ecc-7617f895c7e4","Weak or Abused Passwords In CLI","Detects weak passwords or often abused passwords (seen used by threat actors) via the CLI. An example would be a threat actor creating a new user via the net command and providing the password inline","CommandLine IN (""*Asd123.aaaa*"", ""*password123*"", ""*123456789*"", ""*P@ssw0rd!*"")","",""
"21ff4ca9-f13a-41ad-b828-0077b2af2e40","Deletion of Volume Shadow Copies via WMI with PowerShell","Detects deletion of Windows Volume Shadow Copies with PowerShell code and Get-WMIObject. This technique is used by numerous ransomware families such as Sodinokibi/REvil","CommandLine IN (""*Get-WmiObject*"", ""*gwmi*"", ""*Get-CimInstance*"", ""*gcim*"") CommandLine=""*Win32_Shadowcopy*"" CommandLine IN (""*.Delete()*"", ""*Remove-WmiObject*"", ""*rwmi*"", ""*Remove-CimInstance*"", ""*rcim*"")","",""
"ae7fbf8e-f3cb-49fd-8db4-5f3bed522c71","Suspicious PowerShell Invocations - Specific","Detects suspicious PowerShell invocation command parameters","(ScriptBlockText=""*-nop*"" ScriptBlockText=""* -w *"" ScriptBlockText=""*hidden*"" ScriptBlockText=""* -c *"" ScriptBlockText=""*[Convert]::FromBase64String*"") OR (ScriptBlockText=""* -w *"" ScriptBlockText=""*hidden*"" ScriptBlockText=""*-noni*"" ScriptBlockText=""*-nop*"" ScriptBlockText=""* -c *"" ScriptBlockText=""*iex*"" ScriptBlockText=""*New-Object*"") OR (ScriptBlockText=""* -w *"" ScriptBlockText=""*hidden*"" ScriptBlockText=""*-ep*"" ScriptBlockText=""*bypass*"" ScriptBlockText=""*-Enc*"") OR (ScriptBlockText=""*powershell*"" ScriptBlockText=""*reg*"" ScriptBlockText=""*add*"" ScriptBlockText=""*HKCU\\software\\microsoft\\windows\\currentversion\\run*"") OR (ScriptBlockText=""*bypass*"" ScriptBlockText=""*-noprofile*"" ScriptBlockText=""*-windowstyle*"" ScriptBlockText=""*hidden*"" ScriptBlockText=""*new-object*"" ScriptBlockText=""*system.net.webclient*"" ScriptBlockText=""*.download*"") OR (ScriptBlockText=""*iex*"" ScriptBlockText=""*New-Object*"" ScriptBlockText=""*Net.WebClient*"" ScriptBlockText=""*.Download*"") NOT (ScriptBlockText IN (""*(New-Object System.Net.WebClient).DownloadString('https://community.chocolatey.org/install.ps1*"", ""*(New-Object System.Net.WebClient).DownloadString('https://chocolatey.org/install.ps1')*"", ""*Write-ChocolateyWarning*""))","",""
"1eeed653-dbc8-4187-ad0c-eeebb20e6599","Potential SPN Enumeration Via Setspn.EXE","Detects service principal name (SPN) enumeration used for Kerberoasting","Image=""*\\setspn.exe"" OR OriginalFileName=""setspn.exe"" OR (Description=""*Query or reset the computer*"" Description=""*SPN attribute*"") CommandLine IN (""* -q *"", ""* /q *"")","",""
"7b10f171-7f04-47c7-9fa2-5be43c76e535","Visual Basic Command Line Compiler Usage","Detects successful code compilation via Visual Basic Command Line Compiler that utilizes Windows Resource to Object Converter.","ParentImage=""*\\vbc.exe"" Image=""*\\cvtres.exe""","",""
"f24bcaea-0cd1-11eb-adc1-0242ac120002","Suspicious Atbroker Execution","Atbroker executing non-deafualt Assistive Technology applications","Image=""*AtBroker.exe"" CommandLine=""*start*"" NOT (CommandLine IN (""*animations*"", ""*audiodescription*"", ""*caretbrowsing*"", ""*caretwidth*"", ""*colorfiltering*"", ""*cursorscheme*"", ""*filterkeys*"", ""*focusborderheight*"", ""*focusborderwidth*"", ""*highcontrast*"", ""*keyboardcues*"", ""*keyboardpref*"", ""*magnifierpane*"", ""*messageduration*"", ""*minimumhitradius*"", ""*mousekeys*"", ""*Narrator*"", ""*osk*"", ""*overlappedcontent*"", ""*showsounds*"", ""*soundsentry*"", ""*stickykeys*"", ""*togglekeys*"", ""*windowarranging*"", ""*windowtracking*"", ""*windowtrackingtimeout*"", ""*windowtrackingzorder*""))","",""
"536e2947-3729-478c-9903-745aaffe60d2","Suspicious PowerShell Invocations - Specific - ProcessCreation","Detects suspicious PowerShell invocation command parameters","(CommandLine=""*-nop*"" CommandLine=""* -w *"" CommandLine=""*hidden*"" CommandLine=""* -c *"" CommandLine=""*[Convert]::FromBase64String*"") OR (CommandLine=""* -w *"" CommandLine=""*hidden*"" CommandLine=""*-noni*"" CommandLine=""*-nop*"" CommandLine=""* -c *"" CommandLine=""*iex*"" CommandLine=""*New-Object*"") OR (CommandLine=""* -w *"" CommandLine=""*hidden*"" CommandLine=""*-ep*"" CommandLine=""*bypass*"" CommandLine=""*-Enc*"") OR (CommandLine=""*powershell*"" CommandLine=""*reg*"" CommandLine=""*add*"" CommandLine=""*\\software\\*"") OR (CommandLine=""*bypass*"" CommandLine=""*-noprofile*"" CommandLine=""*-windowstyle*"" CommandLine=""*hidden*"" CommandLine=""*new-object*"" CommandLine=""*system.net.webclient*"" CommandLine=""*.download*"") OR (CommandLine=""*iex*"" CommandLine=""*New-Object*"" CommandLine=""*Net.WebClient*"" CommandLine=""*.Download*"") NOT (CommandLine IN (""*(New-Object System.Net.WebClient).DownloadString('https://community.chocolatey.org/install.ps1*"", ""*Write-ChocolateyWarning*""))","",""
"517490a7-115a-48c6-8862-1a481504d5a8","Potential Shim Database Persistence via Sdbinst.EXE","Detects installation of a new shim using sdbinst.exe.
Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by application shims
","Image=""*\\sdbinst.exe"" OR OriginalFileName=""sdbinst.exe"" CommandLine=""*.sdb*"" NOT (ParentImage=""*\\msiexec.exe"" CommandLine=""*iisexpressshim.sdb*"")","",""
