City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
San Diego,UberX,COMPLETED,2019-01-29 13:35:12 +0000 UTC,2019-01-29 14:01:13 +0000 UTC,33.0383209,-117.2727875,"1081 4th Street, Encinitas, CA 92024, US",2019-01-29 14:30:24 +0000 UTC,32.7311558,-117.2013018,"3225 N Harbor Dr, San Diego, 92101, US",26.10,41.93,USD
San Diego,UberX,COMPLETED,2019-01-24 17:47:51 +0000 UTC,2019-01-24 17:55:47 +0000 UTC,33.03837,-117.27283,"1081 4th Street, Encinitas, CA 92024, US",2019-01-24 18:08:28 +0000 UTC,32.94906,-117.23984,"12707 High Bluff Dr, San Diego, CA 92130, USA",7.77,12.85,USD
San Diego,UberX,COMPLETED,2019-01-24 00:49:06 +0000 UTC,2019-01-24 00:52:20 +0000 UTC,33.03836,-117.27281,"1081 4th Street, Encinitas, CA 92024, US",2019-01-24 01:38:30 +0000 UTC,32.82906,-117.15292,"4805 Convoy St, San Diego, CA 92111, US",21.40,35.12,USD
San Diego,UberX,COMPLETED,2019-01-24 00:08:56 +0000 UTC,2019-01-24 00:12:14 +0000 UTC,32.94909,-117.23991,"12707 High Bluff Dr, San Diego, CA 92130, USA",2019-01-24 00:36:52 +0000 UTC,33.03833,-117.27281,"1081 4th Street, Encinitas, CA 92024, USA",7.31,14.51,USD
San Diego,UberX,COMPLETED,2019-01-23 00:16:15 +0000 UTC,2019-01-23 00:19:44 +0000 UTC,32.8225385,-117.1285529,"9330 Balboa Ave, San Diego, CA 92123, USA",2019-01-23 00:40:55 +0000 UTC,32.949047,-117.2398562,"12707 High Bluff Dr, San Diego, CA 92130, USA",12.73,20.08,USD
San Diego,UberX,COMPLETED,2019-01-22 18:15:19 +0000 UTC,2019-01-22 18:19:32 +0000 UTC,33.0384323,-117.2728332,"1081 4th Street, Encinitas, CA 92024, US",2019-01-22 18:32:03 +0000 UTC,32.9490667,-117.2398539,"12707 High Bluff Dr, San Diego, CA 92130, USA",7.84,12.89,USD
San Diego,UberX,COMPLETED,2019-01-18 05:10:31 +0000 UTC,2019-01-18 05:15:34 +0000 UTC,32.73199,-117.19749,"Terminal 1, T1 Transportation Island, San Diego International Airport",2019-01-18 05:47:11 +0000 UTC,33.03813,-117.27281,"1081 4th Street, Encinitas, CA 92024, USA",25.96,39.65,USD
Seattle,UberX,COMPLETED,2019-01-16 02:31:09 +0000 UTC,2019-01-16 02:36:34 +0000 UTC,47.7669325,-122.1916301,"19128 112th Ave NE, Bothell, WA 98011, US",2019-01-16 03:09:47 +0000 UTC,47.4444124,-122.300988,"17801 International Blvd, Seattle, WA 98158, USA",28.52,59.53,USD
Seattle,UberX,COMPLETED,2019-01-15 17:11:45 +0000 UTC,2019-01-15 17:17:56 +0000 UTC,47.4434922,-122.3007081,"Parking Garage, Floor 3, App-based Rideshare, Seattle–Tacoma International Airport",2019-01-15 17:41:43 +0000 UTC,47.6164399,-122.3302135,"1730 Minor Ave, Seattle, WA 98101, USA",15.61,31.84,USD
San Diego,UberX,COMPLETED,2019-01-15 12:25:13 +0000 UTC,2019-01-15 12:53:47 +0000 UTC,33.0384106,-117.272782,"1081 4th Street, Encinitas, CA 92024, US",2019-01-15 13:28:58 +0000 UTC,32.7321491,-117.1982737,"3225 N Harbor Dr, San Diego, 92101, US",25.94,42.35,USD
San Diego,UberX,COMPLETED,2019-01-11 04:41:12 +0000 UTC,2019-01-11 04:45:12 +0000 UTC,32.9490711,-117.2398086,"12707 High Bluff Dr, San Diego, CA 92130, USA",2019-01-11 04:56:35 +0000 UTC,33.0383799,-117.2728286,"1081 4th Street, Encinitas, CA 92024, USA",7.51,12.22,USD
San Diego,UberX,COMPLETED,2019-01-11 04:31:54 +0000 UTC,2019-01-11 04:35:36 +0000 UTC,32.9534098,-117.2334968,"12995 El Camino Real Ste #121, San Diego, CA 92130, US",2019-01-11 04:39:51 +0000 UTC,32.9490553,-117.2394404,"12707 High Bluff Dr, San Diego, CA 92130, USA",0.99,6.65,USD
San Diego,UberX,COMPLETED,2019-01-11 01:53:03 +0000 UTC,2019-01-11 01:58:40 +0000 UTC,32.94904,-117.23984,"12707 High Bluff Dr, San Diego, CA 92130, USA",2019-01-11 02:00:42 +0000 UTC,32.95392,-117.23352,"12995 El Camino Real Ste #121, San Diego, CA 92130, US",0.61,6.65,USD
San Diego,UberX,COMPLETED,2019-01-03 18:58:20 +0000 UTC,2019-01-03 19:03:40 +0000 UTC,33.03831,-117.27281,"1081 4th Street, Encinitas, CA 92024, US",2019-01-03 19:16:24 +0000 UTC,32.9493,-117.24019,"12707 High Bluff Dr, San Diego, CA 92130, USA",7.50,16.97,USD
San Diego,UberX,COMPLETED,2018-12-29 01:10:38 +0000 UTC,2018-12-29 01:14:19 +0000 UTC,32.7318504,-117.1977026,"Terminal 1, T1 Transportation Island, San Diego International Airport",2018-12-29 01:51:47 +0000 UTC,33.0383034,-117.2728053,"1081 4th Street, Encinitas, CA 92024, USA",25.57,38.62,USD
San Diego,UberX,COMPLETED,2018-12-21 12:21:02 +0000 UTC,2018-12-21 12:47:10 +0000 UTC,33.03833,-117.27281,"1081 4th Street, Encinitas, CA 92024, US",2018-12-21 13:16:14 +0000 UTC,32.73133,-117.1963,"3225 N Harbor Dr, San Diego, 92101, US",25.68,36.71,USD
San Diego,UberX,CANCELED,2018-12-21 07:08:30 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,33.038339,-117.272555,,1970-01-01 00:00:00 +0000 UTC,33.038339,-117.272555,,0.00,0,USD
San Diego,UberX,COMPLETED,2018-12-20 23:02:49 +0000 UTC,2018-12-20 23:05:57 +0000 UTC,32.73207,-117.19783,"Terminal 1, T1 Transportation Island, San Diego International Airport",2018-12-20 23:54:38 +0000 UTC,33.03833,-117.27275,"1081 4th Street, Encinitas, CA 92024, USA",25.57,41.79,USD
Portland,UberX,COMPLETED,2018-12-20 10:33:08 +0000 UTC,2018-12-20 10:41:42 +0000 UTC,45.54307,-122.72154,"2839 NW St Helens Rd, Portland, 97210, US",2018-12-20 10:53:48 +0000 UTC,45.5323,-122.73772,"5947 NW Cornell Rd, Portland, OR 97210, USA",3.96,9.71,USD
Portland,UberX,COMPLETED,2018-12-20 08:31:24 +0000 UTC,2018-12-20 08:50:59 +0000 UTC,45.53227,-122.73799,"5947 NW Cornell Rd, Portland, OR 97210, US",2018-12-20 09:02:03 +0000 UTC,45.54308,-122.72153,"2839 NW St Helens Rd, Portland, 97210, US",4.32,11.15,USD
San Diego,UberX,COMPLETED,2018-12-17 12:20:11 +0000 UTC,2018-12-17 12:48:29 +0000 UTC,33.0383,-117.27281,"1081 4th Street, Encinitas, CA 92024, US",2018-12-17 13:17:30 +0000 UTC,32.73213,-117.19839,"3225 N Harbor Dr, San Diego, 92101, US",25.86,42.95,USD
San Diego,UberX,COMPLETED,2018-12-15 07:40:14 +0000 UTC,2018-12-15 07:53:38 +0000 UTC,32.74876,-117.13023,"30th St and University Ave, San Diego, CA 92104, US",2018-12-15 08:07:48 +0000 UTC,32.76388,-117.08596,"4732 Altadena Ave, San Diego, CA 92115, USA",6.37,21.25,USD
San Diego,UberX,COMPLETED,2018-12-15 03:25:18 +0000 UTC,2018-12-15 03:32:47 +0000 UTC,32.7635748,-117.0858489,"4732 Altadena Ave, San Diego, CA 92115, USA",2018-12-15 03:44:04 +0000 UTC,32.7485169,-117.1352591,"2632 University Ave, San Diego, CA 92104, USA",6.64,17.85,USD
San Diego,UberX,COMPLETED,2018-12-06 20:49:58 +0000 UTC,2018-12-06 20:52:01 +0000 UTC,32.95341,-117.23335,"12995 El Camino Real Ste #121, San Diego, CA 92130, US",2018-12-06 20:59:22 +0000 UTC,32.94898,-117.23989,"12707 High Bluff Dr Suite 200, San Diego, CA 92130, USA",1.10,6.65,USD
Las Vegas,UberX,COMPLETED,2018-12-01 08:27:29 +0000 UTC,2018-12-01 08:31:26 +0000 UTC,36.11064,-115.17522,"Las Vegas Strip, Cosmopolitan, Main Entrance, Las Vegas Strip",2018-12-01 08:43:49 +0000 UTC,36.10175,-115.16853,"3799 S Las Vegas Blvd, Las Vegas, 89109, US",1.02,7.22,USD
Las Vegas,UberX,COMPLETED,2018-12-01 04:57:00 +0000 UTC,2018-12-01 05:01:58 +0000 UTC,36.1015189,-115.1750933,"New York New York, Main Entrance, New York New York",2018-12-01 05:10:29 +0000 UTC,36.1080436,-115.1774283,"3730 S Las Vegas Blvd, Las Vegas, 89158, US",1.73,9.15,USD
Las Vegas,UberX,COMPLETED,2018-12-01 02:30:24 +0000 UTC,2018-12-01 02:35:04 +0000 UTC,36.10813,-115.17785,"ARIA, North Valet - Lower Level, ARIA",2018-12-01 02:40:22 +0000 UTC,36.10112,-115.17591,"3790 S Las Vegas Blvd, Las Vegas, 89109, US",1.48,9.08,USD
Las Vegas,UberX,COMPLETED,2018-12-01 01:05:23 +0000 UTC,2018-12-01 01:11:13 +0000 UTC,36.1082,-115.17761,"ARIA, North Valet - Lower Level, ARIA",2018-12-01 01:23:16 +0000 UTC,36.10389,-115.17239,"3771 Las Vegas Blvd S, Las Vegas, 89109, US",1.69,8.99,USD
Las Vegas,UberX,COMPLETED,2018-11-30 20:53:30 +0000 UTC,2018-11-30 20:57:34 +0000 UTC,36.10154,-115.17495,"New York New York, Main Entrance, New York New York",2018-11-30 21:01:36 +0000 UTC,36.10761,-115.17565,"3730 S Las Vegas Blvd, Las Vegas, 89158, US",0.76,8.8,USD
Las Vegas,UberX,COMPLETED,2018-11-30 11:06:53 +0000 UTC,2018-11-30 11:10:23 +0000 UTC,36.13523,-115.17122,"3025 Sammy Davis Jr Dr, Las Vegas, 89109, US",2018-11-30 11:17:43 +0000 UTC,36.10145,-115.17446,"3790 S Las Vegas Blvd, Las Vegas, 89109, US",3.19,10.3,USD
Las Vegas,UberX,COMPLETED,2018-11-30 08:49:12 +0000 UTC,2018-11-30 08:51:35 +0000 UTC,36.1393316,-115.1628078,"800 Circus Circus Dr, Las Vegas, NV 89109, USA",2018-11-30 09:42:02 +0000 UTC,36.135855,-115.170743,"3131 Las Vegas Blvd S, Las Vegas, 89109, US",7.95,21.84,USD
Las Vegas,UberX,COMPLETED,2018-11-30 05:19:59 +0000 UTC,2018-11-30 05:24:38 +0000 UTC,36.10162,-115.17546,"New York New York, Main Entrance, New York New York",2018-11-30 05:33:43 +0000 UTC,36.14036,-115.15965,"311 W Sahara Ave, Las Vegas, 89109, US",4.54,11.52,USD
Las Vegas,UberX,COMPLETED,2018-11-30 00:21:01 +0000 UTC,2018-11-30 00:24:02 +0000 UTC,36.1281998,-115.1694726,"Fashion Show Mall, Forever 21 Entrance, Fashion Show Mall",2018-11-30 00:32:44 +0000 UTC,36.103751,-115.1758634,"3790 S Las Vegas Blvd, Las Vegas, 89109, US",2.49,10.33,USD
Las Vegas,UberX,CANCELED,2018-11-29 22:58:43 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,36.1210165,-115.1708287,,1970-01-01 00:00:00 +0000 UTC,36.1202369,-115.1692922,"3790 S Las Vegas Blvd, Las Vegas, 89109, US",0.00,5.15,USD
Las Vegas,UberX,COMPLETED,2018-11-29 18:50:06 +0000 UTC,2018-11-29 18:55:39 +0000 UTC,36.10141,-115.17526,"New York New York, Main Entrance, New York New York",2018-11-29 19:09:43 +0000 UTC,36.12131,-115.17044,"3355 Las Vegas Blvd S, Las Vegas, 89109, US",1.84,10.65,USD
Las Vegas,UberX,COMPLETED,2018-11-27 02:22:28 +0000 UTC,2018-11-27 02:24:20 +0000 UTC,36.1014995,-115.174921,"New York New York, Main Entrance, New York New York",2018-11-27 02:48:06 +0000 UTC,36.1211125,-115.1705057,"3355 Las Vegas Blvd S, Las Vegas, 89109, US",7.26,15.5,USD
Las Vegas,UberX,COMPLETED,2018-11-27 01:44:04 +0000 UTC,2018-11-27 01:48:14 +0000 UTC,36.0863733,-115.147754,"Terminal 1, Parking Garage, Level 2M, McCarran International Airport",2018-11-27 02:07:10 +0000 UTC,36.1014696,-115.1746473,"3790 Las Vegas Blvd S, Las Vegas, 89109, US",3.13,11.05,USD
San Diego,UberX,COMPLETED,2018-11-26 22:50:45 +0000 UTC,2018-11-26 22:59:42 +0000 UTC,33.0383036,-117.2727972,"1081 4th Street, Encinitas, CA 92024, US",2018-11-26 23:36:43 +0000 UTC,32.7317633,-117.1969271,"SAN Airport, San Diego, CA 92101, US",25.92,40.97,USD
San Diego,UberX,COMPLETED,2018-11-17 00:55:09 +0000 UTC,2018-11-17 01:06:48 +0000 UTC,33.0383383,-117.272832,"1081 4th Street, Encinitas, CA 92024, US",2018-11-17 01:13:07 +0000 UTC,33.0447145,-117.2930459,"700-796 S Vulcan Ave, Encinitas, CA 92024, USA",1.62,6.65,USD
San Diego,UberX,COMPLETED,2018-11-13 16:15:23 +0000 UTC,2018-11-13 16:23:58 +0000 UTC,33.0383868,-117.2728128,"1081 4th Street, Encinitas, CA 92024, US",2018-11-13 17:04:21 +0000 UTC,32.8431509,-117.2749123,"7660 Fay Ave Ste I, La Jolla, CA 92037, US",17.19,25.92,USD
San Diego,UberX,CANCELED,2018-11-13 16:14:14 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,32.9949192,-117.2597771,,1970-01-01 00:00:00 +0000 UTC,32.9949227,-117.2597761,"7660 Fay Ave Ste I, La Jolla, CA 92037, US",0.00,0,USD
San Diego,UberX,COMPLETED,2018-11-13 04:43:50 +0000 UTC,2018-11-13 04:46:18 +0000 UTC,32.84618,-117.27301,"7845 Herschel Ave, La Jolla, CA 92037, US",2018-11-13 05:06:09 +0000 UTC,33.03826,-117.27281,"1081 4th Street, Encinitas, CA 92024, USA",17.02,26,USD
San Diego,UberX,COMPLETED,2018-11-12 16:13:53 +0000 UTC,2018-11-12 16:17:40 +0000 UTC,33.03831,-117.27281,"1081 4th Street, Encinitas, CA 92024, US",2018-11-12 16:45:11 +0000 UTC,32.84259,-117.27576,"7580 Fay Ave, La Jolla, CA 92037, USA",17.55,28.42,USD
San Diego,UberX,COMPLETED,2018-11-11 03:35:07 +0000 UTC,2018-11-11 03:37:18 +0000 UTC,33.04419,-117.29352,"641 S Coast Highway 101, Encinitas, CA 92024, US",2018-11-11 03:41:38 +0000 UTC,33.03839,-117.2728,"1081 4th Street, Encinitas, CA 92024, USA",1.92,6.25,USD
Los Angeles,UberX,COMPLETED,2018-11-10 09:44:07 +0000 UTC,2018-11-10 09:46:51 +0000 UTC,34.0845659,-118.2831326,"841 Lucile Ave, Los Angeles, CA 90026, USA",2018-11-10 09:52:11 +0000 UTC,34.070492,-118.2802743,"112 S Occidental Blvd, Los Angeles, CA 90057, US",1.45,9.79,USD
Los Angeles,UberX,COMPLETED,2018-11-10 06:18:07 +0000 UTC,2018-11-10 06:20:29 +0000 UTC,34.07043,-118.28032,"112 S Occidental Blvd, Los Angeles, CA 90057, USA",2018-11-10 06:24:49 +0000 UTC,34.08458,-118.28312,"841 Lucile Ave, Los Angeles, CA 90026, USA",1.21,6.15,USD
San Diego,UberX,COMPLETED,2018-11-02 16:41:01 +0000 UTC,2018-11-02 16:45:25 +0000 UTC,33.0383466,-117.272796,"1081 4th Street, Encinitas, CA 92024, US",2018-11-02 16:58:44 +0000 UTC,33.1385708,-117.2946213,"1555 Faraday Ave, Carlsbad, CA 92008, USA",10.80,17.67,USD
San Diego,UberX,COMPLETED,2018-11-01 20:22:20 +0000 UTC,2018-11-01 20:26:51 +0000 UTC,32.8698827,-117.2152351,"4282 Esplanade Ct, San Diego, CA 92122, US",2018-11-01 20:46:29 +0000 UTC,33.0383099,-117.2728582,"1081 4th Street, Encinitas, CA 92024, USA",13.93,20.27,USD
San Diego,UberX,COMPLETED,2018-11-01 18:27:03 +0000 UTC,2018-11-01 18:33:09 +0000 UTC,33.0382766,-117.2727909,"1081 4th Street, Encinitas, CA 92024, US",2018-11-01 19:00:44 +0000 UTC,32.8699535,-117.2148702,"4282 Esplanade Ct, San Diego, CA 92122, US",14.37,23.61,USD
San Diego,UberX,COMPLETED,2018-10-26 05:14:22 +0000 UTC,2018-10-26 05:19:53 +0000 UTC,32.73188,-117.19781,"Terminal 1, T1 Transportation Island, San Diego International Airport",2018-10-26 05:48:56 +0000 UTC,33.04194,-117.27543,"1081 4th Street, Encinitas, CA 92024, USA",26.37,41.18,USD
Portland,UberX,COMPLETED,2018-10-25 23:57:57 +0000 UTC,2018-10-26 00:00:32 +0000 UTC,45.5178583,-122.6773219,"700 SW 5th Ave level 1, Portland, OR 97204, US",2018-10-26 00:06:10 +0000 UTC,45.5173951,-122.6826245,"723 SW Salmon St, Portland, OR 97205, US",0.53,13.73,USD
San Diego,UberX,COMPLETED,2018-10-16 23:28:47 +0000 UTC,2018-10-16 23:38:11 +0000 UTC,33.03827,-117.27281,"1081 4th Street, Encinitas, CA 92024, US",2018-10-16 23:54:51 +0000 UTC,32.90458,-117.23983,"10996 Torreyana Rd, San Diego, CA 92121, US",13.79,19.07,USD
San Diego,UberX,COMPLETED,2018-10-05 18:19:42 +0000 UTC,2018-10-05 18:24:43 +0000 UTC,32.73196,-117.19738,"Terminal 1, T1 Transportation Island, San Diego International Airport",2018-10-05 18:59:38 +0000 UTC,33.03835,-117.27281,"1081 4th Street, Encinitas, CA 92024, USA",25.61,39.18,USD
Orlando,UberX,COMPLETED,2018-10-05 10:42:28 +0000 UTC,2018-10-05 10:47:56 +0000 UTC,28.3610289,-81.5034363,"8463 Vacation Way, Orlando, FL 32821, USA",2018-10-05 11:13:32 +0000 UTC,28.4420782,-81.3073856,"1 Jeff Fuqua Blvd, Orlando, 32827, US",19.55,25.58,USD
Orlando,UberX,COMPLETED,2018-10-04 16:18:04 +0000 UTC,2018-10-04 16:24:41 +0000 UTC,28.3608147,-81.5032652,"8404 Vacation Way, Orlando, FL 32821, US",2018-10-04 16:38:03 +0000 UTC,28.3655308,-81.5582733,"Dolphin Hotel Convention Center, Kissimmee, FL 34747, USA",5.38,8.48,USD
Orlando,UberX,COMPLETED,2018-10-04 15:51:48 +0000 UTC,2018-10-04 15:53:53 +0000 UTC,28.3651395,-81.5586412,"Swan Hotel, Kissimmee, FL 34747, USA",2018-10-04 16:04:07 +0000 UTC,28.361188,-81.5037743,"8404 Vacation Way, Orlando, FL 32821, USA",4.56,8.61,USD
Orlando,UberX,COMPLETED,2018-10-03 20:31:49 +0000 UTC,2018-10-03 20:38:56 +0000 UTC,28.36054,-81.50359,"8463 Vacation Way, Orlando, FL 32821, USA",2018-10-03 21:16:17 +0000 UTC,28.367,-81.56174,"1500 Epcot Resorts Blvd, Orlando, 32830, US",11.19,17.51,USD
Orlando,UberX,COMPLETED,2018-10-03 18:06:22 +0000 UTC,2018-10-03 18:10:16 +0000 UTC,28.36541,-81.55842,"Epcot Resorts-Hollywood Studios Connector, Kissimmee, FL 34747, USA",2018-10-03 18:23:48 +0000 UTC,28.36108,-81.50393,"8404 Vacation Way, Orlando, FL 32821, USA",5.40,8.93,USD
Orlando,UberXL,COMPLETED,2018-10-03 02:26:29 +0000 UTC,2018-10-03 02:30:13 +0000 UTC,28.3671379,-81.5613507,"1500 Epcot Resorts Blvd, Orlando, FL 32830, USA",2018-10-03 02:44:29 +0000 UTC,28.3611222,-81.5039017,"8404 Vacation Way, Orlando, FL 32821, USA",7.29,17.37,USD
Orlando,UberX,COMPLETED,2018-10-02 19:03:40 +0000 UTC,2018-10-02 19:07:08 +0000 UTC,28.36066,-81.50343,"8493 Vacation Way, Orlando, FL 32821, US",2018-10-02 19:19:11 +0000 UTC,28.36545,-81.55853,"Dolphin Hotel Convention Center, Kissimmee, FL 34747, USA",4.38,8.72,USD
Orlando,UberX,COMPLETED,2018-10-02 17:05:45 +0000 UTC,2018-10-02 17:08:55 +0000 UTC,28.36713,-81.56164,"1500 Epcot Resorts Blvd, Orlando, FL 32830, USA",2018-10-02 17:21:38 +0000 UTC,28.36115,-81.50391,"8404 Vacation Way, Orlando, FL 32821, USA",4.80,9.74,USD
Orlando,UberX,DRIVER_CANCELED,2018-10-02 17:03:58 +0000 UTC,2018-10-02 17:04:21 +0000 UTC,28.3652683,-81.5623054,"Dolphin Hotel Convention Center, Kissimmee, FL 34747, USA",1970-01-01 00:00:00 +0000 UTC,28.3674015,-81.5628075,"8404 Vacation Way, Orlando, FL 32821, US",0.00,0,USD
Orlando,UberX,COMPLETED,2018-10-02 13:23:06 +0000 UTC,2018-10-02 13:29:46 +0000 UTC,28.360947,-81.5030737,"8404 Vacation Way, Orlando, FL 32821, US",2018-10-02 13:42:42 +0000 UTC,28.3375546,-81.5530542,"700 S Victory Way, Kissimmee, 34747, US",8.51,10.95,USD
Orlando,UberX,COMPLETED,2018-10-02 00:13:09 +0000 UTC,2018-10-02 00:28:32 +0000 UTC,28.4321,-81.30634,"Terminal A - Level 2, Baggage Claim 14, Orlando International Airport",2018-10-02 00:54:26 +0000 UTC,28.36056,-81.51001,"8701 World Center Dr, Orlando, 32821, US",19.96,34.4,USD
San Diego,UberX,COMPLETED,2018-10-01 17:34:22 +0000 UTC,2018-10-01 17:41:18 +0000 UTC,33.03836,-117.27281,"1081 4th Street, Encinitas, CA 92024, US",2018-10-01 18:16:40 +0000 UTC,32.73204,-117.1977,"SAN Airport, San Diego, CA 92101, US",25.70,39.51,USD
Honolulu,UberXL,COMPLETED,2018-09-26 04:58:58 +0000 UTC,2018-09-26 05:02:12 +0000 UTC,21.27729,-157.82708,"2335 Kalakaua Ave Ste 116, Honolulu, 96815, US",2018-09-26 05:12:54 +0000 UTC,21.28504,-157.83939,"1775 Ala Moana Blvd, Honolulu, 96815, US",1.72,14.85,USD
Honolulu,UberXL,CANCELED,2018-09-26 04:52:56 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,21.29015,-157.84575,,1970-01-01 00:00:00 +0000 UTC,21.2850554148,-157.83919869,"2335 Kalakaua Ave Ste 116, Honolulu, 96815, US",0.00,5,USD
Honolulu,UberX,COMPLETED,2018-09-26 02:49:24 +0000 UTC,2018-09-26 02:57:08 +0000 UTC,21.2853129,-157.8391841,"1775 Ala Moana Blvd, Honolulu, 96815, US",2018-09-26 03:05:00 +0000 UTC,21.2777422,-157.8274003,"2335 Kalakaua Ave Ste 116, Honolulu, 96815, US",1.22,8.51,USD
