method
addImportedDirectoryUriCatalogs
updatePhone
removeVpnGateway
listEnterpriseFeatureAccessConfiguration
getCCAProfiles
addSipTrunk
updatePhoneSecurityProfile
listCiscoCatalyst6000T1VoIPGatewayT1
getVoiceMailPort
applyPhoneButtonTemplate
getLbmGroup
getCcdFeatureConfig
addCallerFilterList
removeUniversalLineTemplate
addCommonPhoneConfig
listRoutePattern
addSoftKeyTemplate
applyCiscoCatalyst6000T1VoIPGatewayT1
getPhoneNtp
applyTranscoder
listWLANProfile
addCommonDeviceConfig
removeSoftKeyTemplate
getSipProfileOptions
removeLdapFilter
listPresenceGroup
addGatewaySubunits
resetPhoneSecurityProfile
getSoftKeySet
removeGatewayEndpointDigitalAccessPri
updateH323Phone
updateImeExclusionNumberGroup
getSafSecurityProfile
removeAdvertisedPatterns
addUserPhoneAssociation
doAuthenticateUser
listSrst
getDefaultDeviceProfile
removeImeLearnedRoutes
updateConferenceBridge
addCCAProfiles
listLdapSyncCustomField
removeRouteFilter
addCss
getMohAudioSource
addSNMPCommunityString
listDeviceMobility
removeCcdHostedDN
addGeoLocation
listServiceParameter
addCalledPartyTransformationPattern
removeVg224
listUnassignedPresenceUsers
getIvrUserLocale
updateResourcePriorityNamespaceList
listSipRealm
getProcessNodeService
addFacInfo
listDirNumberAliasLookupandSync
removeRegion
getCallPickupGroup
getDialPlan
listMessageWaiting
updateDevicePool
removeHuntList
listSipProfile
updateGatekeeper
restartCiscoCatalyst600024PortFXSGateway
updateImeExclusionNumber
addImeExclusionNumberGroup
updateLocation
updateCallPickupGroup
addDhcpSubnet
updateGatewayEndpointDigitalAccessBri
getVg224
resetTranscoder
resetResourcePriorityNamespaceList
updateFeatureControlPolicy
updateTransPattern
updateRemoteDestinationProfile
listCss
getTimePeriod
addDefaultDeviceProfile
getApplicationDialRules
applyLine
getGatekeeper
updateSdpTransparencyProfile
addSrst
removeDeviceMobilityGroup
removeServiceProfile
listDateTimeGroup
getWLANProfile
addApplicationToSoftkeyTemplate
removeH323Trunk
listCallManager
updateSelfProvisioning
updateMobileVoiceAccess
listWlanProfileGroup
listCCAProfiles
removeCiscoCatalyst600024PortFXSGateway
getAppUser
restartGatekeeper
addImeE164Transformation
updateRemoteDestination
updateMobilityProfile
listCallingPartyTransformationPattern
listAnnunciator
removeWlanProfileGroup
updatePhysicalLocation
getServiceProfile
getSIPNormalizationScript
getSNMPMIB2List
addIvrUserLocale
listApplicationServer
listCommonDeviceConfig
listImportedDirectoryUriCatalogs
listDirectedCallPark
updateIpPhoneServices
getImeRouteFilterElement
removeFeatureControlPolicy
getSNMPUser
removeLbmHubGroup
addVg224
updateIvrUserLocale
addGatewaySccpEndpoints
listMobileSmartClientProfile
removeSIPNormalizationScript
addSIPNormalizationScript
listDialPlan
updateCallerFilterList
getH323Phone
updateImportedDirectoryUriCatalogs
updatePhoneButtonTemplate
listH323Trunk
addImeExclusionNumber
getUser
removeSNMPCommunityString
removeTimeSchedule
getSipRoutePattern
addCcdRequestingService
removeRemoteDestination
lockPhone
updateHandoffConfiguration
removeUserGroup
removeTodAccess
getGatewayEndpointAnalogAccess
listIpPhoneServices
addRemoteDestination
updateCss
listServiceProfile
getDdi
executeSQLUpdate
removeEndUserCapfProfile
removePhone
addResourcePriorityNamespace
resetCallManager
addRouteList
addDeviceMobility
updateBillingServer
getRegion
getTransPatternOptions
removeApplicationToSoftkeyTemplate
listUserProfileProvision
removeDirectoryLookupDialRules
updateCiscoCatalyst600024PortFXSGateway
addSipRealm
getPhysicalLocation
removePresenceGroup
getAnnunciator
addAarGroup
updateNetworkAccessProfile
getLocation
updateApplicationServer
removeCommonPhoneConfig
resetSipTrunk
listPhoneButtonTemplate
restartResourcePriorityNamespace
getSipRealm
listDhcpServer
removeUserProfileProvision
updateCallingPartyTransformationPattern
addLocalRouteGroup
getConferenceBridge
listVpnGroup
listRouteGroup
updateVoiceMailProfile
applyGateway
addH323Gateway
updateCCAProfiles
listSipRoutePattern
listImeE164Transformation
listImeExclusionNumberGroup
addVoiceMailPilot
updateWifiHotspot
updateImeFirewall
removeWLANProfile
listMobilityProfile
listGeoLocationFilter
getFallbackProfile
applyCiscoCatalyst6000E1VoIPGateway
listLocalRouteGroup
getSafForwarder
updateUniversalDeviceTemplate
updateAnnouncement
addUniversalDeviceTemplate
listRemoteDestinationProfile
getGateway
updateGeoLocation
listAudioCodecPreferenceList
removeGeoLocationPolicy
removeResourcePriorityNamespaceList
removeVohServer
addCcdAdvertisingService
addTimeSchedule
addServiceProfile
addSNMPUser
updateCallManager
listProcessNodeService
updateImeEnrolledPatternGroup
removeCiscoCatalyst6000T1VoIPGatewayPri
listFacInfo
updateCommonDeviceConfig
getFixedMohAudioSource
updateExternalCallControlProfile
restartH323Trunk
removeGatekeeper
resetCommonPhoneConfig
updateSafForwarder
resetCtiRoutePoint
removeCumaServerSecurityProfile
addMtp
listSdpTransparencyProfile
removeCcdAdvertisingService
applyCommonDeviceConfig
getInterClusterServiceProfile
removeImeRouteFilterElement
updateRegion
updateCumaServerSecurityProfile
listVoiceMailPort
addVpnGroup
removeSafSecurityProfile
getImeServer
applyMtp
updateGeoLocationFilter
updateTranscoder
getEmccFeatureConfig
removeTranscoder
listCommonPhoneConfig
getCallManager
listApplicationUserCapfProfile
getLdapFilter
addH323Phone
listImeEnrolledPattern
listDeviceMobilityGroup
removeImeExclusionNumber
getImeEnrolledPatternGroup
removeRouteGroup
listAssignedPresenceUsers
removeLocation
addAdvertisedPatterns
addConferenceBridge
applyRouteList
resetConferenceBridge
listImeServer
removeExternalCallControlProfile
removeMlppDomain
updateSNMPCommunityString
addLbmGroup
updateUcService
listApplicationDialRules
getResourcePriorityNamespaceList
resetDevicePool
removeVpnGroup
updateResourcePriorityNamespace
getImeFeatureConfig
updateLocalRouteGroup
resetCiscoCatalyst6000E1VoIPGateway
updateDeviceProfile
listFallbackProfile
listExternalCallControlProfile
listCallPickupGroup
removeDefaultDeviceProfile
addVoiceMailPort
updateRoutePartitionsForLearnedPatterns
getVpnGroup
getSipTrunk
listAnnouncement
addCallingPartyTransformationPattern
removeWifiHotspot
getTransPattern
addRouteGroup
removePhoneNtp
addDirectoryLookupDialRules
addProcessNode
applyCommonPhoneConfig
addHuntPilot
getCallManagerGroup
applyCiscoCatalyst600024PortFXSGateway
getDirNumberAliasLookupandSync
listFeatureGroupTemplate
getAppServerInfo
listFeatureControlPolicy
getFacInfo
listAppUser
getTimeSchedule
getPhoneOptions
getUniversalDeviceTemplate
updateCiscoCatalyst6000T1VoIPGatewayPri
updateFallbackProfile
updateIlsConfig
removeGatewayEndpointAnalogAccess
addSdpTransparencyProfile
updateMediaResourceList
updateSipDialRules
getImeEnrolledPattern
updateRemoteCluster
getBillingServer
addAppServerInfo
removeMohAudioSource
updateSafCcdPurgeBlockLearnedRoutes
removeIpPhoneServices
addWlanProfileGroup
getCommonDeviceConfig
listCiscoCatalyst600024PortFXSGateway
listEndUserCapfProfile
updateLdapDirectory
applySipProfile
getTvsCertificate
resetLine
removeCredentialPolicy
removeCallingPartyTransformationPattern
getSoftKeyTemplate
removeGatewayEndpointDigitalAccessT1
getCommonPhoneConfig
applyH323Gateway
addRecordingProfile
addSipTrunkSecurityProfile
getCcdAdvertisingService
resetResourcePriorityNamespace
getImeExclusionNumber
addVohServer
restartSoftKeyTemplate
getPhoneButtonTemplate
getMohServer
getPhone
getTransformationProfile
getPresenceGroup
removeAppUser
getCCMVersion
updateEndUserCapfProfile
addEnterpriseFeatureAccessConfiguration
getEnterpriseFeatureAccessConfiguration
addLdapFilter
removeApplicationServer
getSipProfile
updateInterClusterServiceProfile
applyPhoneSecurityProfile
addRemoteCluster
removeMobileVoiceAccess
updateGatewayEndpointDigitalAccessPri
addCcdHostedDN
addCiscoCatalyst600024PortFXSGateway
addCallPark
updateLdapSystem
updateMohAudioSource
addSafSecurityProfile
getCredentialPolicy
removeConferenceBridge
addDevicePool
getDhcpServer
listIvrUserLocale
getVoiceMailProfile
removeDirectedCallPark
addLineGroup
removeSafForwarder
applyHuntList
updateSipRealm
getImeExclusionNumberGroup
getDeviceProfileOptions
addSipDialRules
listGeoLocation
removeGeoLocationFilter
getImeLearnedRoutes
removeDateTimeGroup
listCallManagerGroup
restartVoiceMailPort
updateAarGroup
listGateway
removeVoiceMailProfile
addHuntList
addWifiHotspot
listNetworkAccessProfile
addMediaResourceList
updateMlppDomain
removeUser
removeAnnouncement
listVoiceMailProfile
getSipDialRules
removeIvrUserLocale
doLdapSync
addGateway
removeImeEnrolledPattern
updateGatewayEndpointAnalogAccess
addImeRouteFilterElement
listCiscoCatalyst6000E1VoIPGateway
getExternalCallControlProfile
addPhysicalLocation
addMeetMe
updateImeFeatureConfig
getDeviceMobilityGroup
listPhone
getVoiceMailPilot
getGeoLocation
getCmcInfo
getDialPlanTag
listSafSecurityProfile
getUniversalLineTemplate
removeMeetMe
removeFallbackProfile
listVpnProfile
listSipDialRules
getCcdHostedDNGroup
updateAarGroupMatrix
listSafCcdPurgeBlockLearnedRoutes
getDirectoryLookupDialRules
getCiscoCatalyst6000T1VoIPGatewayPri
listWifiHotspot
listCalledPartyTransformationPattern
addRoutePartition
updateUserProfileProvision
updatePageLayoutPreferences
restartSrst
listResourcePriorityNamespaceList
restartH323Gateway
updateDhcpServer
updateCiscoCatalyst6000T1VoIPGatewayT1
listLdapFilter
getGatewayEndpointDigitalAccessPri
addFeatureControlPolicy
removeDeviceMobility
listUcService
updateCalledPartyTransformationPattern
getRoutePartition
updateEmccFeatureConfig
resetCiscoCatalyst6000T1VoIPGatewayPri
listUserGroup
removePresenceRedundancyGroup
getGatewayEndpointDigitalAccessBri
addMlppDomain
restartMtp
updateFallbackFeatureConfig
removeCmcInfo
addRemoteDestinationProfile
listDeviceProfile
updateVpnProfile
updateSipTrunk
removeFeatureGroupTemplate
applySipTrunkSecurityProfile
listDialPlanTag
getCiscoCatalyst6000T1VoIPGatewayT1
updateTransformationProfile
getWlanProfileGroup
getImeRouteFilterGroup
resetGatekeeper
getMobileVoiceAccess
listRemoteDestination
updateTimePeriod
listPhoneSecurityProfile
listCustomUserField
updateH323Trunk
updatePresenceGroup
applyCallManagerGroup
listRecordingProfile
addImeClient
removeMediaResourceGroup
addDateTimeGroup
resetVoiceMailProfile
addNetworkAccessProfile
updateUserGroup
getRemoteDestinationProfile
getApplicationServer
getAudioCodecPreferenceList
updateImeRouteFilterGroup
addIpPhoneServices
addCtiRoutePoint
listBlockedLearnedPatterns
addAppUser
getDeviceMobility
updateLdapSyncCustomField
listCmcInfo
updateSipTrunkSecurityProfile
restartRoutePartition
updateApplicationUserCapfProfile
listCtiRoutePoint
getLdapDirectory
listLbmHubGroup
listRouteFilter
getMobility
listRemoteCluster
applyH323Phone
getCallerFilterList
updateAppServerInfo
addCumaServerSecurityProfile
addDirectedCallPark
listDirectoryLookupDialRules
removeImeExclusionNumberGroup
doUpdateRemoteCluster
removeTimePeriod
addCcdHostedDNGroup
removeImeE164Transformation
getVpnProfile
updateSNMPUser
removeCiscoCatalyst6000T1VoIPGatewayT1
listUnassignedPresenceServers
addHandoffConfiguration
removeRecordingProfile
updateGeoLocationPolicy
removeCCAProfiles
listGatekeeper
getCiscoCatalyst6000E1VoIPGateway
getCallPark
addApplicationUserCapfProfile
addGeoLocationFilter
updateAudioCodecPreferenceList
listTranscoder
addRegion
applySrst
getPhoneSecurityProfile
listCalledPartyTracing
applyDateTimeGroup
addSipProfile
removeUcService
getMediaResourceList
removeHuntPilot
removeSdpTransparencyProfile
restartSipProfile
removeBlockedLearnedPatterns
addSipRoutePattern
updateDeviceMobility
getSipTrunkSecurityProfile
addFallbackProfile
removeMtp
getDirectedCallPark
getMobilityProfile
getMediaResourceGroup
updateDhcpSubnet
getCallingPartyTransformationPattern
listAarGroup
listImeEnrolledPatternGroup
listTvsCertificate
getPhoneTypeDisplayInstance
removeImeEnrolledPatternGroup
getCcdHostedDN
getImeClient
getH323Trunk
updateUser
updateRouteGroup
getCustomUserField
updateApplicationDialRules
removeUnitsToGateway
removeNetworkAccessProfile
updateImeClient
addTodAccess
applyVoiceMailProfile
addApplicationDialRules
addDhcpServer
restartCiscoCatalyst6000T1VoIPGatewayPri
updateBlockedLearnedPatterns
listUniversalDeviceTemplate
listTransPattern
addPhoneNtp
updateRecordingProfile
removeH323Phone
updateDirectoryLookupDialRules
addLbmHubGroup
addImeRouteFilterGroup
addVpnProfile
addRouteFilter
addImeEnrolledPatternGroup
listCredentialPolicy
getCss
removeSipRealm
listCcdAdvertisingService
applyVoiceMailPort
updateCallManagerGroup
addBlockedLearnedPatterns
addTranscoder
listCcdHostedDN
removeSipDialRules
getEndUserCapfProfile
removeCallPark
updateInterClusterDirectoryUri
getCalledPartyTransformationPattern
updateImeLearnedRoutes
getSNMPCommunityString
addMobilityProfile
applyPhone
updateSNMPMIB2List
getDateTimeGroup
getServiceParameter
restartVoiceMailProfile
updateTvsCertificate
updateSipProfile
addLdapDirectory
addRoutePattern
removeVoiceMailPort
removeImeRouteFilterGroup
getMessageWaiting
removeApplicationDialRules
removeSrst
listSipTrunk
restartCiscoCatalyst6000T1VoIPGatewayT1
listPhoneNtp
removeSipProfile
updateFixedMohAudioSource
removeGatewayEndpointDigitalAccessBri
updateCcdFeatureConfig
getWifiHotspot
addH323Trunk
getOSVersion
updateMohServer
addCallPickupGroup
removeImportedDirectoryUriCatalogs
getMobileSmartClientProfile
listCallPark
updateCcdAdvertisingService
listMediaResourceGroup
updateUniversalLineTemplate
updateCustomUserField
addUserProfileProvision
listDevicePool
updateFeatureGroupTemplate
addSafForwarder
assignPresenceUser
removeGatewaySccpEndpoints
unassignPresenceUser
addImeEnrolledPattern
listLbmGroup
getAnnouncement
removeHandoffConfiguration
resetH323Gateway
addDirNumberAliasLookupandSync
applyRegion
removeProcessNode
restartLine
updateLineGroup
getBlockedLearnedPatterns
resetH323Trunk
updateRouteList
applyConferenceBridge
updateSipRoutePattern
wipePhone
removeCcdHostedDNGroup
addCiscoCatalyst6000T1VoIPGatewayPri
addMobility
updateWlanProfileGroup
removeUniversalDeviceTemplate
addCallManagerGroup
removeCallPickupGroup
resetDateTimeGroup
getRouteGroup
updateCiscoCatalyst6000E1VoIPGateway
getTranscoder
addMobileVoiceAccess
getTodAccess
getHuntList
updateServiceParameter
getRoutePattern
addPhoneSecurityProfile
removeDirNumberAliasLookupandSync
removePhysicalLocation
getLdapSyncCustomField
removeLdapSyncCustomField
applyGatekeeper
applyCtiRoutePoint
removeGateway
listVohServer
updateVpnGateway
updateDefaultDeviceProfile
getDeviceProfile
addDeviceProfile
listRouteList
getDevicePool
listAdvertisedPatterns
doDeviceLogin
addSafCcdPurgeBlockLearnedRoutes
restartCtiRoutePoint
applyCallManager
updateGatewaySccpEndpoints
updateCcdRequestingService
getVohServer
updateSyslogConfiguration
removeSipTrunk
removeCcdRequestingService
getSafCcdPurgeBlockLearnedRoutes
listCallerFilterList
removeCtiRoutePoint
listSIPNormalizationScript
listRegion
updateMeetMe
addCiscoCatalyst6000T1VoIPGatewayT1
removeCustomUserField
getLdapAuthentication
getImeE164Transformation
updateLine
getNumDevices
updateRoutePartition
restartCiscoCatalyst6000E1VoIPGateway
doDeviceLogout
removeCallManagerGroup
updateEnterpriseFeatureAccessConfiguration
getCtiRoutePoint
getPresenceRedundancyGroup
applySoftKeyTemplate
updateImeE164Transformation
removeLine
updateServiceProfile
updateCtiRoutePoint
updateLdapAuthentication
removeBillingServer
resetSrst
getUcService
removeLocalRouteGroup
removeLdapDirectory
getMlppDomain
removeCommonDeviceConfig
updateCredentialPolicyDefault
removePhoneButtonTemplate
addDeviceMobilityGroup
executeSQLQuery
getRouteList
getRouteFilter
addWLANProfile
resetPhone
removeDhcpServer
addBillingServer
getGeoLocationPolicy
listGeoLocationPolicy
restartRegion
removeMessageWaiting
updatePresenceRedundancyGroup
updateMobility
getCumaServerSecurityProfile
listResourcePriorityNamespace
resetRouteList
listUniversalLineTemplate
addAudioCodecPreferenceList
applyDirectedCallPark
addImeFirewall
getFallbackFeatureConfig
