LocationFull,Location,Organisation,CareLocation,Specialty,Specialty_Match,Clinical_Directorate,Location_Type,Total_Beds,Comments,LOS_T1,LOS_T2,LOS_T3,LOS_T4,LOS_T5,TimeUnit,
BRI HASU,BRI HASU,Bradford,BRI,General Medicine,*,Medicine,Adult,3,,8,16,24,48,999999,h,
BRI CCU,BRI CCU,Bradford,BRI,Cardiology,*,Medicine,Adult,6,,8,16,24,48,999999,h,
BRI Corridor 2,BRI Corridor 2,Bradford,BRI,Gastroenterology,*,Acute Surgery,Adult,0,,8,16,24,48,999999,h,
BRI DCU,BRI DCU,Bradford,BRI,ENT / Ophthalmology,*,Head & Neck,Adult,0,,8,16,24,48,999999,h,
BRI HDU,BRI HDU,Bradford,BRI,Mixed Specialties,*,Anaesthesia,Adult,4,,8,16,24,48,999999,h,
BRI ICU,BRI ICU,Bradford,BRI,Mixed Specialties,*,Anaesthesia,Adult,8,,8,16,24,48,999999,h,
BRI PCU - Monitored,BRI PCU - Mon,Bradford,BRI,General Surgery,*,Acute Surgery,Adult,9,,8,16,24,48,999999,h,
BRI PCU - NON-Monitored,BRI PCU - NON-Mon,Bradford,BRI,General Surgery,*,Acute Surgery,Adult,9,,8,16,24,48,999999,h,
BRI YORK,BRI YORK,Bradford,BRI,Private Patients (Mixed Specialties),Private*,Anaesthesia,Adult,6,,8,16,24,48,999999,h,
BRI YORK,BRI YORK,Bradford,BRI,General Medicine / Elderly Care / Neurology,*,Medicine,Adult,6,,8,16,24,48,999999,h,
BRI ENDO,BRI ENDO,Bradford,BRI,Endocrinology,*,Medicine,Adult,1,,8,16,24,48,999999,h
BRIM Ward M3,BRIM Ward M3,Bradford,BRIM,Obstetrics,*,Womens and Childrens,Female,27,,8,16,24,48,999999,h,
BRIM Ward M3,BRIM Ward M3,Bradford,BRIM,Paediatrics,Paediatrics,Womens and Childrens,Babies,19,,8,16,24,48,999999,h,
BRIM Ward M4,BRIM Ward M4,Bradford,BRIM,Obstetrics,*,Womens and Childrens,Female,29,,8,16,24,48,999999,h,
BRIM Ward M4,BRIM Ward M4,Bradford,BRIM,Paediatrics,Paediatrics,Womens and Childrens,Babies,21,,8,16,24,48,999999,h,
BRIM NU,BRIM NU,Bradford,BRIM,Paediatrics,*,Womens and Childrens,Special Care Cots,15,,8,16,24,48,999999,h,
BRIM NU,BRIM NU,Bradford,BRIM,Paediatrics,*,Womens and Childrens,Intensive Care Cots,6,,8,16,24,48,999999,h,
BRIM NU,BRIM NU,Bradford,BRIM,Paediatrics,*,Womens and Childrens,High Dependency Cots,6,,8,16,24,48,999999,h,
BRIM Birthing Centre,BRIM BC,Bradford,BRIM,Obstetrics,Obstetrics,Womens and Childrens,Female,7,,8,16,24,48,999999,h,
BRIM Birthing Centre,BRIM BC,Bradford,BRIM,Paediatrics,Paediatrics,Womens and Childrens,Babies,7,,8,16,24,48,999999,h,
BRIM Labour Ward,BRIM LW,Bradford,BRIM,Obstetrics,*,Womens and Childrens,Female,13,,8,16,24,48,999999,h,
BRIM Labour Ward,BRIM LW,Bradford,BRIM,Paediatrics,Paediatrics,Womens and Childrens,Babies,13,,8,16,24,48,999999,h,
BRIM Ward DW,BRIM Ward DW,Bradford,BRIM,Obstetrics,*,Womens and Childrens,Female,4,,8,16,24,48,999999,h,
SLH Ward F4,SLH Ward F4,Bradford,SLH,Dermatology / Rheumatology,*,Medicine,Adult,6,,8,16,24,48,999999,h,
SLH Ward F5,SLH Ward F5,Bradford,SLH,Elderly Care,*,Medicine,Adult,27,,8,16,24,48,999999,h,
SLH Ward F6,SLH Ward F6,Bradford,SLH,Stroke and Neurology rehabilitation / Dermatology,*,Medicine,Adult,24,,8,16,24,48,999999,h,
SLH MFU(Z9),SLH MFU(Z9),Bradford,SLH,Oral Surgery,*,Head & Neck,Adult,0,,8,16,24,48,999999,h,
Yorkshire Clinic,YC,Bradford,YC,Mixed Specialty,*,General Medicine,Mixed,28,,8,16,24,48,999999,h,
