Identificador,Categoria,Subcategoria,Monitorizacion,Explicacion,Ejemplo,Valor,,
PR-AC-4,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"Los permisos de acceso y autorizaciones están gestionados, incorporando los principios de menor privilegios y separación de funciones",Defina a los empleados autorizados para publicar información en un sistema accesible al público (como el sitio web) e implemente esta autorización como parte del proceso de concesión de privilegios,La organización definirá los usuarios cuyo trabajo requiera la capacidad de publicar información en fuentes públicas y documentará las funciones mencionadas anteriormente como parte del procedimiento de la organización,"En Content Management Systems (CMS), es necesario otorgar derechos de edición y privilegios de publicación solo a los administradores de contenido.",3,,
PR-AC-4,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"Los permisos de acceso y autorizaciones están gestionados, incorporando los principios de menor privilegios y separación de funciones",Separar los privilegios de usuario para varios entornos y definir los privilegios para cada entorno por separado,"Es necesario administrar usuarios y privilegios en un solo sistema de administración de usuarios, sin embargo, es necesario establecer un registro de privilegios separados para cada entorno por separado, de modo que los entornos que contienen información confidencial no estén expuestos a accesos no autorizados en caso de hackear cuenta de usuario o abuso de privilegios.","Configurar una cuenta de usuario separada para el empleado para cualquier entorno en el que deba operar. Los privilegios de acceso también se definirán por separado para cada cuenta, dependiendo de la necesidad comercial del empleado",2,,
PR-AC-4,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"Los permisos de acceso y autorizaciones están gestionados, incorporando los principios de menor privilegios y separación de funciones",Se definirá un usuario separado para cada cliente final que utilice una red inalámbrica en el entorno de producción.,La organización establecerá un usuario separado para todos y cada equipo de red inalámbrica.,"Se recomienda conectar la red inalámbrica a un servidor Radius dedicado, que autenticará a los usuarios de esta red y permitirá su administración.",2,,
PR-AC-4,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"Los permisos de acceso y autorizaciones están gestionados, incorporando los principios de menor privilegios y separación de funciones",El acceso a interfaces de hombre-máquina será a través de usuarios personales para cada operador.,"La organización definirá un usuario personal para cualquiera que trabaje con la interfaz hombre-máquina. Si se comparte la posición, es posible utilizar la identificación con tarjeta inteligente.",,2,,
PR-AC-4,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"Los permisos de acceso y autorizaciones están gestionados, incorporando los principios de menor privilegios y separación de funciones",Implementar medidas de control de acceso en la red móvil de la organización.,"Los dispositivos móviles que se conectan a la red corporativa están utilizando interfaces de acceso remoto a la red. Para asegurar esta interfaz, se debe implementar el control de acceso, como el uso de contraseñas y tecnologías de certificados digitales",,3,,
PR-AC-5,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"La integridad de la red está protegida (por ejemplo, separación de la red o segmentación de la red)",El acceso a sistemas y aplicaciones sensibles se realizará solo a través del componente de mediación designado,"Para el beneficio de aplicar una política uniforme endurecida a los recursos sensibles, asegurándose de que el acceso a los mismos se hará obvio después de pasar por el componente de meditación (como un servidor proxy o terminal)","Es posible ejercer este control definiendo el acceso en el componente de firewall de modo que la conexión a activos confidenciales se permita solo a través del componente de enlace, incluidas las pruebas y la estricta política corporativa (para evitar por ejemplo la capacidad de realizar 'copiar, pegar',  y evitar la capacidad de descarga de archivos, bloqueo de CLI, etc.",4,,
PR-AC-5,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"La integridad de la red está protegida (por ejemplo, separación de la red o segmentación de la red)","Proteger la conexión al sistema de red inalámbrica con usuario de autenticación de dispositivos, cifrado y configuración de límites de uso.","La organización permitirá la conexión a la red inalámbrica solo para dispositivos administrados y autenticado por él, y solo para usuarios identificados. El propósito de esta monitorización es evitar el uso ilegítimo y no identificado de la red inalámbrica.","Es posible ejercer este control definiendo el acceso en el componente de firewall de modo que la conexión a activos confidenciales se permita solo a través del componente de enlace, incluidas las pruebas y la estricta política corporativa (para evitar por ejemplo la capacidad de realizar 'copiar, pegar',  y evitar la capacidad de descarga de archivos, bloqueo de CLI, etc.",3,,
PR-AC-5,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"La integridad de la red está protegida (por ejemplo, separación de la red o segmentación de la red)",Calibrar la intensidad de la señal inalámbrica para reducir las posibilidades de que se reciban señales fuera de las instalaciones de la organización.,La organización revisará las señales de transmisión de las redes inalámbricas y se asegurará de que la señal no exceda el rango predefinido.,"El mapeo del rango de recepción puede llevarse a cabo utilizando una visión general espacial y un equipo especial (Radio) en coordinación con el proveedor del sistema inalámbrico. También es posible realizar de forma independiente a través de Radio Analyzer y escanear alrededor del área del
edificio",4,,
PR-AC-5,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"La integridad de la red está protegida (por ejemplo, separación de la red o segmentación de la red)",Prohibir la conexión a sistemas organizacionales desde la red inalámbrica.,El acceso a los sistemas empresariales solo se permitirán a través de equipos informáticos de conexión por cable a la red de la organización.,"No se debería conectar las redes inalámbricas con la red de la organización, sino solo en el enrutador de Internet dedicado solo para navegar. También es posible implementar un servidor proxy para la red inalámbrica.",2,,
PR-AC-5,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"La integridad de la red está protegida (por ejemplo, separación de la red o segmentación de la red)",Escribir e implementar restricciones de uso y requisitos de configuración para la conexión a través de dispositivos móviles.,La organización escribirá e implementará políticas para monitorear la seguridad de la información para dispositivos móviles que acceden a los sistemas de la organización. La política debe abordar tanto los dispositivos proporcionados y administrados por la organización como los dispositivos personales de los empleados o invitados de la organización.,"Anotar las políticas de dispositivos móviles, que define los límites del uso de dispositivos móviles (como teléfonos celulares y tabletas): qué se puede guardar y acceder a través de la organización via dispositivo móvil.",2,,
PR-AC-5,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"La integridad de la red está protegida (por ejemplo, separación de la red o segmentación de la red)",Separa la funcionalidad de los usuarios de los servicios de gestión de red.,Las interfaces de administración se deben separar de otras interfaces de usuario para reducir su exposición al acceso no autorizado a las interfaces de administración.,"Se puede realizar a través de una página de inicio de sesión separada para usuarios y administradores. Una red de comunicación separada utilizada para conectarse a las interfaces de gestión de equipos. Restricción de la dirección IP autorizada para acceder a la interfaz de administración, etc.",3,,
PR-AC-5,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"La integridad de la red está protegida (por ejemplo, separación de la red o segmentación de la red)","Desconectar la red de conexión vinculada a una sesión finalizada, o después de un tiempo especificado de inactividad.",La organización aplicará límites a la vida útil de la conexión y supervisará y interrumpirá la comunicación sin realizar tareas (trans task),El control se puede implementar usando un firewall y configurándolo para que las conexiones de red reciban. Tiempo de espera después de un período establecido de inactividad.,2,,
PR-AC-5,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"La integridad de la red está protegida (por ejemplo, separación de la red o segmentación de la red)",Establecer pautas para el uso de la tecnología de telefonía IP (VOIP) y también para monitorear su uso,La organización definirá cuándo y cómo se permite o prohíbe el uso de los servicios VOIP (integrados en los sistemas de la organización o como un servicio externo) y aplicará medidas de seguridad de la información para hacer cumplir esa configuración.,"Se puede aplicar separando la red VoIP de la red estándar, limitando el equipo de conectividad que no sea de telefonía a la red utilizando medidas como NAC, la identificación del equipo opuesto a los servidores VOIP, así como el uso de cifrado e identificación mediante SSL.",2,,
PR-AC-5,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"La integridad de la red está protegida (por ejemplo, separación de la red o segmentación de la red)",Asegúrate de eso del Servicio de traducción de direcciones (DNS) es proporcionado por un servidor confiable (dentro de la empresa y fuera de la empresa).,"La organización permitirá obtener el Servicio de traducción de direcciones (DNS) solo de un servidor interno seguro, con el fin de evitar el enrutamiento erróneo de comunicaciones (intencionalmente o no) a objetivos hostiles.",Los servidores DNS internos se configurarán y proporcionarán una respuesta a los servidores de la organización. También es posible configurar servidores DNS dedicados para áreas más seguras de la red. Los servidores empresariales podrían configurararse para que cualquier solicitud a un servicio DNS se realice únicamente a través de esos servidores,1,,
PR-AC-5,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"La integridad de la red está protegida (por ejemplo, separación de la red o segmentación de la red)",Asegúrese de que las respuestas recibidas del servidor de traducción de direcciones (DNS) sean confiables y no hayan sido alteradas durante la tarea.,La organización se asegurará de que las respuestas devueltas desde el servidor de traducción de direcciones (DNS) no puedan modificarse a través de mecanismos tales como las respuestas de suscripción enviadas por un certificado digital.,Se puede aplicar usando extensiones DNSSEC del servicio DNS.,2,,
PR-AC-5,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"La integridad de la red está protegida (por ejemplo, separación de la red o segmentación de la red)","Los mecanismos de protección fronteriza deben usarse para separar los componentes del sistema que admiten tareas o servicios comerciales, definidos por la organización como que requieren separación",La organización determinará que la separación de redes en áreas seguras se llevará a cabo a través de equipos de seguridad de información dedicados.,"
Es posible utilizar herramientas como firewall, herramienta VPN que permite conectarse de forma segura a redes de administración, control de acceso a nivel de enrutador, servidores prox",2,,
PR-AC-5,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"La integridad de la red está protegida (por ejemplo, separación de la red o segmentación de la red)",Usar direcciones de red separadas (diferentes subredes) para conectarse a diferentes zonas de seguridad,"La organización determinará que cada subred tendrá un rango de direcciones separado, que se publicará en el firewall y los enrutadores.","Puede realizarse a través de la administración centralizada de direcciones en la interfaz de administración del firewall central, o mediante el registro manual (administrado y controlado) de las diferentes direcciones de red.",1,,
PR-AC-5,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"La integridad de la red está protegida (por ejemplo, separación de la red o segmentación de la red)","En casos de conexión a la red del proveedor, uno debe implementar controles preventivos para minimizar los daños causados ​​por las infraestructuras del proveedor.","Dichos controles pueden ser la separación del entorno / interfaz, el saneamiento de la salida del proveedor, la separación, la comunicación por un servidor proxy, etc.",,3,,
PR-AC-5,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"La integridad de la red está protegida (por ejemplo, separación de la red o segmentación de la red)","A fin de que evite que ambos sitios sean atacados simultáneamente, verifique la separación física y lógica",,"La organización verificará una distancia geográfica adecuada entre ambos sitios, así como entre las redes de computadoras y la infraestructura de soporte.",2,,
PR-AC-6,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),Las identidades están apagadas (poofed) y vinculadas a las credenciales y afirmadas en las interacciones,"Inhabilitar, eliminar, cuentas inactivas automáticamente después de un tiempo específico",,El acceso a la red inalámbrica se permitirá solo después de la identificación frente al punto de acceso.,2,,
PR-AC-6,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),Las identidades están apagadas (poofed) y vinculadas a las credenciales y afirmadas en las interacciones,"Inhabilitar, eliminar, cuentas temporales automáticamente después de un tiempo específico","La organización establecerá un periodo de tiempo concreto, después del cual la cuenta temporal se bloquará de manera automática","Si es posible, asignar a las cuentas temporales con restricciones de tiempo para cualquier sistema que interactue con el Directorio Activo o sistemas de adminsitración o un sistemas de gestión de identidades (IDM). Aquellas cuentas que necesiten una extensión de tiempo requeriran de una aprobación especial.",3,,
PR-AC-6,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),Las identidades están apagadas (poofed) y vinculadas a las credenciales y afirmadas en las interacciones,Examinar la lista de usuarios peridicamente y actualizarla de manera acorde,La organización examina cada periodo predefindo la lista de usuarios y elimina aquellos usuarios irrelevantes cuando sea necesario,"El proceso de revisión periódica de los usuarios y su documentación mediante la organización del procedimiento de control de acceso, se monitoriza a través de una matriz automática o manual y será realizado por los administradores de sistemas. Esta revisión se realiza para identificar a los usuarios inactivos y usuarios que han abandonado la organización y también  para ratificar los privilegios de los usuarios existentes. Por ejemplo, si un empleado se ha mudado a otro puesto en la organización, en muchos casos es 'arrastrado' con los privilegios anteriores, la revisión del lado comercial por parte del administrador del sistema puede mostrar tales casos.",2,,
PR-AC-7,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"Usuarios, dispositivos y otros activos están autenticados (Ej, segundo factor o multifactor de autenticación) de manera adecuada al riesgo de la transacción (Ej, seguridad de los individuos y riesgos de privacidad y otros riesgos organizativos)",Monitorización de la actividad de las cuentas para detectar el uso anómolo e informar el uso inusual a los responsables correspondientes,"Ejemplos de uso anómalo: iniciar sesión en el sistema en ciertos días o momentos, iniciar sesión desde direcciones incompatibles con el patrón de uso normal","Se puede aplicar utilizando el sistema SIEM para monitorizar usuarios en  grupos de cáracter más sensibles. La recopilación de información se realizará a partir de fuentes como Directorio Activo, comunicaciones y equipos de seguridad de la información (firewalls, etc.)",3,,
PR-AC-7,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"Usuarios, dispositivos y otros activos están autenticados (Ej, segundo factor o multifactor de autenticación) de manera adecuada al riesgo de la transacción (Ej, seguridad de los individuos y riesgos de privacidad y otros riesgos organizativos)",Definir y hacer cumplir las condiciones para bloquear cuentas,"Ejemplos de condiciones de bloqueo de entrada: fin de semana, noche, hora","Es posible definir en la configuración de usuario una restricción de entrada en la cuenta de Directorio Activo, de modo que la restricción no permita la conexión durante horas no laborables",4,,
PR-AC-7,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"Usuarios, dispositivos y otros activos están autenticados (Ej, segundo factor o multifactor de autenticación) de manera adecuada al riesgo de la transacción (Ej, seguridad de los individuos y riesgos de privacidad y otros riesgos organizativos)",Definir y aplicar el acceso lógico de privilegios para el sistema y la información de acuerdo con la política de control de acceso,"El control de acceso se puede hacer a nivel personal (basado en la identidad) o el nivel de rol (basado en el rol), y tiene como objetivo controlar el acceso de las entidades (usuarios o procesos informáticos) a los objetos (archivos, registros, dispositivos, etc.)","Los usuarios se gestionarán de forma centralizada a través de un Directorio de organización empresarial, por ejemplo un Directorio Activo, Open LDAP y más. El sistema por tarea se asignará al perfil de usuario.",1,,
PR-AC-7,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"Usuarios, dispositivos y otros activos están autenticados (Ej, segundo factor o multifactor de autenticación) de manera adecuada al riesgo de la transacción (Ej, seguridad de los individuos y riesgos de privacidad y otros riesgos organizativos)","Restringir inicio de sesión de usuario al sistema después de varios intentos fallidos de inicio de sesión utilizando la opción de bloqueo para iniciar sesión. tiempo especificado, o hasta. liberar por. administrador de sistema.",El propósito de este monitoreo es enfrentar el riesgo de ataques de denegación de servicio. Este control debe implementarse en ambos niveles de conexión al sistema operativo y de conexión a aplicaciones específicas.,El propósito de este monitorización enfrentar el riesgo de ataques de denegación de servicio. Este control debe implementarse en ambos niveles de conexión al sistema operativo y de conexión a aplicaciones específicas.,3,,
PR-AC-7,Gestión de autenticación de identidades y control de accesos (Identity Managment Authentication and Access Control),"Usuarios, dispositivos y otros activos están autenticados (Ej, segundo factor o multifactor de autenticación) de manera adecuada al riesgo de la transacción (Ej, seguridad de los individuos y riesgos de privacidad y otros riesgos organizativos)",Prohibir iniciar sesión en un sistema sensible a través de dispositivos móviles,La organización bloqueará y aplicará a través del control tecnológico el acceso a sistemas organizacionales sensibles a través de dispositivos móviles,"Esto puede aplicarse identificando el navegador del dispositivo móvil o, alternativamente, no permite la exposición de sistemas sensibles a redes a las que acceden los dispositivos móviles (ni detrás del segmento VPN, o, alternativamente, para conectar dispositivos móviles al segmento VPN que es diferente de otros ordenadores)",4,,
