"LINK_ID","LINK_NAME","TENANT_ID","SRC_TENANT_NAME","SECOND_TENANT_ID","DEST_TENANT_NAME","REGION_ID","REGION_NAME","SRC_NODE_ID","SRC_NODE_NAME","SRC_N_NODE_NAME","DEST_NODE_ID","DEST_NODE_NAME","DEST_N_NODE_NAME","LINK_TYPE","LINK_TYPE_VALUE","TYPE_IP_GROUP","TYPE_TRUNK_GROUP","TYPE_IP_PREFIX","TYPE_PHONE_PREFIX","TYPE_MEDIA_REALM","TYPE_MEDIA_IP_PREFIX","TYPE_SRC_FQDN","TYPE_DEST_FQDN","SRC_PRODUCT_TYPE","SRC_PRODUCT_TYPE_NAME","DEST_PRODUCT_TYPE","DEST_PRODUCT_TYPE_NAME","LINK_DIRECTION","LINK_DIRECTION_VALUE","DEFINED_AT","VQ_STATUS","VQ_STATUS_VALUE","VQ_CONTROL_STATUS","VQ_CONTROL_STATUS_VALUE","VQ_MEDIA_STATUS","VQ_MEDIA_STATUS_VALUE","VQ_CALL_DURATION_STATUS","VQ_CALL_DURATION_STATUS_VALUE","VQ_MAX_CONCURRENT_CALLS_STATUS","VQ_MAX_CONC_CALLS_STATUS_V","VQ_BANDWIDTH_STATUS","VQ_BANDWIDTH_STATUS_VALUE","CALLS_COUNT"
13931762,"US Lab CCE",5716643,"USA",5716643,"USA",5872318,"NewJersey",12042896,"NJ SBC","",13931761,"","US Lab CCE",1,"IP Group",6,,"","",,"","","",84,"Mediant 1000 E-SBC",200,"Generic Device",1,"BI DIRECTIONAL",24-JUL-18,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",14
13931760,"Vocanom",5716643,"USA",5716643,"USA",5872318,"NewJersey",12042896,"NJ SBC","",13931759,"","Vocanom",1,"IP Group",5,,"","",,"","","",84,"Mediant 1000 E-SBC",200,"Generic Device",1,"BI DIRECTIONAL",24-JUL-18,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",14
33949657,"Trunk Group#1",79117,"Singapore",79117,"Singapore",33948921,"Singapore Office",33948902,"SG-SBC","",33949656,"","Trunk Group#1",2,"Trunk Group",,1,"","",,"","","",90,"Mediant 500 MSBR",200,"Generic Device",1,"BI DIRECTIONAL",05-JUN-19,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",57
33949655,"ITSP",79117,"Singapore",79117,"Singapore",33948921,"Singapore Office",33948902,"SG-SBC","",33949654,"","ITSP",1,"IP Group",2,,"","",,"","","",90,"Mediant 500 MSBR",200,"Generic Device",1,"BI DIRECTIONAL",05-JUN-19,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",74
33949653,"Lync",79117,"Singapore",79117,"Singapore",33948921,"Singapore Office",33948902,"SG-SBC","",33949652,"","Lync",1,"IP Group",1,,"","",,"","","",90,"Mediant 500 MSBR",200,"Generic Device",1,"BI DIRECTIONAL",05-JUN-19,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",50
33949651,"Default_IPG",79117,"Singapore",79117,"Singapore",33948921,"Singapore Office",33948902,"SG-SBC","",33949650,"","Default_IPG",1,"IP Group",0,,"","",,"","","",90,"Mediant 500 MSBR",200,"Generic Device",1,"BI DIRECTIONAL",05-JUN-19,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",0
2710745,"Lync ARM",1,"AudioCodes",1,"AudioCodes",2,"Israel",1278682,"HQ SBC","",6,"","IL S4B Mediation",1,"IP Group",7,0,"","",0,"","","acllync01.corp.audiocodes.com",98,"Mediant 2600 E-SBC",301,"Skype Mediation Server",1,"BI DIRECTIONAL",20-NOV-17,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",2
2710096,"IPP Lab",1,"AudioCodes",1,"AudioCodes",2,"Israel",1278682,"HQ SBC","",2710095,"","IPP Lab",1,"IP Group",8,0,"","",0,"","","",98,"Mediant 2600 E-SBC",200,"Generic Device",1,"BI DIRECTIONAL",20-NOV-17,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",1
2710092,"WebRTC",1,"AudioCodes",1,"AudioCodes",2,"Israel",1278682,"HQ SBC","",2710091,"","WebRTC",1,"IP Group",6,0,"","",0,"","","",98,"Mediant 2600 E-SBC",200,"Generic Device",1,"BI DIRECTIONAL",20-NOV-17,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",13
2710090,"Fax Server",1,"AudioCodes",1,"AudioCodes",2,"Israel",1278682,"HQ SBC","",2710089,"","Fax Server",1,"IP Group",5,,"","",,"","","",98,"Mediant 2600 E-SBC",200,"Generic Device",1,"BI DIRECTIONAL",20-NOV-17,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",1
2710088,"New Jersy",1,"AudioCodes",1,"AudioCodes",2,"Israel",1278682,"HQ SBC","",2710087,"","New Jersy",1,"IP Group",4,0,"","",0,"","","",98,"Mediant 2600 E-SBC",200,"Generic Device",1,"BI DIRECTIONAL",20-NOV-17,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",0
2710082,"Lync",1,"AudioCodes",1,"AudioCodes",2,"Israel",1278682,"HQ SBC","",2710081,"","Lync",1,"IP Group",1,,"","",,"","","",98,"Mediant 2600 E-SBC",200,"Generic Device",1,"BI DIRECTIONAL",20-NOV-17,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",1
2710098,"012",1,"AudioCodes",1,"AudioCodes",2,"Israel",1278682,"HQ SBC","",2710097,"","vocanom",1,"IP Group",9,0,"","",0,"","","",98,"Mediant 2600 E-SBC",200,"Generic Device",1,"BI DIRECTIONAL",20-NOV-17,2,"OK",2,"CLEAR",2,"CLEAR",2,"CLEAR",2,"CLEAR",0,"CRITICAL",2
2710084,"Biz+",1,"AudioCodes",1,"AudioCodes",2,"Israel",1278682,"HQ SBC","",2710083,"","Biz+",1,"IP Group",2,0,"","",0,"","","",98,"Mediant 2600 E-SBC",200,"Generic Device",1,"BI DIRECTIONAL",20-NOV-17,2,"OK",2,"CLEAR",2,"CLEAR",2,"CLEAR",2,"CLEAR",0,"CRITICAL",1
2710086,"Bezeq SIPT",1,"AudioCodes",1,"AudioCodes",2,"Israel",1278682,"HQ SBC","",2710085,"","Bezeq SIPT",1,"IP Group",3,0,"","",0,"","","",98,"Mediant 2600 E-SBC",200,"Generic Device",2,"INGRESS",20-NOV-17,0,"ERROR",0,"CRITICAL",2,"CLEAR",2,"CLEAR",0,"CRITICAL",0,"CRITICAL",32
11,"IL FE to Edge",1,"AudioCodes",1,"AudioCodes",2,"Israel",5,"","IL S4B FE",7,"","IL Edge Server",128,"FQDN",,,"","",,"","aclsfb01.corp.audiocodes.com","acllyncedge.corp.audiocodes.com",300,"Skype Front End Server",302,"Skype Edge Server",1,"BI DIRECTIONAL",28-JUN-17,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",50
17,"HQ Lync to NJ Lync",1,"AudioCodes",1,"AudioCodes",2,"Israel",5,"","IL S4B FE",8,"","NJ S4B FE/Mediation",128,"FQDN",,,"","",,"","aclsfb01.corp.audiocodes.com","ailync01.corp.audiocodes.com",300,"Skype Front End Server",301,"Skype Mediation Server",1,"BI DIRECTIONAL",28-JUN-17,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3
16,"IL FE to Mediation",1,"AudioCodes",1,"AudioCodes",2,"Israel",5,"","IL S4B FE",6,"","IL S4B Mediation",128,"FQDN",,,"","",,"","aclsfb01.corp.audiocodes.com","acllync01.corp.audiocodes.com",300,"Skype Front End Server",301,"Skype Mediation Server",1,"BI DIRECTIONAL",28-JUN-17,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",2
12,"NJ FE to Edge",1,"AudioCodes",1,"AudioCodes",2,"Israel",8,"","NJ S4B FE/Mediation",9,"","NJ Edge server",128,"FQDN",,,"","",,"","ailync01.corp.audiocodes.com","ailyncedge.corp.audiocodes.com",301,"Skype Mediation Server",302,"Skype Edge Server",1,"BI DIRECTIONAL",28-JUN-17,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",1
14,"NJ Edge to IL Media",1,"AudioCodes",1,"AudioCodes",2,"Israel",9,"","NJ Edge server",6,"","IL S4B Mediation",128,"FQDN",,,"","",,"","ailyncedge.corp.audiocodes.com","acllync01.corp.audiocodes.com",302,"Skype Edge Server",301,"Skype Mediation Server",1,"BI DIRECTIONAL",28-JUN-17,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3
13,"IL Edge to NJ FE",1,"AudioCodes",1,"AudioCodes",2,"Israel",7,"","IL Edge Server",8,"","NJ S4B FE/Mediation",128,"FQDN",,,"","",,"","acllyncedge.corp.audiocodes.com","ailync01.corp.audiocodes.com",302,"Skype Edge Server",301,"Skype Mediation Server",1,"BI DIRECTIONAL",28-JUN-17,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",0
10,"IL Edge to IL Mediat",1,"AudioCodes",1,"AudioCodes",2,"Israel",7,"","IL Edge Server",6,"","IL S4B Mediation",128,"FQDN",,,"","",,"","acllyncedge.corp.audiocodes.com","acllync01.corp.audiocodes.com",302,"Skype Edge Server",301,"Skype Mediation Server",1,"BI DIRECTIONAL",28-JUN-17,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",0
15,"NJ Edge to IL FE",1,"AudioCodes",1,"AudioCodes",2,"Israel",9,"","NJ Edge server",5,"","IL S4B FE",128,"FQDN",,,"","",,"","ailyncedge.corp.audiocodes.com","aclsfb01.corp.audiocodes.com",302,"Skype Edge Server",300,"Skype Front End Server",1,"BI DIRECTIONAL",28-JUN-17,3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",3,"UNMONITORED",1
