bulletinNumber,bulletinProductId,hwEoxId,replacementProductId,replacementProductEoSaleDate,wasUpdated,resolutionStatus,resolutionHops
EOL13788,N7K-SUP2,493696,N9K-SUP-A+,,False,ok_null_eos,1
EOL13783,N7K-C7018,493581,N9K-C9516,,False,ok_null_eos,1
EOL15291,A99-48X10GE-1G-TR,553580,A99-4HG-FLEX-TR,,False,ok_null_eos,1
EOL12104,CP-7975G=,390670,CP-8861-K9=,,False,ok_null_eos,1
EOL12104,CP-7975G,390661,CP-8861-K9=,,False,ok_null_eos,1
EOL15317,CS-BRD55P-K9=,557207,CS-BRDP55-K9=,,False,ok_null_eos,1
EOL14624,ASR1000-6TGE=,533199,EPA-10X10GE=,,False,ok_null_eos,1
EOL15338,MS125-48LP-HW,558255,MS130-48X-HW,,False,ok_null_eos,1
EOL15339,MS125-48FP-HW,558254,MS130-48X-HW,,False,ok_null_eos,1
EOL15337,MS125-48-HW,558253,MS130-48X-HW,,False,ok_null_eos,1
EOL15233,UCSC-M-V5D200G,552516,UCSC-M-V5D200GV2,,False,ok_null_eos,1
EOL13217,WS-X4712-SFP+E,464394,C9400-LC-24XS,,False,ok_null_eos,1
EOL15744,IR1831-K9,574425,IR1835-K9,,False,ok_null_eos,1
EOL15744,IR1821-K9,574423,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829M-LTE-LA-ZK9,540195,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829M-LTE-EA-RK9,540194,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829M-LTE-EA-EK9,540193,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829M-LTE-EA-BK9,540192,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829M-LTE-EA-AK9,540191,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829M-2LTE-EA-RK9,540189,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829M-2LTE-EA-EK9,540188,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829M-2LTE-EA-BK9,540187,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829M-2LTE-EA-AK9,540186,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829GW-LTE-NA-AK9,540173,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829GW-LTE-LA-ZK9,540172,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829GW-LTE-LA-TK9,540171,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829GW-LTE-LA-SK9,540170,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829GW-LTE-LA-QK9,540169,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829GW-LTE-LA-NK9,540168,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829GW-LTE-LA-LK9,540167,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829GW-LTE-LA-KK9,540166,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829GW-LTE-LA-HK9,540165,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829GW-LTE-LA-FK9,540164,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829GW-LTE-LA-DK9,540163,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829GW-LTE-LA-CK9,540162,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829-2LTE-EA-EK9,540146,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829-2LTE-EA-BK9,540145,IR1835-K9,,False,ok_null_eos,1
EOL14833,IR829-2LTE-EA-AK9,540144,IR1835-K9,,False,ok_null_eos,1
EOL15236,8800-LC-36FH,553334,88-LC0-36FH,,False,ok_null_eos,1
EOL15631,UCSC-C220-M6N=,569456,UCSC-C220-M7N=,,False,ok_null_eos,1
EOL15598,CBS250-48P-4G-IN,564296,C1200-48P-4G,,False,ok_null_eos,1
EOL15510,CBS250-48P-4G-BR,560849,C1200-48P-4G,,False,ok_null_eos,1
EOL15388,CBS250-48P-4G-UK,556198,C1200-48P-4G,,False,ok_null_eos,1
EOL15388,CBS250-48P-4G-TW,556197,C1200-48P-4G,,False,ok_null_eos,1
EOL15388,CBS250-48P-4G-SP,556196,C1200-48P-4G,,False,ok_null_eos,1
EOL15388,CBS250-48P-4G-NA,556195,C1200-48P-4G,,False,ok_null_eos,1
EOL15388,CBS250-48P-4G-JP,556194,C1200-48P-4G,,False,ok_null_eos,1
EOL15388,CBS250-48P-4G-EU,556193,C1200-48P-4G,,False,ok_null_eos,1
EOL15388,CBS250-48P-4G-AU,556192,C1200-48P-4G,,False,ok_null_eos,1
EOL15388,CBS250-48P-4G-AR,556191,C1200-48P-4G,,False,ok_null_eos,1
EOL13051,A901-6CZ-F-A,458423,ASR-920-12CZ-A,,False,ok_null_eos,1
EOL13284,SPA512G,465765,CP-6851-3PCC-K9=,,False,ok_null_eos,1
EOL13284,SPA504G,465754,CP-6851-3PCC-K9=,,False,ok_null_eos,1
EOL12667,SPA514G,438775,CP-6851-3PCC-K9=,,False,ok_null_eos,1
EOL15327,MS120-8-HW,558248,MS130-8-HW or MS130-8P-HW,,False,ok_null_eos,1
EOL14636,SG220-50-K9-AR,532985,CBS220-24P-4G-EU,,False,ok_null_eos,1
EOL13119,MX65W-HW,458998,MX68W-HW,,False,ok_null_eos,1
EOL14636,SG220-50P-K9-AR,532997,CBS220-24P-4G-EU,,False,ok_null_eos,1
EOL13781,WAP581-J-K9,492998,CBW240AC-Q,,False,ok_null_eos,1
EOL13781,WAP571-J-K9,492985,CBW240AC-Q,,False,ok_null_eos,1
EOL13802,MR74-HW,493753,MR76-HW,,False,ok_null_eos,1
EOL13873,C3850-NM-4-1G=,496549,C9300-NM-4G=,,False,ok_null_eos,1
EOL14577,DS-C9396S-K9,530226,DS-C9396T-K9,,False,ok_null_eos,1
EOL15816,UCSC-C245-M6SX,580441,UCSC-C245-M8SX,,False,ok_null_eos,1
EOL13623,LIC-VMX100-1D,480644,LIC-VMX-M-ENT-1D,,False,ok_null_eos,1
EOL15482,MS350-24X-HW,560092,C9300-24UX-M,,False,ok_null_eos,1
EOL15343,MS390-24UX-HW,558259,C9300-24UX-M,,False,ok_null_eos,1
EOL15824,MS225-48LP-HW,580903,MS150-48LP-4X,,False,ok_null_eos,1
EOL15801,CS-DESKPRO-NR-K9,582447,CS-DESKP-NR-C-K9,,False,ok_null_eos,1
EOL14930,NC55-5504-FC=,546539,NC55-5504-FC2=,,False,ok_null_eos,1
EOL14800,A99-SFC2,539969,A9K-20HG-FLEX-TR=,,False,ok_null_eos,1
EOL15630,UCSB-5108-AC2,569403,UCSX-9508,,False,ok_null_eos,1
EOL15317,CS-BRD55P-ND-K9,557210,CS-BRDP55-K9=,,False,ok_null_eos,1
EOL13669,AIR-AP1800I-N-K9,483943,C9105AXI-N,,False,ok_null_eos,1
EOL15695,P-5GS6-GL,573821,P-5GS6-R16SA-GL,,False,ok_null_eos,1
EOL15022,ST-FS1210-K9,544658,ST-FS1300-K9,,False,ok_null_eos,1
EOL13781,WAP150-R-K9-RU,492965,CBW240AC-Q,,False,ok_null_eos,1
EOL15644,C927-4PM,574282,C1127-8PLTEP,,False,ok_null_eos,1
EOL15644,C927-4PLTEGB,574279,C1127-8PLTEP,,False,ok_null_eos,1
EOL15644,C927-4PLTEAU,574276,C1127-8PLTEP,,False,ok_null_eos,1
EOL15644,C927-4P,574273,C1127-8PLTEP,,False,ok_null_eos,1
EOL15268,C1117-4PMLTEEA,559170,C1127-8PLTEP,,False,ok_null_eos,1
EOL15268,C1117-4PLTELA,559167,C1127-8PLTEP,,False,ok_null_eos,1
EOL15268,C1117-4PLTEEA,559163,C1127-8PLTEP,,False,ok_null_eos,1
EOL14911,C897VAB-K9,542448,C1127-8PLTEP,,False,ok_null_eos,1
EOL14911,C867VAE-K9,542423,C1127-8PLTEP,,False,ok_null_eos,1
EOL14911,C867VAE,542422,C1127-8PLTEP,,False,ok_null_eos,1
EOL13227,C897VAG-LTE-LA-K9,464249,C1127-8PLTEP,,False,ok_null_eos,1
EOL14800,A99-SFC-S,539961,A9K-20HG-FLEX-TR=,,False,ok_null_eos,1
EOL11178,VIC2-2FXO,322682,NIM-2FXO,,False,ok_null_eos,1
EOL15816,UCSC-C225-M6N,580427,UCSC-C245-M8SX,,False,ok_null_eos,1
EOL14805,SF110D-05-EU,539622,CBS110-5T-D-EU,,False,ok_null_eos,1
EOL13837,SG95D-05-AS,497400,CBS110-8PP-D-AU,,False,ok_null_eos,1
EOL13837,SG110D-05-EU,497098,CBS110-8PP-D-AU,,False,ok_null_eos,1
EOL13802,MR84-HW,493754,MR76-HW,,False,ok_null_eos,1
EOL15267,1783-BMS4S2SGA,552675,1783-CMS6P,,False,ok_null_eos,1
EOL15267,1783-BMS06TGA,552657,1783-CMS6P,,False,ok_null_eos,1
EOL15267,1783-BMS06TA,552656,1783-CMS6P,,False,ok_null_eos,1
EOL15267,1783-BMS06SGA,552653,1783-CMS6P,,False,ok_null_eos,1
EOL15267,1783-BMS06SA,552652,1783-CMS6P,,False,ok_null_eos,1
EOL15729,NCS1K-OLT-L,574450,NCS1K-E-OLT-L,,False,ok_null_eos,1
EOL12258,CP-DX70-W-K9=,394239,CS-DESKMINI-K9=,,False,ok_null_eos,1
EOL12993,A900U-RSP2A-128=,457242,ASR-902=,,False,ok_null_eos,1
EOL9388,ONS-SE-100-LX10,285480,ONS-SI-100-LX10,,False,ok_null_eos,1
EOL9900,DS-SFP-FC4G-LW,302657,DS-SFP-FC8G-LW,,False,ok_null_eos,1
EOL7376,DS-SFP-FC4G-MR,241640,DS-SFP-FC8G-LW,,False,ok_null_eos,1
EOL15720,IE-4010-16S12P,575539,IE-9310-16P8S4X-E,,False,ok_null_eos,1
EOL15598,CBS250-24FP-4G-IN,564289,C1200-48P-4G,,False,ok_null_eos,1
EOL15510,CBS250-24FP-4G-BR,560842,C1200-48P-4G,,False,ok_null_eos,1
EOL15388,CBS250-24FP-4G-UK,556078,C1200-48P-4G,,False,ok_null_eos,1
EOL15388,CBS250-24FP-4G-TW,556077,C1200-48P-4G,,False,ok_null_eos,1
EOL15388,CBS250-24FP-4G-SP,556076,C1200-48P-4G,,False,ok_null_eos,1
EOL15388,CBS250-24FP-4G-NA,556075,C1200-48P-4G,,False,ok_null_eos,1
EOL15388,CBS250-24FP-4G-JP,556074,C1200-48P-4G,,False,ok_null_eos,1
EOL15388,CBS250-24FP-4G-EU,556073,C1200-48P-4G,,False,ok_null_eos,1
EOL15388,CBS250-24FP-4G-AU,556072,C1200-48P-4G,,False,ok_null_eos,1
EOL15388,CBS250-24FP-4G-AR,556071,C1200-48P-4G,,False,ok_null_eos,1
EOL4007,15454-SFP-GEFC-SX=,84884,ONS-SE-G2F-SX=,,False,ok_null_eos,1
EOL13617,WS-C3650-48FQ-L,484823,C9300L-48PF-4X-E,,False,ok_null_eos,1
EOL13617,WS-C3650-48FD-L,484814,C9300L-48PF-4X-E,,False,ok_null_eos,1
EOL15646,C9300L-STACK=,571074,C9300L-STACK-A=,,False,ok_null_eos,1
EOL14902,C3650-STACK=,542774,C9300L-STACK-A=,,False,ok_null_eos,1
EOL15644,C926-4PLTEGB,574270,C1127-8PLTEP,,False,ok_null_eos,1
EOL15644,C926-4P,574267,C1127-8PLTEP,,False,ok_null_eos,1
EOL15268,C1116-4PLTEEA,559159,C1127-8PLTEP,,False,ok_null_eos,1
EOL14911,C866VAE-K9,542419,C1127-8PLTEP,,False,ok_null_eos,1
EOL14938,QDD-400G-LR8-S=,544094,QDD-400G-LR4-S=,,False,ok_null_eos,1
EOL15266,IE-2000-16TC-G-N,552911,IE-3105-18T2C-E,,False,ok_null_eos,1
EOL13617,WS-C3650-24TS-L,484805,C9300L-48PF-4X-E,,False,ok_null_eos,1
EOL15774,MV52-HW,575671,MV53X-HW,,False,ok_null_eos,1
EOL15470,ASR1002-HX,560947,C8500-12X4QC,,False,ok_null_eos,1
EOL15086,ASR1006,546816,C8500-12X4QC,,False,ok_null_eos,1
EOL14711,A9K-VSM-500=,536486,C8500-12X4QC,,False,ok_null_eos,1
EOL14711,A9K-VSM-500,536483,C8500-12X4QC,,False,ok_null_eos,1
EOL14734,VEDGE-2000-AC-K9=,536984,C8300-1N1S-4T2X=,,False,ok_null_eos,1
EOL14621,CGM-WPAN-FSK-NA=,531020,IRMH-WPAN-NA=,,False,ok_null_eos,1
EOL14621,CGM-WPAN-OFDM-FCC=,531026,IRMH-WPAN-NA=,,False,ok_null_eos,1
EOL13617,WS-C3650-24PD-S,484781,C9300L-48PF-4X-E,,False,ok_null_eos,1
EOL13617,WS-C3650-24PD-E,484775,C9300L-48PF-4X-E,,False,ok_null_eos,1
EOL13617,C1-WS3650-24PD/K9,484403,C9300L-48PF-4X-E,,False,ok_null_eos,1
EOL13873,PWR-C1-350WAC=,524038,C9300-NM-4G=,,False,ok_null_eos,1
EOL13617,WS-C3650-12X48UR-L,484770,C9300L-48PF-4X-E,,False,ok_null_eos,1
EOL13617,WS-C3650-12X48UQ-L,484767,C9300L-48PF-4X-E,,False,ok_null_eos,1
EOL13617,WS-C3650-12X48FD-L,484764,C9300L-48PF-4X-E,,False,ok_null_eos,1
EOL14636,SF220-24P-K9-CN,532914,CBS220-24P-4G-EU,,False,ok_null_eos,1
EOL15631,UCSC-C240-M6SX=,569485,UCSC-C220-M7N=,,False,ok_null_eos,1
EOL14636,SG220-50-K9-EU,532988,CBS220-24P-4G-EU,,False,ok_null_eos,1
EOL14636,SF220-48-K9-EU,532928,CBS220-24P-4G-EU,,False,ok_null_eos,1
EOL14637,SF250-48-K9-EU,532867,CBS220-24P-4G-EU,,False,ok_null_eos,1
EOL13211,VS-SUP2T-10G=,464596,C9600-SUP-1,,False,ok_null_eos,1
EOL13211,VS-SUP2T-10G,464593,C9600-SUP-1,,False,ok_null_eos,1
EOL13211,VS-S2T-10G=,464590,C9600-SUP-1,,False,ok_null_eos,1
EOL13211,VS-S2T-10G-XL=,464589,C9600-SUP-1,,False,ok_null_eos,1
EOL13211,VS-S2T-10G-XL,464586,C9600-SUP-1,,False,ok_null_eos,1
EOL13872,C6800-SUP6T=,496460,C9600-SUP-1,,False,ok_null_eos,1
EOL13872,C6800-SUP6T-XL=,496459,C9600-SUP-1,,False,ok_null_eos,1
EOL13872,C6800-SUP6T-XL,496454,C9600-SUP-1,,False,ok_null_eos,1
EOL13872,C6800-SUP6T,496449,C9600-SUP-1,,False,ok_null_eos,1
EOL13211,VS-S2T-10G,464583,C9600-SUP-1,,False,ok_null_eos,1
EOL12258,CP-DX70-W-NR-K9=,394241,CS-DESKMINI-K9=,,False,ok_null_eos,1
EOL12101,NCS4009-FC-S,390733,NCS4009-FC2-S,,False,ok_null_eos,1
EOL13669,AIR-AP1800I-Z-K9,483953,C9105AXI-N,,False,ok_null_eos,1
EOL15514,8800-LC-48H,564905,88-LC0-34H14FH,,False,ok_null_eos,1
EOL15740,NC55-36X100G-S,574412,NC57-36H6D-S,,False,ok_null_eos,1
EOL14665,NC55-18H18F,534083,NC57-36H6D-S,,False,ok_null_eos,1
EOL14551,NC55-36X100G,526998,NC57-36H6D-S,,False,ok_null_eos,1
EOL13086,IEM-3000-8TM=,458524,IEM-3300-8S=,,False,ok_null_eos,1
EOL13086,IEM-3000-8SM=,458521,IEM-3300-8S=,,False,ok_null_eos,1
EOL13086,IEM-3000-8FM=,458519,IEM-3300-8S=,,False,ok_null_eos,1
EOL15446,SM-X-NIM-ADPTR=,558699,C-SM-NIM-ADPT=,,False,ok_null_eos,1
EOL13598,C9117AXI-D,484045,C9130AXI-D,,False,ok_null_eos,1
EOL15824,MS225-48FP-HW,580902,MS150-48LP-4X,,False,ok_null_eos,1
EOL13217,WS-C4503-E=,464324,C9400-LC-24XS,,False,ok_null_eos,1
EOL15317,CS-BRD75P-K9=,557221,CS-BRDP55-K9=,,False,ok_null_eos,1
EOL13784,N7K-C7010=,493576,N9K-C9508=,,False,ok_null_eos,1
EOL13785,N7K-C7009=,493528,N9K-C9508=,,False,ok_null_eos,1
EOL15267,1783-BMS12T4E2CGP,552668,1783-CMS6P,,False,ok_null_eos,1
EOL15267,1783-BMS12T4E2CGNK,552667,1783-CMS6P,,False,ok_null_eos,1
EOL15267,1783-BMS12T4E2CGL,552666,1783-CMS6P,,False,ok_null_eos,1
EOL15321,A9K-16X100GE-SE,553553,A9K-20HG-FLEX-TR=,,False,ok_null_eos,1
EOL15321,A99-16X100GE-X-SE,553529,A9K-20HG-FLEX-TR=,,False,ok_null_eos,1
EOL14800,A99-12X100GE,539646,A9K-20HG-FLEX-TR=,,False,ok_null_eos,1
EOL10462,CP-7942G=,312301,CP-8811-K9=,,False,ok_null_eos,1
EOL10462,CP-7942G,312285,CP-8811-K9=,,False,ok_null_eos,1
EOL14800,A99-SFC-T=,539968,A9K-20HG-FLEX-TR=,,False,ok_null_eos,1
EOL15740,NC55-36X100G-A-SE,574407,NC57-36H6D-S,,False,ok_null_eos,1
EOL14482,NC55-24X100G-SE,524704,NC57-36H-SE,,False,ok_null_eos,1
EOL14482,NC55-24H12F-SE,524698,NC57-36H-SE,,False,ok_null_eos,1
EOL13598,C9117AXI-E,484046,C9130AXI-D,,False,ok_null_eos,1
EOL11403,15216-MD-40-ODD=,341796,15216-EF-40-ODD=,,False,ok_null_eos,1
EOL11349,15454-40-MUX-C=,327044,15216-EF-40-ODD=,,False,ok_null_eos,1
EOL11349,15454-40-DMX-C=,327042,15216-EF-40-ODD=,,False,ok_null_eos,1
EOL1006,15454-SFP-LC-LX=,163952,ONS-SC-GE-LX=,,False,ok_null_eos,1
EOL1006,15327-SFP-LC-LX=,163948,ONS-SC-GE-LX=,,False,ok_null_eos,1
EOL13802,MR45-HW,493749,MR76-HW,,False,ok_null_eos,1
EOL15293,MR52-HW,553387,MR46-HW,,False,ok_null_eos,1
EOL13598,C9117AXI-Q,484076,C9130AXI-D,,False,ok_null_eos,1
2972,PA-POS-OC3MM,166817,SFP-OC3-MM,,False,ok_null_eos,1
EOL11403,15216-MD-40-EVEN=,341795,15216-EF-40-ODD=,,False,ok_null_eos,1
EOL9177,15454-40-DMX-CE=,283868,15216-EF-40-EVEN=,,False,ok_null_eos,1
EOL15267,1783-BMS4S2SGL,552676,1783-CMS6P,,False,ok_null_eos,1
EOL15267,1783-BMS06TL,552659,1783-CMS6P,,False,ok_null_eos,1
EOL15267,1783-BMS06TGL,552658,1783-CMS6P,,False,ok_null_eos,1
EOL15267,1783-BMS06SL,552655,1783-CMS6P,,False,ok_null_eos,1
EOL15267,1783-BMS06SGL,552654,1783-CMS6P,,False,ok_null_eos,1
EOL13211,WS-C6513-E=,464653,C9600-SUP-1,,False,ok_null_eos,1
EOL13211,WS-C6513-E,464646,C9600-SUP-1,,False,ok_null_eos,1
EOL13211,WS-C6509-V-E=,464643,C9600-SUP-1,,False,ok_null_eos,1
EOL13211,WS-C6509-V-E,464634,C9600-SUP-1,,False,ok_null_eos,1
EOL13211,WS-C6509-E=,464633,C9600-SUP-1,,False,ok_null_eos,1
EOL13211,WS-C6509-E,464624,C9600-SUP-1,,False,ok_null_eos,1
EOL15022,ST-FS4240-K9,544664,ST-FS1300-K9,,False,ok_null_eos,1
EOL13831,NCS4200-1T8S-10CS=,495254,NCS4200-1T8S-20CS=,,False,ok_null_eos,1
EOL15597,CBS350-16XTS-IN,564353,C1300-16XTS,,False,ok_null_eos,1
EOL15511,CBS350-16XTS-BR,560865,C1300-16XTS,,False,ok_null_eos,1
EOL15389,CBS350-16XTS-UK,556476,C1300-16XTS,,False,ok_null_eos,1
EOL15389,CBS350-16XTS-SP,556474,C1300-16XTS,,False,ok_null_eos,1
EOL15389,CBS350-16XTS-NA,556471,C1300-16XTS,,False,ok_null_eos,1
EOL15389,CBS350-16XTS-JP,556468,C1300-16XTS,,False,ok_null_eos,1
EOL15389,CBS350-16XTS-EU,556465,C1300-16XTS,,False,ok_null_eos,1
EOL15389,CBS350-16XTS-CN,556464,C1300-16XTS,,False,ok_null_eos,1
EOL15389,CBS350-16XTS-AU,556463,C1300-16XTS,,False,ok_null_eos,1
EOL15389,CBS350-16XTS-AR,556462,C1300-16XTS,,False,ok_null_eos,1
EOL13781,WAP581-I-K9,492997,CBW240AC-Q,,False,ok_null_eos,1
EOL13781,WAP581-E-K9,492994,CBW240AC-Q,,False,ok_null_eos,1
EOL13781,WAP571-I-K9,492983,CBW240AC-Q,,False,ok_null_eos,1
EOL13781,WAP571-E-K9,492980,CBW240AC-Q,,False,ok_null_eos,1
EOL15321,A99-32X100GE-SE,553541,A9K-20HG-FLEX-TR=,,False,ok_null_eos,1
EOL15630,UCSB-B200-M6,569410,UCSX-9508,,False,ok_null_eos,1
EOL15605,UCSX-210C-M6=,564389,UCSX-210C-M7,,False,ok_null_eos,1
EOL15605,UCSX-210C-M6,564380,UCSX-210C-M7,,False,ok_null_eos,1
EOL15068,UCSB-B200-M5,546093,UCSX-210C-M7,,False,ok_null_eos,1
EOL14805,SF95-24-CN,539635,CBS110-5T-D-EU,,False,ok_null_eos,1
EOL13837,SG95-24-CN,497394,CBS110-8PP-D-AU,,False,ok_null_eos,1
EOL15392,C9400-SUP-1XL=,556036,C9400X-SUP-2XL,,False,ok_null_eos,1
EOL15392,C9400-SUP-1XL-Y=,556033,C9400X-SUP-2XL,,False,ok_null_eos,1
EOL15392,C9400-SUP-1XL-Y,556028,C9400X-SUP-2XL,,False,ok_null_eos,1
EOL15392,C9400-SUP-1XL,556023,C9400X-SUP-2XL,,False,ok_null_eos,1
EOL15332,MS120-48-HW,558245,MS130-48-HW,,False,ok_null_eos,1
EOL15256,NCS-5001,552565,NCS-55A1-24H,,False,ok_null_eos,1
EOL14669,NCS-5011,534221,NCS-55A1-24H,,False,ok_null_eos,1
EOL15597,CBS350-16FP-2G-IN,564348,C1300-16XTS,,False,ok_null_eos,1
EOL15511,CBS350-16FP-2G-BR,560860,C1300-16XTS,,False,ok_null_eos,1
EOL15389,CBS350-16FP-2G-UK,556392,C1300-16XTS,,False,ok_null_eos,1
EOL15389,CBS350-16FP-2G-SP,556391,C1300-16XTS,,False,ok_null_eos,1
EOL15389,CBS350-16FP-2G-NA,556390,C1300-16XTS,,False,ok_null_eos,1
EOL15389,CBS350-16FP-2G-JP,556389,C1300-16XTS,,False,ok_null_eos,1
EOL15389,CBS350-16FP-2G-EU,556388,C1300-16XTS,,False,ok_null_eos,1
EOL15389,CBS350-16FP-2G-AU,556387,C1300-16XTS,,False,ok_null_eos,1
EOL15389,CBS350-16FP-2G-AR,556386,C1300-16XTS,,False,ok_null_eos,1
EOL15390,C1000-16FP-2G-L,555931,C1300-16FP-2G,,False,ok_null_eos,1
EOL11194,ASR-9922-FAN,322768,ASR-9922-FAN-V2,,False,ok_null_eos,1
EOL14734,VEDGE-5000-AC-K9,536991,C8300-1N1S-4T2X=,,False,ok_null_eos,1
EOL14624,ASR1002-X=,533275,EPA-10X10GE=,,False,ok_null_eos,1
EOL14624,ASR1002-X,533270,EPA-10X10GE=,,False,ok_null_eos,1
EOL14624,ASR1001-X=,533216,EPA-10X10GE=,,False,ok_null_eos,1
EOL14624,ASR1001-X,533202,EPA-10X10GE=,,False,ok_null_eos,1
EOL15644,C927-4P,574273,C1127-8PLTEP,,False,ok_null_eos,1
EOL13392,C887VA-K9,470334,C1117-4P,,False,ok_null_eos,1
EOL13227,C886VAJ-K9,464237,C1127-8PLTEP,,False,ok_null_eos,1
EOL12789,C897VA-K9,446090,C1117-4P,,False,ok_null_eos,1
EOL12402,CP-8831-EU-K9=,454940,CP-8832-EU-K9,,False,ok_null_eos,1
EOL15072,WS-C3560CX-12PD-S,546495,C9200CX-12P-2X2G-A,,False,ok_null_eos,1
EOL15072,WS-C3560CX-12PC-S,546493,C9200CX-12P-2X2G-A,,False,ok_null_eos,1
EOL11194,ASR-9006-FAN=,322765,ASR-9922-FAN-V2,,False,ok_null_eos,1
EOL13217,WS-X4748-RJ45-E,464413,C9400-LC-24XS,,False,ok_null_eos,1
EOL12993,ASR-903U=,457248,ASR-902=,,False,ok_null_eos,1
EOL11178,PVDM3-192=,322635,NIM-2FXO,,False,ok_null_eos,1
EOL11178,PVDM3-192,322634,NIM-2FXO,,False,ok_null_eos,1
EOL5826,15454-OC192IR1550,175854,ONS-XC-10G-I2,,False,ok_null_eos,1
EOL15086,ASR1006,546816,C8500-12X4QC,,False,ok_null_eos,1
EOL15352,MG21-HW-WW,558240,MG41-HW,,False,ok_null_eos,1
EOL15351,MG21-HW-NA,558239,MG41-HW,,False,ok_null_eos,1
EOL14902,WS-C3650-48FQM-L,542814,C9300L-STACK-A=,,False,ok_null_eos,1
EOL15824,MS225-48-HW,580901,MS150-48LP-4X,,False,ok_null_eos,1
EOL12993,A900U-RSP2A-64=,457244,ASR-902=,,False,ok_null_eos,1
EOL13086,IEM-3000-8TM=,458524,IEM-3300-8S=,,False,ok_null_eos,1
EOL13086,IEM-3000-4PC-4TC=,458512,IEM-3300-8S=,,False,ok_null_eos,1
EOL11250,A903-RSP1B-55=,323244,A900-RSP3C-200-S,,False,ok_null_eos,1
EOL11250,A903-RSP1B-55,323241,A900-RSP3C-200-S,,False,ok_null_eos,1
EOL11250,A903-RSP1A-55=,323240,A900-RSP3C-200-S,,False,ok_null_eos,1
EOL11250,A903-RSP1A-55,323237,A900-RSP3C-200-S,,False,ok_null_eos,1
EOL15265,IE-4000-8GT8GP4G-E,552883,IE-3300-8P2S-E,,False,ok_null_eos,1
EOL15265,IE-4000-4T4P4G-E,552871,IE-3300-8P2S-E,,False,ok_null_eos,1
EOL15265,IE-4000-4S8P4G-E,552868,IE-3300-8P2S-E,,False,ok_null_eos,1
