action_id,name,class_desc,covering_action_name,parent_class_desc,covering_parent_action_name,configuration_level,containing_group_name
R,REVOKE,APPLICATION ROLE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,APPLICATION ROLE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,APPLICATION ROLE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,APPLICATION ROLE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,APPLICATION ROLE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,APPLICATION ROLE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,APPLICATION ROLE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,MESSAGE TYPE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,MESSAGE TYPE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,MESSAGE TYPE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,MESSAGE TYPE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,MESSAGE TYPE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,MESSAGE TYPE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,MESSAGE TYPE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,CONTRACT,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,CONTRACT,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,CONTRACT,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,CONTRACT,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,CONTRACT,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,CONTRACT,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,CONTRACT,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,SERVICE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,SERVICE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,SERVICE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,SERVICE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,SERVICE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,SERVICE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,SERVICE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,REMOTE SERVICE BINDING,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,REMOTE SERVICE BINDING,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,REMOTE SERVICE BINDING,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,REMOTE SERVICE BINDING,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,REMOTE SERVICE BINDING,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,REMOTE SERVICE BINDING,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,REMOTE SERVICE BINDING,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,ROUTE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,ROUTE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,ROUTE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,ROUTE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,ROUTE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,ROUTE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,ROUTE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,FULLTEXT CATALOG,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,FULLTEXT CATALOG,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,FULLTEXT CATALOG,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,FULLTEXT CATALOG,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,FULLTEXT CATALOG,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,FULLTEXT CATALOG,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,FULLTEXT CATALOG,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,FULLTEXT STOPLIST,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,FULLTEXT STOPLIST,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,FULLTEXT STOPLIST,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,FULLTEXT STOPLIST,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,FULLTEXT STOPLIST,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,FULLTEXT STOPLIST,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,FULLTEXT STOPLIST,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,SEARCH PROPERTY LIST,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,SEARCH PROPERTY LIST,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,SEARCH PROPERTY LIST,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,SEARCH PROPERTY LIST,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,SEARCH PROPERTY LIST,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,SEARCH PROPERTY LIST,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,SEARCH PROPERTY LIST,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,SYMMETRIC KEY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,SYMMETRIC KEY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,SYMMETRIC KEY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,SYMMETRIC KEY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,SYMMETRIC KEY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,SYMMETRIC KEY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,SYMMETRIC KEY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,CERTIFICATE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,CERTIFICATE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,CERTIFICATE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,CERTIFICATE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,CERTIFICATE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,CERTIFICATE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,CERTIFICATE,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,ASYMMETRIC KEY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
D,DENY,ASYMMETRIC KEY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
G,GRANT,ASYMMETRIC KEY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,ASYMMETRIC KEY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,ASYMMETRIC KEY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
RWC,REVOKE WITH CASCADE,ASYMMETRIC KEY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
DWC,DENY WITH CASCADE,ASYMMETRIC KEY,NULL,DATABASE,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP,NULL,DATABASE_OBJECT_PERMISSION_CHANGE_GROUP
R,REVOKE,SERVER,SERVER_PERMISSION_CHANGE_GROUP,NULL,NULL,NULL,SERVER_PERMISSION_CHANGE_GROUP
D,DENY,SERVER,SERVER_PERMISSION_CHANGE_GROUP,NULL,NULL,NULL,SERVER_PERMISSION_CHANGE_GROUP
G,GRANT,SERVER,SERVER_PERMISSION_CHANGE_GROUP,NULL,NULL,NULL,SERVER_PERMISSION_CHANGE_GROUP
GWG,GRANT WITH GRANT,SERVER,SERVER_PERMISSION_CHANGE_GROUP,NULL,NULL,NULL,SERVER_PERMISSION_CHANGE_GROUP
RWG,REVOKE WITH GRANT,SERVER,SERVER_PERMISSION_CHANGE_GROUP,NULL,NULL,NULL,SERVER_PERMISSION_CHANGE_GROUP
