_time,process_path,process_name,dest,user,action,count,process,storedTime
1609173000,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","DESKTOP-I6468Q2",roman,allowed,1,"RemoteDLLInjector64.exe",1609174021
1609178400,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","DESKTOP-I6468Q2",roman,allowed,2,"RemoteDLLInjector64.exe",1609179064
1609180200,"C:\Users\roman\Downloads\RemoteDLLInjector\Gears5","gears5.exe","DESKTOP-I6468Q2",roman,allowed,1,"gears5.exe",1609181179
1609180200,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","DESKTOP-I6468Q2",roman,allowed,1,"RemoteDLLInjector64.exe",1609180905
1609952400,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","DESKTOP-I6468Q2",roman,allowed,1,"RemoteDLLInjector64.exe",1609953799
1609961400,"C:\Users\roman\Downloads\RemoteDLLInjector\Gears5","gears5.exe","DESKTOP-I6468Q2",roman,allowed,1,"gears5.exe",1609961679
1609961400,"C:\Program Files (x86)\KMSPico 10.0.6","KMSPico10.0.9__8173_il18577.exe","DESKTOP-I6468Q2",roman,allowed,18,"KMSPico10.0.9__8173_il18577.exe",1609962586
1609961400,"\\192.168.1.11\pub\software\os\Windows\KMSPico 10.0.9\KMSPico 10.0.9","KMSPico 10.0.9.exe","DESKTOP-I6468Q2",roman,allowed,3,"KMSPico 10.0.9.exe",1609962569
1609965000,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector32.exe","DESKTOP-I6468Q2",roman,allowed,1,"RemoteDLLInjector32.exe",1609965873
1610125200,"C:\Users\sydvishus\Downloads\Harpoon\RemoteDLLInjector","RemoteDLLInjector64.exe",sygahertz,sydvishus,blocked,1,"RemoteDLLInjector64.exe",1610125798
1610127000,"C:\Users\sydvishus\Downloads\Harpoon\RemoteDLLInjector","CatchMeIfYouCan.exe",sygahertz,sydvishus,blocked,1,"CatchMeIfYouCan.exe",1610127171
1610485200,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","DESKTOP-I6468Q2",roman,allowed,1,"kavremover.exe",1610485240
1610485200,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1610485599
1610487000,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1610488170
1610487000,"\\192.168.1.11\pub\Upload\Kapersky","kavremover.exe","DESKTOP-I6468Q2",roman,allowed,1,"kavremover.exe",1610488092
1610490600,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1610492039
1610490600,"\\192.168.1.11\pub\Upload\Kapersky","kavremover.exe","DESKTOP-I6468Q2",roman,allowed,1,"kavremover.exe",1610492013
1610492400,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1610492561
1610492400,"\\192.168.1.11\pub\Upload\Kapersky","kavremover.exe","DESKTOP-I6468Q2",roman,allowed,1,"kavremover.exe",1610492543
1610492400,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,2,"kavremover.exe",1610493382
1610492400,"\\192.168.1.11\pub\Upload\Kapersky","kavremover.exe","DESKTOP-I6468Q2",roman,allowed,2,"kavremover.exe",1610493284
1610492400,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","RemoteDLLInjector32.exe",sygahertz,sydvishus,blocked,1,"RemoteDLLInjector32.exe",1610493609
1610580600,"C:\Users\sydvishus\Downloads\RemoteDLLInjector\Gears5","gears5.exe",sygahertz,sydvishus,blocked,1,"gears5.exe",1610581565
1610580600,"C:\Users\roman\Downloads\RemoteDLLInjector\Gears5","gears5.exe","DESKTOP-I6468Q2",roman,allowed,1,"gears5.exe",1610582317
1610641800,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","DESKTOP-I6468Q2",roman,allowed,1,"kavremover.exe",1610642592
1610661600,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe",sygahertz,sydvishus,blocked,1,"RemoteDLLInjector64.exe",1610661762
1610726400,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1610727505
1610728200,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","DESKTOP-I6468Q2",roman,allowed,1,"kavremover.exe",1610728511
1610730399,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","DESKTOP-I6468Q2",roman,allowed,1,"kavremover.exe",1610730399
1610730000,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1610730366
1610731800,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe",sygahertz,sydvishus,blocked,1,"RemoteDLLInjector64.exe",1610732169
1610731800,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","DESKTOP-I6468Q2",roman,allowed,1,"RemoteDLLInjector64.exe",1610732445
1610734019,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","DESKTOP-I6468Q2",roman,allowed,1,"RemoteDLLInjector64.exe",1610734019
1610734000,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe",sygahertz,sydvishus,blocked,1,"RemoteDLLInjector64.exe",1610734000
1610742170,"C:\Users\roman\Downloads\RemoteDLLInjector","SolarWinds.Agent.Service.exe","DESKTOP-I6468Q2",roman,allowed,1,"SolarWinds.Agent.Service.exe",1610742170
1610742749,"C:\Users\roman\Downloads\RemoteDLLInjector","SolarWinds.Agent.Service.exe","DESKTOP-I6468Q2",roman,allowed,1,"SolarWinds.Agent.Service.exe",1610742749
1610743485,"C:\Users\roman\Downloads\RemoteDLLInjector","SolarWinds.Agent.Service.exe","DESKTOP-I6468Q2",roman,allowed,1,"SolarWinds.Agent.Service.exe",1610743485
1610743396,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","DESKTOP-I6468Q2",roman,allowed,1,"kavremover.exe",1610743396
1610743680,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1610743680
1610743660,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1610743660
1610746131,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1610746131
1610746097,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","DESKTOP-I6468Q2",roman,allowed,1,"kavremover.exe",1610746097
1610746089,"C:\Users\roman\Downloads\RemoteDLLInjector","SolarWinds.Agent.Service.exe","DESKTOP-I6468Q2",roman,allowed,1,"SolarWinds.Agent.Service.exe",1610746089
1610746079,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1610746079
1610748185,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1610748185
1610748453,"C:\Users\roman\Downloads\RemoteDLLInjector","SolarWinds.Agent.Service.exe","DESKTOP-I6468Q2",roman,allowed,1,"SolarWinds.Agent.Service.exe",1610748453
1610749633,"C:\Users\roman\Downloads\RemoteDLLInjector","SolarWinds.Agent.Service.exe","DESKTOP-I6468Q2",roman,allowed,1,"SolarWinds.Agent.Service.exe",1610749633
1610749623,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1610749623
1610901786,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","DESKTOP-I6468Q2",roman,allowed,1,"kavremover.exe",1610901786
1610901746,"C:\Users\roman\Downloads\RemoteDLLInjector","SolarWinds.Agent.Service.exe","DESKTOP-I6468Q2",roman,allowed,1,"SolarWinds.Agent.Service.exe",1610901746
1610912539,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1610912539
1610911800,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","DESKTOP-I6468Q2",roman,allowed,1,"kavremover.exe",1610912724
1610911800,"C:\Users\roman\Downloads\RemoteDLLInjector","SolarWinds.Agent.Service.exe","DESKTOP-I6468Q2",roman,allowed,1,"SolarWinds.Agent.Service.exe",1610912712
1610913441,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1610913441
1610911800,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1610913381
1610988863,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","DESKTOP-I6468Q2",roman,allowed,1,"kavremover.exe",1610988863
1610989179,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1610989179
1610987400,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","DESKTOP-I6468Q2",roman,allowed,1,"RemoteDLLInjector64.exe",1610989000
1610989200,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1610989214
