COURSENAME,Class_Level,Class_Name,Training_Path_Admin,Training_Path_Architect,Training_Path_User,Training_Path_Developer,Training_Path_Cloud,Training_Path_Security,Training_Path_ITSI
Searching and Reporting with Splunk 5.0 - Dedicated Virtual,130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching and Reporting with Splunk 5.0 - Onsite,130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching and Reporting with Splunk 5.0 - Virtual,130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching and Reporting with Splunk 6 - Classroom,130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching and Reporting with Splunk 6 - Dedicated Virtual,130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching and Reporting with Splunk 6 - Onsite,130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching and Reporting with Splunk 6 - Virtual,130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching and Reporting with Splunk 6.4 - Classroom,130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching and Reporting with Splunk 6.4 - Dedicated Virtual,130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching and Reporting with Splunk 6.4 - Virtual,130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching And Reporting With Splunk 6.4 (eLearning),130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching and Reporting with Splunk 6.5 - Classroom,130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching and Reporting with Splunk 6.5 - Onsite,130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching and Reporting with Splunk 6.5 - Virtual,130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Searching And Reporting With Splunk 6.x (eLearning),130,Searching And Reporting With Splunk,Required,Required,Required,Required,Required,Required,Required
Splunk 4.3 Administration,,Splunk 4.3 Administration,,,,,,,
Splunk 5.0 Administration - Dedicated Virtual,200,Splunk Administration,Required,Required,,,,Required,Required
Splunk 5.0 Administration-Virtual,200,Splunk Administration,Required,Required,,,,Required,Required
Splunk 5.0 Tutorial (eLearning),100,Splunk Tutorial,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended
Splunk 5.0 Tutorial (Flash Version),100,Splunk Tutorial,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended
Splunk 6 Administration -  Classroom,200,Splunk Administration,Required,Required,,,,Required,Required
Splunk 6 Administration -  Dedicated Virtual,200,Splunk Administration,Required,Required,,,,Required,Required
Splunk 6 Administration - Onsite,200,Splunk Administration,Required,Required,,,,Required,Required
Splunk 6 Administration - Virtual,200,Splunk Administration,Required,Required,,,,Required,Required
Splunk 6 Bootcamp May 2014 - SF,,Splunk 6 Bootcamp,,,,,,,
Splunk 6 Bootcamp Registration,,Splunk 6 Bootcamp Registration,,,,,,,
Splunk 6 Cluster Administration - Classroom,210,Splunk Cluster Administration,Recommended,Recommended,,,,,
Splunk 6 Cluster Administration - Onsite,210,Splunk Cluster Administration,Recommended,Recommended,,,,,
Splunk 6 Cluster Administration - Virtual,210,Splunk Cluster Administration,Recommended,Recommended,,,,,
Splunk 6.4 Administration - Classroom,200,Splunk Administration,Required,Required,,,,Required,Required
Splunk 6.4 Administration - Dedicated Virtual,200,Splunk Administration,Required,Required,,,,Required,Required
Splunk 6.4 Administration - Virtual,200,Splunk Administration,Required,Required,,,,Required,Required
Splunk 6.4 Cluster Administration - Classroom,210,Splunk Cluster Administration,Recommended,Recommended,,,,,
Splunk 6.4 Cluster Administration - Virtual,210,Splunk Cluster Administration,Recommended,Recommended,,,,,
Splunk 6.4 for Analytics and Data Science - Virtual,,Splunk 6.4 for Analytics and Data Science - Virtual,,,,,,,
Splunk 6.5 for Analytics and Data Science - Virtual,,Splunk 6.4 for Analytics and Data Science - Virtual,,,,,,,
Splunk Architect Certification Lab (6) - Virtual,,Splunk Architect Certification Lab (6),,,,,,,
Splunk Architecture Overview (5.0f),120,Splunk Architecture Overview,,,,,,,
Splunk Architecture Overview (eLearning),120,Splunk Architecture Overview,,,,,,,
Splunk Cloud Administration,300,Splunk Cloud Administration,,,,,Required,,
Splunk eLearning Extension - 30 days only,,,,,,,,,
Splunk Enterprise 6.5 Data Administration - Classroom,200,Splunk Data Administration,Required,Required,,,,Required,Required
Splunk Enterprise 6.5 Data Administration - Onsite,200,Splunk Data Administration,Required,Required,,,,Required,Required
Splunk Enterprise 6.5 Data Administration - Virtual,200,Splunk Data Administration,Required,Required,,,,Required,Required
Splunk Enterprise 6.5 System Administration - Classroom,200,Splunk Administration,Required,Required,,,,Required,Required
Splunk Enterprise 6.5 System Administration - Onsite,200,Splunk Administration,Required,Required,,,,Required,Required
Splunk Enterprise 6.5 System Administration - Virtual,200,Splunk Administration,Required,Required,,,,Required,Required
Splunk Fast Start Registration,,Splunk Fast Start Registration,,,,,,,
Splunk for Analytics and Data Science - Onsite,120,Splunk Infrastructure Overview,Recommended,,Required,,,,
Splunk Infrastructure Overview (conf2016),120,Splunk Infrastructure Overview,Recommended,,Required,,,,
Splunk Infrastructure Overview (eLearning),120,Splunk Infrastructure Overview,Recommended,,Required,,,,
Splunk Infrastructure Overview 6.4 (eLearning),120,Splunk Infrastructure Overview,Recommended,,Required,,,,
Splunk Infrastructure Overview 6.x (eLearning),120,Splunk Infrastructure Overview,Recommended,,Required,,,,
Splunk Tutorial (eLearning),100,Splunk Tutorial,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended
Splunk Tutorial 6.4 (eLearning),100,Splunk Tutorial,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended
Splunk Tutorial 6.x (eLearning),100,Splunk Tutorial,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended
Troubleshooting Splunk Enterprise 6.5 - Virtual,,Troubleshooting Splunk Enterprise 6.5,,,,,,,
Using Enterprise Security,300,Using Enterprise Security,,,,,,Required,
Using Enterprise Security 2.0,300,Using Enterprise Security,,,,,,Required,
Using Enterprise Security 3.0 - Dedicated Virtual,300,Using Enterprise Security,,,,,,Required,
Using Enterprise Security 3.0 - Virtual,300,Using Enterprise Security,,,,,,Required,
Using Enterprise Security 3.2 - Onsite,300,Using Enterprise Security,,,,,,Required,
Using Enterprise Security 3.3 - Dedicated Virtual,300,Using Enterprise Security,,,,,,Required,
Using Enterprise Security 3.3 - Onsite,300,Using Enterprise Security,,,,,,Required,
Using Enterprise Security 4.1 - Classroom,300,Using Enterprise Security,,,,,,Required,
Using Enterprise Security 4.1 - Dedicated Virtual,300,Using Enterprise Security,,,,,,Required,
Using Splunk (eLearning),110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 4.0,110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 4.1 Classroom,110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 4.2 Classroom,110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 5.0 -Dedicated Virtual,110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 5.0 -Onsite,110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 5.0 -Virtual,110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 6 - Classroom,110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 6 - Dedicated Virtual,110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 6 - Onsite,110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 6 - Virtual,110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 6 Video Tutorial (HTML5),110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 6.4 - Classroom,110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 6.4 - Dedicated Virtual,110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 6.4 - Virtual,110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 6.4 (eLearning),110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 6.5 - Classroom,110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 6.5 - Onsite,110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 6.5 - Virtual,110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk 6.x (eLearning),110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
Using Splunk Video Tutorial (eLearning),110,Using Splunk,Required,Required,Required,Required,Required,Required,Required
What is Splunk (eLearning),100,Splunk Tutorial,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended
Whats New in Splunk 6x - Virtual,,Whats New in Splunk 6x,,,,,,,
