asn,asname
118,"DNIC-AS-00118"
120,"The MITRE Corporation"
121,"DoD Network Information Center"
122,UPMC
125,"Honeywell International, Inc."
127,"Jet Propulsion Laboratory"
130,"CSOCNET-AS"
131,"University of California, Santa Barbara"
132,"Air Force Systems Networking"
137,"Consortium GARR"
138,"DoD Network Information Center"
140,"DoD Network Information Center"
147,"DoD Network Information Center"
149,"DoD Network Information Center"
151,"Hewlett-Packard Company"
153,"Headquarters, USAISC"
154,"Headquarters, USAISC"
156,"Northeastern University"
157,"Silicon Graphics International Corp."
158,"Ericsson Network Systems, Inc."
159,"The Ohio State University"
160,"University of Chicago"
161,"Texas Instruments, Inc."
166,"Institute for Defense Analyses"
167,"Wesleyan University"
170,"DNIC-AS-00170"
172,"Headquarters, USAISC"
173,"Electrical Communications Laboratories"
174,"Cogent Communications"
186,"The Catholic University of America"
187,DNScast
188,SAIC
190,"Navy Network Information Center (NNIC)"
194,"University Corporation for Atmospheric Research"
195,"San Diego Supercomputer Center"
196,"The Boeing Company"
200,"Level 3 Parent, LLC"
202,"Level 3 Parent, LLC"
203,"CENTURYLINK-LEGACY-LVLT-203"
205,"Montclair State University"
206,"Computer Sciences Corporation"
209,"CenturyLink Communications, LLC"
210,"Utah Education Network"
213,"Headquarters, USAISC"
217,"University of Minnesota"
220,"OOALC-HOSTNET-AS"
223,AS223
224,"UNINETT AS"
225,"University of Virginia"
226,"Los Nettos"
228,"DoD Network Information Center"
229,"Merit Network Inc."
231,"Merit Network Inc."
234,"Blackrose Society"
237,"Merit Network Inc."
239,"University of Toronto"
243,"Harris Government Systems Sector"
246,"Air Force Systems Networking"
250,"AS250.net Foundation"
251,"Denis Klimek"
252,"Headquarters, USAISC"
257,"Navy Network Information Center (NNIC)"
258,"BRAGGSRI-EGP-AS"
260,"Xconnect24 Inc."
262,"NTT America, Inc."
264,"SRI International"
267,"Nether.Net"
268,"USUHSNET-AS"
270,"National Aeronautics and Space Administration"
271,BCnet
272,"Headquarters, USAISC"
273,"DoD Network Information Center"
275,"NTTA-275"
276,"University of Texas System"
278,"Universidad Nacional Autonoma de Mexico"
283,"MPower Labs, Inc."
286,"KPN B.V."
288,"European Space Agency (ESA)"
289,"Headquarters, USAISC"
291,ESnet
292,ESnet
293,ESnet
295,"DoD Network Information Center"
297,"National Aeronautics and Space Administration"
299,"University of California, Irvine"
300,"DoD Network Information Center"
301,"C3PO-AS"
302,"Baylor College of Medicine"
306,"DoD Network Information Center"
307,"DoD Network Information Center"
308,"DoD Network Information Center"
309,"DoD Network Information Center"
310,"DoD Network Information Center"
311,"DoD Network Information Center"
312,"DoD Network Information Center"
313,"DoD Network Information Center"
316,"DoD Network Information Center"
317,"DoD Network Information Center"
319,"DoD Network Information Center"
320,"DoD Network Information Center"
321,"DoD Network Information Center"
322,"DoD Network Information Center"
323,"DoD Network Information Center"
324,"DoD Network Information Center"
325,"DoD Network Information Center"
326,"DoD Network Information Center"
327,"DoD Network Information Center"
328,"DoD Network Information Center"
329,"DoD Network Information Center"
331,"DoD Network Information Center"
332,"DoD Network Information Center"
334,"DoD Network Information Center"
335,"DoD Network Information Center"
336,"DoD Network Information Center"
337,"DoD Network Information Center"
338,"DoD Network Information Center"
339,"DoD Network Information Center"
340,"DoD Network Information Center"
341,"DoD Network Information Center"
342,"DoD Network Information Center"
343,"DoD Network Information Center"
344,"DoD Network Information Center"
345,"DoD Network Information Center"
346,"DoD Network Information Center"
347,"DoD Network Information Center"
348,"DoD Network Information Center"
349,"DoD Network Information Center"
350,"DoD Network Information Center"
351,"DoD Network Information Center"
352,"DoD Network Information Center"
353,"DoD Network Information Center"
355,"DoD Network Information Center"
356,"DoD Network Information Center"
357,"DoD Network Information Center"
358,"DoD Network Information Center"
359,"DoD Network Information Center"
360,"DoD Network Information Center"
361,"DoD Network Information Center"
362,"DoD Network Information Center"
364,"DoD Network Information Center"
365,"DoD Network Information Center"
366,"DoD Network Information Center"
367,"DoD Network Information Center"
368,"DoD Network Information Center"
369,"DoD Network Information Center"
370,"DoD Network Information Center"
371,"DoD Network Information Center"
372,"National Aeronautics and Space Administration"
375,"Tieto Oyj"
376,"Reseau d'informations scientifiques du Quebec (RISQ)"
377,"Sandia National Laboratories"
378,"Israel InterUniversity Computation Center"
381,"Air Force Systems Networking"
383,"Air Force Systems Networking"
385,"Air Force Systems Networking"
386,"Air Force Systems Networking"
387,"Air Force Systems Networking"
390,"Air Force Systems Networking"
391,"Air Force Systems Networking"
395,"Air Force Systems Networking"
398,"AFCONC-BLOCK1-AS"
399,"Air Force Systems Networking"
400,"Air Force Systems Networking"
409,"Air Force Systems Networking"
427,"Air Force Systems Networking"
440,"Air Force Systems Networking"
441,"AFCONC-BLOCK1-AS"
444,"Air Force Systems Networking"
450,"Air Force Systems Networking"
452,"AFCONC-BLOCK1-AS"
456,"AFCONC-BLOCK1-AS"
466,"Air Force Systems Networking"
490,"AFCONC-BLOCK1-AS"
491,"Air Force Systems Networking"
492,"Air Force Systems Networking"
493,"Air Force Systems Networking"
494,"Air Force Systems Networking"
495,"Air Force Systems Networking"
497,"Air Force Systems Networking"
500,"AFCONC-BLOCK1-AS"
510,"Voya Investment Management LLC"
511,"Greenville Health System"
513,"European Organization for Nuclear Research"
514,"DSADC-MECH"
517,"KPN B.V."
518,"DoD Network Information Center"
523,"Headquarters, USAISC"
531,"Headquarters, USAISC"
542,"Alberta Research Council"
543,"Hewlett-Packard Company"
545,"Corporation for National Research Initiatives"
546,"Parsons Corporation"
547,IBM
549,"GTAnet Networking"
552,"DoD Network Information Center"
553,"Universitaet Stuttgart"
555,"Velocity Technology Solutions, Inc"
557,"University of Maine System"
558,"NV Next LLC"
559,SWITCH
560,"LVLT-560"
564,"DoD Network Information Center"
565,"VTT Technical Research Centre of Finland Ltd"
566,"Shared Services Canada"
571,"DoD Network Information Center"
572,"Greater Baltimore Medical Center Inc"
575,"DNIC-AS-00575"
577,"Bell Canada"
589,"University of North Texas"
596,"CENTURYLINK-LEGACY-LVLT-596"
598,"CENTURYLINK-LEGACY-LVLT-598"
600,OARnet
603,"Bell Canada"
605,"Vanguard Health Management, Inc."
606,"schat.net"
607,"Nico Holdings LLC"
609,"Ernst & Young LLP"
611,"NB-PEI Educational Computer Network"
613,"BP America, Inc."
615,"DNIC-AS-00615"
616,"DoD Network Information Center"
619,"DoD Network Information Center"
627,"DoD Network Information Center"
634,"DNIC-ASBLK-00616-00665"
636,"DNIC-ASBLK-00616-00665"
637,"DoD Network Information Center"
647,"DoD Network Information Center"
656,"DNIC-ASBLK-00616-00665"
664,"DoD Network Information Center"
665,"DoD Network Information Center"
668,"DoD Network Information Center"
670,"Headquarters, USAISC"
671,"Headquarters, USAISC"
672,"Headquarters, USAISC"
673,"Headquarters, USAISC"
675,"Minnesota State Colleges and Universities"
676,"United Nations Development Programme"
679,"Technische Universitat Wien"
680,"Verein zur Foerderung eines Deutschen Forschungsnetzes e.V."
681,"The University of Waikato"
683,"Argonne National Lab"
684,"MTS Inc."
687,"DoD Network Information Center"
688,"Department of Interior"
693,"University of Notre Dame"
698,"University of Illinois at Urbana-Champaign"
699,"KANOBE INC"
701,"MCI Communications Services, Inc. d/b/a Verizon Business"
702,"MCI Communications Services, Inc. d/b/a Verizon Business"
703,"MCI Communications Services, Inc. d/b/a Verizon Business"
705,"MCI Communications Services, Inc. d/b/a Verizon Business"
706,"Advanced Workstations Division, IBM Corporation"
714,"Apple Inc."
715,WoodyNet
719,"Elisa Oyj"
721,"DoD Network Information Center"
722,"DoD Network Information Center"
724,"DoD Network Information Center"
744,"AFCONC-BLOCK2-AS"
745,"Air Force Systems Networking"
747,"Headquarters, USAISC"
749,"DNIC-AS-00749"
760,"Vienna University Computer Center"
763,IBM
764,"Prime Minister's Office"
766,"Entidad Publica Empresarial Red.es"
768,"DNIC-AS-00768"
773,"Parsons Corporation"
775,Renater
776,Renater
777,"CEA-Saclay"
780,Renater
781,Renater
782,Renater
784,"Henry M. Jackson Foundation for The Advancement of Military Medicine"
786,"Jisc Services Limited"
789,Renater
790,"Elisa Oyj"
792,"Oracle Corporation"
793,"Oracle Corporation"
794,"Oracle Corporation"
797,"AT&T Services, Inc."
800,ONEWEB
801,"AtTask, Inc"
802,"York University"
803,"Saskatchewan Telecommunications"
806,"Shared Services Canada"
807,FORKSYSTEMS
808,GONET
812,"Rogers Communications Canada Inc."
813,"MCI Communications Services, Inc. d/b/a Verizon Business"
818,"Department of Communications"
819,"LARG*net"
820,"Shared Services Canada"
822,"St. Joseph's Health Care, London"
823,"The University of Western Ontario"
833,"SWN-AS-NEW"
834,IPXO
837,"Shared Services Canada"
841,"Canadian Research Network"
843,"Volterra Inc"
852,"TELUS Communications Inc."
855,"Bell Canada"
857,"GONET-ASN-17"
858,"GONET-ASN-17"
859,"GONET-ASN-17"
860,"GONET-ASN-17"
861,"GONET-ASN-17"
862,"GONET-ASN-17"
863,"GONET-ASN-17"
864,"GONET-ASN-17"
865,"GONET-ASN-17"
866,"GONET-ASN-17"
867,"GONET-ASN-17"
868,"GONET-ASN-17"
869,"GONET-ASN-17"
870,"GONET-ASN-17"
871,"GONET-ASN-17"
872,"GONET-ASN-17"
873,"GONET-ASN-17"
874,"GONET-ASN-17"
875,"GONET-ASN-17"
876,"GONET-ASN-17"
877,"GONET-ASN-17"
878,"GONET-ASN-17"
879,"GONET-ASN-17"
880,"GONET-ASN-17"
881,"GONET-ASN-17"
882,"GONET-ASN-17"
883,"GONET-ASN-17"
884,"GONET-ASN-17"
885,"GONET-ASN-17"
896,FORTLAB
901,FSTRF14541
906,"DMIT-LEGACY"
917,MISAKA
922,"GOCODEIT-CORP"
923,HWS
924,"CLOUDIE-NETWORKS-LLC"
926,ZAPPIE
940,GONET
945,"AUGUST-INTERNET"
948,"JANTECHCS-AS"
949,XTOM
950,"MILEHIGHWALRUS-ANYCAST"
952,HOP
955,LSHIY
972,CF3
1000,GONET
1013,GONET
1075,GONET
1101,"SURFnet bv"
1102,"SURFnet bv"
1103,"SURFnet bv"
1104,"Stichting Nederlandse Wetenschappelijk Onderzoek Instituten"
1109,"Universitaet Salzburg"
1110,"University of Innsbruck"
1111,"Universitaet Klagenfurt"
1112,"Montanuniversitaet Leoben"
1113,"Technische Universitaet Graz"
1114,"Universitaet Graz"
1115,"Austrian Academy of Sciences"
1117,"Universitaet fuer Bodenkultur, Wien"
1120,ACONET
1122,"for TNC17"
1124,"Universiteit van Amsterdam"
1125,"SURFnet bv"
1126,"VANCIS Vancis Advanced ICT Services"
1128,"SURFnet bv"
1132,"SURFnet bv"
1133,"SURFnet bv"
1134,"KPN B.V."
1136,"KPN B.V."
1140,"Stichting Internet Domeinregistratie Nederland"
1142,"SURFnet bv"
1145,"SURFnet bv"
1146,"SURFnet bv"
1147,"SURFnet bv"
1149,"SURF B.V."
1152,"SURF B.V."
1161,"SURFnet bv"
1197,"Network Ability Limited"
1200,"Amsterdam Internet Exchange B.V."
1201,"Old Dominion University"
1204,"State University of New York, Central"
1205,"University Linz"
1206,"Pittsburgh Supercomputing Center"
1207,"Pittsburgh Supercomputing Center"
1208,"DoD Network Information Center"
1213,"HEAnet Limited"
1215,"Oracle Corporation"
1216,"Oracle Corporation"
1217,"Oracle Corporation"
1218,"NCUBE-BELMONT-AS"
1219,"Oracle Corporation"
1221,"Telstra Corporation Ltd"
1222,"EL PASO COMMUNITY COLLEGE"
1224,"National Center for Supercomputing Applications"
1225,"NTTA-1225"
1226,"California Technology Agency"
1234,Fortum
1236,"General Dynamics C4 Systems, Inc."
1237,KISTI
1239,Sprint
1241,Forthnet
1246,"Zito Media"
1248,"HERE Global BV"
1249,"Five Colleges Network"
1251,"FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO"
1252,"University of Nebraska Medical Center"
1254,"National Aeronautics and Space Administration"
1256,"Massachusetts Education Computer Network"
1257,TELE2
1258,"XKL, LLC"
1261,"National Instruments Corporation"
1265,"SAINT-MARYS-AS"
1267,"Wind Tre S.p.A."
1270,"UUNET Germany"
1271,"Deutsche Telekom Technik GmbH T-CNF"
1273,"CW Vodafone Group PLC"
1277,"vXchnge Operating, LLC"
1280,"Internet Systems Consortium, Inc."
1286,"Altay Corporation"
1287,"Professional Education Institute"
1289,"Colgate University"
1290,"Telstra Europe Ltd"
1293,"Hewlett-Packard Company"
1294,"NTT DATA Services Holdings Corporation"
1299,"Telia Company AB"
1301,"Electricite de France Service National"
1303,Renater
1307,Renater
1311,BARRA
1312,"Virginia Polytechnic Institute and State Univ."
1313,"Adobe Systems Inc."
1315,"Imperial PFS"
1321,"Advanced Networks & Services Inc."
1323,"Advanced Networks & Services Inc."
1325,"Advanced Networks & Services Inc."
1326,"Advanced Networks & Services Inc."
1331,"Advanced Networks & Services Inc."
1339,"Advanced Networks & Services Inc."
1341,"Rockwell Collins, Inc."
1342,"Fujitsu Invia Finland IP-network"
1343,"Cisco Systems Cloud Division"
1347,"Inteliquent, inc."
1348,"California Department of Transportation"
1350,"Sears Technology Services Incorporated"
1351,"University of Vermont"
1355,"AbelsonTaylor, Inc."
1358,"Hughes Network Systems, Inc."
1360,"MEWS-04"
1378,"Interbel Telephone Cooperative, Inc."
1379,"Sybase 365, Inc"
1380,"McVEAN Trading & Investments, LLC"
1382,"Advanced Networks & Services Inc."
1383,"ANSBB-ASNNET-2"
1395,"Advanced Networks & Services Inc."
1397,"ThinkTech, Inc"
1399,"ThinkTech, Inc"
1401,"DSW Information Technology LLC."
1403,EBOX
1405,"LION APPAREL"
1406,"Motorola Inc"
1407,Quotemedia
1409,"Catapulsion LLC"
1410,"SMITH BAGLEY INC"
1411,"Christopher Newport University"
1412,"Gravity Interactive, Inc."
1414,"Genuine Parts Company"
1415,"Christus Health"
1416,"Chicago Public Schools"
1418,"MATE1.COM, INC."
1419,"Selerity Financial, Inc."
1420,"STL OFFICE SOLUTIONS, INC."
1421,"WANSecurity, Inc."
1422,Media6degrees
1423,"Carson Communications, LLC"
1426,"Lightwave Networking, LLC"
1427,"Alion Science and Technology Corporation"
1428,"DRW Holdings, LLC"
1429,"FriendFinder Networks Inc"
1430,"Board of Bar Overseers"
1432,"Albion College"
1435,"New WT Miami, LLC"
1436,"Meridian Health System"
1437,"Visonex LLC"
1438,"PIONEER STATE MUTUAL INSURANCE CO."
1439,"Spring Branch Independent School District"
1440,"Alford Media Services, Inc."
1441,"360-COMMUNICATIONS"
1442,"SureHosting Internet Solutions, Inc."
1443,"CooperVision, Inc."
1444,"Virtual Care Provider, Inc."
1445,"Milliman, Inc."
1446,"Tutor Perini Corporation"
1447,"Chipotle Mexican Grill, INC"
1448,"UNITED-BROADBAND"
1449,"PayPal, Inc."
1451,"Headquarters, USAISC"
1452,"Headquarters, USAISC"
1453,"Headquarters, USAISC"
1457,"Headquarters, USAISC"
1458,"Headquarters, USAISC"
1460,"Headquarters, USAISC"
1461,"Headquarters, USAISC"
1462,"Headquarters, USAISC"
1463,"Headquarters, USAISC"
1464,"Headquarters, USAISC"
1466,"Headquarters, USAISC"
1467,"Headquarters, USAISC"
1468,"Headquarters, USAISC"
1471,"Headquarters, USAISC"
1472,"Headquarters, USAISC"
1474,"Headquarters, USAISC"
1475,"Headquarters, USAISC"
1476,"Headquarters, USAISC"
1477,"Headquarters, USAISC"
1479,"Headquarters, USAISC"
1480,"Headquarters, USAISC"
1482,"Headquarters, USAISC"
1483,"Headquarters, USAISC"
1484,"Headquarters, USAISC"
1488,"Headquarters, USAISC"
1489,"Headquarters, USAISC"
1491,"Headquarters, USAISC"
1493,"DNIC-ASBLK-01492-01493"
1494,"Headquarters, USAISC"
1495,"Headquarters, USAISC"
1498,"Headquarters, USAISC"
1500,"Headquarters, USAISC"
1501,"Headquarters, USAISC"
1502,"Headquarters, USAISC"
1503,"Headquarters, USAISC"
1504,"Headquarters, USAISC"
1505,"Headquarters, USAISC"
1506,"Headquarters, USAISC"
1508,"Headquarters, USAISC"
1509,"Headquarters, USAISC"
1510,"Headquarters, USAISC"
1511,"Headquarters, USAISC"
1515,"Headquarters, USAISC"
1516,"Headquarters, USAISC"
1519,"Headquarters, USAISC"
1524,"Headquarters, USAISC"
1525,"Headquarters, USAISC"
1526,"Headquarters, USAISC"
1527,"Headquarters, USAISC"
1528,"Headquarters, USAISC"
1530,"DNIC-ASBLK-01529-01530"
1531,"Headquarters, USAISC"
1533,"Headquarters, USAISC"
1535,"Headquarters, USAISC"
1536,"Headquarters, USAISC"
1537,"Headquarters, USAISC"
1538,"Headquarters, USAISC"
1539,"Headquarters, USAISC"
1541,"Headquarters, USAISC"
1544,"DNIC-ASBLK-01534-01546"
1547,"JSCC Interdnestrcom"
1551,"DoD Network Information Center"
1553,"DoD Network Information Center"
1554,"DoD Network Information Center"
1555,"DoD Network Information Center"
1556,"DoD Network Information Center"
1559,"DoD Network Information Center"
1562,"DoD Network Information Center"
1563,"DoD Network Information Center"
1565,"DoD Network Information Center"
1566,"DoD Network Information Center"
1567,"DoD Network Information Center"
1568,"DoD Network Information Center"
1569,"DoD Network Information Center"
1580,"DoD Network Information Center"
1585,"DoD Network Information Center"
1586,"DoD Network Information Center"
1590,"DoD Network Information Center"
1591,"DoD Network Information Center"
1598,"DoD Network Information Center"
1599,"DoD Network Information Center"
1600,"DoD Network Information Center"
1602,"Headquarters, USAISC"
1603,"Henderson State University"
1604,TBCDSB
1605,"Allegiant Travel Company"
1606,"Excelenet, Inc"
1608,"ITG INC"
1609,"Global Imaging Systems Inc"
1610,Contegix
1611,MABELTEL
1612,"Flux Telecom, LLC"
1614,"IOWA STUDENT LOAN LIQUIDITY CORP."
1615,"Exelixis Inc."
1616,"CoreLink Data Centers"
1617,"Jacobs Levy Equity Management, Inc."
1618,"NETWORKS-1"
1620,"doelegal llc"
1621,"Securian Financial Group, Inc."
1622,"NCH Capital Inc."
1624,"SITA Information Networking Computing Canada Ltd"
1625,"CoreSpace, Inc."
1627,TowneBank
1628,"Community DNS Ltd."
1631,"MCI Communications Services, Inc. d/b/a Verizon Business"
1632,"SONIC HEALTHCARE USA, INC."
1633,"353233 Alberta LTD"
1634,BWDSB
1635,Weidenhammer
1637,"Headquarters, USAISC"
1638,"Mott Community College"
1640,"Thacker-Grigsby Communications"
1641,"Staples Contract & Commercial, Inc."
1642,"Colorcon Inc"
1643,"Brockway Television Inc."
1645,"PACHEZ HOLDINGS LTD."
1646,"American Solutions for Business"
1647,"Interop Technologies"
1648,"Jefferson Parish School Board"
1649,"Headquarters, USAISC"
1650,"Cambridge Public Schools"
1651,Cablelynx
1652,"MIDFLORIDA Federal Credit Union"
1653,"SUNET SUNET Swedish University Network"
1654,"SKOGEN Skogen Network"
1657,"University of Louisville"
1659,"Taiwan Academic Network (TANet) Information Center"
1661,"ANS Communications"
1663,"BERTELSMANN Bertelsmann AG"
1666,"VFN-MEMBERS"
1668,"Oath Holdings Inc."
1672,"ANS Communications"
1675,"ANS Communications"
1676,"American Standard, Inc."
1678,"The Dow Chemical Company"
1680,"Cellcom Fixed Line Communication L.P."
1685,"ANS Communications"
1689,"ANS Communications"
1696,Citigroup
1698,"AT&T Corp."
1699,"ANS Communications"
1700,"Rice University"
1701,"National Aeronautics and Space Administration"
1702,"CHICAGO STATE UNIVERSITY"
1704,"Korea Advanced Institute of Science and Technology"
1705,"Hewlett-Packard Company"
1706,"University of Arizona"
1709,Renater
1712,Renater
1715,Renater
1724,Renater
1725,Renater
1729,"Telia Company AB"
1730,"Rexall Pharmacy Group Ltd."
1733,"DoD Network Information Center"
1734,"Contra Costa County Regional Occupation Program / Richmond"
1736,"Marquette University"
1738,"OP Palvelut Oy"
1739,"TUTNET TUT Autonomous System"
1741,"Tieteen tietotekniikan keskus Oy"
1742,"Harvard University"
1746,"Data Research Associates, Inc."
1747,"IBM T.J. Watson Research Center"
1749,"National Aeronautics and Space Administration"
1751,"Lexmark International Inc."
1754,"Deutsches Elektronen-Synchrotron DESY"
1756,"Shiraz Hamyar Co."
1757,LexisNexis
1759,"Telia Finland Oyj"
1761,"General Services Commission"
1764,"Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH"
1766,"Exxon Mobil Corporation"
1767,"Indiana Higher Education Telecommunication System"
1770,"Ringstad Consulting ENK"
1771,"X.25 Holding AS"
1772,"Navy Network Information Center (NNIC)"
1776,"WU (Wirtschaftsuniversitaet Wien) - Vienna University of Economics and Business"
1777,"Saint Xavier University"
1778,"DoD Network Information Center"
1780,"Valmet Oyj"
1781,"Korea Advanced Institute of Science and Technology"
1782,"QIAGEN Shared Services, Inc."
1785,"PaeTec Communications, Inc."
1786,IBM
1787,"Thomson Reuters U.S. LLC"
1789,"Sprint Government Systems Division"
1790,"Sprint Government Systems Division"
1796,"Graded Labs, LLC"
1797,Uruguay
1798,"State of Oregon"
1803,Sprint
1809,PTFS
1811,"Computer Sciences Corporation"
1813,"Computer Sciences Corporation"
1814,"Computer Sciences Corporation"
1815,"Computer Sciences Corporation"
1818,"DIALOG TELECOMMUNICATIONS, INC."
1819,"DCM Cable Inc."
1820,WNET
1821,"Network Innovations Inc."
1823,"Hannah Motor Company"
1824,Vertisoft
1825,"SetClear Pte. Ltd."
1826,"University of Arkansas-Fort Smith"
1827,"Manatee County Government"
1828,"Unitas Global LLC"
1830,"Gulf Coast State College"
1831,"ITESO, A.C."
1832,"Southern Methodist University"
1835,"Danish network for Research and Education"
1836,"green.ch AG"
1837,"NCIA NATO Communications and Information Agency"
1840,"Universidad de Las Americas-Puebla"
1842,"United States Geological Survey"
1843,"National Aeronautics and Space Administration"
1848,"National Aeronautics and Space Administration"
1850,"Internet a Islandi hf"
1851,"The University of Adelaide"
1852,"University of California - Office of the President"
1853,ACONET
1855,"RBT-EDGE"
1873,"Hewlett-Packard Company"
1874,"Hewlett-Packard Company"
1878,"Svensk Teleutveckling & Produktinnovation, STUPI AB"
1879,"Svensk Teleutveckling & Produktinnovation, STUPI AB"
1880,"Svensk Teleutveckling & Produktinnovation, STUPI AB"
1881,FMV
1882,"Svensk Teleutveckling & Produktinnovation, STUPI AB"
1885,"Seker Sigorta AS"
1886,"BT NET d.o.o. za trgovinu i usluge"
1887,"Naukowa I Akademicka Siec Komputerowa Instytut Badawczy"
1888,"Stichting Centrum voor Wiskunde en Informatica"
1889,"Hewlett Packard Europe S.A.S."
1897,"Nos Comunicacoes, S.A."
1898,"Torsten Blum"
1901,"A1 Telekom Austria AG"
1902,"Deutsche Telekom Pan-Net s.r.o."
1904,"DoD Network Information Center"
1906,"Northrop Grumman"
1907,"Single Source Network Systems, Inc."
1908,"DNIC-AS-01908"
1909,"ALPHA-NAP-AS"
1911,"DNIC-ASBLK-01910-01914"
1913,"DoD Network Information Center"
1916,"Associação Rede Nacional de Ensino e Pesquisa"
1921,"NICAT NIC.at head office Salzburg"
1926,"Tampere University Foundation"
1929,"University of Massachusetts"
1930,"Fundacao para a Ciencia e a Tecnologia, I.P."
1931,"Hewlett-Packard Company"
1932,"Consolidated Edison Co. of New York, Inc."
1935,Renater
1938,Renater
1942,Renater
1945,Renater
1955,"KIFU (Governmental Info Tech Development Agency)"
1956,IBM
1958,NCRWIN1958
1959,"DoD Network Information Center"
1965,"Vistra Corporate Services Company"
1967,"Middle East Technical University / Orta Dogu Teknik Universitesi"
1968,"University of Massachusettes"
1970,"Texas A&M University"
1972,"USC/ISI"
1974,"Southern Maine Medical Center"
1975,"PROQUEST LLC"
1982,"Northwest Nexus Inc."
1983,BERNALILLO
1996,"Fairdinkum Consulting, LLC"
1998,"State of Minnesota"
1999,"U.S. House of Representatives"
2002,"IBM Corporation"
2003,"Electric Power Research Institute"
2011,"Wachovia Operational Services Corporation"
2012,"ELTENET ELTENET"
2013,"PG&E"
2015,"Msen, Inc."
2018,"TENET-1"
2020,"Adhesives Research, Inc."
2021,UNISYS
2024,"Eversource Energy"
2025,"University of Toledo"
2027,"Medecins Sans Frontieres"
2030,"The Boeing Company"
2031,"American Water Works Company Inc."
2033,"Panix Network Information Center"
2036,"JOANNEUM JOANNEUM RESEARCH"
2037,"California State University at Fresno"
2041,"St. Norbert College"
2042,"HK Global Cloud DataCenter"
2043,"KPN B.V."
2044,"Infinity Internet, Inc."
2046,"DoD Network Information Center"
2047,"La Roche Ltd."
2048,"State of Louisiana Office of Technology Services"
2055,"Louisiana State University"
2060,Renater
2065,Renater
2067,Renater
2072,Renater
2088,Renater
2089,Renater
2094,Renater
2103,Renater
2107,ARNES
2108,"Croatian Academic and Research Network"
2110,"BT Communications Ireland Limited"
2111,"SkyNet Group Ltd."
2114,"Escuelas De Estudios Superiores Esic Sacerdotes Del Corazon De Jesus Padres Reparadores"
2115,"OPEGIEKA Sp. z o.o."
2116,"Broadnet AS"
2118,"Limited Liability Company Relcom Group"
2119,"Telenor Norge AS"
2121,"Reseaux IP Europeens Network Coordination Centre (RIPE NCC)"
2128,"Internet Neutral Exchange Association Company Limited By Guarantee"
2129,"EntServ UK Limited"
2134,"Produban Servicios Informaticos Generales, S.L."
2140,"IBM Corporation"
2143,"National Aeronautics and Space Administration"
2147,"The Press Association Ltd"
2148,"ITEP A.I.Alikhanov Institute"
2149,"Cogent Communications"
2152,"California State University, Office of the Chancellor"
2153,"California State University, Office of the Chancellor"
2158,"Hewlett-Packard Company"
2159,"Hewlett-Packard Company"
